0.000132+0.00024705i,0.00041949-0.00048324i,-0.00090267-0.00012886i,-0.0014521+0.00051768i,-0.0007691+0.00082205i,-9.5977e-05+0.0013783i,-0.00015207+0.0020309i,-0.00011946+0.0021705i,0.00046163+0.0012519i,0.00031665-7.388e-05i,-0.00033482-0.00068712i,-0.00082588-0.0005809i,-0.0010003-0.00032846i,-0.00076489+0.00015453i,-0.00055471+0.00046074i,-0.00053694+0.00067345i,-2.6022e-05+0.00091442i,0.00037532+0.00049037i,-0.00016263+0.0002684i,-0.00048076+0.00049526i,-7.5542e-05-7.7131e-06i,0.00077015-0.00071628i,0.00098184-0.00012098i
-0.0011384+0.00085178i,-0.0020458+0.0013656i,-0.0016906+0.0021449i,-0.00015081+0.0021771i,0.00087566+0.00085839i,0.0013969-0.00035803i,0.00084125-0.00017834i,0.00015792+6.7596e-05i,-0.00062029+4.4524e-05i,-0.00088184+0.00033557i,2.1588e-05+6.6175e-05i,0.00050947-0.00054473i,-0.00067533-0.00047374i,-0.0010265-0.00064968i,-0.00059604-0.00031555i,-0.00052161-0.00016964i,-0.00017648+0.00020844i,0.00061386+6.7669e-05i,0.00086196-0.00025921i,0.00047928+0.00023252i,0.00053905+3.9163e-06i,6.247e-05-0.0010824i,-0.00028399-0.0013539i
0.00066985+0.00016222i,0.001364+0.00027065i,0.0013871+0.00082377i,0.00032311+0.00060152i,6.033e-05+9.6291e-05i,0.00017339+0.00011739i,-2.4369e-05+0.00026012i,0.00014815+0.00058682i,-0.00049824+0.00080655i,-0.00051242+0.00070917i,-0.00046452+0.00045529i,-0.00080839+0.00022611i,-0.00048775-7.451e-05i,-0.00037575-0.00032753i,-0.0004734-0.00034846i,-0.00017485+0.0001951i,0.00034644+0.00047223i,0.00041612+0.00019709i,-0.00022945+0.00012631i,-0.00060961-0.00012125i,-3.0884e-05-7.9322e-08i,-0.00013688-2.2434e-05i,-0.00045992+0.00012157i
-0.0012373+0.0015472i,-0.00048997+0.0022424i,0.00050232+0.0015445i,0.001313+0.0011993i,0.0017928+0.0014652i,0.0019661+0.00074671i,0.00064825+0.00032408i,2.5409e-05+0.00054616i,0.00035929+0.00019577i,3.2571e-05+0.00011253i,-0.0008432+0.00034088i,-0.0017421-1.7709e-05i,-0.0015652-0.00061604i,-0.00060197-0.00074275i,5.3415e-05+0.0003109i,5.0512e-05+0.0011086i,-0.00020135+0.0006966i,-0.00021198+0.00037992i,0.0003766+0.00066331i,0.00064632+0.0004932i,0.000255+0.00049452i,-0.0003372+0.0004i,-0.00022296-7.0125e-05i
-0.00023043+0.0019573i,-0.00028767+0.0010295i,0.00064166+0.00079985i,0.00083533+0.00054022i,0.0010659+0.00015094i,0.00047443+0.00011634i,0.00043024-0.00032883i,0.00046062-0.00022337i,0.00024307+0.00017112i,-0.00022548+0.00016929i,-9.0959e-05+0.00017167i,-0.00014854-0.00036413i,-0.0005435-0.00084062i,-0.00061927-0.00048274i,-0.00021568-8.7801e-05i,-0.00017395+0.00018722i,-0.00040205+6.6223e-05i,-0.00047886+3.338e-05i,-0.00057353+0.00015741i,-0.00057738+0.0003249i,-0.00073113-0.00010097i,-0.00053712-0.00012242i,-0.00037564+0.00046657i
-0.00064306-0.00078342i,-0.00072063-0.00092712i,-0.00017981-0.00067369i,0.00020881+9.3987e-05i,0.00056326+0.00055072i,0.0010736+0.0011819i,0.0003047+0.00044756i,-0.00010267+5.5528e-05i,0.00023588+0.00050116i,-4.4269e-05+0.00062004i,-0.00070513+0.00070144i,-0.00027007+0.00041516i,-0.00032961+0.00047874i,-0.0001588-0.00012598i,0.0002279-0.00033948i,0.00012598+0.00022822i,0.00036753+0.00048292i,0.0003884+0.00039014i,0.00015028+0.00010402i,-0.00043019+0.00023356i,-0.00088637-0.00047867i,-0.00095758-0.00086626i,-0.00060845-0.00019264i
-0.00049316+0.0012117i,0.00041707+0.0017417i,0.0010352+0.0010331i,0.0016481+0.00061397i,0.0027366+0.0013349i,0.0028371+0.0014392i,0.0010069+0.00082893i,-0.0002461+4.8939e-05i,-0.00022445-0.00024703i,-0.00035917+0.00056185i,-0.000869+0.00084905i,-0.00057635+0.00066313i,-0.00024088+0.00077993i,-7.4154e-05+0.00057872i,-0.00025445+0.00035934i,-0.00089727+0.00077742i,-0.00098834+0.0011347i,-0.00058859+0.00077321i,-0.00047914+0.00014479i,-0.00025356+9.32e-05i,3.3416e-05+0.00035844i,0.0002016-8.2266e-05i,0.00033993-0.00039723i
0.0021974-0.0027546i,0.0016978-0.0027898i,0.00084726-0.0025812i,-0.00012326-0.0019834i,-7.7723e-05-0.00039095i,0.0005967+0.00045264i,0.00043645-0.00042564i,-0.0001982-0.00051264i,-0.00013296+0.00072418i,1.6943e-05+0.00060392i,-0.00033702+0.00042552i,-0.00092733+0.0010792i,-0.001003+0.00085922i,-0.00068184+0.0010661i,-0.00055826+0.0010732i,-0.00019353+0.00033015i,0.00020147+0.00045648i,-0.00020668+9.389e-05i,-9.0017e-05-0.00072004i,0.00049927-0.00026978i,0.00012526+0.00025086i,-0.0001308-0.00015025i,-0.00020833-0.00026574i
0.0016096-0.00039923i,0.00076526-0.00072329i,-7.0082e-05-0.00010238i,0.00014591+0.00011759i,0.00093882-0.0001533i,0.001188-0.0007078i,0.00038399-0.00062367i,-0.00048972-0.00051081i,0.00021918-0.00024888i,0.00028293+0.00038082i,-0.00045644+0.00090432i,-0.00121+0.00024603i,-0.001281-0.00057982i,-0.0010628-0.00021351i,-0.00073298+3.5669e-05i,-0.00025878+0.00045904i,-0.00021926+0.0011303i,4.7855e-05+0.0012598i,-0.00015917+0.00074723i,-0.00065875+0.00073777i,-0.00049005+0.0012185i,-3.7576e-05+0.00061835i,0.00055009+0.0004899i
0.0011014+0.0015232i,0.0022997+0.0011775i,0.0035038+0.0012515i,0.0022639+0.00029969i,0.0014544-7.1231e-05i,0.00053086+0.00047042i,-6.7368e-06+0.0010225i,0.00037415+0.00123i,0.00022459+0.00061983i,-0.00015413+0.00021368i,0.00029685+0.00040423i,0.00018429-0.00019948i,-0.0009517-0.00056814i,-0.0013145-0.00059552i,-0.00065172-0.00038343i,-0.00031204-6.0684e-05i,-0.0006528+0.00069598i,-0.00061024+0.0014661i,0.00021724+0.0011744i,0.0010554+2.1568e-05i,0.00065032-0.00035139i,-8.3087e-05-0.00076279i,-0.00019465-0.00055083i
-0.00024044-7.1286e-05i,-0.00011648+0.00045237i,0.0006088+0.00064862i,0.00097629+0.00050502i,0.00096967+0.00015142i,0.00050461-0.00045219i,0.00026862-0.00026017i,0.00018232-8.4671e-05i,0.00023974-0.00018583i,0.00043308-0.00049508i,0.00024554-0.00059447i,-0.00020932-0.0010287i,-0.00090371-0.0014219i,-0.00097465-0.0011817i,-0.00054371-0.0010696i,-0.00054059-0.00078767i,-0.00068856-2.6428e-05i,5.6511e-05+0.0004702i,0.00093454+0.00060336i,0.00059606+0.00037982i,0.00013837+0.00029307i,-3.9728e-05+0.00021107i,-2.1586e-06+0.00037167i
-0.00013907-0.0010576i,-0.00038227-0.00041903i,-0.0015274+0.00023428i,-0.00065103+0.0011191i,0.00027825+0.00090372i,9.1031e-05-0.00025684i,0.0002209-0.0011506i,0.00035133-0.00073948i,-0.0002014-0.00025809i,-0.00065656-2.7043e-05i,-0.00077062+6.4499e-05i,-0.00051334+0.00060262i,-0.00034388+0.0005841i,-0.00039145-3.8715e-05i,-0.00039582+0.00031521i,-0.00035316+0.00070996i,-0.00051856+0.0012914i,-0.00065998+0.00138i,-0.00068955+0.0012012i,-9.4396e-06+0.00054436i,0.00057544-0.0004599i,0.00042871-0.00047157i,0.00052996+5.2163e-05i
