0.00068191-0.0016214i,-0.00025995-0.0015613i,-0.0010382-0.00035635i,-0.00049731-0.00052757i,0.00064062-0.0018427i,0.0006804-0.0018437i,0.00016256-0.001637i,0.00015211-0.0013651i,-0.00012118-0.00097111i,-0.00061238-0.00025568i,-6.6843e-05+0.00055272i,0.00021715+0.0011053i,0.00042925+0.0017966i,0.00071445+0.0012303i,0.00082623-0.00010431i,0.00074436-0.00018324i,0.00060808+0.00078171i,0.00062189+0.0011565i,1.8666e-05+0.00055974i,-0.00066183-0.00014669i,-0.0012073-0.00026886i,-0.0012453-0.00014164i,-0.0011449-0.00074669i
0.00045065+0.00041221i,-0.0010036+0.00095019i,-0.0013458+0.00032359i,-0.00048137-0.00078423i,-0.00031064-0.0020038i,-0.00045354-0.0021438i,-0.00046351-0.00081689i,-8.1691e-05-0.00038619i,-0.00047518-0.00016222i,-0.00069157+0.00014437i,-2.7376e-05+0.0006894i,0.00016282+0.0012704i,-6.7675e-05+0.0012732i,-0.00032811+0.0011304i,0.00039228+0.0012838i,0.00048403+0.00059152i,0.00055374+3.3306e-05i,0.0012156+0.00054268i,0.0014877+0.00045805i,0.00085533-0.00039179i,-0.00021577-0.00092087i,-0.00012032-0.001022i,0.00019501-0.00059927i
-0.0019649-0.0018236i,-0.0019937-0.001781i,-0.0015198-0.0011164i,-0.0011665-0.00087963i,1.5905e-05-0.0017243i,0.00063779-0.0017698i,-0.00016833-0.00024167i,-0.0004036+0.00034394i,-0.00020807-0.00016591i,0.00011854+2.2034e-05i,0.0010901+0.00037552i,0.0015626+0.00042767i,0.0010203+0.00058528i,0.00063287+0.00036849i,-4.6134e-06+0.00010874i,-0.00047301+0.00056306i,7.6627e-05+0.00021134i,0.00085008-0.0002041i,0.0003617+0.00011728i,-0.00064782+0.000657i,-0.00095104+0.00079999i,-0.00074794+0.00076904i,-0.00056049+0.00071478i
0.00065478+0.0004321i,0.00076408-0.00067266i,0.00063755-0.0016618i,0.00011714-0.0010817i,-0.00060459-0.0002483i,-0.00064805-0.00019276i,5.7489e-05+0.00025687i,0.00033083+0.0014296i,0.00070332+0.001271i,0.00061697+0.00066685i,-0.00033806+0.00087647i,-1.8864e-05+0.00040303i,0.00027042-8.6849e-05i,7.6461e-05-0.000328i,-0.00020638-0.00051564i,-0.00044362-0.00026086i,-9.4407e-05+0.0001676i,0.00059883+0.0003253i,0.0011304+7.692e-05i,0.00055248-0.00023971i,-0.00022754-0.00023323i,0.00018605-2.2827e-05i,0.00075803+0.00030131i
-0.0011594-0.00086335i,-0.0005846-0.0013717i,-0.00042271-0.0010268i,-0.00010306-0.00077093i,0.00016568-0.00079784i,-0.00031579-0.00099154i,-0.00097172-0.00068289i,0.00019172-0.00028956i,0.001395-9.2008e-05i,0.00047854-0.00010776i,-0.00068626-0.00064254i,-0.00092955-0.00012819i,-0.00070063+0.00059748i,-0.00067103+0.00039324i,-0.00094625+0.00086979i,-0.00060868+0.0010509i,-6.6511e-05+0.00099857i,-0.00013815+0.00094553i,0.0003254+0.00073146i,0.00090981+0.00072188i,0.00044965+8.947e-05i,-0.00017674+0.00035078i,0.0004533+0.0012578i
-0.002286+0.00058574i,-0.0019311+0.0015413i,-0.001643+0.0013416i,-0.00069588+0.00081268i,-0.00035659+9.5776e-06i,-0.00060056-0.0003873i,-0.00077506-0.000389i,-0.00018757-0.00082383i,-0.00027788-0.00033807i,-0.00090478+0.00018774i,-2.946e-05+0.0009303i,0.00054228+0.0015763i,0.00056667+0.0011528i,0.00070719+0.00045615i,3.4737e-05+0.00025003i,-4.5219e-05+0.00062914i,0.00018221+0.00043972i,-0.00012093-2.8693e-05i,-0.00014742+4.6402e-05i,0.00041365+0.00028016i,0.00091303+0.00020947i,0.00048526-7.6308e-05i,-0.00028778-0.00048391i
-0.0016991+0.0004704i,-0.001445+0.00016752i,-0.0015591+0.00085449i,-0.00016573+0.00061096i,0.00094617-0.00024803i,0.00032735-0.0002708i,-0.00010217+0.00059131i,-7.1263e-05+0.00082836i,0.00010536+0.00052795i,-0.00030751+0.0003083i,-0.0010057+0.00034306i,-0.00056943+0.00031437i,0.00060092+0.00021309i,0.00098853+0.00049155i,0.00050571+0.00024282i,0.00048527+0.00013346i,0.00031416+0.00049433i,0.00015084-0.00016623i,0.00063602-0.00079509i,0.00077245-0.0010094i,0.0006094-0.0010927i,0.00070601-0.00032049i,0.00043396-0.00061057i
-0.00018246+0.0020998i,-3.5429e-05+0.0020282i,0.00068488+0.00071937i,0.0013228-0.00058544i,0.00099496-0.0013424i,-4.8703e-05-0.0018985i,-0.00037623-0.0010686i,-0.00013871-0.00027078i,9.3817e-06-0.00075714i,-0.00030491-0.00037409i,-0.00050301+0.00067932i,-0.0006374+0.0005006i,-0.0004286+0.00010823i,7.3362e-05+0.00016386i,0.00043802+0.00017505i,0.00068668-0.0001928i,0.00048249+9.2692e-05i,0.00031756+0.00097537i,-7.1433e-05+0.00094567i,-0.00053354+0.00066406i,-0.00082982-0.0001684i,-0.00018172-6.3356e-05i,-0.00010534+0.00069706i
0.0012243-0.00078505i,0.00029468-0.00088498i,0.00033696-0.00095786i,0.00066733-0.0015305i,0.00029511-0.0021914i,-0.00012467-0.0013278i,-0.00023078+0.000487i,-0.0001541+0.0011122i,1.6403e-07+0.00019928i,0.00063774-0.00046565i,0.0008885-0.00070995i,0.00021862-0.00059641i,-0.00057578+0.00045806i,-0.00088684+0.0011703i,-0.00046152+5.7603e-05i,0.00013639-0.00011249i,0.00023718+0.00055613i,0.00033863+0.0011382i,0.00031531+0.001043i,0.00020506+4.7195e-05i,-0.00057444-0.00066625i,-0.00089165-0.00038959i,-0.00083373-0.00012284i
0.001208-0.0018315i,0.0010533-0.0015087i,0.00084309-0.00042203i,0.00095715-0.00016902i,0.00088174-0.00031161i,0.00073032-0.00024511i,0.00020873-0.000275i,0.0002183-0.00015244i,0.00060782-0.00029812i,0.0004273-0.00048927i,0.00010896+4.5922e-05i,-0.00037112+0.00020891i,-0.00053844+0.00072989i,-0.00035366+0.00011656i,0.00014503-0.0010703i,0.00067293-0.00040657i,0.0011114+0.00062599i,0.0010568+0.0011498i,0.0008695+0.0013379i,0.001237+0.00036349i,0.00087834-0.00018502i,0.00068537-0.00026172i,0.0010472-0.000807i
