0.00086528-0.0025825i,3.6724e-05-0.001347i,-0.00054472-0.00028412i,-0.0011862+6.6271e-05i,-0.0021871+0.00019954i,-0.0020983+0.00013406i,-0.00098242-2.8175e-05i,-0.00039966-0.00021322i,5.8476e-06-0.00049322i,-0.00044833-8.5153e-05i,-0.0009097+0.00050728i,-0.0014725+0.00013364i,-0.0011156+0.00019256i,-0.00073646+0.00048836i,-0.0008163+0.00025317i,-0.00064253-1.3826e-05i,-0.00039923+0.00014528i,2.346e-06+0.00015704i,-0.00020714+0.00056864i,0.0002541+0.00082883i,0.0010213+0.00080129i,0.00073844+0.00022906i,0.00035119+0.00024344i
0.001615-0.0011236i,0.0011674-0.0016216i,0.0016409-0.0017576i,0.0016721-0.0011344i,0.00043831-0.0003273i,-0.0007308-0.0001363i,-0.00054798-0.00011227i,5.7181e-05-0.00026749i,0.00020983-2.5533e-05i,-0.00010098+0.00011088i,-0.00018367-0.00057382i,0.00057039-0.00058629i,0.00098701-0.00015041i,5.431e-05+0.00012411i,-0.00029199+0.00033788i,0.00061688-0.00012467i,0.0011232-0.00062155i,0.00080666-0.00072457i,0.00010324-0.00015542i,-0.00015403+0.00056182i,-0.00059511+5.0201e-05i,-0.0010262-0.0001826i,-0.0012579+0.00019228i
-0.0016452+0.00011373i,-0.0010617-0.00047565i,0.00011364+5.6831e-05i,0.00093415+0.0011405i,0.001367+7.6572e-07i,0.00035875-0.0010369i,-0.0004819-0.00099376i,0.00081179-0.00097203i,0.00079718-0.00030137i,-0.00033226+0.00022597i,-2.481e-06-0.00051321i,0.00057416-0.0015021i,0.00042858-0.0012184i,-0.00014733-0.00064125i,-0.00013016-0.00043238i,0.00057246+0.00010503i,0.00025778+9.2591e-05i,-0.0001783-0.0002154i,-0.00011874-0.00015482i,0.00015003+8.0026e-05i,0.00040083+0.0004366i,-0.0001591+0.00027334i,-0.00027673-0.0001538i
0.00044287-0.00013076i,-0.0007513-0.00021105i,-0.0012293+0.00045186i,-0.00058042+0.00079235i,-0.0004327+0.00077976i,-0.0010901+0.00086505i,-0.00070726+0.0010748i,0.00013228+0.00061928i,0.00049584-0.00012051i,0.00074635+0.00014915i,0.00053853+0.00032083i,9.7102e-05+0.0002591i,0.00012548+0.00023759i,0.00030194-0.00010702i,0.00015842-0.00024042i,-3.9894e-05-0.00012635i,1.2576e-05-4.8969e-05i,0.00058932+0.00013944i,0.0005589-0.00044203i,-0.00041386-0.00092386i,-0.00081836-0.00029431i,-0.00060918+0.00010046i,-0.00016606+0.0001902i
0.0028507+0.00021152i,0.0033384+0.0006637i,0.0030933-0.00024333i,0.0015541-0.0018695i,0.00061752-0.0024269i,0.00037287-0.0014907i,0.00037765+8.3843e-05i,0.00040946-9.3767e-05i,0.00037632-0.0010045i,0.00024447-0.0010673i,-0.00062199-0.00081168i,-0.00029952-8.4023e-05i,0.00020828+0.00040599i,3.6592e-05-0.00048952i,0.00032735-0.0015392i,0.00069481-0.0012407i,0.00025545-0.00016768i,-0.00048374+0.00047015i,-0.00072736+0.00030037i,-0.00033658-0.00031388i,-0.000551-0.00037277i,-0.00077181+0.00038562i,-0.00031719+0.0012383i
-0.00024739-0.00037841i,0.00075743-0.00095701i,0.0014144-2.7138e-05i,0.0010996-0.0010676i,0.00097065-0.0015069i,8.8709e-05+2.1123e-05i,-0.00031479+0.0011859i,0.0003744+0.0011446i,0.00040666+0.0007145i,8.1965e-06+9.8169e-05i,-0.00029673-0.00057319i,-0.00016711-0.00081595i,0.00016433-5.5915e-05i,-5.4177e-05+0.00048202i,-0.00045153-0.00053235i,-0.00058998-0.0013174i,-0.0008123-0.0010518i,-0.00060907+0.00015556i,6.59e-05+0.00079223i,0.0004063+0.00062876i,-0.00043781+0.0014815i,-0.00085962+0.0011327i,-0.00034458-0.00030597i
-0.0020692-0.002213i,-0.002012-0.00232i,-0.0011842-0.00077721i,-0.0002886+0.00018399i,-0.00059744+0.00015384i,-0.0011405+0.0003157i,-0.00068097+0.00023491i,-0.00049977-0.00026029i,-0.00085606-0.00095912i,-0.00069446-0.00088118i,-0.0009687-0.0002715i,-7.7352e-05+0.00042878i,0.0006122+0.001072i,-0.00023349+0.00048605i,-0.00071566-0.00043482i,-0.00021325-0.00012414i,2.1068e-05+0.00028952i,0.00045489+0.00050352i,0.001402+0.00017869i,0.00092853-0.00037194i,4.5778e-06+0.00048251i,-0.00028218+0.0004532i,0.00012672-0.00030646i
0.0018979-0.00028695i,0.0010637+0.00037036i,0.0004768-0.00023143i,-0.00014019-0.0010487i,-0.0014049-0.0011242i,-0.0020457-0.00074279i,-0.00071563-0.00027818i,-4.6074e-05+0.00076648i,-0.0003557+4.3496e-05i,-0.00047455-0.00026982i,-0.00062348+0.00019879i,6.6179e-05+0.00053647i,0.0001205+0.00098082i,-0.00047848+0.00060426i,-0.00085634-0.00025005i,-3.7759e-05-0.00063275i,0.0011669-0.00017572i,0.00036453-0.00023186i,-0.00078168-0.00055132i,-0.00065694-0.00032376i,-0.00049054+0.00052908i,-0.00087385+0.00026316i,-0.00050522-0.00025907i
0.00092111-0.00075196i,0.0010788-0.00093327i,0.00097263-0.0021978i,0.00057214-0.0021502i,-0.00013982-0.00089923i,-0.00060355+0.00019659i,-0.00091051+1.5339e-05i,0.00020045-0.0003495i,0.00042214-0.0005267i,-0.00018187-0.0006684i,-0.00013606-0.00050797i,-0.00015035-0.00029278i,-0.00026208+0.00013954i,-0.00041781-0.00018743i,-0.00011368-0.00016438i,-0.00036119+0.00046735i,-0.0008871+0.00087172i,-0.00069986+0.00018149i,-0.00035299-0.00039931i,0.00052743-0.00015592i,0.00041134-0.00028999i,-0.00020561-0.00091303i,0.00022813-0.00052401i
-0.00033205+0.00058264i,-0.00021175+0.00053013i,0.00047733+0.00035472i,0.001011+0.00060442i,0.00025244+0.00057036i,-0.00068216-0.00019662i,-0.00080888-0.00020221i,-0.00039244-4.5443e-05i,1.9388e-05-0.00077662i,0.00033808-0.00040948i,0.00060878-7.6986e-05i,0.00049776+0.00036325i,0.00011846+0.00072047i,-0.00017477+0.00018513i,-0.00051325+0.0001834i,-0.00025156+0.00021039i,3.721e-05-5.0821e-05i,0.00032156-0.00019632i,0.00038736+8.7752e-05i,0.00011989+0.00031306i,0.00025696-0.00033323i,0.00038254-0.00040149i,-2.9703e-05-0.00069919i
