-0.0028782-0.00027875i,-0.0024014-0.0013134i,-0.0023139-0.0020922i,-0.002189-0.0020412i,-0.0018483-0.0017334i,-0.001655-0.0016923i,-0.00031383-0.0011449i,0.00098525-0.00066796i,0.0016734-0.00015386i,0.00163+0.00014734i,6.476e-05-0.00026765i,-0.00064003-0.00034298i,-0.00073537-0.00011277i,-0.00066321-8.053e-05i,-0.00033281-0.00029004i,-0.00022812-8.4969e-06i,0.0001242-4.5171e-05i,0.00034678-0.00067813i,-0.00047351-0.00090539i,-0.0011443-8.2245e-05i,-0.0006399+0.00083477i,4.577e-05+0.00028956i,0.00042334-0.00017112i
-5.5776e-05+0.0010477i,0.00065341+0.00095747i,0.0010724+0.00056703i,0.0015595-0.00039049i,0.00087443-0.0012142i,-0.00064936-0.0012856i,-0.00010061-0.0013229i,0.00019541-0.0015397i,-0.00021848-0.0011499i,-2.0412e-05-0.00033961i,9.3218e-06+0.00031934i,-7.7796e-05-0.00014197i,0.0001086-0.00021074i,-0.00016717-8.2308e-05i,0.00020466-4.7678e-05i,0.00083132+0.0004567i,0.00072025+0.00011381i,-0.00013352-4.3329e-05i,-0.0006196-2.8489e-05i,-0.0010215-0.00032158i,-0.00089784+2.923e-05i,-0.00057159+0.00051273i,-0.00041541+0.00073039i
-0.00053377+0.0012672i,-0.00079362-0.00020304i,-0.001851-0.00055212i,-0.0027119-0.00073565i,-0.0019723-0.0019302i,-0.00058475-0.0017198i,0.00086637-0.00084711i,0.00099052-0.00090425i,-0.00051809-0.0009321i,-0.0015115-0.00079654i,-0.0013132-0.00042323i,-9.4577e-05+0.00019926i,0.00017425+8.5668e-05i,-0.00021424-0.00061997i,-0.00042762-0.00047031i,-0.00066177+0.00048897i,-0.00062717+0.00033146i,-0.00013266-3.3505e-05i,9.643e-05+0.00046233i,-0.00038688+0.00070091i,-0.00085317+0.00077454i,-0.0011243+0.00098283i,-0.00071724+0.00039929i
0.00051478-0.0014309i,0.0014885-0.0022575i,0.0014439-0.0026654i,0.00044259-0.0018665i,-0.0007249-0.00098644i,-0.00071819-0.00088486i,0.0002798-0.00093676i,0.00060469-0.00063268i,-5.5757e-05-0.0004693i,-0.00021185-0.00077337i,-8.4164e-05-0.00051987i,7.0922e-05-0.00018951i,-0.0004395+0.0001888i,-0.00057049+0.00043902i,-0.00047723+0.0005801i,-0.00039121+0.00035285i,-8.6417e-05-0.00029571i,-0.00026115-0.0003119i,-0.00024105+0.00032173i,9.0742e-05-1.5566e-05i,-9.9602e-05-0.00064767i,-0.00031509-0.0003626i,8.0206e-05+3.7942e-05i
-0.0018232+0.00043196i,-0.0010029+0.00079629i,-0.00040759+0.0022613i,-3.1012e-05+0.0019221i,6.5752e-05-2.8696e-05i,0.00071014-0.0014197i,0.00097932-0.0012373i,0.00018739-0.0004614i,-0.00056548-8.9996e-05i,-0.00014449-0.00011415i,0.00021917+0.00012306i,-0.00031389+0.00069167i,-0.00085589+0.00024193i,-0.00063294-0.00077726i,0.00043077-0.0010979i,0.00089816-0.00076064i,0.00048592-0.00041315i,-0.00021877-4.9014e-05i,-0.0001192-0.00015109i,0.00017567+0.00015498i,-4.741e-05+0.00046458i,-0.00019681-0.00034666i,-0.00046791-0.00071035i
-0.0018251+0.00015771i,-0.0007561-0.00020892i,-0.0004287-0.0010346i,-0.00091933-0.0017497i,-0.0013204-0.0014102i,-0.00048318-0.0017019i,0.00042577-0.0012893i,0.00047725-0.00078422i,-0.00017536-0.00083757i,-0.00059053-0.0001974i,-0.00014246-0.00033307i,0.0001882-0.0010454i,0.00012007-0.00076152i,0.00015746-0.00018589i,0.00017514+0.00039364i,0.00018249+0.0003675i,0.00010049+0.00025027i,-3.9031e-05+5.5185e-05i,-0.00054041-0.00049454i,-0.00096043-0.0011144i,-0.00069821-0.00088688i,2.7077e-05-0.00024982i,-4.2482e-05+0.00023878i
0.0001106+0.0021642i,0.00067811+0.0021792i,0.0011353+0.00094143i,0.0014449-0.00069519i,0.00066725-0.002043i,-0.00030128-0.0020809i,-0.00034409-0.00075363i,3.1108e-05+0.00034214i,-5.6083e-05+0.00015071i,-3.2965e-05-0.00048949i,-0.00028438-0.00072766i,-0.0002056-5.3488e-06i,0.00027997+0.00056505i,0.00011503-0.00055178i,-0.00019899-0.0011558i,0.00056545+0.00044641i,0.00026311+0.0003316i,-0.00022295-0.00063698i,0.00029657-0.00010721i,0.0004961-0.00030179i,0.00038684-0.00042907i,8.7067e-05-0.00021002i,-0.00063302-0.00073183i
-0.00011046+0.00065918i,0.00072903+0.00072796i,0.00099777+0.00080655i,0.00017267+0.00026063i,-0.00066773-0.0010445i,-0.0013983-0.0019404i,-0.00097723-0.0016341i,0.0001109-0.0011948i,0.00085795-0.0010362i,0.00088339-0.00087767i,0.0010416-0.0013596i,0.0011658-0.00073937i,0.00063222+0.00042663i,-7.2358e-05+0.00045786i,-0.00072794+0.00016689i,-0.00014074+0.0001079i,0.00057711+0.00026907i,-0.00054403-3.9733e-05i,-0.0006372-0.00039196i,0.00011616+0.00015667i,0.00017881+0.0014312i,-0.00014459+0.0010446i,-6.3582e-05-8.5259e-05i
0.00067901+0.00047599i,0.00058552+0.00029246i,0.00016586-0.00053935i,-0.00051757-0.0016279i,-0.0013331-0.0025988i,-0.0010054-0.0018961i,-6.7598e-05-0.00029374i,0.0007118+0.00028831i,0.00061805-0.00011247i,0.0002626-0.00098518i,-0.00011206-0.0010569i,-0.00097843-0.00080465i,-0.00088911-0.00088338i,0.00024851-0.00055803i,0.00046668+2.3203e-05i,-0.00047076-0.00043827i,-0.00091147-0.00099933i,-0.0007975-0.00060453i,-0.00092927+0.00017976i,-0.00048978+0.00080511i,1.0684e-05+0.00063476i,-0.00057378+0.00028383i,-0.00040799-0.00050012i
0.00064603+0.0015286i,-0.00022116+0.0016277i,0.0011937+0.000618i,0.0016347-0.0011363i,0.0008836-0.0029185i,0.00023152-0.0029157i,0.00019481-0.0024071i,0.00028117-0.0015601i,0.00046122-0.00044065i,0.00081531+9.3951e-05i,0.00039932-0.00042004i,0.00031466-0.00028231i,0.00037799+1.8366e-05i,-0.00030141-0.00020861i,-0.00038716-0.00080555i,9.5411e-05-0.00069437i,0.00062509-0.00015858i,0.00061322-0.00032723i,0.00063172-0.0004368i,0.00039604-5.5984e-05i,3.6321e-05-0.00011229i,0.00041951-0.00048325i,0.00027839-0.00085342i
0.00064212+0.0017885i,0.00064025+0.001387i,0.0018056+0.00044843i,0.0020535-0.0014302i,0.0010714-0.0023826i,-0.00028416-0.0022913i,-0.00057285-0.0016244i,-0.00015662-0.00094004i,0.00025573-0.00074574i,0.0001796-0.00042864i,-4.4973e-06-0.00071419i,-0.00011056-0.0007035i,-0.00011245-0.00014971i,-0.00034054-6.8911e-05i,-0.00039915-0.00035983i,-0.00042064-0.00072671i,-0.00054058-1.3465e-05i,0.0001009-6.4714e-05i,0.00029445-0.00063198i,-4.3992e-06-0.00052017i,9.2031e-05-3.2758e-05i,0.00032681+0.00042812i,0.00034375+0.00036258i
-0.00088031-0.0011087i,-0.0020442-0.001346i,-0.0019826-0.0013938i,-0.0018501-0.00048836i,-0.0018123-0.0001606i,-0.001079-0.00038401i,5.1663e-06-0.00052962i,-6.9233e-05-2.5941e-05i,-0.00071651+0.0005643i,-0.0005187+0.00062547i,-0.0003045+0.00072097i,-0.00053655+0.00069919i,-0.0010402+0.00057355i,-0.00065703-0.00048578i,0.00055271-0.00091346i,0.00087442-0.00083201i,0.00022967-0.00092049i,-5.361e-05-0.00097186i,-0.00045219-0.00043956i,-0.00069689+0.00048771i,0.00036947+5.1563e-05i,0.00038212+0.00044656i,-0.00053032+0.0013248i
-0.0012381+0.00019794i,-0.00055426-0.00036575i,-9.2788e-05-4.1192e-05i,-0.00069879+5.6821e-06i,-0.00049006-0.00022161i,0.00061561-0.00050752i,0.0012096-0.0011036i,0.00082137-0.0012272i,-9.6252e-05-0.00070319i,-0.00018111+0.00014007i,3.7888e-05+0.00058174i,0.00026444-1.6853e-05i,0.00032027-0.00020572i,0.00015716-0.00035924i,-0.00013208-0.00044069i,-0.00039949+0.00013991i,-0.0013183+0.00037024i,-0.0014672+0.00037059i,-2.1073e-05-4.1525e-05i,0.00057778-0.00036995i,0.00028985-0.00030615i,-0.00016735+4.8854e-05i,-0.00065117-0.00049806i
-0.0024294+0.00059531i,-0.0027318+0.00031244i,-0.0021107+0.00039472i,-0.0015559+0.00055701i,-0.0014811-0.00052367i,-0.00090745-0.00058208i,0.00021748-0.00089845i,0.00045071-0.0015734i,-0.00039918-0.0010068i,-0.00064638-0.00072571i,-0.00049926-0.00055326i,-0.00067078-0.00045458i,-0.00012316-0.0004798i,0.00022238-0.00063377i,0.00029998-0.00080269i,-0.0003371-1.6331e-06i,-0.00066108+0.00055828i,-0.00045216+0.00063097i,-0.00051411+0.00068866i,-7.9356e-05+0.00048259i,0.0002072+3.3422e-05i,-0.00044698-0.00021222i,-0.00083293-0.00011176i
0.00023789-0.0023891i,0.00022904-0.0014413i,7.5834e-06-0.0023472i,-0.0013457-0.0031497i,-0.0020085-0.0023218i,-0.0011484-0.0011347i,3.4287e-05-0.0009236i,0.00043877-0.0004719i,-2.3699e-05+0.00025191i,-0.00054654+0.00060043i,-0.00086993+0.00056142i,-0.00079181+0.00018433i,1.8773e-05+6.6686e-05i,0.00048386-0.00011386i,0.00024643-0.00042658i,-0.00030442-0.00035969i,-0.00021199-0.00039105i,0.00042789-0.00065861i,0.00013688-5.9532e-05i,-0.00066323+0.00072764i,-0.0004889+0.00025289i,-0.00021863+3.3833e-05i,-0.00057628+3.9213e-05i
0.00071511+0.0006588i,-0.00041129-8.2757e-05i,0.00043579-0.0014887i,0.00052446-0.0020743i,-0.00043301-0.0021773i,-0.00080791-0.0015457i,0.00022755-0.0012544i,0.00087351-0.00095732i,0.0002701-0.00070962i,0.00065219-0.00063726i,0.00083364-0.00029882i,0.00069308+0.00051181i,0.00088595+0.00086052i,0.00044677-7.8199e-05i,-0.00030132-0.0011429i,-0.00063458-0.0011957i,-0.00087366-0.00073028i,-0.00043338-0.00040345i,0.00045852-0.00011129i,0.00026091+0.00014675i,0.00019676+0.00010062i,0.00056136+0.00053968i,0.00023096+0.0011233i
-0.00020496+0.00092517i,0.0004258+0.00019521i,0.0011498-0.00013702i,0.0018907-0.0011586i,0.0012729-0.0021663i,0.00019649-0.0019981i,-0.00027523-0.0012264i,0.00013599-0.0012265i,0.0010743-0.00093266i,0.0012892-0.00028999i,0.00081588-0.00028018i,-0.00025626-2.363e-05i,-0.00067344+1.1735e-05i,-0.00073409+5.3739e-05i,-0.0005186+0.00025877i,0.00028573+0.00048949i,0.0005383+0.00053195i,0.00034297+0.00014666i,0.00010466-0.00016662i,0.00025013-0.00041012i,0.000398-0.00035041i,-1.4877e-05+0.00012341i,-0.00060503+0.00038572i
-0.00086766+0.0019834i,-0.00058953+0.0018165i,-0.0003393+0.0011015i,-0.00087614+0.00045212i,-0.00010499-0.00046854i,-0.00020896-0.0012743i,-0.00094278-0.0011668i,-0.00028859-5.5273e-05i,-0.00039524+0.00060652i,-0.00085354+0.00094634i,-0.0003384+0.00089532i,0.00035515+0.00019289i,0.00036298-0.00013377i,-0.00051924-0.00051507i,-0.00065573-0.00047557i,-0.00045264+0.00040883i,-0.00077996+0.00081369i,-0.00031382+0.0003803i,-8.5416e-06+4.5664e-05i,-7.2328e-05-0.00013843i,-0.00034138+0.00034462i,0.00021953-4.5332e-05i,0.0010967-0.0009098i
-0.0020715-0.00098431i,-0.0023186-0.00081035i,-0.0023874-0.00018321i,-0.0015748-0.00030796i,-0.00098447-0.0013328i,0.00020895-0.0018478i,0.0014041-0.0016612i,0.00065819-0.0011191i,-9.2231e-05-0.00068017i,0.00036551-8.4682e-05i,0.00032178+0.00020462i,0.00024013-0.00021966i,0.0007061-0.00019559i,0.00048813+0.00021004i,0.00019649+0.00043092i,6.9017e-05+0.00029116i,0.00028781+0.00032493i,0.00016046-5.3485e-05i,-0.00035996-0.00088405i,-9.7496e-05-0.0012102i,0.00034464-0.0011755i,0.00028625-0.0010468i,2.9096e-05-0.00042675i
-0.00054833+0.0015613i,-0.00078211+0.00070686i,0.00051673+0.0010556i,0.00078908-0.00011344i,4.3326e-05-0.0016394i,0.00010712-0.0017731i,0.0010678-0.00034615i,0.0011415+0.0005593i,8.4742e-05+8.6796e-05i,-0.0004186-0.00032952i,-0.00075039-0.0006886i,-0.00031607-0.00010528i,-5.8387e-05+0.00070559i,-0.00025815+0.00034761i,0.00025095-0.00038028i,0.00031406-0.0004958i,1.8264e-05-0.0001386i,-8.0826e-06-0.00020395i,0.00023555-0.00045654i,0.00027548-0.0002309i,0.00063816+0.0001595i,0.00063352-7.2399e-05i,-0.00016992-8.2324e-05i
-0.0011759+5.0549e-05i,-0.00079324-0.0017585i,-0.00041528-0.0017621i,-0.0009689-0.0021053i,-0.00079867-0.0021209i,-0.00043391-0.001631i,8.8387e-06-0.0012617i,0.0014049-0.00063783i,0.0015206-0.00048304i,0.00051862-9.0549e-06i,-4.0501e-05+0.00023947i,-0.00060867-0.00019291i,-0.00060592-1.8063e-05i,4.0327e-05+0.00019096i,0.00051062-8.9451e-05i,0.00044486-0.00020034i,-5.4041e-06-0.00032541i,-0.00017758-0.00017574i,0.00051807-5.069e-05i,0.0012033-0.00056764i,0.00074804-0.00042013i,0.00053428-0.00034373i,-1.2697e-05-0.00034249i
-0.0018047+0.0010076i,-0.0015008+0.0007797i,-0.0016786+0.00039569i,-0.0018614-0.001037i,-0.00055227-0.0023207i,4.8946e-06-0.002285i,0.00037729-0.0011894i,0.001124-0.00064886i,0.00079817-4.9773e-05i,0.00035917+0.00044397i,0.00080978+0.00067206i,-2.3142e-05+0.00066511i,-0.00074239+0.00033616i,6.907e-05-0.00025436i,0.00013061-0.00017563i,0.00026239+0.00023936i,6.1868e-05+0.00015806i,-0.00045364-0.00035538i,-0.00060492-0.00063251i,-0.00049902-0.00022408i,-5.043e-05-0.00029842i,-9.0958e-05-0.00017763i,-0.00029799-5.3304e-05i
0.00082466+0.0003516i,0.00091278-1.4205e-05i,0.00060747-0.0012866i,0.00017619-0.0014492i,-0.00056142-0.0012595i,0.00016333-0.0012903i,0.0011632-0.00051927i,0.0009574+7.8417e-06i,0.00061817-0.00059068i,5.0302e-05-0.0012861i,-0.00055935-0.0010941i,-0.00031622-0.00062282i,0.00061076-0.00023968i,0.00012917-0.00044669i,-0.00072995-0.00035151i,-0.00056924-0.00020296i,-0.00054433-6.8286e-05i,-0.00073236-8.6119e-05i,-0.0012117-0.0007622i,-0.00062126-0.00082428i,0.00012005-0.00062569i,-0.00015237-0.00071787i,-0.00024906-0.00037384i
0.00082133+0.00039939i,0.00035109+0.00026344i,0.00093113-0.001055i,0.00034662-0.0014645i,-0.0013815-0.0020716i,-0.0015701-0.002488i,-0.00030554-0.0021242i,0.000559-0.0018015i,0.00069253-0.0018017i,-7.2212e-05-0.0010234i,-0.00097017-0.00095444i,-0.0013145-0.0011451i,-0.0012068-0.00015091i,-0.00028751+8.4231e-05i,0.00042099-0.00067188i,0.0006204-0.0011884i,0.0010066-0.0010837i,0.0009538-0.00080542i,0.00047177-0.00056003i,-0.00023807-0.0001114i,-0.0004479-4.283e-05i,0.00038751-0.00068774i,0.00062114-0.00051269i
0.00039168+0.00034683i,0.00081544+0.0003596i,0.0014834-0.00039415i,0.00058988-0.0017243i,-0.00094092-0.0023642i,-0.00096236-0.001975i,0.00053966-0.0011095i,0.00091397-0.00045653i,7.4563e-05-0.0002423i,4.1736e-05-0.00059299i,0.00016309-0.00054109i,-0.00040615-0.00046023i,-0.00078797-0.0001598i,-0.00050955+0.00050376i,-8.7203e-05+0.00040808i,0.00033317+6.9977e-05i,0.00016559-2.3189e-05i,-0.00040782-0.00034822i,-0.00036279-8.8453e-05i,-0.00035004+0.00051276i,-0.0003248+0.000336i,-5.0171e-05-1.1075e-05i,-0.00026012+0.00015772i
0.00095293+0.00064576i,0.00057432+0.00015553i,0.00092072-0.0011702i,6.5576e-05-0.002699i,-0.0014604-0.0025684i,-0.0010269-0.0013862i,0.00012859-0.00051304i,0.00051657-0.0010108i,0.00035665-0.0009547i,-0.00026179-0.00012809i,-0.00066329+0.00047233i,-8.2262e-05+0.00031056i,9.1208e-05+2.675e-06i,0.00027173-0.00034608i,0.00045425+6.9657e-05i,0.00034683-8.2058e-05i,0.00030232-0.00089034i,3.2355e-05-0.00076647i,1.0211e-05+0.00031019i,0.00023477+0.00055278i,-4.3533e-05+0.00014941i,-0.00055159-0.00040763i,-0.00058645-0.00011753i
0.00050365+0.00072729i,0.00055511+7.3401e-05i,0.0015151-9.2457e-05i,0.0011025-0.00022808i,0.00055456-0.0013182i,0.00052495-0.0020239i,0.00072591-0.00096477i,0.00029461-8.5074e-05i,-0.00031178+0.00079563i,0.00036207+0.0011708i,0.00082617+0.0005114i,0.00046642+0.00037164i,-0.00019312+0.00068277i,-0.0006904+0.00012615i,-0.00069621-0.0006187i,0.00024584-0.00069518i,0.00093474-0.00059245i,0.00063476-0.00029763i,0.00041801-0.00025383i,0.00018809-0.00067576i,2.9723e-06-0.00070255i,-0.00020876-0.00019609i,-0.00053986+4.7948e-05i
0.00030232-0.00066404i,0.00085875+0.00052875i,0.00066153-0.00012529i,0.00056599-0.0008277i,-0.00076124-0.00065883i,-0.0015464-0.00094568i,-0.00094386-0.0010078i,0.00034827-0.00025845i,0.00082683+0.00045192i,-0.00012169+0.00091118i,-0.00037247+0.00085842i,0.0002047+0.00097135i,3.3161e-05+0.00086337i,-0.00071753+0.00032268i,-0.00068405+0.0005443i,-0.0005787+0.0010594i,0.00034868+0.00072297i,0.0012178+8.6046e-05i,0.00081281+6.3096e-05i,0.00075442-7.5693e-06i,-0.00029342-0.00022838i,-0.0010689+0.0001129i,7.8122e-05+0.00016365i
-0.00015986+0.00089469i,0.00019793+0.00065348i,0.00082288-0.00018802i,0.00093242-0.0013835i,0.0004586-0.0015422i,-0.00017986-0.0013695i,-7.5763e-05-0.0020085i,-4.7019e-05-0.0013855i,7.5668e-05-0.00089495i,0.00061149-0.00079869i,0.00083948+0.00018425i,0.00042338+0.00054963i,-0.00030545-8.2782e-05i,-0.00075689-0.0010057i,-0.00065784-0.001503i,2.9106e-05-0.0011146i,-6.3181e-06-0.0010574i,-0.0011168-0.0010921i,-0.00065665+0.00014304i,1.4203e-05+0.00083769i,0.00022978+0.00031323i,0.00048835+0.00018971i,0.00057288-0.00010033i
0.0011627-0.001926i,0.00072132-0.0010852i,-0.00024829-0.0014294i,-0.0010047-0.0021614i,-0.00087228-0.0015262i,0.00051858-0.00043391i,0.0014148-0.00031096i,0.0013126-0.00074439i,0.0010819-0.00080563i,0.00073332+0.00023348i,0.00023783+0.0010241i,-0.00043031+0.00074096i,-0.00098783-0.00029836i,-0.0006347-0.0013194i,0.00057318-0.001084i,0.00043777-0.00027064i,-0.00018884-0.00035233i,-5.5685e-05-0.00049632i,0.00017953+0.00027455i,0.00024037-9.5932e-05i,0.00021981-0.00082398i,0.00034235-0.00018574i,1.071e-05-0.00015502i
-0.00017837-0.00058688i,-0.0016283-0.00015988i,-0.00081237+0.0005518i,-0.00019943+0.00026561i,-0.00094129-0.0012709i,-0.0010629-0.0012943i,-0.00047492-0.00067388i,-0.00013908-0.00057008i,-0.00034423-0.00017673i,-0.00089274+0.000174i,-0.0012004+0.00045995i,-0.00094334+0.0010512i,-0.00015347+0.00095098i,8.582e-05+0.00040592i,-4.2426e-05+9.9064e-05i,-0.00018511+0.00025175i,0.00014787+0.00081008i,0.00043771+0.00062595i,0.00041702+0.00011292i,8.3668e-05+1.2136e-05i,-0.00022887-0.0004222i,-0.00019603-0.00076692i,-8.285e-05-0.00027757i
0.00082745+0.0020973i,0.0012993+0.001933i,0.0021775-0.0001846i,0.0018742-0.0023086i,0.00076557-0.0030855i,-0.0007488-0.0031995i,-0.00043387-0.0020966i,0.00067576-0.00077899i,0.00046547-0.00036221i,-4.1647e-05-0.00070936i,-0.00044895-0.001149i,-0.00068339-0.00094173i,-0.00028619-6.9578e-05i,-0.00031685+0.0001915i,-0.00097345+0.00053699i,-0.00092088+0.00043615i,-0.00027389-0.00038656i,0.00034474-0.0007821i,0.00040843-0.0003756i,0.00044385+0.00011528i,0.00044676-0.00034555i,0.00048906-0.00043383i,0.00032103+2.4734e-05i
