-0.001848-0.00069942i,-0.0021605-0.00056738i,-0.0027212+0.00045209i,-0.0024538+0.0014178i,-0.00057549+0.0011542i,-0.00021753+0.00017082i,-0.00057311-0.00032687i,-0.00023051+0.00021818i,0.0001186+0.00089906i,0.00016514+0.00088274i,0.00021588-9.9237e-05i,-1.1097e-05-0.0011691i,1.8016e-05-0.00073604i,-0.00057277-0.0003881i,-0.00063235+0.00019937i,-7.1735e-07+0.0012615i,6.022e-05+0.0015585i,-0.00016465+0.0014751i,-0.00034254+0.0010854i,-0.00065043+0.00060803i,-0.00021864+0.00037298i,-9.3626e-05+0.00040953i,-0.00087854+3.0839e-05i
-0.00083184-0.00095502i,-0.00036025-0.00073331i,-0.001501+0.001279i,-0.0020003+0.0015986i,-0.001582+8.0201e-05i,-0.0016419-0.00048499i,-0.0012707-0.00044123i,0.00023327-0.00028833i,0.00076728+1.5105e-05i,-0.00025929+0.00023059i,-0.0007339-0.00017427i,-0.00086261-0.00020081i,-0.00098145-8.9657e-05i,-0.00050384-0.00062084i,-0.00028408-0.00060094i,-0.00010091-2.9597e-05i,0.00024925+0.00046877i,6.1261e-05+0.0016553i,0.00024314+0.0013529i,0.00057557-8.5409e-05i,0.00053104-0.00060286i,0.00018156-0.00054053i,-7.6327e-05-0.00040422i
0.002701-0.0037326i,0.00010769-0.0026827i,-0.0022102-0.0015786i,-0.0022471-0.0012116i,-0.0018126-0.0010614i,-0.0015104-1.3204e-05i,-0.00038307+0.0010573i,0.00040689+0.00049427i,0.00010167-0.00086869i,-0.00065869-0.0013054i,-0.00073946-0.00096318i,-0.00022715-5.8247e-05i,2.0636e-05+0.00076713i,-6.0081e-05+0.00088739i,-0.00038503+0.00060443i,-0.00019275+0.00042655i,5.4632e-05+0.0005492i,0.00015776+0.00079596i,0.00066392+0.0010656i,0.00080085+0.0009164i,0.00040487+0.00023534i,8.2387e-05-0.0004265i,0.00026134-0.00056595i
-0.0022488+0.0015085i,-0.00098618+0.0015218i,-0.0010368+0.0018737i,-0.0022951+0.0025492i,-0.0021562+0.0011723i,-0.0013783-9.838e-05i,-0.00051026+0.00045825i,0.00053846+0.00063063i,0.00023162-0.00029532i,-0.00021345-0.00027694i,0.00036379+0.00026446i,0.00052844+0.00040527i,0.00047757+0.00051576i,6.7187e-06+0.00089924i,-0.00026938+0.00087631i,0.00032813+0.0002684i,0.00077755-0.00018531i,0.001309+5.2655e-05i,0.0007909+0.00051477i,-0.00020482-0.00034057i,-0.000648-0.00096523i,-0.00069753-0.00021606i,-0.00023294+0.00023261i
-0.0013042-0.0025543i,-0.0020826-0.0012993i,-0.0023144+9.7254e-05i,-0.0018193+0.00092276i,-0.00080668+0.00068263i,-0.00053942+6.7587e-06i,-0.00074677-0.00093573i,-0.00028763-0.00098744i,0.00017775-0.00047502i,0.00072977+0.00015588i,0.00071858+0.00042481i,0.00026072+0.00051999i,0.0003214+0.00059602i,-6.9339e-05-0.00018139i,-0.00044183-0.00064462i,-0.00065931-5.407e-05i,-0.00078772-4.8484e-05i,-0.00090852-3.5489e-05i,-0.00083151-0.00014509i,-0.00013075-0.00078317i,0.00058105-0.00098409i,0.0008306-0.00037207i,0.00051769-1.3578e-05i
0.00067224+0.0014977i,0.0003497+0.0020014i,0.00072443+0.0022885i,0.0010663+0.0011634i,0.00070833+0.00014841i,-0.0006217+0.00029634i,-0.00065146+0.00080955i,0.00012321+0.00036264i,0.0005557+0.00015627i,0.00049857+0.00052676i,-0.00054342-0.00018467i,-0.0015245-0.00082472i,-0.00062626-0.00099347i,0.00013983-0.0010147i,-9.7017e-05-7.4237e-06i,-0.00079255+0.00068045i,-0.00064171+0.00017338i,-0.00017542+0.00040891i,-2.8483e-05+0.00045457i,-0.00012011+4.8228e-05i,0.00014456+0.0005305i,0.00037695+0.00028652i,0.00048126-0.00029757i
-0.00073624+0.000575i,-0.00060416-0.00029359i,-0.00041056+0.00027239i,-0.00012243+0.0010493i,0.00067849+0.00076174i,3.014e-05+0.0003237i,-0.0010749-0.00015636i,-0.0010221-0.00032935i,5.17e-05-5.6008e-05i,0.00022734-0.00029373i,0.00016353-0.00094098i,0.00013372-0.00059764i,3.8153e-06-0.00015483i,-3.1288e-05-0.00018104i,-4.6182e-05-0.0003367i,0.00044965-0.00033041i,0.00015412+0.00015923i,-0.00040545+0.0013122i,-0.00036277+0.0011801i,-0.00035957+0.00010602i,-0.0006214-0.00051752i,-0.00060452-0.00060126i,-0.00029353-4.8044e-05i
0.0026069-0.00066191i,0.0017852-0.00064136i,-0.00064568+0.0014132i,-0.0024223+0.0025261i,-0.0012811+0.0011426i,0.000212+0.00049603i,0.0001909+0.0012998i,5.2568e-05+0.0013837i,-0.00035994+0.00054357i,-0.00061431+0.00016726i,-0.00058433+4.5718e-07i,-0.00051197-0.00046655i,-0.00035569+5.9373e-06i,-3.6895e-05+0.00016i,0.00023297-0.00019817i,0.00017211-0.00076536i,0.00037665-0.00078594i,0.00048861-0.0005827i,0.000169+0.00031066i,-0.00041911+0.00064477i,-0.0012162+0.00057514i,-0.0010558+0.0010786i,-0.00060681+0.00096937i
-0.0028543+0.0042595i,-0.0016074+0.0028652i,-0.0010858+0.0017453i,-8.0116e-05+0.0013229i,0.0008573+0.0013192i,0.00071051+0.00048288i,0.00020558-0.00070269i,0.00043312-0.00040454i,0.00088335+0.00032419i,0.0013693+0.00010621i,0.001176-6.7623e-05i,-0.00014334-0.00026862i,-0.00015809-0.00046566i,0.00024395-0.00077226i,-5.1256e-05-0.001498i,-0.00023601-0.0008667i,-0.0003862-1.7064e-05i,-0.00049745+0.0002264i,-0.001278+0.00063086i,-0.0017749+0.00080764i,-0.00084632+0.0004604i,-3.2337e-05+0.00021519i,9.1342e-05+0.00038845i
0.00049533+0.0015713i,0.00025083+0.0019024i,0.0007125+0.0026525i,0.0011654+0.0015161i,0.0010045+0.00038414i,5.6966e-05-0.00033731i,-6.983e-05-0.00021664i,0.00023945+0.00059355i,0.00067854+0.00012705i,0.00097644-0.00012732i,0.0002797-4.5915e-05i,-0.00054388-0.00017169i,-0.00093032+0.00031661i,-0.00065005+0.00021313i,-5.4415e-05+5.9602e-05i,-6.3612e-05-0.00035087i,-0.00041769-0.00010294i,-0.00021592+0.00086854i,-5.4436e-05+0.00086405i,-8.7275e-05+0.00093173i,0.00047101+0.0010305i,0.00082238+0.00041335i,0.00048506+0.00014506i
