0.0017016-0.00088364i,0.00054861-0.001024i,-0.0010466-0.0015936i,-0.00085494-0.0015788i,-0.00067898-0.0012398i,-0.0001199-0.00064036i,-4.3807e-05-0.00012983i,-0.0002497-0.00011203i,-0.00022836-0.0011188i,1.3321e-06-0.0015715i,0.00028248-0.0010614i,0.00047385+0.00034623i,0.0001916+0.00093098i,-4.6622e-06+0.00030525i,-0.00016801-3.1072e-05i,9.6028e-06-9.046e-05i,0.00010065+0.00048485i,-4.1289e-05+0.00063467i,0.00011383+0.00061579i,0.00035017+0.00094124i,0.00034913+0.00066634i,-1.7663e-05+0.00075928i,0.0002151+0.00051029i
0.0010259-0.001465i,0.00084558-0.0009449i,0.00060482-0.0010127i,-0.00048797-0.0014422i,-0.00096316-0.0016231i,-0.00020592-0.0010566i,0.00084621-0.00095089i,0.00092149-0.00079106i,0.00020538-0.00048652i,0.00055538-0.00043666i,0.00028621+5.3837e-06i,-0.00029644+6.7648e-05i,-0.00048304+0.00036377i,-0.00089031+0.00055982i,-0.0010525+0.00026947i,-0.0010249+9.4733e-05i,-0.00063661-0.00030404i,-0.00053215-0.00010519i,0.00019416+0.00030871i,0.0011352+0.00058339i,0.00074559+0.00037262i,0.00025988+0.00028827i,-0.00026113+0.00050401i
-0.0014784-0.00070774i,-0.0013602-0.0010686i,-0.0022098-0.0010704i,-0.0019275-0.00055676i,-0.00071251-0.00012551i,-8.3081e-05-8.939e-05i,-0.00023498+8.3125e-05i,9.4834e-05-0.00055231i,0.00039299-0.00095142i,0.00025121-4.1678e-05i,-1.9307e-06+0.00051328i,-0.00027584+0.00030239i,-0.00073351+3.9406e-05i,-0.00016293-0.00045577i,0.00049226-0.0004959i,0.00079709-0.00014652i,0.0011977-5.0761e-05i,0.00088872+9.0824e-05i,0.00085448+0.00041816i,0.0012048-0.00010803i,0.0011093-0.00042589i,0.00062655+0.00014002i,6.1207e-05+0.00078081i
0.00061984+0.00085169i,0.00041957-9.0767e-05i,7.9406e-05-0.0012933i,0.00022113-0.0018401i,0.00022073-0.0021763i,0.0003484-0.0017575i,0.00037626-0.0002543i,0.00015025+0.00027215i,0.00038412+0.00035621i,0.0006861+0.000569i,0.0010069+0.00031372i,0.00091039-0.00016082i,0.00043543+0.00018562i,0.00019484+0.00061067i,0.00044685-0.00011907i,0.00061926-0.0005379i,0.00068685-0.00013006i,0.00026999+6.2845e-05i,0.00011575+0.00039651i,-0.00010096+0.0010574i,-0.00021647+0.0010873i,9.6715e-05+0.00073234i,0.00016073+0.0012055i
0.0014732+0.00032771i,0.0016657-0.00010413i,0.00018183-0.0011129i,-0.0014076-0.0012962i,-0.0010392-0.0011757i,-0.00020553-0.0015547i,0.00019701-0.0016227i,0.00057842-0.0009027i,0.00048376-0.00028515i,0.00037132-0.00035653i,0.00017504-0.00011132i,-5.9619e-05+0.00041955i,7.1805e-05+0.00035474i,8.1189e-05-0.00028694i,0.00068592-0.00049025i,0.00092022-0.00038097i,0.000249-0.00057762i,0.0001841+6.633e-05i,0.00021771+0.00084779i,0.00045768+0.00029106i,0.00033822-8.807e-05i,0.00096292+0.00043612i,0.0011986+0.00065838i
-1.8352e-05-0.00081278i,-0.00064879-0.001302i,-0.0010131-0.0019247i,-0.00065944-0.001851i,-2.7446e-05-0.0011903i,0.00041567-7.6118e-05i,0.00025522+0.00074469i,-0.00028993+0.00028224i,-3.0815e-05-0.00026233i,0.00055978-0.00018463i,0.00025364+8.9165e-05i,-0.00036937+0.00049919i,-0.00041545-9.911e-06i,-0.0001436-0.00029767i,-0.00014764-0.00044271i,-4.6781e-05-0.00026064i,0.00062595-0.00011998i,0.001278-0.00072442i,0.00038802-0.00016077i,0.0001002+0.00015256i,0.00023668-0.00050048i,0.00013328-0.00029108i,-9.855e-05-0.00062713i
0.0016704-0.0006403i,0.0013316-0.0010196i,0.0012601-0.0018446i,0.0011841-0.0024744i,0.0001013-0.0035859i,-0.0006168-0.0031487i,-0.00025113-0.001486i,9.845e-05-0.0010687i,0.0001265-0.0010673i,0.00041515-0.0010463i,0.0011059-0.00041745i,0.0010675+0.00092371i,0.00051752+0.00058599i,0.00032931-0.00034984i,-0.00024907-0.00027951i,-0.0007181-0.00036551i,0.00041563-0.00031971i,0.0011735+0.00026336i,0.000527+0.00033014i,-7.06e-05+0.00012927i,-0.00034086-0.0006584i,-0.00016958-0.00083105i,0.0001126-0.00020908i
-0.0007199-0.00027954i,-0.0010459-0.00034416i,-0.0019025-0.00046175i,-0.001914-0.00055998i,-0.0015414-0.0010585i,-0.00050549-0.0015032i,6.0643e-05-0.0018047i,0.00010622-0.0016559i,4.684e-05-0.00084208i,-0.00020573+0.00020244i,-4.2297e-05+0.00051913i,-0.00015939+0.00035341i,-0.00080622+0.00056651i,-0.0011094+0.00045147i,-0.00014835-0.0008203i,0.00024919-0.001729i,9.1055e-05-0.00091123i,9.3291e-05+8.6803e-05i,-0.0003707-0.00026324i,-0.00043928-0.00035862i,7.0524e-05+1.0588e-05i,0.0001537+3.7319e-05i,5.6535e-05+0.00042079i
-0.0010613+0.0016168i,-0.00099061+0.0014121i,0.00010584+0.00028586i,0.00075325-0.00086705i,0.0010949-0.0017059i,0.001172-0.0018044i,0.00032912-0.00097139i,-4.7456e-05-8.7363e-05i,0.000384+0.00040453i,0.00033705+0.00056649i,0.00039915+0.00051598i,0.00060336+0.00028777i,0.00046658+4.659e-06i,8.0059e-05-0.00019982i,-0.000159-0.00010019i,-0.00022787-0.00083978i,0.00043032-0.00097193i,0.0010027-7.243e-05i,0.00065439-0.00011165i,0.00036417-0.00094533i,-5.8728e-05-0.00075416i,-0.00045039+0.00015215i,0.00020615+0.00063459i
0.0003431-0.0011575i,0.00043021-0.0014645i,-0.00032109-0.0016341i,-0.0010288-0.0012219i,-0.0015464-0.001225i,-0.0011895-0.00053883i,-0.00047259+0.00036451i,0.00010141+0.00049316i,0.0010253+0.00013355i,0.0011128-6.5261e-05i,0.0003361+0.00020448i,-0.00015783-0.00020586i,-0.00031259-0.00040778i,-0.00053843-0.00025497i,-7.8149e-05+0.00026718i,0.00032043+0.00084832i,0.00034466+0.00043226i,0.00080437+0.00040447i,0.0010635+4.6759e-06i,0.00087618-0.00072893i,0.00052771-0.00059646i,0.00034677+3.4232e-05i,0.00029905-0.00014092i
