-0.0030364-0.00040449i,-0.00093075+0.0002696i,0.00046444+0.00079574i,0.0015136+0.00073093i,0.0017255+0.00098218i,0.0010533+0.0010475i,0.00066333+0.00094708i,0.0007704+0.0012282i,0.00067072+0.001212i,0.0004142+0.00085714i,0.0010522+0.0012527i,0.00095716+0.00042642i,0.00046049-0.0011976i,0.00016844-0.0015092i,-0.00044356-0.0012707i,-0.0008058-0.001576i,-0.00047915-0.0011714i,0.00016595+2.5318e-05i,0.00033012+0.00034862i,-3.9587e-05+0.00048525i,-0.0003915+4.3523e-05i,-0.00041265-0.00045173i,-0.00064518-0.00066397i
-0.00090882+2.0497e-05i,-0.0014637-0.0011581i,-0.00096384-0.00063791i,-0.00047578+0.00060226i,0.00023522-6.3485e-05i,0.0016062-0.0008135i,0.001854-0.0004806i,0.0013154-0.00034455i,0.00017738-0.00031665i,-0.0013225+0.00032267i,-0.00053292+0.00069459i,0.00062039+8.1957e-05i,0.00091978-0.00021654i,0.0015841-7.9376e-05i,0.0011054+0.0002136i,0.00069044-0.00040357i,0.00089176-0.00074366i,-1.7485e-05-0.00029258i,-0.000857+0.00038679i,-0.00065401+0.00090006i,-0.00054859+0.00074809i,-0.00085388+0.00048407i,-0.00066086+0.00036879i
-0.001451-0.00040845i,-0.0022862-7.5513e-05i,-0.0017847+0.00062573i,-0.00048166+0.00089365i,0.00073742+0.0012992i,0.0010101+0.00098629i,0.00061627-0.00013526i,0.00029802-0.00080929i,-8.2764e-05-0.00033465i,-0.00095007+0.00013685i,-0.0010323+0.00046514i,-0.00020962+0.00087617i,0.00067861+0.00013455i,0.00084222-0.00064645i,-7.3688e-06-0.00017041i,-0.00030718-0.00049591i,-0.00013492-0.00066823i,-0.00025043+5.8403e-05i,-0.00032717+0.00056918i,5.6711e-05+0.0005366i,0.00099193-0.00038023i,0.00071453-0.00036507i,0.00054778+0.00058845i
0.00079422-4.6496e-05i,0.00043799-0.00034299i,0.0011572+0.00041462i,0.0019038+0.0011596i,0.0017268+0.00064716i,0.0018095-0.00037571i,0.0012926-0.00046515i,0.00028028-5.978e-05i,0.00011376-0.00020037i,0.00035768+2.5968e-05i,-0.00026947+0.00077462i,-0.00071298-9.7637e-05i,-0.00079923-0.0013826i,-0.00020256-0.0010737i,0.00039615-0.00019082i,0.00053845+0.00026715i,0.00033049+0.00019393i,0.00043984-0.00014914i,0.0011936+0.00014172i,0.0010008+0.0005796i,5.8988e-05+0.00093623i,-0.000478+0.00074995i,0.00016134+0.00014685i
-4.627e-05+0.00092098i,-0.00058897+0.00077733i,-0.00070521+0.00072173i,0.00027807+7.5193e-05i,0.00035857+0.0002986i,-0.00085934+0.00026673i,-0.000783-5.6623e-05i,-6.7059e-05+0.00038358i,-0.00042842+0.00050705i,-0.0012304+0.00010168i,-0.00098903+0.00027837i,-0.00025632+0.0009081i,0.00019746+0.00013813i,0.0010051-0.00030907i,0.0008028+0.00056775i,-8.7899e-06+0.0009848i,-0.00064135+0.00029636i,-0.00066984-0.00030893i,-0.00035519-0.00024893i,-0.00041151-0.00014623i,-0.00036391-0.00018281i,-0.00039675-0.00031224i,-0.00042559-0.00026547i
-0.00064634-0.0022119i,-0.0014847-0.0017501i,-0.0022198-0.00091623i,-0.00098373+0.00035292i,0.00061692+0.0013423i,0.0016324+0.0010727i,0.0017738-6.697e-05i,0.0011334-0.00040951i,0.00011722-7.2967e-06i,-0.00079852+0.0007681i,-0.0010283+0.00079422i,-0.00026438+0.00028635i,7.4074e-05+0.00054334i,6.4551e-05+7.0727e-05i,-0.00021535-0.00038013i,-0.00035183-0.00018893i,-6.2974e-06+0.00010196i,9.5175e-05-0.00013153i,-0.00031123-0.0004037i,0.0001229-3.2101e-05i,0.0011941+0.00012818i,0.0010132-0.00052596i,0.00096993-0.00051i
-0.00055231-0.0016281i,-0.00015703-0.0007798i,0.00023859+9.367e-06i,0.00078365+0.00030473i,0.0015218+0.0011866i,0.0010966+0.0012281i,-0.00068525+0.00029665i,-0.0008405+0.0001034i,-0.0003275+0.00032422i,-0.00074451+7.6662e-05i,-0.00047628+0.0003559i,-5.5439e-05+0.00098071i,9.0292e-05+0.00055466i,8.1583e-05-0.00039044i,0.00041737-0.00073507i,3.9401e-05-0.00068388i,-0.0006342-0.00031954i,-0.00044341+5.0058e-06i,-4.165e-05+4.0554e-05i,-0.00014263-0.0005764i,2.1758e-05-0.001248i,0.00041305-0.00059426i,0.00030353+0.00016078i
-0.0014084+0.00020848i,-0.0013205+0.00039125i,-0.00066019+0.0013216i,0.00046639+0.0015461i,0.0013383+0.00090394i,0.00095893+0.00039648i,0.00036236+0.0001107i,-3.7802e-05-0.00022442i,-0.00045337+0.00018361i,-0.00074003+0.0011671i,-0.00037091+0.00040685i,-3.885e-05-0.00067944i,5.9893e-05-0.0009509i,0.00036804-0.00038715i,0.00034415-9.2401e-05i,8.3804e-05-0.00039841i,-6.4835e-05+0.00019367i,0.00038379+0.00035567i,0.00022707-0.00013189i,-0.0003183+0.00017375i,-0.00040412+0.00023379i,0.00015606+0.00027477i,4.2205e-05+0.00047913i
-0.00086693-0.0004643i,-0.00095475-5.1767e-05i,-0.0020979-3.9086e-05i,-0.0017969+0.0006871i,-0.00050823+0.0018177i,-0.00015411+0.0020112i,-0.00054464+0.0012492i,-0.0003426+0.0002273i,4.3825e-05+9.9448e-05i,-0.00064656-6.0702e-06i,-0.00089651-0.00018568i,-0.00052957-0.0001259i,-0.00033595-0.00041028i,-0.00013879-0.00066365i,0.00046035-0.00054844i,0.0011022+0.00012734i,0.0010063-0.00010426i,0.00071201+6.0059e-05i,0.00086991+0.00031721i,2.8132e-05+0.00040271i,-0.0011419+0.00062682i,-0.0011936+0.00096942i,-0.00077178+0.00091571i
-0.00027833+0.0013598i,-0.00013089+0.001153i,3.7056e-05+0.00066693i,0.0019027-0.00040259i,0.002997-0.00090582i,0.0023112-0.00084042i,0.00085439-0.00038501i,-8.2753e-05+0.00050043i,-0.00022008+0.00098059i,-0.0004551+0.0011146i,-0.00037879+0.00089268i,0.0002309+0.00017868i,0.00049521-3.4702e-05i,0.00010255+9.1268e-05i,0.0004423+7.4318e-05i,0.00093474+0.00024678i,0.00033044-0.00012117i,-0.00070774-6.3441e-06i,-0.00091138+0.00048752i,-0.00014078+0.00030387i,0.00032008+0.00040351i,0.00023344+0.00054563i,-0.0003314+0.00037738i
0.0010035+0.00022024i,0.00066257-0.00094386i,0.00036455-0.0014278i,0.00036008-0.00098192i,1.7869e-06-0.00041607i,6.5533e-06-0.00017529i,0.00031867+0.0004319i,0.00058098+0.00052326i,0.0002179-0.00072701i,-0.00065412-0.00075033i,-0.00024912+0.00010676i,0.00041748+0.00018218i,0.00050395+0.00025721i,0.0006263+0.00019975i,0.00080476+4.5996e-05i,0.00084969-0.00029077i,-0.00020261-0.0006724i,-0.00086632-0.00029001i,-0.00054656-7.841e-05i,0.00011952+0.00045076i,0.00041777+0.00053083i,0.00026787+0.00018265i,-0.00055217+0.00029757i
-0.0030239+3.3104e-05i,-0.0028262+0.0010637i,-0.0017996+0.0029134i,0.00042475+0.0033663i,0.0022444+0.0019534i,0.0021802+7.8087e-05i,0.0013392-0.00055792i,0.0005382+0.00016293i,-0.00029574+0.00073738i,-0.0011426+0.0012408i,-0.00087042+0.0014221i,-0.00023172+0.0010313i,-0.00011365+0.00045751i,-3.8832e-05-6.8371e-06i,0.00016896+0.00036357i,-5.566e-07+0.00026074i,-0.00043616-0.00057754i,-0.00010876-0.00067523i,2.3972e-06-0.0009525i,-1.5878e-05-0.00088889i,0.00022487-9.7226e-05i,0.00031747+5.5488e-05i,-1.3591e-07-0.00035053i
-0.0015914-0.0015875i,-0.002879-0.0010884i,-0.0030562-0.0001069i,-0.0013231+0.00032921i,0.00051908+0.0012329i,0.0015091+0.0019937i,0.0018342+0.00051946i,0.0018297-0.00044986i,0.0015144-0.00020179i,0.00059066+0.00050514i,-6.633e-05+0.00034005i,0.00053492+0.00018354i,0.0011966-0.0004866i,0.0012787-0.0014515i,0.00061377-0.0008577i,0.00015669+0.00032769i,-0.00019386+0.00010301i,-0.00065012-0.00079283i,-0.00011612-0.00058015i,-0.00024022+0.00048449i,-0.00074589+0.00063505i,-0.00036496-8.0975e-05i,0.00016939-6.9027e-05i
-0.0018544+0.0013101i,-9.4338e-05+0.0021105i,0.001689+0.0026681i,0.0021009+0.0019881i,0.0022133+0.0012476i,0.0025544-0.00094939i,0.0018988-0.0023228i,0.00039017-0.001505i,0.00032061-0.00031577i,0.00023552+7.2369e-05i,-0.0004451+0.00027322i,-0.00055757+0.00032971i,-0.00027788-0.00017931i,-0.00049316-0.00072298i,-0.00043773-0.00056506i,0.00013128-0.00054015i,0.00063564-0.0010361i,0.00020835-0.0014531i,-0.0001267-0.000789i,0.00034687+0.00025514i,0.00056266+0.00042572i,0.00023325-0.00038014i,0.00019592-0.00073i
-0.0017866+7.8063e-05i,-0.0035179+0.00010793i,-0.003683+0.00097426i,-0.0016278+0.0021643i,-0.00026438+0.0026214i,0.00066415+0.001962i,0.00058635+0.0006721i,0.00032441-0.0002592i,-0.00038252-0.00033001i,-0.0012821+0.00047804i,-0.0009527+0.0007124i,0.00050281-0.00019591i,0.0013337-0.00090572i,0.00091463-0.00064797i,0.00092293+0.00014718i,0.00088752-0.00012228i,8.9144e-05-0.0008712i,-0.00015163-0.00030725i,-0.0010443+0.00066501i,-0.0015181+0.00035631i,1.2746e-05+0.00021608i,0.00049386+0.00065724i,8.6609e-05-9.4326e-05i
0.0004157-0.0010958i,-0.00057697-0.0021233i,-0.00036766-0.0012754i,0.0013064+0.00015995i,0.0024222+2.3065e-05i,0.0018084-0.0001823i,0.00023214+0.00076087i,-0.00059418+0.0013686i,-0.00059599+0.00073852i,-0.00044442+0.0006455i,-5.7247e-05+0.00037091i,0.0002598-0.00019714i,5.7062e-05-0.00062663i,-0.00049606-0.00069488i,-8.4257e-05-0.00069284i,0.0010246-0.00051898i,0.001067-0.00060126i,0.00019238-0.00029834i,6.78e-05+0.00027233i,0.00028655+0.00043786i,0.00087881+0.00012773i,0.0015855-2.8261e-05i,0.00083529+0.00025248i
-0.00025172+0.00016432i,-0.00028161-0.00019055i,3.9253e-05+0.0012816i,0.0008931+0.0023723i,0.0024592+0.0012199i,0.0024151+0.00056367i,0.0013995+0.00027191i,0.00067307-0.00020606i,0.00015801-0.00035147i,-9.561e-05-0.00032337i,-0.00011187-6.8613e-05i,0.00021589-0.00026865i,0.00010238-9.0719e-05i,-2.3233e-05+0.00060682i,0.00066827+0.00063124i,0.0010791+0.00023362i,0.0010688-0.00046513i,0.00071673-0.0014975i,0.00030769-0.00085039i,-0.00042143+0.00031895i,-0.00083017+0.00090307i,-0.00042407+0.0011739i,0.00020029+0.00050823i
-0.0014807+0.00083152i,-0.0025068+0.00050124i,-0.0019589-0.00035207i,-0.0003155-3.0181e-05i,0.00061178+0.00033671i,0.0011373+0.00019424i,0.00065115+0.00035834i,-0.00030001-0.00021261i,-0.00044457-0.00068405i,-0.00070212-0.0001183i,-7.2035e-05+0.00021946i,0.00097799-5.3429e-05i,0.00088438+8.9413e-05i,0.00037746-0.00046028i,0.00021055-0.00076969i,0.00020105-0.00013928i,0.00068672+4.6384e-05i,0.00045458-8.8408e-05i,0.00026659-0.00043386i,9.5996e-05-0.00027734i,-0.00036166+0.00043898i,-0.00019756+0.00024776i,-0.00045051-0.00063992i
0.0019603+0.00037841i,0.0017734-0.00095033i,0.0016939-0.0012388i,0.0026598-0.00035676i,0.0021884-0.00040348i,0.00089828-0.00055512i,-0.00026557+0.00031876i,-6.4329e-05+0.0014824i,0.000501+0.0010792i,-0.00010065-0.00017198i,-0.00070605-9.1954e-05i,-0.00049374-0.00010685i,4.0388e-05-0.00067979i,0.00050814+5.6546e-05i,0.00029311+0.00079924i,0.00033501+0.00067371i,0.00053717-7.8164e-05i,-0.00018632-0.00074402i,-0.00040046-0.00026255i,0.00040798+0.00053244i,0.00083902+0.00056188i,9.9172e-05-8.0281e-07i,-0.00016219+2.6298e-05i
-0.00041497+0.00028538i,0.00014103+0.00052992i,0.00062423+0.001227i,0.0008594+0.0013391i,0.001204+0.00035888i,0.00167-0.00036046i,0.0015513-9.2591e-05i,0.00056343-0.00013489i,-0.00011154-0.00015083i,-0.00039138+0.00025858i,0.00011597+0.00064426i,0.00034782+0.00022075i,0.00036844+0.00029265i,0.00023887+0.00061514i,0.00037388+0.00059401i,0.00041968+0.0006273i,0.00012998-0.0002903i,-5.249e-05-0.00038351i,-0.00020904+7.0702e-05i,3.2408e-05+0.00011751i,-6.996e-05+0.00033916i,-0.00018929+0.00034316i,0.00022565+0.00059492i
0.00013971+0.0010712i,0.00051826+0.0014148i,6.4199e-05+0.0016088i,0.00050128+0.0019933i,0.0020996+0.0015534i,0.0031172+0.00065064i,0.0023807-5.5014e-05i,0.0013657-0.00026432i,0.00051107-0.00047843i,-0.00039952-0.00047858i,-0.00099073+0.00037617i,-0.00091469+0.00055891i,-0.00037839-0.00029261i,0.00030437-0.00079522i,0.00057438-0.00032254i,0.00027734+0.0004742i,0.00050489+0.00010093i,0.0002835-0.00041834i,-0.00020131-0.00026995i,-0.00025461-0.00013934i,-6.2851e-05-0.00057019i,0.00062684-0.00070274i,0.0003568-3.9948e-05i
0.0017126+4.5018e-05i,0.0026672-0.00096697i,0.0025391-0.0018742i,0.0019594-0.0017957i,0.0017766-0.0018259i,0.0011444-0.001299i,0.00067838-5.0267e-05i,0.00064309+0.00055382i,0.00024852+5.5626e-07i,0.00021854-0.00074318i,0.00036594+0.0001991i,-0.00010665+0.0012554i,-0.00032673+0.00040275i,0.00045895-0.00044351i,0.00035713+0.000138i,-0.00018051+0.00062186i,-0.00065215-0.00033306i,-0.00032924-0.000871i,0.00014045-0.00033908i,-0.00055725-0.0005175i,-0.000428-0.00059885i,-5.881e-05-0.00049799i,-0.00036482-0.00043268i
-5.8635e-05-0.0011931i,-0.00059009+0.00090598i,-5.0101e-05+0.0021804i,0.00083796+0.0024885i,0.0019859+0.001352i,0.0020313+0.00090509i,0.0012154+0.0013309i,0.00067193+0.00095863i,-3.6292e-05+0.00027652i,-0.00039114+0.00013429i,-6.3207e-05+9.1437e-05i,-0.00048302-0.00031129i,-0.00019257-0.00091402i,0.0004724-0.0013569i,-0.00015172-0.001416i,-8.567e-05-0.0012624i,0.00023845-0.000762i,-0.00015912-0.00056316i,-0.00040206-0.00042182i,-0.00052-8.8662e-05i,-0.00073305+0.0004233i,-0.00047856+0.00033875i,0.00057584-0.0005397i
0.00056533-2.0673e-05i,0.00013191-0.00074075i,0.00017248-0.00056977i,0.00060622-0.00048221i,0.0010218-0.00054431i,0.00038977-0.0017856i,-0.00044498-0.0017748i,-0.00060293-0.00023503i,-0.00059143+0.0004134i,-0.0003997+0.00016372i,-0.00048047+0.0010356i,0.00036362+0.0010825i,0.0011657-0.00054675i,0.0011362-0.00053061i,0.00035185+5.6605e-05i,-0.00026194+0.00026678i,-0.00031905+0.00059157i,-0.0011348+9.9657e-05i,-0.0005748-0.00053772i,0.000789-0.00031277i,0.00064509-0.00053683i,6.1809e-06-0.00074509i,-0.00054931-4.9433e-05i
6.7143e-05-0.0012655i,0.00093438-0.00070777i,0.00058987-0.00089555i,0.00048822+0.00010416i,0.00090498+0.001562i,0.0011717+0.0016188i,0.00067108+0.00047135i,0.00041013-0.00015923i,0.00041407-0.00031562i,0.00036679-0.00025681i,0.00024479+0.00077966i,-3.6135e-05+0.0013281i,-0.00035518+9.4203e-05i,-0.00017302-0.00044443i,0.00032194-0.00036579i,0.00094432-0.00019974i,0.00097116+0.00031288i,0.00039189+0.00049783i,9.5988e-05-0.00028239i,0.00014422-0.0006082i,0.00015218-0.00019454i,3.1641e-05-0.00025798i,-6.5279e-05-0.00060502i
-0.0001983+0.00040859i,0.00040772-0.00033148i,0.0007169+7.4084e-05i,0.00075643+0.00051456i,0.00099286+0.00041063i,0.0006093-5.174e-05i,0.00012433-0.00060367i,0.00041302-0.00087318i,0.00056442-0.00049609i,3.7302e-05-0.00015516i,-4.1621e-05+0.00017673i,-0.00014858+0.00076911i,-0.00082323+0.00011999i,0.00014805-0.0011977i,0.00069506-0.00097771i,0.00033682-8.8264e-05i,0.00051518+7.3912e-05i,-8.7394e-05-0.00027693i,-0.00036444-0.00034753i,-0.00039687-0.00030704i,-0.00052329-0.00017068i,-0.00049163+0.00012915i,-0.00065227+5.1404e-05i
0.0017721-0.0014294i,0.0017375-0.002235i,0.00041571-0.0022831i,0.00093888-0.00045987i,0.002072+0.00055447i,0.0015708+0.00045747i,0.0011212+0.00038672i,0.0010889-0.00028402i,-0.00041434-0.00061098i,-0.00089211+0.00012849i,-0.00016246+0.0011473i,9.8423e-05+0.00028084i,0.00020796-0.00015412i,0.0010109+0.00019185i,0.0010421+0.00040599i,0.00018971+7.8702e-05i,-5.2722e-05-0.00036192i,-0.00040881-0.00012438i,-0.00048033+0.00019395i,-4.75e-05+0.00033163i,-3.3796e-05+0.0006398i,-0.00027295+0.00046047i,-0.00028953+0.00034345i
0.0023358-0.0001905i,0.0014043-0.001375i,0.0020779-0.0018914i,0.0020284-0.0015063i,0.00095554-0.0011713i,0.00033902-0.0011586i,0.00026539-0.0001163i,0.0006996+0.00051425i,0.00085851-0.00085317i,-9.5285e-05-0.0013892i,-0.0005391-0.00072329i,-9.4395e-05-0.00046759i,0.0005944-0.00015957i,0.0009634+0.00046371i,0.00067868+0.00037823i,-6.723e-05-0.0002566i,-0.00030325-5.6848e-05i,-0.00071097-0.00033904i,-0.0002844-0.00077441i,0.00047737+0.00011039i,0.00026671+0.0013247i,-1.3282e-06+0.0015484i,0.00010109+0.00079073i
-0.00014134-0.0014158i,-0.00074686-0.00097856i,-0.00102+0.00085292i,0.00026829+0.0010585i,0.0011853+3.1938e-05i,0.00097935+0.00028404i,0.0017337-0.00030333i,0.0020063-0.0010458i,0.00096461-0.00062598i,-0.00012726-0.00034955i,0.00044404-9.3797e-05i,0.00075451+0.00057316i,8.8585e-05+0.00018243i,0.00033467-0.00058449i,0.00078834-0.0011659i,0.00099104-0.0012152i,0.00070346-0.0011802i,-0.00018203-0.00078266i,-0.00043756+0.00010116i,-0.00045327+0.0003935i,-0.00033062-5.1652e-05i,-0.00019922-0.00013916i,0.00042635-0.00048043i
0.0018867+0.0013018i,0.00099486+0.00012278i,0.00060895-0.00045555i,0.00044347-0.00063079i,-7.2505e-05-0.00075941i,-0.00093304-0.00019424i,-0.0015202+0.00012741i,-0.0014966+0.00018359i,-0.00086622+0.00020654i,-0.00032106-1.4671e-05i,-6.5439e-06+0.0013346i,0.00035777+0.00097239i,0.00024075-0.0013264i,0.00045549-0.0014839i,0.00063511-0.00077254i,0.00052217-0.00091278i,0.00043174-0.00050954i,0.00036051+0.00019925i,-3.0522e-05+0.00032739i,-0.00033146+0.00010131i,-0.0008798-6.2516e-05i,-0.0014505-0.00016291i,-0.00084359-0.00050345i
-0.00011334+0.00057056i,0.00070497+0.00062701i,0.0014974+0.0011487i,0.0017564+0.00049649i,0.0018244-0.00023648i,0.0013274+0.00022595i,0.0017503+0.00075917i,0.0016788+0.0005717i,0.00053871+3.6271e-05i,-0.00067483+0.0006896i,-0.0010978+0.0008791i,-0.00035586+0.00059929i,-0.00020072+0.00020872i,-0.00054263-0.00041629i,-0.00032383-0.0007655i,-0.00015796-0.00070129i,-0.0006459-0.00012242i,-0.00085403-0.00021158i,-0.00082482-0.0012572i,-0.00091113-0.0013911i,-0.00044695-0.00092188i,-0.00025285-0.00078992i,-0.0003099-0.00088646i
0.0016978-0.00072879i,0.00077001+0.00080971i,-0.00026202+0.0012989i,-0.00087762+0.00076958i,-0.00034316+2.9648e-05i,0.00029003-4.4489e-05i,9.1255e-05+0.00019764i,0.00013024+4.6468e-05i,7.6683e-06-0.00086982i,-0.00054793-0.00083004i,-0.00069448+0.00079026i,-0.00043658+0.0011295i,0.0002624+0.00034074i,0.00091523-0.0004388i,0.00042816-0.00084249i,-9.7185e-05-0.00041629i,0.00047497-0.00020995i,0.00057992-0.00012949i,-0.00043704+6.621e-05i,-0.00012208+0.0002603i,0.00072017+0.0001511i,0.00051613+0.00013054i,0.00029003+0.00033711i
-0.00060729-0.00041821i,-0.00043332-0.00073338i,0.0001983-0.00084948i,0.0009087-0.00079515i,0.0018506-0.00055605i,0.0026904-0.00048445i,0.0017876-4.835e-05i,0.00032536+0.0001549i,-0.00076504-0.00025099i,-0.0010586-0.00015451i,-0.00058218+0.00086079i,-4.6608e-05+0.0014045i,0.00064794+0.00074443i,0.0011072-3.0978e-06i,0.00092432+0.00032788i,0.0006408+0.00020171i,0.00038138-7.9803e-05i,0.00056024+0.00065522i,0.00072598+0.00067497i,0.00094536+0.00050925i,0.00072749+1.5927e-05i,0.00016989-0.00044728i,-0.00010241+4.0185e-05i
