0.0041217-0.00090234i,0.0048168-0.0021393i,0.003956-0.0050097i,0.00019394-0.0054317i,-0.0037424-0.0039014i,-0.0048198+0.00013079i,-0.002506+0.0030414i,-0.00046187+0.0022767i,0.0002505+0.00031121i,0.0003877-0.0015488i,0.00020464-0.0019278i,-0.00016824-0.00046997i,-0.0011295+0.0010864i,-0.0011553+0.0013394i,-0.0003606+0.00099514i,-0.0002583+0.00031712i,-0.00035871-0.00045897i,0.00012089-0.00031406i,-8.1162e-07-3.7126e-05i,-0.00055011-0.00040786i,-0.00057973-0.00072399i,-0.00044488+0.00044288i,-9.4398e-05+0.001151i
-0.00059806+0.00074588i,-0.00077361-0.00042494i,0.00010642-0.00037538i,0.0012777+0.0003378i,0.0013366+0.00099445i,0.00066595+0.0022093i,-3.8262e-05+0.0021798i,-0.00017252+0.0014666i,0.00040159+0.00053429i,-3.8792e-05-2.0573e-05i,-0.00094595-9.847e-05i,0.00018335+0.0004621i,0.00082213+0.00073205i,0.00045109+0.0007024i,0.0010352+0.00064203i,0.00026336+0.00035031i,-0.0010331-0.00010781i,-0.001116-0.00018415i,-9.8473e-05+0.00054675i,-2.038e-06+0.00080528i,0.00012438-2.3484e-05i,0.00021881-0.0010889i,-0.00020357-0.0014311i
-9.7569e-05+0.00016018i,0.00036354-7.3609e-05i,0.00044166-0.00025624i,0.00035408-8.2623e-05i,-0.00029661+0.0010097i,-0.0010036+0.0018958i,-0.0015497+0.0015117i,-0.00085561+0.00067704i,-0.00016282-0.00021469i,0.0003387-0.00020906i,0.00047864+0.00047732i,-0.00023425+0.00042493i,2.4051e-05+9.3006e-05i,3.9533e-05+0.00022259i,-0.00027432+0.00053747i,-4.4827e-05+0.00064288i,-0.00024407+0.0002008i,-0.00065888-6.5906e-05i,-0.00028443+0.00051424i,0.00036458+0.00075825i,0.00025988+0.0004674i,8.543e-05-4.6583e-05i,0.00036572-0.00017433i
0.00026794-0.0018145i,-0.00012887-0.0018296i,-0.00063243-0.0013119i,-0.0013537-0.0010619i,-0.0009242+0.00014767i,0.00023143+0.0018924i,-7.5205e-05+0.002603i,-0.00021558+0.0013406i,-0.00017742+0.00028236i,-5.5813e-05-0.00025002i,0.00081985+0.00034985i,0.00063635+0.00048501i,0.00035739-1.6222e-05i,0.00021237+0.00029353i,0.00020617+0.00012209i,8.0686e-07+0.00020336i,-0.00039072+9.0866e-05i,-6.7178e-05-9.6342e-05i,0.00032559+5.7732e-05i,0.00037638-0.00041154i,0.00039252-0.00056828i,-0.00011737-0.00019639i,0.00014099-0.00021826i
0.0008574+0.00075051i,0.00035103+0.0011606i,0.00021102+0.00040997i,-8.1893e-05+0.0002726i,-0.00060642+0.00012524i,-0.00061151-6.9611e-05i,1.4394e-05-0.00017497i,0.00034033+0.00014536i,0.00014422+0.0001595i,-0.00048693+0.00019678i,-0.00089659+0.00068165i,-0.00086673+0.00051126i,-0.00019485+0.00032067i,-0.00011033+0.00048761i,-7.9151e-06-1.8909e-05i,5.0096e-05-0.00037026i,-0.00015438+0.00014997i,0.00042046-1.6227e-05i,0.00099391-0.00020169i,0.00040439-0.00010004i,-0.00049243-0.00028347i,-0.00074463-0.0005377i,0.0003981-0.00065588i
-0.00088854+0.00019109i,-0.00076371+0.00030425i,-0.00038191+0.00090674i,-7.3009e-05+0.0011957i,0.00032741+0.0016586i,0.00051092+0.0015133i,-0.00041794+0.00096602i,-0.00072785+0.00030172i,-6.0751e-05-0.00050103i,0.00095962-0.00024124i,0.00047231+0.00068117i,-0.00018135+0.00074036i,7.8731e-05+0.00059874i,0.00022716+0.00046797i,0.00037492+0.00033821i,-0.00044981+0.00019283i,-0.00097564-0.00015163i,-0.00052668-0.00045291i,-0.00028008-0.0001377i,-0.00019306+0.00055358i,6.5287e-05+0.0010412i,0.00041432+0.00060343i,0.0004177-3.1442e-05i
0.0019551-0.00039542i,0.002354-0.0010942i,0.0021278-0.0019835i,0.00057476-0.0026944i,-0.001433-0.0020319i,-0.0024709-0.00034323i,-0.0016868+0.00059882i,-0.0010632+0.00037721i,-0.00071859-0.00011903i,-0.00059757-0.00050761i,-0.0012733-0.00013572i,-0.001219+0.00037297i,-0.00090516+0.00011257i,-0.00083061+0.000453i,-0.00091042+0.0014919i,-0.0010493+0.00083127i,-0.00052046-0.00076628i,0.00032714-0.00068825i,0.00039773+0.00057617i,-0.00021437+0.00058532i,-0.00020464-0.0004598i,0.00051719-0.0006568i,0.00091522-0.00016084i
0.00036762+0.00066256i,0.0002615+0.00078321i,0.00028841+0.0020123i,0.00028011+0.0018499i,0.00054725+0.0011023i,0.00019008+0.0017958i,-0.00026441+0.0019041i,-0.00026206+0.0014474i,-0.00030213+0.0013042i,-0.00022623+0.00077886i,0.00052112+0.00054653i,0.00075676-9.5095e-05i,0.00016889-0.00070482i,0.00015308-0.00072221i,6.6775e-05-0.0003106i,-0.00053721+1.2819e-05i,-0.0002487+9.4783e-05i,0.00034375+0.00038232i,-6.8158e-05+0.00067387i,-0.00018412+3.1167e-05i,0.00032991-0.00066217i,0.00037349-0.00017168i,-0.00033707+0.00071059i
0.0014119+0.00063241i,0.0015244+0.00043112i,0.0020525+0.00064493i,0.0013183-0.0002829i,0.00044491-0.00039253i,4.0883e-05+0.00077177i,8.9819e-05+0.00078388i,-0.00012318+0.00070405i,-0.00036398+0.00093422i,-0.00031675+0.00023835i,-0.00054109-8.7368e-05i,-0.00045506+0.00033399i,-0.00062672-6.3383e-05i,-0.00086543-0.00018515i,-0.00044489-6.9795e-05i,0.00051268-0.00039532i,0.0004632-0.00086786i,-0.00019639-0.00012871i,-0.00083738+0.00032588i,-0.00057662+0.00074627i,-3.5826e-05+0.0010135i,0.00050212+0.0001252i,0.00082821-0.00045345i
-0.0010961-0.00093711i,-0.0011181-0.0020006i,-0.001735-0.0022609i,-0.0012759-0.00029068i,-0.00018257+0.00088861i,9.3124e-05+0.0012293i,0.0002235+0.0016951i,-6.8232e-06+0.001442i,-2.4251e-05+0.00058605i,5.0212e-05+0.00022708i,-0.00028931+0.00085641i,-0.00021967+0.001084i,-0.00028058+0.00020199i,0.00011053+2.5289e-05i,0.00095908+0.00078767i,0.00016121+0.00056989i,-0.00065342-0.00044774i,-0.00036809-0.00035561i,-0.00035122-0.00020493i,-0.00047892-0.00067729i,-0.00095072-0.00042909i,-0.00083531-0.00020293i,-1.6414e-05-0.00073767i
-0.00073442-0.001729i,-0.00059577-0.0011546i,-0.00097953-0.00078947i,-0.001439+0.00075886i,-0.0013468+0.0022004i,-0.00075172+0.0017985i,-2.9074e-05+0.0011114i,-0.00056788+0.00055497i,-0.00095919+0.00061113i,-0.0005488+0.00078767i,0.00035432+0.00070308i,0.00054246+0.00067236i,0.00018068+0.00032499i,0.00014537-0.0003906i,0.00029687-0.00048203i,0.00055569-0.00032732i,4.4679e-05-0.00034579i,-6.4209e-05+9.5447e-05i,0.00031511+0.00021316i,0.00027334+7.9115e-05i,0.00041367+1.4829e-05i,-0.00030607-0.00010074i,-0.00083206+0.0003451i
0.00045189-0.00026819i,0.00026129-0.00094678i,0.00022629-0.00084222i,4.9949e-05-0.00027308i,0.00018167+0.00066126i,0.00046127+0.0017723i,-0.00022897+0.0023044i,-0.00070283+0.0019108i,-0.0011953+0.0011481i,-0.0011148+0.00049565i,2.6827e-05+0.0004584i,0.00027749+0.00093066i,0.00015069+0.00037654i,6.171e-05-0.00041609i,-4.1201e-05-0.00063933i,0.00039724-0.00061031i,0.00098205-0.00083584i,0.00062687-0.00089808i,0.00014993-0.00053948i,0.00028171-0.00058053i,0.00026-0.00083799i,-7.5073e-06-0.0007932i,-0.00039561-0.00038475i
0.0009353+0.00064881i,0.0013547+0.00035317i,0.001697+0.00088511i,0.00090037+0.00067256i,-0.00026638-0.00070406i,-0.00059508-0.001083i,-0.0002667-0.00055461i,-0.00042962-0.00026625i,-0.00035975+4.7432e-05i,0.00012554-2.5182e-05i,0.0002972+0.00028024i,0.00026746+6.7675e-05i,1.6566e-05-0.00023442i,0.000319+0.00021797i,0.00040073+0.00064565i,3.5944e-05+0.00012121i,-0.00023007-3.3436e-05i,-0.00047459-0.00013067i,-0.00038267-0.00048778i,-0.00062736-0.00065823i,-0.00062608-0.00038538i,-0.00021121-7.7861e-07i,-1.9741e-05+1.5535e-05i
-0.00013145+0.00035373i,0.000746+0.0011685i,0.00043784+0.0011468i,0.00031383+0.00042491i,4.6604e-05+0.00029473i,-0.00042534+0.00082245i,-0.00064318+0.00086106i,-0.00066941+0.0003298i,0.00056034+0.00021276i,0.0015861+0.00066762i,0.00079524+0.00094712i,-0.00031553+0.00029756i,-0.00036197-0.00051605i,0.0007278-0.00026595i,0.0010627+0.00037234i,-0.00046952+0.00075598i,-0.00087398+0.0006423i,-0.00035277-9.952e-05i,-0.00024925+0.00031526i,-0.00073392+0.00068992i,-0.00090511-8.7653e-05i,-0.00012441-0.00056633i,2.8186e-05-0.00037305i
-0.00097067+0.00014116i,-0.0011866+0.0013024i,-0.0012045+0.0011761i,-0.00071564+0.0011726i,4.0528e-06+0.0020298i,0.00048124+0.0025294i,0.00092917+0.0016841i,0.0014891+0.0010169i,0.00071135+0.0005933i,-0.00074587+0.00086535i,-0.00094181+0.00099847i,-0.00033152+0.00034876i,0.00061166-6.1939e-05i,0.0013735+0.00016972i,0.0010706+0.00011831i,0.00036515+0.00063682i,9.2336e-05+0.00021726i,0.00049061-0.00067302i,-3.7008e-05+5.4311e-05i,-0.0004004+0.00042372i,-0.00051232-0.00014721i,-0.00098404-0.0003415i,-0.000781+0.00015692i
-0.00092432+0.00012224i,-0.001423+0.00037285i,-0.0012982+0.00033447i,-0.00023208+0.00084214i,0.00066141+0.0011783i,0.0010463+0.00084765i,0.0014498+0.001169i,0.0006905+0.0011005i,-0.00023225+0.00034453i,-0.00051272+0.00019654i,-0.00019111+0.00072208i,0.00037494+0.00072553i,0.00039151-0.00053723i,0.00043244-0.0015855i,0.00087395-0.0011861i,0.00082226-0.00020018i,0.00019906-0.00049395i,-0.00011399-0.0014707i,-0.00019151-0.0011986i,-0.00035387-0.00070637i,-5.9417e-05-0.00061863i,5.6809e-05-1.491e-05i,-0.0001568+0.00035713i
-0.0011426-0.0011824i,-0.00055805-0.000786i,-0.00078062-0.00047103i,-0.00061102+7.7388e-05i,0.00041979+0.00053304i,-3.6834e-05+0.00038041i,-0.00055037+0.0013605i,-0.00031326+0.0016166i,-0.00014991+0.00044524i,-0.00010948+1.7744e-05i,6.4891e-07+0.00048253i,0.00033046+0.00087429i,-4.3415e-05+0.00020375i,-0.00041371-0.00033684i,0.00044805+0.00042423i,0.00039746+0.0011984i,-0.00021256+0.00061942i,-0.00048619-0.00029651i,0.00022722-8.8945e-05i,0.00056426+0.00066831i,0.00048824+0.00049973i,0.00033831-0.00018937i,0.00039878-0.00036853i
0.0010662+3.1489e-05i,0.00218+0.00056894i,0.0024116+0.00043205i,0.0009785-0.0003865i,-0.00024143-0.00095876i,4.9846e-05-0.00037845i,0.0006213+0.00033982i,0.0007508+7.7552e-05i,0.00071186-0.00020538i,0.00070426+0.00027663i,0.00042646+0.00051656i,-0.00026726-0.00011225i,-0.00059306-0.00017312i,-0.00067792+0.00033108i,-0.00027144+0.00038028i,-5.3644e-05+0.0002245i,0.00015985-0.00050472i,0.00033914-0.00041839i,0.000342+0.00011019i,0.00069008-0.00063533i,0.00058389-0.00075276i,0.0002279-0.00013308i,0.0007177-0.00019065i
-7.0062e-05-0.000673i,-0.0007284-0.00096862i,-0.0010049-9.495e-05i,-0.001182+0.00071798i,-0.00054256+0.0018589i,-0.00036777+0.0026406i,-0.00070052+0.0018003i,-0.00046697+0.0010209i,0.00043982+0.00079598i,0.00071642+0.00018366i,0.00043014-7.5031e-05i,-0.00013131+0.00030975i,-0.00027602+0.0004604i,0.00018726-0.00018831i,0.00026048-0.00064132i,0.00070162-0.0012263i,0.00076217-0.00073087i,0.00019861+0.00032168i,0.00035893+0.00018217i,0.00052131-0.00035967i,0.00070359-0.00051102i,0.00070032-0.00026015i,0.0010383-1.9299e-05i
0.00040114-0.0010946i,0.00029924+0.00011583i,0.00016137+0.00087008i,-2.4009e-05+0.0012067i,-0.00012565+0.0011862i,0.00040416+0.0011508i,0.00049495+0.0011435i,0.00053564+0.0014379i,0.0004954+0.0014774i,0.00065657+0.00043016i,0.00044523-0.00018377i,-0.00039952+0.00017031i,-0.0006049+0.00062992i,-0.00031799-2.2237e-05i,-0.00036125-0.00072717i,-0.00057049-0.00063539i,-0.00020536-0.00066528i,5.1117e-05-0.000191i,-0.0001862+0.00019734i,-0.00095686+0.00040864i,-0.0013527+0.00051212i,-0.0010307+9.776e-05i,-0.00061091-0.00017557i
-0.0029748-0.0011635i,-0.0023203-0.0010734i,-0.0039029-3.926e-05i,-0.0033387+0.0016217i,-0.00099692+0.0024934i,-1.538e-05+0.0020752i,-0.00031795+0.0015709i,-0.00051817+0.0014459i,-0.00055642+0.0016693i,-0.00027013+0.0013044i,1.3062e-05+0.00063995i,0.00052718-0.0002288i,0.00047158-0.00089855i,0.0005235-0.00083584i,0.00029238-0.00050636i,-0.00023972-0.00041722i,-0.00085866-0.00017514i,-0.00077594+0.0001199i,0.00024374+0.00028275i,0.00072637+0.0003279i,0.00086421+0.00029012i,0.00077642+0.00052003i,0.00036499+2.4282e-05i
0.00012095+0.00080731i,-9.9631e-05+0.00082662i,0.00016496+0.00083708i,0.00036966-0.00016809i,-0.0006676-0.00047366i,-0.001458+0.00053682i,-0.00024676+0.0006045i,0.00081357+0.00053421i,0.00041587+0.00089337i,-0.00031267+0.0009086i,-0.00022459+0.00040706i,-0.00046898-0.00021559i,-4.2116e-05-0.00052716i,0.00011549-0.00037331i,-0.00013024-0.00087371i,-0.00035631-0.00099533i,-0.00070307-0.00088893i,-0.00046051-0.00046355i,-0.00013032+0.00017167i,-0.00064605+0.00047261i,-0.00095085+0.00039455i,-0.0008408-0.00044457i,-0.00017284-0.00050555i
0.0024565+0.0023739i,0.0026625+0.0020364i,0.0019687+0.0012394i,0.0013425+8.7083e-05i,0.00021649-0.00061059i,-0.00086446-0.00011921i,-0.00086674+0.00056471i,-0.00035902+0.00063903i,-0.00082352+0.00019168i,-0.0015075-6.0593e-05i,-0.0011682+0.00033688i,-0.00091889+0.00036601i,-0.00093894-0.00023629i,-0.00080701-0.00047667i,-0.00066916+0.00037496i,0.00020121+0.00087869i,0.00063646+0.00073458i,0.00090642+0.00032524i,0.00093542+0.00056519i,0.00087024+0.00079588i,0.00096596+0.000424i,0.00054533+0.00041927i,7.8049e-05+0.00049096i
0.00080026-0.00036809i,0.00039914+0.00087583i,6.9654e-06+0.00040826i,-0.00072965+0.00048334i,-0.0013502+0.001076i,-0.00092473+0.0014001i,0.00032308+0.0011781i,0.00094768+0.00069734i,0.00059571+0.00047855i,0.00022804-0.0002221i,0.00027507-9.3276e-05i,0.0008129+0.00086152i,0.00031613+0.00058509i,-0.00030179+0.0005313i,-0.0001214+0.00065664i,0.00021678+0.0002861i,0.00029885+0.00051394i,8.207e-05+0.00077491i,-0.00017382+0.00021197i,0.00041572-0.00010603i,0.00061435+0.00034012i,0.00025274+0.00078612i,0.00047523+0.00052038i
0.0022228-0.00085069i,0.0016799-0.0014296i,0.0011332-0.0021191i,0.00045197-0.001952i,0.00073499-0.0011478i,-0.0001274-0.00041411i,-0.00067783+2.0772e-05i,0.00016483+0.00031853i,2.193e-05+0.00021887i,-0.00027139-0.00072003i,-0.00045957-0.00097201i,-0.00080956-0.00022566i,-0.0001903+6.451e-05i,-0.00042844+0.00040711i,-0.00077241+0.00045432i,0.00045244+5.75e-05i,0.00092728+1.0533e-05i,0.00031023-0.00042282i,-0.00027965-0.0004427i,-0.00063334-0.0002868i,-0.00019506-7.0714e-05i,0.0001813+0.00017014i,0.00065663-8.3395e-06i
-0.002229+0.0014739i,-0.0022828+0.0019487i,-0.0016765+0.0030499i,0.00063796+0.0024671i,0.0017192+0.0013253i,0.0005475+5.5463e-05i,0.00038027+0.00039877i,0.00032371+0.0013442i,0.00032504+0.0015596i,0.00064462+0.0010431i,0.00091181-8.0302e-06i,0.00067487-0.00094135i,0.00030916-0.0010249i,-0.00013357-0.0012373i,-0.00015377-0.0010083i,7.9979e-05+0.00027696i,0.00074768+0.00045259i,0.00076841-1.2237e-05i,0.00051279-0.00012524i,0.0001361-0.00021275i,0.00015472-0.00053318i,0.00024597-0.00051065i,-2.9637e-05+0.00023201i
-0.0028673+0.00073201i,-0.0032003-5.6885e-05i,-0.002184+0.0011914i,-0.00016387+0.0019166i,0.0010703+0.0017951i,0.0014346+0.0018248i,0.0012027+0.0010048i,0.00047957+0.00047443i,-0.00050098+0.00055127i,-0.00062968+0.00082023i,0.0003714+0.00066516i,0.0012068+3.6913e-05i,0.00064204-8.3129e-05i,-0.00019668-0.00011627i,-7.5553e-05-0.00025846i,2.1681e-05+8.9107e-05i,-0.00016283+0.0006196i,0.00028803+0.00057047i,0.00060517-0.00029086i,0.00088852-0.00050207i,0.00083717+0.00025811i,7.584e-05+0.00074138i,-0.00069497+0.00097092i
-0.0022876-0.001131i,-0.0020575-0.0018294i,-0.0015993-0.0011984i,-0.00096454+0.0010838i,4.1181e-05+0.0023943i,-5.9001e-05+0.0013875i,-0.0004869+0.00063698i,-0.00098262+0.00016115i,-0.00085547+0.00028134i,0.00066194+0.0015353i,0.0010464+0.0017866i,0.00032314+0.00088806i,0.00027651-8.0085e-05i,0.00061553-0.00065692i,0.00031758-0.00029887i,-0.00012299+7.9349e-05i,0.00015249+0.00044653i,-0.00024432+0.00066419i,-0.0001435+0.00033844i,0.00017491-9.4535e-05i,0.0005133-0.00041641i,0.0010923-9.8818e-05i,0.00040804-0.00074134i
-0.00055518-0.00028953i,-0.0010569+7.9441e-05i,-0.0014847+0.0011823i,-0.0011796+0.0018328i,-9.7802e-05+0.0019284i,0.00065536+0.0023913i,0.00059838+0.0026363i,0.00024947+0.0016826i,-9.7578e-05+0.00025795i,-0.00035227-4.0657e-05i,-0.00066219-0.0006046i,-0.00029954-0.0011982i,0.00027962-0.00058707i,3.9765e-05+2.2028e-06i,0.00011462+0.00012957i,0.0004632+0.00015136i,0.00035662+0.0002157i,0.0003923+0.00029753i,0.00036849-9.2842e-05i,-0.00024476-1.6e-05i,-0.00014704+0.00077608i,-9.4658e-05+0.00065346i,-0.00091733+0.0001353i
0.0015168+0.0009416i,0.001223+0.0011091i,0.001071+0.00070026i,0.0016775+2.5387e-05i,0.0016294-0.00019602i,0.00081133-0.00057972i,-2.325e-05+0.0002451i,0.00018523+0.00043125i,0.00062726-0.00026756i,0.00042265-0.00048758i,0.00047991-0.00045703i,0.00019856-0.00087483i,-0.00091454-0.00034261i,-0.0012299+0.0010453i,-0.00085429+0.00025112i,-0.00017142-0.00031307i,0.00027929+0.00034583i,-0.00041125+0.00020232i,-0.00099801+0.00066685i,-0.00076152+0.0014676i,-0.00029237+0.00076061i,-0.00054511-2.056e-05i,-0.00053928+0.00035096i
0.00044355-0.0010011i,0.00090169-0.00066644i,0.0004611+0.00040998i,-0.00065764+0.0010231i,-0.00073651+0.0014314i,0.00018375+0.0018653i,0.00026074+0.0016711i,-0.00016634+0.0010619i,-5.9796e-05+0.00033494i,0.00014031+0.00012458i,0.00019368+0.00019057i,0.00027663+0.00039271i,0.0006613+0.0012078i,0.00090138+0.0010669i,0.00056526+0.00048214i,-0.00018197+0.00041793i,-0.00077479+0.00040601i,-0.00053513+0.00034447i,0.00015278+0.00060429i,0.00017178+0.00020186i,0.00013313-0.00015759i,9.5842e-06-0.0001813i,-0.00032747+9.9476e-05i
0.00081562-0.0018525i,0.00087578-0.0015869i,0.00079451-0.0014031i,-0.00082255-0.00082308i,-0.0010512+0.00070113i,-0.00088895+0.0013545i,-0.00084479+0.00056683i,-0.000556+0.00029863i,0.00021176+0.0004523i,0.0001819+0.00031793i,-0.0002443-0.00013599i,4.2025e-05+0.00061456i,0.00067237+0.0012409i,0.00097711+0.00057812i,0.00029426-0.00044597i,-0.00022802-0.00070306i,-0.00021191+4.7159e-05i,-8.0435e-05+0.00063079i,0.00011776+0.00018861i,0.0001511-0.0006237i,-0.00032958-0.00095966i,-0.00049555-0.00019604i,-0.00040807+0.00085666i
