-0.0034796+0.0017738i,-0.0026186+0.002077i,-0.0029228+0.0022895i,-0.0010202+0.00096669i,-0.00017873+0.0006166i,1.6741e-05+0.0021217i,0.00017182+0.0030108i,0.00084723+0.0028212i,0.0010243+0.0015473i,0.00053121+0.000596i,0.00019346+0.00039106i,-0.0003071-0.00055462i,-0.00079499-0.0010241i,-0.0013727-0.00076975i,-0.0011713-0.00034486i,-0.00045227+4.8855e-05i,-0.00018797-0.00053343i,0.00065907-0.0010828i,0.0011795-0.00096969i,0.00076821-0.0001566i,3.4427e-05+0.00084058i,-0.00065695+0.00081246i,-0.0005686+0.00054094i
0.0012327-0.00021077i,0.00095285+0.00039855i,0.00037304+0.00015218i,1.6303e-05-1.3578e-05i,0.00032235-0.00039131i,0.00044407-0.00021897i,0.00030862+0.00051464i,0.00055606+0.00077228i,0.00087737+0.00056919i,0.00039181+8.5203e-05i,9.2455e-05+0.00040115i,0.00030572+0.00050879i,0.00042191-1.9575e-05i,0.00035721-0.00022706i,1.342e-05+0.00011729i,-5.2613e-05+0.00087632i,-0.00020943+0.0011002i,-0.00055836+0.00087281i,-0.00075523+0.00033032i,-0.00072108+0.00020352i,-0.00027639+0.00014328i,0.00026199-0.00017367i,0.00068082-0.0002193i
-0.0010908-0.00067477i,-0.00064246-0.00075053i,-0.00027284-1.9609e-05i,-0.00053444+0.00035413i,-0.0011023-0.0002246i,-0.00032898-0.00074081i,-0.0004276+0.00025401i,-0.00076294+0.0013908i,0.00011694+0.001073i,-0.00020738-1.3106e-05i,-0.00062299-6.1506e-05i,-0.00037032+0.00041388i,8.4606e-05+0.00036704i,0.00025408+0.00061926i,0.00032279+0.00052556i,0.00027333-0.00024576i,-0.00038992-0.00032533i,-0.00065302-0.00014579i,-5.1755e-05-0.00032389i,0.00016449-0.0008204i,-0.00043081-0.00026334i,-0.00059224+0.00056664i,-0.00060706+0.00059609i
0.0027385+0.00043045i,0.0016524-0.00016322i,0.0010907-0.00010674i,0.00039046-0.00059243i,-2.4429e-05-0.00091723i,-0.00051508-0.00077423i,-0.00073218-4.8546e-05i,-0.00020317+0.00049885i,-0.00022193+0.00036232i,-0.00042678-6.9109e-05i,-0.00039046-1.5225e-05i,-0.00031233+0.00035942i,-0.00054698+0.00066588i,-0.0012483+0.00030135i,-0.001171-0.00022799i,-0.00066699+0.00036796i,-0.00081314+0.00099112i,-0.00085182+0.00043533i,-0.00010507-0.00027548i,-0.00014594+0.00076293i,-0.00018409+0.0011758i,0.00093838+5.4496e-05i,0.00087267-0.0009588i
-0.00054098-6.7092e-05i,-0.0010789+0.00074812i,-0.0013739+0.0017809i,-0.00064826+0.0011809i,0.00065075+0.00022182i,0.0010299+0.0004984i,0.00038138+0.00077702i,0.00036015+0.0004641i,0.00026936+0.00046761i,0.00033689-1.4583e-05i,-0.00038347-0.00053263i,-0.00045613-4.2376e-05i,0.00026225+0.00081379i,8.0103e-05+0.001248i,-0.00045694+0.00073119i,-0.00011514+0.00017513i,0.00026999+3.7685e-05i,-0.00016024-3.3149e-05i,-0.00017944-0.00029174i,0.00027068-0.0011353i,0.00065243-0.0012344i,0.00020293-2.3698e-05i,0.00035978+0.00088314i
-0.0011557+0.0012387i,-0.0013553+0.0014868i,-0.00014015+0.00104i,0.0010076-1.3631e-05i,0.0011218-0.00051478i,0.0012483+0.00010518i,0.0016682+0.0011155i,0.0008743+0.001653i,-0.0002279+0.0013675i,-0.00068422+0.00024385i,-3.7141e-05-0.00030451i,-0.00010112-3.6785e-05i,-0.00085396-0.0003893i,-0.00060624-0.0011688i,-0.00027748-0.00079561i,-1.2223e-05-0.00032407i,0.00049345-0.00032371i,0.00075906-0.00023845i,0.0011241-0.00062159i,0.00057104-0.00066809i,-0.00069544-6.6697e-05i,-0.00066926-0.00025295i,-0.00033772-0.00027128i
-0.0014177-0.0005174i,-0.0015964-0.00099252i,-0.0010561-0.0012409i,0.0003844-0.0012198i,0.00084401-0.00013753i,0.00083267+0.00057695i,0.00020102+0.00082175i,-0.00016253+0.00091698i,0.00027018-8.5622e-05i,0.00015879-0.00049197i,0.00037916-0.00057708i,0.00041392-0.0005547i,-0.00026617-0.00062108i,-0.00041299-0.00053988i,-0.00048998+7.774e-05i,0.00036412+0.00044745i,0.0013749+0.00077239i,0.00052153+0.00047671i,-0.00026645+0.00026724i,-7.9223e-05+0.00048444i,0.00024524+0.00041352i,-9.8001e-05+0.00037399i,-0.00067611+0.00021271i
-0.00093341+0.00011127i,-0.00020035+0.0012011i,-0.00072743+0.0022954i,-0.00066273+0.0024256i,0.00052512+0.002324i,0.0012639+0.0020094i,0.0011899+0.0015733i,0.00074826+0.0015513i,0.00060756+0.0014696i,8.7046e-05+0.0010391i,-0.00024557+0.00069687i,-0.00023402+0.0004662i,-0.00030499+0.00048151i,0.00046624+0.0011099i,0.00075672+0.0010696i,0.00078345+0.00057785i,0.00066403-0.000523i,0.00063441-0.00087188i,0.00089745-0.0007716i,2.7064e-05-0.00082766i,-0.00049781-0.00030272i,-0.00039786+3.0904e-05i,-0.00057325+0.00037491i
0.00050388-0.00033447i,-0.00061657+0.00011916i,-0.00023172+0.0003567i,0.0009715-5.0653e-05i,0.0012066-0.00016207i,0.00089911+0.00028087i,0.00080112+0.00046522i,0.0011497+0.00071702i,0.0013776+0.0010751i,0.00084632+0.00068152i,0.00028904+0.0002325i,0.00029839+0.0004966i,0.00037477+0.0008086i,-0.00046426+0.00066814i,-0.00090614+0.00018933i,-0.00017946-0.00010816i,0.00041704-5.5774e-05i,0.00074648+0.00031335i,0.00067191+0.00038376i,-1.3649e-05-0.00012989i,-0.0010687-0.00066295i,-0.0010768-0.00070407i,-0.00058533-0.00038935i
0.00094923+0.0022193i,0.0011481+0.0021025i,0.0010653+0.0019665i,0.0010269+0.00023369i,0.0013734-0.00064586i,0.0010943-0.00011043i,0.00034091+0.00022693i,0.00041339+0.00038336i,0.00029945+0.0012349i,-0.00047512+0.0016706i,-0.000574+0.00070811i,-0.00044747+4.7372e-05i,-0.00045367-3.3135e-05i,-0.00025199-0.00018723i,-3.5088e-05-0.00043287i,0.00014204-5.0394e-05i,5.542e-05+0.00076806i,-0.00017578+0.00061537i,4.6816e-05+0.0005165i,8.4952e-05+0.0005209i,1.8701e-05+0.00024696i,0.00047487+0.00014232i,0.00079176+0.00064758i
0.0015662+0.00079717i,0.0019445+0.0004175i,0.0020661-0.00026823i,0.0017619-0.0011193i,0.001329-0.00084429i,-5.1316e-05+6.6285e-06i,-0.00061759+0.00057742i,6.5845e-05+0.0010416i,0.00081663+0.00065199i,0.00088838-0.00018779i,0.00073207-0.00046439i,0.00033275-0.00042059i,0.00013579+0.00045394i,0.00050185+0.00094514i,0.00090636+0.0012817i,0.00023193+0.0010004i,-0.00038187+0.00019795i,0.00025676-0.00071376i,0.00099624-0.00049452i,0.00085301-5.2719e-05i,-0.00021338-0.0002741i,-0.00085055-0.00029184i,-0.00049345-3.1439e-05i
0.0003933+0.001226i,-0.00085882+0.0014796i,-0.0012408+0.00083008i,-2.7978e-05+3.3523e-05i,0.00043537-6.9183e-06i,-0.00013159+0.00055646i,-0.00011971+0.00070708i,0.00062075+0.0011623i,0.0010291+0.00157i,0.00066964+0.0013259i,0.00049869+0.00095909i,0.00015068+0.00054968i,9.8279e-05+0.00024835i,-8.0329e-05-2.9604e-05i,-0.00050465-0.00032135i,0.00010011+9.0403e-05i,0.000496+0.00021168i,-0.00018406+0.00021391i,-0.00054904-6.461e-05i,-7.2403e-05-0.0007522i,0.00029582-0.0012266i,-0.00021027-0.00070731i,-0.00031247-8.2196e-05i
0.00090618-0.0008367i,0.0005596-0.00091447i,0.00052097-0.0013901i,-0.00014313-0.0017183i,-0.00052503-0.0018369i,-0.00020186-0.00066457i,0.0010808+2.6881e-05i,0.0014938+7.4002e-05i,0.000309-8.0728e-05i,-0.00064292-0.00078361i,-0.00071908-0.00018865i,-0.00041477+0.00093276i,-0.00042206+0.0010862i,-0.00044695+0.00039203i,-0.00032531-0.00024895i,0.0001681-0.0001784i,0.00058546+0.00023349i,-0.00034165+0.00056198i,-0.00068727+0.00030855i,0.00017881+0.00042577i,0.00060523+0.00022898i,0.0002363-0.00027988i,3.5303e-05-0.00042135i
-0.0015252-0.0016412i,-0.0018874+0.00013816i,-0.0013392+0.00074443i,-0.00051961+0.00020794i,8.8106e-05+0.00035603i,2.6295e-05+0.00071664i,-0.00024182+0.0011773i,0.00011262+0.00088817i,-3.0397e-05+0.00014922i,-0.00021856+0.00043531i,0.00021791+0.00055869i,0.00014446+0.00036131i,-0.00055706+0.00095513i,-0.00061565+0.00079303i,-7.1545e-05-0.00026928i,0.00061055-0.00048419i,0.00049843+4.5097e-05i,1.884e-05+0.00045148i,-0.00011084+0.00013293i,-0.00034438-0.0003327i,-7.974e-05-0.00058086i,9.5062e-05-0.00098938i,-0.00010562-0.00043392i
0.002398+0.0043713i,0.00092202+0.0022049i,0.0010819-0.00022786i,0.001171-0.0012167i,0.00076382-0.0014631i,-0.00010928-0.0010124i,-0.00020825+0.00076612i,0.00045858+0.0016097i,0.00016018+0.0012406i,-0.00012143+0.00044991i,0.00053309-0.00057246i,0.00041539-0.00069249i,5.1065e-05-1.8624e-06i,0.00040945+0.00062567i,0.00025818+0.00075531i,2.5083e-05+0.00047158i,0.00042622+0.00010944i,0.00030176-0.00021982i,-0.00020053-0.00030547i,-0.00019843+0.00021219i,-1.2629e-05+0.00020354i,0.00033517-0.00020162i,0.00024703-0.00065607i
0.00093303-0.0010242i,0.00042828-0.0011447i,0.00034462-0.00099096i,0.0017561-0.00023391i,0.0014399+0.00030944i,0.00035271+0.00058656i,-8.2416e-06+0.0011847i,0.00026378+0.0020067i,0.00045037+0.0018429i,-1.3094e-05+0.0012708i,-0.00022778+0.0005135i,-0.0001735-0.00035804i,9.9485e-05+0.00031107i,0.00046227+0.0008805i,0.00020156+0.00048841i,0.00012345+0.00033999i,4.4389e-05+0.00047946i,-0.0010739+0.00015414i,-0.00099623-0.00043461i,0.00030387-0.00038051i,0.00058065-0.00036093i,-0.00038674-0.00076124i,-0.00050562-0.00096886i
-0.00091821+0.00066483i,-0.0015283+0.00028272i,-0.00086236+0.0002041i,9.185e-05-5.82e-05i,0.00054564+0.00037436i,0.00097656+0.0011433i,0.001006+0.00091694i,0.00075504+0.0011234i,0.000406+0.0010723i,-0.00028702-0.00011658i,-0.00011629-0.00064341i,0.0006414-0.0003728i,0.00018735-0.00036472i,0.00037585-0.00018194i,0.0013325+0.00032021i,0.00081613+0.00052268i,0.00028473+0.00024216i,0.00044981-0.00040621i,0.00048439-0.00073294i,0.00018831-0.00073849i,0.00013069-0.00092729i,-0.00036686-0.0011342i,-0.00048932-0.00096575i
0.0010084-0.0022877i,7.1917e-05-0.00041051i,1.3543e-06-0.00033339i,-0.000661-0.0014125i,-0.0011253-0.0012945i,-0.0011519+1.2956e-05i,-0.00027261+0.00029979i,0.00035793+7.5247e-05i,0.0011276-0.00014411i,0.00087238-2.2092e-05i,-0.00020851+0.00054853i,-0.00051005+0.00070477i,-0.00043958+0.0001457i,0.00026898+0.00038346i,0.00066076+0.00044637i,-0.00017391+0.00012831i,-0.00088399-0.00012744i,-0.00026815-0.00088305i,9.7279e-05-0.00093236i,0.00016851-0.00018924i,0.00027485+0.00019408i,0.00016165+0.00022126i,-0.00013072-0.00020368i
-0.00076002-0.0002687i,-0.0010125+0.00023919i,-0.00029645+0.00010925i,0.00055192-0.00037493i,0.00037597+0.00019192i,0.00036697+0.00095222i,0.00070152+0.00092171i,0.0009798+0.00067835i,0.00061193+0.00016329i,0.00019154-0.00054768i,0.00033475-0.00054318i,6.4616e-05-4.2107e-05i,-0.00033043+0.00026894i,-0.00082056+0.00046817i,-0.0006911+5.5852e-06i,-0.00039752-0.00024954i,-0.00026609+0.00052106i,-0.00018099+0.00045638i,-9.8966e-05-0.00083505i,0.00085211-0.0011302i,0.00094415+0.00014215i,-0.00011548+0.0014287i,-0.00019476+0.001663i
-0.00094756-0.0009122i,-0.0019618-0.00040723i,-0.0018441-0.00014696i,-0.0013348+0.00059055i,-0.00047552+0.00053259i,-0.00026219+0.0003857i,-0.00089609+0.0010753i,-6.2808e-05+0.0012959i,0.00014144+0.0011533i,-0.0008705+0.0014113i,-0.00070439+0.00075994i,0.00038737-0.00042496i,0.00049082-1.786e-06i,-6.6628e-05+0.00055882i,-0.00044816+0.00072832i,-0.00050716+0.00032326i,-0.00031281-0.00092614i,-0.00052083-0.00091456i,-0.00028445-0.00035707i,0.00034424-0.00064404i,-0.00032664-0.00072565i,-0.00094287+1.6306e-05i,-0.00099244+0.00049369i
-0.0023974-0.0010923i,-0.0024607+0.00026908i,-0.0018387+0.0012482i,-0.0010741+0.0016305i,-0.0010181+0.00080825i,-0.00054255+0.00064475i,-0.00064408+0.0013113i,-0.0005471+0.001391i,0.00041928+0.00083162i,0.000258+0.00068837i,-0.00068876+0.0010384i,-0.00077291+0.00064571i,-0.00035671-0.00026075i,-0.00044231-0.00017033i,-0.00043586+0.00010331i,-0.00017588+0.00024437i,0.00059219+0.00011462i,0.00089683-0.00034057i,0.00021475+6.0645e-05i,-0.00066828+0.00018985i,-0.00062961-0.00055939i,-0.00037568-0.00067348i,-0.00027096-0.00055222i
-0.00084777-3.3217e-05i,-0.00019332+0.00064588i,0.00085083+0.00051675i,0.0011783+0.00048734i,0.0013966+0.0006722i,0.0013059+0.00077312i,0.001123+0.00097874i,0.0016931+0.00093351i,0.0015927+0.001103i,0.00040104+0.0010349i,0.00024535+0.00051569i,-8.1446e-05-0.00057168i,-0.00047838-0.00041224i,-0.00050932+0.00028627i,-0.00018322+0.00058257i,0.00049308+0.00036515i,0.00025863-0.00044939i,0.00011107-0.00055897i,0.00075341+0.00011563i,0.00073683+0.00035827i,-0.00032797+3.014e-05i,-0.00076222+0.00015935i,-0.00071898+0.00035015i
-0.0016736+0.00064445i,-0.0010133+0.0019904i,-0.00037804+0.0014568i,2.165e-05+2.24e-05i,0.0011129-0.00062447i,0.0019652-7.5488e-05i,0.0016257+0.0011052i,0.0010481+0.00148i,0.00021902+0.00096038i,3.2499e-06+0.00043719i,0.00087091+0.00060346i,0.00083447+0.0011602i,-0.00025486+0.00092605i,-0.00025062+0.00025995i,-6.7836e-05-4.773e-05i,-0.00022953-4.7222e-05i,-0.00030908+0.00013378i,-0.00054197-1.8565e-07i,-0.00081108-0.00043864i,-0.00038605-0.00030643i,0.00053747+0.00062732i,0.00051207+0.00080262i,0.00074887-7.1446e-05i
-0.00014096+0.0016853i,-0.0003263+0.0014342i,-0.00066661+0.0008052i,0.00031177+0.00092925i,0.0014625+0.0014929i,0.0017687+0.0011067i,0.0013528+0.00054484i,0.0012915+0.00079768i,0.00044066+0.00073699i,-0.00021466+0.00084554i,-1.0465e-06+0.0010043i,0.00027052+0.00075055i,0.0004537+0.00051707i,-0.00034708+0.00027058i,-0.00085504-0.00013569i,8.0366e-05-0.00012919i,0.00056706+0.00038193i,0.00037013+0.00027177i,0.00042837-0.00062863i,0.00022196-0.00047642i,-0.0005093+2.2226e-05i,-0.00096103-0.00010641i,-0.0003768-0.0001461i
0.0023178-1.0731e-05i,0.0018507-0.00062266i,0.0020112-0.001793i,0.0021185-0.002164i,0.00175-0.0015012i,0.00082708-0.0013712i,0.00085604-0.00094829i,0.001079-0.00010241i,5.8402e-05-5.1991e-05i,-0.00048115-0.00015188i,-0.00093-0.00023096i,-0.0012488-0.00041443i,-0.00069807-3.1161e-05i,1.2681e-05+0.0005212i,-0.00013561+0.00077147i,-0.00043492+0.00072519i,-0.00029904+0.00057179i,-0.00022153+0.00045691i,-0.00050571+0.00031137i,-0.0007554-2.0379e-05i,-0.00029096-8.7543e-05i,-9.1038e-05+0.00031276i,-0.00055702+0.00044209i
0.00058227+0.00070209i,-0.00016835+0.0006819i,-0.0013089+0.00056581i,-0.00043968-0.00027509i,0.00059622-0.00071232i,0.00029214+0.00015045i,-0.00059014+0.00057737i,-0.00026087+0.00082132i,0.00026315+0.00076135i,0.00023866-0.00033162i,0.00011662-0.00039121i,0.0006623+0.0003966i,0.00054354+1.8671e-05i,0.00022494-0.00042665i,0.00015746-0.0002618i,-3.8456e-05-0.00018153i,-0.00016699-0.00019192i,0.00020965-0.00017321i,0.00026324+0.00037015i,0.00016563-0.00038111i,0.0011246-0.00076266i,0.00074369-0.00024238i,0.00017361+0.00010427i
-0.0022434-0.00078409i,-0.0016306+0.0011286i,-0.0018484+0.0015717i,-0.0018761+0.0015269i,-7.4536e-05+0.0018657i,0.0010996+0.0017579i,0.00034803+0.0011812i,-0.00038593+0.0011777i,-0.00069585+0.001239i,-0.0010903+0.001007i,-0.00068783+0.00048414i,-0.00029758+0.00048688i,-0.00064021+0.00069812i,-4.5501e-05+0.00068643i,0.00035763+0.00084869i,0.00023149+0.00038091i,0.00026401-0.00017398i,0.00010723-0.00071101i,-0.00018465-0.00068301i,-0.00028987-0.00080366i,-0.00039205-0.00088073i,-5.6964e-05-0.00036046i,-1.7043e-05+0.00011096i
0.00043033-0.0013452i,0.00086145-0.00027395i,0.00097699+0.00097531i,0.00054295+0.0017427i,0.00022826+0.0011864i,0.00066258-0.00031598i,0.0010841-0.00020569i,0.001241+0.0010147i,0.0011759+0.0008556i,0.00095296+6.7017e-05i,0.00097358-0.00034868i,0.0006936+0.00012622i,0.00019631+0.00038934i,0.00022305+0.00011732i,0.00038076+0.00055955i,0.00030686+0.00034673i,-0.00011489-0.00059294i,-0.00014186-0.00018101i,0.00034006+0.00044042i,0.00056339+0.00019712i,0.00020385-0.00020433i,-7.5162e-07-0.00025786i,9.9006e-06-0.00041724i
0.00039629-0.0017555i,-0.00020137-0.0018849i,0.00013014-0.0022281i,0.00035564-0.0018446i,0.00084959-0.00043181i,0.00084598+8.1328e-05i,0.00087138+0.0011444i,0.00072483+0.0018679i,0.00068735+0.00085004i,0.00068042-0.00011834i,0.00047792-0.00064745i,3.4707e-05-0.00034792i,7.1613e-05+0.00054486i,-0.00072144+0.0009256i,-0.0015447+0.00059972i,-0.00095681+0.00030797i,-0.00018032+2.1384e-05i,0.00036717-0.00031701i,0.00015309+0.00043561i,-2.3046e-05+0.0010183i,6.0022e-06+0.00047887i,-0.00071605-0.00015845i,-0.00017598-0.00021819i
