-0.001021-0.0014135i,0.001113-0.0023389i,0.00056848-0.002204i,-0.00075917-0.00087989i,-0.0010429+0.00036044i,-0.0014067+0.00056464i,-0.0016874-6.3282e-05i,-0.0012742+8.432e-05i,-0.0010275+0.00041544i,-0.00019241+0.00065984i,0.0012656+0.0011156i,0.001676+0.00074914i,0.00088506-0.00039338i,0.00015938-0.00039745i,-0.0001841-0.00040342i,-0.0008949-0.00046504i,-0.00080217+1.5677e-05i,-0.00074781+0.00032358i,-0.0011136+0.00024354i,-0.00078013-0.0003218i,0.00028237-0.00035632i,0.00085936+3.2565e-05i,0.00093249+0.00045473i
0.00061756+0.0010832i,0.00068525+0.0013818i,0.00079088+0.0012527i,0.0010947+0.0009718i,0.00077537+0.00060597i,0.00044931+0.00030864i,0.00098323+0.00027545i,0.00091707+0.00082996i,6.4168e-05+0.00087101i,7.3063e-05+0.00055259i,0.00025214+0.00034725i,0.00035325-0.00019885i,0.00023752-0.00050763i,-0.00026141-0.00033854i,-0.0007508-0.00015907i,-0.0011435+0.00057733i,-0.00071593+0.0014389i,-0.00036924+0.0008243i,-0.00032121-3.756e-06i,-0.00010084+9.4635e-05i,0.00012586+0.0001509i,0.0003273-0.00022131i,0.00044261-0.00023825i
-0.0010517+0.00087004i,-0.00032011+0.00085213i,8.2384e-05+0.0012134i,0.00094236+0.00025656i,0.0013507-0.0011011i,0.0012165-0.0016364i,0.00024631-0.001452i,-0.00102-0.00044873i,-0.00057768-0.00019594i,0.00064476-1.8191e-05i,0.00080199+0.00019735i,0.00017615+0.00016972i,-0.00088903-9.6977e-05i,-0.00080681-0.00034785i,-0.00040718+0.00021593i,-0.0009294+0.00089701i,-0.00050987+0.0010119i,-0.00013087+0.00078333i,-0.00071551+0.00049611i,-0.00059302-0.00012548i,-7.8471e-07-0.00071636i,-2.4528e-06-0.00070961i,-0.00076711-0.00073426i
-0.0005415-0.00028651i,-0.0011094+0.00064709i,-0.0012021+0.00054408i,-0.0010009+0.0011203i,-0.0011206+0.0016443i,-0.00059907+0.0012479i,0.0004358+0.00052079i,0.00049242+8.6858e-05i,-0.00037389+0.00032883i,-0.00063352+0.00083761i,3.7152e-05+0.00051215i,0.00036982-0.00064515i,-0.00036112-0.00081054i,-0.0009744-0.00058462i,-0.00016497-0.00053452i,0.00038941-0.00046516i,-0.00027966-0.00037093i,-0.00033971-0.00036306i,-0.00066094-9.8735e-05i,-0.0012551+0.00053055i,-0.00078109+0.00089732i,-0.00039201+0.00064067i,-0.00087755+0.00019215i
-0.00045214+0.0019729i,-0.00085529+0.0014944i,0.0001025+0.00062388i,0.00060994+0.00032681i,0.00067984+0.00046565i,0.00072951-0.00024589i,0.0004959-0.00097461i,0.00011975-0.00035426i,0.00010812+0.00061374i,0.0001752+0.00068224i,-0.00023965-0.0007159i,-0.0005168-0.0007439i,-0.00026479+8.8118e-05i,7.6108e-06-0.00028255i,5.5754e-05-0.00072722i,-0.00054736-0.00045437i,-0.00076683-0.00030112i,-0.00038906-0.00011136i,-0.00049951+2.4194e-05i,-0.0002412-0.0001266i,2.3175e-05-0.00045421i,3.2794e-05-0.0006083i,-0.00031942-0.00020344i
-6.8614e-05+0.0015545i,0.0005557+0.00064582i,0.0012707-0.00057113i,0.00084318-0.00092261i,0.00061943-0.00069983i,1.9935e-05-0.00058602i,-0.00078995-0.00036974i,-0.00057533-2.608e-05i,-8.8129e-06+0.00043063i,0.00020901+0.00096991i,0.00049181+0.0013331i,0.00011303+0.00090778i,-0.00034167+0.00015419i,-0.0002543+7.464e-05i,-0.0004609+6.4611e-05i,-0.00031732-6.5913e-05i,-7.5042e-05+0.00036877i,-0.00066271+0.0002527i,-0.0010535-0.00026335i,-0.00070825+0.00020395i,-0.00084988+0.00036786i,-0.0011345+0.00032481i,-0.0015046+2.5174e-05i
-0.00032437+0.00072911i,2.5808e-05+0.0013644i,-0.00023275+0.0013166i,3.8575e-05+1.0559e-05i,0.00034056-0.0010224i,0.00061475-0.00082162i,0.00029631-0.0010665i,-0.00046907-0.0014622i,0.00015876-0.00055036i,0.0006153+0.00049595i,-0.00016802+0.00056912i,5.3151e-05-0.00026792i,0.00046068-0.00025422i,-0.00029904+3.845e-06i,-0.00077817-1.584e-05i,-0.00028964+0.00032318i,1.4379e-05+0.0008047i,-0.00019233+0.0005423i,-0.00053944-7.082e-06i,-0.0011063+0.00030019i,-0.00084721+0.0012485i,0.00021932+0.0018518i,0.00047378+0.0016277i
-0.0011057+0.0024229i,0.00061133+0.0021703i,0.0012867+0.0017205i,0.0015177+0.00092923i,0.0010952+0.00093965i,0.00017784+9.93e-05i,-6.5436e-06-0.00074767i,0.0004435-0.00035604i,0.0009298+0.00046469i,0.00073952+0.00087342i,0.00035016+0.00042935i,0.0002672-5.2547e-05i,-0.00035363-0.00045827i,-0.00044805-0.00062239i,0.000117+0.0004331i,0.0001446+0.00070863i,-0.00056642+0.000187i,-0.0011556-0.00020771i,-0.00086562-0.00061055i,3.4714e-05-0.00038893i,0.00053413+0.00016115i,-5.2564e-06+0.0004164i,-0.00039683-0.00026952i
-0.0010313+0.00020773i,-0.0011575+0.00033049i,-0.00081007+0.00097727i,0.00016742+0.00084008i,0.0013486+0.00011014i,0.0014526-0.00045988i,0.00028395-0.00067976i,-0.00050667-0.00031146i,0.00033547-0.00053733i,0.0011283-0.00044259i,0.00099019+0.00014611i,-0.00029992+8.7972e-05i,-0.0010612-0.00023698i,-0.0013106-4.8633e-05i,-0.0015777-0.0002427i,-0.0011156-0.00037387i,-0.000804-0.00020847i,-0.0010428-1.7244e-05i,-0.0010599-0.00060768i,-0.00041502-0.00052481i,0.00023081+0.00026041i,0.00077017-1.731e-05i,0.00050058-0.00030913i
0.0024519-0.00093531i,0.0020664-0.0016672i,0.001174-0.0033096i,0.00032436-0.0038045i,-0.00087491-0.0026732i,-0.0006101-0.0011422i,0.0002382-0.00046956i,-4.7284e-05-0.00080876i,-0.00025767-0.00023931i,2.9815e-05+0.0010375i,0.00034936+0.0008052i,0.00036517-7.4605e-05i,-3.7997e-05-0.00019605i,-0.00040778+0.00046295i,-0.00046675+5.0752e-05i,-0.0004653-0.00074876i,-0.00030949-0.00026995i,-0.00050097-0.0002411i,-0.00068835-0.00030098i,-0.00048007+0.00057286i,-0.00016853+0.00095411i,0.00017768-1.6891e-05i,0.00064438-0.00058179i
-0.0012943+0.00065673i,-0.00067629+0.00083307i,-0.00066658+0.00059407i,-0.00058776-0.00050113i,-0.00011019-0.00061035i,0.00033981-0.00044359i,0.0007023-0.00018886i,0.00043524+0.0010587i,-5.2152e-05+0.0014347i,0.00023721+0.00027576i,0.00050906-6.002e-05i,0.00052871+0.00015174i,0.00013533+0.00014312i,-0.00052088+0.00079783i,-0.00029712+0.0011768i,-0.00013589-1.5531e-05i,-7.2265e-05-0.00074155i,0.00054434-0.00085414i,0.0006058-0.00107i,0.00018461-0.00030609i,-0.00030716+0.0002871i,-0.00031435-0.00024704i,-0.00022537-0.00049743i
-0.00044483-0.0001889i,-0.00063274+0.00081856i,-0.00066119+0.00022752i,-0.00054676-0.00066681i,-0.00023007-0.000761i,0.00040727-0.00027131i,0.00060907+8.9356e-05i,0.00025989+0.00051133i,-0.00011525+0.00072812i,-0.00017474+4.5894e-05i,-2.1539e-05-8.4148e-05i,-0.0004907+0.00053319i,-0.00044258+0.00086623i,0.00028797+0.00025508i,-0.00029896-0.00035228i,-0.00086656-0.0010021i,-0.0012395-0.0010004i,-0.0011534-0.00080666i,-0.00053562-0.00063115i,-0.00031858-0.00055364i,-0.00055058-0.0008841i,0.0002256-0.00046461i,-9.563e-05+0.00014421i
-0.00045951-0.00055236i,-0.0011577-0.00055249i,-0.0012863-0.00080027i,-0.0015756-0.0014326i,-0.0019059+0.00031061i,-0.001323+0.0010813i,-0.00075178+0.0002214i,-0.00054947-2.8805e-05i,-0.00037638+0.00013909i,0.00010029-0.00025215i,0.00058716-0.00013971i,0.00053846+0.00024005i,0.00021069-0.00047402i,5.1959e-05-0.00064585i,-0.00018617-1.7974e-05i,-0.00034214-0.0003825i,-0.00037405-0.00091137i,-0.00044496-0.00048807i,-0.00057822-0.00044121i,-0.00029299-0.00056969i,0.0003459-7.5224e-05i,2.2576e-05+0.00018369i,-0.00036193-0.00020083i
0.0012693+0.0015451i,0.002499+0.0016548i,0.0025523+0.0013568i,0.0011687+3.196e-05i,0.00067408-0.0013539i,0.0003955-0.001156i,0.00031843+0.00014446i,0.00015802+0.0014912i,0.00017267+0.0013087i,0.00048253+0.0004751i,0.00060295-0.00012905i,0.00037688-0.00082626i,4.2567e-05-0.00041142i,-0.00071608+0.00019029i,-0.0011743+0.00019898i,-0.00063238-0.00037088i,-0.0002599-0.00027947i,-0.00033994+1.3634e-05i,-0.00099272-0.00010772i,-0.0010984-0.00051385i,2.5842e-05-0.00021737i,8.3875e-05+0.0003061i,0.00033888-8.9567e-05i
