-0.001021-0.0014135i,0.001113-0.0023389i,0.00056848-0.002204i,-0.00075917-0.00087989i,-0.0010429+0.00036044i,-0.0014067+0.00056464i,-0.0016874-6.3282e-05i,-0.0012742+8.432e-05i,-0.0010275+0.00041544i,-0.00019241+0.00065984i,0.0012656+0.0011156i,0.001676+0.00074914i,0.00088506-0.00039338i,0.00015938-0.00039745i,-0.0001841-0.00040342i,-0.0008949-0.00046504i,-0.00080217+1.5677e-05i,-0.00074781+0.00032358i,-0.0011136+0.00024354i,-0.00078013-0.0003218i,0.00028237-0.00035632i,0.00085936+3.2565e-05i,0.00093249+0.00045473i
0.001378-0.0019391i,0.00067409-0.0023972i,0.00022101-0.0017544i,-0.00083365-0.00065561i,-0.001268-0.0005321i,-0.00071949-0.00014287i,-0.00021803+0.00028497i,0.00043332+0.00025087i,0.00025688+0.00050482i,-0.00019521+0.00051268i,-0.00061854-4.1779e-05i,-0.0010332+0.00015263i,-0.0012392-5.9631e-05i,-0.00084791-0.00014351i,-0.00010323-6.7352e-05i,0.00022114-0.00025997i,0.00024894-0.00050458i,0.00015617+5.2729e-05i,-0.00037115-0.00015827i,0.00011034-0.00024943i,0.00090744+9.4136e-05i,0.0013113-0.00024663i,0.00083682-5.2842e-06i
-0.0022711-0.0013773i,-0.0013536-0.00020893i,-0.00063238-0.00041046i,-0.0012872-0.00079916i,-0.00075288-6.0979e-05i,0.00075789+0.00023153i,0.0014029+7.6269e-05i,0.0014076-0.00018709i,0.00036395-0.00024696i,0.00034828+0.00070613i,-8.8714e-05+0.0014292i,-0.0015298+0.0013489i,-0.0013241+0.00046593i,-5.4307e-06+0.00029038i,0.00032357+7.5188e-05i,-2.5731e-05-0.00047912i,0.00030601-9.9921e-05i,0.00028831+6.0749e-05i,0.00017812-0.00045839i,4.8058e-05-0.00013781i,-0.00025255+0.00036448i,-0.0002191+0.00033552i,-0.00031337+0.00022368i
0.0013575-0.0026812i,0.00037838-0.0031i,-0.0007643-0.0034785i,-0.0014638-0.0025924i,-0.0010762-0.0012993i,0.00068657+1.9122e-05i,0.001432+4.552e-05i,0.0010696-0.00072419i,0.0010463-0.00057575i,0.00059155+0.00013157i,-0.00018043+0.0007698i,-0.00076305+0.00067551i,-0.00033829+6.2474e-05i,-9.631e-05-0.00038238i,-0.00043072-0.00053937i,-0.00020562-0.0012016i,-0.00039737-0.0015265i,-0.00089457-0.0010768i,-0.00040251+6.8533e-05i,0.00077496+0.0011276i,0.00026701+0.0014247i,-0.00056001+0.00019447i,8.094e-05-0.00048422i
-2.9976e-05-0.0019102i,-0.00094286-0.001126i,-0.0015503-0.00026869i,-0.0016538+7.9477e-05i,-0.0013652+0.00055806i,-0.00068757+5.929e-05i,0.00083457+0.00015297i,0.001189+0.00024951i,0.00010568-0.00062112i,0.00013651-0.00025387i,0.0010118+0.00024348i,0.00098635-4.5253e-05i,0.00071612+8.9548e-06i,0.00023151-0.00036647i,0.00022167-0.0011042i,0.00038787-0.0010552i,-0.00016536-0.00075413i,-0.00048693-0.00057697i,-0.0001583-0.0005772i,0.00056256-0.00044208i,0.00078025-0.00036519i,0.0006125-0.0002226i,0.00029461+3.3615e-05i
-0.0020653-0.0021502i,-0.0027396-0.0021315i,-0.002499-0.001892i,-0.0014719-0.0011006i,0.00055779+0.00072107i,0.0018734+0.0019086i,0.0013963+0.00093945i,0.00056679-0.00013555i,7.5922e-05-0.00059819i,-0.00017391+2.5611e-05i,-0.00010403+0.00088773i,0.00065635+0.00050618i,0.00048804-0.00017394i,-0.00011912-0.00057764i,0.00034558-0.0010288i,5.3857e-05-0.001019i,-0.00012649-0.00053683i,-0.00031491+0.00027339i,-0.00098463+0.00068806i,-0.0012018+0.00090212i,-0.0012158+0.00073242i,-0.00032975+0.00066621i,0.00014543+0.00036658i
-0.0002858+0.0010178i,0.00031917+0.0012551i,0.00085441+0.0012395i,0.00045244+0.0010923i,0.00028397+0.00071809i,0.00011983-0.00015239i,-0.00019912-0.0012867i,1.3534e-05-0.0010102i,4.4953e-05+0.00057775i,0.00071138+0.00098871i,0.00087894+0.00013257i,0.0002945-0.00091249i,-0.0002447-0.0011071i,-0.00045938-0.00064927i,-0.00055005-0.00024701i,-0.0011144-0.00079788i,-0.0011292-0.0010602i,-0.00013891-0.00024884i,0.00076168+0.0002404i,7.7133e-05+0.00016598i,-0.00079904+1.1434e-05i,-0.0010014+0.00028601i,-0.0013326+0.0010659i
0.00037947+0.00014649i,0.00041927-0.0011203i,0.0011231-0.00066763i,0.0006037-0.00065447i,0.000595-0.0012629i,0.00096572-0.001207i,0.00037432-0.00025112i,-6.5385e-05+6.7181e-05i,2.0188e-06+0.00051877i,0.00036825+0.0013453i,0.0011939+0.0015233i,0.0007014+0.0007911i,0.00031247+0.00029364i,-0.00020351+0.00056324i,-0.00057239+0.00041878i,2.1532e-05-0.00017682i,0.00021525-0.0012708i,0.00047406-0.0019658i,1.021e-05-0.0010532i,-0.00083273+0.00042314i,-0.00032119+0.0006076i,0.00013316-4.078e-05i,0.0001332-0.00016037i
0.0015578+0.0011286i,0.00071547+0.00029794i,0.00018843-0.0015105i,0.00039319-0.0016489i,0.00060403-0.00013702i,0.00038829+7.8854e-05i,0.00029739-0.00056547i,0.00066234-0.00034227i,0.00085282+1.5696e-05i,0.0010604+9.1054e-05i,0.00034323+0.00028775i,-0.00026113+0.00055179i,0.00025218+0.00067371i,0.00031982+0.0004681i,-0.00051222+0.0004942i,-0.00045145+0.00023677i,-0.00033505+0.00025915i,-0.00034245+0.00041029i,-0.00024728+0.00032079i,-0.00043129+0.00028502i,-9.3274e-05+2.3777e-05i,0.00046769-0.00015611i,0.00033698+0.00044781i
-0.0020058-0.00033191i,-0.0010064+0.0003814i,0.00062108+0.0010803i,0.00025908+0.00055277i,-0.0015696+0.00047125i,-0.0013822+0.0012408i,-0.00023981+0.00084724i,0.00022389-0.00028201i,0.00014497-0.00046916i,-0.0004719-0.00034474i,-0.00014015+0.00053403i,0.00049018+0.0013871i,0.00053464+0.00036165i,-3.5589e-05-0.00011699i,1.2883e-05+0.00063808i,-0.00023997+0.00052899i,-0.00082448+1.9116e-05i,-0.00013341+0.00017954i,0.00013808+0.00018413i,-0.00042451-0.0004835i,-0.00039335-0.00034579i,-2.7014e-05-0.00014444i,0.00040072+2.4194e-05i
-0.00035481-0.001493i,-0.0013497-0.00078797i,-0.0024315-0.0012186i,-0.0026716-0.00064995i,-0.0015085+0.00042221i,0.00035946+0.0012298i,0.00099064+0.00076688i,0.00086954-0.00056559i,0.00021162-0.00041075i,-0.00058294+0.00021996i,-0.00026827+0.00052302i,0.00053844+0.000153i,0.00079916-0.00052117i,0.00035534-0.00055692i,-0.00012255-0.0007239i,8.5211e-05-0.00099307i,6.514e-05-0.00035893i,0.00022921-0.00067119i,5.6162e-05-0.00088806i,0.00049433-0.00072895i,0.0015778-0.00089606i,0.00099402-0.00019187i,0.00045442+0.00061306i
-0.00032919+5.3978e-05i,-0.00048694+4.392e-05i,0.00047956+0.00038331i,0.0010723+0.00010375i,0.0010044-0.00018026i,0.00080627+0.00014103i,0.00088507-9.5118e-05i,0.00031807-0.00069203i,0.00031943-0.0005306i,0.00080819-0.00019372i,0.00042942-0.00075334i,-1.951e-05-0.0010642i,-0.00011827-0.00075499i,-0.00020784-0.00046286i,-0.00023157-0.00051343i,4.5566e-05-0.00066959i,-0.0004647-0.00057325i,-0.0011035-0.00080923i,-0.00090972-0.0013229i,-0.00081176-0.0014192i,-0.00099033-0.00050837i,-0.00094929+0.00038887i,-0.00064777+0.00046463i
0.0019395+0.00076352i,0.0028039-0.00079282i,0.002438-0.0023291i,0.002134-0.003421i,0.001722-0.0028585i,0.0005976-0.0012923i,-2.7527e-05-0.00077438i,0.00015016-0.00024094i,0.00068129+0.00063013i,0.00075096+0.00073401i,0.00020906+0.00056259i,-0.00064978+0.00056944i,-0.0014325+0.00048105i,-0.0013323-0.00034218i,-0.0006514-0.00034635i,-0.00048417+3.3422e-07i,-0.00055176+2.3218e-05i,-0.00027024-0.00066621i,3.9445e-06-0.0011028i,-4.6991e-05-0.00020209i,-3.2782e-05-4.2079e-05i,-0.00015379-0.00033421i,0.0001232-0.00018733i
-0.0010866-0.00027338i,-0.0012229+0.00015183i,-0.00077537-0.00038929i,-0.00030946-0.00018183i,-0.00053485+0.00091613i,-5.1485e-05+0.00056296i,0.00079518-0.00062961i,0.00033001-0.00057319i,-0.00074921+9.6359e-05i,-0.00085346-0.00024117i,-0.00020398-0.00038911i,5.3456e-05+4.239e-05i,-0.00042609+0.00054068i,-0.00082174+0.00055722i,-0.00018662+6.1836e-05i,0.0001509-0.00024099i,4.088e-05-0.00051681i,4.0585e-05-0.000712i,-0.00021085-0.00048679i,-0.00068865-0.00021823i,-0.00094925-0.0001189i,-0.00092037-0.00062367i,5.2362e-05-0.00034475i
-0.00014837-0.00092975i,-0.00030528-0.00052337i,-0.00095515-0.00059353i,-0.0011034+0.0001336i,-0.0011396+0.0011692i,-0.00040985+0.0005466i,0.00040275-0.00032747i,8.8364e-06-0.00055344i,-0.00054795-0.0006028i,-0.00043804-0.00011801i,6.7333e-05-0.0002397i,1.994e-05-8.5749e-05i,2.8889e-05+1.0606e-05i,0.0006732-0.00053494i,0.00040913-0.00096882i,9.5013e-05-0.00066171i,-0.00016804-0.00038863i,-0.00091874-0.00031894i,-0.0011234+0.00048756i,-0.0007006+0.00018671i,-0.0001163-0.00063536i,-0.00041251-0.00029855i,-0.00046333-0.00039334i
0.0009778+0.0011291i,0.0014004+0.00078246i,0.0015966+0.00026368i,0.00084057+0.00030902i,0.00043174-0.00016753i,8.7483e-05-0.00039411i,0.00061265-0.00073488i,0.00095564-0.00034301i,0.00077189+0.00069143i,0.001344+0.00071757i,0.0014678+0.00060182i,-0.00011378+0.0005908i,-0.0013785+0.0007094i,-0.00078806+0.000613i,-0.0004608-0.00015936i,-0.00042707-0.0010826i,0.00024759-0.0007445i,0.00075631-5.0975e-05i,0.00031282+0.00037201i,1.7116e-05+0.0005419i,0.000206+0.00067245i,-8.4041e-06+0.00070679i,-5.5873e-05+0.00072444i
0.0010254-6.0067e-05i,0.00061212-0.00078141i,-0.00027205-0.00073778i,-0.0003691-0.00096307i,-0.00056789-0.0012693i,-0.00039365-0.00065838i,0.00035235-3.9634e-05i,0.00096215+3.9131e-05i,0.00099893+7.1755e-05i,0.00087029-0.00026818i,-6.6871e-05-0.00025765i,-0.00068771-0.00037739i,-0.00082591-0.00031816i,-0.0003934-0.00031224i,9.6194e-05-0.00088305i,-0.00041215-0.00078407i,-0.00040201-6.1454e-05i,-4.9751e-06-0.00012764i,-0.00073088-7.7579e-05i,-0.0015339-0.00044423i,-0.0011009-0.00065059i,-0.00042365-2.4687e-07i,0.0003565+0.00021514i
0.0022534-0.00060497i,0.0023954-0.0022327i,0.0018757-0.0035961i,-0.00040275-0.0033492i,-0.0008376-0.0032812i,-0.00021605-0.0029641i,0.00067314-0.0034668i,0.00039148-0.0052953i,-0.00092516-0.0056694i,-0.0021822-0.0046136i,-0.0031864-0.0031633i,-0.0032804-0.0014597i,-0.0033122-0.00072987i,-0.0027193+0.00015302i,-0.00082823+0.0012065i,0.00049317+0.0010184i,0.00078978-0.00010976i,0.00062842-0.00088323i,0.00054004-0.00064012i,-8.9472e-05-0.00040551i,-0.0010394+2.1732e-06i,-0.00075207+0.00070628i,-4.8976e-05+0.00065225i
-0.00048515+0.00095059i,-0.00088443+0.00088896i,-0.0023017+0.00097126i,-0.0022502+0.00089761i,-0.00060655+0.00084966i,0.00074474+0.001012i,0.00092838+0.00046806i,0.00081887+0.0002958i,0.00024294+0.0013261i,0.00011499+0.0020805i,-0.00012466+0.0012877i,-0.00070861+0.00061024i,-0.0014989+0.00033369i,-0.0011566-0.00058684i,2.4937e-05-0.00037701i,3.2244e-05+0.00018051i,0.00022249+0.00061869i,0.00025819+0.00057614i,-0.00058123-3.6234e-05i,-0.00037943-0.0009257i,0.00027678-0.0016584i,0.00026584-0.00078442i,0.00044046+0.00021957i
-0.00019305-9.9516e-05i,-0.00034472+0.0004664i,-0.00050499+0.00058582i,0.00031165+0.00016473i,0.0011161+0.00030726i,0.0010536+0.00042309i,0.00054659-0.00027474i,0.00010626-0.00044406i,-0.00045789+0.00071204i,-0.00023482+0.00071849i,0.00087257-9.0465e-05i,0.0011586+0.00018683i,0.00037331+0.00025823i,-0.00054663+0.00055327i,-0.00057343+0.00050076i,-7.0003e-05-0.00050462i,-0.00035558-0.00084671i,-0.00073885-0.00043617i,-0.00052671+0.0002033i,-0.000781-2.1202e-05i,-0.0003614-0.00058401i,0.00022532-8.811e-05i,-0.00037583+0.00064754i
0.00092518-0.00049062i,-0.00051145-0.00016442i,-0.0014926-0.00062515i,-0.0018378-0.00052704i,-0.0015731+0.00017583i,-0.00059226+9.596e-06i,0.0003477-0.00033732i,0.00049011-0.00041249i,0.00020414+9.3975e-05i,-0.00082849+0.00083984i,-0.0013175-5.647e-06i,-0.00084319-0.00078451i,-0.00020366-3.7817e-05i,0.00027574+0.00086106i,0.00049128+0.00070947i,0.0005436-0.00016009i,0.00013495-0.00042228i,0.00032993-0.00033882i,0.00030083-0.00042652i,0.00025926-9.5788e-05i,0.00076073+0.00027311i,0.00059868+0.00041309i,-5.4811e-05+0.00041343i
-0.0010262-2.4236e-05i,-0.00080347-0.0004998i,5.3649e-05-0.00088166i,0.00079612-0.00068597i,0.00041609-4.335e-05i,0.00031644-0.00019651i,0.00064185-0.00022346i,3.3289e-05-0.00014261i,-0.00087716-7.0128e-05i,-0.0007808+0.00011666i,-0.00022534-8.1875e-05i,-0.00046168-0.00036602i,-1.1682e-05-0.0002481i,0.00014734+0.00016226i,-0.00059506+0.00030376i,-0.00058596+0.00038252i,-0.00038099-0.00017041i,-0.00023371-0.00022402i,-0.00039696-0.00050647i,0.00032861-0.00028601i,0.00073446+0.0005352i,0.00032019+0.00081388i,4.5091e-05+0.00060079i
-0.00039297+0.0012105i,0.0001362+0.0010581i,-0.00011241+0.0013042i,-0.00016305-0.00015712i,0.00087108-0.0012309i,0.0013314-0.00039575i,0.0013167-0.00066096i,0.0012603-0.00066545i,0.00051903-0.00036445i,0.00057824+0.00024987i,0.00034708+0.0005187i,-0.00068903-0.00043231i,-0.00054779-0.00036257i,0.00024617-0.00031703i,0.00073435-0.0010208i,0.00014221-0.0010227i,-0.00025863-0.0010229i,-0.00077783-0.00058899i,-0.0015543+0.0001103i,-0.0012202-9.0298e-05i,-6.0459e-05-0.00025905i,0.00015158+0.00024282i,0.00019042+0.00073199i
0.0001212-0.00042749i,-0.00083836-0.00086624i,-0.00075521-0.001515i,-0.0010607-0.0012731i,-0.001261-0.00058917i,-0.00061825-0.00036866i,0.00039656-0.00068768i,0.00068488-0.00043307i,0.00032336+0.0005109i,-3.602e-06+0.00053424i,-0.00010618-0.00026343i,-0.00025476-0.0001754i,-0.00075744-0.00040219i,-0.00045882-0.00041676i,-6.7419e-05+0.00012064i,-0.00058312-0.0003326i,-0.00075736+0.00017035i,-0.00053193+0.0005245i,-0.00025797+0.00016068i,-0.00092463+0.00029103i,-0.00072549+0.0003029i,-4.3841e-06+0.00038948i,-9.7778e-05+0.00042225i
0.00056656-8.6579e-05i,0.00050264-0.00048847i,0.0017185-0.0019168i,0.0019065-0.0019977i,0.00033235-0.0013991i,-0.0003258-0.00058197i,0.0005092+7.7952e-05i,0.0010002+0.00018262i,0.0013227+0.00016809i,0.0012699-1.1007e-05i,0.0013108-0.00021945i,0.0016215-0.00064923i,0.00084041-0.00040532i,0.00015865-9.1205e-05i,0.00057614-0.00034178i,0.00025386-0.00025068i,-0.00038193-0.00045576i,-0.00086646-0.00058898i,-0.001532-0.00031941i,-0.0014091+0.0004628i,-0.00056399+0.00064485i,0.00058582-6.1031e-05i,0.0004073-0.00083144i
0.0031981-0.0001739i,0.0017005-0.0016352i,0.00036036-0.0030593i,-0.00028578-0.0037986i,-0.0008302-0.0023933i,-0.0012572+0.00020183i,-0.0005483+0.0015158i,0.00021456+0.0010536i,0.00073236+2.9096e-05i,0.00056749+0.00013157i,0.00053609+0.00042509i,0.00068885+0.00063217i,4.884e-05+0.00091541i,0.0003034+0.0014628i,0.00088565+0.00085704i,0.00059761-0.00025209i,0.00017109-0.00032558i,-0.0002325-0.00053908i,-0.00055037-0.00028925i,-0.0012893+9.1801e-05i,-0.0015577+0.00014376i,-0.00038748+0.00031989i,-0.00030151-0.00025435i
0.00086512-0.00088265i,0.00075003-0.0011636i,-0.00035768-0.001385i,-0.00064714-0.00086126i,-2.1114e-05+0.00014085i,0.0016718-0.00012896i,0.0018402-0.00028389i,0.00075072-0.00057978i,-0.00023685-0.00041336i,-0.00063035+0.00026857i,-0.00053072-3.962e-06i,-9.6949e-05-0.00094807i,0.00089231-0.00091344i,0.001135-0.00024666i,0.00059075+0.00016056i,0.00018373+0.00010354i,0.00017918-0.00033216i,0.0001368-0.00039547i,0.0005938-0.00079325i,0.0006376-5.6583e-07i,1.0064e-05+0.00046053i,0.00073477-0.00034902i,0.00097732-0.00024102i
0.0003576+0.00045605i,7.4741e-05-0.00028486i,-8.2395e-05-0.0009425i,0.00016445-0.00060579i,9.996e-05-6.4479e-05i,-0.00016369-3.3137e-05i,0.00059594+9.7226e-05i,0.00085214+8.9612e-05i,0.00065848+0.00016212i,0.0012502-5.628e-06i,0.0011552-8.9144e-05i,0.00044088+0.00013024i,-0.00014973-2.1559e-05i,-0.00054237-6.6336e-05i,2.3731e-05-0.00011i,0.00018273-0.00074424i,-0.0006585-0.0010444i,-0.00088295-0.00043631i,-0.0012684+0.0001255i,-0.0017881+0.00022111i,-0.00088594-0.00014105i,-9.0696e-06+0.00022202i,0.00054887+0.00040783i
0.00038807-4.4137e-05i,0.002134-0.00057266i,0.0030383-0.0013292i,0.0021553-0.0017323i,0.0011875-0.0010446i,0.0012213-1.5579e-05i,0.0014284-2.765e-05i,0.00137-0.0005047i,0.000726+1.723e-05i,0.00027991+0.00064124i,0.00011624+0.0005187i,-0.00070522+0.000301i,-0.0014445-0.00034486i,-0.00097189-0.00036706i,-0.00030925-0.00014053i,-0.00052899-0.00023525i,-0.00059911-0.00053084i,-0.00029854-0.00032882i,-0.0014281-0.00013608i,-0.0017362-0.00014139i,-0.00063951-0.00040379i,-8.9464e-05-9.8584e-05i,-0.00063622+0.00013797i
0.0015172-0.0014134i,0.0010475-0.0012008i,0.00057575-0.0017222i,-0.00070698-0.0015535i,-0.00085188-0.00094884i,-0.00016461+0.00037966i,0.00047458+0.00075356i,0.00071063+0.0010863i,3.8952e-06+0.0015127i,-0.00023798+0.0010605i,-8.39e-05+0.00086392i,-0.00066786+0.00054559i,-0.00029903-0.00021991i,0.00047099-0.00043943i,0.00027973-0.00086738i,-0.00022565-0.00065015i,-0.00041312+2.8294e-05i,-6.8864e-05-0.00092939i,9.3811e-05-0.0019306i,-2.6966e-05-0.0014818i,8.9265e-05-0.00050968i,0.00055017+0.00032199i,0.00011793+0.00044912i
0.00077156+0.00035615i,0.001804-0.00084359i,0.0015061-0.0013319i,0.00053848-0.00079389i,-0.00020268-6.6613e-05i,0.00015678+0.00017733i,0.00078642+0.00017905i,0.00041241+0.00081005i,0.00044256+0.00079118i,0.00045802+0.00029864i,0.00016749+0.00018191i,8.4777e-05-0.00065864i,0.00066179-0.00078992i,0.001181-0.00016444i,0.0012545-0.000261i,0.00058341-0.00052857i,-0.00048232-0.00051414i,-0.0001553-0.0003844i,-0.00014716-9.705e-05i,-0.00060932+0.00042206i,-0.00015767+0.00044163i,4.4779e-05-0.00010425i,-0.00037303-0.00020931i
-0.0015994+2.5465e-05i,-0.0021912-0.00074221i,-0.0018523-0.0010739i,-0.0018515-0.00073713i,-0.0020067-0.00036894i,-0.00083418+0.00052508i,0.00068763+0.00055063i,0.00083135+1.9323e-05i,7.1524e-05+0.0006288i,-0.00024798+0.00047792i,8.6028e-05-3.5256e-05i,0.00024035+0.00020604i,0.00079777+0.00022474i,0.0008745-0.00038844i,0.00042829-0.00085498i,0.00011966-0.0004847i,-0.00011321-7.4705e-05i,-0.00034685-0.00018483i,-0.00060674-0.0001745i,-0.00054511+0.00062381i,-0.00022283+0.00071438i,0.0001087-7.1689e-05i,0.00030216-0.0002765i
-0.00096742-0.00078129i,-0.00051465-0.0011403i,-0.001154-0.00098272i,-0.0017184-0.00034533i,-0.00078826+0.00011052i,0.00038988+0.00091796i,0.00044925+0.0011827i,0.00049275+0.00046246i,0.00071843+0.00021624i,0.00041441+0.00046993i,-0.00049554+0.00042912i,-0.00040974-7.6229e-05i,0.00039048-0.00055809i,8.9301e-05-0.00093482i,-8.9051e-05-0.0012169i,0.0006025-0.0011664i,0.000591-0.0014183i,0.00014159-0.00063007i,0.00018684+0.00022541i,0.00024008-0.00038855i,0.00013747-0.00016634i,0.00058331+0.00032071i,0.00023049-0.00016959i
0.00054526+0.00055955i,0.00040437+0.0010065i,0.00033099+9.481e-05i,-0.00030935-0.00073223i,-0.00013323+0.0005072i,0.0002606+0.0010314i,0.00057569+5.9051e-06i,0.00031356-0.00073784i,0.00050302+0.0002787i,0.00085394+0.0013216i,0.0002017+0.00101i,-9.9812e-05+0.00066461i,-0.00050591+0.00052124i,-0.0005434+0.00092898i,-0.00013267+0.00066043i,-0.00036542-0.00031609i,-5.9728e-06-0.0015558i,0.000108-0.0015952i,-0.00042102-0.00093633i,-0.00095843-0.00048856i,-0.0010825-0.0003042i,-0.00033095+1.4353e-05i,-0.00046753-0.00016869i
-0.00080357-0.00018323i,-0.00011177-0.00020797i,1.431e-05-4.2565e-05i,-0.00026962+7.7834e-06i,-6.5517e-05-1.5341e-05i,0.00015281-3.2892e-05i,0.00074249-0.0004004i,0.0011171-0.00032773i,0.00083627+0.00024831i,0.0011387+0.00015374i,0.0014938+4.6172e-05i,0.0010905-4.9727e-05i,-8.3957e-05-0.00045133i,-0.00043913-0.0010696i,-0.00055373-0.0014078i,-0.0011069-0.00016337i,-0.0012517-7.7133e-05i,-0.00035357-0.00067447i,-0.00051382-0.00025717i,-0.00066556+0.00013354i,-0.00013113+0.00079272i,4.9228e-05+0.00042553i,0.00023296-0.00032206i
-0.0015431-0.00061362i,-0.0017477+0.0013116i,-0.0013347+0.0024785i,-0.00070773+0.0020993i,-0.00015396+0.0017617i,0.0016408+0.0016535i,0.002156+0.0013791i,0.00093312-0.00026398i,2.0539e-05-0.00069692i,0.00012708-0.00026902i,0.00090635+1.9598e-05i,0.0011247+0.00012122i,0.00075659-0.00020722i,0.00057799+0.00012498i,0.00029003+0.00080086i,-0.00036002+6.1837e-05i,-0.00051475-0.00093752i,-0.0002913-0.00066936i,-0.00050669-0.00010691i,-0.00065688+0.00013349i,-0.00049819+0.00011089i,-0.0004178+0.00021217i,-9.5971e-05+0.00027662i
-0.0016159-0.0020785i,-0.001866-0.0019078i,-0.0023-0.0019958i,-0.0024054-0.0009439i,-0.0014715+0.00076877i,0.00030075+0.0013182i,0.0010152+0.00070741i,0.00091751+0.00018349i,0.00050848+0.0001429i,-4.3341e-05-0.00049431i,-0.00056981-0.00087257i,-0.00040037-0.00061677i,0.00041462-0.0006648i,0.00066542-0.00064433i,0.00065119-0.00076569i,0.00032295-0.00081903i,-1.492e-05-0.00061521i,-0.00061558-5.1855e-05i,2.3387e-05-7.7282e-05i,0.00020673+2.5386e-06i,-0.00032995+0.00032492i,0.00015416-3.0462e-05i,0.00017375-0.00051448i
-6.0048e-05-0.0010702i,0.00040835-0.00054824i,0.00099071-0.0005415i,0.0006143-0.00037166i,-0.00064352+0.0010013i,-0.00077653+0.0012521i,0.00047822+0.0002342i,0.00076435+5.5612e-06i,0.00091726+0.00043451i,0.00080236+0.00094226i,0.00047262+0.00057198i,0.00049723+0.00032048i,0.00050238+0.00026686i,0.00028004+1.6259e-05i,6.2956e-05-0.00046163i,-0.00052824-0.00094077i,-0.00094292-0.00078583i,-0.00022475-0.00055975i,0.00063317-0.00044485i,0.0002475-0.00019459i,0.00019966+0.00058492i,0.00026976+0.00083365i,0.00048272-2.0444e-05i
0.00017673+0.00048685i,0.0003822-4.204e-05i,0.0010439-0.00029489i,0.0007348-0.00059476i,0.00022165-0.00027054i,0.00033484+0.00021207i,0.00018315+0.00015637i,0.00043538-0.00043656i,0.0005697+0.0002353i,0.00082528+0.001173i,0.00053423+0.0011232i,0.00064055+0.00052019i,0.00053455-4.3474e-05i,0.00028868-6.0049e-06i,0.00078772-0.00021624i,0.0007738-0.00027134i,0.00034436-0.00020494i,-0.00044668-0.00071765i,-0.00046161-0.0014912i,-0.00062785-0.0011025i,-0.0011969+0.00022053i,-0.00065862+0.00021993i,-0.00018358-0.00047505i
0.0010666+0.0017833i,0.0013416+0.0018307i,0.0020112+0.00071815i,0.00085927-0.00028317i,-0.00067626-0.0011921i,-0.00046129-0.00095468i,0.00013374-0.0006676i,0.00036-0.00051476i,0.0010803+0.00077119i,0.0010491+0.0009791i,0.0004468+0.00037949i,-0.00058576+0.00046043i,-0.0012497+0.00029403i,-0.00046802-0.00034786i,0.00025053-0.00040817i,-0.00013194-0.0001758i,-0.0010252+0.00019413i,-0.0013972+0.00028988i,-0.001041-0.0006136i,-0.00099705-0.00084183i,-0.00013074-0.00034233i,0.0003756-0.00057653i,0.00010989-0.00098796i
-4.1899e-06+8.3907e-05i,-0.00056987-0.00047809i,0.00059096-0.0010922i,0.0013087-0.0015349i,0.00041218-0.0012646i,7.4596e-05-0.00098835i,0.00031224-0.00053604i,0.00090929-0.00027679i,0.0017335-0.00015067i,0.0015553+2.0444e-05i,0.0019132-0.00018543i,0.0023194-0.00022095i,0.0012611+6.1347e-05i,0.0010813+0.00042114i,0.0013123-0.0003621i,-4.9666e-05-0.00055031i,-0.001053-4.4294e-05i,-0.0010402+0.00014787i,-0.0013778-6.7254e-05i,-0.0011064-2.8519e-05i,-0.00011337+0.00034054i,0.00061154+9.531e-05i,0.00017328-0.00014422i
0.0014484-0.00017584i,0.00079419-3.7546e-05i,-7.6007e-05-0.0015736i,-0.0010211-0.0019075i,-0.001495-0.00095803i,-0.0012649-0.00045072i,-0.00044771-0.00054899i,-0.00010938-0.00066639i,-0.00036867-0.00012161i,-0.00048014+0.00024849i,-1.9786e-05-0.00035071i,0.0009163-0.00033758i,0.00086521+0.00046767i,0.00044711+0.00034584i,0.00025336-0.00025309i,-0.00025397-0.00027755i,-0.00070875-7.2174e-06i,-0.0009654+0.00012721i,-0.00078127+0.00035523i,0.00013278+0.00058375i,0.00068539+0.0008948i,0.00036385+0.00088321i,-8.7706e-05+0.000689i
-0.00051897-0.00052672i,-0.00038171-0.00059765i,0.00033863-0.00054152i,0.00083406-0.00019898i,0.00029539+0.00067981i,0.000353+0.00017436i,0.00049025-0.00051239i,0.00030559+0.00028429i,0.00017291+0.0015269i,0.0003901+0.0017971i,0.0008985+0.0015526i,0.00089945+0.0015512i,-5.4282e-07+0.0011145i,-0.0003965+0.00042122i,0.00021571-0.00025337i,0.00040945-0.00052444i,0.00038101-0.0010234i,0.0002432-0.00068015i,0.00019467+0.00037949i,-0.00028596+0.00060711i,-0.00022093+0.00054357i,2.4319e-05+0.00078218i,-0.00012331+0.00044795i
