-0.0030071+0.00020546i,-0.002685+0.00079609i,-0.0028192+0.0013655i,-0.0010548+0.0018891i,0.0011305+0.0014944i,0.0021786+0.0001058i,0.0018258-0.00020888i,0.00088522+0.00089691i,0.0013024+0.0020575i,0.0019485+0.0017015i,0.0014908+4.2618e-05i,0.00091417-0.00067179i,0.0010553-0.00011691i,0.000708-0.00053985i,0.00046732-0.0017135i,0.00071939-0.00095691i,0.00053256-0.00011335i,0.0002237-0.00029386i,-0.00069915-0.00014204i,-0.00086177-7.7005e-05i,3.2991e-05-0.00031244i,0.00085904-9.025e-05i,0.00040182+0.00059667i
0.00044777-0.0027877i,-0.00063137-0.003331i,-0.001555-0.0031529i,-0.0016207-0.0015714i,-0.00061692-0.00039049i,-0.00068384+0.00044937i,-0.0014398+0.00047861i,-0.0012672+0.00082139i,-0.00026312+0.0012439i,0.00043975+0.00052939i,-0.0001734-0.00010144i,-0.0006898+3.0928e-05i,-0.00015324+0.0007929i,0.00035421+0.0011398i,0.00053778+0.00071028i,0.00056622+0.00098559i,-0.00029681+0.00091011i,-0.00028121+0.0005175i,0.00032961+0.00092983i,0.00048719+0.0012462i,-0.00013502+0.0014294i,-0.00015875+0.00034653i,-0.00046576-0.00084781i
0.0010324+0.00053394i,-0.00078224+0.0006623i,-0.0006173-0.00039758i,0.0015437-0.0014148i,0.0025383-0.0017762i,0.0022413-0.0019637i,0.0018956-0.0013253i,0.0020001+0.00033957i,0.0016594+0.001278i,0.0011761+0.00036918i,0.00033751-0.00033856i,-0.0001171-0.00063316i,0.00031812-0.00070998i,0.00099383-0.00018027i,0.00091208+0.00055796i,0.00049856+3.8664e-05i,0.00041464-0.00044876i,0.00084801-0.0005312i,0.0011092-0.00052665i,4.5057e-05+7.4644e-05i,-0.0011436+0.0001981i,-0.00067299-8.3411e-05i,0.00027865+1.7084e-05i
-0.00060714-0.00067031i,-0.00056361-0.0003935i,-5.3134e-06+0.00041419i,0.0007987+0.0012144i,0.0010667+0.00027536i,0.0012554-0.0014105i,0.0010495-0.0013755i,0.00089226-0.00051568i,0.0014022-0.00032518i,0.0015126-0.00032933i,0.0012238+2.0589e-05i,0.0016379-5.0751e-05i,0.0014224-0.00076864i,0.0006681-0.0014515i,-7.3173e-05-0.001332i,-0.00064213-0.00017929i,-0.0011885+0.00017991i,-0.00066952+0.00030382i,-8.6574e-05+0.00044252i,-0.00021597-0.00030387i,0.0001256-0.00012108i,0.00050368+0.00066332i,0.00078395+0.00010861i
-0.0010332-0.00086802i,-0.0018028-0.00062358i,-0.0015296-8.9761e-05i,0.00021503-9.144e-05i,0.0022831+0.00011175i,0.0019868-0.00083008i,0.00042645-0.0015853i,0.00012583-0.00076337i,0.0012898+0.00022895i,0.0011065+6.5656e-05i,-7.5946e-06-0.00020035i,-8.3734e-05-0.00033815i,-0.00039502-0.00034672i,-0.0012957-0.00021522i,-0.00098928-0.00019197i,-0.00024512-0.00037489i,-6.3792e-05-0.00062222i,-0.00062309-9.9669e-05i,-0.0010954+3.7117e-05i,-0.0015321+0.00032953i,-0.001058-4.1509e-05i,4.1721e-05-0.0010914i,0.00050189-0.0010928i
0.0025971-0.00062691i,0.0023011-0.0012614i,0.000817-0.001299i,0.001106-0.0020741i,0.0021028-0.0040217i,0.0017754-0.0034333i,0.00075401-0.001322i,0.00054314+0.00051081i,0.0011966+0.0013152i,0.0014232+0.00030733i,0.00049508-0.0001874i,-0.0004445-0.00010323i,-0.00042429+0.00022001i,0.00055537+0.00014703i,0.0010563+0.00030899i,0.00013684+0.0010364i,-0.00076467+0.0011443i,-0.00085989+0.00099599i,-0.00067944+0.00083418i,-0.00045026+0.00074246i,-0.00075166+0.00099116i,-0.00064012+0.0011855i,0.00010309+0.00097961i
0.0034195+0.00049629i,0.0042906-0.00034452i,0.0036384-0.00026874i,0.0029585-0.00083497i,0.0033151-0.0019239i,0.0022708-0.0020366i,0.00046566-0.0012218i,0.00089411+0.00036722i,0.0021042+0.00075171i,0.0017797-0.00052305i,0.0010886-0.00033087i,0.00081162+0.00020835i,0.00090067+0.00038133i,0.00095393+0.0010043i,0.00094473+0.0012668i,0.00047734+0.0010096i,0.0003382+0.00040772i,4.6019e-06+8.9304e-05i,-0.00048807-1.8647e-05i,-0.00030296+0.00026216i,-0.00062949+0.000814i,-0.00091473+0.00042557i,-0.0003088-0.00055181i
-0.0010163+0.00072873i,-0.00039805+0.00012029i,0.00011978+0.00023902i,0.0012547+0.00067302i,0.0028759-0.00090181i,0.0027015-0.0017987i,0.00072357-0.0012146i,-0.00015233+0.00015977i,0.00087803+0.00060972i,0.0017738+0.00030444i,0.0012069-0.00022906i,0.00049518-0.00083408i,0.00076037-0.0002804i,0.0010943+0.0006559i,0.00048645+0.00017622i,-3.3341e-05-0.00066358i,0.0005246-0.00032011i,0.0002189+0.00019559i,-0.00045697+0.00034454i,-0.00055-7.6428e-05i,-0.00048698-0.00058897i,6.8829e-05-0.00035768i,0.0005808-4.1617e-05i
0.0013793+0.00029687i,0.0009791-0.00037329i,0.00092841-0.0015011i,0.00085702-0.00086737i,0.00034967-0.00022324i,0.00061182-0.0013117i,0.00080785-0.00098121i,0.00072427+4.7732e-05i,0.0018865+0.00055469i,0.0019105+8.839e-05i,0.00068801-0.00074333i,9.4446e-06-0.00096122i,-0.00031405-0.00094849i,0.00012912-0.0011271i,0.0003864-0.00085437i,-0.00017039-0.0007422i,-0.00041945-0.00051235i,-0.00050318+0.00013625i,-0.00088316+0.00039639i,-0.00088923+0.00047885i,-0.0002927+0.00069348i,2.0761e-05+0.00066312i,0.00011074+0.00041211i
-0.00042936-0.00070017i,-0.00044511-0.0010198i,-0.0018971-0.0010312i,-0.0010439-0.00097907i,0.0011755-0.0013439i,0.0020166-0.0014925i,0.0011885-0.00060212i,0.0011729+0.00058818i,0.0014284+0.00058806i,0.00062331+0.00023233i,-9.5007e-06+0.00015156i,0.00047803+1.7389e-05i,0.00041462-0.00023556i,-0.00053958-0.00029438i,-0.00053228-6.5168e-05i,9.954e-05+0.00020782i,5.4935e-05+0.00023345i,-4.3878e-05+0.00027098i,0.00011325+0.00057089i,0.00010911+0.00116i,0.0001353+0.00084352i,0.00085609-0.0002629i,0.0011065-0.00033233i
-0.0013363-0.0020169i,-0.0020358-0.00043806i,-0.0014286-0.00058883i,-0.0010413-0.00089867i,0.00027565-0.00036451i,0.0020695+0.00042757i,0.002467+0.00075102i,0.0016077+0.00048415i,0.00092084+0.00015083i,0.0008802-0.00030044i,0.00057551-0.00032896i,0.0005896-0.00034023i,0.00035361-0.00082004i,6.9985e-05-0.00089793i,0.00047484-0.00069527i,0.00086425-0.00041836i,0.00028981+0.00011416i,-0.00045563+0.00078127i,9.0885e-05+0.00059506i,0.0010523+0.00014162i,0.0010284-0.00026341i,0.00015589-0.00012573i,3.3199e-05+0.0010677i
-0.00019032-0.00077882i,-0.00093706-0.00086589i,-0.0012574-0.0011318i,0.00031158-0.0014475i,0.0022175-0.0020748i,0.0021654-0.002152i,0.0012252-0.0016201i,0.001697-0.00052466i,0.002243+0.00023416i,0.0015951+0.00020836i,7.2477e-05-0.0002106i,-0.00075959-0.0003801i,-0.00090194+0.00013706i,-0.00080239+0.00054435i,-0.00034598-8.8209e-05i,-0.00054469-0.00074933i,-0.00050428-0.00015063i,-0.00012581+0.00048652i,-6.1936e-05+0.00066235i,-0.00023553+0.0004234i,2.3514e-05+0.00045805i,0.00028004+0.00068089i,-3.7141e-05+1.5436e-05i
0.00019198+0.0005118i,0.00095443+0.00029694i,0.0010102+0.0003107i,0.001794+1.6716e-05i,0.002903-0.00025383i,0.0022234-0.0012014i,0.0010931-0.0016635i,0.00070125-8.8541e-05i,0.00077304+0.0011477i,0.00032336+0.00071436i,-0.00031521+0.00051889i,-0.00077916+0.00056224i,-0.00025728+0.00055353i,0.00054787-0.00026508i,0.00075178-0.00059699i,0.00035391-0.00065437i,-0.00016341-0.00076793i,-0.00061212-0.00036849i,-0.00062992+0.0001714i,7.8038e-05+0.00048376i,0.00015704+0.00072559i,0.00042608+0.00074471i,0.00024504+0.00045801i
-0.001809-0.0029245i,-0.0023121-0.0027537i,-0.0028736-0.0022163i,-0.0022992-0.0006676i,-0.00049619-0.00027455i,0.0013018-1.4789e-06i,0.002275+0.00035757i,0.0018517+0.00082815i,0.0011529+0.0012634i,0.0008043+0.00023128i,0.00034629-0.00039402i,0.00042813-0.00011962i,0.00095246-0.0003166i,0.00078081-0.00094323i,0.00027702-0.00081748i,-0.00068482-0.00012897i,-0.001216+6.5808e-05i,-0.001136-2.1978e-05i,-0.0013249-0.00022236i,-0.0012399-0.00048311i,-0.00086076-0.00028597i,-3.1238e-05+0.00011406i,0.00062519-0.00013473i
0.0014638-0.0012296i,0.0012225-0.00088571i,0.00074803-0.00087514i,-8.1153e-05-0.0019521i,0.00037155-0.0025299i,0.00080632-0.00194i,-0.00018222-0.00054058i,-4.3936e-05+0.00068927i,0.00087178+0.0012579i,0.00024185+0.00097342i,-0.00016853+0.00073835i,0.00041975+0.00046833i,0.00068709-0.00014257i,0.00051693-0.00042901i,0.00032993-0.00058844i,0.00039292-0.00059899i,0.00025319-0.00085396i,-0.00031952-0.0012415i,-0.00069813-0.00087392i,-0.00080895-0.00022826i,-9.022e-05-0.00046225i,0.00095268-3.7208e-05i,0.00039782+0.00067256i
-0.0020617+0.0010707i,-0.0012207+0.00052999i,0.00017798+0.0012581i,0.0023431+0.0017113i,0.0037687+0.00078279i,0.0031633-0.00073894i,0.0014929-0.00081586i,0.00040416-0.000226i,0.00066506+5.8287e-05i,0.00087266-0.0001863i,0.00093533+4.676e-05i,0.00051542-0.00034502i,-0.0002687-0.0016227i,-0.00019235-0.001478i,7.2128e-05-0.00096264i,-7.9197e-05-0.00065455i,0.00034782-5.9503e-05i,0.0006877+0.00062637i,0.00039333+0.0001473i,0.00015199-0.00036417i,-0.00046991-0.00049512i,-0.00054935-0.00079428i,0.00023195+9.5226e-05i
0.00028504+0.00090523i,2.6229e-05+0.00070897i,-0.00021173+0.00018619i,0.00015193-0.00041155i,0.0022412-0.0011421i,0.0029821-0.00094416i,0.0010288-0.00071274i,0.00023041+0.00030441i,0.00063415+0.0011126i,0.00046043+0.00054545i,0.00029599+0.00049735i,1.8602e-05+5.2674e-05i,-6.7566e-05-0.00068083i,0.00010585-0.00035916i,0.00027459-0.00016591i,0.00052737-0.00050394i,0.00041752+0.00010449i,0.00014306+0.00046044i,-0.00049071-0.00053307i,-0.0010663-0.00067991i,-9.0841e-05-0.00025535i,0.00075887-0.00013912i,0.00010747+0.00019755i
-0.0010484-0.00090188i,-0.0017393+5.6135e-06i,-0.00028631+0.00025381i,0.0007081-0.00013434i,0.0010419-0.0012864i,0.0018749-0.0011137i,0.00041175+2.5594e-05i,-0.00092667+0.00028955i,0.00026108-5.024e-05i,0.00084203-0.00024127i,0.00063867+0.00011398i,0.00060152+0.00059299i,0.00049643+0.00039908i,0.00013046-0.00030351i,-0.00030305-0.00034561i,-0.00037842-0.00010689i,-0.00046716+0.00030381i,-3.4879e-05+0.00016643i,0.00036244-0.00024202i,1.1971e-05-5.5952e-05i,2.9744e-06-3.3377e-05i,0.00055644-0.00065602i,0.0006784-0.00053067i
-0.0011124-0.00020449i,-0.001007-0.0010036i,-0.00081576+0.00021663i,0.00054442+0.00031425i,0.0022027-0.00099174i,0.0017701-0.0017914i,0.00042739-0.00069934i,8.5738e-05+0.00057272i,0.0011071+0.00080836i,0.001329+0.00050124i,0.0011037+1.3493e-05i,0.0012463-0.00025235i,0.00071133-0.00039936i,0.00016305-0.00011308i,5.9523e-05+0.00030221i,-0.00014765-0.00023627i,-0.00029852-0.00044983i,-0.00032502+7.8366e-05i,-0.00028939+0.00057449i,5.0131e-05+0.00040829i,0.00041839+0.00036907i,7.7627e-05-2.6859e-05i,0.00052284-0.00051621i
0.00027902-0.00040056i,0.00047501-1.6933e-05i,0.00083199-0.00085816i,0.0012122-0.00083284i,0.0022854-0.0010897i,0.0031789-0.0005526i,0.001662+0.00010452i,0.00037993+0.00025588i,0.00068959+0.00080117i,0.00065347+0.00058082i,0.00043267+7.0871e-05i,0.00070627-0.00026263i,0.00028828-0.00024378i,-0.0003104+0.00023648i,0.0001317+0.00022441i,0.000488+0.00024666i,0.00044409+0.00056949i,-0.00010899+0.00042152i,-0.00047986+0.00016082i,-0.00027953-0.00036214i,-0.00020668+1.4319e-05i,-0.00063683-0.00016777i,-0.00045811-0.00056031i
0.0014622+0.00048457i,0.0014351+9.7063e-06i,0.0015924-0.0016591i,0.0018492-0.0025298i,0.0021954-0.0023294i,0.0015776-0.0022377i,0.00020943-0.0014102i,0.0001854+0.0010492i,0.0013759+0.0018639i,0.001585+0.00083355i,0.00053645+0.00063879i,0.00057717+0.00027402i,0.0010382-0.00023794i,0.0005225-0.00020706i,-8.8646e-05-0.00027405i,0.00037726-0.0004399i,0.00016185-5.6787e-05i,-0.00069442+0.00036892i,-0.0011112+0.00025712i,-0.0011253+0.0001232i,-0.00050811-0.00011222i,0.00043819-0.00039779i,0.0016041-0.00068479i
-0.0008315+0.00052704i,0.0006825+0.00066118i,0.00079341+0.0012058i,0.0012116+0.001244i,0.0035963+0.0016323i,0.0043013+0.0015439i,0.002423+0.00048864i,0.001325+0.00085802i,0.0016496+0.00085021i,0.0019228+0.00090036i,0.001359+0.00069757i,0.00071521-0.00010854i,0.00048643-0.00099599i,9.2274e-05-0.00084823i,-0.00069959-0.00010837i,-0.00031362+0.00059214i,0.00035012+0.0010407i,0.00022796+0.00060884i,0.00066066+0.00025431i,0.0011218+0.00043646i,0.00013023+0.00093496i,-0.00038556+0.00042631i,0.00027784-0.00047411i
-0.0021169-0.0009306i,-0.0026927-3.2331e-05i,-0.0019671+0.00064009i,0.00088633+0.00045085i,0.002806-0.00060021i,0.0026737-0.0010513i,0.0017171-0.00021889i,0.00074327+0.00043615i,0.00090646+0.00014991i,0.00094242+0.00040682i,-0.0005094+0.001317i,-0.00064372+0.00067803i,0.00019081-0.00031309i,0.00019656-0.00083967i,0.00038209-0.00029149i,-5.8931e-05+0.0001621i,-0.0007587-2.5534e-05i,1.5411e-05-9.6041e-05i,0.00069675-0.00011799i,0.00086286+0.00099488i,0.00042212+0.00093169i,0.00040259-0.0010115i,0.0002454-0.0012872i
-5.3047e-06+0.00069789i,0.00044069-0.00013275i,0.00010859-0.00055952i,0.00021209-0.00038132i,0.0015626-0.0014146i,0.0017951-0.0023017i,0.00067441-0.00081439i,0.00021639+0.00046996i,0.00060272+0.0001344i,0.0010606-0.0012329i,0.00091556-0.0011755i,1.4249e-05-0.00064581i,2.8974e-05-0.00087426i,-0.00034536-0.00030735i,-0.00070133-0.00048105i,-0.00054786-0.00048244i,-0.00059616-5.7671e-05i,-0.00017534-0.0004536i,0.00024537+0.00010968i,-5.9511e-05+0.00049326i,0.00012162+0.00036627i,0.00060983+0.0002099i,0.00082452-0.00079732i
0.00019052-0.00013575i,0.0005616+0.00068742i,0.00086634+0.00096197i,0.0027378-9.8887e-05i,0.0037313-0.00090882i,0.0019878-0.0012314i,0.00035073-0.00063102i,0.00054615-0.00010446i,0.00098995-3.0774e-05i,0.00087888+0.00030731i,4.0535e-05+0.00067977i,-1.5639e-05+0.00035875i,0.00044727+9.8383e-06i,0.00079448+0.00010116i,0.0010366+1.0982e-05i,0.00084046+0.00039666i,0.00017228+0.00011773i,-0.00019642-0.00043048i,7.263e-06-0.00027127i,0.00058818+0.00011968i,0.00065249+4.1915e-05i,-4.8107e-05+3.1563e-05i,-0.00024179+9.1994e-05i
-0.0002638-0.00080527i,-0.00061473-0.0012026i,-0.00034354-0.0016537i,3.5674e-06-0.0021549i,0.00030273-0.0023705i,0.00083005-0.0020626i,0.0012943-0.00067236i,0.001293+0.00067232i,0.0016041+0.00070429i,0.0016373+0.0010925i,0.0011809+0.00098203i,0.00083809+0.00015537i,0.00025937-0.00044205i,0.00034247-0.00071156i,0.00057321-0.00091735i,-0.00019247-0.00049377i,-0.00078057+0.00026354i,-0.00062836+0.00024266i,-8.8095e-05+0.00089221i,0.00010649+0.00126i,1.1145e-05+0.0010444i,-0.00020292+0.00099525i,-8.8975e-05+0.00030122i
0.00080833+0.0003027i,0.00075124-0.00011987i,0.00014618-0.0006543i,0.0011704-0.0013328i,0.0025512-0.00096048i,0.0025835-0.00055882i,0.0015494+0.00071065i,0.00059321+0.0014286i,0.0010325+0.00094873i,0.000872+5.9653e-05i,0.00035196-0.00074284i,0.00034445-0.00022666i,0.00079324+0.00024675i,0.00063827+0.0001563i,0.00067009-0.00030308i,0.00086219-0.00044007i,0.00072614-0.00046638i,0.00097961-0.00074374i,0.0010699-0.00014228i,0.0010103+0.00018691i,-0.00015836+0.00020721i,-0.00096539+0.00049087i,-0.00035074+0.00031264i
-0.001922+0.0009085i,-0.0010948+0.0013011i,0.00036219+0.0020331i,0.0016324+0.001907i,0.0026388+0.00090483i,0.0023166-0.00023452i,0.0011918+6.2619e-05i,0.00072647+0.00080523i,0.00027328+0.00055023i,0.00054257-0.00023673i,0.00091705-0.00015163i,0.00059907+9.5295e-05i,0.0002216-3.6607e-05i,0.00035954+0.00011443i,5.7702e-05+0.00045784i,-0.00058688-0.00024751i,-0.00082774-0.00094729i,-0.00055275-0.0011287i,7.4798e-06-0.00066151i,7.7011e-05-0.00041284i,0.00020446-0.00048309i,0.00011296-0.00039124i,-0.00062292-0.00060617i
0.000345+4.9565e-05i,-0.00035626-0.0011194i,-0.00093149-0.0020798i,-1.9735e-05-0.0021473i,0.0019699-0.0014074i,0.0020284-0.00052601i,0.00086128+0.00012309i,0.0004414+0.00014378i,0.00078265-2.2192e-05i,0.00082319+0.00016779i,0.0011589+0.00036238i,0.0016894+0.00011865i,0.00062466+0.00033505i,-3.9689e-05+0.00042708i,1.1678e-05-6.641e-05i,-0.00085242-0.00038642i,-0.0009216-0.00038874i,-0.00037796-0.00067285i,-0.00025523-0.00083459i,0.00013147-0.00011582i,0.0005129+0.00025659i,3.9394e-05-0.000408i,-0.00037266-0.0005024i
-0.0020783-0.00021307i,-0.00046334+0.00018704i,0.00018367+0.00079162i,0.0012393+0.00073008i,0.0026374-0.00068889i,0.0024386-0.0012528i,0.00078041-0.00055738i,8.2503e-05+0.0009816i,0.00074269+0.0019458i,0.00096907+0.001176i,0.00099638+6.3694e-05i,0.00077197-0.00056662i,0.00084073-0.00066085i,0.00072714-0.00045457i,0.00064466-0.00028851i,0.00022504-0.00043493i,0.0005543-0.00011569i,0.00094298+0.00077481i,-0.00042821+0.0010118i,-0.0007627+0.00068921i,-0.0002994+0.0006361i,-8.6933e-06+0.00036489i,0.00071061-0.00023813i
-0.0022418-0.00092746i,-0.00070135-0.00070786i,-0.00044003-0.00031709i,0.0001658-0.00039189i,0.0017496-7.1621e-05i,0.0018166+2.1111e-06i,4.6706e-05-0.00027467i,-0.0001143+8.3846e-05i,0.00094488+0.00041385i,0.00051731+0.00065664i,-0.00025486+0.0010749i,0.00037847+0.0011535i,0.00025606+0.00054845i,-0.00042163-0.00092919i,-0.00077627-0.0018694i,-0.00048338-0.00071863i,-0.00014078+0.00038013i,-0.00080975+0.00023092i,-0.0011349+0.0003193i,-0.0012059+0.00021362i,-0.00041353+0.0001475i,9.4423e-05+0.00021907i,6.3566e-05-0.00027764i
0.00027086-0.00028541i,-0.00019446-0.00033449i,-0.00075944+9.447e-05i,0.00019319+0.00020738i,0.0019998-0.00024012i,0.0027092-0.0006234i,0.0017127+0.00015861i,0.0011641+0.0012447i,0.0016096+0.0012059i,0.0014757+0.00043781i,0.00038175-5.4865e-05i,-0.00066109+3.5439e-05i,-0.00056712+2.4272e-05i,-0.00035947-0.00040612i,-0.0003088-2.2919e-05i,0.00031794+0.00027452i,0.00040214+0.00067316i,-0.00019362+0.0009404i,-0.00016988+0.00048056i,-0.00021222+0.00049292i,-0.00046074+0.00035411i,-0.00078178+0.00016994i,-0.00047066+9.0014e-05i
0.00012835-0.00049711i,0.0015265-0.00021929i,0.0019058-0.00043815i,0.0024459-0.0017664i,0.0021308-0.0024434i,0.0016158-0.0022432i,0.0012421-0.0012578i,0.00080431+0.00010155i,0.001748+0.00068122i,0.0022158+0.00049035i,0.0016666+0.00011304i,0.0011977-9.1759e-05i,0.00075098+0.00026976i,0.00052701+0.0001163i,0.00040929-8.2148e-05i,-0.00021822-0.0001832i,-0.00098984-8.6884e-05i,-0.00087406-1.7008e-06i,-0.00042231+0.00013182i,3.8077e-05+0.00035677i,0.00031278+4.4206e-05i,-3.0574e-05-0.00063457i,-0.00038068-0.00071794i
