0.0011202-0.00045515i,0.00057656-0.00030432i,0.00053974-0.00057896i,9.5852e-05-0.00066847i,-0.00039836-0.00028772i,-0.00053055-4.1812e-06i,-3.0875e-05-0.0003543i,0.00051904-0.00073767i,0.00034345-0.00045569i,-0.00019564-0.0002482i,0.00043327-4.6625e-05i,0.00042842+0.00014787i,0.00020442+0.0002656i,0.0009456+0.00043259i,0.0012152+0.0001128i,0.00093318+0.00016508i,0.00055038+7.328e-05i,0.00019654-0.00031784i,-0.00072899-0.00036854i,-0.0012668-0.00052074i,-0.00072474-0.0003465i,0.00030288-0.00039938i,0.00039169-0.00041606i
-0.00017571+0.00011246i,0.00047481+0.0015788i,0.00039367+0.0013958i,0.00048338+0.00029204i,0.00042771+0.00014086i,-0.00038887+0.00018072i,-0.00092076-0.00012359i,-0.00050543-7.1306e-05i,0.00026964-0.00028024i,-0.00028649-0.0011565i,-0.000743-0.00097446i,-0.00051694-0.00062094i,-7.1388e-05-0.00075772i,-0.00014023-0.00038274i,-0.00032877+0.00015185i,-0.00019595+0.00027969i,5.0987e-05+0.00046528i,-1.3816e-05+0.00082829i,-0.00038807+0.0005592i,2.024e-05-1.8815e-06i,0.00029817+4.5701e-05i,-0.00027881+0.00051355i,-0.00049711+0.00096239i
0.0011561+0.0014212i,0.00052056+0.0015487i,-4.1806e-05+0.00053583i,-0.00035183-0.00049707i,-0.00017259-6.6107e-05i,-1.3227e-05+0.00089932i,-0.00074511+0.00057123i,-0.00040585+0.00013292i,0.00021029+0.00059318i,-0.00038829+0.00041803i,-0.00068974-6.1083e-05i,0.00017604+0.00021204i,0.0010374+0.00042469i,0.0012261+6.448e-05i,0.00089488-0.00041017i,0.00063902-0.00021211i,0.0010276+0.00016957i,0.001353+0.00027906i,0.0011422-0.0002203i,0.00018945-0.00057944i,-0.00085668-0.00030324i,-0.00051549-0.00073077i,0.00024729-0.00070312i
0.0011538-0.0015484i,0.00032746-0.0005244i,-0.00048071-0.00024886i,0.0002196-0.00016075i,5.8103e-05-0.0008455i,-0.00083844-0.001431i,-0.00085337-0.00054221i,-0.00060167+0.00023936i,1.9428e-05+0.00017522i,-0.00018861+8.4404e-05i,-0.00065889+0.00028795i,-0.00026604-0.00050839i,0.00035041-0.00042269i,0.0006437+3.2384e-06i,0.00017939-4.0316e-05i,-0.00021134+0.00018831i,-0.00054029+0.00078663i,-0.00014408+0.00090236i,0.00086743+0.00097641i,0.001188+0.00096817i,-7.469e-05+0.00022518i,-0.00048387+0.00019713i,0.00075609+0.00031211i
0.0011527-0.00033157i,0.00055907+0.000897i,-0.00042334+0.00074578i,-0.00012617+0.00047392i,-0.00022176+0.00050877i,-0.00036013+0.00093165i,-0.00040302+0.00062813i,-0.00063081-0.00061022i,-0.00079087-0.00091714i,-0.00046728-0.00034709i,-3.9473e-06-2.0782e-05i,7.8892e-05+0.0001134i,-0.00025775-0.00025768i,-0.0003922-0.00097532i,5.7727e-05-0.0010317i,-9.2302e-06-0.00033989i,-0.00061877+0.00039782i,-0.00032216+0.00027047i,-0.0001648-0.00070282i,-0.00061478-7.5297e-05i,-0.00042116+0.00041183i,-5.4107e-05+6.1869e-05i,-0.00020916+0.00029784i
-0.0022186+0.001299i,-0.0030007+0.0016809i,-0.0017212+0.0019508i,-0.0013536+0.0013915i,-0.0016307-3.2823e-05i,-0.00082069-0.0013306i,0.00031853-0.0016006i,-0.00054975-0.00086561i,-0.0011417-7.9275e-05i,-0.00063386-0.00025595i,-0.00036063-0.00058938i,0.00013294-0.00029757i,-0.00041235+0.00084325i,-0.00061328+0.0013576i,0.00014821+0.0012897i,0.00016185+0.00057363i,-0.00024038-0.00017117i,-0.00053808-0.00048452i,-0.00021321+1.4838e-06i,0.00033074+0.00054736i,0.00082801+4.1871e-07i,0.0015046-0.0006042i,0.001156+2.6439e-05i
0.001314-8.125e-05i,0.00084817+0.00038433i,-0.00018635+0.0005428i,-2.4781e-06+0.0017398i,0.00011418+0.0022306i,-0.0001116+0.0010375i,-0.00049116+0.00029121i,-0.0013357+0.00010069i,-0.0013057-2.3204e-05i,-0.00046319+0.00010955i,-0.00052733+0.00026575i,-0.0008876+0.00011549i,-0.00011943-0.00011888i,0.00053386-0.00056411i,0.00073469-0.00015335i,0.00097696+0.00017109i,0.0010304-0.00033246i,0.00064942-7.4467e-05i,5.2933e-05+0.00023177i,-0.00045904-0.00014083i,-0.00056742-0.00037795i,-0.00018164+2.5264e-06i,-1.8421e-05+0.00057259i
-0.0010414+0.00082714i,-0.00082155+0.0011217i,-0.00033573+0.0013694i,0.00059356+0.00027518i,0.0009461-0.00038775i,0.0010913-0.00098638i,0.0012299-0.00098236i,0.00067041-0.00070431i,0.00024329-0.00011015i,0.00025642-1.9797e-05i,4.9442e-05-0.00027838i,-0.00010964+0.00014146i,0.00076647+0.00051964i,0.0012257+3.6987e-06i,0.00076446-0.00040623i,-0.00024547+0.00036768i,-0.00055208+0.00067031i,-0.00018435+0.00032931i,-0.0001988+0.00045179i,-0.00025314-7.644e-06i,0.00064459-0.00054921i,0.00094666-0.00035588i,-6.8344e-05-0.00042078i
0.0018125+0.00012611i,0.0012996+0.00057096i,0.0013339+0.00044563i,0.00095542+0.00021015i,-8.2564e-05-0.00049013i,-0.00034669-0.00053915i,-1.6334e-05+0.00076482i,0.00041389+0.00088729i,0.00032633+0.00057755i,5.2432e-05+0.0002878i,3.3227e-05-0.00032133i,0.00043421-0.00063858i,0.00034366-7.4193e-06i,-0.00014141+0.00020706i,-4.3036e-05-5.1136e-05i,0.00053563-9.815e-05i,0.00035707+0.00037669i,-0.0001986+0.0004189i,-0.00011666-0.00039674i,-9.0631e-06-0.0010496i,0.00035121-0.00039798i,0.0012834+0.00046548i,0.0013608+0.00044849i
-0.0013171+0.0035484i,1.6516e-05+0.0039472i,0.00076381+0.0016146i,0.00072708+0.0011792i,0.00044792+0.001399i,0.00013594+0.00081459i,0.00020253+0.00061736i,0.00016373+0.00042575i,8.6804e-05-0.00016719i,0.00071344-0.00086659i,0.0013131-0.00099089i,0.00035532-0.00021093i,-7.8113e-05-1.4034e-05i,0.00022914-5.1647e-05i,-0.00013158+0.00028057i,-0.0002039+0.00021548i,-0.00037846-0.00047886i,0.00016732-0.00080903i,0.0010097-0.00042176i,0.00095306-0.00015701i,0.00043174-0.00041854i,0.00015813-2.1192e-05i,-0.00035248+0.0011672i
