-0.0044995+0.00029811i,-0.0028229+0.00027205i,-0.0025874+0.0015561i,-0.0017205+0.0021627i,0.00022039+0.0020763i,0.0014128+0.0015899i,0.00086787+0.00095434i,0.00052049+1.0598e-05i,0.00021027+0.000211i,-0.0002293+0.00042823i,-0.00030037-0.0006351i,-0.00056837-0.0014788i,-0.00096946-0.0016657i,-0.0017178-0.00097333i,-0.0018312-0.00045073i,-0.00094772-0.00013515i,-0.00036992-0.00037227i,0.0001813-0.00087216i,0.00015058-0.0002999i,0.00080597+0.00065566i,0.00097614+0.00010892i,-0.00028675-0.0005569i,-0.00086472-6.6075e-05i
0.0013364-0.00088748i,4.4854e-05-0.00086173i,-0.00093536-0.0014695i,-0.0015716-0.0019332i,-0.0013811-0.001177i,-0.00048619-0.00024746i,0.00010191-0.00012236i,0.00016072-0.00030178i,-6.9904e-05-0.00048362i,-0.00042796-0.00075944i,-0.00033988-0.0013457i,-0.00031098-0.001268i,7.3843e-05-0.00053942i,0.00042883-2.6156e-05i,0.0010278+4.4415e-05i,0.0010462+0.0005269i,0.00028065+0.00088578i,0.00020676+0.00058139i,0.00040326+0.00057021i,0.00044076+0.0011412i,0.00060707+0.00069917i,0.00091556+0.0006779i,0.00057712+0.0010433i
0.001017-0.0014063i,0.00086305-0.0025274i,0.00084283-0.0026165i,0.00023431-0.0018646i,-0.00088011-0.0010824i,-0.0007931-0.00037765i,-0.00026588+0.00042303i,0.00024482+0.00044042i,0.00019074-2.5072e-05i,-0.00026383-0.00032336i,-2.2465e-05+7.1211e-05i,-0.00015884+0.00069104i,-0.00034225+0.00026747i,0.00019149-0.00088581i,0.00068997-0.0012351i,0.00058649-0.00060508i,3.7e-05+4.5214e-05i,-0.00011509+0.00018067i,-5.139e-05+0.00050863i,-0.00018666+0.00060888i,0.00015453+0.00083617i,8.7362e-06+0.0009564i,-0.00060009+0.00037058i
0.0018551+0.00056045i,0.0014817+0.00075334i,0.00098439+9.0603e-05i,0.00070576-0.00086331i,0.00041501-0.0020275i,0.00034689-0.0017615i,0.00048843-9.5062e-05i,0.00042885+0.00054861i,0.00070328-0.00046128i,0.00096575-0.0010888i,0.00099377-0.0011299i,0.00073705-0.00052392i,0.0003714-0.00011786i,0.0011856+0.00030297i,0.0016241+0.00050651i,0.0010417+4.3528e-05i,0.00040475-0.0002946i,0.00043415+5.2048e-05i,0.00039952+0.0002296i,0.00037957+0.00015544i,0.00063691+0.00022923i,0.00047916+0.00015175i,0.00026199-9.3682e-05i
0.00102-0.0020578i,0.00024637-0.0030032i,3.1909e-06-0.003388i,-0.00056138-0.0018131i,-0.00098385+0.00020306i,-0.00058129+0.00067235i,0.00040013+0.00060139i,0.00096632+9.6581e-05i,0.00082418-0.00024511i,-0.0002879+0.00046543i,-0.00096645+0.00089989i,-0.00033798+0.0010584i,0.00029139+0.00061429i,0.00017074-0.00053127i,-0.00051376-0.00061254i,-0.0006993+0.00033224i,-1.8629e-05+0.00061984i,-7.4576e-05+0.00063872i,-0.00078196+0.00023846i,-0.00021029-0.00011845i,6.9491e-05-2.7521e-05i,-0.00011248-8.6911e-05i,0.00043626-0.00019221i
-0.00051516+0.0013439i,0.00044297+0.0010131i,0.00084547+7.9785e-05i,0.00015154-0.00014246i,1.445e-05-0.00051039i,0.00059618-0.00050925i,0.0010893-0.00053611i,0.0014574-0.00020944i,0.00044881+0.00035019i,-0.00023859+0.00033681i,-5.3436e-05+0.00061867i,-0.00042115+0.00097505i,-0.00017547+0.00054192i,-5.0939e-05+0.00063648i,-0.00010862+0.00082593i,-0.00012085+0.00061348i,-0.0003868+0.0003005i,-0.00038934-0.00010916i,-0.00038636-0.00025094i,-0.00026209-0.0002885i,-4.7969e-05-8.6226e-05i,-0.00045392-0.00011339i,-0.0012221-0.00025008i
-0.001493-0.00071263i,-0.0013466-0.0005027i,-0.00047686-0.00016108i,0.00010927+0.00050137i,0.00012306+0.00018955i,-5.7555e-05-0.00065128i,0.00017127-0.00053371i,0.00073343+0.00013573i,0.00035144-9.4812e-06i,0.00030042-9.0533e-05i,-6.2428e-05-0.00019831i,-0.00029175+2.7656e-05i,-0.0002584-0.00019637i,-0.00048985-0.00044157i,-0.00077565+0.00046641i,-0.00085804+0.0010315i,-0.0005476+0.00026802i,-0.00075011-0.00042883i,-0.0011129-0.0001595i,-0.001241+0.00027022i,-0.00058032+0.00031177i,0.00016973+7.2216e-05i,0.00040085+0.00029235i
0.0028681+0.001208i,0.0031598+0.00083987i,0.0033657-0.00051893i,0.002565-0.0019268i,0.0013271-0.0015568i,0.00037155-0.00077392i,-1.7419e-05-0.00015441i,0.00016126+0.00025864i,0.00031789-6.8098e-05i,0.00072723-0.00052051i,0.0004299-0.0009549i,-0.00041728-0.00043176i,-0.00011474+0.00085461i,-3.7836e-05+0.001429i,-0.00023813+0.00082719i,-0.00017007-9.3998e-05i,-0.00020577-2.8427e-05i,-0.00019189+0.00010898i,2.2309e-05+0.00028349i,0.00036503+0.0010362i,0.0002805+9.5897e-05i,-0.00012295-0.00046746i,-7.4987e-05+7.9506e-06i
-0.00054594-0.0018i,-0.00038223-0.0020094i,0.00019073-0.0019126i,-0.00019096-0.00054329i,-0.00033592+0.00021602i,0.00080055+0.00029741i,0.0012856+0.00084215i,0.0008993+0.00093146i,2.5768e-05+0.00059607i,-0.00015727+8.3744e-05i,-8.1817e-05+0.00010227i,-0.00019014+0.00044767i,0.00044386-0.00040744i,0.00088824-0.00095417i,0.00014322-0.0001194i,-0.00018907+0.00038896i,-4.4184e-05+0.00053693i,-0.00030928+0.00020878i,-0.00020259-0.00061187i,0.00021132-0.00050098i,-8.3651e-05-0.00035675i,-0.0001469-0.0002862i,0.00039925-0.00028448i
0.0016018+0.0018123i,0.0026836+0.00026894i,0.0030564-0.00092085i,0.00082143-0.0012026i,-0.00090896-0.00088932i,-0.00030911+0.00035631i,0.00050722+0.00088824i,0.00077256+0.00015787i,0.00082033-3.8629e-05i,0.00074664+0.0002538i,-5.9426e-05+0.00055619i,-8.5225e-05+0.00066358i,0.00074506+0.00097764i,0.0013515+0.00053803i,0.0015214-1.2549e-05i,0.00045773+0.00020241i,-0.00021313-0.0001295i,6.4961e-05-0.00019756i,-7.6615e-05-0.00031426i,-8.3909e-05-0.00049561i,-9.0415e-05-0.00024505i,-0.00065879+0.00024681i,-0.00094964+0.0010389i
-0.00082763+5.6261e-05i,-0.00095545-0.00031645i,0.00021424+0.00035787i,0.00079431+0.00094537i,0.0015138+4.8054e-05i,0.0022246-0.00067424i,0.0012912+0.00024614i,0.0010638+0.00063929i,0.0008561-0.00010536i,-0.00020723-0.00055001i,-0.0003656-0.00085519i,0.00030519-0.0008579i,2.3467e-05-0.00041992i,-0.00085149-0.00028531i,-0.00030676+9.7346e-06i,0.00078211-3.2205e-05i,0.0010879+9.3705e-05i,0.00037042+0.00057251i,-0.00030142+0.00058157i,-0.0004467+0.00076412i,-0.00025487+0.00062786i,-3.5675e-05+0.00027404i,8.5194e-05+0.00036887i
0.0008793-0.0022738i,0.00089601-0.0029108i,0.00046292-0.0029084i,0.00024244-0.0019223i,-0.00015868-0.00092767i,-3.4512e-05+0.00018954i,0.001173+0.001068i,0.0015981+0.0013635i,0.00086303+0.00058734i,0.00014221-0.00059261i,-3.0392e-06-0.00076613i,0.00039496-0.00012565i,0.0004666+0.00010651i,0.00030362-0.00087643i,0.0005024-0.00056375i,0.00072013+0.00014645i,0.00020436-0.0001647i,-0.0001976-0.00062478i,-0.00025889-0.00033421i,-0.0002671+0.00056743i,-0.00012491+0.00055657i,6.2045e-05+0.00057001i,0.00028629+0.00038691i
-0.00041881+0.00089765i,-0.0013262+0.00085435i,-0.0011401+0.0019161i,-0.00056141+0.0017542i,-0.00017697-0.00029742i,-0.00013409-0.00074472i,-0.00057845+0.00025252i,-0.00062421+0.00014261i,-0.00050296-0.00042827i,-0.00038504-0.00019732i,-0.00046869-0.00021784i,-0.00095816+1.4497e-05i,-0.00044948-0.00022043i,0.00018687-0.00023952i,-9.5373e-05-0.00040956i,-0.00038577-0.00053446i,-0.00068345+9.4154e-05i,-0.00020889+0.000141i,-0.00028133-4.2964e-05i,-0.00098698+0.00021821i,-0.0013426+0.00040972i,-0.00069184-0.00050635i,6.6597e-05-0.00073887i
0.0014421-0.00023214i,0.0021033-0.00099756i,0.0014884-0.0018517i,0.0012569-0.0018413i,0.0015272-0.0010922i,0.0016113-0.00015527i,0.00074473+0.00041628i,0.00028262+0.00027779i,0.00028968-8.5523e-05i,0.00040306+6.0656e-05i,8.048e-05+1.1632e-05i,-0.00082578-5.0433e-05i,-0.0011391-1.9375e-05i,-0.00058066+0.00030634i,-0.00012084-3.5356e-05i,-0.00025147-0.00041725i,-0.00029283-0.00026272i,-1.4882e-06+2.9376e-06i,9.641e-05+8.5406e-05i,0.00017052-9.5089e-05i,0.00083518-0.00020519i,0.0017658+5.8532e-05i,0.0012626+0.0004156i
-0.00082947-0.00075106i,-0.00024201-0.0011952i,0.00080177-0.0012445i,0.00064661-0.0014128i,-0.00014753-0.00111i,-0.00020733+0.00012932i,5.8507e-05+0.00058033i,0.00011127+0.00012771i,-0.0003575-0.00047074i,-0.00045549-0.00084335i,0.00013023-0.00097156i,9.5777e-05-0.00099194i,5.2633e-05-0.00029854i,7.5343e-05+0.00069612i,-0.00061082+0.00065426i,-0.00066024+0.0004084i,-4.5599e-05+0.00012061i,-0.00012425+0.00057488i,-0.0011303+0.0004616i,-0.001435-0.0008202i,-2.556e-05-0.00052792i,0.00027581+4.7328e-05i,-0.00029274-0.00039615i
-0.00035619-0.00043024i,0.0002952-0.00070817i,0.00042627+0.00035093i,0.00015403+5.6951e-05i,0.00094958-0.00076287i,0.00046527-0.0010944i,9.1834e-05-0.0010117i,0.00062331-0.00054232i,0.00087639-0.00058326i,0.001363-0.00060495i,0.00039867-0.00029734i,-0.0011742-6.8696e-05i,-0.00066352-0.00010245i,0.00020456+7.6909e-05i,-0.00036821-0.00016304i,-0.0010155-0.00065108i,-0.00067414+5.1853e-05i,-0.00029188+0.00041533i,-0.00040613-0.00018954i,-0.00046308+3.5691e-05i,-0.00076758+0.00074634i,-0.0011387+0.00090825i,-0.00073628+0.00090768i
0.00018957-0.0009508i,0.00031446-0.00068614i,0.00049125-0.00080496i,0.00055637-0.00057552i,-8.4252e-05+0.00017085i,0.00038083+0.0010446i,0.00040096+0.0012966i,0.00029404+0.00065836i,0.0011937+0.0001701i,0.0010562-0.00024922i,0.00039746-0.00087949i,0.00030692-0.0014122i,0.00067155-0.0011396i,0.00091035-0.00021174i,4.5615e-05+0.00041028i,-0.00046938+0.00018908i,-1.9829e-05+0.00015503i,1.2022e-05-3.6575e-05i,-0.00017296-0.00027964i,0.0001446+0.000439i,0.0004684+0.00059349i,0.00044628-0.00030836i,0.00069119-0.00062317i
-0.0013253+0.0015375i,-4.8074e-05+0.0013051i,0.0012227+0.00028793i,0.0017017-4.2749e-05i,0.0014045-0.00060209i,0.00069134-0.0012546i,0.00021568+0.00010102i,0.00010032+0.00035336i,0.00080499+2.1103e-05i,0.0010747+0.00010683i,0.00054656-0.00030452i,0.00016645-0.00030581i,0.00026741+0.00043365i,5.3991e-05+0.00064814i,-4.71e-05-0.00026006i,5.4603e-05-0.00097514i,-0.00035065-0.0013394i,-0.00039408-0.0010303i,-0.00050312-0.0003655i,-0.00066424-0.00039262i,-0.00035897-0.00044142i,0.00051063+0.00011702i,0.00098667+0.0007692i
0.00070856-0.0012086i,0.00080791-0.001118i,6.9363e-05-0.0012603i,-0.00032171-0.00096918i,-0.00043539-0.00055577i,-0.00023051-0.00061023i,0.00040979-0.00023312i,0.00071052+0.00081557i,0.00076509+0.00064609i,0.00028143+0.00028614i,4.0995e-05+7.5454e-05i,0.00024652-0.00038596i,-0.00011035-0.00055121i,-0.00018904-0.00072616i,-0.0001233-0.00021652i,-0.00041904+0.0006758i,-0.00085598+0.00059502i,-0.00077481-0.00012347i,-0.00087659-0.0012974i,-0.00092634-0.0010256i,-0.00026861-0.000344i,-4.5118e-05-0.00026945i,-0.00042464+0.0002287i
0.00094011-0.0001138i,-8.5726e-06+0.0001808i,-0.00021435-0.00040074i,-0.00036552-0.00047724i,0.00034373-0.00035123i,0.0010331+0.00029716i,0.0005866+0.0009636i,0.0005543+0.00040162i,0.00062979+0.00012614i,-1.0525e-05-0.00031227i,-0.00025436-0.00069177i,-0.00049455-0.00053163i,-0.00024557-0.00020257i,-0.00010972-0.00028502i,-0.00049084-0.00046823i,-0.00050795-0.00050057i,-4.7862e-05-9.2916e-05i,0.00023215+0.00032143i,-5.3424e-05+0.00043606i,0.0003322+0.00043929i,0.00037191+0.00028684i,8.1675e-05-8.7844e-05i,0.00022198-0.00025385i
0.0023033-0.0011271i,0.0030046-0.0012275i,0.0024855-0.0027151i,0.00123-0.0020928i,0.00094436-0.00056063i,0.0002294+0.00042535i,-0.00021277+0.00054222i,0.00031418+0.00023451i,0.00016909-0.00014409i,-0.00044587-0.0002873i,-0.00090273+0.00038358i,-0.00083866+0.00043643i,0.0001704+0.00020794i,0.0011387+3.6207e-05i,0.0011423-0.00030298i,0.00051789-0.00027552i,0.00038391+2.3949e-05i,0.001277-3.9651e-05i,0.0017454-7.4287e-05i,0.00054195-2.3843e-05i,0.00041832+0.00028751i,0.00054981+0.00053659i,-1.2948e-05-0.00014369i
0.00033792-0.00014898i,8.3067e-05-0.0013774i,0.0015945-0.0010145i,0.00099777-0.00052967i,-0.00023906+0.00030931i,0.00032201+0.0013374i,0.00071822+0.00097481i,0.00088633+3.5026e-05i,0.00058516-0.00036866i,0.00017154-0.00061902i,0.00014967-0.00062367i,0.00062821-0.00085299i,0.00018041-0.0010298i,-0.00042691-0.00081305i,-0.00061611-0.0002611i,-0.00087389+2.6446e-05i,-4.3141e-06-6.5402e-05i,9.7547e-05-0.00026187i,-0.00031822+2.3894e-05i,-0.00025843+0.0007312i,-0.00026497+0.0010738i,-0.00046141+0.00084067i,-0.00033933+0.00040299i
-0.0008714+0.00068938i,-0.00046371+0.00091931i,-0.00036592+0.0015615i,-0.00045388+0.0012054i,0.00050692-0.00085226i,0.00089173-0.0012865i,-0.00024114-0.00069902i,-0.00026896-0.00046085i,6.6676e-05-0.00025112i,-0.0003824+0.00068486i,-0.00080167+0.00084166i,-1.831e-05+3.8175e-05i,0.00034027+0.00018743i,4.2039e-05+0.0008137i,-0.00018409+0.00065368i,-0.00028442-3.0359e-05i,-0.00052488+0.00040772i,-0.00063846+0.00078411i,-8.7802e-05+0.00040717i,-0.00038674+0.00049006i,-0.00042391+0.00068778i,-1.5964e-05+0.00036288i,0.00021437+4.451e-05i
-1.6982e-05-0.00059379i,-0.00090132-0.0010631i,-0.00060041-0.00070765i,0.0003219-0.00014064i,0.00085776-0.00032197i,0.00040855-7.9677e-05i,-0.00028879+0.00054971i,-0.00097145+0.00026124i,-0.000124-0.00030027i,0.00067033+5.9173e-05i,0.00033059+0.00035259i,0.00010411-0.0003274i,0.00024815-0.00059989i,0.00011185-0.00089514i,0.00017753-0.00052328i,0.00039464-8.9511e-07i,0.00029611+0.000498i,1.5555e-05+0.00099285i,0.0004718+4.1039e-05i,0.00054592-0.00048649i,6.0876e-05-0.00012145i,-0.00019928-0.00045059i,-0.00020386-0.0003912i
-0.00013181-0.0011854i,0.00047433-0.00080016i,0.00052699-0.00086138i,1.641e-05-0.00073344i,-0.00031519-0.00048187i,0.00046846+0.00055444i,0.00054831+0.0011944i,0.00020242+0.0011029i,0.00025143+0.00025128i,0.00042329-5.5699e-05i,0.00056667+0.00023554i,0.00046374+0.00012935i,0.00023186+0.00042786i,-0.00014135-0.00046329i,-7.3175e-05-0.00047535i,0.0002456+0.00044266i,0.00052638+0.00093689i,0.00038058+0.00055359i,0.00052922-0.00053887i,0.0013804-0.00024788i,0.00086265-0.00033795i,4.0307e-05-0.00047943i,9.8358e-05-0.00020418i
-0.0011133+2.9711e-05i,-0.00012484-0.00078456i,0.000484-0.00069656i,0.00033004-0.00033838i,0.00036828+0.00039373i,0.00011925+0.00031873i,0.00026355+0.00030099i,0.00097793+0.0016561i,0.0010076+0.0029175i,0.00046336+0.0019181i,0.00061965+0.00045061i,0.0010745+0.00040629i,3.3428e-05+0.00050925i,-0.00087986+0.00025181i,-0.00015579-0.00053281i,-0.00026864-0.0011961i,-0.00053785-0.00069007i,-0.00023655+0.00069498i,0.00082472+0.0007001i,0.00090592+0.00050502i,0.00021944+0.00071159i,0.00010069+0.0010746i,-0.00054625+0.00056885i
0.00069727-0.00019797i,0.00081572-0.00052209i,0.00054622-0.00089772i,0.00062195-0.0010284i,0.00052768-0.00019184i,0.00096501+0.00045245i,0.0016513+0.00066121i,0.00079135+0.00038069i,-0.00012313-0.00059397i,-0.00028039-0.00094689i,-0.00011456-0.00043397i,-0.00020892-0.00017657i,0.00012053-0.00065436i,0.00051023-0.00066038i,0.00033719+3.6205e-05i,-0.00046409+0.00014131i,-0.00069225-6.6489e-05i,5.5532e-06-9.8011e-05i,0.00029904+7.394e-05i,-8.0489e-05+0.00018647i,-0.00017752+0.00021946i,0.00022884+0.0002901i,0.00023395-0.00018982i
-0.0011357+0.00023934i,0.00034428+0.00046459i,0.0010288-0.00031208i,0.00060678-0.0007254i,-0.00031309-0.00094614i,1.9062e-05-0.00015666i,0.00012987+0.00055674i,-4.5236e-05+0.00035571i,0.00067086+2.4466e-05i,0.00065084-0.00015227i,0.00044933+0.00027689i,0.00011339+0.00019711i,-0.00026143-0.00033666i,-0.00070864-0.00060117i,-0.00077099-0.00069661i,-0.00022443-0.00019638i,0.00032051+0.00031385i,0.00036169+0.0001687i,0.00039867-8.0792e-05i,0.00082986+7.0467e-05i,0.00051484-0.0005036i,9.9334e-05-0.0013405i,0.00026141-0.00088974i
-0.00061076-0.0017271i,-0.0012776-0.0021559i,-0.001509-0.0022864i,-0.001357-0.0013693i,-0.0005345+0.00051762i,0.00061688+0.0013321i,0.00087476+0.00065857i,0.0012909+0.00013156i,0.001332-0.00010126i,-0.00014001-0.00032514i,-0.0010828-0.00095656i,-0.00047098-0.0011228i,-0.00036426-0.00094959i,-4.8571e-05-0.0010477i,0.00029571-0.00067868i,0.00065193-0.00018107i,0.00078214-0.00011975i,0.00057937-0.00034616i,0.0010196+9.0235e-05i,0.0014609-0.00010682i,0.00096853-0.00045705i,0.00042537-0.00033653i,3.7304e-05-0.00057258i
-0.00068073-0.0010719i,8.4548e-05-8.4695e-05i,0.00063297+0.00049671i,0.00098241+0.00056748i,0.0010581+0.00043021i,0.00092617+0.00080785i,0.000659+0.0015146i,7.4195e-05+0.00054338i,0.0003842-0.0009054i,0.0003199-0.00048435i,-0.0004202+0.00029665i,-0.00040669+0.00011644i,-0.00023276-0.00038068i,-0.00021475-0.0001278i,-5.7458e-05-0.00055319i,-0.00027189-0.0015139i,-0.00019836-0.00078907i,5.6762e-05+0.00035549i,-0.00077718+0.00034606i,-0.0013805+0.00055578i,-0.00061236+0.00092008i,-7.1175e-05+0.00075243i,-0.00014225+0.00037152i
0.00079589-0.002234i,0.0013143-0.0021955i,0.0015319-0.0017242i,0.00056994-0.0013344i,0.00027736-0.0010751i,0.00076101-0.00072379i,0.0012485-0.00049758i,0.0011651-0.00037691i,0.00087739-9.8104e-05i,0.00016875+0.00018632i,-0.00086674+0.00044142i,-0.00074383+3.6331e-05i,1.8409e-05-0.00021449i,0.00089641+1.433e-05i,0.001621+0.00026804i,0.00082254+0.00029515i,-0.00099715-0.00037623i,-0.00098344-0.00076331i,-0.00063018-0.00061603i,-0.0013294-0.00022762i,-0.0014091+6.8758e-05i,-0.00034191-5.3079e-05i,0.00040016-5.289e-05i
-0.0022708-0.0010886i,-0.0023976-0.00049824i,-0.0021531-0.00065751i,-0.0015662-0.00041689i,-0.00036392+0.00047711i,0.0012496+0.00079978i,0.0015372+0.00064106i,0.00092788-0.00069978i,0.00030166-0.0010076i,-0.00053442-0.00048391i,-0.0016055-0.00034865i,-0.0017154+9.0585e-05i,-0.0010829-0.00012093i,-0.00053417-0.00047771i,-0.00043306-9.2162e-05i,-0.00042219+0.00020487i,-0.00034169-0.00021761i,-0.00044565-0.00039359i,0.00010722-0.00071319i,0.00094476-0.0012773i,0.00078902-0.0010556i,-8.8258e-05-0.00036867i,-9.8118e-05-0.0006093i
