-0.0023266+0.00078252i,-0.0027134+0.00033287i,-0.0037206+0.0012328i,-0.003496+0.0023027i,-0.0023382+0.0030386i,-0.00065063+0.0033231i,0.00061692+0.0033291i,0.00090292+0.0032229i,0.0010938+0.002147i,0.0014681+0.00068443i,0.0017042-0.0002701i,0.00095679-0.00039782i,0.00062279-0.00053989i,0.0011265-0.00017594i,0.0012214+0.00036091i,0.00048728+0.0001806i,-0.00053129-0.00023825i,2.6728e-05+0.00012768i,-3.4508e-05+0.00077313i,-0.0011582+0.00064865i,-0.0005102+0.00034539i,-0.00010567+0.00028322i,-0.00055356+1.0119e-05i
0.00086076+0.0010287i,0.0005309+0.00046311i,0.00059838+0.00091907i,0.00061601+0.0012612i,0.00032583+0.0017118i,-0.00011894+0.0016308i,9.1587e-05+0.0010073i,0.00041015+0.0010196i,0.00088152+0.00048624i,0.0011863-0.00025314i,0.00077096-0.0006645i,-0.00028352-0.00014565i,-0.00057659+0.00084957i,-0.00053304+0.0003354i,-0.00071483-0.00043718i,-8.2195e-05-0.00068428i,0.00023462-0.00039401i,-0.00030438-0.00022598i,-0.0001286-0.00045007i,0.00014174-7.526e-05i,8.4071e-05-0.00035531i,0.00014879-0.000548i,1.6806e-05+6.0913e-05i
-0.0015196-0.0018082i,-0.002118-0.001716i,-0.001183-0.0018429i,-0.0010455-0.00086091i,-0.0018643+0.00092369i,-0.001801+0.0016859i,-0.00050747+0.0010915i,0.00021482+9.6887e-06i,9.6316e-05-0.00078086i,0.00053401-0.00047884i,0.00071144-0.00025047i,0.00051431-0.00020225i,0.00097445+0.00040408i,0.00093962+0.00019697i,0.0002712-0.00030382i,0.00051067-0.00060994i,0.00081515-0.00054359i,0.00027617-0.00043545i,2.3338e-05-0.00055962i,-0.00012178-0.00027903i,-0.00045608-0.00035476i,0.00035885-0.00050727i,0.00075947-0.00025466i
0.0035838-0.00083487i,0.0032462-0.00086641i,0.0031072-0.0013012i,0.0023436-0.00071674i,0.00093145+0.00014391i,0.00058692+0.0012615i,0.00060356+0.0016899i,0.00027432+0.0010738i,0.00078682+0.00025369i,0.00077509-0.00030554i,-0.00053635+7.6364e-08i,-0.0015382+0.00031374i,-0.0011766-0.00015426i,-0.00057951+0.00012366i,5.7546e-05+0.0011029i,0.00025568+0.00078782i,0.00016475+4.0158e-05i,-0.00037705+0.00015484i,-0.00078643+0.00034354i,-0.00045223+0.00039255i,-0.00029329-0.00019414i,0.00019356-0.0009338i,0.00082918-0.00021246i
0.00074879+0.0010282i,4.7804e-06+0.00034995i,7.0699e-05-0.00062812i,0.00046898-0.00035728i,0.00021412+0.00046848i,-1.3451e-05+0.00040581i,0.00055354+0.00029881i,0.0010813+0.00025442i,0.00053685+0.00056475i,-0.00047055+0.00016212i,-0.00107-0.00053287i,-0.00088741+8.8528e-05i,6.7276e-05+0.00049651i,0.00012559+0.00035281i,-0.00025805+0.00066412i,-0.00014628+0.00046066i,0.00052322+6.1805e-05i,0.00077418+0.00035171i,0.00033833+0.00046556i,-0.00043997+0.00044361i,-0.00089339+0.00047443i,-0.00056758+0.00016803i,0.00022775-0.00033119i
0.00085193+0.0014941i,0.0016199+0.0011494i,0.00091505+0.0010916i,0.00022666+0.00081208i,-4.4682e-05+0.00092512i,-0.00061173+0.0011883i,-0.00058654+0.00061696i,-0.00039865+0.00026896i,-0.00051799+0.00039772i,-0.00012755+0.0002934i,0.00033795+0.00015444i,0.00020152+0.00039439i,-0.00040604+0.00097246i,-0.00091235+0.00058353i,-0.00067017-0.00017971i,6.4897e-05-0.00072692i,0.00033655-0.00050881i,-0.00051313+0.00042481i,-0.00038885+0.00013044i,0.00046147-0.00025276i,0.00024772-3.4275e-05i,0.00038679+9.1866e-06i,0.00054549+0.00033023i
-0.00073355+0.00073382i,-0.00025468+0.0008075i,0.00037981+0.0010525i,0.0011136+0.00047067i,0.0013189+0.0001847i,0.00080639+0.0005973i,-0.00039248+0.001306i,-0.00025064+0.0016179i,0.0010305+0.00079108i,0.0016722-7.7326e-05i,0.00054402+2.9496e-06i,-0.00048182-2.075e-05i,-0.0003305-0.00080502i,-0.00015124-0.00082121i,-0.00054536-0.0004218i,-0.00028201-0.00085567i,-2.4654e-05-0.00048351i,-9.4654e-06+0.00048667i,0.00056902+0.0006063i,0.0008994+0.00015783i,0.00042602+0.00070283i,-0.00027309+0.0004757i,-1.8644e-05+0.00033968i
0.00043713+0.00069628i,0.00074214+0.00011216i,0.00093995-0.0015018i,0.0005758-0.0003915i,-0.00018652+0.0018449i,-0.00104+0.0023316i,-0.00039015+0.0014817i,0.00015693+0.00075666i,-0.00052584+0.00029094i,-0.0004985-0.00046105i,0.00032517-0.00063765i,0.00042932-0.0006934i,-0.00063075-0.00036907i,-0.00053981-0.00022618i,0.0003819-0.00011041i,0.00071345+0.00029009i,0.00010462+7.2055e-05i,-0.00083858-0.00032163i,-0.00017595-0.00032864i,0.00094706+0.00014742i,0.0010482+0.00038676i,0.00086009+0.00041075i,0.00068008+0.00055428i
0.00037469-0.00051302i,0.00047831-0.0014158i,0.00062491-0.0011292i,0.00086513-0.00075266i,0.00041928-0.00072613i,-7.3122e-05-6.6551e-05i,-0.00073016+0.00050839i,-0.0001431+0.00027871i,0.00043527+0.00030165i,-8.3879e-05+0.00016525i,-0.00042517+3.6543e-05i,-0.00040157-0.00020912i,-0.00013895+8.3303e-06i,0.00037754+0.00032221i,0.00024497+0.00014458i,-0.00080087-0.00031715i,-0.0010142-0.0005702i,-0.00031551+0.00013995i,0.0012169+0.00059079i,0.0014107+0.00047688i,0.00038104+0.00046471i,0.00030943+0.00021651i,0.00034492-0.00015592i
0.00032687+0.00040986i,3.1764e-05+0.00092133i,-0.0011427+0.0014581i,-0.00055667+0.0018039i,2.3071e-05+0.0030197i,1.1018e-06+0.0024354i,-0.00029944+0.00080306i,-0.00077989-2.6527e-05i,-0.00051215-0.00012331i,0.0002743-0.00042927i,0.00045644-0.00013998i,0.00028318-0.00058447i,0.00056074-0.00048876i,0.00071715-0.00010269i,0.00053675+0.00017816i,0.00020032+0.0003675i,5.3292e-05-0.00053101i,0.00037186-0.00068341i,0.00015245-0.00036064i,-0.00034269+9.6335e-05i,-0.00049949+0.00039775i,-0.00034179+4.6201e-05i,0.00028261-0.0002657i
-0.00041583+0.0016139i,0.00012736+0.0004904i,0.0008874+0.00055898i,0.0010467+0.0008543i,0.00025+2.6195e-05i,-0.00017066-0.00074431i,-0.00028743-0.0010395i,-0.00033842-0.00053743i,0.00030102+0.00027547i,0.00032958-0.00035336i,0.00029751-0.00084935i,0.00056738-0.00044315i,0.00033902-0.00017772i,1.3201e-05+0.00012718i,0.00023325-0.00013511i,0.00033829-0.00036695i,-8.1162e-05+3.6342e-05i,0.000178+0.00051701i,0.00052421+0.00065271i,0.00091488+0.0005222i,0.00065049+0.00017172i,-0.00056532+2.7545e-05i,-0.00037891-0.00039022i
0.00045919+0.0011249i,-0.00024436+0.0014676i,0.00037853+0.0013559i,0.00090255+0.0022544i,0.00098654+0.0029953i,-6.8033e-05+0.0024347i,-0.00088841+0.0010164i,-0.00018581+8.8504e-05i,0.00016002+0.0006525i,0.00023082+0.00052524i,0.00050274-0.00034433i,0.00053182-0.00068274i,0.00059744-2.1996e-05i,0.0010068-0.00018483i,0.00047875-0.0011745i,-0.00022736-0.00052953i,2.8449e-05+1.7681e-06i,7.0312e-05+1.9593e-05i,0.00025662+0.00063678i,5.8583e-05+0.0012147i,4.2037e-05+0.0010502i,-0.00019333+0.00059905i,-0.00054664-0.00039218i
-0.00016859+0.00090356i,-0.00069044+0.0010659i,-0.00087207+0.00033953i,0.00031726+0.00039641i,0.00051177+0.00096067i,2.8632e-05+0.0006698i,0.00030387+0.0003054i,0.00077797+3.9031e-05i,0.0010198+0.00029151i,0.00099434+0.00023634i,0.00098167-0.00015377i,0.00032401+0.00044042i,0.00052666+0.00024207i,0.0012339-1.0689e-05i,0.0012301+0.00061958i,0.00082556+0.00068038i,4.0152e-06-0.0001044i,-0.00067358+9.6904e-05i,-0.00083216+0.00067309i,-0.00061984+0.0006502i,-4.8304e-05+0.00082051i,0.00023145+0.00040958i,-0.00011758+0.00013023i
-0.0002968+4.6791e-05i,-0.00022023-0.00015133i,0.00058719-0.00044736i,-4.4862e-05+0.00015083i,-0.00073559+0.0015043i,-0.00026657+0.0014068i,-0.00010856-0.00014636i,-7.6727e-05-0.0013126i,0.00033283-0.001457i,0.0006573-0.00078015i,-0.00046445-0.00016109i,-0.0010444+0.00021144i,0.00052472+0.00054144i,0.00086218+0.00027492i,2.1093e-05-0.00032343i,-0.00033418-0.00016519i,-0.00040396-0.00021752i,-0.00017689-0.00090598i,-7.9538e-06-0.0011884i,-0.00024979-0.00057354i,0.00013482+9.9678e-05i,0.00024206+0.0007173i,0.00054985+0.00072353i
-0.00054403+0.00195i,-0.00083627+0.0012249i,0.00018223+0.0005017i,0.0010382+0.0002762i,0.00078021+0.00035898i,0.00065089+0.00080276i,-0.00011883+0.001114i,-0.00063767+0.00068118i,-0.00055781+0.0001015i,0.00025446+0.00075113i,0.00074501+0.0014208i,0.00016986-0.00014712i,0.00017956-0.0011707i,2.5883e-05-0.00094542i,-0.00017028-0.0011881i,-0.00042657-0.0012432i,-0.00079449-0.00064746i,-0.00014767-0.00027975i,0.00045832-0.0001626i,-4.3376e-05+0.00011743i,0.00019974+3.3762e-06i,0.0011214+0.00013108i,0.00077121+0.00030401i
0.00041-0.00045395i,0.00027345-0.00020075i,-8.2805e-05-0.00083966i,-0.00011885-0.0012397i,-0.00058227-0.00068002i,-0.001214+0.00068886i,-0.0012288+0.00053038i,-0.00077945+5.0119e-06i,-0.00033534+8.3307e-05i,5.0021e-05-0.00059642i,0.00051547-0.0010206i,0.0001899-0.00043943i,0.00025133-0.00011837i,0.00047652-0.00017304i,-0.00014534-0.00025585i,0.00020936+4.6167e-05i,0.00076718+0.0005744i,0.00010968-8.5705e-05i,-6.4566e-05-0.00073277i,0.00018487-0.00021127i,-0.00026641-6.2886e-05i,-0.00097273-0.00015757i,-0.00047542+0.00041571i
0.0011302-0.00035088i,0.0013193-0.00051221i,0.0016147-0.0010384i,0.00097175-0.00061033i,-0.00012318+0.000459i,-0.00017841+0.00087305i,-0.00021593+0.0010028i,-0.00053679+0.00026694i,0.00026571-0.00066481i,8.5261e-05-0.00083925i,-0.00065614-0.00042969i,-0.0005864-0.00020699i,-0.00027058-0.00016312i,0.00010317+0.00011615i,0.00035076+0.00028096i,0.00059209+0.00053987i,0.0004133+0.0010103i,0.00065142+0.00071881i,0.00091003-0.00022449i,0.00045762-0.00073307i,0.00040658-0.00095615i,0.00045392-0.0013875i,6.2308e-05-0.0010192i
-0.0010149-0.00082457i,-0.0012575-0.00088311i,-0.00096765-0.0002727i,-0.00081186+0.00078652i,-0.00071272+0.0011862i,0.00025472+0.001058i,-9.9526e-05+0.00071897i,-0.00046685-0.00024855i,0.00049614-0.0002848i,0.00096648+0.00091705i,0.0010361+0.0011362i,0.0013649+0.00086985i,0.0012968+0.0005455i,0.00084888-7.0512e-06i,0.00082021+0.00017766i,0.00059668+0.00014122i,0.00033772-0.00060918i,-5.6543e-05-0.00076904i,-0.00016035+0.00010488i,0.0001819+0.00087425i,0.00024136+0.00077097i,2.572e-05+0.00043854i,0.00082493+0.00047109i
-0.00033803+0.00094561i,-0.0005295+0.0010833i,-0.0010486+0.00097433i,-0.00098579+0.0020201i,-6.1152e-05+0.0021932i,0.00054776+0.0016131i,4.4238e-06+0.0014736i,-0.00029776+0.00071302i,0.0002699+0.00035413i,0.00095592+0.00088088i,0.0006152+0.0011049i,1.6951e-05+0.00041649i,-5.9779e-05+8.7824e-06i,-0.00049379+0.00050537i,-0.00050204+0.00055152i,-0.00040681+0.0006126i,-0.00080095+3.8276e-05i,-0.0002399-0.00063602i,0.00058869+0.00018097i,0.0010277+0.0003626i,0.00083341-0.00017693i,0.00039392-0.00018319i,0.00029238-0.00066275i
-0.00054733-0.00071237i,0.00018823-0.00058538i,0.0004279-0.00011705i,-0.00011388+0.00032979i,-0.001113+0.001029i,-0.0017926+0.001288i,-0.0010181+0.00070601i,-0.00011855-0.00029223i,7.4422e-05-0.0011654i,0.00068218-0.001532i,0.0010065-0.00028631i,0.00081785+0.00020153i,0.00033828-0.00011357i,-0.00017878+0.00016202i,-0.00043678-0.00040634i,-0.0004079-0.00016198i,9.0149e-06-0.00021907i,-5.8607e-06-0.00092126i,-0.00067861-0.00086951i,-0.0005562-0.00043757i,-0.0002978-0.00032347i,-0.00025503+0.00015186i,7.7299e-05+0.00092292i
0.00046923+0.00014212i,0.00073993+0.00041862i,0.00083753+0.00071477i,0.0005155+0.00048639i,7.9675e-05+0.00066473i,-0.00059764+0.00080786i,-0.0011846+0.0003955i,-0.00084471+6.7632e-05i,-0.00015266-0.00010102i,9.5906e-05-6.2975e-05i,0.00029817-0.00024387i,0.00023277-0.0004194i,0.00015447+0.00043724i,-0.00027099-5.7757e-06i,0.00032106-0.00052355i,0.0012478+0.00061704i,0.0011555+0.0012098i,7.8597e-05+0.0006371i,-0.00083521+3.1088e-05i,-0.0011249-5.5523e-05i,-0.00085837-0.00032433i,7.1288e-06-0.00049137i,0.00014496-0.00012811i
-0.0011684+0.0022513i,9.7514e-05+0.0017824i,0.00098473+0.0017848i,0.00099174+0.0016711i,0.00077717+0.0011601i,-0.00016758+0.00056006i,-0.0014466-7.6414e-05i,-0.0015559+0.00011532i,-0.00056186+0.00043715i,0.00024141+4.3759e-06i,0.0011654-0.00070074i,0.0014863-0.0016417i,0.0004163-0.0014188i,-4.3022e-05-0.00086304i,-0.00014856-0.0003641i,-0.00011853-0.00040388i,-0.00032352-0.00020525i,-0.00065677+0.000428i,-0.0003383+7.567e-05i,-0.00033999+1.2799e-06i,-0.00030613-9.6245e-05i,-0.001013-0.00026857i,-0.0011888+0.00040071i
-0.0016033-0.0010211i,-0.0023768-0.00059052i,-0.0023389+0.00073981i,-0.0014162+0.0020219i,-0.00064919+0.0020042i,0.00047774+0.0012188i,0.0014429+0.00098467i,0.0007083+0.00095425i,-0.00046864-2.2792e-05i,-0.0004629-0.0004082i,0.00046283-0.0003428i,0.00070969-0.00025806i,0.00052011-5.5845e-05i,0.00053537-0.00038451i,0.00032564-9.9283e-05i,0.0013311-6.4506e-05i,0.0017665-0.00010347i,0.00020251+7.0268e-05i,-0.00043453+6.875e-05i,-0.0004016-0.0001298i,-0.00031572+0.00023149i,-0.00038899+0.00060995i,-0.00016268+0.00044449i
0.001784+0.0010369i,0.00084306+0.00044264i,0.00061503-0.00059783i,-0.00050226-0.00053536i,-0.0016569-0.00033565i,-0.00054452-2.4419e-05i,0.00091735-4.0772e-05i,0.0013186-0.00076088i,0.00087613-0.0008128i,-0.00045053-0.00082247i,-0.0015836-0.00079819i,-0.0012368-1.1668e-05i,7.7156e-05+0.00033994i,0.0012553-0.000391i,0.0010535-0.00072723i,7.3643e-06-0.00060792i,-8.2327e-05-0.00039743i,0.0002749-0.00063424i,0.00024351-0.00078612i,-0.00029477+0.00036919i,-0.00038081+0.00079521i,-0.00017087-0.00034775i,0.00021759-0.00049469i
-0.0012515-0.0028401i,-0.0014225-0.0015185i,-0.0011323-0.00081712i,-0.0010286-1.522e-06i,-0.0010286+0.00090401i,-0.00087186+0.0011735i,-0.00015176+0.00085339i,0.00010246+0.00019596i,-0.00026555+0.00067024i,-0.00067943+0.001634i,-0.00063547+0.00068084i,-0.00011306+0.00045201i,0.00081818+0.00043433i,0.0016742+7.6772e-05i,0.0013221+0.00049744i,0.00024677+0.00064311i,-0.00021814+0.00040519i,6.3175e-05-0.00019648i,0.00040871-0.00052069i,0.00012978-4.6068e-05i,-0.0006821+0.00076651i,-0.0011742+0.001109i,-0.00055366+0.0010991i
2.6684e-05+9.7334e-05i,6.9761e-05+0.00091025i,0.00090271+0.00069822i,0.00063316+0.00080538i,-7.7049e-05+0.0014728i,0.00026217+0.001247i,0.0004542+0.00078704i,0.00041134+0.00039646i,0.00047069+2.0918e-05i,0.00087476-3.3179e-05i,0.0014068+0.00014665i,0.00088005+0.0004983i,2.4889e-05+0.00038274i,0.00022586+0.00011342i,0.00018046+0.00062527i,-0.00094411-0.00023762i,-0.00069885-0.00036115i,-0.00013527+0.00048211i,-5.1012e-06+0.00023789i,-0.00047127+0.0005128i,-0.00086379+0.00033846i,-0.0002407-0.00010358i,-0.00027487-0.00031068i
0.00030309+0.00024521i,3.7801e-06-0.00042233i,-0.00043315-0.00074472i,-0.0010797-0.0014695i,-0.00094084-0.00087645i,-0.00053234-0.00012792i,-0.00031313-0.00023117i,4.3652e-05-0.00010389i,0.00041532+0.00019025i,0.00032956+0.00017098i,0.00014609+0.00028952i,0.00030771-0.00014281i,0.00044174-0.00038469i,0.00059223-0.00018795i,0.00063651-3.7392e-05i,0.00081601-0.00058412i,0.00066944-0.00088003i,-0.0007083-0.00074193i,-0.00093429-0.00054799i,8.3374e-05-0.00032758i,0.0003731-0.00051294i,0.00029332-0.00064686i,0.00032123-0.00029759i
0.0019764-0.00010499i,0.0022365-0.00070477i,0.00089508-0.00040621i,-0.00011843-0.00039813i,-0.00076434+0.00056898i,-0.0010417+0.0013236i,-0.00032035+0.0012015i,-0.00013418+0.00035244i,-0.00041925-0.00051822i,-1.3246e-05-8.3236e-05i,8.0933e-05+0.00056994i,-0.0007963+0.00014429i,-0.00081661-0.00032004i,-0.00016379+0.00019227i,0.00023086-7.7767e-06i,-0.00073489-4.3799e-05i,-0.0010726-4.6658e-05i,-0.00030868-0.0002134i,-0.00014111-0.0002505i,-0.00037028+8.1963e-05i,-0.00038822+0.0009439i,-0.00060081+0.00094297i,-7.0775e-06-0.00011065i
-0.00036888-0.0015039i,-0.00065001-0.0010678i,-0.00097356-0.00045032i,-0.0010001+0.00019453i,-0.00052729+0.0010261i,-0.00023292+0.0015874i,-0.00099791+0.0011856i,-0.00084941-0.00025669i,0.00062266-0.00063527i,0.00096799-1.3412e-06i,0.00015796+0.00025214i,0.00073005+0.00028986i,0.0012762+0.00033532i,0.001122-5.1901e-06i,0.00083704-8.091e-05i,0.00069428+0.00034309i,0.00048088+0.00019715i,0.00022505-0.00033737i,-0.00064266-0.00048686i,-0.0010343+6.1796e-05i,-0.00035804+0.00030685i,5.9882e-05+0.00022377i,-0.00023968-0.00036822i
-0.0031814+0.00055719i,-0.0030329+0.0010078i,-0.0022105+0.0019925i,-0.0010736+0.0029566i,-0.00045558+0.0024934i,0.00010179+0.0018705i,0.0010276+0.0015183i,0.0012013+0.001296i,0.00072868+0.0012855i,0.00049878+0.0011069i,0.00046153+0.00093594i,0.00096748+0.00020865i,0.00061698-0.00019777i,-0.00042991-0.00067256i,0.00025163-0.0012231i,0.00095777-0.0011313i,0.00097025-0.0013298i,0.0012812-0.0011545i,0.001303-0.0007062i,0.00089787-0.00069103i,0.00041823-0.00060137i,-0.00045618-0.0006629i,-0.00083304-0.0012023i
-6.1787e-05-0.0015994i,-0.00012905-0.00053397i,-0.00088289-0.00018773i,-0.0006614-0.00018976i,5.3615e-05+0.00023966i,0.00048046+0.00042043i,0.0003995-0.00027376i,0.00076301-0.00043255i,0.00096339-0.00031386i,7.6432e-05-0.00055836i,-0.00030968-0.00019774i,0.00030359+0.00046573i,0.0010968+0.00077257i,0.0014466+0.00024336i,0.001149-0.00021123i,0.00079841-0.00061666i,1.5414e-05-0.0006414i,-0.00022512+0.00031865i,0.00056281+0.0008277i,0.00119+0.00054072i,0.001145+0.00024207i,0.0002053+0.00061173i,-0.00049572+0.00027105i
0.00054002+0.0018331i,0.00043877+0.0015124i,0.0011518+0.00093989i,0.00091245+0.001411i,0.00063844+0.0008964i,-0.00012434+0.00087715i,-0.00095872+0.0011076i,-0.00032722+0.00048958i,-0.00015925+5.5237e-05i,-0.00079077-0.00050692i,-0.0006789-0.00024885i,-0.00054757-0.0001515i,-0.00078017-0.00078082i,-0.00033902-0.00010919i,-2.9359e-05-0.00012126i,2.2497e-05-0.00093912i,6.8597e-05-0.00062969i,-0.00039568-0.00058151i,-0.0004019-0.0010399i,-6.1973e-05-0.0003153i,9.1028e-05+0.00018988i,-0.00020473-0.00015726i,-0.00016761+0.00052666i
