-0.0013519-0.0012655i,-0.001408-0.0012149i,-0.0010239-0.001675i,-0.0018728-0.00083198i,-0.0030034+0.0007974i,-0.0027104+0.0021389i,-0.0017735+0.002184i,-0.00053046+0.001791i,0.00073451+0.0018406i,0.0011235+0.0018395i,0.0013581+0.00096108i,0.00090037-6.0184e-05i,0.00013953-0.00079315i,0.00072021-0.0012444i,0.0010891-0.000622i,0.00085764+0.00077072i,0.00067687+0.0012008i,0.0003285+0.00069309i,-0.00022136-0.00012259i,-0.0012295-0.00017535i,-0.001319+0.0001509i,-0.00064005+0.00045449i,-3.3789e-05+0.0002014i
-0.00044665-0.0001401i,-0.00050308+0.00045066i,-0.001562+0.00089971i,-0.0016598+0.0013455i,-9.3815e-05+0.0016803i,0.0010627+0.0019915i,0.0006775+0.0020007i,-0.00025148+0.00066517i,-0.00052573+0.00052936i,-0.0004513+0.0010933i,0.00064371+0.00053056i,0.0013178+0.00018851i,0.00069815+0.00073684i,0.00039673+0.00079067i,-3.4126e-05+0.0004407i,0.00011217+2.5534e-06i,0.00031586+6.817e-05i,4.9223e-05+0.00058779i,-0.00020146+0.00070362i,-1.215e-05+0.00072273i,-8.4735e-05+0.00068768i,-0.00037314+0.00046474i,4.8873e-05-0.00026897i
-0.00079643+0.00022712i,-0.0003943+5.5762e-05i,0.00062525+0.00019083i,0.00059439+0.00076036i,-0.0005417+0.0013997i,-0.001268+0.0017452i,-0.00076115+0.0012318i,6.0134e-05+0.00064618i,0.00055875+0.00032364i,0.00045492+0.00031312i,0.00090225+0.00033251i,0.001195-0.00032413i,0.00024049-0.00064304i,2.0905e-06-0.0001757i,0.00033869-0.00011939i,0.00020372-0.00030724i,-0.00021376-0.00042893i,-0.00051723-0.00076747i,-0.0002177-0.00067321i,0.00065622-0.00041521i,0.00072328-4.0629e-05i,0.00029142-8.6921e-05i,0.00044648-0.0004348i
0.0026351-0.00061233i,0.0020043-0.0025898i,0.0015397-0.0036113i,0.0010539-0.0026495i,0.00059306-0.00066461i,-0.00057729+0.00077441i,-0.00074879+0.00097392i,0.00024534+0.00072214i,0.00024807+0.00033883i,0.00027056-3.7847e-05i,8.1362e-05-0.00023778i,-0.00053973-0.00083298i,0.00025053-0.00092298i,0.00021555-0.00054063i,-0.00067731-9.163e-05i,-0.00012036-0.00018475i,0.0007194-0.00024i,0.00041978+0.00055493i,0.00013355+0.00016161i,-6.8131e-05-0.00014724i,-0.00058481-0.00015062i,-0.00050719-1.4839e-05i,0.00038018-2.7756e-05i
-0.0015691-0.0011661i,-0.00070352+4.2172e-06i,-0.00058859+0.00061275i,-0.00067256+0.0014603i,-8.8396e-05+0.001552i,1.5897e-05+0.00056602i,5.145e-05-0.00043605i,-0.00012477-0.00029463i,-8.8605e-05+0.00040146i,0.00034523+0.00017418i,0.0010072+0.00018555i,0.00083724+0.00030428i,0.000481-0.00013855i,0.0012737-0.00076157i,0.0011407-0.00099815i,0.00011864-2.4867e-05i,5.0628e-05+0.00067661i,0.00054185-0.00022407i,0.00069092-0.00092023i,0.00025578-0.00056613i,5.5349e-05-0.00042172i,0.00018098-0.00013734i,-2.6015e-05+0.00043864i
0.0015132-0.0021364i,0.00063365-0.0023379i,0.0003563-0.00401i,0.00026204-0.0029614i,-0.0010916-0.00052645i,-0.0015192+0.00054929i,-0.00064441+0.0010028i,0.00055873+0.00077726i,0.00083006+0.00057171i,0.00022682-9.8463e-05i,-0.00013259-0.00074501i,-0.00020273-0.0003853i,0.0002099-0.00035903i,0.00031772+0.0005714i,-0.00013366+0.00078224i,0.00018111+0.00018898i,0.00047221+0.00036437i,0.00022984+0.00030666i,8.2704e-05-0.00025841i,-0.00076688-0.00064413i,-0.0011692-0.000658i,-0.00062971-0.00093243i,-0.00017872-0.00088651i
0.00038013+0.0017111i,0.0021704+0.0013641i,0.0030355+0.00058593i,0.0032469-6.2722e-05i,0.0023586-0.00024066i,0.0017423-0.00040637i,-8.052e-05-0.00038194i,-5.6956e-05-0.00022132i,0.0011438+0.00034042i,0.00083569+0.00045407i,0.00032032-2.442e-05i,0.00049068-0.00068891i,0.001073-0.00027881i,0.00080785-0.00056042i,0.00059064-0.00090571i,0.00027749-0.00020021i,-4.5902e-05-0.00024475i,0.00018634+0.00021775i,-3.8229e-06+0.00058106i,0.00079746-9.9801e-05i,0.0010476-0.00058005i,0.00035003-0.00049829i,0.00019899-0.00014688i
-0.00038262-0.00070844i,8.7485e-05-0.0014777i,0.00032383-0.0018316i,-6.8396e-05-0.0012303i,-0.00027959+2.8692e-05i,-0.00050661+0.00046683i,-0.00043366+0.00037584i,-0.00028952+0.0009753i,0.00015679+0.00090342i,0.00052707+0.00084235i,0.00035963+0.00093847i,-1.9973e-05+0.0010327i,0.00052509+2.167e-05i,0.0011027-0.0006286i,0.00054892-0.00024345i,2.7218e-05-0.00050452i,2.5745e-05-0.00074917i,0.00076562-0.00037953i,0.0007668-0.0004274i,-0.00056593-0.0011696i,-0.00098957-0.00095146i,-0.00043167-0.00041131i,0.000315-0.00072456i
0.00068833-9.3091e-05i,0.0021316-0.0006755i,0.0025928-0.00023836i,0.0016292+6.112e-05i,0.0010223+0.00066246i,0.0006549+0.0012114i,0.00027383+0.0008438i,8.4293e-05+0.00041914i,0.00063619+0.00034914i,0.0010775+0.00063286i,0.00025444+0.00027351i,-6.8464e-05-0.00015683i,3.7697e-05-0.00030488i,0.00028235-0.00025187i,1.878e-05+0.00029763i,-0.00063734+0.00027883i,-0.00052398-0.00085781i,-0.00017418-0.0014893i,0.0004713-0.00097531i,0.00096767-0.00065345i,0.0004727-0.00064583i,0.00042519-0.00040346i,0.00052735-0.00036598i
0.0010863+0.00064512i,0.0011692+0.00096199i,0.00065129+0.00066108i,-0.0001176+8.7907e-05i,-0.00017514-0.00015042i,-9.2739e-06+0.00051044i,-0.00082323+0.00096797i,-0.00038797+0.00098691i,0.00085302+0.0009973i,0.0010187+0.00020992i,-2.4379e-05-0.00040901i,-1.0426e-05-0.00088054i,0.00059713-0.00043019i,-0.00019332+0.00041787i,-0.00039785+0.00078269i,0.00058903+0.00058462i,0.00073432+0.00016566i,6.7152e-05-0.00021407i,-0.00027927-0.00049522i,0.0001738+0.00017787i,0.00045032+0.00056123i,0.00025528+0.00032291i,0.00064818+0.00096994i
-0.00041011-0.00079797i,-0.0001717-0.00035206i,-0.00021004+0.00039077i,0.00023859+0.00054332i,0.00014986+0.0010114i,1.5733e-05+0.0012237i,-0.0002695+0.0013021i,-0.00026087+0.0016869i,0.00040753+0.001442i,0.00012056+0.00051828i,-0.00036704-0.00049823i,8.523e-05-0.00099038i,0.00022007-0.00023447i,0.00030935+0.00031208i,0.00043237+0.00010071i,-0.00030661+0.00069296i,-0.00071495+0.0013462i,-0.00049249+0.0008743i,-0.00062832+0.00065901i,3.696e-05+0.00024911i,0.00076255-0.00016147i,0.0005894+2.8197e-05i,0.00058386+0.00059823i
0.00034694-0.0011552i,0.00049952-0.0014572i,0.00047995-0.0020312i,-7.6048e-05-0.0014311i,-0.0012003+0.00054384i,-0.0015327+0.0012434i,-0.00050634+0.00024948i,0.00031484+7.9674e-05i,0.00039763+0.00027538i,6.6988e-05+0.00098226i,-0.00037872+0.0015794i,-0.00031432+0.00054555i,-0.00031509-0.00029351i,-0.00041354-0.00034827i,0.00054788-0.00045981i,0.001194-5.7994e-06i,0.00022882-3.127e-05i,-0.00042933-0.00061977i,3.6311e-05-0.00032995i,0.00082571-0.00049974i,0.0015601-0.00054348i,0.0012424-0.00028193i,0.00058105-0.00033362i
-0.00042403+0.00062001i,0.00027041-0.0009944i,0.00049564-0.0015943i,-0.00025667+0.00019124i,0.00025533+0.0017005i,0.00064304+0.00096557i,0.00065842+0.00020872i,0.00073305+0.00037091i,0.000465-5.7248e-05i,0.00043553-0.00017235i,0.00038408-0.000404i,0.00034752-0.00019018i,0.00030571+0.00014201i,0.00026151+0.00011528i,0.00051155-3.4188e-05i,-9.5282e-06-0.00047587i,-0.00070511-0.00036637i,-0.00060349-0.0004142i,0.00013424-0.00057451i,0.00073132+3.4385e-06i,0.00057059+3.7973e-05i,0.00021894-0.00045792i,1.4673e-05-0.00018113i
-0.0013311+7.8469e-05i,-0.00026529+2.0358e-05i,-0.00062187+0.00046341i,-0.00098093+0.0012365i,-0.00028812+0.0017429i,-0.00036971+0.0015894i,-0.00044736+0.00081868i,0.00043717+0.00046185i,0.0010357+1.7252e-05i,0.00068485+1.5107e-05i,0.00055031+0.00060426i,0.00092133+0.0011807i,0.00063302+0.00055141i,0.00020139-0.00049916i,0.00028545-0.00017985i,-0.00020325+0.00040223i,-0.00021839+0.00048252i,-0.00018815+0.00023683i,-0.00051191-0.0001916i,-0.00012914-0.00035686i,-0.00034438-0.00066194i,-0.00090969-0.00064045i,-0.00069379-0.00069736i
0.00033452+0.0005896i,0.00092414-0.00017245i,0.0010667-0.0013547i,0.0013817-0.0018109i,0.00030164-0.00027447i,-0.0014112+0.0014987i,-0.0013167+0.0010689i,-0.00048572+5.3696e-05i,0.00026365+0.00051312i,0.00062243+0.00058355i,0.00058706-7.2566e-05i,0.0004797-0.00016993i,0.00042581+0.00019029i,0.00027356+0.00017795i,-0.0001448+0.00040549i,0.00022904+0.00028521i,0.00060787-0.0001575i,0.00014235-1.8016e-05i,0.00035418+0.00032831i,0.00095441+0.00087214i,0.0011666+0.00053488i,0.00061332-0.00015914i,0.00046639-0.00039425i
-0.0006064-0.0028252i,-0.00094061-0.002278i,-0.0015841-0.0015543i,-0.0010141-0.00059687i,-0.00069744+0.00084466i,-0.00044512+0.0015391i,-0.00067835+0.00085355i,-0.00038623+0.00035433i,0.00012617-5.2494e-05i,0.0003804+0.00052378i,0.00054063+0.00095282i,0.0002265+0.00050182i,9.7347e-05+0.00014937i,0.00024812-0.00026309i,-0.00026441-0.00088104i,-0.0009906-0.00057277i,-0.00076463+0.0002044i,-0.00012279+0.00088288i,-0.00015603+0.00094635i,0.00010602+0.00024086i,0.00023613+0.00012768i,-0.00010156+0.00026112i,4.0919e-05+0.00043227i
0.000636-0.00030048i,0.00016551-0.0017369i,0.00041115-0.002005i,-0.00047667-0.0011847i,-0.0014261-0.00017798i,-0.00038841+0.00092193i,0.00034333+0.0014926i,-0.00016608+0.0010769i,-0.00036928-0.00036289i,0.0001727-0.0011216i,0.00020289-0.00031203i,0.00017465+0.00025573i,0.0003663+0.00018791i,3.909e-05-0.00010933i,-0.00020835-0.00015958i,-0.00048833-0.00076392i,-0.00023894-0.00061904i,-0.00025445+9.5154e-05i,0.00017076+0.00024173i,0.00040856+0.00011659i,0.0001847-0.00045575i,5.5956e-05-0.00088103i,0.00047568-0.00068554i
0.00064252+0.00053994i,0.0021198-0.0011935i,0.0032659-0.001965i,0.0025-0.0018318i,0.00072643-0.00054457i,0.0001393+0.0003516i,-8.114e-05+0.00050274i,5.6208e-05+0.00088826i,0.00049901+0.0013104i,0.00075844+0.00087874i,0.0010196+0.00067324i,0.00073163+0.00045842i,-0.00016548-0.00072223i,-0.00033349-0.0013431i,1.5309e-05-0.0010496i,0.0003548-0.00026209i,0.00047393+0.00028101i,0.00052914+0.00014197i,0.000563-0.00064008i,0.00032541-0.00035272i,0.0001057+0.00016816i,0.00012433+0.00018126i,-9.7636e-05+0.0007239i
0.00093746-0.00068227i,0.0015238-0.0014836i,0.00044403-0.0021493i,-0.0018211-0.0020843i,-0.0025926-0.0002916i,-0.0015469+0.0010649i,-0.00037335+0.0014094i,-0.00020373+0.0019095i,-4.1284e-05+0.0019047i,0.00068077+0.00054897i,0.00048738-0.00019893i,-0.00028705-0.00087406i,-0.00065905-0.00059913i,-0.0011104+0.00032925i,-0.00091454+0.00031225i,-0.00028673-0.00028023i,0.00030544+8.1236e-05i,0.001061+0.00030751i,0.0014568+0.00015018i,0.0010129-9.3694e-05i,0.00052964+0.00015076i,8.1503e-05+0.0005314i,-0.0001101-0.00030523i
0.0011677-0.00020117i,0.0016569-9.2895e-05i,0.0025913+0.00017652i,0.0020755+8.4503e-05i,0.0001833+0.00017803i,-0.0011652-0.00011967i,-0.0010312+0.00027299i,0.00031201+0.0013434i,0.00097705+0.00018317i,0.00092294-0.00086744i,0.00051281-0.00047587i,0.00023754-0.00015057i,0.00074135-0.00057347i,0.00066157-0.00040566i,-0.00010118-2.9641e-05i,-0.00062435-0.00052919i,-5.9836e-05-0.00057466i,0.0005152+0.00040006i,0.00029044-0.00016726i,0.00048531-0.0013021i,0.00075793-0.00051762i,0.00062573+0.00015197i,0.00027409+2.7913e-05i
0.00051354+0.00033145i,0.00074277-0.00067098i,0.00069939-0.00082975i,0.00095309-0.00025411i,0.00050245+0.00014362i,-0.00056403+0.00029057i,-0.00076255-0.00038951i,0.00027501-0.00058281i,0.0010404-7.6631e-05i,0.0014884+0.00028269i,0.0016002+0.00023009i,0.0013016+0.00041991i,0.0007171+0.00013367i,9.9796e-06-0.00041067i,-0.00011219-0.00046527i,-5.7271e-05-0.00053982i,0.00020351-0.0011322i,-5.5903e-05-0.001239i,-5.7475e-06-0.00049913i,0.0001055+7.928e-05i,-0.00018456+0.00070695i,0.00059918+0.00096172i,0.00065126+9.6657e-05i
0.00038961-0.0015417i,8.2444e-05-0.0016276i,-0.00063616-0.0025483i,-0.0016549-0.0018834i,-0.0024357+0.00044369i,-0.0021435+0.0019376i,-0.0014059+0.0015379i,-0.00076662+0.00056555i,-0.00042645+0.00027851i,0.00031441-4.5698e-05i,0.00031221-0.00047875i,-6.1034e-05+1.6483e-05i,-1.3386e-05+0.00024854i,-9.5444e-05-0.00015357i,0.00028341-0.00039924i,0.00081049-0.00035626i,0.00026714-6.9238e-05i,-0.00047222-0.00010253i,-0.00047685+0.00011736i,-0.00031804-0.00028273i,-0.00035885-0.00016339i,-0.00058797+0.00024122i,-0.00027176-0.00053213i
-0.0018811-0.00027543i,-0.0012954+3.3083e-05i,-0.00068086-0.00035802i,-0.00055296+0.00045856i,-0.00043675+0.0020705i,-0.00023928+0.0014043i,-0.00014008+0.00034345i,-0.0002983+0.00053863i,-0.00040178+0.00029856i,-0.00026734-8.9576e-05i,0.00011412-0.00039561i,0.00036704-1.9856e-05i,-0.00057323-0.00020022i,-0.00073034-0.00047929i,0.00045454+0.00050488i,0.00078751+0.00075334i,2.8411e-05+0.00047936i,-0.00018038+0.00051303i,-9.4144e-05+4.3597e-05i,-0.00027854-0.00040562i,8.6915e-05-5.0943e-05i,0.00083054+3.3038e-05i,0.00088332+0.00011957i
-0.0014802-0.001651i,-0.0013341-0.0016413i,-0.0012563-0.0014745i,-0.0013915-0.00043548i,-0.0010335+0.0014157i,-0.00056348+0.0017299i,-0.00040323+0.00060843i,-0.00024057-0.00015182i,0.00011881+9.5169e-05i,-7.6782e-05+0.00035586i,-0.00036412+3.5144e-05i,4.8168e-05+0.00013851i,0.00060867+0.00039582i,0.00050984+0.00069246i,0.0003952+0.00046576i,0.00060628+0.00043285i,0.00026862-0.00011906i,0.00035551-0.00078881i,0.00047445-0.00058673i,6.5734e-05+0.00023093i,3.8403e-05+0.00067925i,-0.00059571+0.00073842i,-0.00075337+0.00038126i
0.001095+0.0020311i,0.0027641+0.00058051i,0.0047472+0.00079544i,0.0041439+0.0011706i,0.0010065+0.00053211i,-0.00081717+0.0010183i,-0.00064734+0.00086492i,-0.0001892-9.7038e-05i,-3.5388e-06-0.0003469i,0.00028367+0.00040226i,0.00027175+0.0002123i,-3.6805e-05-0.00028517i,-0.00016197-7.0818e-05i,-0.00023678+0.00037676i,-1.8876e-05-0.00011891i,0.00099331-0.0010482i,0.0017779-0.00066843i,0.0016797-0.0002024i,0.0012336-0.00044176i,0.00082084+0.00010554i,4.4468e-05+0.00042714i,-0.00038112+0.00017771i,-0.00019651-0.00021318i
0.00052688+0.0009883i,0.00017677+0.00084709i,-2.7504e-05+0.00018502i,-0.00049163-0.00010509i,-0.00036498+7.387e-05i,0.00052425-0.00014429i,0.00040389+0.00014909i,0.00051406+0.00031012i,0.0013661+1.4191e-05i,0.001628-0.00010498i,0.0011778+0.00023283i,0.00011036+0.00049704i,-0.00070666+0.00054191i,-0.00053295+0.00036413i,-9.6324e-05-0.00025748i,-8.7437e-05-0.00099721i,-0.00011642-0.00038516i,0.00077884+0.00029605i,0.0012391+0.00013683i,0.0012945+0.00021103i,0.00073562+0.00053069i,-7.2552e-05+4.9978e-05i,-4.9415e-05-0.00063548i
0.00091622+0.00044315i,0.00059442-0.00025872i,0.0018083-0.0015277i,0.0023101-0.0016967i,0.0010348-0.00084372i,-0.00019972+0.00046814i,0.00040262+0.00071649i,0.0012963+0.00065098i,0.0014049+0.00060697i,0.0016096+0.00028595i,0.001378+0.00019326i,0.00080619+5.6416e-05i,0.00024983-0.00026493i,-2.9712e-05+0.00016411i,-0.00089703+0.00058022i,-0.0013364-1.2347e-05i,-0.0007834-0.00052955i,-0.00021074-0.00060099i,0.00028034-6.3454e-05i,0.00049252+3.6949e-05i,0.00084961-0.000139i,0.00086455+0.00018258i,0.0007235+0.00051327i
