-0.0013581+0.001566i,-0.0014047+0.002096i,-0.0023819+0.0023448i,-0.0019253+0.0012875i,-0.0013363+1.5493e-05i,-0.0013291-0.00096916i,-0.00035726-0.0011205i,0.00036712-0.00014013i,0.0006359+0.00072371i,0.00072036+9.9238e-05i,0.00078561-0.00044738i,-5.2697e-05-0.00021716i,-0.00082916-0.00056229i,-0.0012402-0.0010351i,-0.0011088-0.00067203i,-0.00023607+8.6885e-05i,0.0002697+0.00030758i,0.00015776-0.00058283i,-0.00027078-0.0004177i,-0.00049433-0.0001032i,-0.00044154-0.00040298i,-3.5012e-05-0.00031024i,0.00073545-0.00018401i
-0.00078025+0.0004409i,-0.00069752+0.00054105i,0.00019544+0.0018803i,0.00077318+0.001388i,0.0012897-0.00070434i,0.00034537-0.002462i,-0.0010733-0.0022323i,-0.0015383-0.00082809i,-0.0010024-1.7307e-06i,-0.00014649+0.00087236i,2.3159e-05+0.0011111i,-0.0002635+0.00028391i,-0.00030705-0.00014135i,-0.00033989+6.884e-05i,-0.00054774-0.00051763i,0.00028209-0.00079459i,0.00055592-6.4175e-05i,-3.996e-05-3.2947e-05i,0.00012872-0.00086088i,0.0001766-0.0010124i,-0.00057817-0.00041133i,-0.0011136-0.00034577i,-0.00091181-6.5698e-05i
-0.00043858+0.0018131i,6.9566e-05+0.0026766i,0.0014119+0.0033725i,0.0023514+0.0026583i,0.0025631+0.00033738i,0.0012221-0.0012652i,-0.00042808-0.0012021i,-0.00014826-0.00047914i,0.00088205+0.00025122i,0.00088826+6.1148e-05i,0.00017975-0.00014846i,-0.00023097-0.00051273i,-0.00089988-0.00078845i,-0.0010139-0.00045233i,0.00014926-0.00032176i,0.00045563+0.00025672i,0.00067048+0.00085597i,0.00090984+0.00035833i,9.1264e-05-0.00037854i,-0.00028476-0.00041448i,-0.00023996+0.00020704i,-0.00031694+0.00054141i,-0.0001103+0.0003515i
-0.0030732-0.0011638i,-0.0027092-0.00063413i,-0.002772+0.00034038i,-0.0013255+0.00075993i,0.00089176-0.00022094i,0.0016591-0.0015092i,0.00059062-0.0015503i,-0.00041984-0.00041363i,-0.00093859+0.00073024i,-0.00038544+0.00093385i,0.00018164+0.00070987i,-9.6455e-05+9.5198e-05i,-0.00048771-0.00065267i,-0.00076935-0.0010747i,-0.00087698-0.0011641i,-0.00055729-0.00094254i,0.0001005-0.00085203i,0.00068205-0.00055426i,0.000646-0.00015405i,2.1436e-05-0.00061942i,-4.1908e-06-0.00085779i,0.00012108-0.00079697i,-0.00024673-0.00073486i
0.0010009+0.0019434i,0.0018416+0.0032476i,0.0022128+0.0031645i,0.002656+0.0018493i,0.0016353+0.00010773i,-0.0012987-0.0012675i,-0.0024936-0.0012564i,-0.0017523-0.00049675i,-0.0009869-9.896e-05i,-0.00053323+3.9483e-05i,-3.6543e-05+0.00017495i,0.00044378-7.1739e-05i,0.00025434-0.00037457i,9.1991e-05-0.00031346i,0.00017693-0.00014651i,0.00030907+0.00030033i,0.0007242+0.00070967i,0.00061146+3.9365e-05i,-0.00073161-0.0010036i,-0.0012746-0.00084578i,-0.00087381-0.00027099i,-0.00076461+1.4126e-05i,-0.00030491+0.00031592i
-0.00071197+0.00048595i,-0.0012442+0.00098182i,-0.0015815+0.0026787i,-0.00097898+0.0020587i,0.00020513+6.0624e-05i,-0.00017016-0.00084568i,-0.0014358-0.00057118i,-0.0015598+0.00022095i,-0.0011765-7.8711e-05i,-0.00075354+4.0953e-06i,-0.00070531+0.0007122i,-0.00071994+0.00040664i,-9.8754e-05+0.00034283i,0.00061652+8.4227e-05i,0.0012547-0.00033391i,0.0013526-0.00090891i,0.00059006-0.0007379i,0.00053757-0.0001092i,0.00048441-0.00028341i,-0.00050879-0.00040287i,-0.0010252+0.00016899i,-2.8942e-05+0.00027058i,0.00057308+0.00023801i
0.0006516+0.0010871i,0.0015547+0.001702i,0.0029446+0.0021126i,0.0034582+0.0011016i,0.0023031-0.00015469i,0.00031628-0.0002665i,-0.00050594-0.00058661i,-0.00067613-0.00066432i,-0.0010087+0.0005713i,-0.00071953+0.0005054i,0.00033559-0.00019151i,0.00029064-0.0002507i,-0.0004586-0.00024171i,-0.00020371+0.00050304i,-1.9675e-05+0.0014834i,-0.00060145+0.0013283i,-0.00025687+0.00011901i,0.00047386-0.00026711i,0.00027271-7.1836e-05i,0.00013671-0.00010794i,0.00040491-0.00013331i,0.00024672+4.8367e-05i,0.00020554+0.00023297i
-0.0013672-0.001251i,-0.0022012+0.00075899i,-0.0022492+0.0016634i,-0.001421+0.001202i,-0.0007902+8.3127e-05i,9.2931e-05-0.00064986i,0.00048099-0.00068967i,-0.00011116-0.00065606i,-0.00094923-0.00080551i,-0.001034-8.8642e-05i,-0.00040931+0.00012776i,0.00055891-0.00053833i,0.00048311-0.0012391i,0.00024935-0.0014024i,0.00013747-0.00047686i,-1.5989e-05-0.00018671i,-0.00027239-0.0014605i,0.00046215-0.0019283i,0.00083517-0.00041725i,0.00026896+0.00043619i,-0.00015506-1.3279e-05i,4.5063e-05-0.00059503i,0.00030658-0.00073852i
0.0012654+6.5927e-05i,0.001654+0.00086448i,0.0021114+2.2835e-05i,0.0010588+0.00020665i,-0.00060039-4.5784e-05i,-0.0012576-0.0010453i,-0.0013949-0.00028428i,-0.0015204+0.0014007i,-0.0014598+0.00177i,-0.0011418+0.0016767i,-0.0013911+0.0011424i,-0.00097443+0.00027994i,-2.5976e-05+0.00020611i,0.00062468-0.00015242i,0.00044023-0.0005785i,-0.00011637-0.0012844i,9.2897e-05-0.0012814i,0.0013348-0.0007798i,0.001892-0.00067987i,0.00069485-0.00075041i,-0.00012072-0.00056585i,-3.907e-05+3.2043e-05i,-0.00020084-2.1932e-05i
-0.0017765+0.00029034i,-0.0017238+0.00089411i,-0.00067794+0.0019076i,0.00057586+0.0023268i,0.00062926+0.0011792i,0.00062968-0.00059365i,8.19e-05-0.0013622i,-0.00029763-0.0016877i,-0.0002366-0.00070591i,-5.8147e-05+0.0011783i,-0.00031393+0.0012045i,-0.00058939+0.00059852i,-0.00019713+0.00015169i,-0.0001831-0.00067231i,-0.0001818-0.00046682i,0.00040906-9.286e-07i,0.00083006-0.00068838i,0.001242-0.001082i,0.00087672-0.00073541i,7.6017e-05-0.00037056i,0.00011691-0.00010064i,-0.00037666+0.00033277i,-0.00059812+0.00075577i
0.00044809+0.0013483i,0.00022527+0.0016632i,0.00073077+0.0017031i,0.0011588+0.0012896i,0.00094675+0.00026358i,0.00068672-0.00066024i,-0.00032777-0.0012693i,-0.0011864-0.0010363i,-0.00094899-0.00013658i,0.00012952+0.00029408i,0.00014681+0.0006623i,-0.00074173+0.00091159i,-0.00076385+0.00058074i,-0.00042537+0.00020432i,-0.00036657+0.0007338i,-4.4107e-05+0.00055828i,0.00045401-0.00051622i,0.00022491-0.0014462i,0.00024015-0.0010466i,0.00032559-0.00015379i,0.00062231+0.0001668i,0.00020086-0.00049588i,-0.00037817-0.00048778i
-0.00067466-0.0010856i,-0.0010702+0.00036731i,-0.0020883+0.0011524i,-0.002144+0.0015405i,-0.0015195+0.0011212i,-0.0012019+0.0010098i,-0.00095689-0.0001772i,-0.00079113-0.0011605i,-0.00064853-0.00035515i,-4.6362e-05-0.00011352i,0.00023786+4.5712e-05i,0.00024299+0.00058864i,0.00011065+0.00013331i,2.3135e-05-0.00017551i,-0.00018852+0.0001078i,-0.00067087-0.00014881i,-0.00038219-0.00016245i,0.00028451+0.0008805i,-0.00023594+0.0012575i,-0.00031075+0.00045262i,-0.00035283-0.000673i,-0.00076881-0.00071402i,-0.00060247+0.00042038i
0.00040483-0.0012688i,0.001272+0.00054463i,0.00064338+0.0020942i,4.0201e-05+0.002382i,-0.0003054+0.0014245i,-0.00049771+0.00071061i,-0.00018096+0.0002255i,-0.00023498-0.00049327i,-0.00084785+0.00018865i,-0.00068284+0.00056297i,0.0001454-0.00022545i,0.00027062-0.00062223i,4.0634e-05-6.366e-05i,0.00058763+0.00020518i,0.0011009-2.7938e-05i,0.0006523+0.00013524i,0.0001794+0.00056668i,-0.00018766-1.738e-05i,-0.00017991-0.00069969i,0.00025384+0.00047496i,-0.0003835+0.0014182i,-0.00074396+0.00066589i,-0.00051281+0.00032712i
-0.00040719-0.00079939i,-0.00048734+0.00031482i,-0.00034699+0.0014119i,0.00062689+0.0021125i,0.0015184+0.0017949i,0.001887+0.0011039i,0.00088358+0.00023624i,0.00022821-0.00023139i,-0.00043208-0.00051435i,-0.00056829-0.0011887i,-0.0010811-0.0011113i,-0.0014397-0.00031238i,-0.00077487+0.00025841i,-0.00026726+0.00042201i,0.0003825+0.0005707i,0.00081722+0.00024352i,0.00058053-8.454e-05i,0.00087038+0.00014761i,0.0017082+0.00011924i,0.0012116+0.00013501i,4.7401e-05-7.5683e-05i,2.7652e-05-0.00078529i,0.00025211-0.000168i
-0.00043601+7.7185e-05i,0.00020519+0.00019173i,0.00014459+0.0003025i,0.0012959+9.8026e-05i,0.002215-0.0002039i,0.0011111-0.00085762i,-0.00019037-0.0011997i,-0.00065649-0.0014931i,-0.00061041-0.00079199i,-0.00037276+0.00018009i,-0.00016823+0.00051596i,0.00021354+0.00054286i,0.00015925+0.00024129i,-0.00066364-0.00019133i,-0.00081808-0.00012487i,-0.00060859-0.0001173i,-0.00089629+7.4047e-05i,-0.00061293+4.9184e-05i,0.00010847+0.00024671i,0.00043337-0.00022695i,0.00016552-0.00029326i,-0.00037916+3.9607e-05i,-0.00016679-0.00082461i
-0.0011753-0.00019717i,-0.00035413+0.00038924i,-0.00028583+0.00066042i,-0.00017661+0.00065275i,-0.00011317-0.00034018i,-0.00014809-0.0014545i,0.00054904-0.0013573i,0.00091556-0.0012595i,-0.00015529-0.00081298i,-0.00087672-6.7253e-05i,-0.00092974+0.00095911i,-0.00068192+0.0017635i,-0.00084962+0.0012544i,-0.00080571+0.00016372i,5.2015e-05-8.9281e-05i,-0.00022347-5.4308e-05i,-0.00043172-0.00060987i,-0.00027632-0.0011539i,-0.00021313-0.0010477i,0.00020191-0.00010564i,0.00088925-8.1987e-05i,0.0010246-0.00091067i,0.00059038-0.00032778i
-0.00057139+0.00069821i,-0.00025106+0.00048207i,-0.00088539+0.0011397i,-0.0002202+0.0019917i,0.0006078+0.00115i,0.00021124-0.00095797i,-0.00036034-0.001395i,-0.00050284-0.00082312i,-0.001186+0.00016531i,-0.0010641+0.0010042i,6.165e-05+0.00089064i,9.6273e-05+0.00037512i,-0.00042844+0.00037721i,-0.00041356+4.347e-05i,-0.00036536+0.00041176i,7.7e-05+0.00058265i,0.00099174-0.00014394i,0.00068912-0.00082086i,0.00014492-0.00097178i,-0.00019037-0.0004358i,-0.00036826+0.00043243i,-0.00027873+0.00062502i,-0.0004026+5.3005e-05i
0.0010717+0.00017509i,0.00044845+0.0017988i,-1.9461e-05+0.0024737i,0.0004413+0.0018392i,0.00045298+0.001432i,-0.00030154+0.00085201i,-0.00070329+0.00044247i,-0.00063744+0.00026381i,-0.0005712+0.00030381i,-0.00033161+0.00062946i,-0.00050271+0.0004046i,-0.00068515-0.00030192i,2.3514e-05-0.00026961i,0.00081205+2.9569e-05i,0.0014654+0.00013793i,0.001393+0.00023933i,0.00080189+0.0003298i,0.00067984+0.0002979i,0.00072842-0.00038327i,0.0002548-0.00096458i,-0.00052082-0.0007247i,-0.00025147-0.00011731i,0.00032286+0.00021917i
0.00073412-0.002518i,0.00015909-0.00048794i,-0.0012678+0.00061119i,-0.0007492+0.00072839i,0.00056564+0.00093216i,0.0013575+0.0001767i,0.0012438-0.00097297i,2.6581e-05-0.00048915i,-0.00075127-9.0231e-05i,-0.00061639-2.9281e-05i,-0.00088441+0.00079604i,-0.0002123+0.0016072i,0.00082713+0.0014511i,0.0011211+0.0010057i,0.00085347+0.00088121i,0.00031906+0.00095108i,0.0003958+0.00039066i,0.00031894+0.00046583i,0.00028072+0.00062428i,-8.2953e-05-0.0006709i,-0.00023388-0.00090658i,-0.00020814-0.00011347i,-3.3323e-05-6.6801e-05i
-0.00044475-0.0005844i,-0.00051615+0.00072764i,-0.00063153+0.0019242i,-0.00032557+0.0012495i,-0.00065685+0.00061596i,-0.00098291-0.00083344i,-0.00018686-0.0015236i,0.0002537-0.000508i,-9.6304e-05+8.7003e-05i,-2.2254e-05+0.00054481i,7.9537e-05+0.00032004i,-0.00032841+6.1315e-06i,-0.00051184+0.00025144i,-0.00011711+0.00042119i,0.0002325-0.00022355i,6.5047e-06-0.00073941i,-8.1745e-05-0.0014307i,0.00057114-0.0010487i,0.00046577-0.00038351i,-0.00024132-0.00017511i,-0.00047245+0.00061525i,-0.00061137+0.00092196i,-0.00049854-9.5421e-05i
0.00037763-0.0012217i,0.00023099-6.0643e-05i,-0.00025433+0.00087933i,-0.00022369+0.00044575i,-0.00028985-0.00056224i,-0.00054339-0.0013705i,-0.00093574-0.0014922i,-0.0010233-0.00093992i,-0.0007975-0.00016024i,-0.00073269+0.00057873i,-0.00079489+0.0010944i,-0.00083802+0.0013217i,-0.0013451+0.00093374i,-0.0015157+0.00041468i,-0.0011887-0.00018658i,2.2932e-05-0.00064188i,0.0011295-0.00045788i,0.0014648-0.00057763i,0.0014714-0.00075069i,0.00084567-0.00043134i,5.6577e-05-2.3251e-05i,-0.00021804+0.00043388i,-0.00024802+0.00065619i
-0.00093952+0.0014421i,0.00012181+0.0015496i,0.0010267+0.0014967i,0.0012344+0.0015823i,0.0011174+0.00108i,0.00020021-0.00024213i,-0.00024107-0.00094494i,-0.00012197-0.00079627i,-0.00034059+3.7281e-05i,-6.3194e-06+0.0008742i,-0.00018424+0.00080824i,-0.0010098+9.5633e-05i,-0.0010492-0.0006431i,-0.00017324-0.0005231i,0.00095409+0.000336i,0.00082305+0.00032284i,0.00022992-0.00026257i,-0.00014626-0.00076478i,-0.00046707-0.0013779i,-0.00072048-0.0012488i,-0.00058933-0.00061181i,0.00033413-2.1904e-06i,0.00058366-0.00015694i
-0.00053428+0.0011251i,-0.00097222+0.0017802i,0.00016511+0.0019757i,0.0016447+0.0016428i,0.0017937+0.00049917i,0.00049568-0.00086112i,6.7515e-05-0.0010573i,0.00062237-0.00055514i,0.00085819+2.6083e-05i,0.00027853+0.0002149i,-6.3611e-06+0.00056253i,-0.00048864+0.00064314i,0.0001191-1.0989e-05i,0.00054328+0.00013581i,-0.00023331+0.00022582i,0.00015133+0.00024609i,0.000518+0.0006519i,0.00032397+0.0009593i,0.00021433+0.0007476i,0.00062136+0.0004014i,0.0009885+0.00017348i,0.00019909+0.00013471i,-0.00029293-2.5269e-05i
-1.9183e-06+0.00026656i,0.00030154+0.00039953i,0.001691+0.00082483i,0.0025838+0.0008463i,0.0017896-0.00070137i,0.00020322-0.0025763i,-0.00046847-0.0024557i,-0.001502-0.0012911i,-0.002178-0.00029874i,-0.00082526+0.00042342i,-4.9384e-05+0.00062939i,-0.00023587+5.3988e-05i,-0.00025908-0.00022648i,-0.00035687+0.00032588i,-0.00035795+0.00073533i,-0.00014521+0.00058963i,4.6088e-06+6.3741e-05i,0.00049346-0.00065979i,0.00056458-0.00094782i,0.00048208-0.00078472i,0.00074614-0.00012656i,0.00027841+0.00047906i,0.00010928+0.00074028i
0.0014571+0.0020077i,8.1664e-05+0.0027781i,-0.00036785+0.0041704i,0.00012051+0.0039221i,-0.00037752+0.0021172i,-0.0016581-0.00017538i,-0.0020073-0.00052219i,-0.0024972+0.00050827i,-0.0024858+0.00042331i,-0.0007996-8.98e-06i,0.00022165-0.00060539i,5.5893e-05-0.0005707i,-0.00060737+0.0010657i,-0.00067822+0.00072334i,-1.5601e-05-0.00068485i,0.00043128-0.00094608i,0.00019746-0.00035675i,-5.6819e-05+0.00011463i,-0.00062615-0.00063534i,-0.00053645-0.0015948i,8.2564e-05-0.0010118i,3.0358e-06+0.00024884i,-0.00073686+0.00039887i
0.00062575-0.00046312i,3.3535e-05-0.00048846i,-8.1115e-05-0.00022509i,0.00071004-0.00056413i,0.0009126-0.00054617i,0.00054543-0.00024753i,0.00076483-6.5803e-05i,0.0010682-0.00023193i,0.00048685-0.00049736i,-0.00043992-0.0005379i,-0.00030414-7.6617e-06i,-0.00044767+0.00042491i,-0.001002+0.00051759i,-0.00070383+0.00010669i,8.0095e-05-0.00096855i,0.0011251-0.00093349i,0.0012465-0.0006092i,0.00065441-0.00073483i,0.00066986-0.00024292i,0.00078137+0.00029715i,8.7574e-05-0.00026062i,9.8146e-05-0.00084189i,-0.00031666-0.00044968i
0.0020138-0.001018i,0.0014721+0.00043946i,-0.00044204+0.0016241i,-0.00044436+0.0022601i,-0.00029032+0.0017713i,0.00011039+0.0002571i,0.00019728-0.00080719i,0.00020714-0.00092927i,6.7215e-05-0.00021208i,-0.00033339+0.00033605i,-0.00055453+0.00071815i,-0.00066355+0.00052951i,-0.0014169-0.0001229i,-0.00094371-0.0010451i,-5.785e-05-0.0013616i,0.00060076-0.00067485i,0.0015448-0.00046133i,0.0014586-0.00073354i,0.00052-0.000835i,-3.5542e-05-9.1748e-05i,-0.00036048+0.001006i,-0.00083515+0.00046846i,-0.00029279+0.00025391i
-0.00078678+0.00086753i,-0.0011141+0.0014406i,-0.00091098+0.0023634i,-0.00032055+0.0031586i,0.00038142+0.0022392i,4.01e-05+0.00057936i,-0.00020252-0.00099766i,-0.00033203-0.0012159i,-0.00077415-0.00101i,-0.00054887-0.00034633i,-0.00055732+0.00057283i,-0.0011783+0.00054934i,-0.00049945+0.00017191i,-0.00011622-0.00035167i,-0.00047704-0.00094769i,-0.00026412-0.00078225i,0.00021164-8.3892e-05i,0.00026561+1.0697e-05i,0.00014678-0.00030231i,-0.00034845-0.00044937i,-0.00094283-0.00033252i,-0.00024164-6.568e-06i,0.00016624-0.00022539i
0.0014191-0.00040474i,0.00032995-0.0013345i,-0.000385-0.00087817i,0.00020507-0.00011497i,-0.00019079-0.00039979i,-0.00039968-0.00031175i,-0.00053633-8.4136e-06i,-0.00091405+0.00010968i,-0.0012477+0.00013825i,-0.0013096+0.00047527i,-0.00060031+0.00060142i,0.00010853+0.00082516i,0.00054382+0.0013897i,0.00028633+0.0010128i,-0.00018738+0.00021488i,0.00023911-0.00048406i,0.00085853-0.00022853i,0.00035632+0.00021443i,-0.00010461-0.00037661i,0.00022218-0.00029404i,0.00063692+0.00021722i,0.0011771-0.00027881i,0.00090278-0.00073876i
-0.00092274+0.0018298i,-0.00053377+0.0027759i,0.00039102+0.0034749i,0.0010183+0.0032884i,0.0019724+0.0020197i,0.0017965-0.00028992i,0.00028317-0.00085298i,-0.0011934-0.00016085i,-0.0010496+0.00045248i,4.9431e-05+0.00079503i,0.00020084+0.0010346i,-0.00039679+0.0014695i,-0.00030587+0.001297i,8.1746e-05+0.0002502i,-0.00015262+0.00012996i,0.00027171+0.00045875i,0.00081846+0.00029801i,0.00095486+0.00018433i,0.00077983+0.00055174i,0.00073343+0.00012378i,0.00055902-0.00017218i,0.00038036+0.00053147i,-5.5096e-05+0.00093169i
0.0013192-0.0012567i,5.5652e-05-0.00067892i,-0.00099321-0.0010535i,-0.0013172-0.0012934i,-0.0015639-0.0018058i,-0.0019007-0.001912i,-0.0014517-0.001503i,-8.5799e-05-0.00088793i,0.00087158+3.4571e-05i,0.00025741+0.00062496i,-0.0010113+0.00081183i,-0.00088347+0.00074604i,-0.00020699+0.0004579i,-4.4507e-05+0.00018896i,-0.00030074+0.000129i,-0.00017118-0.00040604i,0.00041015-0.00054056i,0.00029708-0.00023589i,-0.00025115+0.00036545i,-0.00021769+0.00011703i,-0.00079738-0.00013724i,-0.001511-0.00013826i,-0.0012057-0.00032976i
-0.00088226+0.0012895i,0.0005703+0.001706i,0.0014999+0.0034222i,0.0014453+0.0028163i,0.0013784+0.00094972i,0.00094527-0.0006688i,-0.00057268-0.0019366i,-0.0013524-0.0018607i,-0.00086353-0.00028298i,-0.00024274+0.00053373i,3.9519e-05+4.6934e-05i,-0.00013862-0.00043753i,7.5808e-05-0.00079721i,0.00021056-0.00078214i,0.00010754-0.00026122i,-0.00026903+0.00014969i,-0.00063302+0.00029678i,0.0003228+0.00040888i,0.0014535-0.00011909i,0.0010098-0.00070146i,-3.1821e-05-0.00065111i,-0.00051508+0.00029318i,-0.00013721+0.00081729i
-0.0019438+0.00038916i,-0.002979-0.00012494i,-0.0030711+0.0013124i,-0.0012257+0.0016842i,0.00052664+0.00014459i,0.0012206-0.0016724i,0.00062247-0.0021767i,-0.00040266-0.0019432i,-0.00053364-0.0012743i,6.6786e-05-0.00091087i,0.00016387-0.00059904i,-0.00065158-0.00015335i,-0.00088629-0.00050465i,-0.00075074-0.00066552i,-0.00075226-0.00075531i,0.00028338-1.5549e-05i,0.0006241-0.00011746i,0.00044939-0.00035797i,0.00035743-0.00014775i,-2.527e-05-0.00030523i,-0.00054311-0.00059227i,-0.0004813-0.00041074i,-0.00063689-0.00015331i
0.00049539+0.0012717i,0.0013881+0.0012997i,0.0018123+0.0018689i,0.0020471+0.0015389i,0.0014049+0.00049685i,0.00020971-0.0014561i,-0.00032338-0.0019976i,-0.00047782-0.0018749i,-0.00037066-0.00076971i,-0.00057752+0.0011994i,-0.0012183+0.0012329i,-0.0015144+0.00047701i,-0.0016692+0.00014878i,-0.0012845+0.0004385i,-0.00057159+0.0006329i,-0.00044576-0.00030041i,-0.00031605-0.00079482i,0.00023917-0.0003574i,0.00045471-0.0003959i,0.0002064-0.00046293i,0.00035991-0.00027951i,0.00045528-1.4152e-05i,5.7854e-05+0.00082948i
-0.0015131+7.7431e-05i,-0.0025424+0.001169i,-0.0028771+0.0030941i,-0.0017039+0.0035663i,2.7633e-05+0.0021352i,0.00064203-6.3145e-05i,-0.0001829-0.00092227i,-0.0012922-0.00046666i,-0.0016044+0.00071369i,-0.00092499+0.00077649i,0.0004848+0.00090892i,0.00043934+0.0014324i,0.0002049+0.0012489i,0.00012604+0.00092684i,-0.00020231+0.00020747i,0.00015908-5.7775e-05i,-0.00027028+0.0003738i,-0.00056728-1.7259e-05i,2.2247e-05-0.00052025i,-0.00084003-0.00091088i,-0.0016416-0.00040566i,-0.00092207-0.0004174i,-0.00016387-0.001073i
0.0010991+9.3894e-05i,0.0013762+0.00017916i,0.0021904+0.0003865i,0.0021006+8.6402e-06i,0.00070602-0.0012113i,-0.0012667-0.0016068i,-0.0016174-0.00077128i,-0.00092894-4.6184e-05i,-0.00022248+0.00030556i,4.9277e-05+0.00017043i,-6.7752e-05-0.00029584i,-9.7029e-05-0.00066876i,-0.00058943-0.0004403i,-0.00050452+7.7999e-05i,0.00057259+0.0005439i,0.00036191+0.00040769i,4.0784e-05+0.00025964i,0.00013757-1.6892e-05i,0.00014765-0.00080082i,0.00059985-0.00050531i,0.0005655+0.000256i,0.0001272-1.8219e-05i,3.7128e-05-0.00034574i
-0.001646+0.00051723i,-0.00091737+0.00028225i,8.1729e-05+0.0020486i,0.0010558+0.0032106i,0.00094784+0.0019909i,0.00079077+8.2428e-05i,0.0002007-0.00066963i,-0.00088521-0.0004622i,-0.0015116+0.00032414i,-0.00063805+0.00056961i,-5.6603e-05+5.4396e-05i,-0.00086421-0.00058496i,-0.0009941-0.0007103i,-0.00022653-0.00030685i,0.00020434-0.00039333i,0.00038565-0.00051305i,0.00081194-0.00016997i,0.00036733+0.00035048i,-0.00034558+0.0003458i,-0.0012542-0.0001225i,-0.0010178-0.00072491i,-0.00040038-0.00052443i,-0.00032015-0.00032345i
-0.00030411-0.0013058i,0.00046392+0.00015246i,-6.3149e-05+0.0011578i,0.00025189+0.001275i,0.00054199+0.00024876i,0.00061449-0.00031296i,0.0012295-0.00095189i,0.0010512-0.001692i,-0.00037767-0.0010249i,-0.00095611-0.00043634i,-0.0013352-0.0002372i,-0.001122-0.0002207i,-0.00087447-0.00044384i,-0.00075244-0.00055387i,0.00018447-0.00043709i,0.00068963-0.00060654i,0.00071278-0.00056984i,0.00090343-0.00082778i,0.00070884-0.0014079i,0.00042783-0.001154i,0.00068446-0.00045126i,0.0005829-0.00083667i,0.00061816-0.0014083i
-9.9296e-07-0.0014299i,-0.00011189-6.6217e-05i,-0.0006854+0.00031632i,-0.00063132+0.00073338i,-0.00070515+7.7322e-05i,-0.00039335+0.00017413i,0.00072872-0.00029289i,0.00031433-0.0011633i,-0.00061577-0.00090988i,-0.00090092-0.0001212i,-0.00088052-0.00034782i,-0.00029627-0.0011863i,0.00050225-0.0010828i,0.00039425-0.00062689i,1.5511e-05-0.00030037i,0.00037867+0.00023367i,1.5455e-05+4.5478e-05i,-0.00020503-0.00068673i,9.0405e-05-0.0014882i,0.00046785-0.0012237i,0.00015105-0.00039917i,-0.00035339-8.5364e-05i,4.5729e-05-9.9504e-05i
-0.0011498+0.0020749i,-0.0006011+0.0020155i,-0.00040839+0.002976i,0.00067036+0.0038083i,0.0015836+0.0022435i,0.0011903-0.00096937i,0.00050541-0.0029319i,-0.00052583-0.0019257i,-0.0012616+0.00022631i,-0.001476+0.00099292i,-0.0012719+0.001221i,-0.0011695+0.00057579i,-0.0011573+6.74e-05i,-0.001023+0.00024138i,-0.00017688+0.0006411i,9.2021e-05+0.0003859i,0.00023585-0.00095874i,0.00039402-0.0015885i,-0.00042039-0.0015805i,-0.0012016-0.0009573i,-0.00050824-4.239e-05i,0.00021734-0.00018975i,0.00024014-5.0786e-05i
-0.00051311-0.00049499i,-0.0012214-0.00047397i,-0.00077077+0.00027938i,-0.00026606+0.0012482i,-0.00017165+0.00076438i,-0.00014133-0.00012641i,0.00019231-0.00070167i,-0.0005294+6.3764e-05i,-0.0013216+0.0011766i,-0.00099675+0.00096297i,-0.0004374+0.00069458i,0.00011237+0.00098194i,3.8255e-05+0.00089933i,-4.5962e-05+0.00029992i,-5.9396e-05-0.00085497i,3.2063e-05-0.0011115i,0.00022318-0.00020516i,0.00062604+7.6642e-05i,0.00046902+8.8844e-05i,9.314e-05-0.00016562i,-0.0003333-0.00034275i,-0.00081935-0.00045491i,-0.00036115-0.001019i
-0.00044066+0.0017625i,-0.00060791+0.0017405i,-0.00023451+0.0019376i,0.00047531+0.0020311i,0.0012668+0.00076719i,0.00081219-0.00062461i,-0.00019513-0.0018199i,-0.00051813-0.001849i,-0.00049429-0.00017084i,5.8808e-05+0.00064258i,0.00070753+0.00039501i,0.00052594+0.00056082i,0.0002296+0.00053266i,0.00018768+0.00019061i,0.00026785-4.0248e-05i,0.00045626-0.00040393i,0.00075015-0.00043617i,0.0010935-4.4199e-05i,0.00062522+0.00017275i,5.8665e-05+4.1083e-05i,-0.00027152+0.00039284i,-0.0002759+0.00044585i,-3.5045e-05-3.0647e-05i
1.4978e-05+0.0001599i,-0.00086467+0.00085201i,-0.0010697+0.0020463i,-0.00051732+0.0019785i,-9.126e-05+0.00026119i,0.00050743-0.00086897i,-9.6821e-05-0.0016403i,-0.00063042-0.00073351i,-0.00083579+0.00035657i,-0.0010406+0.00015443i,-0.0012341-0.0004917i,-0.00087458-0.00082728i,-0.00023016-0.00053631i,-0.00033059-0.00052261i,-0.00032246-0.0014886i,0.00042876-0.0016742i,0.00094098-0.00071718i,0.0011284+0.0003345i,0.00038849+0.00065335i,-5.1849e-05+0.00024348i,-0.00030846-9.7447e-05i,-0.00061561-0.00049358i,-0.00019716-0.00060801i
