-0.0013581+0.001566i,-0.0014047+0.002096i,-0.0023819+0.0023448i,-0.0019253+0.0012875i,-0.0013363+1.5493e-05i,-0.0013291-0.00096916i,-0.00035726-0.0011205i,0.00036712-0.00014013i,0.0006359+0.00072371i,0.00072036+9.9238e-05i,0.00078561-0.00044738i,-5.2697e-05-0.00021716i,-0.00082916-0.00056229i,-0.0012402-0.0010351i,-0.0011088-0.00067203i,-0.00023607+8.6885e-05i,0.0002697+0.00030758i,0.00015776-0.00058283i,-0.00027078-0.0004177i,-0.00049433-0.0001032i,-0.00044154-0.00040298i,-3.5012e-05-0.00031024i,0.00073545-0.00018401i
-0.00099483-0.00028666i,-0.00043624-2.3072e-05i,0.00087962+0.00083614i,0.0014883+0.00099175i,0.00054448-0.0001668i,-0.0010288-0.00078188i,-0.0019473-0.00061905i,-0.001425-0.00089974i,6.01e-06-0.00070383i,9.5254e-05-0.0004847i,-0.00059553-0.0008124i,0.00023372-0.0009204i,0.00058024-0.00043872i,-0.00016895-0.00040556i,-0.00019481-0.0011781i,4.7819e-05-0.0011312i,-0.00028335-0.00025682i,-0.00026489-0.00070341i,-0.00031115-0.00096612i,-0.00044136+0.00030593i,-7.4741e-05+0.00062343i,0.00074211+0.00011505i,0.00097351-0.00028941i
0.00079579+0.0012214i,0.0012072+0.0024193i,0.0010987+0.0034135i,0.0011389+0.0031775i,0.0008155+0.00055947i,0.00027938-0.0016156i,-0.0002412-0.0016466i,-0.00062209-0.00053227i,-0.00073332+0.00084708i,-0.0002795+0.0014105i,-0.00044388+0.00097641i,-0.00056972+0.00049732i,-0.00070708+0.00016698i,-0.00083865-0.00060064i,-0.00016317-0.00082254i,-0.00018503-0.00012345i,-0.00019231-0.00022487i,0.00068735-0.0011582i,0.00026782-0.0014812i,-0.0007335-0.0014862i,-0.00061961-0.0012814i,-0.00050809-0.0009655i,7.8075e-05-0.00041984i
-0.00012458+0.00058476i,-0.00090553-0.0003674i,0.00037561-0.00081715i,0.0016881-0.00095967i,0.0017834-0.0019836i,0.00062596-0.002303i,-0.0014169-0.0011688i,-0.0016133-0.00039528i,-0.00043963+7.2196e-05i,-0.00035297+0.00026692i,-7.7967e-05+2.8554e-05i,0.00015158+0.00037243i,6.338e-05+0.00018144i,5.4858e-05-0.00078092i,0.00081621-0.00086903i,0.0012316-0.00085981i,0.0009353-0.00055174i,0.00022466-0.00047122i,-0.00041769-0.00068864i,-0.0012037-0.00046975i,-0.0013139+0.00029071i,-0.00053419+0.00084431i,-1.2999e-06-0.00042097i
0.00022645+0.0010555i,0.00084855+0.0024329i,0.0021348+0.0034164i,0.0024782+0.0017519i,0.001879-0.00052037i,0.00079122-0.0013124i,1.5968e-05-0.0012031i,-0.00039703-0.00061908i,-0.00030422+0.0002636i,0.00029301+0.00021353i,0.0003312-0.00015914i,-0.00068157-0.00022532i,-0.00024598-0.00092109i,0.00010914-0.0013654i,-0.00024017-0.00074158i,-0.00026272-0.00045804i,-0.00014051-0.00062327i,3.8224e-05-0.00055887i,0.0002597-0.0007149i,0.00028734-0.00020465i,-0.00059367+0.00060085i,-0.0014373+0.00015783i,-0.00096354-7.6906e-05i
-0.00075232+0.0011559i,-0.002144+0.0013621i,-0.0019024+0.00117i,-0.00012248+0.0016324i,3.92e-05+0.0011815i,-0.00054849-0.00058917i,-0.0012228-0.00016935i,-0.0019854+0.00029076i,-0.0013422+0.00028344i,-0.00083754+0.0012076i,-0.0011977+0.00096088i,-0.00071987+0.00033364i,0.00052989+0.0002764i,0.0010267+0.00054092i,0.00083877+0.0010589i,0.00075184+0.00076264i,0.00088485-0.00042673i,0.00083805-0.00086139i,9.5635e-05-0.00054896i,-0.00087244+3.4565e-05i,-0.00054882-0.00045291i,-0.00076176-6.3969e-05i,-0.0012334+0.00064056i
0.00036307+0.0018026i,0.00088718+0.0013187i,0.0033944+0.002385i,0.0041001+0.0019159i,0.0015048-0.00011129i,-0.0005502-0.00074428i,-0.001619-0.0011349i,-0.0017148-0.0016437i,-0.0009511-0.00086172i,-0.00032214+5.223e-05i,-0.00019208+0.00040343i,-0.0001092+0.00017892i,-0.00038166-0.00017573i,-6.9278e-05+0.00011275i,0.00010291-0.00015989i,-8.3247e-05-0.00092638i,0.00013588-0.0001756i,0.00027185+0.00014916i,-4.8501e-05-0.00060392i,-0.00047897-0.0010339i,-0.00022296-0.0003782i,0.00016012+0.00022391i,-0.00013286-7.0398e-05i
-0.00080494+0.0015609i,-0.0019214+0.0030543i,-0.0010923+0.0025588i,0.00022724+0.00057584i,0.00023443+0.0003414i,-7.7801e-05+0.00025017i,-0.00065525+0.00015952i,-0.0016377+0.0010476i,-0.00054246+0.0012616i,0.00038984+0.00082661i,0.00048916+0.0008426i,0.0006773+0.00037335i,1.2186e-05-0.00061653i,8.236e-05-0.00065914i,0.0005099-0.00063823i,0.00049578-0.00028794i,0.00025315-0.00015325i,0.00033696+0.00019087i,0.00027887+0.00069637i,-2.2028e-05-0.00052266i,-0.0001175-0.0013955i,-0.00082117-0.0010805i,-0.0010755-0.00094641i
-0.00026728+0.0017062i,0.0015609+0.0013165i,0.0032451+0.0022345i,0.0023469+0.0018382i,0.0011252-0.00018168i,0.0009919-0.0012759i,-0.00021396-0.0012538i,-0.0017106-0.00096919i,-0.0017101+0.000377i,-0.00052962+0.001092i,-0.00023167+0.00059045i,-0.0008107+0.00026011i,-0.00053647+0.00027211i,8.1838e-05-0.0001001i,0.000106-0.00087766i,0.00041005-0.001066i,0.00081972-0.0010239i,0.00065105-0.00096389i,-9.8958e-05-0.00052576i,-0.0011087+3.7737e-06i,-0.0014205+5.8745e-05i,-0.00054344-0.00043417i,0.00039079-0.0010636i
-0.0017705+0.0016624i,-0.001137+0.0022789i,-0.00083841+0.0033885i,-0.00022406+0.0022301i,0.00061983-4.2208e-06i,0.00055042-0.0022516i,-0.00015225-0.0017643i,-0.00035901+7.5518e-05i,-0.00039173+0.00032545i,8.5172e-05+0.00051034i,-0.00012273+0.00024293i,-0.000656-0.00018645i,-0.00079438-0.00035097i,-0.0010107-0.00076673i,-0.00072731-0.00021013i,-0.00028259+0.00018402i,0.00014094+0.00015336i,-0.00020028+7.1262e-05i,-0.00061669-0.00030967i,-1.1796e-05+4.565e-05i,-0.00023049-9.5289e-05i,-0.00061044-0.00050221i,0.00040963+2.0897e-05i
0.00062424+0.00041255i,0.00080209+0.0013943i,0.0019785+0.0017418i,0.0016451+0.0009426i,-0.00026335-0.00060287i,-0.0016767-0.0005796i,-0.0019731+0.00055037i,-0.0014007+0.00072088i,-0.0011843+0.0011988i,-0.00050803+0.0012008i,0.00025919+0.00075763i,-0.00036217+0.00069569i,-0.00069099+0.0010298i,-0.00036321+0.00071456i,0.00051159-0.0003382i,0.0010109-0.00060221i,0.0011916-0.00036325i,0.00054143-0.00018324i,-0.00022016-0.00023961i,0.00019335-0.00016514i,-0.00044548-0.00013803i,-0.00070201-4.0203e-05i,-0.0001253-0.00028145i
-1.0784e-05+0.0019083i,0.00015075+0.0013612i,0.00048305+0.0014701i,0.0010182+0.0013784i,0.00067767+0.00075008i,-0.00055805-0.0010516i,-0.0015238-0.0018804i,-0.0014211-0.00075112i,0.00029371+0.00048938i,0.0014498+0.00094365i,0.0004534+0.00051845i,-0.000831+0.00030117i,-0.00089682+6.7457e-05i,-0.00011015-9.6149e-06i,0.00034721-6.0872e-05i,-6.1214e-05-0.00048317i,-0.00015091-0.00070149i,-0.0005725-0.00045457i,-0.00092625+0.00017278i,-0.0011209+0.00034135i,-0.00079499-9.3907e-05i,0.00026588-0.00034737i,0.00068228-0.00023576i
0.0027964+0.0012668i,0.0014401+0.0014484i,0.0021071+0.00071996i,0.0018681+0.00064273i,-0.00021484-0.00076493i,-0.0021472-0.0016565i,-0.0020989-0.00057685i,-0.0015156+0.00013027i,-0.00081616+0.00016463i,0.00043215+0.00062527i,-0.0003294+0.0010674i,-0.0010289+0.0014286i,0.0001629+0.0012009i,0.00043565-0.00027424i,-3.1084e-05-0.00076823i,-6.211e-05-0.0007044i,0.00045219-0.00069118i,-2.0136e-05-6.5242e-05i,-0.0013881-0.00011393i,-0.0011205+0.00019909i,-0.00038334+0.00023432i,-0.00021101-0.00017768i,-0.00010674+0.00021393i
0.00076594-0.00090334i,0.00047204-5.2861e-05i,0.00025714+0.0011747i,0.00064913+0.0021501i,0.0012288+0.0010001i,0.00064649+0.00052754i,-0.00038212+0.00028083i,-0.00035118-0.00018638i,8.9382e-05-0.00028157i,-0.00010705-0.00041594i,-0.00089187-0.00030323i,-0.0011789-8.2706e-05i,-0.00062592+8.7851e-05i,-0.00044768-0.00018733i,-0.00031008-0.00084059i,0.00039691-0.0014999i,0.00059727-0.00078299i,0.00028183+0.0001763i,0.00010671-0.00027715i,-0.00020944-0.00022459i,-0.00015148-0.00049764i,0.0004856-0.00032385i,0.0001493+0.00036278i
0.00087823+0.00053259i,0.00085619+0.0015762i,0.0016192+0.0011888i,0.0023456+0.00050942i,0.0018067-0.00082486i,-0.00019654-0.002683i,-0.0013805-0.0025088i,-0.0013813-0.0010837i,-0.0013856-0.00023356i,-0.0010534+0.00023981i,-0.00082326+0.00086381i,-0.00071283+0.0013743i,-0.00029037+0.0007164i,0.00022699+0.00010286i,0.00056136+2.0576e-05i,0.0002262-0.00024366i,0.00017181-0.00022491i,0.00062652-0.00038738i,0.00035793-0.00099085i,-0.00031761-0.00078636i,-0.00032618-5.4811e-05i,-4.0982e-05-6.1094e-05i,7.4484e-05-0.00022238i
5.6755e-05-0.0011357i,-0.00073858-0.00085089i,-0.00078807+0.00016848i,-0.00027414+0.0014664i,-0.00014971+0.0013822i,-0.00070902+0.00061587i,-0.00068038+0.00023563i,-0.00024795+0.00023804i,-0.0012187+0.00046371i,-0.0012786-0.00026079i,-0.00081278-0.00083355i,-0.00046239-0.00025209i,0.00030968+0.00051003i,0.00074446+9.2159e-05i,0.0013308-0.00061394i,0.0007362-0.0010584i,-0.00023402-0.00052479i,-0.00051451-4.47e-05i,4.4519e-05+0.00018127i,0.0010079+0.00061561i,0.0012029+0.00080094i,0.00050029+0.0011809i,0.00011706+0.0010742i
0.00062406-0.00012208i,0.00081842+0.00040301i,0.001166+0.00030085i,0.00087424-0.00010608i,0.0006167-0.00047339i,-0.00061958-0.00083349i,-0.0013404-0.0011659i,-0.0011576-7.9567e-05i,-0.00057768+0.0012262i,-0.00075457+0.00085373i,-0.0011869-3.0264e-05i,-0.0010066-0.00040264i,-0.00025604-8.0911e-05i,-0.00052889+0.0004566i,-0.0010627+0.00047185i,-0.00075-0.00010836i,-0.00012118-0.00046888i,-0.00035068-0.00080364i,-0.00030888-0.0013501i,0.0003591-0.00091646i,0.00035345-0.00063846i,-0.00015947-0.0005242i,-0.00019714-0.00049253i
-0.0013786+0.0010993i,-0.0011021+0.0012741i,-0.00049179+0.0020042i,0.00025723+0.0024597i,-7.1296e-05+0.0022727i,-0.0007054+0.0011693i,-0.00065607+4.408e-05i,-0.0011398-0.00043998i,-0.0014476+4.8878e-05i,-0.00075059+0.00056939i,-0.00054762+0.00017801i,-0.00035171-0.00012589i,-0.00019122-0.00026658i,-0.00034856-0.00027993i,-0.0003001-0.00074087i,-4.2002e-05-0.00089549i,2.343e-05-0.0002596i,-5.0895e-05+8.0509e-06i,-5.9422e-05+0.0002923i,-4.1143e-06-6.2955e-05i,-0.00011861-0.00036325i,-0.00033399+0.00035334i,-0.00026279+0.00054815i
0.00076355-5.0954e-05i,0.00071956-0.00059369i,0.0013651-0.00062869i,0.0020107-0.0010438i,0.0013244-0.0016344i,0.00066737-0.0014615i,0.00035552-0.00055578i,-4.3902e-06+0.00052979i,-0.00037895+0.00023002i,-0.00069468+1.7275e-05i,-0.00054188+9.6771e-05i,-0.00044156-0.00048931i,-0.00049036-0.00026685i,-0.0011414+0.0004036i,-0.0012085+0.00048742i,-0.00029879+0.00042597i,0.00014162+0.00055698i,-0.00022013+5.582e-05i,-0.00081402-0.00014234i,-0.00073331-0.0001161i,-3.2421e-05-0.00010061i,0.00022971-0.00020612i,-0.00032259-0.00043802i
