-0.00095805+0.0012176i,-0.0006522-0.00070789i,-0.0022686-0.0018558i,-0.0025898+0.00053461i,-0.0019086+0.0033763i,-0.0010765+0.003647i,8.3361e-05+0.0020203i,0.0010755+0.00078133i,0.0010657+0.00063265i,0.00042492+1.8523e-05i,0.00013308-0.00040637i,-7.8082e-05-0.00073586i,-0.00020217-0.00061861i,-0.00030729+0.00017967i,-0.00031942+7.179e-05i,-0.00040505-0.00014754i,-0.00020022-0.00021197i,-0.00026016-0.00063014i,-0.00025796-0.00029615i,0.00023511-0.00035499i,0.00045057-0.00057757i,0.00035669-0.000775i,0.00046308-0.00049536i
-0.00081447-0.0011628i,-0.0012616-0.0011463i,-0.002081-0.00013438i,-0.0016219+0.0010271i,-0.00082885+0.00098015i,-0.00024108+0.00089304i,0.00083601+0.00045429i,0.00090706+4.5014e-05i,-0.0001952-0.00030508i,-0.00016144-0.00028908i,0.00037302+0.00014955i,0.00045198+0.00022504i,0.00067997+0.00023906i,0.00087049+0.00014296i,0.00052277+7.7563e-05i,-0.00030856+0.00050471i,-0.00058716+0.00063361i,-0.00057216+0.00074728i,-6.3368e-05+0.00046434i,0.00054561-3.3412e-05i,-0.00038773+0.00010639i,-0.00015204+0.0003037i,0.00060998-0.00027524i
0.00084779-0.00090434i,0.00089642-0.00047593i,0.00074492-0.00024531i,-0.00037313-0.00041835i,-0.00080189-0.0007609i,-0.0002158-0.0008866i,-5.8865e-05+0.00036602i,-0.00062156+0.001033i,-0.00057374+0.00051304i,-0.00015924+0.00027246i,5.7114e-05-0.00061979i,5.2685e-05-0.0006015i,0.0001007+0.00024825i,-0.00010847-0.00020312i,-0.00072071-0.00074931i,-0.00025274-0.00068664i,-0.00014537-0.0002216i,-0.00032364+6.3571e-05i,-0.00048914-1.7611e-05i,-0.0002462-0.00026374i,0.00082501-0.00033688i,0.00114-4.9095e-05i,0.00059388+0.00030077i
-0.0018595+0.001084i,-0.00086592+0.0008086i,-0.00048439+0.0011079i,-0.0010755+0.0012042i,-0.00049117+0.00088291i,-0.00023179+0.00028964i,-0.00035295+0.00029564i,-3.7126e-05+0.00085269i,-0.00044239+0.0013923i,-0.00049248+0.0013557i,-0.00079331+0.00018701i,-0.00065921-0.0005474i,-0.00013684-0.0005881i,6.2569e-05-0.00092943i,-0.00083858-0.00056041i,-0.0016101-0.00049431i,-0.00076273-0.00054919i,-0.00047059-1.9941e-05i,-6.6369e-06-0.00014846i,0.00014275-0.00019583i,-0.0010004-6.436e-06i,-0.00090796+0.00057208i,0.00031771+0.001929i
-0.0020438+0.000973i,-0.0015921+0.0010532i,-0.0014544+0.00085695i,-0.00068173+0.00050185i,-0.00013244+0.00097206i,-0.00047737+0.0011214i,-0.00096958+0.00098716i,-0.0006353+0.00063562i,-0.0003621-0.00064478i,-0.00038909-0.00061981i,1.7174e-05+0.00055153i,-0.00023326+0.00037408i,-0.00050537-0.00030994i,0.00022266-0.00048122i,0.00023915-0.00089843i,-0.00065935-0.00035265i,-0.0014255+0.00026696i,-0.0014052-0.00011776i,-0.0011883-0.00064961i,-0.00079197-8.5292e-05i,-0.0002897+0.00046716i,9.7316e-06+0.00067246i,-0.00058772+0.00092235i
0.00085765+0.00076828i,-0.00049412+0.00015264i,-0.0013965+0.00028162i,-0.0019842+0.00038837i,-0.0020433+0.00059218i,-0.0015168+0.0016798i,-0.00032637+0.0023269i,-0.00018343+0.0017192i,-0.00019071+0.00056136i,3.3546e-05+0.00021765i,-0.0001021+0.00044161i,-0.0005933+0.00067655i,-0.00070419+0.0012573i,-0.00085519+0.0017813i,-0.00086165+0.0015749i,-0.00060544+0.0011622i,-9.6258e-06+0.0010241i,0.00026573+0.00015124i,1.0281e-05-0.00045127i,-0.000192-0.00049723i,-6.8409e-05-0.00045419i,0.00022715-0.00031153i,0.00014926-0.00038184i
-0.0004245-0.0015542i,-0.000936-0.001777i,-0.0020759-0.0017317i,-0.0023263-9.1098e-05i,-0.00083029+0.0015865i,0.00033744+0.0022304i,0.00010869+0.0017906i,5.1116e-05+8.4149e-05i,0.0013316+3.7284e-05i,0.0013195+0.0010018i,0.00035649+0.0004768i,0.00068634-0.00048838i,0.0012272-0.00026561i,0.001112+0.00069872i,0.00083631+0.00078917i,0.00071614-0.00011752i,0.00039755-0.00021938i,0.00043468+0.00025433i,0.00048696-0.00021102i,0.000133-0.00053849i,-0.0004886-8.2685e-05i,-0.00040797+0.00072749i,-2.7977e-05+0.00069265i
0.00034177+0.00032354i,0.00013136-0.00026305i,0.00050162-0.0010816i,-3.3727e-05-0.001309i,-6.5865e-05-0.00051596i,0.00028565+0.00025174i,0.00012863+0.00081579i,-0.00022864+0.00027291i,-8.0803e-05-0.00093619i,-6.243e-05-0.00085976i,-1.5819e-05-0.00080331i,0.00015232-0.00070031i,0.00022547+9.1241e-05i,-5.5462e-05+0.00042586i,-0.00058245+0.00031809i,0.0002789-0.00016619i,0.001262-2.788e-06i,0.00068688+0.00034122i,4.968e-05+0.00032283i,-0.0001533-0.0001623i,-0.0001276-0.00081133i,-0.0007562-9.9861e-05i,-0.00043848+0.00084041i
0.0018519-0.00014335i,0.00017318-0.00033848i,-0.001566-0.00063259i,-0.0020882-0.00051267i,-0.0018767+0.00038535i,-0.00073798+0.0010727i,0.0011566+0.00026005i,0.0022553+7.9509e-06i,0.0015334-0.00010545i,0.00055631-0.00028359i,0.00061584-0.00093442i,0.00022107-0.0013032i,-0.0005789-0.00074508i,-0.00044171-0.00025613i,-0.00019767-0.00011998i,-0.00039699-3.466e-05i,-0.00061543+0.00035242i,-0.00058056+0.00054224i,-3.6373e-05+0.00057166i,2.1645e-05+0.00045673i,-0.00013312+0.00048007i,0.00036713+0.00088453i,-0.00014214+0.00095641i
-0.00012128+0.00023683i,0.0012091+0.0002755i,0.0011711+0.00076553i,-0.00010435+0.0010966i,-0.0003974+0.0010918i,-0.0001239+0.0010149i,-0.0002821+0.00099786i,-0.00010846+0.00085398i,3.7135e-05+0.00055867i,-0.00063185+0.00033618i,-0.00075546+0.00052459i,-0.00010764+0.00034832i,0.00057517-0.00068464i,0.00068949-0.00069067i,0.00094689-0.0004466i,0.0005165-0.00037023i,-0.00036212+0.00015478i,-0.00021746+0.0010542i,0.00020722+0.00082069i,0.00030378+0.00022714i,0.00013826-0.00034865i,-0.00051967-0.00039663i,-0.000736+0.0005635i
0.0012823+0.00042623i,0.00087368+0.0011649i,0.00022539+0.0020394i,-0.00065184+0.0013358i,-0.0010934-0.00011425i,-0.0010287+6.1638e-05i,-0.00072857+0.00022364i,-0.00020911-0.00017762i,9.0235e-08-0.00015994i,0.00039668+9.735e-05i,0.00079558+0.00043411i,0.00024031+0.00054251i,0.00054885+0.00054511i,0.0007879+0.00030306i,0.00059356+0.00013002i,3.3328e-05+0.00027678i,-0.00056342+0.00041491i,-0.00030175+0.00039557i,-1.3221e-05+0.00091768i,0.00013507+0.00083493i,0.00028645+9.3312e-05i,-5.8245e-05+0.00018444i,8.919e-06+0.00088411i
-0.0015788-0.0013874i,-0.0017554-0.00018324i,-0.0023599+0.00010439i,-0.001548+0.00067621i,-4.6803e-05+0.00092185i,0.00060697+0.0015321i,0.0007933+0.0021465i,0.0015054+0.0012388i,0.0012541+0.00031306i,0.00055226+0.00065542i,0.0004086+0.0010358i,0.00072744+0.00050575i,0.00030654+0.00046118i,0.0003474+0.00039015i,0.00076223+3.4701e-05i,0.00043431-8.2341e-05i,0.00030279-0.00097451i,-2.4185e-05-0.0013087i,-0.00044873-0.00048206i,-0.00075266+0.00022578i,-0.00036919+0.00060886i,8.333e-05+0.00092957i,-0.00044356+0.00080895i
-0.00031228-0.00037769i,-0.00076233-0.0017832i,-0.0013253-0.0026789i,-0.0022547-0.0015061i,-0.0024249+0.00050104i,-0.0016248+0.0016671i,-0.00039334+0.0021222i,0.00070176+0.0016941i,0.00068837+0.00011745i,0.00039998-0.00074253i,0.00077255-0.000209i,0.0010703+0.00047425i,0.00042665+0.00058145i,0.00061403+0.00012536i,0.0014116-5.3708e-05i,0.00071001-0.00032598i,-8.0154e-06-0.00095233i,0.00029927-0.0011679i,0.00014374-0.00043499i,-8.2297e-05+0.00075406i,-0.00010769+0.0011222i,-0.00062633+0.0003434i,-0.00082949-1.0673e-05i
0.0017659+0.0018568i,0.0017702+0.00014551i,0.0010286-0.0018927i,-0.00010251-0.0020609i,-0.00069643-0.00019646i,-0.00042038+0.0015743i,-6.8118e-05+0.0023201i,-0.00043431+0.0015202i,-0.00047506+0.0003861i,0.00017962-0.00085836i,0.00064104-0.0010074i,0.00036482-0.00058276i,-0.00018541-0.00017041i,-0.00074365+0.00021748i,-0.00084852-0.00057262i,-0.00020381-0.0013117i,0.00031516-0.00083387i,0.00013007+6.5407e-05i,-0.00018866+0.00061763i,0.00012609+0.00014002i,-0.00016116-0.00075987i,-0.00045107-0.0011857i,-0.00031047-0.000637i
-0.00084292+0.00068795i,-0.00024029+0.002339i,-0.00022992+0.0026576i,-0.00057096+0.0017023i,-0.00040805+0.0018298i,0.0002374+0.0020885i,0.0010661+0.0018114i,0.0011812+0.0011526i,-3.9976e-05+0.00075761i,-0.00060182+0.00015837i,-0.00024975-0.00023283i,-0.00010283-0.00021454i,-0.00030274-0.00080407i,-0.00013534-0.001143i,-5.0334e-05-0.00017585i,0.00042017+0.00038316i,0.00088313+0.00014949i,0.0010724+0.00022948i,0.00097245+4.4308e-05i,0.00022748-0.00015856i,-0.00010185+0.00030473i,-5.7362e-05+0.00051475i,4.2972e-05-0.0001127i
-0.001007+8.6026e-05i,-0.0016352+0.00049448i,-0.00094799+0.00056701i,-3.2876e-05+0.00050605i,0.00052235+0.00073756i,0.00054228+0.00059304i,0.00030533+0.00079279i,0.00096951+0.00074145i,0.00091426+0.00055496i,-0.00021651-0.00036531i,-0.00041364-0.00060848i,-0.00077328-0.0004305i,-0.00075533-0.001737i,-0.00088162-0.0018336i,-0.0017295-0.0010358i,-0.0015462-0.00078424i,-0.00095007-0.00021853i,-0.0011222+0.0002437i,-0.00097746-0.00018181i,0.00046419-0.00086328i,0.0012038-0.00092033i,0.00033261-0.00066106i,-0.0007936-0.00043429i
-0.00031683-0.00087281i,-0.00035601-0.00026453i,-0.0015238-0.00054702i,-0.0020878-0.00059304i,-0.0022957-0.00016745i,-0.0016922+0.00080595i,-0.0010867+0.001202i,-0.00041851+0.00031403i,0.00027827+0.00010674i,-5.2704e-05+0.00050017i,-0.00032256+0.00059752i,-4.0294e-05+0.00063435i,-0.00020769+0.00061002i,-6.3457e-05+0.00062661i,7.8414e-05+0.0016114i,-0.00010926+0.0018626i,-0.0005012+0.00096084i,-0.00080847+0.00039437i,-0.00019817-7.9499e-06i,0.00029199-0.0003084i,-0.00017068+0.00015322i,-0.00071941+0.00044244i,-0.00049695+0.00059527i
-0.0008109+0.0002782i,-0.0012864+0.00050286i,-0.0006084+0.0010845i,-0.00043821+0.00010491i,-0.0011638-0.0011831i,-0.00079111-0.0010295i,0.00037803-0.00089334i,0.00015717-0.00095997i,-0.00036385-0.00032958i,0.00018497+0.00043862i,5.3556e-06+0.00018945i,0.00011812+0.0004029i,0.00062223+0.00035518i,0.00074925-0.00055927i,0.00078037-0.00097602i,0.00043885-0.0012002i,3.0934e-06-0.0012932i,6.5331e-05-0.0003011i,-0.00045465+0.00039868i,-0.00043942+0.00075786i,0.00032311+0.00019675i,-5.4076e-07-0.0007542i,8.5645e-05-0.00023163i
-0.0031593+0.00093862i,-0.0031448+0.001524i,-0.0029993+0.0017787i,-0.0013609+0.0018827i,3.8925e-05+0.0017398i,0.00068009+0.0013465i,0.00042792+0.0007952i,-0.0004236-5.4359e-05i,-0.00082873-3.2687e-05i,-0.00028389+0.00053959i,0.00066593+0.0005322i,0.0012348-0.000459i,0.0014532-0.0012236i,0.0017874-0.00084327i,0.001419-0.00038923i,0.00052104-0.00048386i,0.0002685-0.00094747i,0.00010705-0.00094667i,0.00018492-0.00028916i,-0.00012819-0.00013602i,-0.00053712+5.361e-05i,-0.00038278+0.0003674i,0.00018017-0.00018866i
-0.0011407+0.00030617i,-0.0016724-0.00021269i,-0.0011236-0.00025536i,-0.00093562-0.00045439i,-0.0014533+0.00042174i,-0.00095032+0.001103i,-0.00014544+0.00049028i,-0.00041495-0.00024077i,-0.00038454-0.0012295i,0.00093181-0.0013599i,0.0013975-0.001059i,0.00022705-0.0012409i,-0.00049668-0.0012279i,-9.9789e-05-0.0010152i,0.00025997-0.00058558i,0.00029106-0.00053588i,0.00060445-0.00045429i,0.00068792-0.00022582i,0.0001951-0.00025321i,-0.00016251-8.7753e-05i,-0.00027882+0.0004726i,-0.0006303+0.00092177i,-0.0011707+0.00088758i
-0.00034396+0.00080049i,0.00053544+0.00052732i,0.0010817+0.0011526i,0.00089331+0.00069275i,0.0011171-0.00022791i,8.3896e-05+0.00054006i,-0.00095201+0.0020307i,-0.00050434+0.0022394i,-0.00011724+0.0012624i,7.0549e-05-0.00018479i,0.00091918-0.00098602i,0.0012482-0.0005955i,0.00046877-0.00096616i,-0.0005045-0.0012804i,-0.00095387-0.0012849i,-0.00063907-0.001315i,-0.00015614-0.00077246i,5.2727e-05+0.00013821i,0.00046281+0.00066396i,0.00037228-0.0002254i,-0.00038129-0.00068015i,-0.00068095-0.00044539i,-0.0010279-0.00031203i
0.00048214-0.0010756i,-0.00056951-0.0012278i,-0.0015206-0.0012936i,-0.0018905-0.00072522i,-0.0017104-0.00014203i,-0.0011241+0.00018565i,0.00062291+0.00091807i,0.00076518+0.0011008i,-3.3884e-06+0.00078466i,-0.00022317+0.00080735i,-0.00059139+0.00062183i,-0.00069181+0.00033137i,-0.00028951-0.00029938i,0.00053766+8.8285e-06i,3.7376e-06+5.0446e-05i,-0.00044001-4.0225e-05i,1.3912e-05+0.0004145i,0.00085853+4.9214e-05i,0.00086857+1.7642e-05i,-0.00051704-0.00019385i,-0.0010861-6.6819e-05i,-0.00076394+0.00071094i,-0.00062596+0.00096949i
0.00016486+0.00094619i,0.00020584+0.00073808i,6.76e-05+0.00026204i,-0.00094573-7.5057e-05i,-0.0014863-0.0007409i,-0.00055734-0.00088386i,0.00065796-0.00076226i,0.00036686-0.0010226i,-0.00077284-0.0010917i,-0.0017111-0.00037993i,-0.001535+3.8746e-05i,-0.00092945-0.00012898i,-0.0011814-0.00032651i,-0.00051378+7.8173e-05i,0.00021898+0.00010839i,0.00016195+0.00018111i,-9.408e-05-1.7934e-06i,-2.8437e-05-0.00032679i,-7.3557e-05-0.00045092i,-0.00076439-0.00054559i,-0.0010839-0.00019343i,-0.00034343+0.00061301i,-0.00021458+0.0009912i
-0.00052293+0.00051902i,-0.00018168-0.00028291i,-0.0005649+9.7941e-05i,-0.00059303+0.00084301i,0.00035328+0.00088811i,-0.00010259-0.00024395i,-0.0013736-0.0013778i,-0.0013884-0.00069555i,-0.00067803-0.00023359i,-0.00030122+9.5923e-05i,-0.0007246+0.00095614i,-0.001477+0.0011542i,-0.0015558+2.674e-05i,-0.0013269-0.00068507i,-0.00082651-0.0002183i,-0.00050963+0.00039436i,-0.00093172+0.00026223i,-0.00078997-0.00013725i,-3.2246e-05-0.00081805i,-4.6385e-06-0.00072041i,-0.00015672-0.00022508i,0.00054415+0.00026454i,0.00049088+0.00064015i
-0.00013862+4.5408e-05i,0.00015947-0.0006469i,0.00089767-0.0011713i,0.00053814-0.00057368i,-0.00063727+0.00087455i,-0.0013234+0.00099063i,-0.00091899-3.9687e-05i,-0.00060217-0.00056638i,-0.00055613-0.00089983i,-0.00055841-0.00027063i,-0.00068862+8.2687e-05i,-0.00019267+0.00012293i,0.00055101+1.6461e-05i,0.0014318-0.00015832i,0.0016527-0.00022641i,0.0008966+2.9707e-05i,1.5378e-05+0.00015616i,-0.00067278+0.00066745i,-0.00016962+0.00065974i,0.00049393-0.00024971i,-0.00019533-0.0003134i,-0.00087749-0.00013233i,-0.00057457-0.00034738i
-0.00055433-0.00079295i,-0.00054082-0.00080068i,-0.0012802+0.00057967i,-0.0015184+0.000963i,-0.0013159+0.00030181i,-0.00092704+0.00050386i,-0.0008607+0.0012837i,-0.00057206+0.00084034i,-0.00065812+0.0005433i,-0.00090039+0.00072548i,0.00029512+0.00013556i,0.0012896+0.00042243i,0.0010848+0.00098885i,0.00025095+0.0010125i,1.3051e-05+0.00076844i,0.00064986-0.00021081i,0.00070185-0.00073718i,7.8563e-05-0.00091741i,-1.7093e-05-0.00062305i,0.00019074+0.00032177i,0.00044449+0.00045794i,0.00023328-6.6558e-05i,0.00020775+2.4165e-05i
-0.0011888-0.0014913i,-0.0022292-0.00068302i,-0.0026736-0.00058554i,-0.0029073-9.9654e-05i,-0.0027761+8.6636e-05i,-0.0016385+3.4775e-05i,-0.00051472+0.00079654i,-0.00017427+0.00077042i,3.5273e-05+0.00034204i,1.8028e-05+0.00018565i,0.00037708-2.7916e-05i,0.00089967-0.00031701i,0.00078509-0.00031553i,0.00081583-0.00022373i,0.00070378+1.7551e-05i,0.00026836-0.00032338i,-0.00020673-0.00077378i,-0.00016388-0.00041147i,8.7822e-05-0.00055194i,0.00055751-0.00087897i,0.00034202-0.0010075i,-5.477e-05-0.00020237i,-0.00029487+0.0003674i
0.0032876-0.00051635i,0.0021668-0.00087073i,-7.4797e-05-0.00080808i,-0.0016158-0.00058803i,-0.0020173+0.00017919i,-0.0019458+0.00090126i,-0.00081094+0.0010794i,0.0002549+0.00046554i,0.00068238+7.9474e-05i,-0.00067827-0.00018328i,-0.0010601-0.0012014i,-0.00047783-0.001206i,-0.00076386-0.00012233i,-0.00027703+0.0010499i,0.00010699+0.00084065i,-0.00033082+6.4687e-05i,-0.00027622+0.00021174i,-0.00039999+0.00028371i,-0.00042408-0.00028461i,-2.1337e-05-0.00049286i,-0.00060783-0.00052444i,6.594e-05-0.00022354i,0.0013212-0.00012163i
0.00014474-0.00065762i,1.2798e-05-0.00082049i,-4.3864e-05-0.00022321i,-0.00014856+0.00099694i,0.00015794+0.0014991i,0.00026536+0.0010048i,0.00011335+0.00069564i,-0.00010871+0.00044203i,-0.00045395+0.00010689i,-0.00096762+0.0005345i,-0.0011368+0.00066482i,-0.001679-0.00037303i,-0.0019446-0.00054118i,-0.00085099-0.00039325i,-0.00013936-0.00069979i,4.789e-05-0.00027081i,5.2381e-05+8.2186e-05i,-0.00018294+6.5807e-05i,-0.00038564-0.00035737i,-0.00072533-0.00024059i,-0.00059562+0.00057519i,-0.00020452+0.00045177i,0.00030728+0.00039599i
0.00051949+0.0010981i,0.00067354+0.0013108i,-0.00024509+0.00059871i,-0.0001859-0.00058745i,0.00058533-0.00042221i,0.00061373+0.00062327i,0.0011096+0.0016933i,0.00044731+0.001219i,-0.00019509-0.00038181i,-0.00018981-0.00082639i,-0.0005418+0.0005453i,-0.00063894+0.0011261i,-0.0009648+0.00053111i,-0.0010832-0.00037964i,-0.00066909-0.00065197i,-0.00020782-0.00082702i,0.00085134-0.00066722i,0.0010026-0.00014869i,0.00044445-0.00026699i,0.00019024-0.00078265i,0.00019598-0.00094888i,-0.00015368-0.0010965i,-0.0004465-0.0010881i
-0.0020223+3.5677e-06i,-0.0019446-0.00066675i,-0.001904-0.00089962i,-0.0020959+0.00010592i,-0.00062465+0.00083909i,0.00085325-6.4938e-05i,0.0005641-0.00034704i,-7.7282e-05-0.00031791i,0.00026742-8.6358e-05i,0.00055823+0.00043166i,0.0010489+0.0010271i,0.0010219+0.00069558i,0.00043357+0.00023885i,0.00017881+0.00063688i,0.00083328+0.00075842i,0.0003564+0.00057173i,-0.0003696-0.00051517i,0.00016653-0.00096138i,0.00075432-0.00082373i,0.00062894-0.00037018i,1.8244e-05+0.00026403i,-6.8574e-05+0.00030833i,-0.0003158+0.00075969i
-4.6256e-05-0.00023286i,-0.00066634+7.2276e-06i,-0.0007741-0.00046917i,-0.00077018-0.00032172i,-0.00098487+0.00035652i,-0.00087328-0.00024871i,-0.0010246-0.00038683i,-0.00091042+0.00011428i,4.4392e-05-0.00023324i,0.00093959-0.00071692i,0.00055291-0.00021095i,0.00015486+0.00011847i,-0.00024768-0.00015157i,-0.00023064-0.00027815i,0.00072501-0.00022879i,0.00061992+0.0001434i,0.00045834-9.7662e-05i,0.00074774-0.00021812i,0.00083619+0.00020098i,0.00069095+0.00018457i,0.00068762-0.00073527i,0.00068673-0.00065707i,2.7375e-05+0.00020178i
