-0.0016917+0.001493i,-0.002093+0.0032349i,-0.002288+0.0036516i,-0.00084839+0.0031353i,-3.1833e-05+0.0022027i,0.00014804+0.0019807i,-0.00011843+0.0014064i,5.1714e-05+0.0009859i,0.00074168+0.00094503i,0.0013956+0.0010566i,0.0010145+0.00071573i,0.00049817+0.00030553i,-0.00017768-0.00022502i,-0.00034142-0.00087772i,-0.00061526-0.0011692i,-0.00092497-0.001004i,5.9971e-05-0.0008895i,0.00035495-0.00052363i,8.4182e-06+1.9068e-05i,0.00016381+0.00021078i,-0.00037843-0.00010062i,-0.00043665-0.00077923i,0.00034096-0.00084052i
-0.0014033-0.0007216i,-0.0019789+0.00078948i,-0.0019737+0.0024346i,-0.0012864+0.0020276i,-0.0012053+0.00080711i,-0.00055731+0.0010942i,0.00057463+0.0011547i,0.00026621+0.00076241i,-0.0001824+0.00079462i,-0.00011939+0.0012947i,4.6364e-05+0.00056881i,0.00087928-0.00035232i,0.001588-0.00016243i,0.0013977+0.00019906i,0.0010754-0.00027915i,0.00087719-0.00056731i,0.00015441-0.00017334i,7.1267e-05-0.0007583i,0.00017251-0.00080026i,-0.00026771-0.0004029i,-0.00034909-0.0004814i,-0.00024152+6.0767e-05i,-0.00035106+0.00051343i
-0.00085812-0.00071124i,-0.0017622+0.00039827i,-0.0026846+0.00041032i,-0.0019951+0.00061326i,-0.00066292+0.001216i,-0.00017687+0.0015722i,-0.00059713+0.0011533i,-9.7038e-05+0.00051175i,0.00050072+9.3005e-05i,0.0005722+0.00028826i,0.00032553+2.6742e-05i,0.000294-0.00060503i,0.00081651-0.00042892i,0.0010781+0.00035085i,0.0004934+0.00036932i,0.00031527-0.00013268i,0.00055892-0.00029291i,0.00057048+3.3106e-05i,0.00073681+7.1284e-05i,0.00035319-0.0007136i,0.00031693-0.00052668i,0.00024749-1.8187e-05i,0.00020493+0.0002954i
0.0009919-0.0016188i,0.00076365-0.0017281i,0.00093838-0.0012648i,0.00029107-0.00053409i,0.00011679+0.0008222i,2.6757e-05+0.0018885i,-0.0015059+0.0016374i,-0.0011881+0.0011137i,0.00014208+0.00098481i,0.00033621+0.00080866i,-8.4423e-05+0.00077035i,0.00015455+0.00075112i,0.001165+0.00057732i,0.0010725+0.00053866i,0.00082867-1.6311e-05i,0.00061636-0.00027684i,0.00058098-0.0003214i,0.00034261-0.00010826i,0.00020478+0.00013029i,0.00042834+0.00039999i,0.00050124+0.00050243i,0.00063314-0.00032299i,0.00012601-0.00036642i
-0.00053208+0.00025403i,-0.00087474+0.0011377i,-0.00087921+0.0012746i,0.00038036+0.00077004i,0.00057838+0.00076456i,2.9187e-05+0.00063079i,-0.00045706+0.00061772i,-0.00013789+0.00084908i,0.00040063+0.0011853i,0.00059463+0.0013964i,0.00066346+0.0019596i,0.00040599+0.0016996i,0.00038257+0.00032908i,-0.00028572-0.00082269i,-0.00084805-0.0014875i,-0.0001398-0.001131i,0.0008716-0.00011367i,0.00081903-0.00012361i,0.00086024-0.00011366i,0.00081642-0.00019823i,0.00051427-0.00055271i,0.0006675-0.00069512i,0.00025925-0.00020961i
0.00077051-0.0020734i,0.0012394-0.0015714i,0.00088906-0.0015759i,-0.00018674-0.0010181i,-0.0008186+4.9243e-05i,-0.00074949+0.0010188i,-0.00025948+0.0006751i,-0.00022869+0.00044344i,-0.0005146+0.00073819i,-0.00054604+0.00057382i,-0.00033328+0.00045817i,0.00019658+0.00047681i,0.00065074+0.00026382i,0.0010074+0.00029626i,0.00097026+0.00015725i,0.00083158+0.00011467i,0.00055616+0.00099436i,0.00016379+0.00047356i,0.00019483-0.00035607i,0.00028475+0.00046733i,-0.00017738+0.00037456i,2.0212e-05-0.00072717i,2.7096e-05-0.00069039i
0.00031135+0.0012108i,0.00052789+0.00088846i,0.0006687+0.00052147i,0.00052607-0.00028429i,-0.00032049-0.0011125i,-0.0004621-0.00022901i,-0.00048192+0.00062188i,-0.00063381+0.00016898i,0.00019299+0.0002137i,0.00093136+0.00089974i,0.00074775+0.00098591i,0.00045431+0.000367i,0.00045805+0.00037947i,0.00012918+0.00028008i,7.0461e-05-0.00048393i,0.00023829-0.00081991i,-0.0002631-0.0007279i,-4.3407e-05-0.00028022i,0.00075076+0.00035645i,0.00069442+0.00044612i,-0.00014106+0.00020026i,-0.00027148-0.00020869i,0.00024739-0.00018534i
0.0014521+0.00012796i,0.001073-0.00060878i,0.0012475-0.0019652i,-2.0237e-05-0.0025029i,-0.0014983-0.0021416i,-0.0010214-0.00097549i,-0.00017036+5.4893e-05i,-1.0748e-05+4.1961e-05i,3.8909e-05+0.00061789i,0.0001175+0.0010515i,0.00024348+0.00032805i,2.4296e-05-1.6271e-05i,-0.00057353+1.544e-05i,0.00020187-0.00017541i,0.0013082+0.00032303i,0.00044846+0.0004353i,-9.5139e-05+0.00021129i,-7.3342e-05+0.00049934i,6.9273e-05+0.00038142i,0.00021699+0.00030739i,-0.00030241-8.7684e-05i,-0.00026804-0.00072211i,4.2098e-05-0.00018373i
0.00022819+0.00056953i,-0.00055318+0.0015628i,-0.00019517+0.0016555i,-0.00057277+0.0009295i,-0.0010581+8.9618e-05i,-0.00084297+0.00073344i,-0.00070218+0.0016479i,-0.00032752+0.0012443i,0.00034248+0.00077641i,0.00090777+0.00021236i,0.0013159-0.0006054i,0.00090891-0.0002382i,0.00080868+0.00054431i,0.0015423+0.00038137i,0.0015402-0.00026991i,0.00071723+0.00033658i,-8.2007e-05+0.00075096i,5.4722e-05+0.00055271i,0.00054809+0.00050195i,0.00070335+0.00016311i,0.00043268-0.00020869i,0.00061412-0.00039565i,0.00069483-0.00024815i
6.4476e-05+0.00019881i,0.00069886-0.00038021i,0.0016975-0.00075369i,0.0012512-0.00028847i,0.00032975+0.0015135i,9.5453e-05+0.001633i,0.0001068+0.00084081i,0.00021837+0.00048394i,0.00049868+0.00013771i,0.00049314+0.0011384i,0.00082145+0.0019852i,0.0012955+0.0019382i,0.00099452+0.001503i,0.0004429+0.00023303i,0.00037552-0.0002969i,0.00018207-5.8319e-05i,-0.00044455+0.0006198i,-0.00035345+0.00056954i,0.00018344+0.0001713i,0.0005362-0.00044652i,0.00021639-0.00013673i,-0.00036231+0.00020658i,-0.00012329-7.4114e-06i
-1.5539e-05+0.00083322i,0.00064871+0.00055565i,0.00067871+0.00151i,0.00056547+0.0017124i,0.0003168+0.0011852i,-0.0001693+0.00048826i,-0.00091892+1.3883e-05i,-0.00073902-7.6515e-05i,-7.4832e-05+0.00094641i,0.00056561+0.0011968i,0.00050724+0.00076037i,0.00043116+0.00098553i,0.00063276+0.00072811i,0.0005825+0.00025838i,0.0006204-0.00054628i,0.001007-0.00057394i,4.0365e-05-0.00013518i,-0.00034519-0.00032149i,0.00026784-0.00066686i,0.00029526-0.00071505i,0.00017889-0.00013096i,-0.00023672+7.659e-05i,-0.0011345-0.00072878i
-4.3842e-05-0.0011646i,-5.7836e-05-0.0011207i,-0.00014892-0.00031807i,-0.00042511+1.1429e-05i,-0.0007348+0.00068135i,-0.000439+0.00054448i,0.00053214+0.00085573i,0.00085696+0.00086672i,0.0006878+0.00066665i,0.00085282+0.00058462i,0.0016653+0.00020561i,0.0015362-0.00020976i,0.00072782+1.4809e-05i,0.00054959+0.00031919i,0.00052535-1.5487e-05i,0.00032278-0.00046925i,0.0010161-0.00032811i,0.0015017-0.00051842i,0.0015704-0.00026008i,0.00096113+0.00084508i,1.7299e-05-8.0244e-05i,-6.924e-05-0.00055961i,0.00053055+0.0002318i
0.0019467+0.0028582i,0.0019031+0.0011127i,0.0019544-0.00079952i,0.0009505-0.0018237i,-0.00054294-0.0011152i,-0.0014304-1.8379e-05i,-0.0011433+0.00055104i,-0.00047904+0.00090224i,0.00058005+0.0011869i,0.0012149+0.0011966i,0.0010559+0.00080926i,6.596e-05+0.00050493i,-8.4398e-05+0.0001735i,0.00033896-0.00012328i,0.0002923-0.00014515i,0.00023901-4.33e-05i,6.4845e-05+0.00054714i,-0.00030895+0.00063482i,-0.0001876+0.00014027i,0.00034936-0.00061811i,0.00095347-0.00095305i,0.00081495-0.00079589i,0.00057883-0.0012162i
-0.0017137-0.00049178i,-0.0019541-3.0071e-06i,-0.0023151-2.4327e-05i,-0.0011114+0.00061522i,-0.00015101+0.00079024i,-0.00078617+0.00034774i,-0.00040722+0.00014377i,0.00056644-0.00022403i,0.00056285-0.00018699i,0.00074456+0.00056499i,0.0010228+0.00121i,0.0010543+0.0014164i,0.0010155+0.0005559i,0.0010371-0.00050112i,0.0011252-0.00086761i,0.00058342-0.00084435i,2.3225e-05-0.00014361i,2.3903e-05+0.00020438i,6.773e-05-4.6641e-05i,-3.9393e-05-0.00055859i,-5.004e-05-0.0004126i,-0.00021654-4.3375e-05i,-0.00018131-0.0010119i
-0.0017201-0.0010195i,-0.0023681-0.00069903i,-0.0016592+0.00018401i,-0.0008557+0.0012583i,4.7469e-05+0.0021456i,0.00083191+0.002086i,0.00072593+0.0009928i,9.7376e-06-0.00012819i,-0.00018285-0.0004709i,0.00022599+0.00081673i,-0.0003166+0.0014692i,-0.00031621+0.001078i,0.00019582+0.00063187i,0.00013438-8.4442e-06i,-0.00024413-0.0010398i,-0.00036493-0.00082407i,0.0002793+0.00033038i,0.0010977+0.00033951i,0.00092879+3.2921e-06i,0.00055751-0.00028433i,0.00044952-0.00036708i,0.00026491+8.8074e-05i,0.00034941+0.00016606i
-0.00022835-0.002504i,0.00058291-0.0031246i,-2.8986e-05-0.0017456i,-0.00061244-0.00032908i,-0.00058689+0.00013762i,-0.0010948+3.1504e-05i,-0.00061647+0.00031825i,0.00032333+0.00075808i,6.6932e-05+0.0012002i,-0.00029774+0.0012109i,-0.00032106+0.00052435i,0.00022844+0.00028918i,0.00032715+0.00077408i,-0.00030078+0.00067282i,-0.00029362-0.00022865i,0.00030122-0.00072538i,0.0011186-0.00045614i,0.0010546+5.9386e-05i,0.00074422+0.00047117i,0.00024549+0.00027096i,2.4337e-05+5.3523e-05i,0.00019908-0.00082466i,0.00014683-0.0013151i
0.00027211-0.001298i,0.00068275-0.00013578i,0.00074477+0.001022i,0.00063396+0.00052825i,-8.966e-05-0.0001365i,-0.00022629+0.00039982i,0.00011081+0.0008631i,0.0002384+0.0010099i,0.00051712+0.00063837i,0.00068879-3.646e-05i,0.00041064+0.00017422i,0.00040774+0.0012137i,0.00045393+0.0015918i,0.00085812+0.00078952i,0.00064058+0.00043158i,-7.5103e-05+0.00042557i,6.6198e-05-8.6998e-05i,7.8641e-05-0.00086532i,-0.0001476-0.001203i,-0.00020095-5.03e-05i,-0.00068749+0.00070887i,-0.00089915+0.00024032i,-0.00053974-0.00032893i
0.0022862-0.0013473i,0.0014374-0.0017173i,0.00011319-0.0013312i,-0.00066751-0.00026385i,-0.0011651-0.00034224i,-0.0024977-0.00015945i,-0.0024897+1.0539e-05i,-0.00074085-0.00098711i,0.00057631-0.0012816i,0.00037027-0.00015724i,-0.00024873+0.00062836i,-9.9593e-05+0.0002647i,-1.5498e-05+0.00021698i,-8.4172e-05+8.2222e-05i,0.00084149-0.00042703i,0.0016417-0.00057814i,6.0953e-05-0.00059438i,-0.00089138-0.00011742i,-0.00047715+0.00038201i,0.00012444+0.00024445i,0.00072087-0.00046919i,0.00074383-0.00071881i,-0.00015345-1.5091e-05i
0.00066664-0.00024389i,-0.00097154-0.00049326i,-0.0010486-0.0012172i,-0.0002689-0.00060675i,-4.0535e-05+0.00039264i,-0.00083602+0.00011018i,-0.0004805-0.00064948i,0.00022538-0.00082992i,-4.5752e-05-0.00045274i,0.00049222+0.00021792i,0.00056028+0.00033196i,0.00018923+0.00013055i,0.00044112+0.00026295i,0.00059954+0.00045666i,0.0014548-0.00060455i,0.0015206-0.00092885i,0.00050119+0.00042063i,-0.00012406+0.0011197i,0.00031581+0.0016482i,-0.00013063+0.0013855i,-0.00098699-0.00015303i,-0.0005258-0.00068365i,-0.00063359+0.00026743i
0.0020196-0.00085844i,0.0014241-0.0011387i,0.00066892-0.0011283i,-0.00017865-0.00039564i,-0.0013981+0.00066682i,-0.0020572+0.0013281i,-0.0010913+0.001011i,-0.00017242+0.00083639i,0.0002017+0.00064794i,0.00012689+0.00030166i,0.00027251+0.00050173i,0.00071515+0.00093916i,0.00085281+0.0012257i,0.00037524+0.00078733i,3.9827e-05-0.00046933i,-0.00016146-0.0009543i,0.00016614-0.0010097i,0.00089068-0.0009531i,-2.995e-05-0.00012792i,-0.0011627+5.031e-05i,-0.00030801-0.00061161i,0.00078151-0.00071216i,0.00062283-0.00017059i
-0.00055713+0.00054418i,-0.0014703+0.00092299i,-0.0021612+0.0018498i,-0.00080521+0.0017734i,-0.00051796-1.4081e-05i,-0.0002255-0.00035244i,0.00045902+0.00065459i,-4.3839e-05+0.00051784i,-0.00020781+0.00078105i,0.00012349+0.0018613i,7.6324e-05+0.0018197i,6.186e-05+0.0005856i,0.00028182+0.00017834i,0.0007249+0.00084027i,0.0011221+0.00046244i,0.00027569-0.00047511i,-0.00030902-0.00075616i,-0.00022663-0.00032301i,0.00021905+0.00025131i,0.00025508+0.00013838i,2.5447e-07-0.0007851i,0.00011697-0.0010505i,0.00022826-0.00043601i
-0.0005675-0.0011158i,-0.00052609-0.0016364i,0.00015454-0.0020178i,2.8521e-05-0.0015204i,-0.0004316-0.00085377i,-0.00093626-0.00080963i,-0.00061466-0.00040561i,-5.5828e-05-0.00050573i,0.0003586-0.00022912i,0.00073899+0.00056768i,0.0012609+0.0010319i,0.0014699+0.00097643i,0.001037+0.00061799i,0.00064554+3.9499e-06i,0.00051984+9.8668e-06i,0.00033316+0.00077458i,-0.0001468+0.00016724i,-0.00038321-0.00038745i,-0.00016869+0.0006224i,0.00043197+0.00073973i,0.0010075+7.4005e-05i,0.00071069-0.00054755i,-0.00058412-0.00025259i
0.00077349-0.00057426i,-0.00010247-0.00056331i,-0.0016501-0.0007486i,-0.001599-0.0016524i,-0.0012291-0.00049475i,-0.0012862+0.00056816i,-0.00099983+5.4426e-05i,-0.0009015-6.6597e-05i,-0.0005286-1.1399e-05i,8.5055e-05+0.00026486i,0.00080168+0.00032074i,0.0010948-1.7986e-05i,0.00074737+0.00085706i,0.00050374+0.00079455i,0.00019258+6.7181e-05i,0.00070577+0.00018819i,0.0004246+0.00050553i,-0.00012126+0.00023187i,0.0001234-3.0798e-05i,0.00043893+0.00027093i,0.0012288+0.00013284i,0.00092205-0.00042504i,0.00048179-0.00086217i
0.002306+0.0012824i,0.0028476+0.00063116i,0.0018792-0.00055925i,0.00047613-0.00075237i,0.00046005-0.00025884i,0.000964+0.00053815i,0.00013293-0.00013704i,-0.00050125-0.00058781i,0.00062751+0.00049506i,0.00088278+0.0011998i,0.00078587+0.00045348i,0.0012681+0.00032338i,0.0016472+0.00083316i,0.00085945+0.00056989i,-0.00036562+0.00018556i,-0.00070811-0.00010246i,-0.00062568+0.00020133i,-0.00043418-5.9846e-05i,-4.7185e-05-0.00041413i,0.00017305+0.00030098i,0.00017729+0.00065336i,2.8062e-05+0.00021924i,-0.00016788-0.00023989i
-0.00079234-0.00032833i,-0.0012227+0.00049447i,-0.00037371+0.00082416i,0.00041296+0.0018486i,-0.00038282+0.0022051i,-0.00079886+0.0014698i,-0.00030079+0.00019728i,5.3003e-05-5.8076e-05i,0.00047939+0.0007106i,0.00094162+0.0016581i,0.0010004+0.001014i,0.00033726+0.00086789i,0.00041473+0.00070805i,0.001209+0.00029128i,0.00074514+4.0325e-05i,-0.00051601-0.0011035i,-0.0006227-0.0010856i,0.00029223-0.00073465i,0.00044794-0.00051558i,-0.00033357-0.00024927i,-0.00062394-0.00027586i,-0.00010252-0.00016625i,-0.00014586+0.00019798i
0.00075202-0.00044496i,-0.0011716+0.0011462i,-0.0018244+0.00086099i,-0.0018866+0.00071593i,-0.0018782+0.0013348i,-0.0013006+0.0016912i,-0.00070255+0.0013243i,-0.00020543+0.00027271i,-0.00011026-3.3272e-05i,-2.4137e-05+0.0011153i,0.00052703+0.0017084i,0.00034237+0.00084125i,0.00062197+5.1765e-05i,0.001332-0.00015874i,0.0010433-0.00018108i,0.00018674-0.00015386i,0.00036063-0.00030111i,0.00083086-3.2954e-05i,0.00062207+0.00053134i,0.00021964+0.00054963i,-7.0644e-05+0.00028683i,-0.00072865-6.6052e-05i,-0.00047183+0.00028024i
-0.0010172-0.0022209i,-0.00090005-0.0023453i,-0.00066089-0.0015193i,-0.0011358-5.3253e-05i,-0.00076171+0.0012472i,0.00082713+0.0010742i,0.0014231+0.00015159i,0.00066762+0.00037416i,-0.00066831+0.00070424i,-0.0005026+0.00050465i,4.8474e-05+0.00035758i,3.6427e-05+0.00026202i,0.0001677+5.1855e-05i,0.00033135+0.00022469i,0.00044089-4.1852e-05i,-0.00012828-0.00074668i,-0.00039627-0.00056702i,0.00042499+0.00022849i,-6.1851e-05+0.00069724i,-0.00071272+0.00068891i,-1.5893e-06+0.0010998i,0.00059217+0.0014696i,0.00055442+0.00042158i
0.001693+0.0010144i,0.001334+0.0012706i,0.0011063+6.7954e-07i,0.00047704-0.00091463i,-0.00046284-0.00023098i,-0.00084931+0.00090781i,-0.0008243+0.00094921i,-0.00025844+0.0002542i,0.00053652-0.0002687i,0.00032736-0.00020348i,0.00041873+0.00014399i,0.0011224-0.00028387i,0.00079565-0.00041695i,0.00024014+0.00031147i,-0.00015819+0.00050323i,-0.00055342+0.0004031i,-7.4287e-06+0.00040236i,0.00079265+0.00065035i,0.001183+0.00040325i,0.0011511-0.00028835i,0.00074103-0.00055711i,0.00032971-0.00047643i,0.00026441-0.00026638i
-0.00027016-0.0010127i,-0.00031986-0.00063451i,7.1104e-05-3.3577e-05i,-0.00053014-1.92e-05i,-0.00027451+2.633e-05i,0.00048316+0.00062321i,0.00034545+0.00073221i,-0.00036199+0.00033244i,-0.0001996+0.00012201i,-9.0168e-05+0.00083528i,-0.00029951+0.0011646i,-0.00053795+0.00066264i,0.00016192+0.00047012i,0.0012921+0.00055643i,0.0006506+0.00022775i,0.00047073-0.00024838i,0.00073091-0.00041543i,0.00059265-0.00052657i,0.00048275+5.3243e-05i,0.0004808+0.00044579i,-0.00026234+0.00025147i,-0.00066361-1.6887e-05i,-0.00013533-0.00082684i
0.00031878+0.00059231i,-0.00025332+0.00064308i,-0.00035194+0.00096664i,-0.00014874+0.00091786i,0.00024044+0.00033326i,0.00042716+0.00065034i,-0.00026898+0.000973i,-0.0005675+0.00066431i,-0.00042075+0.00051812i,0.00052382+0.00035577i,0.0012339+0.0004441i,0.001184+0.00091241i,0.0010874+0.00046575i,0.00064385+0.00036486i,0.00034086+0.00055318i,0.00072293+0.0001044i,0.00075048-0.00052769i,0.00081194-0.00053858i,0.00059811+5.6944e-05i,0.00015031-0.00016565i,0.00032423-0.00046219i,0.00030286-0.00064272i,0.00032489-0.00051712i
0.00023619-0.0023785i,-0.00098435-0.0032721i,-0.0016278-0.0039822i,-0.0021021-0.0030297i,-0.0017868-0.0017039i,-0.0016842-0.0010529i,-0.0011332+0.00018865i,-0.00089271+5.3651e-05i,-0.00024989-0.00010231i,0.00028456+0.00020562i,0.00017011+0.0004188i,0.00026526+0.0010134i,0.00033948+0.001472i,4.9392e-05+0.0012078i,3.4235e-05+5.8374e-05i,1.5796e-05-7.3272e-05i,-0.00017595+0.00023273i,-0.00041988+0.00017758i,-0.0008384-8.7418e-07i,-0.00070311+3.0325e-05i,-0.00052258+0.00012333i,-0.0005339+0.00015749i,-0.00088595+0.00029932i
-0.00027667+0.00033667i,0.0011996+0.00053597i,0.0012818+0.00026221i,0.00090955+0.001589i,0.00066155+0.0022675i,0.00056886+0.00126i,-8.288e-05-0.0004008i,-0.00078261-0.00086449i,-0.00026865-0.00027027i,0.00087761+4.7775e-05i,0.0014619+0.00081943i,0.00030279+0.00082131i,-2.2717e-06+0.00034917i,0.00084325+0.00038864i,0.00018723+0.00024601i,-0.00036677+0.00023374i,0.00045755+0.00065627i,0.00010902+0.00057406i,-0.00099144-0.00018846i,-0.00090449-0.00052204i,-0.00022337+0.00026692i,0.00017792-0.00017947i,4.0523e-05-0.00086233i
-0.00018112-0.00092012i,0.00058332+0.00085449i,0.00094118+0.0014933i,-5.2464e-05+0.0016959i,-0.0016058+0.0014928i,-0.00072169+0.00031303i,0.00010757-0.00095338i,-0.00016633-0.0014249i,4.8543e-05-0.00042687i,0.00056991+0.00042485i,0.00040526+0.0010589i,6.6076e-05+0.0013082i,0.00026167+0.00072768i,0.00028604+0.00036176i,0.00048406+0.00029817i,0.00070056+0.00025189i,0.00046991+0.0005332i,-9.4183e-05+0.0013839i,7.4306e-05+0.00090914i,0.00046889-4.431e-05i,0.00047827-0.00048198i,0.00047156-0.00047351i,5.8567e-05+0.00016616i
