0.0014245-8.5105e-05i,0.0018985-0.0013989i,0.001978-0.0010814i,0.0019877+7.3816e-05i,0.0012292+0.00015698i,0.00071233-0.000965i,0.00078939-0.00039235i,0.00082198+0.00033148i,0.00065398-0.00054866i,0.00041611-0.0014761i,-0.0003759-0.0010928i,-0.0007443-0.00066647i,0.00012783-0.00026284i,-5.2771e-06+0.00029063i,-0.00066952+0.00030377i,-0.00087438-4.507e-05i,-0.00022944+8.7715e-06i,0.00067669-0.00012944i,0.00053027-0.00012513i,0.0011326+8.5634e-05i,0.00098812+0.00023497i,-0.0003172+0.00043348i,-0.00051791+0.00020883i
0.0006159+0.00075413i,0.00081135+0.00027353i,0.00067577-4.2847e-05i,0.00049581-0.0011573i,0.00044802-0.0018055i,0.00079944-0.00094303i,0.0012074+0.00015717i,0.00094082+0.00057754i,0.00099584+0.00037034i,0.0011887+0.00038785i,0.0013918-6.5283e-05i,0.0015146-0.00045863i,0.00057315-0.00039408i,-0.00065743-0.00035248i,-0.00041102+0.00033189i,-0.00071688+0.00099095i,-0.00053201+0.00061709i,0.00040228-6.5952e-05i,0.00099164+0.00034888i,-0.00055294+0.00066583i,-0.0019952+0.00018464i,-0.00090541+0.00040345i,2.2486e-05+0.00071904i
0.0014661+0.00054219i,0.0023782-0.00010719i,0.002777+0.0005541i,0.0021644+0.00064224i,0.0011176-0.00072414i,-0.00052383-0.00084179i,-0.00072966-0.00021381i,3.8253e-06-0.00031204i,-0.00021268+7.9275e-05i,-0.00027717-0.00033587i,0.00010925-0.00062655i,-0.00016876-5.5098e-05i,-0.00030102+0.00038896i,0.00016685+0.00040676i,-3.1265e-05+0.00040739i,0.00014893+9.1022e-05i,0.0012197+7.1841e-05i,0.00070392+0.00078174i,-0.00027266+0.00076098i,5.2857e-05+4.5873e-05i,0.00075121-0.00058639i,0.00053356-0.0008474i,-3.1684e-05-1.4217e-05i
-0.0016732+0.0015526i,-0.00072121+0.0021367i,-0.00037128+0.0022298i,0.00016615+0.0020147i,0.00067908+0.00060418i,0.00078479-0.00023232i,0.00055069+0.00040478i,0.00037746+0.00027279i,-0.00022305-0.00057086i,-0.00053203-0.00097961i,-0.00068779-0.001026i,-0.00099045-0.00075801i,-1.1113e-05-0.0008654i,0.00033178-0.00079992i,0.00082829-8.3789e-07i,0.001801+0.00044253i,0.0017754-0.00010601i,0.00085022-0.00058077i,0.00020259-0.00033972i,-0.0003898-0.00029349i,-0.00032913-1.542e-05i,0.00082891+0.00028837i,0.00069391+2.2767e-05i
-0.0015517+0.00077446i,-0.0010564+0.001044i,-0.00080417+0.0019344i,0.00073163+0.0012445i,0.0018497+0.00045399i,0.0017236-9.8097e-05i,0.0010707-0.00053369i,0.00073718-0.00036583i,0.00095228+0.00014928i,0.00044221+0.00053444i,0.00012923+0.00082091i,0.00012018+0.00061781i,-0.00040094-0.00040733i,0.00035268-0.0011236i,0.00093908-1.2593e-05i,-0.00013204-0.00010329i,-0.00041505-0.0010324i,0.00013754-0.00069011i,2.0623e-05-4.4382e-05i,-6.6485e-05-0.00027984i,0.00014668-0.00025474i,5.591e-05+0.00031913i,-0.0004358+0.00032985i
-0.00044445+0.00084195i,0.00015667+0.00037599i,0.0013344+0.00045086i,0.0018893+0.00086344i,0.0015013+0.00067888i,0.00060595-0.00036389i,0.00068988-0.0002859i,0.0008702-0.00015799i,0.00017792-0.00058322i,0.00039857-0.00083528i,0.001539-0.00083426i,0.002071-0.00017455i,0.00081779+0.00025363i,-0.00067085+3.81e-05i,-0.0012105-0.00035334i,-0.00097768-0.00036835i,-0.00037046-0.00038362i,-0.00014377-0.00077872i,0.00074552+9.09e-05i,0.00071021+0.00067906i,-0.00037684-1.5231e-06i,-0.00088212-0.00038203i,-0.00072724-0.00046568i
-0.0017781-0.001873i,-0.0015701-0.00010482i,-0.0009834+0.0015762i,-0.00094907+0.0020935i,-0.0016752+0.0021403i,-0.0008352+0.0014358i,0.00025084+0.00062237i,-0.00032208+0.00011166i,-0.00053357-0.00046879i,0.0004119-0.0013329i,0.00096125-0.001251i,0.00084105-0.00028038i,0.00082994+0.00017081i,0.0012959+5.878e-05i,0.00066779-0.00031832i,-0.00024705-0.00063109i,0.00047627+0.00013828i,0.00091904+0.00071256i,0.0004868+0.00039534i,0.00021064+4.103e-08i,0.00014279-0.00050125i,0.00051895-0.00036594i,0.00046028+0.00037648i
0.00078759-5.3918e-05i,0.00063128-0.00023261i,0.00039153-0.00026307i,-8.3141e-05-0.00090128i,-0.00086732-0.00195i,-0.0004529-0.0017775i,0.00037568-0.00070453i,-0.00064772-7.4033e-05i,-0.001803-0.00047946i,-0.0012853-0.00060054i,-0.00056051+8.2511e-05i,-0.00078725+0.0001564i,-8.2924e-05-0.00055447i,0.00062092-0.0010755i,0.00096328-0.00049241i,0.00082542-0.0003521i,0.00051711-0.00045093i,0.00075172-0.0006276i,0.00078665-0.00038053i,0.00014816+0.00046425i,-0.00039988+0.00087146i,-0.00031889+0.00037983i,-0.00024237-0.00011965i
0.0011657+0.00042709i,0.00014019-0.00091731i,-0.00047837-0.0010934i,0.00029843-0.0014188i,0.0010454-0.0017874i,0.0010129-0.0012816i,0.0001703-0.0010783i,-0.00011132-0.0014721i,0.00060766-0.0013177i,0.00079163-0.00054579i,-7.8236e-05-0.0002904i,-0.0014306-0.00048912i,-0.0011093-0.00064255i,0.00023769-0.00080408i,0.00084813-0.00056042i,0.00099231-0.0003862i,-1.3531e-05-0.00092812i,-0.00018178-0.00099809i,0.00077441-0.00016267i,0.00036319+7.1783e-05i,-0.00050259-0.00051414i,-0.00037291-0.0007824i,7.738e-05-0.00062656i
-1.9041e-05+0.00026907i,0.00028401-0.00012743i,0.00015795-0.0011499i,-0.00035204-0.0010482i,-0.0012592-0.00042857i,-0.0020451+0.00057612i,-0.00093174+0.00033876i,0.00057231-0.00051193i,0.00065837-0.0006414i,0.00029703-0.0010648i,2.3254e-05-0.0010176i,0.00048974-2.2614e-05i,0.00070904+0.00085278i,0.00077472+0.0013078i,0.00037908+0.0016439i,-0.00033122+0.0011392i,-8.0461e-05+0.00070951i,0.00032333+0.0011765i,-0.00011091+0.0011122i,-0.00021217+0.00057443i,8.0557e-05+0.00031766i,0.00046339-0.00033399i,0.0008569-0.00072244i
