-0.0018698+0.0011806i,-0.0022262+0.0008839i,-0.0028085+0.0015267i,-0.0018861+0.0014581i,-0.00066527+0.0024151i,0.00051164+0.0017814i,0.001694+0.001032i,0.0012824+0.0010215i,0.00066292+0.00029801i,0.00017125+4.3203e-05i,-8.4731e-05+6.751e-05i,-0.00020979-0.00064454i,-0.00016751-0.0010859i,-2.7459e-05-0.00059409i,0.00046427+0.00014961i,0.00032648+0.0004454i,7.6952e-05+0.00037964i,0.00032274+0.0003771i,0.00050759+8.8695e-06i,0.00058811-0.0004479i,-0.00028757-0.00016025i,-0.00068721-1.6116e-05i,-0.00019202-3.497e-06i
-0.00037904+0.0013048i,-0.00028425+0.0009843i,3.7272e-05+9.5442e-05i,0.00090387-0.00019635i,0.001441-0.00045014i,0.0010358-0.00076292i,0.00082609-0.00075203i,0.0011791-0.00067945i,0.00082552-0.00048026i,-0.00030132-0.00037688i,-0.00036571-0.00042422i,0.00028709-0.00067888i,0.00062552-0.001264i,0.00069233-0.00082804i,-0.00023737+0.00017027i,-0.00080794+0.00044159i,-0.00041093-0.00030993i,0.00057089-0.00017173i,0.00090914+0.00030522i,0.00055225+0.00014878i,0.00043936+1.7025e-05i,0.00013142+0.00012318i,0.00025562+0.00031221i
0.00061763+0.0014892i,-0.0001104+0.0010698i,-0.00020167-7.2049e-06i,0.00033195-0.00090225i,0.00079348-0.0012601i,-4.7106e-05-0.0013758i,-0.0004436-0.00044647i,-8.1482e-05+0.00049713i,0.00024111+5.2924e-05i,0.00013003-0.00067307i,-0.00070219-0.00011115i,-0.0010981+0.00029847i,-0.00040425-0.00059294i,0.00018022-0.00071419i,0.00033035+0.00041693i,0.00054107+0.00063807i,0.00027771-0.00011491i,-0.00017805-0.00042943i,-7.7197e-05-0.00020976i,-0.00052946-3.8728e-05i,-0.00064919-0.00039906i,-7.8931e-05-0.00049277i,3.3295e-05-0.0009169i
0.0019543-0.00016095i,0.0016041-0.00043927i,0.00025485-0.00062159i,-0.00063698-0.00024691i,-7.0185e-05+0.00077816i,-0.00029428+0.00087178i,-0.0001097+1.0239e-06i,0.0006644+0.0005195i,0.00057412+0.0011071i,0.00011048+0.00095832i,-0.00067222+0.00087456i,-0.0013226+0.00076057i,-0.00071945+0.00083285i,0.00017536+0.00024596i,0.00066468+0.00010554i,0.0010192+0.00039895i,0.00021403+0.00062152i,-0.00050705+0.00088361i,0.00017556+0.00021572i,0.0010193+0.00018741i,0.00051579+0.00012148i,-4.5789e-05+9.2056e-05i,-0.00032177+0.00023344i
-0.0013396-0.0010622i,-0.0025836-0.00038628i,-0.0024122+0.0010864i,-0.00089587+0.0013994i,0.0005203+0.0011036i,0.0011572+0.00015623i,0.0008106+0.00025057i,0.0001654-8.4222e-05i,-5.2683e-05-0.00067364i,0.00025153-0.00010393i,0.00024573+0.00059374i,0.00029482+0.0003697i,0.00014591+0.00030431i,0.00062753+0.0004992i,0.0020453+0.00036575i,0.0017415+0.00059552i,0.00024202+0.0002644i,6.5885e-05+0.00030166i,0.00024201+0.0011285i,-0.00012835+0.00086094i,-0.00022429+0.00061686i,-0.00021193+0.0010054i,-0.00041405+0.00068657i
-8.5551e-05+0.00046407i,-9.8439e-06+0.00039759i,0.00029812+0.00064107i,0.00056417+0.00076141i,0.00048011+0.0009882i,0.00049036+0.0017256i,0.00085396+0.0012278i,0.001218-5.1112e-05i,0.00090219-0.00090169i,0.00055028-0.0014926i,0.00011849-0.0014794i,-0.00021237-0.00061996i,-0.00054221+0.00025568i,9.193e-05+0.00013407i,0.00060567-0.00071697i,3.8138e-05-0.00057857i,-2.1605e-05+0.00035834i,-3.8156e-05+0.00048441i,0.00074043+0.00024278i,0.001549+0.00036227i,0.0011335-0.00056138i,0.0012991-0.00091779i,0.0014469-0.00073165i
-0.00088138+0.0015637i,-0.00058497+0.0013813i,-0.0010081+0.00097226i,-0.00066523+0.0013055i,0.00013257+0.00059734i,0.00079135-0.00088809i,0.00039219-0.0015862i,0.00033828-0.0011785i,0.0003273+7.6666e-05i,-0.00026286+0.0003161i,-0.000229-5.4926e-06i,3.3372e-05-0.00049228i,0.00070451-0.00043448i,0.0013713-9.1578e-05i,0.0010547-0.00020139i,0.00024375-0.00074503i,0.00045173-0.00052136i,0.0007003+0.00013897i,0.00044505+0.00039032i,0.00051136-0.00012681i,0.00081972-0.00055028i,0.0012181+0.00042257i,0.00097154+0.00066248i
-0.0012449-0.0026937i,-0.002208-0.0022433i,-0.0033046-0.0019938i,-0.0030872-0.00018282i,-0.0012905+0.00071575i,0.00064817+0.00077603i,0.0012286+0.00034462i,0.0011798-0.00086587i,0.00074863-0.0011412i,-0.00040548-0.00050065i,-0.0004663-0.00032493i,4.1888e-06-0.00017165i,-8.5664e-05-0.00038447i,-7.3542e-05-0.00058398i,0.00073035-0.00048169i,0.0015653-0.00050116i,0.00068432-0.0006763i,0.00025457-0.00017935i,0.0002615+0.00024499i,-6.9555e-05-2.3978e-05i,-0.00019934-0.00031812i,0.00015191-0.00024956i,0.0005331+8.0561e-06i
0.00088066+0.00048126i,0.00038575+0.0010709i,-3.6415e-05+0.001327i,0.00072837+0.0017034i,0.0013273+0.0012682i,0.00050729+0.0011033i,-8.8365e-05+0.0014097i,0.00037441+0.0014051i,0.00021294+0.00077657i,-0.00073917+0.00017267i,-0.00061959+0.00033105i,-0.00023633+0.00021224i,8.3148e-05-5.4904e-05i,0.00038581+0.00044058i,-0.00034357-3.2113e-05i,-0.00051284+0.00019337i,-0.00042388+0.00070841i,-0.00056807+0.00038673i,0.00013231+0.00051125i,0.00043754+0.00085149i,0.00018988+0.00045943i,0.00040349+0.00021537i,0.00053453-2.1336e-05i
-0.00078446-0.0010232i,-0.00039702-0.0010527i,-0.00070096-0.00083529i,0.00015499+0.00018194i,0.0017811+0.00047357i,0.0016828-0.00014206i,0.0013649-8.5949e-05i,0.0011873+6.6085e-06i,0.00056704-0.00035326i,-7.4969e-05-0.0010796i,-0.00038157-0.0010656i,-0.00040574-3.3555e-05i,-0.00056094+0.00044512i,0.00026435+0.0011211i,0.0011759+0.0010138i,0.00090687-0.00022174i,0.00034334-0.00024028i,-0.00025469+0.00023337i,-0.00068561+7.0036e-05i,-0.00078838-0.00049497i,-0.0003628-0.00037467i,7.0161e-05+0.0002132i,0.00038813-0.00014947i
-0.0010518-5.4364e-05i,-0.00020217-0.00048565i,0.0012271-0.00062724i,0.0012878-0.00031896i,0.0010823+0.00014549i,0.0011454+0.00026175i,0.00088935-0.00038838i,0.0004825-0.00046299i,0.00025873+0.00022057i,-0.00011642+0.000367i,-0.00032318-0.00017381i,0.00010292-0.00028756i,0.00073322-0.0003113i,0.00065379-0.00039645i,0.00039464-2.1184e-05i,-0.00017157+0.00031949i,-6.1578e-05+0.0002837i,0.00050582-5.0107e-05i,0.00051643-0.00055566i,0.00057345-0.00049035i,0.00053436+8.6106e-05i,-5.1778e-05+0.00019825i,-9.9394e-05+0.00012105i
-2.4174e-05+0.00090674i,0.00051918+0.00022086i,0.00030166-0.00019635i,-0.00013939+0.00070736i,-0.00064863+0.0015276i,-0.00019002+0.0016694i,0.00048086+0.00054201i,0.00049936-0.00052254i,0.00016988-0.00035052i,-0.00048832-0.00047712i,-0.00060156-0.00066708i,-0.00059921+0.00049178i,-0.00082565+0.001211i,-0.00044484-1.4641e-05i,-0.00024668-0.00041629i,-0.00049424+0.00015117i,-0.0012045+1.9727e-05i,-0.00087445+2.5509e-05i,3.7919e-05+0.00036633i,5.7316e-05+0.00052922i,8.0013e-05+0.00081912i,0.00037833+0.00099297i,0.00028707+0.00025894i
-0.0011656-0.0022979i,-0.00062728-0.0020213i,-0.0014339-0.0017777i,-0.0021131-0.00026295i,-0.00097569+0.0022643i,0.00068265+0.0032377i,0.0016334+0.0023342i,0.0005564+0.00088777i,-0.00064786-3.8521e-06i,-0.0009965-0.00030572i,-0.00063651-0.00028635i,-0.00036147-0.0007323i,0.00074103-0.00035406i,0.0013298+0.00057226i,-1.5261e-05+0.00042445i,-0.00063298-0.0002417i,2.4652e-05-0.00064066i,0.00044887-2.1312e-05i,0.00034185+0.00092601i,0.00034885+0.00063539i,0.00027551+0.00078471i,0.00028073+0.0012932i,0.00068596+0.00067889i
0.0015535+0.001139i,0.0026083+0.00044781i,0.0023499-0.00046425i,0.0018464-0.0001943i,0.0014148-0.00058727i,0.0017797-0.001262i,0.0017761-8.8052e-05i,0.001613+0.00058694i,0.0013563+0.00040682i,0.00065548-3.7407e-05i,0.00014766-0.00042033i,-0.0010785+0.00017614i,-0.0019265+8.3703e-05i,-0.00076332-0.00023553i,0.00022815-0.00024375i,0.00013092-0.00030563i,-0.00011015-0.00051584i,-0.00071364-0.00060189i,-0.0010772-0.00057753i,-0.0003484-0.00045971i,4.7568e-05+7.6793e-05i,0.00065561+0.00032984i,0.00083129-8.8118e-05i
-0.000472+0.0023532i,-0.00062233+0.00289i,-0.00059526+0.0025506i,5.0669e-05+0.0010403i,0.0011404+0.0003469i,0.00097608-6.5916e-05i,0.00019668-0.00022997i,-0.00014694-0.00046993i,-0.00036042-0.0012685i,-0.00038918-0.00098513i,-0.00054136-0.00043665i,-0.00027249-0.00043553i,-0.00010028-0.00019946i,0.00020294-0.00019463i,0.00017132-0.00019709i,-3.4402e-06-0.00024964i,-5.6239e-05+7.3118e-05i,-0.00018418-5.622e-05i,-0.00044398-0.00054798i,-0.00031953+0.00030014i,-0.00031482+0.00059099i,-0.00072729-0.00080409i,-0.00019963-0.0011678i
-0.00029793+0.00031895i,-0.0007392+0.00070124i,-0.00031651+0.00045226i,-0.00053815+0.00041243i,-0.00091693+0.00032486i,-0.00094977+0.00059384i,-0.0010349+0.0012481i,-0.00048088+0.0011079i,0.00047339+0.00032394i,0.0002314+2.7869e-05i,-0.00018963-0.00085995i,-0.00054951-0.0014555i,-0.00052271-0.00051161i,-9.7418e-05-4.1204e-06i,0.00025185-0.00041837i,-3.0317e-07-0.00014642i,-0.00070002+0.00088839i,-0.00073919+0.00097711i,-0.00038309+0.00087253i,8.5167e-06+0.00063121i,0.00014381+0.00020866i,-0.0003741+0.000223i,-0.0003805+0.00010701i
-0.0016694-0.00015897i,-0.0018262-0.001539i,-0.0013252-0.0017923i,-0.0003003+0.00028323i,0.0005463+0.0011716i,0.0016374+0.00014471i,0.0019198-0.0005666i,0.0015596-0.00092101i,0.0014448-0.00084822i,0.0011023-0.00048206i,0.00040259-0.00043806i,0.00045956-0.00042813i,0.00054309-0.0007978i,0.00038783-0.00061684i,0.00020148-0.00090293i,0.00026228-0.00061856i,0.00034278-1.8462e-05i,-0.00052904-7.247e-05i,-0.00079005+6.7293e-05i,-0.00098388+0.00037468i,-0.00057824+9.3321e-05i,-1.9696e-05-4.7896e-06i,-0.00053743+1.5897e-05i
0.0029001+0.00023444i,0.0020484-0.00026896i,0.00083232+2.4335e-05i,0.0005963+0.00039681i,0.0011334+0.00038734i,0.0018287+0.0007354i,0.0013296+0.00078158i,0.00082015+0.00028003i,0.00029165+0.00039867i,-0.00078413+0.00019023i,-0.00064574-0.00013963i,0.0001372+4.168e-05i,0.00016724-7.5067e-05i,-1.6238e-05-0.00088717i,-2.9048e-05-0.0010229i,-5.1528e-05+0.00011257i,0.00023268+0.00091013i,0.00085976+0.00067258i,0.00098647+3.699e-06i,0.00049435-0.00045321i,0.00048318-0.00087041i,-0.00018221-0.00024948i,-0.0011891-7.9112e-05i
-0.00075608+2.9003e-05i,-0.001075-0.0002243i,-0.0015972+0.00023773i,-0.0014165+0.00017633i,-0.00033307-7.0151e-05i,-0.00018414-0.00027889i,-0.00058776-0.00024397i,-0.00030189-0.00013612i,0.00015357-9.4712e-05i,0.00022577-0.00023852i,3.2171e-05-0.00050101i,-7.0234e-05-0.00076438i,-0.00035134-0.00017912i,-0.00064091+0.00064264i,-0.0003862+0.00056005i,0.00012294-0.00025471i,0.00044395-0.00024963i,0.0005386-1.4236e-05i,0.00020586-0.00010048i,0.00024803-0.00017898i,0.00064163-0.00054226i,0.00097903-0.00028954i,0.00077596-0.0002093i
0.00076491+0.00015516i,0.00023706+0.00052053i,-0.00015531-0.00021821i,-0.00045393-0.00046777i,-0.001166+0.00028877i,-0.0014847+0.00098143i,-0.000262+0.00098478i,0.000737+0.00056581i,0.0010406+0.00031731i,0.00057648-0.00019441i,-0.00061374-0.00018751i,-0.00061239+0.00033613i,-0.00044393-0.00021301i,-0.00023042-0.00015445i,-0.00043919+1.1094e-05i,0.00082753-9.7558e-05i,0.0016395-0.00056876i,0.00083826-0.00088799i,0.00065179-0.000455i,0.00065621-0.00028714i,0.00047734-0.00038827i,7.49e-05+0.00041037i,-5.5441e-05+0.00042135i
0.0010413-0.0017852i,-0.00086583-0.0025571i,-0.0014769-0.0027578i,-0.001929-0.00048281i,-0.00085972+0.0010927i,0.00079424+0.0018144i,0.0010362+0.001822i,0.0012801+0.00053341i,0.00076438-0.00066654i,0.00036732-0.00089677i,0.00053985+0.00059032i,0.0005704+0.0017768i,0.00071324+0.0017623i,0.0010265+0.0020101i,0.0013534+0.0020612i,0.00091005+0.0011014i,0.00057567-0.00037687i,0.00022544-0.0010977i,0.00042718-0.0008254i,0.00038885-8.9777e-05i,-0.00046879+3.3714e-05i,0.0001719-0.00015068i,0.0013493+0.000129i
-0.00027765+0.0013645i,0.00106+0.0015321i,0.0016453+0.0016235i,0.0018707+0.00035949i,0.0021429-0.00019366i,0.00090955-0.0010437i,2.803e-05-0.001101i,-0.00016942+0.00061346i,-0.00019887+0.0003892i,-0.00012943+0.00017062i,-6.5447e-05+0.0002463i,-0.0004827-0.00077566i,-0.001051-0.00070984i,-0.0010481-0.00066778i,-0.0010737-0.00039498i,-0.00026985+0.00038259i,0.00040652+0.00058915i,-3.2796e-05+0.00061378i,-7.9411e-06+0.00040207i,0.00032899-0.00021794i,0.0001918-0.00065183i,-0.00032095-0.00078196i,-0.00061659-0.00034111i
0.0012678-0.00047387i,0.0010919-0.00042074i,0.00013702+0.00024895i,0.00062814-0.00018035i,3.7609e-05-0.00056895i,-0.0010141-0.00061329i,-0.0006145-0.00040003i,-0.00035225-0.00015009i,-0.00041964-1.8833e-05i,-0.0010076-0.00030454i,-0.0011853-0.0003885i,-0.00081961-0.00030293i,-0.00038049+0.00019181i,-0.00077552+0.00083211i,-0.00040502+0.00064675i,0.00046889+1.2903e-05i,0.00055148-0.0010055i,0.00025614-0.0011224i,-8.5491e-07-0.0011793i,0.00021492-0.00077803i,6.8633e-05-0.00020842i,-0.00024859-0.0001351i,-0.00017467-0.00053446i
0.00056026-0.0008714i,0.0012508-0.0014883i,0.0010002-0.0012088i,-0.00068584-0.00024871i,-0.0015644+0.00028598i,-0.0011943+0.00052143i,-0.00038752+0.0002139i,0.00012706+0.00047585i,-0.00020797+8.2519e-05i,-0.00013675+0.00038843i,0.0002076+0.0021166i,-0.00028829+0.0017268i,0.00019117+0.00032043i,0.00091678-0.00012803i,0.00068282-0.00015678i,-1.6046e-05+0.00049001i,-0.00052005+0.00077252i,-0.00047127+0.00054126i,-0.00036078-0.00018025i,-0.00091058-0.00024356i,-0.00097854+0.00019486i,-0.0005922+0.00067916i,-0.00029224+0.0012314i
0.00036119+0.0016757i,-0.00034558+0.00079152i,-0.0004246+0.0011048i,0.00049595+0.0011427i,0.00074501+0.00071583i,0.00054662+0.00027928i,0.00084326+0.00080705i,0.00095839+0.0021275i,0.00033376+0.0021031i,5.9673e-05+0.0010265i,-0.0007476+0.000354i,-0.0011489+0.00010474i,-0.00033984-0.00080448i,-0.00076214-0.0017404i,-0.0012797-0.0010594i,-0.00023996-0.00022958i,0.0005957-0.00020259i,0.00086344-0.00013621i,0.0007674+0.00065763i,0.00032443+0.0012494i,0.00066575+0.00038908i,0.00038871-0.00081965i,-0.00045336-0.0012023i
9.8114e-05+2.571e-05i,-0.00096708-0.00079521i,-0.0017125-0.0012739i,-0.0020339-0.001652i,-0.0014546-0.0017687i,-0.00016598-0.00060441i,0.00054554-5.7453e-05i,0.00090227-0.00023087i,0.00042942-0.00084109i,-4.9984e-05-0.00067622i,-0.00045417+0.00046777i,-0.00058206+0.00068315i,-0.00046304+0.00043991i,5.4527e-05+0.00021385i,0.00047458+5.4554e-05i,0.00030389+0.00031589i,0.00031683+0.00016233i,0.00046183-0.00052546i,0.0003361-0.00020942i,-0.00020135+0.00016292i,3.7345e-05+7.1995e-05i,3.4729e-06-0.00011125i,-0.00057645-0.00034668i
4.6898e-05-0.00084813i,0.00058124-0.0016327i,0.00067453-0.0022259i,0.0006292-0.00099713i,0.00014333+0.00058129i,-0.00075129+0.00043745i,-0.00089738+0.00028128i,-0.00017845+0.00020014i,0.00037126-0.0001873i,0.00059062-0.0003666i,0.0006189-0.0004305i,-6.2648e-05-0.00032154i,-0.00054598+0.00029263i,-0.00048262+0.00079797i,0.0003621+0.00051848i,0.00046531+0.00035874i,1.6366e-05+4.2388e-05i,0.00016623+0.00087312i,-0.00018554+0.00099233i,-0.0005008-8.4856e-05i,-0.0010407-0.00055013i,-0.00077772-0.00016865i,0.00033509+0.00095281i
-8.4232e-05-0.00025436i,0.0001223+2.4057e-05i,-8.4916e-05+8.545e-05i,0.00014857+5.2995e-06i,0.00087785+0.00098442i,0.00015633+0.00058457i,-0.00090119-1.1908e-06i,-0.00047493+0.00029973i,0.00079234+0.00096971i,0.0013177+0.00094111i,0.00077073+0.00030319i,0.00031981-8.0227e-06i,0.00022217-0.00036929i,0.00045259-0.00055698i,0.001384-9.8923e-05i,0.001402+0.00039106i,0.00060366+0.00088521i,-0.00011675+0.0008828i,-0.00025073+0.00051197i,-5.6997e-05+0.00011022i,-0.00054348+0.00042841i,-0.0012311+0.00017833i,-0.0008975-0.00050701i
-0.00020672-0.0018833i,-9.1958e-05-0.0017051i,-0.0016116-0.0010767i,-0.0019351+0.00048062i,-0.00083745+0.0015237i,0.00076483+0.001865i,0.00095319+0.0010122i,0.00078177+0.0004277i,0.0008157+0.00023522i,-1.2947e-05+0.00061143i,-0.00096011+0.0010368i,-0.0011821+0.0011058i,-0.00036759+0.00086521i,-0.0002169+0.00039083i,-0.00063836+0.00012829i,-9.6091e-05-0.0001148i,0.00049867-0.00025733i,0.00069312-0.00014938i,-6.1006e-05-0.00026855i,-0.00038237-4.6128e-05i,-0.00037875-0.00018751i,-0.00056563-0.00051656i,-0.00093497-0.0002546i
-0.00086266+0.0019381i,-0.000255+0.0018515i,0.00012669+0.0017907i,0.0009426+0.0023074i,0.001413+0.0016455i,0.00055499+0.00075334i,0.00018176+0.00044531i,0.00044795-0.00040872i,-0.00011225-0.00060433i,-0.00015172-0.00090891i,0.00016126-0.0012545i,-0.00054664-0.00086631i,-0.00087191-0.00026745i,-0.00038984-0.00019494i,0.00028252+0.00038379i,0.00033336+0.00085995i,0.00056363+0.00040337i,7.5998e-05-0.00046053i,-0.0013146-0.00040459i,-0.0014767+0.00018177i,-0.00045555-7.4912e-05i,-0.00010519-0.00030874i,7.6778e-06+6.7402e-06i
