-0.0020148+0.0011497i,-0.00092469+0.00034406i,-0.00061925+0.0016423i,-0.00044667+0.0027747i,0.00046953+0.0028984i,0.00040775+0.0026637i,0.00035147+0.0015044i,0.00082519-5.3178e-05i,0.00057227-0.00033542i,0.0003514+0.00012621i,0.00033955-0.0003323i,0.00011754-0.00070235i,-0.00040125+2.5103e-05i,-0.00076231+0.00047211i,-0.0003382+0.00053743i,0.00043505+0.0005046i,0.00036385+0.00030479i,-0.00068452+0.00059078i,-0.00070993+0.00087301i,0.0003163+0.00016581i,0.00096265-0.00062329i,0.00027192-2.493e-05i,-7.6177e-05+0.0004064i
-0.00071083+0.0024114i,-0.0011328+0.0025112i,-0.0011017+0.0015265i,-0.00020307+0.00047878i,0.00057184-0.00018654i,0.0016315-0.00011464i,0.0012423+5.7897e-05i,0.0010766+0.00031582i,0.0015855+0.00068562i,0.00089956+0.00093327i,0.00066746+0.00021016i,0.00087899-0.00099828i,0.00015528-0.00071795i,-0.00071583-0.00050604i,-0.00079901-0.00033528i,-0.00045517-0.00011669i,-0.00034536-0.00030243i,-0.00057521+9.1698e-05i,-0.00010912-5.223e-05i,0.00038807-0.00058092i,0.00086038-0.00025334i,0.00056734+0.00028242i,0.00019539+0.00026235i
0.0014727+0.00033061i,0.0010189-0.00079803i,0.00089903-0.00092374i,0.00027289-0.00055134i,-8.323e-05-0.00029048i,-0.00037378-0.00024247i,-0.00014011-0.00096825i,0.00016303-0.00096455i,0.00011227-0.00069153i,0.0007798-0.00043195i,0.00064381-0.00027709i,-0.00028967-0.00075236i,-0.00027583-0.00034203i,-0.00082626+0.00024086i,-0.0010756+0.00019424i,5.5298e-05+0.00087912i,0.00021678+0.00047182i,-7.9719e-05-0.00021526i,-0.00039941-0.00093585i,-0.00014567-0.0011572i,0.0004822-0.00048514i,0.00043055-0.00035899i,-7.7342e-05-0.00084637i
0.00083459-0.00060359i,0.00044466-0.0011095i,2.7561e-05-0.00063956i,-0.00051396+0.00036383i,-0.00013522+0.00058588i,0.0005186+0.00027486i,0.00064334+0.00014957i,0.00069224+4.517e-05i,0.0010774-0.00038883i,0.00075313-0.00060473i,0.00025271-2.5574e-05i,-1.2596e-05-0.00010609i,-0.0004931-0.00044971i,-0.0001164-0.00012449i,0.00030155-3.3882e-05i,0.00030936+0.00013301i,-0.00010176+0.0010149i,-0.00074676+0.0014311i,-0.00080974+0.00099676i,-0.001105+0.00015416i,-0.0017717-0.00083272i,-0.0014247-0.00093193i,-0.00068328+0.0002116i
0.00037848+0.00065307i,0.00017172+0.00050958i,0.00093084+0.00052548i,0.0012254+0.00026248i,0.0011929-0.0004224i,0.0010748-0.00025663i,0.0010302-5.7089e-06i,0.00088334-0.00013397i,0.00049039-0.00096938i,0.0001173-0.00054521i,0.00026122+0.00055698i,0.00038162+0.00080602i,-8.3942e-05+0.00011723i,6.0115e-07-0.00038971i,0.00036126-0.00044688i,-0.00034182-0.00064017i,-0.0004442-0.00057062i,0.00027573-4.547e-05i,0.00027696-0.00016706i,-0.00017392-0.00093399i,-4.4491e-05-0.0011321i,0.00032337-0.0013137i,0.00046873-0.00093026i
0.0021392+0.00046028i,0.0022834+0.0004876i,0.0012104+0.0004084i,-1.4454e-05-0.00027033i,-0.00067977-0.00010658i,-0.00070621+0.00011995i,-0.00035055-0.00037865i,0.00059814+0.00016292i,0.0010579+0.0005626i,0.00092495+5.88e-05i,0.00062477-0.00031869i,0.00071135+1.0177e-06i,0.0001798+0.00084391i,-0.00099256+0.0015255i,-0.00046257+0.0015695i,0.00020299+0.0011228i,0.00037544+0.00051708i,0.00027982+0.000337i,0.00013126-0.0001415i,0.00029063-0.00029769i,-0.00023587+0.00050925i,-0.0005509+0.00053239i,-4.7204e-05+2.0317e-06i
0.0012922+0.0022837i,0.0012029+0.0014005i,0.0014362+0.00093589i,0.0011715+0.00085979i,0.00072037+0.00057837i,0.0011768+0.00046208i,0.0013401-0.00014854i,0.00093755-0.00046885i,0.0010413-0.00055946i,0.0014407-0.00049933i,0.00079133-0.00023538i,-0.0011805-0.00068909i,-0.0019747-0.0002524i,-0.0012157+0.00013718i,-0.0010133-0.00024772i,-0.00081868-0.00033462i,0.00021733-9.7864e-05i,0.0005759+0.00036834i,-0.00049371+0.00070312i,-0.00073247-8.9819e-05i,-1.2173e-05+1.0323e-05i,0.00027178+0.00039784i,3.5089e-05+0.0004165i
-0.00083328+0.00018009i,0.0002674+0.00053571i,-0.00071283+0.00095689i,-0.0015551+0.0013439i,-0.00049718+0.0018904i,0.0001377+0.00088185i,0.00051131-0.00018695i,0.0008141-0.00018621i,0.00032833+0.000255i,-0.00027261+0.00069363i,-0.00060116+0.00031771i,-0.0012969-0.00037601i,-0.0012327-0.00081751i,-0.00038453-0.0004384i,-0.00010499-0.00017609i,-0.00049609-0.00019394i,-0.0010953-0.00025352i,-0.0013194-3.577e-05i,-0.001104+5.6388e-05i,-0.00044676+0.00011072i,5.404e-05+0.00045607i,-0.00012736+0.00031468i,-0.00064708+0.00039453i
0.00046969-0.0002765i,-7.839e-05-0.0011296i,0.00013983-0.001471i,-0.00080891-0.0012569i,-0.00033807-0.00011083i,0.00026516+0.00053799i,-4.7506e-05+0.00040655i,-0.00016717+0.00014481i,-0.00019665-0.00014572i,-0.00019642+0.00038294i,-0.00069568+3.7468e-05i,-0.0010858-0.00099894i,-0.00054283-0.00083129i,-0.00010266+0.00039797i,0.00045092+0.00057106i,0.00034597+8.8096e-05i,-0.00023528+0.0001671i,0.00029385+0.00015262i,0.0002932+7.4393e-06i,0.0001313-0.00064185i,2.8062e-05-0.0012174i,-0.0010333-0.0011691i,-0.00046131-0.00089431i
0.0018645+0.00082909i,0.0010855-0.00040673i,0.00063106-0.0010354i,0.00050818-0.0010605i,0.00013448-0.00084989i,0.00010482+0.00039817i,0.00056092+8.2602e-05i,0.0010225-0.0007482i,0.0010107-0.0005489i,0.00048145-1.4268e-06i,1.827e-05+0.00014464i,-0.00021794-0.00020378i,-0.00053257-5.0821e-05i,-0.00041157+0.00021208i,-0.00038885+0.00038394i,-0.00039536+8.8964e-06i,-8.1504e-05-0.00026427i,-2.3116e-05+8.7215e-05i,0.00015939+0.00025714i,-0.00025106+0.00014813i,-0.00079438-0.00044162i,-0.000241-0.0011684i,7.739e-05-0.0011854i
0.0010059-0.00036982i,0.00080953-0.00026186i,0.0007201-0.001548i,0.00011634-0.0023222i,-6.9834e-05-0.00073789i,0.00096798+1.0792e-05i,0.0012297-0.00046417i,0.00090482-0.0014602i,0.001107-0.0024605i,0.0013136-0.0015589i,0.00081171+0.00016855i,-2.224e-05+0.0011156i,-0.0010083+0.00049645i,-0.00068045-0.00043166i,0.00077769+0.00021516i,0.0002303+0.00080883i,-0.00048254+0.00037954i,0.0004343-0.00019898i,0.00095579-1.7145e-05i,0.0011789+0.00025721i,0.00088652+6.5022e-05i,3.4147e-05+1.0514e-05i,-0.00019622+4.8789e-05i
