-0.0026008+0.00093511i,-0.0032709-8.6286e-05i,-0.0047443+0.00042212i,-0.0045036+0.0022189i,-0.0036627+0.0034692i,-0.0023674+0.0039764i,-0.00085042+0.0035436i,-0.00051821+0.0024063i,-0.00033786+0.0012635i,6.084e-05+0.00032749i,-0.00014626-0.000138i,-0.00065669+4.8723e-05i,-0.00054581-2.1529e-05i,-0.00059651-0.00033467i,-0.00038959-0.00040271i,-0.00084433-0.00069956i,-0.0011477-0.00098616i,-0.00070674-0.00063616i,-0.00065308-0.00041993i,-0.0008576-0.00044702i,-0.0011633-0.00081783i,-0.00017611-0.00096116i,0.00066374+0.00028375i
-0.00026487-0.00095866i,-0.0026366-0.0013838i,-0.004684-0.0011085i,-0.0045616+0.00074007i,-0.0038874+0.0013248i,-0.0019484+0.00079561i,-6.7198e-05+0.0014602i,-5.7931e-05+0.00080742i,0.00011378-0.00050202i,-0.00027459-0.00075071i,-0.00075797-0.00038876i,-9.9307e-05+0.00092619i,0.00042347+0.001431i,0.00016725+0.00063028i,0.00060803-0.00019915i,0.0011961-0.0003904i,0.0005195+0.00032988i,-0.000277+0.000122i,-0.00021777-0.00062442i,5.7988e-05-0.0002578i,-0.00044638+0.00011982i,-0.00058882-0.00023107i,0.00027138-0.00023073i
-0.00093732-0.0013617i,-0.0032115-0.00036781i,-0.0046497+0.0014189i,-0.0045071+0.0025425i,-0.0033714+0.0030777i,-0.0013777+0.0029601i,-2.7725e-05+0.0016943i,0.00025763+0.0007137i,0.00036268+0.00022863i,1.4427e-05+6.5222e-05i,-0.00031773+0.00025626i,-0.00021157-1.8613e-05i,0.0001977-0.00012826i,-3.6819e-05+0.0011544i,-0.00078599+0.0015597i,-0.00084277+0.00045027i,-6.9814e-05-0.00020504i,0.00014161+0.00010079i,0.00085237+0.00019776i,0.001623+0.00065258i,0.00064764+0.00056449i,-0.00014055-0.00028868i,-5.1822e-06-0.0011386i
-0.0017312-0.00046155i,-0.0035368-0.002127i,-0.0046374-0.00078365i,-0.0037958+0.0018669i,-0.0022203+0.0028622i,-0.0012182+0.0021995i,0.00016153+0.0010101i,0.00081843-0.00023212i,0.00064118-0.00065823i,0.00056699-0.00013817i,0.00030544+0.00038157i,-7.2128e-05+0.00016892i,-0.00098131-0.00064433i,-0.0011428-0.00085708i,-0.00072937-0.00012961i,-0.00034798+0.0004332i,-0.00010753+0.0010252i,-0.00035741+0.0010737i,-0.0001823-0.00011807i,0.00050234-0.00020513i,5.7744e-05+0.00045537i,-0.0011207+0.00069147i,-0.00091669-0.00023157i
0.0021971-0.00078092i,-0.000168-0.0009958i,-0.0026708-0.00040761i,-0.0036451+0.00089897i,-0.003047+0.0008445i,-0.0018372+0.00069527i,-0.00049038+0.0012591i,0.00062506+0.0008648i,0.00051281+0.00042795i,-0.00050825+0.00024354i,-0.0011297+0.00021893i,-0.00084701-0.00014667i,-0.00073029-0.00050424i,-0.00077152+0.00058064i,-0.00041386+0.0011638i,0.00027393+0.00097177i,-0.00048783+0.00086513i,-0.00060152-8.3571e-05i,0.00045185-0.00054455i,0.00047349-0.00054002i,0.00017731+3.2211e-05i,0.00043502+0.0004868i,0.00086217+0.00034078i
-0.0027364-0.0025619i,-0.0043137-0.0021508i,-0.0050081+0.00023051i,-0.0040141+0.0032611i,-0.0028121+0.0042552i,-0.0016922+0.0031104i,-0.00052783+0.0013382i,0.00038876+0.00069713i,0.00045875+0.00027747i,-0.00033397-0.00033518i,-0.00052721-0.00021398i,-0.00029772+0.00029155i,6.6719e-05+0.00055494i,0.0003805+0.00032332i,-0.00041677-0.00013188i,-0.00056538-2.5843e-05i,-0.00034729+0.00082622i,-0.0011801+0.00070661i,-0.00079944+0.0001223i,-0.00040003+8.1553e-05i,-0.00099281-0.00011499i,-0.001672-0.00037303i,-0.0014606-0.00046888i
-5.8995e-05+0.0035228i,3.5594e-05+0.002174i,-0.0014028+0.002503i,-0.002173+0.0026061i,-0.00075157+0.0012706i,0.00016798+0.00044423i,0.00010519+0.0005751i,7.1357e-05+0.00022516i,0.00057871-0.00048847i,0.00018443-0.0009717i,-0.0010138-0.00093899i,-0.00093184-0.00084343i,-0.00050212-0.00049404i,-0.00026176+9.3784e-05i,0.00023638+5.235e-06i,0.00058601-1.8264e-05i,0.0010102+0.00012775i,0.00058972+0.00038365i,5.5598e-05+0.00050924i,-7.3426e-05-0.0001111i,9.0041e-06+0.00019821i,-0.00032133+6.3015e-07i,-0.00040356-0.00035532i
-0.0017634-0.00088411i,-0.0032936-0.0019025i,-0.0046928-0.0011614i,-0.004379+0.0012748i,-0.0029001+0.0023243i,-0.0017507+0.0023813i,-0.00072532+0.0017295i,0.00030401+0.00098094i,0.00041719+0.0002409i,-0.00027287-7.6545e-05i,-0.00017775-4.2321e-05i,0.00026833+0.00021321i,-0.000271+0.00016761i,-4.361e-05-0.0003011i,0.00050563-0.0001463i,0.00081406+0.00022709i,0.0011635+0.00063194i,0.00012809+0.0005187i,-0.00070359+0.00048219i,-0.00018093+0.001017i,-4.1139e-05+0.00030271i,0.00019703-0.0007541i,0.00064152-0.00054925i
-0.002291-0.00050646i,-0.0035585-0.0010238i,-0.0051772+0.0016905i,-0.0045271+0.004128i,-0.0025815+0.0044097i,-0.00061347+0.0029022i,0.0008667+0.0013498i,0.0008922+0.00041894i,0.00050193+0.00011009i,0.00082115+0.00018471i,0.00097778-0.00029492i,0.00038802-0.00065517i,-0.00022386-0.00030039i,-0.00058792-0.0007312i,-0.00026399-0.00079593i,-3.4233e-05-0.00027603i,-0.00011243+0.00054055i,0.0002316+0.0006233i,0.00011327+0.0005766i,0.00012923+0.0015025i,-0.0003836+0.0012918i,-0.00059675+7.4379e-05i,-4.4475e-05-0.00065536i
-0.0019345+0.0035975i,-0.0041223+0.002037i,-0.0038722+0.0013501i,-0.0024784+0.0018561i,-0.00080148+0.0013746i,-0.00010938+0.00039457i,-0.00042073-0.00049521i,-0.00034102-0.0010071i,-1.4669e-05-0.00018053i,0.00025497+0.0014859i,0.00034478+0.001597i,-0.0001555+0.00061799i,-0.00055834+6.1695e-05i,-0.00029679-0.00011001i,0.00045637-8.1333e-05i,0.00025491-0.00039252i,-0.00025887+1.2945e-05i,-0.00052398+0.0012405i,-0.00094467+0.0006086i,-0.00027916-0.00047342i,0.00044724-0.00018266i,-6.1792e-05+0.00023053i,-0.0002267+0.00015594i
0.00011758-0.00049158i,-0.0014835-0.00077816i,-0.0030359-0.00038652i,-0.0034374+0.0013211i,-0.0028327+0.0023202i,-0.00139+0.001712i,-0.0003991+0.0008704i,0.00025338+0.00040326i,0.00054538+0.0005051i,-0.00010221+0.00046744i,-0.0010554+0.00026791i,-0.0011026-0.00014738i,-0.00082911+0.00019932i,-0.00068215+0.00080329i,-0.00045703+0.00077769i,-3.9427e-06+0.00086178i,9.21e-05+0.00065456i,-0.000386+0.00034223i,9.9365e-05+7.645e-05i,0.000666+0.0003068i,7.2491e-05+0.00030424i,-0.00052028-0.00039888i,0.00024498-0.00031665i
-0.0020123-0.0012372i,-0.0048734-0.0021062i,-0.0060341-0.0010087i,-0.0046783+0.00031137i,-0.002599+0.00089682i,-0.0016892+0.0013009i,-0.00031776+0.00098891i,0.0012254+0.00048757i,0.00092818+0.0003874i,-0.00049101+3.3096e-05i,-0.0010418-2.6069e-05i,-0.00071494+0.00044175i,-0.00063246+2.8108e-05i,-0.00051816-0.00028452i,-0.00044138-6.7953e-05i,-0.00035184-0.00022273i,-0.0005166-0.00042638i,-7.9775e-05-0.00048014i,-3.9481e-05-0.00061359i,-0.00028796-0.00067531i,-0.00011936-9.3666e-05i,-0.00024672-0.00013188i,-0.00075828-0.00091235i
-0.0016851+0.00036439i,-0.0031839+0.00017604i,-0.004981+0.0017683i,-0.0043336+0.0031651i,-0.0025254+0.0038692i,-0.00086459+0.0036997i,0.00011926+0.0017277i,0.00013009+0.00026408i,-0.00028871-0.00021505i,-0.00060573-0.0001416i,-0.00076693+0.00057071i,-0.0002027+0.0010121i,0.00022725+0.00040592i,0.00051159-0.00032611i,0.00080257-0.00050923i,0.0002735+0.00021951i,-0.0001981-0.00015623i,-0.00011237-0.00077157i,-0.0001102-0.00070325i,0.0005801-0.00078838i,0.00097615-0.00048564i,0.00028027-0.00023029i,2.3718e-05-0.00017389i
-0.00062419+0.0015346i,-0.0024519-0.00058313i,-0.0035319-0.00020006i,-0.0027112+0.0011303i,-0.00098191+0.0015747i,0.00022975+0.0015126i,0.00029723+0.00092722i,4.0499e-07-6.0951e-05i,-0.00038065-0.00060885i,-0.00060865-0.00090776i,-0.0010506-0.00096782i,-0.0010391-0.00039105i,-0.0004279+0.00017753i,5.4023e-05+0.00058197i,-4.2481e-05+0.00088159i,-0.00052453+0.00064875i,-0.00063201-6.8774e-05i,-4.4272e-05+3.3426e-05i,0.00053383-0.00028487i,0.00046951-0.0010993i,0.00058594-0.00052771i,0.00024749+2.0124e-05i,-0.00065615-0.00015441i
-0.00034668+0.00076063i,-0.0017225-0.00010189i,-0.0030247+0.00066613i,-0.0028044+0.0015i,-0.0010962+0.0013978i,-0.00030668+0.00085492i,-8.4987e-05+0.00010976i,0.00052319-0.00039785i,0.00012267-0.00011164i,7.7561e-05+0.00062773i,-8.8683e-05+0.001283i,-0.00074581+0.0014963i,-0.00078228+0.00049475i,-5.5752e-05-0.00065539i,-0.00030244-0.00087425i,-0.00016555-0.00079489i,0.00041914-0.000579i,0.00063764+8.5228e-05i,0.000638+0.00024714i,0.00054736-0.00060764i,-0.00013045-0.00059258i,-0.00038551-0.00011687i,0.00036486+0.00025904i
-0.0011875-0.0010193i,-0.0041409-0.0016177i,-0.0054181-7.8278e-05i,-0.005208+0.0018914i,-0.0039911+0.0016725i,-0.0024291+0.0015208i,-0.00063954+0.0011945i,0.00080788+0.00011194i,0.00094391+7.3654e-05i,0.0006225+0.00050923i,0.00016412+0.0010379i,-0.0007926+0.0012802i,-0.0010601+0.0012643i,-0.00053839+0.00087292i,0.00067816+2.6821e-05i,0.00013314-0.00014482i,-0.00088176+0.00079075i,-0.00074485+0.0015702i,-0.00027234+0.0013303i,-6.2746e-05+0.0010039i,-0.0003897+0.00058527i,-0.00012097-3.5558e-05i,0.00048573+0.00070041i
0.00080591-0.0010507i,-0.0012551-0.0015287i,-0.0033977-0.00095617i,-0.0043987+0.00095147i,-0.0039514+0.002231i,-0.0018833+0.0025314i,-1.6529e-07+0.0020571i,0.00063249+0.00096891i,0.00046863+0.00028113i,-0.00061098-0.00061863i,-0.0016601+0.00011608i,-0.00081202+0.00058232i,-0.00012243+0.00020255i,-4.852e-05+0.00010165i,-9.8575e-05-0.00051616i,0.00029547-0.00046427i,0.00041567+3.3926e-05i,-0.00035614-0.00012059i,-0.0004138-0.00038705i,-2.2467e-05-0.0003212i,1.3564e-06+1.7552e-05i,-0.00044497+0.00045729i,-0.00062609+0.00041069i
-0.0018102-0.0013939i,-0.0036095-0.001524i,-0.0061498-1.3888e-05i,-0.0058432+0.0018865i,-0.0040452+0.0029453i,-0.001384+0.0033335i,0.00053401+0.0026175i,0.00070021+0.00082731i,0.0004278+0.00014619i,0.00022467+0.00078652i,-0.00018201+0.00067619i,-0.00057736+0.00061048i,-0.0010986+0.00083692i,-0.0010233+0.00085508i,-0.00031479+0.00030418i,0.00031869-0.00030258i,-0.00019439-1.3118e-05i,-0.00030803+0.00014492i,2.1499e-05-0.00075039i,0.00055192-0.00083675i,-0.00014815+0.00023477i,-0.00054953+0.00018162i,-0.00010055+0.00020302i
-0.0015812+0.0016849i,-0.0038363+0.0001168i,-0.0042888+0.00034204i,-0.003412+0.0014103i,-0.0017916+0.0008598i,-0.00014141+0.00050004i,0.00061767+0.0011124i,0.00022157+0.0005171i,-0.00058991-8.5184e-05i,-0.00049665+0.00020862i,-0.00070775+0.0006383i,-0.0011948+0.00027079i,-0.0009548-0.00010623i,-0.00051274+0.00033919i,-0.00019914+0.0005963i,-0.00010855+0.00037551i,-0.00080845-0.00024293i,-0.0011289-0.000525i,-0.00084027-0.00013747i,-0.00057616-0.00025445i,-0.000186-0.00015378i,-0.0002221+0.00023679i,0.00051786+0.00036264i
0.00089266-4.0826e-06i,-0.0017351-0.00084324i,-0.0045426-0.00022593i,-0.0043939+0.0013593i,-0.0028514+0.0012346i,-0.0013892+0.0010754i,-0.00029586+0.001032i,0.00067341+0.00063017i,0.00041347-8.3243e-06i,-0.00071581-0.0010428i,-0.00048179-0.0009642i,-0.00031903-0.00040079i,-0.00069726-3.7117e-05i,-0.00052919+0.00014536i,0.0005193+0.00013334i,0.00060278-0.00023107i,-0.0008161-0.00030186i,-0.00029201+0.0006285i,1.4678e-05+0.00121i,-0.00051996-0.00010089i,-0.00018982-0.001104i,3.5493e-05-7.8223e-05i,-0.00030083+0.00046282i
-2.9425e-05-0.00020807i,-0.0020028-0.00096727i,-0.003007-0.00064381i,-0.0028109+0.00057147i,-0.0016083+0.0011289i,-0.00063459+0.00157i,9.9612e-05+0.0014196i,0.0005411+0.00010191i,0.00041987-0.00016175i,0.00021811+0.000267i,-0.00022972+9.4566e-06i,-0.0006041+0.00013769i,-0.00047228+0.00028998i,0.00024569-2.9496e-05i,0.00066555-0.00048969i,0.00034359-0.00058839i,0.00026099-3.0126e-05i,-0.00040242+0.00013571i,-0.00083153-1.351e-05i,-3.722e-06+0.00024981i,-0.00021866+0.00024142i,-0.00042154+0.00011335i,0.0005114+0.00018456i
-0.0031998+0.00039617i,-0.0050096+0.00042752i,-0.0063279+0.0018866i,-0.0054356+0.0038352i,-0.0032683+0.0041264i,-0.0017331+0.0031778i,-0.00046107+0.0022307i,0.00043065+0.0019109i,-0.00018119+0.00069322i,-0.0011937+0.00041545i,-0.0011909+0.00039195i,-0.00031716-0.00017153i,5.788e-05-0.00045874i,4.8008e-05-0.0005259i,-0.00030234-0.00019296i,-0.00048119-0.00011111i,-0.00042468+0.00030216i,-0.00047066+0.0010047i,-6.5014e-05+0.00068122i,0.0004705+0.00031964i,-6.5016e-05+0.00048087i,-0.00082604-0.00028021i,-0.00092957-0.00068533i
0.0011934-0.00060757i,-0.00098343-0.0017429i,-0.0030337-0.000411i,-0.0024654+0.0020296i,-0.0015361+0.0026808i,-0.00098155+0.0023049i,0.00028269+0.001312i,0.00099171+0.00092347i,0.00054589+0.00042505i,6.1955e-05-0.00021921i,-0.00058455+0.00025881i,-0.00052109+0.00092228i,-0.00057323+0.0003294i,-0.00067782-0.00059282i,-0.00046151-0.0003138i,-0.00030085-0.00052341i,-0.00040837-0.00069903i,-0.00094854-0.0006044i,-0.00071129-0.0006627i,-0.00091425-5.0667e-05i,6.0334e-06+0.00024703i,0.00069979+0.00043135i,-0.00011135+0.0002345i
-0.0021861-0.0019244i,-0.0039452-0.0015801i,-0.0045804-0.00081892i,-0.0041136-9.9082e-05i,-0.0031066+0.00039917i,-0.0021637+0.00081251i,-0.00092681+0.00083665i,0.00029642+6.0004e-05i,0.0001459-0.00071793i,-0.00094813-0.001426i,-0.0013237-0.0012803i,-0.00069316-0.00047536i,-0.00027256+7.9949e-05i,0.00010122+0.00033636i,-0.0003434+0.00031698i,-0.00080703-3.1606e-05i,0.00037287-0.00057326i,0.0012983-0.00043706i,0.00082586+0.0002656i,0.00036114+0.00072438i,0.00014028+0.00076712i,-0.00023548-9.5032e-05i,-0.00032118-0.00017436i
0.00081802+0.00037717i,-0.0013084-0.00016128i,-0.0035748+0.00066554i,-0.0043839+0.00081615i,-0.0035226-2.8365e-05i,-0.0021167-1.5369e-05i,-0.00091206+0.00075212i,-0.00037981+0.00042675i,0.0010173-3.6208e-05i,0.0018117-0.00014605i,0.00065107-5.4069e-06i,5.888e-05+0.00010458i,0.00027165-6.9715e-05i,0.00066196+0.00017073i,0.00044681+0.00060382i,-9.713e-05+0.00083318i,7.7712e-05+0.00026632i,0.00032346-0.00078373i,-4.9461e-05-0.00079661i,-0.00056039-0.00073114i,-0.00078288-0.00016808i,0.00012978-0.00026804i,0.00030168-0.00041743i
-0.00012277-0.00049121i,-0.002551-0.00095472i,-0.0042398-0.00041218i,-0.0031881+0.0015826i,-0.0018083+0.0020271i,-0.001346+0.0012756i,-0.00099839+0.00079467i,-0.00092979+0.00044657i,-0.00075681+0.00068504i,-0.00022697+0.00069261i,-0.00030152+0.00096135i,-0.00075365+0.0010006i,-0.00030527+0.00079758i,2.8873e-05+0.00055529i,8.1184e-05-4.3249e-05i,0.00030121+0.00010927i,0.00027835+0.00055218i,-0.00014382+0.00064085i,-0.00041871+0.00032618i,-0.00046913-0.00040649i,-0.00058702-0.00034249i,-0.00058037+9.4207e-05i,-0.00057051+9.504e-05i
-0.0013879-0.0016272i,-0.0030982-0.0023134i,-0.0040652-0.0016436i,-0.0043007-0.00026601i,-0.0040059+0.0015788i,-0.0021976+0.0023934i,-0.00046225+0.0013301i,1.5895e-05-6.8502e-05i,-0.00074649-0.00049804i,-0.0008278-0.00066042i,-0.00049504-0.0006232i,-0.00044986+0.00063456i,1.1755e-05+0.00034607i,-5.9611e-05-0.00024337i,-8.3945e-06+0.0010734i,0.00072702+0.0017502i,0.00088944+0.00054903i,0.001087-0.00070318i,0.001149-0.0011533i,0.00072515-0.00084088i,3.0536e-05-0.00054715i,-0.00038227-4.1257e-05i,-0.0004515+0.00012935i
-0.0011818-0.001562i,-0.0028916-0.00091258i,-0.005104+0.00092453i,-0.0049543+0.0022354i,-0.0028954+0.0028799i,-0.0013195+0.0025667i,-0.00041022+0.0015419i,0.00056734-7.5637e-05i,7.4194e-05-0.00067791i,-0.00048068-6.3931e-05i,0.00023136+0.00067827i,0.00073469+0.0012845i,0.00029381+0.0011583i,-0.00024688+0.00095995i,-0.00011083+0.0012848i,-0.00019648+0.0011128i,-0.00067318+0.00076772i,-0.00051224+0.00056609i,-0.00013641+0.00062534i,0.00050146+0.00056494i,0.00085795+0.00030364i,0.00059616-0.00012308i,0.00058841-0.00029692i
0.00074344-0.00070147i,-0.0013772-0.0018547i,-0.002693-0.0017749i,-0.0022968-0.0013278i,-0.00062811-0.00038383i,0.0012626+0.00016957i,0.0017164+0.00023337i,0.001137-8.0749e-05i,0.00076521+0.00020225i,0.00032367-7.3469e-05i,-0.00019856-0.00068356i,-0.00015314-0.00090542i,-0.00030231-0.00053191i,-0.00042686+8.9329e-05i,5.8493e-05-0.00018608i,-0.00046529-0.0010183i,-0.00064189-0.00090751i,-0.00011129-0.00051058i,0.00025309-6.9477e-05i,0.00026396-5.8803e-06i,-0.00052165-0.00044938i,-0.00023817-0.00017057i,0.00088264+0.00082709i
-0.00093442+0.0015822i,-0.0032209+0.0013809i,-0.0051168+0.00075895i,-0.0055953+0.00044945i,-0.0041779+0.0012919i,-0.0023255+0.0021031i,-0.00025083+0.0019277i,0.00032878+0.00060863i,-0.0008282-2.2811e-06i,-0.0014459-0.00015609i,-0.0011357-4.0092e-05i,-0.0011981+0.00075837i,-0.0010123+0.00094483i,-0.00037653+0.00058282i,-0.00049737+2.7127e-05i,-0.0007656-0.00031907i,-0.00087306-0.00042748i,-0.0011232-0.0004751i,-0.00077178-0.00047011i,-0.00027389-0.00012556i,-0.00023602-3.0558e-05i,-0.00016834+0.00029697i,0.0004211+0.0006928i
-0.0039588-0.0024231i,-0.0042551-0.0021228i,-0.0048447-0.00093231i,-0.0031393+0.0011643i,-0.0021021+0.0031994i,-0.0013649+0.0033288i,0.00027975+0.0021759i,0.00074829+0.00095805i,0.00084791+0.00015563i,0.00052537-0.00054344i,9.2051e-05-0.00014872i,-0.00012598+0.00018049i,-0.00070507-0.00023171i,-0.00046172-0.00052988i,0.00015815-0.00021893i,0.00072124+0.00014555i,0.00098779-0.00015537i,0.00079793-0.00053122i,0.00040283-0.00045053i,-7.3715e-05-0.00040304i,-0.0005034-7.6543e-05i,0.00012999+8.1813e-05i,0.00069423-0.00011094i
-0.00056346-7.6766e-05i,-0.0026407+0.0001263i,-0.0040062+0.00069603i,-0.0038502+0.00071907i,-0.0024472+0.0013039i,-0.00046232+0.00068319i,0.0012269-0.00066308i,0.0014319-0.00076442i,0.00031655-0.00064614i,-0.00011057-0.00071118i,0.00036741+0.00014067i,-0.00018006+0.00042193i,-0.00089724-1.9877e-05i,-0.0016543+0.00010628i,-0.0014223+9.6406e-05i,-0.00039508-0.00019122i,-0.00039927-0.00055537i,-0.00098857-0.00040889i,-0.00070826-0.00019658i,-0.00047343-0.00026931i,-0.00021315+0.00012567i,-0.00011091+0.00050801i,-0.00032998+0.00056522i
