-0.0031646+0.00033061i,-0.001862-4.1674e-05i,-0.003245-0.00045235i,-0.0041003-0.00034707i,-0.0029371+0.00080621i,-0.0021551+0.0018849i,-0.0018456+0.0021686i,-0.00075037+0.0016496i,-0.0005269+0.00038132i,-0.00089155+0.00037507i,-0.00013119+0.00065312i,0.00054728-0.00013391i,-0.00011207-0.00039305i,-0.00054752+0.00018793i,-0.00024324+0.00029131i,0.00040823-0.00030228i,0.00087667-0.00018998i,0.00064881+0.00071958i,0.00025733+0.0009157i,0.00033468+0.00076124i,0.00058993-9.1673e-05i,0.00026157-0.00079378i,-4.6501e-05-0.00058243i
0.00065317-0.0004669i,0.00066387-0.0014956i,0.00011799-0.002327i,-0.00061331-0.0020155i,-0.00068471-0.0020528i,-0.00088332-0.0018616i,-0.001316-0.00068618i,-0.0013764-0.00084743i,-0.0011225-0.0012995i,-0.00076772-0.0011928i,2.1867e-05-0.0010336i,-0.00088613-0.00066154i,-0.0017142-0.00024255i,-0.0011485+9.1033e-05i,-0.00011052+0.00021691i,0.00076097+0.00066748i,0.00034393+0.00037003i,-6.3097e-05-0.00028553i,0.00014874-2.9132e-05i,0.0002722+6.9161e-05i,6.3408e-05-9.0247e-05i,-0.00020242-0.00046605i,-0.0001405-0.0004953i
3.1849e-05-0.00053007i,0.00061703-0.00016159i,0.00066703+9.635e-05i,-0.0001253+0.00027429i,-0.00099526+0.00070041i,-0.00070131+0.00019035i,-0.0001528-5.9605e-05i,-0.001197-0.00038174i,-0.0021542-0.0005711i,-0.0016996-0.00049462i,-0.0011799-6.1905e-05i,-0.00081194+0.00016848i,-0.000814+0.0006787i,-0.00073369+0.001281i,2.8475e-05+0.001201i,0.00077586+0.00033271i,0.0007197-0.00025756i,0.00063176-0.0002482i,0.00075447+0.0003848i,0.00048708+0.00083688i,0.00064481+0.00035509i,0.0010568+0.00045369i,0.00052302+0.00034142i
0.00051016+0.00056684i,-9.301e-05+0.0012018i,-0.0003106+0.0011658i,-0.00094663-0.00032094i,-0.0016682-0.00095558i,-0.0022845-0.00068883i,-0.0022426-0.0010715i,-0.0017226-0.001222i,-0.001615-0.00082471i,-0.0015251-0.00058764i,-0.00086923-0.00040637i,-0.0007561+4.686e-05i,-0.00098878+3.7197e-05i,-0.0008019+0.00045883i,-0.00026307+0.00087647i,9.4394e-05+0.00065145i,0.0003747+0.00027854i,0.00056589+0.0011344i,0.0011851+0.0018839i,0.00083948+0.0022385i,6.7221e-05+0.0012075i,0.0005456-0.00047682i,0.00037589+5.1239e-05i
-0.00016716+0.0013875i,0.00051535+0.00057442i,0.00015054-0.00011146i,-0.00011607-0.00058183i,-9.9804e-05-0.00112i,7.0403e-05-0.0013511i,-0.0001379-0.00078556i,-0.0016046-0.00055063i,-0.0025156-0.00075609i,-0.0013986-0.00087175i,-0.00018572-0.00038924i,0.00061545+0.00049687i,0.0003276+7.1937e-05i,-8.4993e-05-0.0010873i,0.00041212-0.00011962i,0.0002009+0.00028955i,0.00028622-6.7654e-05i,0.0006114+0.00043243i,0.00075294+0.0012816i,0.00051134+0.0011116i,0.00021103+0.00041966i,0.00039585+5.8243e-05i,0.00052592-0.00012282i
-0.00078817-0.00098061i,-0.00085473-0.00048919i,-0.00071133-0.001059i,-0.0012585-0.0006529i,-0.0012697+0.00057755i,-0.00048554+0.00075151i,-0.00020838+0.00022666i,-2.8881e-05-0.00058205i,-0.00030533-0.00042054i,-0.00098048+0.00036739i,-0.0010622+0.00015379i,-0.0012805-0.00035698i,-0.0012651-1.2932e-05i,-0.00041765+0.00058374i,-0.00036477+0.00078736i,-0.00053048+0.00016588i,-0.00032335-0.00026674i,-6.7246e-05-0.00021494i,-0.00017795+1.8763e-06i,-0.00037079+5.4241e-05i,8.4568e-05+4.8306e-05i,-0.00032377-0.00015854i,-0.00064771+0.00017216i
0.00022008-0.0015603i,-0.00017711-0.0017784i,-0.0018385-0.0019555i,-0.0024534-0.0019435i,-0.0021965-0.0014616i,-0.002096-0.00066543i,-0.0021731-0.00056012i,-0.0015078-0.00078906i,-0.0007861-0.00052156i,-0.0010027-0.00053276i,-0.00080167-0.00064773i,-0.00060257-0.00025618i,0.00025414+0.00042499i,0.00074081+0.00097239i,0.00056682+0.00035113i,0.00038727+5.6499e-05i,0.00014226+0.0001635i,0.00027908+0.00018674i,0.0002075+0.00062547i,-3.3252e-05+0.0010006i,0.00029086+0.00086307i,0.00044261+0.00090184i,0.00037818+0.00095852i
0.00071018-0.00059874i,0.00032195-0.0011194i,-0.0010163-0.0011758i,-0.0020769-0.00090902i,-0.0013694-0.00045352i,-0.00016443+9.9772e-05i,0.00010625-7.3025e-05i,-0.00081531-0.00037882i,-0.0017393-0.00047475i,-0.0012464-0.00031563i,-0.00064298+0.00013425i,-0.0010535+0.00034639i,-0.00097517-0.00024686i,-0.00015835-0.0001205i,-6.3868e-06+0.00056169i,6.3774e-05+0.0005009i,0.00049212+0.00030177i,0.0005682+0.00042115i,0.00032043+0.0008273i,-0.00025849+0.0012106i,-0.00052758+0.00022066i,-0.00035277-0.0013829i,9.8612e-05-0.00041359i
-0.0019298-0.0019683i,-0.0013031-0.0018877i,-0.0020177-0.0021245i,-0.0028409-0.0015545i,-0.0026603+0.00015573i,-0.001652+0.00079764i,-0.00081372+0.00036138i,-0.0011482-0.00051793i,-0.0013103-0.00060632i,-0.00071288-0.00013337i,-0.00032581-6.4057e-05i,-0.0004754+0.00063052i,-0.0013781+0.0013374i,-0.0012545+0.0015491i,0.00021835+0.0015259i,0.00078873+0.001553i,0.0003521+0.00087861i,-0.0008023+0.00039671i,-0.000483+0.00049421i,0.00023803+0.00068939i,-0.00022971+0.00063466i,-0.0011133+0.00051303i,-0.0010885+0.00043117i
-0.0007-0.00038002i,-0.00037972-6.3255e-05i,-0.00049132-0.00069013i,-0.0014021-0.00082457i,-0.0022693-0.00063614i,-0.00098826-0.00085474i,-9.2956e-05-0.00096751i,-5.1186e-06-0.001493i,3.8209e-05-0.0014444i,6.448e-05-0.00073509i,0.00012567-0.00075344i,0.00057864-0.00062628i,9.8471e-05-0.00012557i,-0.00061207+2.4863e-05i,-0.0002868+0.00066195i,0.00012622+0.00076176i,0.00041219+0.00071434i,0.00020406+0.00068624i,0.00026244+0.00095467i,-7.3599e-06+0.001037i,-0.00022944+0.00040451i,-7.4897e-05+0.00013721i,-0.00026207-3.1486e-05i
-0.00063024-0.0016022i,-0.0015742-0.0014405i,-0.0027649-0.00095002i,-0.0026687-0.00049044i,-0.0017246-7.6882e-05i,-0.001185-0.00035091i,-0.0011021-0.0013685i,-0.0010677-0.0011003i,-0.0017014-2.2302e-05i,-0.0017716+0.00027635i,-0.00090105+0.00065212i,-8.4294e-05+0.0010081i,-0.00013145+0.00074844i,-0.00070316+4.1395e-05i,-0.00017384+0.00023199i,0.00059956+0.00043794i,0.00059261+0.00070653i,-0.00064163+0.00079512i,-0.00096016+1.4237e-05i,0.00024045-4.0322e-05i,0.00076741+0.00012637i,0.00012005-0.0003099i,0.00060702-0.00030419i
