-0.00556-0.00095376i,-0.0038936-6.9428e-05i,-0.0036055+0.0016527i,-0.0019229+0.0025917i,-0.00027143+0.0031543i,-0.00023878+0.0027656i,-0.000551+0.0022557i,-0.00034819+0.0020897i,0.00075935+0.0016397i,0.002162+0.0013976i,0.0023823+0.0012396i,0.0014894+0.00018612i,0.00052819-0.0001126i,0.00034576+0.00071595i,0.00052195+0.00092901i,-3.4613e-05+0.0012696i,-0.00016711+0.0006459i,0.00097067-0.0003477i,0.00070678-0.00040594i,-0.00042237-0.0003079i,-0.00039168-0.00034767i,-0.0004383+6.3655e-05i,-0.00082763+0.00042104i
-0.0008608+0.00093165i,-0.00032425+0.0003502i,0.0007028-0.00020048i,0.0005353-4.9644e-05i,0.00051285-0.0007337i,0.00036173-0.0019156i,0.00020599-0.0011761i,0.00037145-0.00055867i,0.00089392-0.00063945i,0.0008003-0.00035187i,-0.00010154-0.00070791i,-0.00062702-0.0009521i,-0.00078954-0.00078926i,-0.00046044-0.00058996i,-0.00032024-0.00055439i,-0.00075243-0.0010061i,-0.00021042-0.00087499i,0.00028553+5.0313e-05i,4.7903e-05+0.00063424i,-0.00023721+6.4304e-05i,-0.00025074-0.00041145i,-0.00051008+0.00027401i,-0.00072018+0.00070605i
-0.0010784-0.00079505i,-0.0012943-0.00022919i,-0.0021824-2.3527e-05i,-0.0015498-2.9964e-06i,7.2726e-05+0.00012391i,0.00010037+0.00029063i,-8.3532e-05+0.00010218i,-0.00023931-0.00014488i,0.00014646+0.00046633i,0.0010593+0.0001959i,0.00074908-0.00062415i,0.00022827-0.00042099i,0.00044267+0.00083525i,0.00047676+0.0008532i,0.00046172+0.00098565i,0.00083225+0.0012806i,0.0013254+0.00087827i,0.0010272+0.00053066i,-0.00058395+0.00044119i,-0.00097029-0.000952i,-0.0002796-0.00093614i,7.515e-05-7.8578e-05i,0.00074235-0.0012512i
0.0010941-0.002575i,0.00063469-0.001535i,0.00040922-0.00035561i,0.00088325+0.001162i,0.00067428+0.0013963i,0.0006066+0.00031165i,0.00053546+0.00021189i,-1.5794e-05+6.118e-05i,-0.0011412-8.8717e-05i,-0.0011971-0.00017351i,-3.1685e-06-0.00051235i,0.00014285-0.00032608i,-0.00035897-0.00021454i,9.2163e-05+0.00019505i,0.00062964+0.00090332i,0.00040969+0.00098878i,0.00013378+0.0006781i,-0.00038826+0.00017785i,-0.00051943-0.00033129i,-0.00020349-0.00067972i,0.00022864-0.00054125i,0.00043594+0.00018636i,0.00023096+0.00021736i
0.0011314-0.000856i,0.0010619-0.0004401i,0.00057068-0.0003649i,-0.00025656-0.00016946i,-0.00039112+0.00032503i,-0.0002507-2.8537e-06i,0.00017806-0.00074052i,9.5138e-05-0.00064335i,-0.00022448-0.00065009i,-0.00024105-3.5592e-05i,-0.00030138+5.1228e-05i,-0.00020085-0.0004472i,-6.7191e-06-0.00042675i,-3.9144e-05-0.00053637i,-0.00019888-0.00044229i,-0.00018664+0.00030944i,-2.5331e-05+0.00033968i,-0.00030253+7.9432e-05i,-0.00040359+0.00034279i,-0.00027154+0.0005404i,-0.00033052+0.00034282i,2.2536e-05-1.4498e-06i,0.00030033-7.538e-05i
-5.7939e-05+0.0018095i,0.00020705+0.0016296i,0.0016528+0.00096807i,0.0024696+0.00014006i,0.0024535-0.00031949i,0.0017235-0.00053238i,0.00068514-0.00085222i,0.0003408-0.00063971i,0.00086055+0.00015858i,0.0014544+0.00053932i,0.00087291-8.0233e-05i,-0.00013416-0.0010372i,0.00035761-0.0014645i,0.0010585-0.0011006i,0.00024375-0.00046285i,-0.0001809+0.0001867i,0.00019177+0.00031204i,-6.7544e-05+0.00031576i,-0.00019537+0.00019233i,0.00038413-3.0973e-05i,0.00037121-7.6254e-05i,-5.479e-05-0.00014479i,-0.00065527-0.000427i
0.0011096+0.00068348i,0.00045954+0.00017164i,3.0906e-05+0.00030522i,0.00054319-6.9369e-05i,0.00048943-0.00016274i,0.0010216-0.00056803i,0.0014675-0.0014625i,0.0011036-0.0010487i,0.00084442+0.00039261i,0.00013189+0.0012036i,-0.00011354+0.00050718i,-0.00036296-0.0001425i,-0.00016172-0.0005121i,0.00075924-0.00065267i,0.00080272-0.00024908i,0.00067876-0.00031574i,0.00039366-0.00096169i,-0.0003668-0.0009193i,-0.00031784-0.00023236i,-0.00010026+0.00030595i,0.00025465+0.00038456i,0.00012806+0.0006437i,-0.00042291+0.00089853i
-0.00090471-0.00017582i,-0.0005901-0.00060266i,-0.00019762-4.6703e-05i,-0.00019452-4.0543e-06i,0.00016034-0.00016019i,2.078e-05-0.0005201i,-0.00011199-0.0015759i,0.00061426-0.0013645i,0.00086741+7.8933e-05i,0.00048636+3.6247e-05i,0.00037765-0.0014599i,-0.0001005-0.00099456i,-0.00018085-0.00012444i,0.00056375-0.00010683i,8.6905e-05-0.00052212i,-0.00036837-0.00063684i,-0.0004591-0.0002865i,-0.00073851+1.4506e-05i,-0.00037986+0.0006026i,-0.00018372+0.00072709i,0.00014204+0.00028786i,0.00036585+9.2794e-05i,4.2051e-05+3.0195e-05i
0.0010653-0.00032513i,-0.0003208-0.00027514i,-0.00068777-0.00085518i,-5.592e-06+6.6186e-05i,0.00064845+0.0011762i,0.00059705+0.0010462i,0.00032009+0.00056201i,-8.6404e-05+0.00038398i,-7.6521e-05-0.00049424i,0.000537-0.000308i,0.00051543-0.00018765i,0.00044753-0.000432i,0.00050203+0.00024637i,0.00037824+0.00071225i,2.8644e-05+0.00025013i,1.5156e-05-0.00050094i,0.00011926-0.00059188i,-0.00023547-0.00043101i,-0.00025237-7.2403e-05i,0.00014481+0.0004012i,9.3507e-05+0.00069688i,0.0002763+0.00020673i,0.0001022-0.00048787i
0.0012304+0.00052525i,0.0014001+0.00046082i,0.0012049+0.00014556i,0.0013782+0.00020385i,0.0014872+0.0005556i,0.001033+7.8145e-05i,0.00020974-0.00021504i,-0.00043431-0.0001081i,-3.2389e-06-0.00018181i,0.00020214-0.00024481i,0.00014395-0.0002413i,-0.00014532-0.000723i,3.9642e-05-0.0011074i,0.00018633-0.00094831i,-0.00047219-0.0008239i,-0.00050148-0.00072195i,3.2286e-05-0.00043707i,0.00041915-0.00059191i,0.00056578-0.0004382i,0.00063813-0.00020574i,0.00059155-0.00020921i,-0.00052528-0.00066559i,-0.0012129-0.00068957i
-0.00020768-0.00026824i,-0.00083426+0.00016923i,-0.0018389+6.5411e-05i,-0.00078116+0.00063333i,0.00029904+0.00037116i,1.8279e-05-0.00049548i,-0.00049079-0.00056331i,-0.00016645-0.00058243i,0.00043312-9.8089e-05i,0.00076938+0.00042328i,0.00043111+0.0007396i,0.0010915+0.00053086i,0.0013768+0.00056863i,0.00049492+0.00055647i,-9.1895e-05+0.00062193i,-0.00044078+0.00013076i,3.3285e-06+0.00025414i,0.00034951+0.00033727i,0.00036261-0.00029152i,0.000128+0.00029729i,-0.00017935+9.9187e-05i,-0.00031272-0.00072341i,0.00012055-7.0943e-05i
-0.00084062+0.0011005i,-0.0015489-7.1314e-05i,-0.001448+0.00080495i,-7.6682e-05+0.0019795i,0.0010578+0.00072282i,0.0012384-0.00087071i,0.000451-0.00074034i,0.00019396-0.0002357i,0.00081998-0.00035207i,0.00083459+0.00020832i,0.00018385+0.00073742i,3.8424e-05+0.00042792i,-9.7183e-05+0.00042622i,-4.6706e-05+0.00030447i,6.4845e-05-2.4983e-05i,0.00013271+0.00018715i,0.00023105+2.509e-05i,0.00034707-0.0010019i,0.00014286-0.001305i,0.000512-0.00096773i,0.00038859-0.0010656i,-0.00029187-0.00089805i,-0.00067602-0.00057213i
0.001107+0.001216i,0.0015485-0.00034108i,0.00161-0.001622i,0.0010413-0.0017835i,0.0010099-0.0008337i,0.0010778-0.00079731i,0.00058919-0.00051408i,0.000409+0.00042595i,0.00043315+0.0005237i,0.0005636-0.00012293i,0.00032962+5.2261e-05i,0.00018338+2.5596e-05i,0.00036462-0.00016433i,-0.00021811-0.00037896i,-0.00013295-0.00094851i,-0.00031208-0.0011331i,-0.00067392-0.0010316i,-0.00028198-0.00029551i,0.00024104-0.0007725i,-0.00011491-0.00094274i,-0.00095419-9.8693e-05i,-0.00073515+0.00012413i,1.2968e-05+0.00035839i
-0.00045341-0.0011049i,4.3176e-05+0.0006841i,0.00046059+0.0012897i,0.001535+0.0011942i,0.0014156+0.0010149i,0.00063987+0.00021925i,1.3163e-05+0.00014171i,-0.0005767+0.00063583i,-0.00066619+0.00058073i,-0.00099439-0.00014385i,-0.0013272-0.00030392i,-0.00056806-0.00014341i,0.00030716-0.00037699i,-0.00015004-7.1466e-05i,8.0103e-06+0.00064091i,0.00014822+0.0005243i,-0.00014926+0.00030639i,0.0005298-0.00019839i,0.00035739-2.5637e-05i,0.00018294+0.00033786i,-0.00025073+0.00057206i,-0.0012142+0.00071712i,-0.0011257+0.00034143i
-0.0010514+0.00053758i,-0.0010199+0.000696i,-0.0014188+0.00089335i,-0.00017188+0.0012099i,0.00085589+0.0012481i,0.00031965-8.5548e-05i,-0.00028608-0.00036095i,-0.00052204+0.0010596i,-0.00020836+0.0011127i,0.00045043-0.00028878i,0.00099102-0.00050102i,0.0010044-2.8009e-05i,0.0008128+2.403e-06i,0.00076579+2.6481e-05i,0.00019663-0.00036044i,-0.00017152-0.0010073i,0.00049611-0.0009338i,0.00034687+0.00014014i,-0.00073209+0.0004959i,-0.00059918+0.00032869i,0.00064062+0.00075397i,0.0013911+0.00095724i,0.00087633+0.0006808i
-0.00055706+0.00028077i,-0.00091868+0.0010402i,-0.00025374+0.00063236i,0.0011267+0.00068126i,0.0014035+0.00094146i,0.00097619+0.00086045i,0.00021147+0.00029925i,2.4337e-06-0.00010348i,0.00029027+0.00035352i,0.00094077+0.00019973i,0.00078852+0.00025515i,0.00024507+0.0010871i,-8.3698e-05+0.0011079i,-0.00036859+0.0007756i,-7.3509e-05+2.2166e-07i,0.00058874+2.4551e-05i,0.0010784+0.00072398i,0.0013007+0.00029907i,0.00070411+0.00015804i,0.00020938-0.00045699i,-4.7605e-06-0.00084169i,-9.5066e-06+0.00014617i,6.1036e-05+0.00031612i
0.0006684-0.001201i,0.00039564-0.0020831i,-4.5774e-05-0.0024301i,0.00025429-0.0011694i,0.00046355+0.0005091i,0.00014431+0.00023074i,9.7013e-05-6.3135e-05i,0.0009975-0.00024701i,0.00078828-0.00047315i,-0.00014113-0.0003301i,0.00019209-0.00042757i,0.00041968-0.00045635i,-4.9e-05-0.00017712i,-0.00093427+0.00022253i,-0.00096751-0.00011508i,-0.00011427-0.0006773i,0.00019729-0.00037456i,-0.00054145-0.00030532i,-0.0010998-0.00066776i,-0.0010723-0.00050709i,-0.00098503-0.00079268i,-0.00088486-0.0010061i,-0.00070495-0.00028185i
-0.00066403+0.00049093i,-0.00030731+0.0012417i,-0.00066843+0.0012804i,-0.00097672+0.00045952i,-0.00081326-0.00019609i,0.0002992-0.0006177i,0.00095279-0.00058838i,0.00023993-0.00074661i,-0.00020838-0.00073939i,-0.000353+3.5316e-05i,-0.00043949-0.00021878i,-0.00045774-0.00072168i,0.00011284-0.00015981i,0.00016195+0.00044676i,0.00025763+0.000425i,0.00081828+0.00048487i,0.000732+0.0004353i,0.00015827+1.1952e-05i,-0.00045895-0.0001471i,-0.0001887-9.2332e-05i,0.00016948-0.00027987i,0.00035371-0.00026949i,4.2238e-05-6.4474e-05i
-0.0012373+0.00067218i,-0.0010633+0.00063843i,-0.00048051+0.00082846i,0.00070023+0.0012964i,0.0013394+0.00084998i,0.0012204-0.00011091i,0.00055729-0.00099454i,1.3082e-06-0.00098765i,5.3885e-06-0.00024512i,0.00012078+3.4614e-06i,-1.7733e-05+0.00017095i,0.00024414+0.00026472i,0.00038109-0.00029342i,6.6267e-05-0.00051668i,-5.3486e-05+0.00039451i,-0.00056603+0.00083209i,-0.00096863+5.3443e-06i,-0.00065999-0.00042897i,-0.00047425-0.00058773i,-0.00014582-0.00063155i,-0.00039511-1.3192e-05i,-0.00022538+0.00078264i,0.00069998+0.00090144i
-0.00058663-0.0014642i,-0.00081468-0.00051813i,-0.00088861-0.00041407i,-0.00040762-0.00012083i,-0.00012703+0.00051168i,0.00038393+0.00047727i,0.00022424-9.8465e-05i,-0.00027316-0.00014536i,0.00068114+0.00018272i,0.0012288+0.00029457i,0.0018252+7.6632e-06i,0.0018743-0.00029691i,0.00043605+0.00039105i,-0.00089739+0.0011286i,-0.00095219+0.0011017i,-4.7911e-05+0.00080338i,1.8292e-05+0.00036725i,-3.7651e-05+7.0601e-05i,0.00031045+0.00017458i,-7.7657e-05-0.00029107i,-0.0001041-0.00046784i,0.00056689-0.00017776i,0.00086544+3.1015e-05i
-0.00068242-3.2992e-05i,-0.00049606-0.00059088i,-0.00034876-0.00010872i,0.00049427-0.00014326i,0.00051446-0.00018259i,0.00011595-0.00030808i,0.00076581-0.00071478i,0.00032843+6.2162e-07i,-5.5346e-05+0.00057964i,0.00043765+0.00012868i,0.00075425+0.00034789i,0.00038359+0.00038784i,0.00022621+0.00016258i,0.00041962+0.00052822i,0.00025677+0.0007784i,8.8017e-05+0.00050072i,-0.0001976+0.00051257i,3.5611e-05+0.00015041i,0.00039646+4.9307e-06i,0.00039289+0.00051662i,-6.9811e-06+0.0002117i,-0.00053989-2.5445e-05i,-0.00042279+4.3602e-05i
0.0009603-0.00011809i,0.0011971+0.00055114i,0.00064843+0.0016131i,-8.0587e-05+0.0006363i,0.00017259-0.00078513i,0.00030868-0.0012973i,0.00026049-0.0010698i,-0.00010125-6.3763e-05i,0.0004572-0.00033558i,0.00055889-0.00088648i,0.00066375-0.0011755i,0.00068521-0.0010758i,0.00029394-0.00067178i,-0.00030335+0.00013232i,-0.00050179+0.00056092i,-0.00011301-0.00013757i,-0.00029509-3.1179e-05i,-0.00015915+0.00062302i,0.00015481+0.00090762i,-0.0004221+0.0006119i,-0.00026841+0.00015358i,0.00048911+0.00029788i,0.00087206+0.00028553i
-0.00041978-9.1917e-05i,-0.00059742+0.00090683i,-0.00061298+0.0004538i,-2.7795e-05+0.00061692i,0.00027989+0.0014182i,0.00049496+0.0013098i,0.00084485+0.00017695i,0.00041099-0.00056722i,1.6874e-05-2.3974e-05i,-0.00048482+0.00040546i,-0.00072812+0.00032712i,-0.00058216+0.00084268i,1.4446e-05+0.00038989i,0.00028462-0.00028227i,0.00022532+4.6474e-05i,3.7184e-05+9.7428e-05i,-0.00048114-0.00070989i,-0.0001688-0.0012892i,0.00053459-0.00098691i,0.00049255-0.00078761i,-0.00011279-0.00072129i,2.3333e-05+0.00018553i,0.00039096+0.00051175i
0.0008703+0.00020243i,-0.00024108+0.00062375i,0.00077829+0.00040683i,0.0019851-0.00021191i,0.001658+0.00036604i,0.0013371+0.0005623i,0.00066257-5.1519e-05i,-0.00023044-0.0002917i,-3.3554e-05-0.00042419i,0.00048155-0.00026732i,0.00074346+0.0001636i,0.00011193-5.0878e-05i,-0.00044764-0.00017184i,0.00010515-0.00017209i,0.00012131+7.8534e-05i,1.5774e-05+8.0821e-05i,-5.509e-05+0.00021381i,-0.00016046+0.00077991i,0.00022944+0.00056273i,0.00075207-0.0001257i,0.00038765-0.00029775i,-0.00015387-0.00025764i,-5.736e-05+9.8492e-05i
0.00069598+0.00058463i,0.0005925-0.00012725i,0.0012076+0.00049383i,0.0018417+0.00029348i,0.0014906+0.00012117i,0.0001947-0.00022844i,8.0144e-05-0.0014098i,2.7838e-05-0.00082897i,-0.00028955-0.00034816i,-5.8351e-05-0.00093084i,-0.00018221-0.0010564i,-0.000492-2.0519e-05i,-0.00032307-0.00027292i,0.00051957-0.00081756i,0.0008613-8.4059e-05i,0.00061661-0.00026779i,0.00048638-0.0002044i,0.00057629-0.00018864i,0.00037327-0.0002773i,-0.00036421-1.4038e-05i,-0.00024512+0.00013913i,-0.00024298+0.00034471i,-0.00067408+0.00027836i
0.00086671+0.00011825i,0.00024941-0.00028247i,-0.00038589+0.00058179i,0.00086127+2.538e-05i,0.0024263-0.00098086i,0.0017159-0.0014268i,0.00083422-0.00070497i,-2.5917e-05-0.00033874i,-0.00033262-0.0009876i,-5.1698e-05-0.00093153i,0.00031302-0.00038672i,0.00038936-0.000148i,0.00010014+1.4261e-05i,-0.00041068-0.0005542i,-0.00084976-0.001154i,0.00022177-0.0012216i,0.00086701-0.00083869i,0.00026906-0.00040407i,0.00026786+8.2555e-05i,0.00014724-3.4865e-05i,-0.00013124-0.00062145i,0.00047906-0.00050722i,0.00052807-0.00010283i
4.5675e-05-0.0012831i,-0.00010793-0.0010224i,-0.00036664-0.00019272i,-0.00042303+0.0006109i,-0.00038499+0.00036154i,-6.3768e-05-4.9411e-05i,-2.3549e-06-4.3881e-05i,3.57e-05-5.7685e-05i,-0.000464+0.00046797i,-5.7096e-05+0.00070314i,0.00065517+0.00082198i,0.00041467+0.00096659i,0.00070437+0.0004818i,0.00047018-0.00032259i,-0.00027859-0.00074448i,-0.00022262-0.00036012i,-3.9185e-05+0.00017575i,-0.0003536+0.00057551i,-0.00064235+0.00052477i,-0.00074862-0.00014015i,-0.00080435-0.00032154i,4.4401e-05+0.00042644i,0.00081145+0.00074369i
-0.00031384+0.00049274i,0.00058784-0.00058557i,0.0014007-0.00047552i,0.00034864+2.0143e-05i,0.0003705+0.00024115i,0.0011683-0.00020908i,0.00034753-0.0011244i,-0.0006544-0.00046196i,-0.00035737+0.00070727i,-6.7148e-05+0.00065838i,0.00014283-3.6391e-05i,0.00081167-0.00051962i,0.00046666-0.00014852i,-0.00014453+0.00048698i,-0.00030737+0.00045258i,0.00012388-0.00015904i,0.00063022-0.00015468i,0.00013208+0.0001185i,-9.4417e-06-0.00019691i,0.0012333-0.00047093i,0.0016515-0.00035084i,0.00058378-0.00029i,-0.00028306-0.00028412i
0.00032563-0.0011517i,-0.00063104-0.00026285i,-4.7725e-05+0.0005907i,0.00096283+0.0010985i,0.0009938+0.00026062i,0.00086881-0.00076836i,0.0010337-0.00076298i,0.00070721-0.000433i,0.00068952-0.00035285i,0.00095934+0.0002409i,0.00018225-0.00035757i,-0.00029765-0.0013518i,-0.0001913-0.00082244i,-0.00022224+7.6682e-05i,6.7339e-05-0.00023223i,0.00036611-0.00083765i,0.00041706+5.0268e-05i,-0.0002702+0.00039974i,-0.0009632-0.00050361i,-0.00032038-0.00064887i,0.00065944-3.8282e-06i,0.00062644+0.00067009i,8.8439e-05+0.00090217i
0.00092639+0.00024197i,0.0011821-6.2272e-05i,0.00086733+0.0002787i,0.00058499-0.00094578i,0.00075003-0.0017182i,0.00059183-0.0010538i,0.00055172-0.00095475i,5.5582e-05-0.00097644i,0.00030212-0.00082168i,0.00059049-0.00025971i,7.868e-05+0.00044612i,0.00014827+0.00033976i,0.0004569+6.6901e-05i,0.00032706-0.00012899i,-0.00039014-0.0003227i,-0.00015589-0.0010528i,0.00053146-0.0013883i,0.00054049-0.0014515i,-0.00014097-0.00094401i,-0.00069183-3.4877e-05i,-0.00016657-3.2275e-05i,0.00057434+0.00029974i,0.00043372+0.0005773i
-0.0017802+0.0018103i,-0.00015083+0.0015789i,6.4491e-05+0.002076i,0.0012684+0.0016185i,0.0024646+0.00053384i,0.0019371-0.00012032i,0.00060242-0.00051014i,-0.00053607-0.00026615i,-4.2871e-05+0.00020813i,0.0012983-0.00013342i,0.0016571-0.00060807i,0.00073725-0.00040076i,0.00015449-0.00092585i,0.00029596-0.00093372i,-0.00010967+8.6552e-05i,-0.00034664+0.00050053i,0.00013497+0.00017753i,-0.00049182-0.00012929i,-0.00020139+0.00036999i,0.00027382+0.00083991i,-6.9293e-05+0.00023107i,0.00066802-7.4933e-05i,0.0010536+0.00019571i
0.00046877-0.00037914i,-5.2002e-05-0.00043761i,-0.00029287-0.00013678i,0.00043643-0.00091502i,0.0017097-0.001384i,0.0016935-0.00055068i,0.0012721+2.2128e-05i,0.0015193+6.3179e-06i,0.0018669+7.3951e-05i,0.00084737+9.0597e-06i,0.00071958+1.7737e-05i,0.0012367-0.00024366i,0.00082475-0.00038507i,0.00029991-0.00020774i,-0.0002879-0.0001088i,-0.00095997+0.00019244i,-0.00066396-0.00013582i,-0.00011632-0.00063864i,-0.00060924-0.00055567i,-0.00075496-0.000691i,-0.00021971-0.00079481i,9.1836e-05-0.00086713i,-0.00051519-0.00091022i
