-3.5677e-05+0.0013153i,-0.00023628-0.00032178i,-0.0025402-0.001061i,-0.0027904-0.00061503i,-0.0021889-0.00050355i,-0.0024998+0.00064063i,-0.0025475+0.0019632i,-0.00086147+0.0018353i,0.0010824+0.00012505i,0.0013662-0.00067632i,0.00038415-0.00011811i,-0.00022657-0.00021349i,-0.00014021-0.00089969i,-8.6766e-05-0.00079316i,7.1936e-06-0.00015929i,0.00052133-0.00031287i,0.00085521-0.00031616i,0.001084-1.1316e-05i,0.00090711-2.863e-05i,0.00019587+0.0001269i,-0.00041783+0.00035349i,-0.00059497-0.0001517i,-0.00083385-8.1649e-06i
-0.0020505-0.00028681i,-0.0024207+0.00037811i,-0.0018834+0.00031811i,-0.002167+9.5785e-05i,-0.0014713+0.00025855i,4.1255e-05+0.00083757i,0.00017476+0.00093954i,0.00046637+0.00031267i,0.00072377+6.5668e-05i,-0.00049622+0.00057069i,-0.00074398+0.0002777i,0.00054217-0.0003964i,0.00067262-6.5045e-05i,9.7052e-05+0.00050204i,-0.00030593+0.00033897i,-0.00027007+0.00020657i,0.0001633+0.0011664i,0.00058791+0.0013787i,0.00043708+0.00024578i,-0.00012133-0.00084992i,-0.00011463-0.00090598i,-2.4791e-05-0.00075113i,-8.9946e-05-0.00084159i
0.00035432-0.0021429i,0.00053577-0.0021856i,9.4518e-05-0.0022398i,-0.0010809-0.0013383i,-0.0012489-1.8848e-05i,-0.0001295+0.0014753i,-0.00015246+0.0016309i,-0.00052946+0.00041076i,-9.8406e-05+0.00013684i,8.0713e-05+0.00026324i,-0.00016668+0.00025032i,0.00022438+0.00012983i,0.00081397-0.00055334i,0.00061463-0.00054147i,-0.00024509+4.8628e-06i,-0.00022314+0.00025227i,0.00062532+0.00078431i,0.0010348+0.0012139i,0.0011834+0.00073219i,0.0011754+0.00041016i,0.0005965-0.00020229i,0.00021488-0.00066538i,-9.0713e-05-0.00033708i
0.0012593+0.0014625i,0.0015312+0.00024008i,0.0023458-0.0010105i,0.00111-0.0015319i,-5.101e-05-0.0011728i,-0.00089586-0.00094087i,-0.0015258-0.00061614i,-0.0013486-0.00046741i,-0.00030483-0.00052464i,0.00059049-0.00038573i,0.00036842+0.00051758i,0.00022629+0.00081299i,0.00045126+1.2623e-05i,0.00060974-6.3082e-05i,0.00096012+0.00039904i,0.00026766-0.00041654i,-0.0005629-0.00059244i,-0.00090027-3.6833e-05i,-0.0012009-0.00014154i,-0.00050891-0.00031139i,-0.00038275-4.6622e-05i,-0.00035401+0.00062937i,-0.00035941+0.0013538i
-0.0010502-0.0012581i,-0.00082074+0.00056047i,-0.00094238+0.0012848i,-0.0006864+0.00090861i,-0.0005119+0.0012833i,-0.0005695+0.0015014i,-0.00054966+0.0010181i,-0.00048939+0.00034935i,-0.00016159-9.6517e-05i,-0.00079726+2.7653e-05i,-0.00078578+0.00063232i,0.00027827+0.0010199i,0.00073414+0.00049343i,0.00059366+0.00017653i,-0.00026252+0.00086094i,-6.8463e-05+0.00063138i,0.00064943-0.00040022i,0.00072571-0.00043213i,0.00060573+0.00012879i,0.00098239+0.00045488i,0.0014318+0.00015516i,0.00083435-0.00014411i,-0.00018104-0.00032083i
-0.00043371+0.00098362i,0.00053733+0.00022046i,0.00091432-0.00063469i,0.00053123-0.00073695i,0.000708+3.276e-05i,0.0011308+0.00030327i,0.00049802-0.0002287i,0.00030433-0.00098181i,0.00056609-0.00094353i,0.00039978-8.2569e-05i,0.00028671+0.00077238i,-4.5937e-05+0.0002864i,-0.0004334-0.00045096i,0.00022769-0.00051424i,0.0007194+0.00056589i,0.00029353+0.00097183i,0.00013613+0.00060742i,-0.00015204+0.00068943i,0.00025821+0.00026279i,0.00074135-0.00015016i,0.00011818-0.00012562i,2.4302e-05+0.00023487i,0.00049795+0.0004993i
0.0010584+0.0010353i,0.0012597+0.00096699i,0.00027553-0.00042473i,-0.00062523-0.00044525i,-0.00029092+0.00058836i,-0.00013248+0.00091708i,-0.00014519+4.9037e-05i,-0.00062876-0.00017254i,-0.0010437-0.0002551i,-0.00054771-0.00034339i,-0.00041381+0.00025335i,0.00019946+0.0001864i,0.00099126+0.00023298i,0.00087994+0.00070744i,-2.2778e-05+0.0011789i,-0.00012381+0.0011784i,7.0475e-05+0.0014549i,0.00038782+0.0012375i,0.00057996+0.00086127i,0.00022992+0.00078392i,0.00028307+0.00043028i,3.0088e-05-0.00012443i,-0.00022595-0.00033544i
-0.0016942-0.00020281i,-0.002136+0.0011352i,-0.0024003+0.0020199i,-0.0014445+0.0027531i,-0.00057631+0.0026588i,0.00024974+0.0023722i,0.00076728+0.00096969i,0.00040846-0.00038501i,0.00010808-0.00026198i,6.8289e-05+0.00034556i,5.1645e-05+0.00052761i,0.00092416+0.00080399i,0.0008377+0.0010999i,0.00023135+0.00062677i,-0.00014296+0.00075301i,-0.00075014+0.00089899i,-0.000426+0.00019073i,6.8118e-05-0.00017548i,-0.0001908+0.00014029i,-0.00037185-2.3856e-05i,-9.1717e-05-0.00062065i,-0.00029466-0.00069452i,-5.4206e-05-0.00029547i
-0.00087252+0.0017017i,0.00021097+0.0010088i,-0.00010875+0.0014089i,0.00054342+0.00094695i,0.00096268-0.0003272i,0.00011399-0.00042476i,-0.00010207+6.7205e-06i,-8.6618e-05+0.00034463i,-0.00067909+0.00020055i,-0.00019146-0.00039938i,-0.00029964+0.00038769i,-0.0011893+0.00098944i,-0.00030744+0.0010845i,1.7245e-05+0.0011635i,-0.00054215+0.00061806i,-0.00015065+0.00022493i,0.00063111+0.00024886i,0.00054562+0.00015211i,0.0004854-0.00011459i,0.00095161-0.00025252i,0.0010586-0.0005014i,0.00040203-0.00054444i,-0.00018002-4.1975e-05i
0.00019255-0.00046051i,0.0018184-0.00064574i,0.0024813+0.00052047i,0.0012251+0.0013682i,-9.0108e-05+0.0011597i,-8.5925e-05+0.0005687i,-0.00012739+0.00046821i,-9.1537e-07+0.00078749i,0.00011135+0.00042549i,0.00013288+0.00053114i,8.6655e-05+0.001139i,9.9272e-05+0.0011154i,-1.973e-06-3.7693e-05i,-0.00059069-0.00062628i,-0.00043412-0.00041388i,0.00045052-0.00062774i,-0.0002587-0.00079451i,-0.00089333-0.00035968i,-0.00031139+0.00024152i,-0.00016019-1.8315e-05i,-0.00094655-0.00018892i,-0.0012414+0.00019543i,-0.00073811-0.00030823i
0.0016901-0.00035027i,0.00071831-0.00011053i,0.00023006-0.00039242i,0.00047386-0.00088279i,0.00047703-0.00085069i,-0.00034741-0.00018676i,-7.2509e-05+8.4681e-05i,0.00054547+7.0683e-05i,0.00052019+0.00017479i,0.00015766+0.00031192i,-0.00024368-6.6132e-05i,-4.4082e-05-0.00028457i,0.00037501-0.00025969i,0.00036154+0.00016747i,0.00061197+0.00048403i,0.00081891+8.4163e-05i,0.00055862-0.00021786i,0.0004698-0.00012452i,0.00069473-0.00021705i,0.00087328+7.6443e-05i,0.00063933+0.00036301i,8.9838e-05+0.00029945i,-0.00072928+0.00026627i
