-0.0012854+0.0014287i,-0.0014575+0.0015283i,-0.0019976-0.00019188i,-0.0023409+0.00035466i,-0.001639+0.0013677i,-0.0011474+0.0015519i,-4.6007e-06+0.0016744i,0.00084419+0.0015405i,0.00113+0.00074883i,0.0014198-0.00036867i,0.00040062-0.00041304i,-0.00062039-0.00061853i,-0.00044771-0.0007823i,2.7803e-06-8.4797e-05i,-0.00070454+0.00027164i,-0.0011725+0.00077543i,-0.00073511+0.0006797i,5.2884e-05-1.7153e-05i,0.00043957-0.00069135i,-0.00064543-0.00019268i,-0.00090759+0.00048437i,-0.00015777-7.8468e-05i,-0.00024196+7.5399e-06i
0.0021738-0.00041128i,0.00044341-0.00019149i,-8.9813e-05-0.0013409i,-2.8502e-05-0.0024473i,0.00014945-0.0024495i,-0.00039181-0.0012552i,-0.00082998-0.00024256i,0.00037404-0.00021104i,0.00067698-0.00058265i,9.2644e-06-0.00063179i,0.00013029-0.00059162i,0.00066519-0.00043671i,0.00094614+0.00041959i,0.0005224+0.00092944i,0.00069818+0.0012543i,0.00061436+0.0012025i,0.00054135+0.0005345i,0.00095463+9.2534e-05i,5.0302e-05-6.3773e-05i,-0.00061104-0.00018333i,3.5612e-05-9.8739e-05i,6.171e-05-9.8257e-05i,-0.0002125+7.3436e-05i
-0.00032651-0.00029284i,3.0584e-05+0.00017799i,3.7273e-05+0.00058163i,-0.00031169+0.0010454i,0.0004076+0.0018089i,0.00038527+0.0011825i,0.00018531+0.00064912i,0.00012256+0.0013545i,0.00028843+0.00084264i,0.00038797-0.00063731i,0.0002359-0.00081286i,0.00036008-0.00036058i,0.00025999+0.00015252i,-1.5104e-05-4.8395e-06i,2.2446e-05-0.00028593i,9.1161e-05-0.0002419i,0.00036237-0.00030841i,0.00019214-0.00014967i,-0.00041791+0.00010729i,-0.00040184+0.00035i,-0.00025331+2.9731e-05i,-0.00036458-0.00036039i,-0.00055331-0.00011572i
-0.0015525-0.00027031i,-0.0014709+0.00052901i,-0.00058726+0.0016482i,8.2775e-05+0.0015381i,0.00058703-0.00035358i,0.0013257-0.00074414i,0.00091233+8.4766e-05i,0.0004222+0.00015595i,0.0009107+8.4508e-05i,0.00083385-0.00020264i,0.00024538+5.9697e-05i,0.00031107+0.00075769i,0.00044543+8.6281e-05i,0.00012315-1.3822e-05i,-0.0005239+0.00039971i,-0.0008034+2.584e-05i,-0.00049867-0.00047102i,-2.7481e-05-0.00062591i,0.0002971-4.061e-05i,-0.00017471+0.00048331i,-2.3392e-06+0.00073348i,0.0004627+0.0006924i,0.00014249+0.0007543i
-0.0019008-0.0007747i,-0.0023245-0.0001621i,-0.0026136+0.00038032i,-0.0015721+0.0011398i,-0.0001747+0.0011555i,0.00074229+0.00066331i,0.00089951+0.00089084i,0.00089468+0.00080764i,0.0007021-7.2081e-08i,0.00054462-0.00066268i,6.1045e-05-0.00050696i,-0.00016946-0.00018668i,5.0868e-05+0.00022771i,2.9214e-05+0.00053201i,0.00010417+0.00072156i,-0.00025059+0.00062291i,-0.00014793+0.00012533i,0.0005153-0.00021879i,0.00066146-0.00084968i,0.00036241-0.0014856i,-0.0002723-0.0010867i,-0.0007238-0.00035182i,-0.00039528+0.00019301i
0.0002031-0.0010873i,0.001051-0.0013136i,7.8391e-05-0.00075044i,-0.0010874-7.1929e-05i,-0.00080283+0.0001988i,0.00036046-0.00022403i,0.00045569-0.0005749i,-0.00031513-0.00011463i,-0.00060148+0.00016715i,-0.00064156-3.8434e-05i,-0.00057515-0.00023371i,-5.6468e-05-0.00039928i,-3.3588e-05+0.00038178i,0.00030358+0.0006801i,0.00067223+0.0001023i,0.00039797+5.5768e-05i,0.00049891+0.00069854i,0.00077738+0.00035579i,0.00091533-7.875e-05i,0.00043045+0.00038861i,4.6257e-07+0.00060324i,0.00015214+0.0010506i,-0.00053059+0.0011684i
0.0010677+0.00070423i,0.0007176+9.7307e-05i,0.00050936-6.0907e-05i,0.00087038-0.00039787i,0.00030533-0.000998i,-0.00021176-0.00085496i,0.00019391-0.00016763i,0.00076795-0.00022385i,0.00077291-0.00049046i,0.00049686-0.00031428i,0.00015654-0.00047751i,4.577e-06-0.00057839i,0.00055737-9.193e-05i,0.000359+0.00022514i,-0.0001461+0.0010646i,0.0001936+0.0012436i,0.00047722+0.00061177i,0.00013758+0.00033805i,-1.669e-05+0.00018163i,0.00043356-2.5999e-05i,0.00013239-0.00051483i,3.777e-05-0.00085605i,0.00030177-0.00017745i
0.0003289+0.00071584i,4.3143e-05+0.00087988i,-0.0007703+0.00095107i,-0.0021992+0.0007517i,-0.0012902+0.00023556i,0.00011594+0.00073109i,7.3103e-06+0.0013437i,-0.00027648+0.0016466i,-0.00044083+0.0013839i,-0.00055345+0.00027703i,-0.00031052-0.001166i,-0.00059272-0.0011796i,0.00027074-0.00020553i,0.0012089+0.00028126i,0.00074833-0.00028235i,0.00040603+4.865e-05i,0.0001899+0.00028657i,5.7147e-05+0.0001673i,2.6103e-05+0.00016781i,-0.0006385-1.66e-05i,-0.00034478+0.00019477i,0.00065167-0.00012976i,0.00069263-0.00051516i
-6.4256e-05+0.0021785i,0.00033071+0.0022185i,0.001082+0.0015093i,0.0019299+0.00088854i,0.0018487-8.8116e-05i,0.00058766-0.00037414i,-0.00087295+0.00039198i,-0.00045428+0.00026974i,0.00026086-0.00029655i,0.00047344+0.00016455i,0.00015379-1.9717e-05i,-0.00073094-0.00051911i,-0.00085428-0.0004047i,-0.0002197-0.00024982i,0.00068154+0.00027038i,0.00079313-4.8269e-05i,0.0004231-0.00062019i,-0.00064831-0.00072736i,-0.0016807-0.00060366i,-0.0014273-5.3761e-05i,-0.00043774+7.4064e-06i,0.00061046-0.00030577i,0.00067321-0.00011526i
-0.00015866+0.0009499i,-0.00086323+0.00072597i,-0.00073376-0.00097757i,3.2238e-05-0.001829i,0.00052007-0.0014526i,0.00024058-0.00056806i,-7.4323e-05-0.00011992i,0.00033765+2.0698e-05i,0.00067116-6.1912e-06i,0.0004429-0.00065997i,0.00031064-0.0011964i,9.3763e-05-0.00102i,0.00011848-0.00024984i,0.00043896+0.00042074i,0.00050458-5.1076e-05i,0.0004364-0.00065835i,0.00097549-0.00016306i,0.00061446+1.8307e-05i,0.00017443+0.00011285i,-0.00025032-2.9049e-05i,-0.000946-0.00010105i,-0.00096508+0.00071567i,-0.0011627+0.00041269i
0.00023276-0.0020295i,-0.001889-0.0014348i,-0.0026303-0.0012841i,-0.0027307-0.0012458i,-0.002534-0.00071122i,-0.001137+5.1898e-05i,0.00010169+4.1714e-06i,0.00024446-0.00064392i,0.00072529-0.00014549i,0.0004832+0.0012303i,-0.00027719+0.0016342i,-0.00014693+0.00072537i,-0.00016797-9.8298e-05i,0.000252-0.00041815i,0.00070283-5.9365e-05i,-4.7002e-05+0.00028729i,-0.00045969+0.00060218i,7.4688e-05+0.0009745i,0.00063047+0.00066348i,0.00038721+6.6968e-05i,0.0003202+0.00049443i,0.00082873+0.00031197i,0.00037063-0.00021327i
-4.4479e-05-0.00012193i,-0.0010263+0.00037891i,-7.0209e-05-4.6583e-05i,0.00072042+0.00021548i,0.00047178+0.00069169i,-0.00031719+0.00060496i,-0.00049862+0.00035409i,-0.00016936-0.00011835i,-0.00033221+7.2738e-05i,-0.00040004+9.9575e-05i,-0.00031479-0.00027775i,7.0311e-05-0.00020148i,0.00010397-0.00029541i,-0.00088778+0.00033675i,-0.0015012+0.00037664i,-0.0007278-0.00012689i,-2.3468e-05-0.00031175i,-0.00030995-0.00014275i,-0.00021601+0.00066086i,-1.7124e-05+0.00050831i,-1.3995e-05-0.00069536i,0.00016382-0.0017276i,0.00061119-0.0016564i
-8.5684e-05-0.0019218i,0.00043131-0.0006393i,0.00038311+0.00067744i,-0.00031778+0.0014703i,8.0872e-05+0.00083178i,-0.00075015+0.0004265i,-0.0017716+0.00065246i,-0.00038735+0.00045498i,0.00092545-0.00012529i,0.00016106-0.00010024i,-0.00089952+3.8569e-05i,-0.0010316-0.00031164i,-8.5186e-05-0.0001825i,0.0006305+0.00047131i,0.00027819+0.0013094i,-0.00014224+0.00094908i,0.00020006+0.0003016i,0.00028182+0.00011656i,0.00043255+0.00019586i,0.00066982-0.00030352i,0.00075541-0.00013144i,0.00012804+0.00076384i,-0.00071478+0.00060458i
0.00036344-0.001275i,-0.00020128-0.00069211i,-0.0015265-0.00054926i,-0.0022058+0.00064392i,-0.0015827+0.00083466i,-0.00065356+0.00011527i,0.0001549+0.00028624i,0.00045737+0.00061304i,0.00097321+0.00041719i,0.00064562+0.0001504i,-9.9537e-05-1.9398e-05i,-0.0002123-0.0002608i,-5.3142e-05-0.00033784i,0.00023519-1.3962e-06i,7.464e-05+0.00013235i,0.00018011-3.4569e-05i,0.00093386-0.00011786i,0.00055474+0.00039483i,-0.00070688+0.001092i,-0.00078576+0.0011197i,-0.00034627+0.00046811i,-0.00013827+0.00052625i,-5.8852e-05+0.00038659i
-0.0030808+0.0014813i,-0.0018893+0.0032314i,-0.0021678+0.0040089i,-0.0017852+0.0040786i,0.00027781+0.0031836i,0.0010443+0.0010418i,0.000394-9.2672e-05i,-0.00031906-8.2421e-05i,-0.00090737-0.00063882i,-0.0010617-0.0011192i,-0.00018681-0.00034615i,3.2573e-05+0.00048675i,0.00016283+2.9794e-05i,0.0004653-0.0010879i,0.00021895-0.0012836i,-0.00016688-0.00029849i,8.9147e-05+0.00018869i,0.00071111+0.00018502i,0.00041733+0.00052173i,-6.481e-05+0.00023076i,-3.2168e-05-0.00056277i,4.8129e-05-0.0011791i,0.0001737-0.00079177i
-0.00088912+0.00022261i,-0.0022063+0.00073007i,-0.0016745+0.0022667i,-9.2266e-06+0.0024803i,0.00065575+0.0010638i,1.2477e-05+0.00068643i,-0.00058842+0.00094377i,-0.00045931+0.00041251i,-5.6409e-05-0.00072422i,-0.0006579-0.0013551i,-0.0012533-0.0012944i,-0.00076348-0.00035864i,-0.00024116-0.00043156i,-0.00029952-0.00079i,-7.1448e-05-0.00038229i,0.00017555-0.00035947i,-0.00047746-0.00033428i,-0.0011299-0.00039263i,-0.00053675-0.00074161i,0.00010585-0.00088407i,-0.00042764-0.00053799i,-0.00053695-0.00072037i,-0.00055284-0.00098042i
-0.0012905-0.00069405i,-0.0012173+0.00052254i,-0.0014982+0.0025222i,-0.001776+0.0026495i,-0.00094766+0.0012026i,0.00018339+0.00022275i,0.00098672+0.00055188i,0.00068192+0.00082688i,0.00056945-4.4309e-05i,0.00060595-0.0002757i,-0.00058169-0.00060878i,-0.00093391-0.00044389i,-0.00071615+0.00053944i,-0.00016906+0.00068374i,0.00062038+0.00041186i,0.0010354+0.00024375i,0.00095648-5.9931e-05i,0.00055007+0.00026814i,0.00037545-4.2692e-05i,0.00029796-0.00036198i,7.6252e-05+8.0894e-05i,-0.00036707-0.00040863i,-0.00044489-0.00062151i
0.0010994+0.00093953i,6.8573e-05+0.00050118i,0.00089371+0.00051661i,0.0019691+0.0011379i,0.001578+0.00023752i,0.00032678-0.00094638i,-5.5546e-05-0.00017562i,-0.00013036+0.00049407i,-0.00071633-1.3459e-05i,-0.00018784-0.00033313i,0.00019456-9.327e-05i,-0.00054589-0.0002855i,-0.00094884+0.00039983i,-0.0010644+0.0015434i,-0.00063573+0.0011113i,-0.00015741+0.00045402i,0.00065186+0.00060906i,0.00044492+0.00018849i,0.00018398-0.00036545i,0.00052931-0.00076543i,-0.00018642-0.00043468i,-0.00071253+0.00050816i,-0.00092706+0.00031513i
0.00097385-0.00024014i,0.0012114-0.00053826i,0.0012639-0.00078759i,0.00155-0.00033047i,0.0010565-0.00014655i,-4.4589e-05-0.00049539i,-0.00092067-0.00024321i,-0.0011485-6.926e-06i,-0.00052481-0.00034866i,0.00025795-0.00054683i,9.087e-05-0.00048283i,-0.00028591+0.00036889i,-0.00092975+0.00078813i,-0.00067268+0.00030393i,-0.00042061-3.8737e-05i,-0.00057005-0.00049154i,-0.00025101-0.0004091i,-0.00028395+0.00044407i,-0.00093793+0.00089664i,-0.0012794+0.00040605i,-0.0010681-0.00060953i,-0.00072015-0.0011825i,-5.4086e-05-0.00051941i
-0.0007563+0.00084135i,2.0725e-05+0.0017077i,0.00063017+0.0019344i,-8.4246e-05+0.0016503i,-0.00042195+0.00098891i,0.00052871+9.2695e-05i,0.00021193-0.0001997i,0.0001083-7.4324e-05i,0.00046916+8.8884e-06i,6.7472e-05-0.00047761i,0.00038648-0.00064439i,0.00063294-0.00026328i,-0.00023003+0.00013919i,-0.00099816+3.1078e-05i,-0.00081033+6.2156e-05i,-0.00044273+0.00038542i,-0.00066525+0.00044602i,0.00022026-0.00050684i,0.00049341-0.001238i,0.00022859-0.00070228i,0.0005058+0.00044953i,-0.00012171+0.00042066i,-0.00036674-0.00039455i
-0.00093642+0.00083742i,-0.00054079+0.00096588i,-0.00075143+0.00088326i,-0.00083534+0.00089695i,0.00020423+0.00041131i,0.0011021+0.00012513i,0.00021639+0.0001659i,-0.00097061+0.00054782i,-0.00054857+0.00055397i,0.00023769+0.00042506i,0.00051977+9.1984e-05i,0.0001313-0.00038522i,-0.00041528+7.4239e-05i,-0.00041368+0.0006381i,-9.9792e-05+0.00017447i,0.00080753+0.00011258i,0.0012449+0.0007072i,0.00056583+0.00057076i,0.000118+0.00019487i,-4.7771e-05+9.0957e-06i,-8.6298e-05+0.00054168i,-2.4604e-06+0.0012477i,2.6325e-05+0.00099476i
-0.00093549+0.00029615i,-0.0012376+0.00099431i,-0.00098396+0.00081597i,-5.4195e-05+0.00085729i,0.0008646+0.00043802i,0.00094019-0.0008739i,0.00078051-0.00059893i,0.00030706+3.724e-05i,-4.8266e-05-0.00048202i,9.728e-05-0.0010767i,-2.3431e-05-0.00054917i,-0.00036765+0.0002555i,-0.00066276+0.0004527i,-0.00016708+0.00014889i,-0.00033504+7.3976e-05i,-0.00063785+3.7181e-05i,-0.00012126+0.00013858i,-4.2398e-05+5.401e-05i,0.00019774-0.00039282i,0.00065313-9.9119e-05i,0.001386-5.7764e-06i,0.00087038+0.00044112i,-0.00047083+0.0007518i
-0.0017139+0.00023167i,-0.00094664+5.9794e-05i,-0.0015945+0.00062928i,-0.0010912+0.001072i,-5.3217e-07+0.0021415i,0.00063695+0.0016566i,0.00056798+0.00035307i,-0.0005952-0.00013408i,-0.00057458+5.8181e-05i,4.0319e-05-0.00035828i,-2.3595e-06-0.00079403i,-0.00026087-0.00050099i,-5.801e-06-0.00012241i,0.00044107-6.3977e-05i,0.00063156+0.00021404i,0.00039705+0.0003815i,0.00074645+0.00059819i,0.0010322+0.00036077i,0.00096347-0.00027306i,0.00069611-0.0002044i,-0.0002377+0.00013462i,1.6923e-05-0.00014305i,0.00029023-0.00046276i
0.0010353+0.0015178i,0.0013821+0.0010444i,0.00063687+0.00082032i,5.0933e-05+0.0010213i,0.00028614+0.00084324i,0.00034454+0.00043763i,0.00025238+0.00079219i,-0.00038333+0.0011073i,-4.7843e-05+0.00068194i,0.00061651-0.00035625i,0.00054218-0.00046668i,0.00014294-7.0615e-06i,-0.0003147-4.195e-05i,-0.00039814+0.0003162i,-0.00066377+0.00040929i,-0.00072489-3.9854e-05i,-0.0002513-3.2051e-05i,0.00026823+0.00014334i,0.0011522-0.00017215i,0.0017141-0.00039978i,0.00088101-0.00024376i,1.3087e-05+2.2261e-05i,-0.00025188-0.00011872i
0.00083257+0.00042708i,-8.7574e-05+0.0010204i,-0.0010068+0.0014132i,-0.0015504+0.0010679i,-0.0013993+0.00022802i,-0.001051+8.752e-06i,-0.00013812+0.00020299i,0.00041427-0.00020216i,0.00045267-0.00028741i,-3.2726e-05-4.5883e-06i,-0.00029363-0.00041217i,0.00014802-0.00041946i,0.00011318-0.00016842i,-0.00068966+0.00029208i,-0.00043943-2.0929e-05i,0.00044452-0.0002486i,0.00099278+0.00037668i,0.00050048+0.00055749i,-0.00024795+0.00030686i,-0.00072451+0.00058701i,-0.00069902+0.00091732i,-0.0003315+0.00063817i,-0.00065101+0.00037479i
-0.0023033-0.0012186i,-0.0026704-7.0773e-05i,-0.0023077+0.00079579i,-0.00061642+0.0021226i,0.00060833+0.0023189i,0.00074542+0.00092329i,5.4231e-05-0.00042356i,-0.00074377-0.0004812i,-0.0012684-8.7065e-05i,-0.0014501-0.00037553i,-0.00086868-0.00061663i,9.2965e-05-0.00057429i,0.00061296-0.00025197i,0.0011194-0.00010808i,0.0011118-0.00011127i,0.00054248-0.00036708i,0.00042426-0.00041829i,0.00059744-0.00015979i,0.00043479+1.9318e-05i,0.00030125-0.0002665i,0.00078281+0.00037814i,0.0012256+0.0010246i,0.00072171+0.00050618i
0.00077828-0.00081813i,0.0006667-0.0011769i,0.00048609-0.00076322i,0.00087018-0.00029332i,0.0015216-3.2419e-05i,0.0008943-0.00026652i,0.00048898-0.00084488i,0.00013385-0.00061369i,0.00022809-0.00032128i,0.00059836-0.00050285i,-0.00012811-0.0003752i,-0.00074445-0.00052245i,-0.0010889-0.00080178i,-0.00053352-0.00064425i,-0.00014848+0.00020227i,-0.00059008+0.00041993i,4.3799e-05+0.00037097i,0.00039786+0.00066216i,-0.00012376+0.00036841i,-0.00095223+0.00027555i,-0.0015672+0.00035831i,-0.0010527+0.00055562i,-0.00047161+0.0005619i
0.00066073+0.00013555i,-0.00038902+0.0013332i,-0.0007633+0.001679i,-0.0011482+0.00027928i,-0.00062227-0.00094478i,-0.00014492-0.00069106i,-0.00014183+0.0003879i,0.00020684+0.0010259i,0.00061917+0.00056007i,0.00072122-0.00043957i,3.1368e-05-0.0011262i,-0.00045157-0.0015272i,-0.00016003-0.00079038i,-0.00037127-0.00019246i,-0.00074027-0.00014884i,-0.00050121+0.00015759i,9.4199e-05-0.00035871i,0.00041186-0.0010972i,0.0004976-0.00048436i,0.00052774-0.0002454i,-0.00013597+0.00019528i,-0.00029132+0.00024105i,0.00042326-0.00035493i
0.0018634+0.00041723i,0.0011972+0.0013445i,0.00036245+0.001516i,0.0010209+0.00052172i,0.0016909+0.000184i,0.00095846+6.4024e-05i,-0.00035775-9.1842e-05i,-0.00046779-0.00029739i,0.00074815+0.00040131i,0.00064908+0.00043319i,-0.00042522-0.00068012i,-0.00066084-0.00047858i,3.4036e-05+0.00017858i,-0.00061254+0.00081541i,-0.0015288+0.00086499i,-0.00079943-0.00014016i,0.00010908-0.00011361i,-1.1532e-05+0.00074972i,-8.3801e-07+0.0011017i,0.00026308+0.0011131i,0.00040428+0.00071825i,0.00035208+0.00033169i,0.00058074-0.00038776i
-0.00049894+0.00021512i,-0.0019259+0.0010805i,-0.002703+0.0013352i,-0.0013826+0.00072559i,0.00010356+0.00067214i,0.00038619+0.00058648i,-0.00034381+0.00011902i,-0.00032341-7.9894e-05i,-0.00019692+0.00010985i,-0.00042712-0.0005319i,-8.2794e-05-0.00064858i,0.00030673-0.0001376i,-0.00014766+0.00019514i,-0.00052061+0.0010626i,-8.4945e-07+0.0015086i,0.00089513+0.00080689i,0.0014607+0.00083708i,0.0017425+0.00055797i,0.0013748-0.00015745i,0.00083136-6.4686e-06i,0.0002111+8.1942e-05i,-0.00010876-0.00022639i,-1.1654e-05-0.00056438i
-0.0020065+4.8658e-05i,-0.0030053-0.00036581i,-0.0030693-0.00055668i,-0.0019519+0.00045869i,-0.00057797+0.0010081i,0.00014234+0.00041857i,0.0002304+0.00028116i,-4.6425e-05+0.00040644i,-0.00054914-6.6797e-05i,-0.00099941-0.00043311i,-0.0011361-0.00015288i,-0.0001141+0.00051028i,0.00049354+0.00051332i,0.00023331+0.00011264i,0.00017579-6.2555e-05i,0.00019077-0.00027114i,-0.00041205-0.00020988i,-0.0005134+0.00010611i,8.946e-05-0.00011065i,0.00034854+0.00048537i,0.00018622+0.0011174i,0.00064748+0.001965i,0.00032588+0.0015216i
-0.0015216-0.00089142i,-0.0012999-0.0013224i,-0.00073005-0.00023685i,-0.00019836+0.00028789i,0.00048705-6.6648e-05i,0.00086238-0.0011237i,0.00035053-0.00081036i,2.0405e-05+3.114e-05i,0.00010767+0.00054274i,-0.00032546+0.00020918i,-0.00064067-0.00027604i,-0.00053964-0.00032799i,-0.0011445-0.00050756i,-0.0014838-0.00051101i,5.8471e-05+0.00011882i,0.0012221+0.00042113i,0.0009142-3.943e-05i,-2.8861e-05-0.00070238i,-0.00055826-0.00032165i,-3.444e-06-0.00023236i,0.0003653-0.00065969i,9.659e-05-0.00057614i,-0.00023571+5.5381e-06i
