-0.0046395+0.00047259i,-0.0021171+0.0016247i,-0.00040361+0.0039409i,0.0007815+0.0044427i,0.0018782+0.0036377i,0.0010687+0.0021855i,-0.00020073+0.0016076i,-0.00034682+0.0015227i,0.00073271+0.00097805i,0.00080984+0.00059977i,0.00010883+5.3442e-05i,0.00020155-0.00091843i,0.00022096-0.0022397i,6.0796e-05-0.0026687i,-0.00060938-0.0014593i,-0.0010103-0.00043105i,-0.0010684-0.00059749i,-0.00092383-0.00087218i,-0.00023248-0.00042101i,0.0004189+0.0004836i,0.00057712+0.00041933i,0.00052444-0.00012965i,0.00083722-0.00035133i
-0.001097-0.0017461i,-0.00090322-0.0010143i,-0.00064524-0.00077755i,-0.00016092-0.0005967i,0.00055163+5.823e-05i,0.00025893+0.00040179i,1.0151e-05+0.00054735i,9.4084e-05-0.00025972i,1.6095e-05-0.00072645i,-0.00020816+0.00024323i,-0.0003984+0.00059902i,-0.00082926+0.00066589i,-0.00098525+0.00062991i,-0.0002954+0.00044316i,-0.00029009+0.0006524i,-0.0001579+0.00039664i,0.00024108-0.00020769i,-6.0096e-05+0.00016712i,2.3316e-06+3.6414e-05i,0.00037816-7.9112e-06i,-7.2982e-05-0.00010446i,-7.7158e-05-0.00013821i,-9.388e-05+0.00011018i
-0.0011235-0.00022839i,0.00012571-0.00093436i,0.00060709-0.00012933i,0.001524+0.0013458i,0.0016912+0.0011513i,0.00022384+0.00076804i,-0.00068023+0.00065305i,-0.00076467+0.00032346i,-0.00059779-0.00029362i,0.00015873-3.7345e-05i,0.00054463+4.446e-05i,0.00042807-0.00082647i,0.00032244-0.0013447i,0.00012449-0.0011682i,3.558e-05-0.00082673i,-0.00050478-0.00094101i,-0.00055174-0.00080112i,-0.00011693-9.0502e-05i,-0.00040955-5.1333e-05i,-0.00022058-0.00047533i,0.0002631-0.00038258i,5.8161e-05+5.2913e-05i,-0.00089389+0.00019864i
-1.7308e-05-0.00067752i,0.00031384-0.00033335i,0.0010681-0.00023706i,0.0015746+5.8286e-05i,0.0010897+0.00028746i,0.00033036+0.00040329i,0.00033413+7.9892e-05i,0.00067401-0.00026161i,0.00083061+0.0001457i,0.00093616+0.00010216i,0.00066019-0.00011307i,0.00011236-4.1076e-05i,-0.00016218+0.00013954i,0.00019016+6.6873e-05i,0.00043735-0.00074395i,-0.00037043-0.0009196i,-0.00083392-0.00030667i,-0.00022464-0.00029373i,0.00034727-0.00045273i,0.00021659-0.00012035i,2.1989e-05+0.00019416i,-0.00065161+3.8212e-05i,-0.00094517-4.1023e-05i
-0.00052008+0.0022999i,0.00039421+0.0016056i,0.0016023+0.0017293i,0.0021759+0.001672i,0.0018317+0.0014805i,0.00086667+0.00027616i,0.00043941-0.0013032i,0.00083288-0.00097292i,0.0010645+0.00027314i,0.00054975+0.00060769i,0.00014134-0.0004479i,8.0205e-05-0.00071386i,-0.00012191-0.00041731i,0.00058146-0.00034838i,0.00043873+0.00019442i,-0.00055728+8.8357e-05i,-0.0007172-0.00019623i,-0.00042003+0.00028486i,0.00030639+0.00073236i,0.00010502+0.00021528i,-0.00047526-0.0006315i,-0.00033118-0.00049767i,0.00021075-6.8672e-05i
-0.00097743-0.00050344i,-0.0020328+0.00059128i,-0.0025396+0.001397i,-0.0023078+0.001367i,-0.0025816+0.0015834i,-0.0012049+0.00058684i,-9.6203e-05-0.00037495i,-0.00049759-0.00048869i,-0.00028876-0.00037884i,9.0014e-05+0.0002119i,0.00018714+0.00012046i,-0.00026479-0.00014223i,-0.000518-0.00022624i,-0.00025269-0.00092632i,0.00042493-0.00071711i,0.00049024-0.00020899i,0.00010755+6.9754e-05i,0.00021532+0.00039553i,0.00021922+0.00019092i,0.0003387+0.00077626i,0.00068627+0.0014586i,0.00032606+0.00065941i,5.5116e-05-0.00020268i
0.0011018-0.00048095i,0.00030059-0.00039441i,-0.00044196-0.00060267i,-0.00021121-0.0013606i,0.00063611-0.00077613i,0.00084493-0.00013435i,0.00083826-0.00036274i,0.0002375+1.9455e-05i,-0.00016814+0.00066931i,-0.00017137+0.00076152i,4.5512e-06+0.00070476i,-0.00021197+0.00071487i,-0.00055203+0.00024568i,-0.00029765+0.00031693i,4.0519e-05+0.00039752i,-6.6949e-07+0.0006508i,-0.00043055+0.00074521i,-0.00073072+0.00062906i,0.00052546+0.00038981i,0.00065212+0.00032712i,-0.00056998+0.00045591i,-0.00094691+0.00057526i,-0.00046492+0.000501i
0.00082188+0.00096336i,0.0014757+0.00081412i,0.001447+0.00047492i,0.0012125+0.00033096i,0.00048357+0.00081327i,-0.00044649+0.00074203i,-0.00046872+0.00084877i,-0.00033532+0.00052179i,0.00036815-0.00010459i,8.855e-05+0.00016058i,-0.00031011-1.5813e-05i,0.00016003-0.00040538i,-0.00023588-0.00025041i,-0.00071011-2.114e-05i,-0.0012915+0.00035284i,-0.00085524+0.00063735i,-0.00047204+2.2893e-05i,5.1356e-05-0.00020739i,0.0010013+0.00013968i,0.0013286+0.00031886i,0.0010734+0.00031804i,0.00053048+3.0644e-05i,-0.00026836-0.00017363i
-0.0006744-2.1206e-05i,-0.00079915+0.00056703i,-0.00099142+0.00034418i,-0.00050486-0.00017193i,0.00042452-4.4807e-06i,0.00019684+0.00011317i,-0.00027355-0.00014547i,-0.00067142-7.0172e-05i,-0.00055071-0.00043537i,0.00050664-0.0011205i,0.00079223-0.001166i,0.00010698-0.00063709i,-0.00015541+1.5076e-05i,-0.00059794-0.00015333i,-0.0012928-6.7616e-06i,-0.0012203-0.00024723i,-0.0004829-0.00013409i,0.00063868+2.6916e-05i,0.0018548-8.1685e-05i,0.0014397+0.00075083i,0.00091501+0.0006974i,0.0013351+8.1411e-05i,0.0011118+0.00018351i
-0.00059877-0.00012325i,0.00011358-0.0009035i,-0.00030968-0.00094159i,-0.00057602-0.00035826i,-0.00040255+0.00011194i,0.00036643-6.5003e-05i,0.00089914+0.00018838i,0.00049685+0.00034054i,0.00041108-0.00034154i,0.0010583-0.00041133i,0.00066032-9.6168e-05i,-8.2838e-05-0.00086701i,-0.00012669-0.00079859i,0.00014262-0.00010085i,2.3028e-05+0.00029446i,-0.00027196+0.00027415i,0.00038615-0.0006802i,0.00077361-0.00059339i,0.00016674+0.00045278i,0.00028525+0.0010894i,0.00091952+0.0011246i,0.00057318+0.00086581i,0.00017422+0.00032817i
-0.00063665-0.00015309i,-0.00035872-0.00026382i,-0.00049027+0.00030616i,-0.00042417+0.0012432i,-0.00049592+0.0018932i,-0.00047188+0.0011427i,0.00039915+0.00032981i,0.00026323-6.4951e-05i,0.00049781-0.00015458i,0.0012169+0.0005917i,0.00071448+0.00089918i,0.00031809-0.00033119i,0.00034756-0.0011073i,0.00027374-0.00077399i,0.00040358-0.00044532i,0.00060097+0.00045595i,-0.00016557+0.00031724i,-0.00073742+0.00055094i,0.00013719+0.0014684i,0.00056296+0.0020905i,0.00060065+0.0013813i,0.00021325-5.8698e-05i,-6.976e-05+0.00041761i
-0.001504+0.00071724i,-0.00071894+0.0013885i,-0.00038779+0.00052009i,0.00030636+0.00050348i,0.00074544+0.0010489i,0.00060759+0.00078195i,0.00068235+0.00035132i,0.00085062-0.00027353i,0.0010806-0.00025063i,0.0010087-0.00037408i,0.00078954-0.00047433i,0.00051844-0.00041225i,0.00037607-0.00095145i,0.00072766-0.001071i,0.00073135-0.00098475i,8.4733e-05-0.0012302i,1.2328e-05-0.0014175i,5.0835e-05-0.0013052i,0.00038248-0.00059182i,0.0008413+0.00035879i,0.00082277+0.00079712i,0.00084674+0.00041847i,0.00060235+0.00030637i
0.00015724+8.6329e-06i,-0.00099448+0.001602i,-0.00073577+0.0021193i,-0.00022417+0.0013687i,-0.00018597+0.0010722i,-0.0001851+0.0011453i,-0.00039125+0.00023168i,-0.00046961-0.00011045i,4.6273e-05-0.00011186i,0.00041217-0.00092464i,0.00060785-0.0010597i,0.00012494-0.00084673i,0.00028647-0.00089263i,0.00035304-0.00061327i,-0.00032724-0.00033835i,-0.00047603-0.00062991i,-0.00010156-0.0006715i,-1.5512e-05+0.00034905i,-7.5386e-05+0.00028831i,-0.00050329-0.00044263i,-0.00043059-0.00024613i,8.9977e-05+4.9162e-05i,-1.4304e-05-0.00029739i
-0.00060844-0.0013005i,-0.00024325-0.0016119i,-0.00015362-0.0022296i,0.00033443-0.0019219i,7.8608e-05-0.0015714i,-0.00030386-0.0011625i,0.00077021-0.00061951i,0.00066559-4.2495e-05i,0.00015478+0.00039159i,-0.00028659+0.00055827i,-0.00078715-0.00020915i,-0.00069967-8.1104e-05i,9.0152e-05+2.0842e-05i,0.00034852-4.787e-05i,-0.00023574+6.0648e-05i,-0.00020993-0.0010697i,8.8323e-06-0.0010373i,3.6616e-05+0.00022742i,-0.00013924-0.00038857i,-0.00044235-0.0010471i,-0.00066855-0.00055432i,-0.00067992-0.00019019i,5.0627e-05-0.00022237i
0.00036854+0.0032465i,0.00095489+0.0019063i,0.0017171+0.0016638i,0.0013487+0.001343i,0.0012932-0.00064256i,0.0010013-0.0008651i,-0.00027468+0.00030532i,-0.00016249+0.00075462i,0.00025827+0.00042156i,0.00059134+4.5819e-06i,0.00026472+8.5995e-05i,-0.00035659-0.00062082i,2.271e-05-0.00036622i,0.00042422+0.00022024i,0.00055111-0.00059883i,-4.3199e-05-0.00042576i,-0.00052611-0.00017485i,-0.00037568-0.00033856i,-0.00015803+4.6472e-05i,0.00099899+0.00079657i,0.0013506+0.0010355i,0.0010328+3.9256e-05i,0.00048154+9.0822e-05i
-0.0012073+0.00067309i,-0.00054358+0.00050373i,-0.00042477-0.00039548i,0.00019973+4.4471e-06i,0.00031228+0.0010255i,9.1437e-05+0.0004508i,-3.2497e-05+0.000126i,-0.00017548+0.00076087i,0.00013727+0.00011909i,0.00033217-0.00038178i,0.0004426-0.00023899i,0.00020014-0.00080206i,0.00036533-0.001109i,0.00073316-0.0006153i,-0.00013074-0.00010621i,-0.00031707-5.9398e-05i,0.00058806+0.0004229i,0.00074691+0.0012498i,7.3232e-05+0.000831i,-0.00040645-0.00020637i,-0.00040459-0.0011159i,-0.00065716-0.0014221i,-0.00051425-0.0015677i
-0.00011157-9.7239e-05i,-0.00010153-0.00083005i,-0.00032689-0.00093699i,0.00041654-0.00065009i,0.0014616-0.00035402i,0.00053602-0.00015874i,-0.00035465+0.00016662i,-0.00045853-5.2322e-05i,-0.00029031-0.00097421i,-8.0124e-05-0.0012522i,-0.00024422-0.00080875i,-0.00064831-0.00010472i,-0.00091443+5.1885e-05i,-0.00045701-0.00035003i,0.00039001-0.00046877i,0.00024657-0.00028595i,-0.00042509+0.0004515i,-0.00034659+0.00033049i,0.001165-8.9557e-06i,0.0015354+0.00038463i,0.00061329+0.00023883i,9.8336e-05-0.00031916i,0.00083329-0.00047557i
0.0013485-0.00070372i,0.0012629-0.0012307i,-0.00031225-0.0013586i,-0.00077728-0.0005428i,-0.00033484+0.00069151i,0.00016006+0.0008647i,0.00014042+0.00030613i,-0.00016406+8.653e-05i,0.00011717+0.00036143i,-0.00028606+0.00016378i,-0.00027529-0.0001735i,0.00020735-6.9589e-05i,-0.00024229-7.924e-05i,-0.00037812-0.00013469i,0.00022786+3.2076e-05i,0.00047073+0.00028636i,0.00032735+0.00010127i,-0.00014667-0.00030987i,-0.00021686-0.00032211i,1.2049e-05-0.00059541i,0.00054401-0.00050337i,0.00062179+0.00033546i,-0.00062904-0.00011619i
0.00024639+0.00095494i,0.00085584+0.0015035i,0.00049113+0.0011297i,5.8815e-05-0.00049485i,0.00017275-0.0010762i,-4.7875e-05-0.00051649i,-0.00023954+4.9705e-05i,-0.00067938+0.00039269i,-0.00021023+9.7473e-05i,0.00072165-0.00060857i,0.00059996-0.00084688i,3.3727e-05-0.0007136i,-0.00029588-0.00036232i,-3.6119e-06+0.000389i,0.00023163+0.00032816i,0.00066379-0.00042484i,0.00093343-0.00082216i,0.00012935-0.00080901i,0.00031136-5.9103e-05i,0.0008136+0.00049513i,0.0004556-0.0002147i,4.3507e-05-0.00029458i,4.8105e-05+0.00067882i
-7.7229e-05-0.0014196i,-0.0013253-0.0020698i,-0.0014086-0.0018913i,-0.0014771-0.00025448i,-0.0018356+0.00033721i,-0.00086855-0.00019126i,-0.00039912-0.0005362i,-0.00051769-0.00076449i,-0.0004328-0.00076269i,-0.00081258-7.1991e-05i,-0.00082739+0.00075575i,7.6778e-06+0.00027977i,0.00043431+0.00039858i,-0.00028399+0.00084303i,-0.00030189+0.00018573i,0.00053348+0.00019121i,0.0012492+0.00021118i,0.00078973+0.0002354i,0.00028109+0.00022154i,0.00046131+0.00051441i,0.00058946+8.8784e-05i,4.8926e-05-0.00017565i,-0.00040445+0.00048662i
-0.0002769-0.00013166i,0.00093724+0.0013269i,0.00072952+0.0016027i,0.00080535+0.0014045i,0.00075302+0.00034497i,-8.0351e-05-0.00051216i,-0.00046269+0.00037043i,0.00028488+0.00040779i,0.00044972-0.00044017i,8.5736e-05-0.00052156i,-0.00040492-0.00041224i,-0.00037814-0.00015501i,0.00053792-0.00021152i,0.00030254-0.00096015i,-0.00037928-0.00049177i,-0.00060646-0.00023822i,-0.00044058-0.00028462i,0.00026568-1.1965e-05i,0.00043049-2.8061e-05i,0.0004086+2.5177e-05i,0.00065605+0.0004966i,0.00089465+0.00072012i,0.0004114+0.0004753i
-9.5156e-05-0.0022501i,-0.00055446-0.00085547i,-0.0011208+0.000318i,-0.0015527+0.00043184i,-0.0012749+0.0005766i,-5.1924e-05+0.00098225i,0.00048889+0.0004147i,0.0005591-0.0005678i,2.7376e-05-0.0010388i,-0.00072275-0.00035262i,-0.00057517+0.00010116i,-4.1015e-05+5.1244e-05i,-2.7525e-05+0.00027495i,0.00011991+0.00019269i,0.00057956+0.00014855i,0.00037533-8.1491e-05i,0.00018918-0.00066131i,0.00076006-0.00070234i,0.00092294-0.00072031i,8.5493e-05-0.00059913i,-0.0010902+0.00063076i,-0.0013409+0.00083534i,-0.00087174+2.854e-05i
-0.00059181-0.0014879i,-0.0014213-0.0014263i,-0.0022569-0.00091956i,-0.0016834-0.00074494i,-0.00085932+1.9988e-05i,-0.0007985+0.0006973i,-0.0003754+0.00021945i,-0.00020829-0.00083821i,-0.00041284-0.0015267i,-0.00048648-0.0011701i,-0.00035621-0.00049835i,-0.00038878+0.0001192i,-0.0015275+0.00027237i,-0.0016795+1.9174e-05i,-0.00059903+0.00010653i,-0.00042188-3.3407e-06i,-0.00065783+0.00038618i,-6.3446e-06+0.00029264i,0.0010256-0.00059828i,0.00065891-0.00038601i,-1.1021e-05+0.00011058i,-3.0168e-05+0.00053918i,-0.00043058+0.00081504i
-0.00071974-0.00046777i,0.00033385+6.492e-05i,0.0013682+0.00038246i,0.00098177+0.00059173i,0.00032329+0.00065132i,0.00036848-0.00011508i,0.00053144-0.00056563i,0.0012743-0.00020863i,0.0013061-3.1044e-05i,0.00074054-0.00037989i,0.00051308-0.00070532i,-0.00014378-0.0007839i,-0.00014767-0.00051483i,-0.0005249+0.0004156i,-0.00050402+0.00033744i,0.00035713-0.00019087i,0.00053313+0.00014607i,0.00079369+7.9269e-05i,0.00093012-0.00031383i,0.000769+0.00015412i,0.00019452+8.6863e-05i,-1.912e-05-0.00032264i,0.00032942-2.7884e-05i
-0.0017406+0.0011411i,-0.00071567+0.0018488i,-0.00020308+0.0025688i,0.00078373+0.0025201i,0.0011264+0.0018953i,0.00072154+0.00061437i,0.00053654-0.00057094i,0.00014727-0.00059183i,-0.00015913-0.00029072i,-0.00030959-0.00070593i,-0.00050877-0.001112i,-0.00040154-0.0013635i,-2.5898e-05-0.0010188i,0.00012319-0.00068915i,-0.00022835-0.00063579i,-0.00096731-0.00056968i,-0.00064071+1.1553e-06i,-0.00024299+0.00078402i,-0.00098696+0.00090145i,-0.00063403+0.00072125i,-0.00013844-4.5687e-05i,-0.00021099-0.00073766i,-0.00014635-0.00039714i
-0.0011317+0.0019607i,-0.00093846+0.0019239i,-0.0007431+0.0014345i,-0.00037801+0.00065901i,0.00033724+3.514e-05i,0.00073848-0.00052723i,-0.00018024-0.00026467i,-0.0010697+5.8576e-05i,-0.00058934-0.00046867i,0.00067678-0.00024609i,0.0010135+2.4659e-05i,0.00027084-0.00060851i,-0.00017308-0.00056278i,-0.00013304-0.00029803i,-0.00031995-0.00048826i,-0.00048971-0.00096981i,-0.00023199-0.00053304i,-0.00026496+0.0001815i,-0.00018302-0.00023288i,-0.00011976-0.00023103i,-0.00013535-0.00027036i,0.00027909-0.00014026i,-0.00023114+0.00010421i
0.00031616-0.001472i,-0.00025296-0.0010964i,-0.00088057-0.0018307i,-0.00034775-0.0012i,0.00031525-0.00056788i,0.0005001-0.00087497i,0.00084557-0.0010305i,0.00059651-0.00076228i,0.00025937+0.00019762i,-0.00016206+0.00077947i,-0.00018345-6.2241e-05i,4.1945e-05-0.00045118i,0.00024572-0.00043193i,-2.2973e-06-0.00024235i,-0.00030673-0.0003274i,0.00058807-0.00063855i,0.00077164+0.00029703i,0.00057356+0.001255i,0.00071687+0.00052322i,0.00072074-0.00046233i,0.00064386-0.0007192i,0.00091434-0.00058363i,0.00063776-0.00044436i
0.0011925+0.00029253i,0.00052762+0.00019217i,0.0013019-0.00026365i,0.0017046-9.5092e-05i,0.0012541+0.00040343i,0.00045028+0.00030649i,-0.00022433-0.00025957i,-0.0003463-0.00029532i,-2.8487e-05-0.00066878i,9.3124e-06-0.00050012i,-6.6145e-05+0.00050347i,0.00018986+0.00078447i,0.00037715+0.00024761i,0.00038638-0.00012577i,-8.0679e-05-0.00056478i,-0.00020562-0.0010567i,-3.0928e-06-0.00078303i,0.00030885+1.8031e-05i,0.00052936+0.00057009i,0.00011952+0.00021737i,-0.00065227+0.00041895i,-0.00076702+0.00056249i,0.00035767+0.00018017i
0.00061042+0.00032531i,0.00061202+0.00045268i,0.00027643+0.00014023i,0.0010103-0.0006341i,0.0013297-0.0010168i,-0.00014658-0.0011086i,-0.001546-0.00094534i,-0.0016683-0.00066734i,-0.00093118-0.00096807i,-0.00018156-0.0010992i,0.00030562-0.00087091i,0.00021768-0.00075405i,-0.00019658-0.00057306i,-0.00055424+4.7333e-05i,-0.0010683+0.0005483i,-0.0017572+0.00038569i,-0.0015112-0.00037412i,-0.00025572-0.00016539i,0.00046258+0.00022799i,0.00043174+5.4201e-06i,0.00039567-2.4416e-05i,0.00025822+0.00012906i,-0.00016485+0.00019329i
0.00057139-0.001538i,-0.00015237-0.0012188i,-0.0012047-0.0013505i,-0.0016476-0.00093471i,-0.0014207-0.0010468i,-0.00045163-0.0010942i,0.00038035-0.00053464i,0.00017792-0.00016067i,0.00010747-0.00049307i,0.00020658-0.00082163i,0.00026247-0.00087974i,-2.648e-05-0.00067166i,-0.00024952-0.00056886i,-0.00020183-0.00017504i,-9.3497e-05-0.00013372i,1.1473e-05-0.00029444i,0.00014879+1.387e-05i,0.00050627-0.00015516i,0.00099358-0.00013777i,0.0005304+0.00017465i,0.00029479+0.00034213i,-2.921e-05+0.00033682i,-0.00040986+0.00053439i
0.00068811-0.00057939i,0.0011059-0.00066436i,0.0018263-0.00025482i,0.0015044-7.4276e-05i,0.00020211-0.00060636i,-0.00048876-0.0004495i,-0.00047189+0.00022793i,-0.00016572+0.00052231i,0.00033568+0.00070292i,0.00084124+0.00030135i,0.001406-0.00038408i,0.0010752-0.00032339i,0.00032479+0.00027113i,-0.00035814+6.3445e-05i,-0.00035562+0.00014467i,0.0002587+9.6751e-07i,0.00041146+0.00037706i,0.0010145+0.00039813i,0.0011526-0.00023926i,0.00062002-0.00018156i,0.00074551+0.00093133i,0.0013496+0.0013427i,0.00096266+0.00055889i
