0.0013488+4.486e-05i,0.0011784-0.0010555i,0.00031864-0.0018033i,-0.00042708-0.0017803i,-0.0012865-0.00027101i,-0.0024813+0.0013388i,-0.002438+0.0019491i,-0.00035697+0.0019273i,0.001641+0.0011769i,0.0012798-0.00010692i,0.00030846-0.00099559i,-0.00065377-0.0012824i,-0.0015405-0.0010806i,-0.0010975-1.0305e-05i,-0.00074757+0.0005849i,-0.0014194+0.00037501i,-0.0019204-7.6806e-05i,-0.0014668-1.617e-05i,-0.00043147+0.00020869i,-0.00017668-0.00014323i,-0.00085302-0.00062709i,-0.00088028-0.00082993i,-0.00045445-0.00084057i
0.00046557-0.0016483i,-0.00024736-0.0011968i,-0.00014862-0.0017472i,-4.2249e-05-0.001975i,-0.00048926-0.0016302i,-0.0006198-0.00066964i,-0.00028108-8.2431e-05i,-0.00050967+0.0001933i,0.00016181+0.00047831i,0.00054955+0.00041876i,-6.9367e-05+0.00026141i,-0.00074049+0.00052447i,-0.00098301+0.00040623i,-0.00041984-0.00030427i,0.00018135-0.00031133i,-2.6968e-05-0.00016194i,-0.00010473-0.00020602i,-0.00037503+0.00035621i,-0.00087489+0.0006125i,-0.00075692+0.00010785i,-0.00027615+0.00042871i,-0.00026665+0.00031378i,-0.00043985-0.00037924i
0.00041456-0.00040863i,0.00051404-0.00012727i,0.00052409-3.2935e-06i,0.0010184+0.00053548i,0.00065232+0.00068269i,0.00015096+0.00039308i,-0.00042564+0.00064912i,-0.0003126+0.00026445i,0.00053936-3.5997e-05i,0.00038735+0.00092741i,0.0001122+0.00051877i,0.00041103-0.00065554i,9.5834e-05-0.00068371i,-0.00022454-0.00068872i,0.00023277-0.00087511i,-3.6727e-05-0.00081447i,-0.00082626-0.00090234i,-8.8025e-05-0.00059186i,0.00046838-0.00041048i,0.00032627-0.00037682i,0.00036951-4.3019e-05i,0.00062946+0.00040387i,0.00059437+0.00072889i
-6.8911e-05-0.00059667i,-0.00087982-0.00026219i,-0.0015913+3.2125e-05i,-0.00070052+0.00065509i,0.00028442+0.0010484i,0.00039052+0.0011571i,0.00047627+0.0008215i,0.0010283+0.00087903i,0.0011187+0.0012297i,0.00046203+0.0015111i,0.00057495+0.0010591i,0.0011665+6.2692e-05i,0.00047319-0.00029136i,-0.00064553+3.9042e-05i,-0.00079648+0.00034489i,-0.0011373-0.00028091i,-0.00090238-0.0006455i,-0.00015348+0.00050246i,-0.0001925+0.0017288i,-0.00060321+0.001618i,-0.00068593+0.00057148i,-0.00036193+0.00048339i,5.6363e-05+0.00044264i
-0.0003459-0.0018748i,-0.00024762-0.0012926i,0.00012376-0.001095i,0.00068116-0.00084208i,-0.0001277-0.00098755i,-0.0009851-0.00040049i,-0.00043897+0.00056101i,-0.00021519+0.0010407i,-0.00046137+0.00087786i,-0.0010959+2.9026e-05i,-0.0011694-0.00049698i,-0.0001139-4.4361e-05i,0.00032837+0.0011335i,0.00070754+0.0011851i,0.00106+0.00067031i,0.0003451+0.00067063i,-3.2231e-05+0.00060772i,-0.00084489+0.00035084i,-0.0015891-0.00050023i,-0.0015131-0.00059223i,-0.00078796+4.2313e-05i,0.00010534+0.00053416i,0.00038548+0.00050973i
0.00050645-0.00079876i,1.177e-05-0.00082303i,-0.00022117-0.00041495i,-0.00034418-0.00021257i,-0.00068455-0.00059855i,-0.0012586-0.00093477i,-0.00099546-0.00081041i,0.00016891-0.0002126i,0.0006558+0.00083081i,0.00032687+0.001627i,-0.00027581+0.0015607i,-0.00082788+0.00073126i,-0.00062247-0.00015931i,-0.00036495-0.00025072i,-0.00043987-0.00015052i,-2.1904e-05-0.00036643i,0.00036644+4.1572e-05i,-1.7825e-06+0.00068114i,0.00027503+0.00061676i,0.00055211+5.1711e-05i,0.00016881-0.00070242i,-0.00018964-0.00079787i,-0.00013467-0.00010269i
-0.0010178-1.9547e-05i,-0.00070415-0.00072379i,-0.00039513-0.00062444i,0.00077819+0.00028559i,0.00099064+0.00057515i,-6.8707e-05-0.00024824i,-0.0004814-0.00054093i,-7.4528e-05+0.00025592i,0.00031707+0.0011253i,-3.9265e-06+0.00075928i,-0.00034669-5.9304e-05i,-0.00044597-0.00059324i,7.614e-05-0.00072041i,0.00045443-0.00017362i,-1.144e-05-0.00042012i,-2.2178e-05-0.00078949i,4.4654e-05-0.00054999i,1.9636e-06-0.00047153i,-0.00046017-0.00061235i,-0.00084472-0.0006383i,-0.00059487-0.00041999i,-0.0005639-0.00012174i,-0.00045815+2.1672e-05i
0.0012613-0.0015027i,0.0008955-0.0015789i,0.00045157-0.0012674i,-0.00050352+0.00022552i,-0.001363-0.00013135i,-0.00072988-0.00049702i,0.00037955+0.00031713i,0.00066642+0.00096474i,9.439e-05+0.0012921i,-0.00090363+0.00041974i,-0.0009666-0.00016318i,1.7106e-05+0.00074213i,0.00023114+0.00094236i,-0.0006588+0.00030808i,-0.00094519+0.00017998i,-0.00054929+0.00026958i,-0.00019419+0.00032965i,0.00032023+0.00077958i,-8.7388e-05+0.00052686i,-0.00069774+3.8763e-05i,-0.00024416+0.00024939i,-0.00024986-0.00018696i,-0.0006548-0.0010264i
0.0012794-0.0023079i,4.1515e-05-0.00087279i,-0.0010907+6.7812e-05i,-0.0017981+5.644e-06i,-0.0020188-7.6882e-05i,-0.0017497-2.4584e-05i,-0.00064451-0.00028035i,-0.00014-1.7962e-05i,-0.00032585+0.0010445i,-0.0006791+0.0010442i,-0.00093208+0.00070295i,-0.00040947+0.00087819i,-0.00047727+0.00029512i,-0.00057146-0.0004826i,-0.00046963-0.00078653i,-7.4238e-05-0.00017549i,0.00040116+0.00032515i,-0.00031409-0.00010617i,-0.00084128-0.00055806i,-0.00036094+0.00010195i,0.00037849+0.00035836i,0.00036885+0.00021946i,-9.2849e-05+0.00019007i
0.0030388-1.9976e-05i,0.0036746+0.0010257i,0.0032883+0.00054363i,0.0019749-0.00065894i,0.00037942-0.0011945i,-0.00037981-0.0014288i,-0.00080627-0.00047442i,-0.00080901+0.00046323i,-0.0011178+0.00083895i,-0.0012729+0.00058536i,-0.00084793-0.00020348i,-0.0007153-0.00078571i,-0.00028581-0.00060733i,-0.00032333-0.00020553i,-0.00067318-9.833e-05i,-0.0011369+0.00012i,-0.0012937+0.00034163i,-0.00048375+0.00044133i,0.00015213+6.3797e-05i,-0.0001005-0.00025647i,-0.0009433-0.00072337i,-0.00089855-3.9508e-05i,-0.00064408+0.00088082i
-0.00015984-0.00071516i,-0.00033628-0.000341i,-0.001491+0.00055199i,-0.0011144+0.0010702i,-5.6322e-05+0.00050224i,0.00023965-0.0004187i,-0.00014323-0.0013134i,-0.00022253-0.00093538i,0.00026477+0.00030879i,0.00069908+0.00057728i,-3.2024e-05+0.00029115i,-9.5629e-05+0.00014468i,0.00054789+0.00012175i,0.00078025+0.00016981i,0.00065194-0.00028265i,0.0001787-0.00064474i,-0.00039619-0.00010379i,1.8889e-05+8.2373e-05i,0.00028512-0.00055496i,-8.0666e-05-0.00064515i,-2.9803e-05-0.00015376i,0.00019058+0.00045594i,0.00046425-0.00079087i
-0.0003461+0.00050994i,-0.0013719+1.2302e-05i,-0.0021302-8.4743e-05i,-0.0021162+0.0013176i,-0.0018493+0.00046823i,-0.00087652+6.4642e-06i,-0.00014762+0.00094429i,-0.00055661+0.00020797i,-0.00073421-0.0003378i,-0.00037786-0.00026723i,0.00019502+0.00034209i,-1.5127e-05+0.0012658i,-0.00072959+0.0012282i,-0.00073879+0.00058138i,-0.00090911+7.3204e-05i,-0.0010432+0.00032089i,-0.00086176+0.00012098i,-0.00035875-0.00021539i,9.2196e-05+0.00026417i,0.00036813+0.00064036i,0.00045906+0.0006415i,0.00014668+0.00072142i,1.2008e-05+0.00088079i
0.00060568+0.001958i,0.00026636+0.0023209i,-0.00011016+0.001424i,0.0010286-0.00022871i,0.0022694-5.7068e-05i,0.0012292-0.000104i,-3.5465e-05-3.1775e-05i,-0.00018519+0.00088342i,0.00040468+0.0010019i,0.00073303+0.00066808i,0.00026052-0.00045716i,-0.00011742-0.0011115i,-0.00010421-0.00052511i,-4.7017e-05-0.00055811i,-0.00071066-0.00064082i,-0.0013366-0.0005828i,-0.00085282-0.00055655i,-0.00013221+6.2325e-05i,0.00034161+0.0011167i,-0.00030521+0.00016382i,-0.00058282-0.00099238i,-5.3363e-05-0.00089536i,0.0007237-0.00049094i
-0.00048299-0.0012963i,-0.00049042-0.00093317i,-0.00048804-0.00056754i,0.00020227+0.00042982i,-4.2496e-05+0.0014921i,-0.00112+0.0013534i,-0.0012363+0.00080807i,-0.00079724+0.00048001i,-0.00075193+0.00050515i,-0.00079388+0.00054084i,-0.00065925+0.00071899i,-0.00022331+0.00055315i,3.8194e-05-0.00014656i,-0.00022711-0.00032753i,-1.9183e-05-0.00064598i,0.00019474-0.00039695i,-0.00066979+0.00069242i,-0.00092594+0.00077431i,-0.00042933-0.0001016i,-0.00014939-0.00080271i,-0.0010003-0.00059523i,-0.0010911-0.00031334i,-0.00045564-3.5041e-06i
-0.0014437+0.0003158i,-0.0014295+0.00012116i,-0.0012858-0.00014955i,-0.00011561+0.0005016i,0.00056229+0.00076289i,0.00060846-4.7838e-05i,0.00066448+4.6599e-05i,0.00067639-0.00017403i,0.00049987-0.00037896i,-0.00052288+0.00066357i,-0.00035562+0.0012538i,0.00067051+0.0007814i,-0.00019836+0.00029866i,-0.00045204-0.00018883i,0.00010964-7.3526e-05i,-8.674e-05-0.00014753i,0.0002917-0.00047729i,0.00064293-0.00018411i,3.3896e-05+0.00038791i,-3.9269e-05+0.00039925i,0.00028974+0.00020272i,0.00066387+0.00056342i,0.00038695+0.00041503i
0.0014583+0.00058745i,0.00094379+0.00045932i,0.0010224+0.0010561i,0.0013318+0.00037425i,0.0003303+8.6327e-05i,-0.00082258-5.936e-05i,-0.00060448-0.00041744i,9.1058e-05+0.0012103i,6.165e-05+0.0021925i,0.00010755+0.0014179i,0.00023501+0.00087469i,-0.00018062+0.00022348i,0.00035082-0.00061282i,0.00075777-0.00084295i,1.2289e-05-0.00035659i,-0.00098999+0.00014683i,-0.0011849+0.00049569i,-0.00026323+0.00026168i,0.00031282-0.00013234i,0.00024741-0.00055208i,0.00019145-0.00057069i,-0.00023225-0.00094594i,0.00060294-0.00096448i
0.00023296-0.0013114i,-0.00083766-0.00072152i,-0.00057392-0.00077843i,-0.00015522-2.7621e-08i,-7.3514e-05+0.00080697i,-0.00032839-3.6668e-05i,-0.00071588-0.00083814i,-0.0009353-0.00044389i,-0.0010908+2.5956e-05i,-0.00021611+0.00024839i,-0.00013828+0.00016524i,-0.00094034-0.00010563i,-0.00010361+0.00042961i,0.00081466+0.00090601i,0.00065988+0.00065595i,4.3364e-05+0.00023528i,0.0004823+7.3773e-05i,0.0007576+0.00063434i,0.00010448+0.0011081i,-0.00029522+0.00083254i,-0.00070996-0.0003383i,-0.00078689-0.00093586i,-0.00039364-0.00035807i
0.00085063+0.0017103i,0.00093027+0.0020314i,0.0010502+0.0022381i,0.001746+0.0016189i,0.0016286+0.00073476i,0.00047819+0.00037524i,-0.00080719+0.0006142i,-0.00064762+0.00047709i,0.00091548+0.00042638i,0.001161+0.00024578i,-0.00018615+0.00042769i,-0.00085507+0.00097888i,1.8837e-05+0.00066732i,0.00081996-9.0863e-05i,0.00012633-0.00013493i,-0.00061492+0.00034189i,0.00053385+4.5174e-05i,0.000758-0.00010793i,-0.00014134+0.00032927i,0.00011265+0.00048296i,0.00037059-0.00025868i,4.5985e-05-0.00091976i,0.00030207-0.00025426i
0.0012074+0.00092012i,0.0020399+0.0022183i,0.0025425+0.00258i,0.001214+0.0015329i,0.00074081+0.00020909i,0.00041711+2.2288e-05i,-0.00058142+0.0001135i,-0.00062476+0.00046711i,-0.0003652+0.00048301i,-0.00023111-0.00038929i,-0.00025619-0.00064654i,8.9193e-05-1.0521e-05i,0.00038273+0.0003186i,1.0318e-05-3.0486e-05i,-0.0007081-6.1973e-05i,-0.00056827-0.0001673i,-3.502e-05-3.4964e-05i,-0.00037651+0.00075784i,-0.00082859+0.00084115i,-0.00057746+0.000386i,-7.1188e-05+0.00012693i,0.00014805-0.00025524i,-0.00042775-0.00010517i
0.0016195-0.00058847i,0.00050496-0.00083602i,0.00024526-0.00075398i,0.00075971-0.00062367i,0.00071163-0.00015066i,-0.00025348+0.00038038i,-0.00090093+0.00029621i,-0.00056644+0.00019008i,-0.00034634+9.4883e-05i,-0.0003119-0.00029256i,2.6962e-06-0.00030725i,0.00052643+0.0005356i,0.00046671+0.00080224i,0.00042977+0.00013315i,0.00058694-0.00050641i,0.00033285-0.0012422i,0.00033351-0.0010108i,9.954e-05+0.00010601i,0.00038857+0.00055142i,0.00057721+0.00070517i,-0.00042366+8.5886e-05i,-0.00040132-0.00073428i,4.2728e-05-0.00082003i
-0.001016-0.0016155i,-0.00074769-0.0018873i,-0.0013657-0.0011012i,-0.0015758-0.00020082i,-0.0011388+0.00039393i,-0.00089058+0.00028603i,-0.00055968-0.00033425i,0.00016544-0.00056156i,0.00050095-0.00056447i,0.00014428-9.7788e-05i,-0.00021069+0.00057233i,5.6128e-05+0.00058882i,0.000575+0.00028768i,-2.6993e-05-0.00027229i,-0.00041024-0.00041429i,0.00020763-0.00018381i,0.0003659-0.00037007i,0.00047867+0.00037782i,0.00072323+0.00040595i,0.00043987-0.00023291i,-0.00037341-0.00034407i,-0.00060683-8.5077e-05i,-0.00015429+2.1136e-05i
-0.0012815-0.0014608i,-0.00056875-0.0015791i,-0.00019199-0.0020228i,0.00064993-0.0015532i,0.00085038-0.00027542i,0.0010657+0.00010202i,0.00090005+0.00032859i,-0.00013388+0.000468i,-0.0010265+8.263e-05i,-0.00049148+0.00043777i,0.00011528+0.0011112i,0.00016125+0.00086502i,-0.00015407+0.00023149i,-6.2335e-05-0.00080306i,0.00036494-0.00054222i,-2.1638e-05+0.00022541i,-0.00046074-1.8421e-05i,0.00022963+0.00012217i,0.00066405+0.00019521i,0.00051245-0.00062023i,0.00030402-0.00085261i,0.0001509-5.1488e-05i,-0.0002057+5.0884e-05i
-0.0002689+0.0022215i,-0.0001256+0.0026081i,-0.00016388+0.0028462i,0.00073498+0.0024555i,0.0010731+0.00091067i,0.00052815-8.28e-05i,3.0994e-05+0.00011578i,-0.00010987-0.0001544i,-0.00032005+0.00037705i,-0.00020794+0.0011369i,0.00019414+0.00048159i,1.4724e-05-1.3673e-05i,0.00028846+2.8926e-05i,0.0004369-0.00062531i,-0.00018846-0.00084891i,-0.00058637-3.7102e-05i,-0.00094701+0.00056427i,-0.0011194+0.0008735i,-0.0010623+0.00064996i,-0.0010183+0.00035189i,-0.0011796-0.00029332i,-0.00072606-0.0010191i,9.2349e-05-0.00092263i
-0.00032731+0.00064987i,0.0011482+0.00060936i,0.0020864+0.00082574i,0.0024036+0.0002393i,0.0021987-0.00019349i,0.00078221-0.00054205i,-0.00046305-0.00064454i,0.00012161-0.00029437i,0.00053742-0.00026674i,0.00036676+8.094e-05i,-7.9701e-05+0.00013266i,-5.9567e-05-0.00037595i,0.00019451-0.00051736i,-6.6294e-05-0.00065763i,-0.00010903-0.00067418i,-9.1104e-05-0.00034888i,-0.00012087+0.00011738i,-0.00033574+0.00098775i,-0.00040177+0.0013965i,-0.0004364+0.00069268i,-0.00014413+5.7116e-05i,0.00054217+0.00021499i,0.00023747+0.00047172i
-0.00027123+0.00096218i,-0.0012761-0.00013284i,-0.00088043+0.00078628i,0.00051027+0.0022891i,0.00067863+0.0019894i,0.00056877+0.00011779i,0.00028779-0.00093372i,0.00040915-0.00043833i,0.00028894-6.7244e-05i,-2.6742e-05-0.00038274i,-0.00015891-0.00045961i,-0.00042066-0.00059415i,-0.00045695+5.6894e-06i,-0.00036803+0.00030832i,-0.00011385+0.00012274i,2.7331e-05-0.00045801i,9.0427e-05-0.00093488i,0.00050642-0.00089896i,0.00020555-0.00078787i,0.00020314+0.00024652i,-2.4915e-05+0.0011228i,-0.00072486+0.00072821i,-0.00064074-9.2755e-06i
6.6236e-05+0.0011632i,-3.7402e-05+0.001244i,0.00041922+0.0022974i,0.00098085+0.0022656i,0.00074209+0.00070513i,-0.00013012-0.0012519i,2.9532e-05-0.0016147i,1.9172e-05+3.0921e-05i,0.00011601+0.00064632i,0.00058305+0.00048078i,0.00013682+0.0004655i,-0.00014798-0.00014999i,-1.4186e-05-0.00081608i,-0.00010358-0.00178i,-0.00017206-0.0011876i,-7.197e-06+0.00026969i,1.5941e-05+0.00013485i,-0.00076029-0.00028544i,-0.00086124-0.00043227i,-0.00051661+0.00015042i,-0.00093714+0.00059016i,-0.00071082+0.00049558i,2.0225e-05-4.7476e-05i
0.00066243+0.0019715i,-0.00022437+0.0012179i,0.00075975+0.00057819i,0.00132-0.00019405i,0.00090599-0.00032638i,-2.3605e-05+0.00039492i,-0.00036074+0.00048199i,0.00014571+1.2141e-05i,0.00060512-0.0002882i,0.00065238-8.1714e-05i,0.00025474-0.00025876i,0.00056691-0.00064455i,0.00070009-0.00066605i,8.3427e-05-0.00095048i,-0.00077941-0.00048006i,-0.0012909+0.00085562i,-0.0010721+0.0010301i,-0.001272+0.00052943i,-0.0014701-0.00062437i,-0.00052078-0.0014096i,0.00059236-0.00097371i,0.00079233-0.00070072i,0.00031559+0.00011448i
0.0006042-0.0010538i,0.00055824-0.00069293i,-9.2252e-05-0.00043798i,0.00067423-0.00024092i,0.0011621+4.6718e-05i,0.00032476-0.00047338i,0.00020216-0.00093056i,0.0011094+7.1789e-05i,0.0011438+0.0011146i,1.1754e-05+0.00095701i,5.3334e-05+0.00090607i,-4.0729e-05+0.00073319i,-2.3708e-05+0.00033693i,0.00027883+7.0688e-05i,-4.6554e-05+0.00048967i,-0.00037359+0.00016049i,0.00027788-0.00030816i,0.00073792+0.00031179i,0.00061476+1.1634e-05i,0.0005081-0.00083993i,0.00037313-0.00085506i,0.00074727-0.00034444i,0.00053825+7.8691e-05i
-3.3939e-05-0.00052095i,0.00062746-0.00047852i,0.0010174+0.000476i,0.00071688+0.0012654i,0.00071411+0.00094928i,-9.6532e-05+0.00021487i,-0.00010807-0.00059483i,0.00039621-0.00047715i,-0.00027811+0.00077529i,-0.00099673+0.00091375i,-0.00094582+0.00017716i,0.00038073+0.00024025i,0.001248-0.00024529i,0.00065648-0.00031164i,-0.00028898+0.00024528i,-0.00071316+0.00039291i,-0.00056937+0.00033629i,-0.00067626+3.9632e-05i,-0.00023266-0.00057594i,-0.00064113-0.001014i,-0.00076862-0.0010031i,9.8231e-05-0.00080643i,0.00042331-0.0004138i
0.001529+0.0011021i,0.0008749+0.0016397i,0.00073981+0.0021642i,0.0016085+0.0010842i,0.0016574-0.0003562i,-0.00023609-0.00022553i,-0.0016732+0.00061691i,-0.00066395+0.00098408i,0.00013007+0.0012964i,0.00022924+0.00073871i,9.6025e-05-0.00010904i,6.9716e-06+0.00014238i,0.00025192+0.00066641i,0.00017379+0.00036623i,-0.00037149+0.00028628i,-0.00095012+0.00067835i,-0.0013383+0.00047262i,-0.00085462+9.7346e-05i,-0.00031651+5.7441e-06i,-0.0002959+0.00026397i,-0.00055378-0.00015763i,-0.00053884-0.00080199i,8.2366e-05-0.00052555i
0.000811-0.00061283i,0.0010603-0.0014039i,0.0015747+0.00013949i,0.0013254+0.0012594i,0.0011817+0.00069717i,0.001328-0.00046678i,0.00099553-0.00035955i,0.00043519+0.0002953i,0.00033138+5.0124e-05i,0.00052824+0.00017986i,-0.00010692+0.00028317i,-0.00054535-0.00050056i,-9.7293e-05-0.00084308i,0.00010817-0.00062121i,-5.5839e-05-0.00066331i,-0.00034066-0.00064131i,-6.0699e-05-9.4099e-06i,-0.00026001+0.00036911i,-0.00059116+0.00091862i,-0.00031324+0.0004378i,-0.00077433-0.0006676i,-0.00092734-0.00044017i,-0.00017394+0.00029268i
-0.0022346+0.0014637i,-0.0013795+0.0014035i,1.2405e-06+0.0029269i,0.00089052+0.0030369i,0.0009105+0.0021257i,4.3646e-05+0.00064352i,-0.00021705-0.00043243i,-0.00020489+1.7426e-05i,-0.00048965+0.00091161i,-0.00020251+0.00076284i,0.00062694-3.6818e-05i,0.0012903-6.781e-05i,0.00079543-0.00011953i,-0.00011167-0.00050887i,-0.00030245-0.00036309i,-0.00039875-0.00018374i,-0.00085445+3.0057e-05i,-0.0006372+0.00039414i,-0.00011255-0.00023867i,-0.00024203-0.00015194i,-0.00032316+5.6902e-05i,-0.0003069-0.00054844i,-0.00034671-0.00020436i
