0.00040194+0.0022218i,0.0012036+0.0018405i,0.0013402+8.8336e-05i,8.8249e-05-0.00072602i,-0.00092736-0.00087801i,-0.0010942-0.0015065i,-0.0011891-0.001631i,-0.0013348-0.00097955i,-0.00080849-1.2403e-05i,0.0001547+1.1906e-05i,0.00052826-0.0001428i,0.00028583-0.00020068i,-0.00016169-0.00012658i,-0.00034402-0.00033641i,-7.1977e-06-0.00056809i,-5.6348e-05-0.00043999i,0.00070176-7.9283e-05i,0.0012473-3.8986e-05i,0.00037448-0.00038252i,-0.0010338-0.00051988i,-0.00060776-0.00052604i,0.00017793-0.00021557i,0.0003473+0.00035617i
0.00025133-0.00064394i,-0.00031753-0.00011846i,-0.00046136+0.00084122i,-0.00078207+0.00097608i,-0.0006955+0.00089133i,-6.1461e-05+0.00025875i,0.001075-0.00045913i,0.001013-0.0010187i,0.00013778-0.00082921i,0.00071242-0.00022811i,0.0007363-0.00018387i,-0.00019959-0.00032726i,-0.0002675-0.00024699i,-9.9666e-05-2.2569e-05i,-0.00015817-0.00065891i,-0.0001983-0.0010708i,-0.0003561-0.0011192i,0.00011909-0.00033104i,0.00074161+0.00074521i,0.00034223+0.00025178i,-0.00014549-0.00035579i,0.00010592+0.00045055i,0.00013811+0.001116i
0.00041168-0.00015923i,-0.00024819+0.00012137i,-0.00068884-0.00043001i,0.00086898-0.0010717i,0.001343-0.0013042i,0.0012843-0.0018583i,0.0012345-0.0018504i,0.00011599-0.0016968i,-0.00085472-0.0017566i,-0.00030428-0.00197i,0.00081071-0.0018068i,0.00066307-0.0003911i,7.7322e-05+0.0008655i,0.00011236+0.00092125i,0.00019151+0.00055213i,-0.00014216-0.00011683i,-0.00020215-0.00037652i,-1.4923e-05+0.00017226i,-0.00032513+0.00027475i,-0.00059241-9.0538e-05i,-0.00025988-0.00048445i,-4.3682e-05-0.00064674i,-0.00021674-0.00083482i
-0.0014539-0.00018728i,-0.0027559+0.00093035i,-0.0029738+0.00038724i,-0.0024951+0.00050646i,-0.00094054+0.00017316i,0.0005408-0.00059214i,0.0010738-0.0009111i,0.00095505-0.00075813i,-7.2051e-05-0.00033077i,-0.00064358-0.00047119i,-0.0003589-0.00054888i,0.00066854+0.00013999i,0.00079898+0.00065668i,0.00043642-0.00014034i,0.00025901-0.00072414i,6.1357e-05-0.00063203i,0.00023958-0.00035349i,0.0002649-0.00037984i,-0.00040483-0.00049088i,-0.00091595-0.00048388i,-0.00095519-0.00090222i,-6.599e-05-0.0008475i,0.00024639-0.00082343i
-0.00099721+0.00078357i,6.5738e-05-1.0015e-05i,0.00033072-0.00033785i,-0.00064792-0.00041888i,0.00028936-0.0011507i,0.0025644-0.0012942i,0.0031013-0.00056945i,0.0012653-0.00059511i,-0.00011651-0.00054178i,-0.00059988+0.00054484i,-0.00096302+0.001576i,-0.0011134+0.0012178i,-0.0011082+0.00044425i,-0.00024049+6.6374e-05i,-3.0698e-05-6.9484e-05i,-0.00081805-0.00034292i,-0.001353-0.00044044i,-0.0011854-0.00076679i,-0.00042255-0.00045087i,0.00042557-0.00018749i,0.00061172-0.00021188i,0.00065325-0.00053971i,0.00078814-2.0261e-06i
-0.0014431-0.00036504i,-0.0018324-0.00063887i,-0.00060674-0.0001908i,0.00069648-0.00051307i,0.00098943-0.00060484i,0.00033519-0.00071193i,0.00029458-0.0013959i,0.00033312-0.0013475i,0.00032257-0.00062797i,2.6268e-05-0.00051211i,-0.0001956-0.00024528i,7.3344e-05-0.00012571i,0.00040135-0.00011603i,4.8303e-05+8.4205e-06i,-0.00092397-0.00050395i,-0.0016652-0.00045971i,-0.001772-0.00025084i,-0.0015869+5.4101e-05i,-0.001286+0.00041214i,-0.0010156+0.00023659i,6.1887e-05+4.643e-05i,0.00067413-0.00034177i,0.0011653-0.00018216i
-0.00131-0.0008768i,-0.0012257-0.00050913i,-0.0021285+0.00053787i,-0.0018948+0.0015989i,-0.00013088+0.0024646i,0.0013395+0.0021357i,0.0012769+0.00068912i,0.00040435-0.00018756i,-0.00025851-0.00019348i,7.9877e-05+0.00081342i,0.00066905+0.0013852i,0.0005973+0.0010745i,0.0002144+0.00052156i,0.00038728-0.00034514i,0.0009054-0.00030479i,0.00039927+0.00035769i,-8.8591e-05+0.00030478i,-0.00025578+7.6008e-06i,-0.00034399-5.7303e-05i,0.00015709-0.00049609i,-8.0042e-06-0.00056493i,-0.00043795-6.8619e-05i,-0.00038103+0.00037052i
-0.00028743-0.00089218i,-0.00051502+0.00035081i,-0.0011883-0.00034902i,-0.0002816-0.0010885i,0.00028388-0.0007724i,0.0006628-0.00067397i,0.0019579-0.00090341i,0.0016525-0.00061143i,0.00085538-0.00041151i,0.00067476-0.00043822i,0.00019069-0.00017083i,-7.5638e-05+0.00035299i,-0.00022435+0.00075108i,-0.00040253+0.00034882i,-0.0003833+0.00038499i,0.0002806+0.00077783i,-0.00020428+0.00062469i,-0.00067452+0.00024981i,0.00010478-0.00018667i,0.00034178-0.00065884i,0.00034859-0.001015i,0.00054305-0.0012273i,0.00051351-0.001061i
0.00076655+0.00079066i,0.002074+0.00081339i,0.0022688+0.00081984i,0.0017136+0.00017269i,0.0014102-0.00056373i,0.0013912+8.3692e-05i,0.0011309+0.00028192i,0.00051715-0.00034145i,-0.00015667-0.00050035i,-0.00097377-0.00082602i,-0.0010409-0.00052347i,-0.00032106+0.00036117i,-0.00012321-0.00035394i,-0.00018345-0.0012998i,-0.00066493-0.00053081i,-0.00038352+0.0002091i,0.0010871+0.0004228i,0.0013554-0.00018864i,0.00037731-0.00035752i,-0.0005012-0.00012624i,-0.00041127-0.00058708i,-0.00023495-0.00025368i,0.00018056+0.00064138i
0.001465+0.00060347i,0.00064616+0.0008466i,0.00068673+0.00018043i,0.00052595-0.00040502i,-0.00056886-0.0003354i,-0.00070469-0.00032042i,-0.00062026-0.00056438i,-0.0003592-0.00044809i,5.5806e-06-0.00017209i,-0.00046203-0.0011876i,-0.00055394-0.0014836i,-0.00048461-0.00041655i,-0.00098539-1.7398e-05i,-0.00065464+0.0002462i,-0.00091514+0.00056012i,-0.00024916+8.2351e-05i,0.00049952-0.00033547i,-0.00016149-3.6423e-05i,-0.00053689+5.5745e-05i,-0.000682-0.00012934i,-0.0005567-0.00025687i,-0.00058275-0.00041721i,-0.0012027-0.00019065i
