-0.0022324+0.00038396i,-0.0022401-3.6098e-05i,-0.0035178+0.0010048i,-0.0031441+0.0017425i,-0.0021661+0.0016862i,-0.0012401+0.0011565i,-0.00076354+0.00087225i,2.6596e-06+0.00098935i,0.00041755+0.00051871i,0.00046716+0.00038948i,0.00087351-0.00035318i,0.00075428-0.0012862i,0.00085985-0.0009859i,1.4454e-05-0.00017869i,-0.00054421+0.00045681i,1.1994e-05+0.00012285i,3.8814e-05-0.00034894i,-0.00047804-0.00057785i,-0.00080074-0.0004807i,-0.00030109-0.00013377i,0.00062675+0.0004465i,0.00061072+0.0012381i,-0.00036344+0.0010609i
0.00018126-8.0947e-05i,-0.00077411+0.0004083i,-0.000879+0.00083485i,-0.0005814+0.0010404i,-0.00048804+0.0012821i,-0.0003598+0.00093376i,2.6819e-05+6.0574e-05i,0.00022822+0.00012227i,-0.00035849+0.00080212i,-0.00085512+0.00058488i,-0.00075401-5.9572e-05i,-0.00074139+0.00019996i,-0.00067048-0.00014714i,0.00058094-0.0008346i,0.00058415-0.00049958i,-0.00017038+9.9906e-05i,-0.00010153+0.00057908i,-0.00014103+0.00025784i,7.1103e-05+7.6863e-05i,0.00033838+0.00010669i,0.00077819+0.00013713i,0.00074312+0.00098423i,-0.00029133+0.0011571i
-0.0002224-0.00055281i,-0.00063083-0.00048187i,-0.0012285-0.00029088i,-0.00084718-0.00093329i,-0.00025656-0.0010804i,-0.0013376-0.00025972i,-0.001348+0.00037591i,0.00013184+0.00044878i,0.00044935+0.00050915i,0.00018068+0.00045608i,3.2808e-05-0.00025337i,-0.00047519-0.00040683i,-0.00037608+0.00033522i,0.00012637+0.00055053i,0.00032081+0.00084183i,3.3886e-05+0.00085292i,-0.00030627-0.00012339i,-0.00047302-0.00031258i,-0.00036938+0.00029161i,-0.00049492+0.00013031i,-0.0003069+0.00017258i,0.00041293+0.0008723i,0.00061511+0.00059028i
-0.00015681+0.00057005i,-0.00044733-0.00012325i,0.0001817-0.00032504i,0.0010416-0.00066931i,-4.6838e-05-0.00094267i,-0.00065497-0.0013305i,0.00018672-7.117e-05i,0.00012243+0.00050439i,-2.2644e-05-0.00039677i,0.00037453-0.00010081i,0.00072928+0.00014493i,0.00027113-0.00019258i,9.1869e-05+0.00020159i,0.00060749+0.00018188i,0.00077411-0.00032802i,0.00088444-0.00045904i,0.00036024-0.00033038i,-0.00057096-0.00054151i,-0.00041041-0.00044292i,0.00053599-8.7214e-06i,0.00063695+0.00037742i,0.00026348+0.00027028i,0.00062036+0.00013293i
-0.00088566+0.0014766i,-0.00064714+0.0011857i,0.00059744+0.0025493i,0.00095606+0.0027778i,0.0011003+0.0010903i,0.00037232-0.00079457i,0.00015579+6.9588e-05i,0.00054426+0.0010936i,0.0005503+0.00079849i,0.00058391+0.00051708i,0.00040333-0.0002488i,1.4788e-05-0.00087129i,-0.00035338-0.0005889i,-0.00068509-0.00021561i,-0.00034892-0.00035007i,-0.00075205-0.00040197i,-0.00046756-0.00047904i,0.00032656-0.00076i,0.00049046-0.00057333i,0.00055315-0.00019461i,0.00037333-0.0004889i,0.00067484-0.00068592i,0.00047703+0.00036896i
-0.00032242+0.0013815i,-0.00098967+0.00045887i,-0.0015893+0.00021418i,-0.00056595-0.00019767i,0.00027133-0.0006729i,-0.00045137-0.00078101i,-0.00029949-0.00033957i,0.00023041+1.0783e-05i,0.00097409+6.6445e-05i,0.00066754-0.00024498i,8.647e-05-5.0191e-05i,0.00041931+0.00050017i,2.6076e-05+0.00070627i,-0.00025914+0.00022991i,0.0001709-0.00018003i,0.00012243+0.00016765i,-0.00012712+0.00011668i,4.6454e-05-9.177e-05i,7.7924e-05+3.9489e-05i,-0.00051674+3.0362e-05i,-0.0010355+0.00068208i,-0.00067312+0.00084004i,0.0002373+0.00036295i
0.00022166+0.00086886i,-0.00023229+0.00079283i,-5.8282e-05+0.00037771i,0.00010153-0.0001116i,-0.0008987-0.00027405i,-0.0018411+3.7121e-05i,-0.0019328+8.3071e-05i,-0.0015853+0.00072216i,3.6977e-05+0.0015637i,0.0011479+0.0012171i,0.00066711+0.00082984i,-0.000761+0.00038607i,-0.00086047-0.00025621i,-0.00031034-0.00029917i,-0.00062139+3.9312e-05i,-0.00045216+0.00019617i,-0.00049933+8.9344e-05i,0.00010916+2.1684e-05i,0.00070124-0.00026302i,0.00055371-0.00056355i,0.0010635-0.00030681i,0.00065325+0.00031462i,-6.275e-05+0.00035887i
0.0022416-0.00029007i,0.0018192+3.3918e-05i,0.00099826-0.00032051i,-7.527e-05-0.00098322i,-0.0012993-0.00095028i,-0.0021394+1.4052e-05i,-0.0016098+0.00030619i,-8.0847e-05-0.00014882i,0.00084181-0.0010412i,0.00058427-0.0015861i,-3.2976e-05-0.00077296i,-0.00011273-0.00035512i,0.00054754-0.0005991i,0.0009372-1.0928e-05i,0.00053752+0.00054746i,0.00011086+0.0003101i,-0.00041404-0.00027671i,2.727e-05+0.00026308i,0.00053424+0.00076315i,0.0002511+0.00050408i,-3.5212e-05+0.00036557i,-3.5061e-06-0.00014969i,-4.3084e-05+8.5648e-05i
0.00012859+0.00049547i,0.0012087+0.0005209i,0.0016898+0.0011178i,0.0011181+0.0009561i,0.00061491+4.3328e-05i,0.00062388-0.00047032i,-2.0857e-05-0.00024261i,0.00045453+0.00044593i,0.0010477+0.000855i,0.0005822-0.00026908i,7.7933e-05-0.0007592i,-7.8967e-05+0.0003372i,-0.0009105+0.0011346i,-0.0014685+0.00086533i,-3.8279e-05+0.00048678i,0.00087223+0.00016772i,-0.00036435+0.00050826i,-0.00048557+0.0011316i,0.00048129+0.00071295i,0.00042816-0.00014891i,0.00024782-0.00032703i,0.00024987-0.00073918i,-0.0001798-0.00084243i
-0.00086719-0.00038878i,-0.00087321-1.4282e-05i,-0.0011507+0.00021343i,-0.0012779+0.000698i,-0.0012725+0.0016278i,-0.00094208+0.0015454i,-0.0016493+0.0010387i,-0.0027267+0.00063238i,-0.001887+0.00022067i,-0.00075281-0.00023585i,0.00012985-0.00026671i,0.00079719-5.537e-05i,0.00042939-4.058e-05i,0.0005186-0.00051167i,-9.7748e-05-0.00066488i,-0.00018423-0.00013147i,0.0010692+3.3965e-05i,0.00086218+0.0001017i,0.00047086+0.00021111i,0.00068909+0.00032668i,0.00016111+0.00044444i,9.297e-06+0.00044516i,0.00027555+0.00076875i
-0.00026945+0.00015381i,-0.00063574-0.00075868i,-0.00085931-0.0010398i,-0.0012638+0.00062026i,-0.001809+0.00035385i,-0.0018877+0.00043406i,-0.0013557+0.0011647i,-0.00048584+0.00057647i,-3.5621e-05+0.00020519i,-0.00038656-4.2937e-05i,-0.0002082+0.00024415i,-0.0002741+0.00067681i,-0.00074149+0.00035114i,-0.00090249-3.7281e-05i,-0.00047594-0.0003186i,0.00069353-0.00030065i,0.0011181+0.00024434i,0.00023604+0.00066156i,-1.4638e-05+0.00046314i,0.00042317+0.00029041i,0.00020379+0.00047617i,0.00029154+0.00052772i,0.00041958-0.00014597i
-0.0014402-0.0017934i,-0.0021865-0.00056889i,-0.0027604-0.00012852i,-0.0021301-3.23e-05i,-0.0023309+0.0011304i,-0.0017566+0.0014886i,-0.00034404+0.00058345i,-0.00040252+0.00021973i,-0.00028046-0.00018456i,0.00053912+0.0002533i,0.00071426+0.00061838i,7.6243e-05+0.00050141i,-0.0001214+0.00031085i,0.00051097-0.00073279i,0.00045048-0.0016692i,0.00077376-0.00055855i,0.00059043+0.00049957i,0.00026077+0.00048326i,0.00058085+0.00087724i,0.00035237+0.00064672i,0.00070056+0.00021756i,0.00045957+0.00036129i,-0.0002919-0.00018738i
-0.00079595+0.0010526i,-0.00045231+0.0019062i,0.00039631+0.001425i,0.00059282-0.0010287i,0.00042041-0.0014607i,-0.00015799-0.00019492i,-0.0014945+0.00041135i,-0.0012517+0.00010479i,0.00018762+0.00032894i,0.00097912+0.00040856i,0.0013064-7.5829e-05i,0.0011997-0.0002998i,0.00034959-0.00043251i,-7.3123e-05-0.00021422i,0.00024708-0.00045062i,0.00041478-0.0007615i,9.5014e-05-0.00048027i,-0.00037977-0.00051263i,-0.0001109-6.967e-05i,0.00039031+0.0004279i,0.00075026-2.0672e-05i,0.00070041-0.00091083i,0.00016824-0.0010211i
-0.00017506+0.0010351i,-0.00081182+0.00016733i,-0.00073499-0.00084778i,-0.00082206-0.00094369i,-0.00055496-0.00052024i,-0.001001-0.00076248i,-0.0020165-0.00033884i,-0.0014756+1.8995e-05i,-0.00022031-0.00017167i,0.00043591+0.00010922i,-0.00031063+0.0002467i,-0.00051963-0.0004939i,0.00032461-0.00071028i,0.00056999-2.8676e-05i,0.00014969+0.00074038i,-5.514e-05+0.00044757i,-0.00029617-6.9625e-05i,-0.00045047-0.00044143i,-0.00035481-0.00066407i,0.00038417-0.0010131i,0.00067595-0.00050881i,-0.00029674+0.0005283i,-0.00034607+0.00030363i
-0.00094828-0.00089027i,-0.0010253-7.343e-05i,-0.0011909+0.00078862i,-0.0008498+0.00063207i,-0.00064901-0.00018136i,-0.00024658-0.00061341i,0.00068466-0.00059924i,0.0010607-0.00072668i,0.000612-0.0001578i,-0.00030702+0.00051961i,0.00011464+0.00012222i,0.00087626-4.3252e-05i,0.0010768-0.00012391i,0.0011781-0.00040115i,0.00040368-0.00072351i,-0.00048429-0.00071785i,-0.00048456-0.00035671i,-0.00019717+0.00047385i,0.00015542+0.00088404i,0.00035924+0.00056613i,0.00024548-9.4368e-06i,-0.00023955-0.00020521i,-0.00063033+0.00014039i
0.00067644+0.00080332i,0.00081831+0.00039699i,0.00094991-0.00024835i,0.0016472-0.00071124i,0.0011323-0.0017523i,-0.00085442-0.0017438i,-0.00074653-0.00038986i,0.00071997+0.00022322i,0.001324-0.00059226i,0.0015903-0.00085273i,0.00089444-0.00015802i,0.00032605-9.4295e-05i,0.0011991+0.00013497i,0.00039488+0.0005488i,-0.0005888+0.00060815i,-0.00027256+0.00080384i,0.00015685+0.0001678i,0.00046225-0.00058043i,0.00019691-0.00027335i,5.8377e-05+0.000745i,0.00010843+0.0010485i,-0.00010837+0.00047032i,-0.00036967+9.3723e-07i
-0.00021608+0.00046477i,0.00050406-0.0011098i,0.00021352-0.0012074i,-0.00013107-0.0011713i,-0.000628-0.0015195i,-0.0020225-0.001276i,-0.0019873+8.9864e-06i,-0.00056413+0.0013189i,0.00033812+0.00070796i,0.0013213-0.0004727i,0.0012703-0.00081003i,0.00021276-0.00083439i,-0.00025354-0.00076952i,0.00020828-0.00030817i,0.00026983-0.00052847i,9.8557e-05-0.00087746i,0.00045869-0.00031229i,0.0003117+0.00029685i,0.00050069-4.7808e-05i,0.0012959-0.00015791i,0.0013029+0.00012528i,0.00022762-0.00016351i,-0.00018178-0.00029622i
-0.00067033+0.001674i,-0.00040015+0.00078229i,-0.00019952+0.00021961i,-4.1866e-05-0.0002131i,0.00070383-0.0011708i,0.00039332-0.001633i,-0.00049878-0.00035355i,-8.5372e-05+0.00088692i,0.00048766+0.00038669i,0.00086585-0.00054616i,0.0010647-0.00052814i,0.00034293-0.000255i,6.0429e-05+0.000402i,0.00060183+0.00079521i,0.0002988+0.00015678i,-9.7834e-05+6.6784e-05i,0.00019801-0.00052908i,0.00069086-0.000505i,0.00045034+0.00034529i,-0.00035443+0.00064371i,-0.00070955+0.00018566i,-0.00055227+0.00013963i,-0.00011473+0.00031198i
-0.0014499-0.0012909i,-0.001661-0.0003338i,-0.0018214-0.00022899i,-0.0014589-0.00024442i,-0.00097826-0.0002396i,-0.00040679+7.5206e-05i,0.0001538+0.00022722i,9.5602e-05+0.00036254i,2.9314e-05+0.00036611i,0.0008602-5.1866e-05i,0.0010074+0.00042382i,9.248e-05+0.0010217i,4.6262e-05+0.00049277i,0.00089194-0.00024453i,0.0011191-0.00099014i,0.00022488-0.00095857i,7.2605e-05-0.00027012i,0.00052434-0.00025033i,-0.00015736-0.00047264i,-0.00056714-0.00054224i,0.00014158-0.00046703i,-3.5575e-05-0.00025226i,-0.00039196+0.00068832i
0.0020335-0.00014076i,0.00075262-0.00099784i,0.00053348-0.0022868i,0.00014424-0.0019219i,-0.0003897-0.0013583i,-0.0011114-0.0010762i,-0.00071225+4.1483e-05i,0.0005281+0.00028234i,0.0011951-0.00064989i,0.00038606-0.00079672i,5.1754e-05-0.00029395i,-0.00011057-0.00028275i,-0.00033954-0.00022562i,0.00016495-9.1101e-06i,0.00035175+1.8794e-05i,-9.724e-05+0.00040534i,-0.00014855+0.00088891i,0.00029103+0.00076404i,0.00038598+0.00057917i,0.00045209+7.8569e-05i,0.00039848-0.00021369i,-0.00014451-4.2908e-05i,-0.00057446+0.00017957i
0.00030697+0.00049893i,0.00015703+0.00020308i,-0.00020871-0.00080344i,-0.00047683-0.0011184i,-0.001208-0.0010674i,-0.0019733-0.00058036i,-0.0010708-0.00019752i,0.00021499+0.00026328i,0.00012792+0.00015147i,-0.00042081-3.1012e-05i,-0.00025876-0.00054158i,-0.00015581-0.0012416i,-0.00051953-0.00064563i,-0.00020872-0.00048464i,4.1678e-05+7.7088e-05i,-0.00031539+0.00055569i,-0.00067856+0.00059457i,-0.00062185+0.00060897i,-0.0002751+3.2823e-05i,-4.1845e-05-0.00042926i,-9.8133e-05-0.00021381i,-0.0004207+6.9666e-05i,0.00036193+0.00031331i
-2.2433e-05-1.9948e-05i,0.00071535-0.00020043i,0.0010402-0.00067033i,0.0017081-0.0015648i,0.0018457-0.0010224i,0.00026535-0.00018973i,-0.00095519+0.00049855i,-0.00052784+0.00096543i,0.00031471+0.00012736i,0.00084468-9.937e-05i,0.00079146+0.0005794i,0.00062279+0.00037049i,0.00025569+0.00016576i,0.0001351+0.0010799i,0.00036595+0.00096289i,0.00025143-5.8522e-05i,-0.00047578-0.00047629i,-0.0006879-0.00048363i,-0.0002012+0.00016936i,3.0086e-05-4.8114e-05i,-0.0001383-0.00018985i,-0.00057852-7.1845e-05i,-0.00034108-0.00011525i
-0.00026834+0.0016491i,0.00034739+0.00046432i,0.00083231-6.9484e-05i,0.00048219-0.00016628i,0.00020324-0.00055814i,-0.00016661-0.00064271i,-0.00081584-0.00028051i,-0.00081825-0.00014803i,-0.00034499-0.00068347i,8.3186e-05-0.00083109i,-0.00013466-0.00022964i,-0.00050387-0.00019605i,-0.00075561-0.00021796i,-0.0011871+0.00025389i,-0.0010776+0.00032162i,-0.00068805-0.00011742i,-0.00047971-0.00064469i,-0.00054618-5.1321e-05i,-0.00028293+0.00031265i,2.904e-05-0.00036764i,9.6329e-06-0.00040033i,-0.00031017-4.5289e-05i,-0.00029126-5.4925e-05i
0.0022692-0.000311i,0.0015425-0.0013512i,0.00043061-0.0017423i,-0.00059564-0.0016066i,-0.0012965-0.0018069i,-0.0016527-0.001468i,-0.00066207+0.00034738i,0.00055771+0.00142i,0.00038073+0.0011609i,0.00028696+8.0474e-05i,0.0008947-0.00080882i,0.00049701-0.0012429i,-0.00081055-0.0008172i,-0.0014348-0.00033406i,-0.00079276-0.00056622i,-0.0001456-0.00096981i,0.00017797-0.0011295i,0.0005249-0.00018072i,0.00051908+0.00051478i,0.00049085+0.00042885i,6.422e-05-0.00049377i,-0.00029477-0.0010211i,-0.00064507-0.00081627i
0.0011495-0.00073273i,0.00056335-0.00074929i,0.0010274-0.00071787i,0.00061845-0.001097i,-0.00068103-0.001899i,-0.0015501-0.0014825i,-0.0011372-0.00046838i,-0.00028046-0.00032865i,-0.00041207-4.7709e-05i,-0.00029127-7.1522e-05i,0.00036357-0.00051798i,0.00055257-0.00049374i,0.00041137-0.00013187i,0.00047543+0.00024479i,0.00039931-0.00048634i,0.0004861-0.00051651i,0.00050605+0.00012251i,0.00056104-0.00010354i,0.00015424-0.00018736i,-0.00051987+0.00023146i,-0.0008656+0.00037573i,-0.00037934+0.00014862i,-3.281e-05-0.00029909i
-0.00036623-5.9505e-05i,-0.00028432-0.00063733i,-0.0010789-0.00067217i,-0.0018721+2.3504e-05i,-0.0011439+0.00044908i,-0.00042677+0.00028196i,-0.000257+0.00034599i,-0.00017114+0.00073484i,-0.00019557+0.00064065i,1.9795e-05+0.00020539i,0.00015375+7.3726e-06i,-8.6816e-05-4.6674e-06i,-7.3459e-05-0.0004814i,-0.00043427-0.0010748i,8.5656e-05-0.00086493i,0.00061427-0.0008602i,0.00050136-0.001298i,6.8698e-06-0.0003535i,-0.00080703-0.00011026i,-0.00059694-0.00069088i,-0.00026893-0.0001077i,5.6734e-05+0.00044983i,0.00036348-0.00012262i
0.0011485+0.00068486i,0.00087836+0.00093205i,0.0014134+0.00012048i,0.00094467-0.001172i,-0.00019412-0.0021784i,-0.0010603-0.0011218i,-0.0011635+0.0004819i,-0.0013902+0.0011011i,-0.0015116+0.00024935i,-0.00090686-0.00046044i,-1.2292e-05-8.869e-05i,-0.00017633+8.157e-05i,-0.00043256-5.871e-05i,-0.00039334-0.00034233i,-0.00075003-0.0005202i,-0.00061066-0.00010345i,0.00031816+0.0002709i,0.00036919+2.919e-05i,-5.1815e-05-0.0002573i,-2.4145e-06-0.00026807i,0.00042867-0.00036766i,0.0008903-0.00013141i,0.00055179+0.00032434i
-0.0011878+0.0018744i,-0.0014196+0.001616i,0.00012271+0.0015323i,0.0012182+0.001595i,0.00072164+0.0011142i,-0.00061735+0.00041766i,-0.0011231-8.6569e-05i,0.00014085-0.00010315i,0.0014305-0.00013027i,0.0015751-2.7282e-05i,0.00090891-0.00020576i,0.00030284-0.00023425i,0.00046657+0.00011838i,0.00061015+0.00058483i,3.8285e-05+0.00029098i,-0.00015163-0.00022218i,-0.00051797+0.00031968i,-0.00023967+0.00069501i,0.0004932+0.00020463i,0.00030987-0.00041727i,-0.00028089-5.5737e-05i,-0.00035846+0.00012182i,0.00019161-0.00025239i
0.001124-0.00073156i,0.00039386-0.0005514i,-0.00033447-0.0007917i,-0.00051224-0.0011574i,-0.0013836-0.0017201i,-0.0013947-0.00095093i,-0.00095471+5.2888e-05i,-0.00062562+0.00015001i,7.595e-05+3.5348e-05i,-0.00022407-0.00044385i,-0.00055511-0.00017471i,-0.00069977+0.00059562i,-0.00073693+0.00061954i,0.00015443+0.00012193i,0.00040361+6.0016e-05i,9.0747e-05-0.0001227i,0.00033289+0.00011776i,0.00039655+0.00054449i,0.0002398+0.0003809i,-1.9044e-05+0.00025546i,-0.00051414+0.00073441i,-0.00016819+0.00026357i,0.00050087-0.00069584i
-0.0013457-0.00013918i,-0.0016691-0.00063269i,-0.0014906-0.0011728i,-0.0017969-0.00018647i,-0.0018689+0.00015587i,-0.0010661+6.5157e-05i,-0.00068574+0.00014341i,-0.00034367-4.3166e-05i,-7.2189e-05+0.00012841i,-0.00014189-0.00029624i,0.00010503-0.00078081i,0.00010404-8.5465e-05i,-0.00020132+0.00053295i,0.00020722-0.00015398i,0.00066419-0.00032706i,0.00087494-3.5254e-06i,0.001105+3.5104e-05i,0.00069821+0.0002699i,-0.00040044+0.00014704i,-0.00028989-0.00039291i,0.00019749-0.00030458i,0.00011714-0.00022501i,0.00065094+0.00022064i
0.00075476-0.0005468i,0.00061104+0.0002193i,0.00060929+0.0004869i,0.00039658-0.00080379i,0.00033552-0.0020027i,-0.00070032-0.0013812i,-0.0018551-0.00023504i,-0.0014247-2.4959e-05i,-0.00019957+0.00019412i,0.00066649+0.00021371i,0.00086235+0.00021783i,0.00012974+0.00033735i,-0.00063982+0.00019002i,-1.6769e-05-0.00027087i,0.00030806-0.00022229i,-0.00033695-0.00065746i,-0.00049857-0.001157i,3.2314e-05-0.00088002i,0.0012567-0.00026945i,0.00092842-4.252e-05i,-1.96e-05+0.00020426i,0.00011559+0.00045334i,6.9485e-05+4.0091e-05i
-0.00094305-0.00031705i,-0.00016134-0.00022965i,0.0008494+0.00058855i,0.0016068+0.0008176i,0.0021558-0.00053486i,0.0013128-0.0013217i,-3.5753e-05-3.0477e-05i,-0.0001628+0.0011798i,0.00028938+0.00085736i,0.00080685+0.00024181i,0.00096985-0.00014399i,0.00084734+9.7081e-05i,0.00088878+0.00075953i,1.3667e-05+0.00039074i,-0.00050688+0.00026192i,-0.00036586+0.00016085i,0.0003182-1.8303e-05i,0.00074544+0.00053511i,0.00023747+0.00064148i,0.00043527+0.0004868i,0.00065357+0.00052083i,0.00041569+0.00028798i,0.00015396-0.00034928i
