-0.003941+0.0018189i,-0.0046477+0.0023261i,-0.003255+0.0031598i,-0.0015924+0.0025131i,-0.0010021+0.0020493i,-0.001268+0.0015902i,-0.0019112+0.0012814i,-0.00065859+0.0012081i,0.0011115+0.0010644i,0.0013826+0.00060523i,0.0017069-4.8375e-05i,0.0012013-4.0278e-05i,0.00014432-0.00098631i,4.1275e-05-0.0013306i,-0.00031567-0.0005882i,-0.00082683+0.00034265i,-0.00076318+0.00057542i,-2.1901e-05+0.00027403i,9.0622e-05+0.00044927i,-0.00013359+0.00029443i,-0.00057479-0.00020059i,-0.00043298-0.00044024i,0.0005384+0.00033044i
-0.00058302-0.00040306i,-0.00034698-0.00026088i,0.00044288+0.00076653i,0.00041308+0.00090109i,-0.00052293-5.636e-05i,-0.00074019-0.00068118i,-0.00084327-0.00073889i,-0.00084641-0.00058748i,-0.00038701-0.00028588i,-0.0002357+0.00030934i,-0.00021088+0.00047624i,0.00063126+0.00063814i,0.00088595-9.1944e-05i,0.0001869-0.00051125i,0.00038466-0.00017605i,0.00093977-0.00030865i,0.00049384-0.00084328i,0.00031586-0.00080208i,0.00032012-0.00027475i,-0.00014643-0.00045564i,-0.00012681-0.00048016i,2.9344e-05-0.00023796i,-0.00041577+0.00033346i
-0.0012822+0.0005976i,-6.494e-05+0.0003176i,0.00077805-0.00012181i,0.00011567+0.00071774i,-0.00027744+0.0015029i,0.00020907+0.0016361i,0.00033293+0.00086976i,0.00019277-0.00053106i,0.00055942-0.0013096i,0.00025784-0.0011174i,9.9955e-06-0.00013392i,-0.00062893+0.00051245i,-0.0013708+0.00090146i,-0.00071747+0.0011887i,-0.00024048+0.00056293i,-0.00018954+0.00024279i,-8.6079e-05+0.00018909i,-0.00069663+0.00024668i,-0.0011753+0.00019474i,-0.00023847-0.00028639i,0.00027761+5.8578e-05i,-0.00096095+0.00052432i,-0.0013929+3.4439e-05i
-0.00016047-0.0024478i,0.00045345-0.0020715i,-0.00050946-0.0014033i,-0.0016324-0.0004335i,-0.00097847+0.00065185i,0.00043082+0.0012732i,-0.00016278+0.00068585i,-0.00092795-8.588e-05i,-0.00013814-0.00051451i,0.00026168-0.00065036i,8.5222e-05+0.00015381i,-3.9237e-05+0.00055508i,-3.3978e-05-3.5952e-05i,0.00031691-0.00063757i,0.00031615-0.00060105i,-0.00016947+0.00020354i,-0.00069228+0.00046563i,-0.00087524-0.00012734i,-0.0002714-3.3405e-05i,-7.6366e-05-0.00031992i,-0.00063725-0.00093282i,-0.0012124-0.00056874i,-0.00076537+0.0004814i
-0.00055829-0.00045435i,-0.00062828+0.00056122i,-0.00066817-0.00022529i,-0.0014719+7.156e-05i,-0.0021379+0.00023243i,-0.0012022+0.0005649i,-0.00042698+0.00063064i,-0.00087042-6.569e-05i,-8.1751e-05+4.3384e-05i,0.0008227+0.00050643i,0.00069958+0.00057836i,0.00022348-5.0134e-05i,-7.676e-05+0.00045011i,-4.3081e-05+0.00093623i,-0.00010708+0.00031502i,8.8168e-05-0.00056055i,0.0001458-0.00063285i,-0.00016375+0.00026926i,0.0001493+0.00070805i,0.00029511+0.00048715i,-0.00025679+0.00047308i,-0.00020492+0.00031034i,-7.8441e-05-0.00038253i
0.0013128+0.00090468i,0.0017217+0.00014431i,0.0023832+8.4947e-05i,0.0020391+5.0917e-05i,0.00081904+0.00025339i,-0.00018335+0.00019947i,-0.00021134+6.4673e-06i,-1.913e-05-0.00062489i,-2.322e-05-0.0011963i,-0.00035093-0.00094749i,-0.00067651-0.00041942i,-0.00081771+9.4238e-05i,-0.00072904+3.4246e-05i,7.4348e-05-0.00055646i,0.00065043-0.00052817i,7.9522e-05+0.00030275i,-0.0007765-0.000253i,-0.0008203-0.00083445i,-0.00010323-0.00049167i,0.00024365-0.00037424i,0.00027197-0.00030376i,0.00035098-7.6718e-05i,0.00024276-0.000287i
-0.0023078+0.00066249i,-0.0018484+0.00039966i,-0.00064274+0.00090255i,0.00024397+0.00017571i,0.00045486-0.00036842i,-9.3542e-05+0.00032486i,-0.00063589+5.3598e-05i,-0.00040476-0.00085853i,0.00043865-0.00055837i,0.00016132-8.0996e-08i,-0.00066622+0.00030052i,-0.0011748+0.00030171i,-0.00081431-0.00060496i,-0.00053669-0.00070652i,-0.00012891-0.00024019i,-0.00019661+0.00019962i,-0.00091976+0.00064283i,-0.0010563+0.00068376i,-0.0005243+0.00025174i,-0.00028784+0.000122i,-0.00034326+4.2163e-05i,0.00039822-0.00012275i,0.00039511-0.00022129i
0.002141+0.00043946i,0.0029507+0.0015951i,0.0031182+0.00023991i,0.0020341-0.00044062i,0.00052017+0.00024159i,0.00088537+0.00052637i,0.0012178+0.00076369i,0.0004476+0.0004044i,0.00015298+0.00051723i,0.00013884+0.00097318i,0.00010376+0.0006764i,0.00053883+0.00049945i,0.00090936-0.00017082i,0.00082207-0.0009105i,0.0002687+8.7807e-05i,-0.00031616+0.00066443i,-0.00012067-0.00025434i,0.00021715-0.0001859i,-8.4703e-05+0.00017062i,-0.00036462-3.4356e-05i,-0.00082109-0.00014882i,-0.0012436+0.00024409i,-0.00032778+0.00054546i
0.001078+0.00063326i,0.0012597+0.00024062i,0.00047514-0.0010851i,0.00080213-0.0015509i,0.00068985-0.00040142i,-0.00047718-0.00058138i,-0.00045324-0.001086i,0.00039152-0.00071129i,0.00047207-0.00064326i,0.00080754-0.00067183i,0.00055992-0.00024513i,-0.00034071+0.00024896i,-0.00013272-0.00019512i,0.000714+5.4924e-05i,-7.7735e-05+0.00044225i,-9.5334e-05-0.00012974i,0.00067244-0.0005864i,4.8274e-05-0.00054486i,-0.00042275-0.0010239i,0.0002134-0.0011061i,0.00083887-0.00020366i,0.00034963+3.5314e-05i,-6.6549e-05-0.00029764i
0.00032552-0.00020191i,0.00036576+0.0001362i,-0.00089987+0.00091992i,-0.0012401+0.0014719i,-0.00068443+0.0020235i,0.00048618+0.0018063i,0.00098358+0.00064486i,0.00050994+6.6862e-05i,0.0008315+0.00035923i,0.00036883+0.00028347i,0.00038284+0.00018714i,0.0011982+0.000106i,0.0011247-0.00047444i,0.0004055-0.00060031i,-0.00079744-0.0003847i,-0.0013108-0.00026681i,-0.0005356+0.00042616i,-0.00032214+0.00014872i,-0.0007478-0.00046212i,-0.00017548+1.5754e-05i,1.267e-06+0.00016229i,5.1053e-06-0.00027296i,-0.00014649+0.00023254i
0.0015976-0.00046797i,0.00044459-0.0024282i,0.00041514-0.002487i,0.00051117-0.0023119i,-0.00026967-0.001646i,-0.0014392-0.00019851i,-0.00084376+0.00047555i,0.00018357-6.5633e-05i,0.00067629-0.00051415i,0.00081854-0.00080316i,0.00017958-0.00094359i,-0.0009025-0.00057734i,-0.00065194-0.00024401i,-8.1999e-05+0.00069947i,-4.3446e-05+0.0009483i,-0.0001541-5.4105e-05i,0.00039543-0.0010153i,0.0012094-0.00034235i,0.0002008+0.00085633i,-0.0010357+0.00077763i,-0.00072156+0.0003911i,-0.00028598+5.5089e-05i,-0.00036147-0.00060948i
-0.00078231-0.0001075i,-0.00040844+0.00037764i,-0.00013958+0.00086741i,-0.00021093+1.6763e-05i,-9.0917e-05-0.00068775i,-0.00015355-0.00032903i,-0.00013408+0.00023456i,-0.00012458-0.00038882i,-0.00028053-0.00090207i,-4.4901e-05-0.00062671i,0.00038094-0.00053703i,0.00099971-0.00066173i,0.0010921-0.00019525i,0.0005047-0.00018171i,-0.00010663-9.2467e-05i,-0.00053493+0.00049239i,-0.00060318+0.00058323i,-0.00049152-8.2433e-05i,-0.00010392-0.00043507i,0.0001163-0.00038449i,-0.00065924-0.00093787i,-0.00036533-0.0011127i,0.00051382+0.00010122i
0.0016211+0.0013157i,0.0013524+0.0010373i,0.00045974-0.00022691i,3.1485e-05-2.1178e-07i,-0.00016276+0.00037314i,-3.762e-05-0.00018733i,0.00012305-0.00065115i,-0.00048744-0.00077996i,-0.00087145-0.00057303i,-0.00016063-0.0002442i,-4.7516e-06+0.00018941i,-0.00075978+0.00047843i,-0.00014597+0.00036913i,0.00040425+0.00046978i,0.00030604+0.0011339i,-0.00013005+0.0011315i,-0.00065326+0.00092335i,-0.00011964+6.6008e-05i,5.6197e-05-0.00060371i,-0.00053277-0.00033937i,-0.00075841-0.00042803i,-0.00064806-0.00050274i,-2.654e-05-0.00014507i
-0.00073817+0.0011833i,0.00053371+0.0019511i,0.00088713+0.0013831i,0.00041369+0.001205i,-0.00086507+0.0011081i,-0.0013435+0.00091946i,-0.00093093+0.00057119i,-0.00025544+0.00027055i,0.00058586-0.0001271i,0.00019724-0.00078682i,-0.0007281-0.00042908i,-0.00083441+0.00030922i,-0.00022815+0.00083344i,0.00038434+0.00059309i,0.00043599+0.00046008i,0.00055946+0.0005915i,0.00099731+0.00049545i,0.0010569+0.00039027i,0.00099661+0.00022663i,0.0012948-4.0742e-05i,0.0013724-0.00061267i,0.0003842-0.00071241i,-8.916e-05-0.00055691i
-0.00065265-0.0015254i,-0.00050909-0.0010955i,-0.00076271+0.00011179i,-0.0018919+6.7992e-05i,-0.0017061+0.00081947i,-0.00029312+0.0010317i,3.2003e-05+0.00041724i,-0.00010315+0.00021645i,0.00021736+4.4182e-05i,0.00046354+0.00021614i,-0.00028237+0.00071206i,-0.00064239+0.00057952i,-0.00030816-0.0006422i,0.00025026-0.00042046i,0.00091139+0.0002112i,0.00084004+0.0001357i,-0.00047447-7.7511e-05i,-0.0010349-0.00053479i,0.00023242-9.8984e-05i,0.00073859+0.00084959i,0.00030673+0.00075667i,-0.00073516+0.00099971i,-0.0015734+0.0012674i
-0.0013491-0.0013862i,-0.0021949+0.00041523i,-0.0022041+0.0017951i,-0.0016236+0.0012734i,-0.0012001+0.0011799i,-0.00047044+0.0012817i,-0.00027161+0.00034804i,-0.00051185-0.0002304i,-0.00036958-0.00063873i,-0.00044227-0.00028528i,-0.00094897+0.00042035i,-0.00088109-0.00029329i,-0.00076794-0.00086615i,-0.00043996-0.00034419i,5.2776e-05+0.00026439i,6.6895e-05+0.00090756i,0.00010921+0.00095625i,0.00079947+0.00045899i,0.00062971+0.00018757i,-0.0003113-4.117e-05i,-0.00059678+0.00043507i,-0.0002964+0.00071484i,8.3389e-05+0.00035316i
0.00056397+8.0961e-05i,0.00043337+0.00041106i,0.00021759+0.00041825i,-2.8608e-05-4.2062e-06i,-0.0005297-0.00028238i,-0.00056938-3.97e-06i,-0.00080517+0.0002534i,-0.00037622-0.00046841i,-0.0001065-0.00072117i,0.00015385-0.0004954i,0.00015384-0.00062482i,-0.00019599-0.00044674i,-4.3934e-05-0.0002412i,0.00051547-0.00032561i,0.00085713-0.0005773i,0.00049267-0.00032412i,0.0006092+0.00069163i,0.0010483+0.00087937i,0.0015532+0.00032623i,0.0012375+0.00067046i,0.00053614+0.00057726i,-0.00017319+5.6143e-05i,-0.00069713+1.5147e-05i
0.00062238-0.00085459i,0.0010081-0.0024078i,0.00063503-0.0023915i,0.00017854-0.00087933i,-0.00013189+0.0006013i,-0.00089109+0.00056107i,-0.0013453-0.00052646i,-0.001165-0.00064522i,-0.00062144-0.00052538i,0.00035064-0.0004209i,0.00038679+0.00018131i,-7.3318e-05-0.00020965i,-0.00011672+2.4759e-05i,-0.00039466-0.00022636i,-8.656e-05-0.00090667i,0.00025103-0.00083121i,0.00060335-0.0012415i,0.00037406-0.0001453i,-5.0625e-05+0.00073038i,-0.00037824+0.00010811i,-0.0011268+0.00027247i,-0.0017208+0.00020444i,-0.0014354+7.1348e-05i
-0.0021869+0.0010341i,-0.0017326+0.00083157i,-0.00085981+0.0015206i,-0.00066996+0.0010169i,-0.00013817+0.00049436i,0.00038587+0.00041838i,-2.4788e-05-0.00012453i,-0.00037417-0.00053256i,0.00021468+0.00017259i,-8.4675e-05+0.00036075i,-0.00049384-0.00037403i,-0.00060682-0.00045313i,-0.00044356+0.00042852i,0.00027734+0.00059742i,4.405e-05+0.0001655i,-0.00029049+0.00022117i,-4.3773e-05+0.00014837i,2.1828e-05-0.00018061i,-3.8836e-05+0.00022615i,0.00083848+0.00096679i,0.00095951+0.001246i,0.00015092+0.00071584i,0.00030788+0.00016929i
0.00079078-0.0010646i,0.00053627-0.0014054i,0.0011216-0.0012171i,-0.00031769-0.00061946i,-0.0013733+0.00033938i,-0.00069314+0.00057508i,0.00011084+0.00034493i,0.00047555-0.0001701i,0.00020769-0.00012641i,-0.00063774+5.0592e-05i,-0.0011677-0.00078135i,0.00029395-0.00022973i,0.0012671+0.00066174i,0.00078643+0.00038506i,-0.00045122+0.00028883i,-0.00069093+0.00016292i,-0.00069155-0.00013735i,-0.00051398-0.00052818i,0.00013266+0.00021785i,0.00016491+0.00070826i,0.00043396+0.00014398i,0.00040912-5.7112e-06i,-0.00037528-4.0084e-06i
-0.0010024-0.0018611i,0.00019342-0.0013929i,-0.00015836-0.0017486i,-0.00061919-0.00050158i,-0.00094173+0.00099391i,-0.00044166+0.00072597i,0.00047837-0.00037041i,0.00057494-0.00080348i,0.00024299-0.00093528i,0.00025917-0.00097465i,-0.00019838-0.00049844i,-0.00046228-0.00071048i,6.3189e-05-0.0011554i,0.00075163-0.00045918i,0.00046594+0.00091042i,-0.00010743+0.00097309i,0.00015662+0.00084337i,0.00039035+0.0011681i,7.9675e-05+0.00061922i,0.00070584+0.00013778i,0.00074205+0.0003515i,2.3956e-05+0.00019219i,-0.00061739+0.00063482i
0.00042208+0.0024031i,-0.00015633+0.002135i,-0.00065012+0.00045914i,-0.00019896-7.9569e-05i,-0.00018438+0.00070282i,-0.0010535+0.00057448i,-0.0010895-6.0685e-05i,-0.00030827-0.00062542i,0.00014494-3.1072e-05i,0.00027433+0.00026953i,4.4069e-05-0.00094177i,-2.1262e-05-0.0014274i,0.00059601-0.00040897i,0.00070185+0.00059684i,-9.1045e-05+0.00026205i,-0.00035494-4.5482e-05i,4.4779e-05+0.00026836i,0.00012954+0.00028411i,-3.1538e-05+0.00036184i,-0.00026191-0.0001609i,5.6708e-06-0.00073524i,0.00031824+0.00015727i,0.00046292+0.00088848i
0.0028917+0.00090862i,0.0040122-0.00023871i,0.0027382-0.0017631i,0.00067228-0.0014472i,-0.00015347-0.00097437i,-4.8392e-05-0.00061903i,0.00012256-0.00031719i,-0.00037154-0.00048763i,-0.00062872-0.00052989i,0.00062399+7.5344e-05i,0.0012788+0.00021716i,0.00042322-0.00025434i,-0.00038338+0.00010323i,-0.00069361+0.00024417i,-0.00011407-9.4917e-05i,0.00028286-0.00046574i,0.00039439-0.00028685i,0.00031699-0.00013316i,-0.00024618-0.00036376i,-0.00086192-0.00038562i,-0.00079544-0.00035048i,-3.3846e-05-0.00020521i,0.00069815-0.0003542i
-0.00054025+0.00094695i,-0.00076452+0.00049186i,0.00021413-5.801e-05i,0.0012051-0.00033121i,0.00013543-0.00024238i,-0.0014639-0.00082102i,-0.0015621-0.00096167i,-0.00087996-0.00069011i,9.2104e-06-0.00011505i,5.0633e-05+0.00049118i,-0.00038529+0.00069126i,-0.00038115+0.00030817i,-0.0003903+0.00012903i,-0.00034419+0.00059329i,-0.00028889+0.00033121i,-3.6872e-05+6.6799e-06i,-0.00038398-0.00028039i,-0.00096367+0.00022599i,-0.00051591+0.00066003i,0.00033936+0.00023548i,0.00085683+2.0914e-06i,0.00021978+0.00027643i,-0.0003313+0.00082649i
-0.00033669-0.00086157i,3.5854e-05-9.1892e-05i,-3.9529e-05-0.0001877i,0.00029069+8.3279e-05i,0.00032628+0.00099072i,0.00012747+0.00053257i,4.0084e-06-0.00049997i,0.00047853-0.0011258i,0.00090643-0.0013078i,0.00050742-0.00059452i,0.00029431+0.00014347i,0.00012545+0.00029818i,-0.00057758+0.00044073i,-0.0006317+5.0476e-05i,-0.00060892-0.00057582i,-0.00068483-0.0008595i,-0.00088503-0.00087884i,-0.0010694+5.327e-05i,-0.00090111+0.00039335i,-0.00063683+0.00017315i,-0.00038083-1.1409e-05i,-0.00013921+0.00032829i,-0.00013135+0.00037274i
0.0013385-0.001433i,0.00099354-0.0021388i,-0.00018782-0.0021234i,-0.0014059-0.00096179i,-0.001684+0.0002817i,-0.0010314+4.4281e-05i,-0.00043344-0.00024243i,-0.00029926-0.00047956i,-1.4947e-05-0.00077703i,4.7131e-05-0.00094296i,0.00021639-0.0010157i,0.00012065-0.00028172i,0.00041215+0.00078582i,0.00093751+0.00038435i,0.00080468+0.00044837i,0.0006374+0.00089213i,0.00029953+0.00038574i,-0.00066619+0.00036817i,-0.00052423+0.00030525i,0.00085923-1.6622e-05i,0.00049485+0.00066154i,-4.9083e-05+0.00072506i,-0.00047611-6.484e-05i
-0.00082814+0.00047674i,7.4385e-06+0.0010606i,-2.4974e-05+0.0015134i,-0.00080757+0.0014961i,-0.0015413+0.0017005i,-0.0011247+0.0012651i,-0.00032955-0.0002729i,-0.00046217-0.00082157i,-0.00068018-0.00033959i,-6.3287e-05+0.00069867i,0.000253+0.00058987i,0.00017082+0.00016384i,0.0003834+0.00027581i,0.00010986+2.9228e-05i,-2.1986e-05-0.00026125i,0.00056577-0.00026076i,0.001009+3.7596e-05i,0.0006733+0.00026684i,0.00016578-0.00035339i,0.00058597-0.00076095i,0.00019275-0.00041823i,-0.00095883-0.00011036i,-0.00055314-0.00043118i
-0.0002712-0.0018195i,-0.00022903-0.0012953i,-0.00040119-0.0010677i,-0.0011914+0.00025537i,-0.0017964+0.00098463i,-0.0017345+0.0010701i,-0.00041995-1.9159e-05i,0.00060182-0.00018015i,0.00065656+0.00027598i,0.00017944+0.00059213i,-0.00061582+0.0008924i,-0.00045768+0.00073225i,-0.00011947+0.00065255i,-0.00065789+0.00058718i,-0.0008416+0.0002521i,-0.00020815-0.00028231i,0.00018498-0.0010305i,9.3389e-05-0.0010188i,0.00045762-0.00044915i,0.0003349+0.00051763i,4.6993e-05+0.00042309i,0.00035795-0.00021193i,0.00052143+0.00026479i
0.0013036-0.0014679i,0.0013695-0.0013578i,-3.3661e-05-0.0032152i,-0.0016584-0.0036292i,-0.0018655-0.0015471i,-0.00039163-6.6834e-05i,0.00023345+6.2884e-05i,-0.0002065+3.3013e-05i,-0.00042311-0.00032477i,-0.00080479-0.0010253i,-0.0010287-0.00075822i,0.00015808-0.00019583i,0.00050832-0.0004239i,6.7461e-05-0.00037812i,0.00012867+2.3699e-05i,0.00037154-0.00044956i,-0.0001202-0.0006279i,-0.00071768+0.00050191i,-0.00049748-7.2153e-05i,0.00019505-0.00064399i,0.0001822-9.9779e-05i,0.00013076+0.00016143i,0.00088148+0.00011015i
