-0.0066584+0.0013609i,-0.0046415+0.0022791i,-0.0048707+0.0036896i,-0.0035067+0.0048071i,-0.00097538+0.0035232i,0.00079091+0.0026011i,8.5395e-05+0.0022824i,-0.00098009+0.0018674i,-0.00052976+0.0020546i,0.00061213+0.0018163i,0.0017307+0.00051057i,0.0012899-0.00042912i,0.00047322-0.00071664i,-0.00093139-0.00109i,-0.0021294-0.00086258i,-0.0016028-0.00048306i,-0.0002579-0.00078448i,0.0011074-0.00076746i,0.0011356-0.00013422i,0.0010166+0.00014163i,0.00059197-1.955e-06i,-0.0002798-0.00027274i,0.00018475-0.00055976i
0.001493-5.9027e-05i,4.3424e-05+0.00046223i,-2.1294e-05+0.00021508i,-0.00052296-0.00017444i,-0.001342-8.6887e-07i,-0.0014958+0.00063939i,-0.00068945+0.0010981i,0.00027506+0.00046632i,0.00083363-0.00065882i,0.00094936-0.0012304i,0.00049244-0.00093732i,0.00024739-0.00059723i,-0.00017022-0.00016919i,-0.00032417-4.1381e-06i,-0.0003105-0.00015292i,-0.00019923+0.00048243i,-0.00019751+0.00093754i,-0.00057306+0.00012285i,-0.00047075-0.00024509i,0.00012353-0.00012704i,0.00045865-0.00036934i,-0.00018659-0.00043151i,-0.00059624-0.00036161i
0.0011307+0.00093604i,0.0015178+0.001158i,0.00062713+0.00036895i,-0.00051574-0.00069878i,-0.00040741-0.00094485i,-0.00051193-0.00031526i,-0.0010203+0.00055012i,-0.00065301+0.00032802i,0.00094714-0.00040556i,0.0011008-0.00095063i,0.00017225-0.0011608i,0.00085718-0.00045255i,0.00097827+0.00017972i,-0.00041433+0.00026845i,-0.00074669+0.0002766i,7.8595e-05+0.00049095i,-0.00039012+7.7157e-05i,-0.00089668-0.00010937i,-0.00064936+3.7777e-06i,-0.00075887-0.00013959i,-0.0011625+0.00023951i,-0.00016674+0.00022445i,0.00056257-8.9342e-05i
-0.00052887+0.0013231i,-0.00052432+0.00042414i,-0.00024805+2.1394e-05i,-0.00011407+0.0010477i,0.00022249+0.0015619i,-0.00011628-5.8902e-05i,-0.00023947-0.00014757i,0.00030377+0.0011737i,0.00033813+0.00099727i,0.00058356-0.00041196i,0.00091037-0.0017707i,0.00060178-0.0013133i,-0.00025079-0.00027006i,-0.0007542-3.5295e-06i,-0.00015959+4.7872e-05i,-5.2703e-05+0.00026304i,-7.9676e-05+0.00037252i,0.00016757-0.00031171i,0.00027911-0.0013645i,0.00012121-0.00093851i,4.5722e-05+7.2858e-05i,0.00010228+0.00024604i,-0.00038213-0.00035092i
0.0012674-0.00036695i,-0.00015763-0.0011181i,-0.0011331-0.0019902i,-0.0015851-0.0021198i,-0.0017263-0.0017766i,-0.0017678+0.00016266i,-0.0014485+0.0009944i,-0.00059175+0.00026306i,1.7097e-05+0.00018725i,0.00012024+0.00046048i,0.00012331-0.00013117i,-0.00014129-0.00013605i,-0.0001763+0.00030129i,0.00020353+0.00046902i,-0.00011905+0.00027581i,-0.00059393-0.00034494i,-0.0004598-0.00032972i,7.43e-05-0.0003884i,-0.00026525-0.00074374i,-0.00032323-0.00078276i,0.00079065-0.00083516i,0.0010247-0.00075083i,-0.000196-0.00019124i
0.0022265+8.06e-05i,0.0021357-0.00040499i,0.0019866+3.1179e-05i,0.0017132+0.00083853i,0.0004158+9.3519e-05i,-0.00025188-0.00079667i,-0.00013294-0.00014411i,-0.00015063+0.00085796i,-0.00012888+0.0007076i,-0.00018429+0.00043056i,-0.00020526+1.5394e-05i,9.9615e-05-0.00053974i,0.00043908-0.00049505i,5.6929e-05-0.0002257i,-0.00092296-0.00021765i,-0.00036065-0.00079045i,0.00050912-0.00050558i,7.3479e-05-0.00038881i,-0.00023896-0.00060451i,-0.00081656-0.00042094i,-0.001029-0.00078835i,-0.00038584-0.00098412i,-0.0001096-0.00056524i
-0.0001697+0.0015822i,0.00058865+0.0019278i,0.0006677+0.002053i,0.00074462+0.0005454i,0.00051762-0.00079312i,-0.00019969-0.00092517i,-0.0013584-0.00040767i,-0.00076912+0.00015029i,0.00070472+0.00077045i,0.00067796-0.00010725i,-0.00030795-0.0012519i,-0.00070877-0.00094646i,-0.00031752-0.00051462i,-8.4968e-05-0.00034765i,1.8254e-05-7.1696e-05i,-0.00026755+0.00012523i,-0.00018185+0.00015876i,-8.0966e-05+0.00063313i,-0.00055852+0.00045538i,-0.00062604+0.00029846i,0.00010052-4.0171e-05i,5.8145e-05-0.00055106i,-0.00043955-0.00013943i
0.00048268+8.1285e-06i,0.00012516-0.0013483i,0.00067149-0.0018078i,0.0015171-0.0010405i,0.0011576+0.00018725i,-0.00017548+0.00040975i,-0.0007949+0.00014408i,-0.00062604-0.00016008i,-0.00051289-0.00014089i,4.6576e-05-0.00049028i,0.00038486-0.00070195i,0.00068027-0.0010728i,0.00061774-0.001316i,-0.00055458-0.00047152i,-0.00082979+0.00016255i,-0.00074558+0.00034681i,-0.00082435+0.00070432i,-0.00034944+0.00076714i,-0.00028302+0.00051885i,-0.00016737-0.0003388i,0.00010351-0.00092262i,0.00034823-0.00087239i,0.00044053-7.0171e-05i
0.00069365-0.0006658i,0.00049487-0.001228i,-2.5356e-05-0.0018122i,7.5189e-05-0.00098506i,-0.00046878+0.000302i,-0.00061704+0.00068526i,-0.00066249+0.0006914i,-0.0004986+0.00060539i,-0.00075148+0.00021154i,-0.00082099-2.596e-06i,0.00012936+6.0037e-06i,0.00030537+0.00010481i,-0.0004904+0.00054319i,-0.00011478-5.0048e-05i,0.0004813-0.00016021i,0.00031177+0.00058851i,0.00012902+0.00031548i,-5.4417e-06-0.00034093i,0.00011957-0.00069899i,0.00013447-0.00069649i,8.6514e-05-0.00088482i,0.00042853-0.00051339i,0.00075776-0.00049203i
0.00018359-0.0005297i,0.00057373-0.00159i,0.00024036-0.00034747i,-0.0015431-0.00011099i,-0.0026325-0.00041371i,-0.0018267+0.00089405i,-0.00052952+0.0014768i,0.00016646+0.00071729i,0.0001669-0.00029821i,-0.00063423-0.0001669i,-0.0004021-0.00032492i,0.00047992-0.00040677i,0.00058399+0.00085396i,-0.00021372+0.0014i,-0.00030865+0.0011421i,0.00077983+0.00089002i,0.00086433-0.0004088i,-4.1359e-05-0.0011134i,-0.00041206-0.00083965i,0.00033938-0.0011274i,0.00071642-0.0010921i,0.00054658-0.00010252i,0.00087563+0.00027409i
-1.1075e-05-0.001603i,-0.0012409-0.0016416i,-0.0017722-0.0014102i,-0.0013917+0.00022643i,-0.0017831+0.00086251i,-0.0014621+0.00031927i,-0.00046003+0.00047796i,-0.00027486+0.00019759i,-0.00071112-0.00025168i,-0.00024403-0.00054721i,0.00042068-0.00065393i,0.00022934-0.0007661i,0.00062623-0.0012735i,0.00037638-0.0010257i,-0.00047666-0.00011154i,-0.00028225+0.00056275i,0.00030518+0.00065811i,0.00049135-1.6195e-07i,0.00076317+3.4477e-05i,0.00072496+0.00066081i,-2.1419e-05-0.00028181i,-0.00032476-0.0012634i,-0.00072352-0.00094753i
-0.00041935+0.00052894i,-0.00030281-0.00028232i,0.00025245-0.00020256i,6.2394e-05+0.00049266i,-0.00065198+0.00075664i,-0.0010928+0.00013165i,-0.00063644+0.00017256i,-0.00039407+0.00044174i,5.0677e-05+0.00033876i,0.00019148-1.0371e-05i,-0.00016009-0.00060248i,0.00011737-0.00084689i,0.00021131-0.0011828i,-0.00049423-0.0015904i,-0.0012682-0.0013066i,-0.0011358-4.2958e-05i,-0.00069892+0.00071464i,-0.00093771+0.00021163i,-0.0010597-0.00011075i,-0.00042921-0.00034656i,-0.00044849-9.7709e-05i,-0.0010944+0.00036442i,-0.001382+0.00061519i
0.00054305+5.4843e-06i,-0.00021256-0.0012136i,-0.00095191-0.0017472i,-0.00050613-0.00086887i,-0.0001068+0.0005922i,-0.00080827+0.00057941i,-0.00096472+5.3294e-05i,1.7488e-05-0.0002535i,0.00032187-0.00030573i,-0.00025099-0.0007121i,-6.595e-05-0.00084927i,0.00083871-0.00035031i,0.001148-0.00012058i,0.0004249-0.00045616i,-0.00018148-0.00033717i,5.0548e-05-0.00033472i,0.0004712-0.001134i,0.00042662-0.0010363i,0.00061923-0.0010538i,0.0005588-0.0012398i,0.00028768-0.00072705i,0.00054893+0.00024074i,9.7308e-05-0.00011533i
0.00095296-0.0013911i,0.0009381-0.0017335i,0.00029131-0.0013262i,-0.00090457-0.00063594i,-0.0015207-0.00073025i,-0.00059654-0.00020155i,-0.0003103+2.0176e-05i,-0.00030248+5.2994e-05i,0.00025411-0.00041615i,0.00016823-0.0014385i,0.00027201-0.0016164i,0.00078251-0.0011273i,0.0005569-0.00050944i,-0.00033049+9.9209e-05i,-0.00062612+0.0001873i,0.00010341+4.2888e-05i,1.8676e-05+0.00013983i,-0.00075699-0.00014249i,-0.00014213-0.00048147i,0.00084836+0.00010788i,0.00010472+3.5538e-05i,-0.00072875-0.00016722i,-0.00042681-6.6564e-05i
-0.00069035-0.00099118i,-0.0011772+0.00025944i,-0.0023939+0.00044819i,-0.0022912+0.00035688i,-0.0015435+0.0002199i,-0.0010151+7.5867e-05i,-0.00085743-3.4926e-05i,-0.00052301+0.00064346i,0.0005262+0.00081419i,0.0013327+0.00020464i,0.00061333-0.00016584i,0.00023065-0.00064745i,-7.8246e-05-0.00047455i,-0.00038021-0.00069529i,0.00010118-0.0011303i,0.00060061-0.00095125i,0.00025901-0.00070297i,-2.5966e-05-0.00020634i,-0.00011393-0.00012413i,-0.00054234-0.00020169i,-0.00044455-0.00041902i,0.00071544-0.00027186i,0.00091599+8.8387e-05i
0.0017114-0.00025284i,0.0019836-0.0013716i,0.0020087-0.0018122i,0.00073349-0.0019961i,-0.00068176-0.0022178i,-0.0015255-0.0010142i,-0.0010864-0.00014885i,3.3402e-05+0.00022116i,0.00050984+0.00090557i,0.00084548+0.00035737i,0.00074534-0.00065973i,-0.00044767-0.00079503i,-0.00048342+7.3567e-05i,0.00024645+0.001266i,0.00010476+0.0012111i,-8.5151e-05+0.00037266i,-0.00035964-0.00046576i,-0.00074136-0.0013189i,-0.00083721-0.00054555i,-0.00036348+0.00052358i,-0.00040887+0.00055795i,-0.0007887+0.00074825i,-0.00052991+0.00045035i
