0.00032965-1.7738e-05i,0.00092776-0.00096086i,0.00037628-0.0013194i,-0.0017006-0.0016969i,-0.002171-0.0011636i,-0.00076973+0.00083162i,-0.00014226+0.0016732i,-1.5759e-05+0.0013973i,0.00076706+0.0013876i,0.0012816+0.0011302i,0.00024006+7.9385e-05i,-0.00080094-0.0011888i,-0.0005462-0.001272i,2.6008e-05-0.000933i,0.00038971-0.0011424i,0.00027136+5.796e-06i,8.376e-05+0.00022623i,0.00035758-0.00057558i,0.00033831-0.00041858i,-0.00044306+0.00013545i,-0.0010272+1.9122e-05i,-0.00020155-6.9292e-05i,9.8295e-05-0.00023882i
0.0014418-0.00023276i,0.0012225-1.6066e-05i,0.00089086-0.00021161i,0.00049207-0.00038006i,0.0012205-0.00057724i,0.0014857-0.00035925i,-1.2038e-06+0.00011298i,-0.0010133+0.00061812i,-0.00057364+0.00073237i,6.9449e-06+0.00051961i,0.00036737+9.0517e-05i,-0.00011501-0.00044287i,-0.00073913-0.0004177i,-0.00058897+0.00028948i,4.0948e-05+0.00052248i,0.00078928-0.00011453i,0.00063005-0.00014385i,-0.0005306+0.00068926i,-0.001241+0.00064747i,-0.00074932-5.8709e-05i,0.00034322-0.00035165i,0.00040543-0.00034656i,0.00044596-0.00031123i
0.0014992+1.8151e-05i,0.0011271-0.00011732i,-5.6253e-05-0.0010683i,-0.00098089-0.0025468i,-0.00011663-0.0024256i,0.00082968-0.00086438i,0.00074337+0.00010568i,0.00042425+5.8825e-05i,-4.0684e-05+0.00025616i,-0.00017674-0.00035757i,1.7591e-05-0.0013517i,0.00024941-0.00090126i,0.00034319-0.0011412i,0.00052991-0.0011006i,0.00054548-0.00045955i,0.00051545-0.00049056i,0.00045779-0.00079877i,0.00010632-0.00096171i,-0.00036732-0.00071714i,-0.00066062-0.0001104i,-0.00078398+0.0010233i,2.1154e-05+0.0013156i,0.00082849+0.0013373i
-0.000327-0.0020371i,-0.00043862-0.0017923i,-0.00071829-0.001779i,-0.0012976-0.0011666i,-0.00069641-3.4393e-05i,-0.00057041+4.1926e-05i,-0.00041043+0.00056165i,0.00093525+0.00087408i,0.0015427+0.0010285i,0.00048305+0.00089003i,-0.00045212-7.6763e-05i,-0.00030933-0.00031791i,-1.6541e-05+0.00011928i,7.0058e-05+0.0004303i,0.00020326+0.00083263i,0.00053571+0.00090111i,0.00060231-0.00049322i,0.00070811-0.00076552i,0.0010569+0.0004507i,0.0010124+0.00023238i,-0.00011727+0.00040726i,-0.00087471+0.00088339i,-0.00029322+0.00073414i
-0.00086374-0.00010427i,-0.0015024-0.00014707i,-0.0017191+0.00015199i,-0.00083819+0.000125i,0.00025779-0.00042993i,0.00063535-0.00076859i,-0.00044569-0.00019726i,-0.00086626+0.00016231i,-0.00037813+0.00058152i,-0.00031803+0.00026244i,-7.9451e-05-0.00046924i,0.00021499-0.00015477i,0.00029601+0.00018029i,0.00079976-2.7542e-05i,0.0013817-0.00022768i,0.0015083-0.00018441i,-0.00023382-0.00036416i,-0.001486-0.00014477i,-0.0010871-0.00013727i,-0.00024562+9.2627e-05i,0.00032217+0.0012401i,0.00047443+0.0012095i,-0.00011111-0.00019164i
-0.00012214-0.00097646i,-2.9801e-05-0.001344i,-0.0006309-0.0015398i,-0.00074847-0.0013861i,-0.00057792-0.0013843i,-0.00011405-0.00068359i,-0.00040786+0.00059922i,-0.00033839+0.00065694i,-4.982e-05+0.00070797i,-0.00030438+0.00025654i,-0.00030864+0.00013186i,-0.00029761+0.00061904i,-0.00030706+0.00066566i,-6.1442e-05+2.7807e-06i,-0.00020078-0.00016157i,-0.00032498-0.00027443i,0.00057178-0.00018034i,0.00062061+0.00031319i,-0.0003091+0.00025138i,-0.00018834+0.00022267i,0.00031336-4.9473e-05i,0.00017337-0.00026853i,-4.0172e-05-0.00036026i
0.00030624-0.0019054i,0.0012251-0.0021983i,0.0011059-0.0023433i,0.00051381-0.0015222i,0.00024235-0.00060199i,0.00024559-0.00028693i,-0.00024543+2.489e-06i,-0.00089119-6.0043e-05i,-0.0005077+0.00036282i,-0.0002859+0.00033983i,-0.00068389+0.00048581i,5.4106e-05+0.00047543i,-0.00014753+0.00039114i,-0.00056418+0.0008874i,7.0795e-05+0.00093039i,0.00081814+0.00059093i,0.0011536+0.00020748i,0.00094457-0.00030624i,0.00051522-0.00067588i,-0.00030413-0.00047954i,-0.00028173+0.00042494i,2.5555e-05+0.00074772i,0.00039949+0.00062288i
0.0014968-0.00084419i,0.0011048-0.00082446i,0.00076711-0.000881i,0.0002334+0.00042787i,-0.00053329+0.00051612i,-0.00027667-0.0007466i,0.00012523-0.00052059i,0.00012851+7.1323e-05i,-0.00034007+0.00021843i,-0.00041734+0.00010114i,0.00047772+0.00013253i,0.00070326+0.0015468i,-0.00022084+0.0018827i,-0.00038849+0.00063959i,0.00025104+0.00043486i,-0.00010429+0.00085568i,-0.00055328+0.00086967i,-0.00046458+0.0010586i,-0.00045175+0.00084656i,-0.00057637+0.0006266i,-0.00072543+0.00085374i,-0.00073755+0.00056874i,-0.00061481+0.00015724i
0.0010461+0.001619i,0.00031409+2.8256e-05i,0.00062918-0.0011408i,0.00037679-0.0022426i,-0.00054804-0.0028197i,-0.00081407-0.001756i,-0.00076211-0.00054634i,-0.00039922+2.1126e-05i,-0.00030009+0.00055623i,-0.00063698+0.00019032i,-0.00094403-0.00013821i,-0.00096982-1.5079e-05i,-0.00054916+0.0003726i,-0.00024221+0.0013483i,-0.00030731+0.0014793i,-5.0272e-05+0.00076855i,0.00036142+0.0003745i,-0.00010541+0.00038899i,-0.00044402+4.2741e-05i,-0.00096653-0.00022364i,-0.0012144-0.00059198i,-0.00041664-0.00037375i,3.2433e-05+0.00014989i
-0.0010359+0.0013201i,-0.00031131-1.6563e-05i,0.00010936-0.0010477i,0.00019729-0.00078344i,0.00085724-0.00031072i,0.00084948-0.00098971i,0.00049765-0.00094425i,0.00026913+0.00029864i,-0.00040866+0.00080342i,-0.00053618+0.00023752i,-0.0011654-0.00038118i,-0.00070293-0.0007289i,0.00061048-0.00090446i,0.00047603-0.00090404i,-0.00043039-0.00043814i,-0.0010267+6.9168e-05i,-0.00061866-0.00051137i,0.00023381-0.00091998i,4.9156e-05+0.00017999i,-0.00049405+0.0005772i,-0.00075107+0.00063514i,-0.0012696+0.00064215i,-0.0011864+6.6739e-05i
-0.00068881+0.00030448i,-0.001068-0.00062459i,-6.1553e-05+0.00025076i,0.0011559+0.00071457i,0.00059587-0.00015723i,-4.3349e-05-0.00065052i,0.00013295-0.00047335i,0.00085026+0.00023464i,0.0010048+0.0012188i,0.00091912+0.0013183i,0.00053728+0.00088294i,-0.00038821-0.00010956i,-0.00048098-0.00081112i,-0.00019478-0.0005326i,-0.00047671-0.00063835i,-0.00083801-0.0016634i,-0.00059996-0.00152i,-0.00011684-0.00027038i,0.0008226+0.00060981i,0.00080223+0.00064775i,0.00048176+0.00040155i,0.00044677-0.0003124i,0.00031878-0.001019i
0.0010998-0.0012821i,-0.00018004-0.001822i,-0.00088346-0.0015807i,-0.00033522-0.00086843i,0.00032632-0.00065965i,0.00039937-0.00084832i,0.00040958-2.3335e-05i,-0.00018905+0.00093769i,-0.00010765+0.00053149i,0.00073264+0.00027688i,0.00065486-0.00011811i,0.00041386-0.00025786i,0.0001675+0.00049779i,-0.00023352+0.00017119i,-8.5655e-05-0.0007576i,-0.00010806-0.00034502i,0.00034215-0.00010827i,0.00076157-0.00037666i,0.00033076-0.00033669i,-0.00083752-8.9649e-05i,-0.00069025+0.00054515i,-0.00066843+0.00083311i,-0.00062696-7.2934e-06i
0.0012916-0.00017902i,0.002987+0.00016404i,0.0020717+8.5497e-05i,0.00040195-0.0011513i,-9.9721e-05-0.0014746i,-9.8877e-05-0.00047344i,6.3353e-05+0.0004675i,-0.00012635+0.0012501i,-0.00099289+0.00097191i,-0.00082528+0.0002747i,9.9117e-05+0.00041609i,0.00024599+2.8539e-05i,0.0001446-0.00027852i,0.00052194+0.00044041i,0.00042731+0.00087305i,-0.00059269+0.00078785i,-0.00080395-0.00012062i,6.4377e-05-0.001237i,0.00029538-0.000929i,0.00011162-0.00038762i,3.363e-05-0.00039902i,0.00014047-0.00060859i,0.00018479-0.00089936i
0.00015024-0.0018948i,-0.0010295-0.0022595i,-0.0018385-0.0028405i,-0.001891-0.0019209i,-0.0008111-0.00093163i,7.9201e-07-7.3358e-05i,0.00034423+0.00014178i,0.00077595+0.00069778i,-2.0286e-05+0.00064841i,-0.00087703+0.00023113i,-0.00050629+0.00049413i,0.0001604+0.00035546i,0.00075192+0.00010255i,0.00067889+0.00024429i,0.00024661+0.00055974i,-0.00012113+0.0003459i,-4.9848e-05-0.00027885i,0.00016693-0.00045063i,0.00046878-0.00034476i,0.00047341-8.7817e-05i,-5.3978e-05-0.00059192i,-0.00029056-0.0010801i,-0.00031447+0.00019152i
0.00055468+0.00099599i,0.0011866+0.001298i,0.001054+0.00084977i,0.0010579+2.6585e-05i,0.00037359-9.3451e-05i,0.00034161+0.00011066i,0.00033564+0.00040778i,-0.00016822+0.00084205i,0.00015518+0.0010372i,0.00046394+0.00056619i,0.00011485+7.6049e-05i,-0.00025499-0.00013079i,0.00041193-0.00030988i,0.0010381-0.00014457i,0.00064129+0.00013275i,0.00010294+0.00027767i,0.0001951+1.0593e-05i,0.00035803-0.00042797i,0.00079278-0.00053803i,0.00059578-4.713e-05i,-0.00021872-0.00070787i,-0.0002621-0.0013266i,0.0003634-0.0003984i
-0.0011156+0.0011675i,-0.0011036-0.00051701i,-0.00097292-0.001152i,-0.00014509-0.0013201i,0.00046612-0.0018099i,0.00012178-0.0009256i,-0.00021821+0.00030628i,-0.00023177+0.0005507i,-0.00058865+0.00025471i,-0.0006682-1.1778e-05i,-0.00055594-0.0005096i,-0.00074102-0.0002006i,2.1316e-05+0.00025218i,0.00073866+1.2986e-05i,0.00036784-0.0004574i,-8.9643e-05-0.00039912i,-0.00032503-0.00075033i,-0.00049034-0.0010994i,-0.0010386-0.001164i,-0.0012573-0.0013226i,-0.00046121-0.0010484i,0.00036507-0.00040753i,0.00097859-0.00025454i
0.00047179-0.00073254i,0.00080465-0.001145i,0.0010732-0.0015447i,0.00065414-0.001152i,-0.0001408-9.4366e-05i,-0.00067574+0.00069153i,0.00071479+0.00055266i,0.0018138+0.00071577i,0.00045207+0.00034419i,-0.00062324-9.0909e-05i,-0.00010653-0.00058643i,-0.00020122-0.00084973i,-0.00011226-0.00034618i,0.0001001+0.00041638i,-0.00044214+0.0007773i,-0.00080435+0.00029869i,-0.00047917-0.00011689i,-0.00022728+0.00024485i,-0.00010637+0.00087234i,0.00027461+0.0010387i,0.00025514+0.00020193i,-8.3346e-05-0.0001758i,-0.00021986+2.8029e-05i
0.00049451-0.0026798i,-0.0010519-0.0018082i,-0.001879-0.00082982i,-0.0020082-0.00045537i,-0.0015591-0.00026643i,-0.00047213-3.4249e-05i,9.4858e-05+3.8864e-05i,0.00049521+0.00041005i,0.00087059+0.00077505i,0.00064745+0.00090021i,-2.7791e-05+0.00045081i,9.4611e-05-0.00024817i,-0.00024162-4.285e-05i,-0.00053247+0.0010361i,-0.00021774+0.0013825i,-0.00040807+0.00077039i,-0.00057703+0.00022488i,-0.00025145-9.1764e-05i,0.00038421-0.00039222i,0.00097726-0.00062935i,0.0012928-0.0010296i,0.00079738-0.00095534i,0.00039375-0.00043259i
0.00081898-0.0014124i,0.0014285-0.0017899i,0.00097645-0.00033192i,0.00074445+0.00026477i,0.0011781-0.0002378i,0.001-0.00048266i,0.00039101-0.0004733i,-0.0002226-0.00057711i,-7.9917e-05-4.4016e-05i,0.00073196+0.00040446i,0.001414+0.00016174i,0.0012555-0.00079239i,0.00063858-0.0011035i,0.00038612-0.00081093i,0.0002994-0.0010428i,0.00026355-0.00091315i,8.1444e-05-0.00012211i,-1.8763e-05+0.00038646i,-0.0010012-6.3188e-05i,-0.0015349-0.00047527i,-0.00078008-0.00068106i,-6.0012e-05-0.00055884i,-0.00013623-0.00035089i
0.00069764+0.00088637i,0.0018819+7.6647e-05i,0.001674-9.4663e-05i,0.0015553-0.00060373i,0.0014902-0.0012761i,0.0012399-0.0011354i,0.00046955-6.9411e-05i,6.2612e-05+0.00032208i,8.3519e-05+0.00054169i,3.6285e-05+0.0008928i,-0.00039927+0.00060517i,-0.00094688-8.1169e-05i,-0.00090196-0.00034256i,-0.001024+0.0001306i,-0.00085422+4.4328e-05i,-0.0008841-0.00022994i,-0.0011548+0.00017977i,-0.00068773+9.5844e-05i,-4.6582e-05-5.4785e-06i,0.00022426-7.4859e-05i,0.00057467-0.00039965i,9.3672e-05-0.00048707i,-2.4989e-05-0.00068084i
0.00063763+0.00086899i,0.00060032-0.00030898i,0.00055844-0.00013246i,0.00054555+0.00016283i,0.0010017-0.00032989i,0.00052744+5.181e-05i,1.3129e-05+0.00046085i,0.00044852+0.00010412i,0.00046523-4.4415e-05i,-0.0006042-0.00067425i,-0.00084116-0.00094652i,-0.00039193-0.00029937i,6.2355e-05+4.8259e-05i,-0.00035179-7.3853e-06i,-0.0010239-3.1209e-05i,-0.00093225+3.3645e-05i,0.00029361-0.00011777i,0.0013157+2.2578e-05i,0.00085616-0.00027644i,0.00050694-0.00057873i,0.00051145+4.0371e-05i,0.0005084+8.862e-06i,3.9678e-05-0.00053158i
-0.00089628+0.00033952i,-0.0001612+6.3032e-05i,0.0001613+0.00093024i,-6.5484e-05+0.00043282i,-4.1815e-06-0.0010108i,0.00016996-0.00056577i,0.00058334+7.2442e-06i,0.0010824-0.00015499i,0.0012395+0.00067579i,0.0010404+0.0011269i,0.00059923+3.7654e-05i,0.00037817-0.00015263i,3.9552e-05+7.8256e-05i,-0.00069198-0.00025649i,-0.00097108-0.00076136i,-0.00045118-0.00072474i,9.3963e-05-0.00053176i,-1.4885e-05-3.1351e-05i,7.4128e-05+0.00015665i,0.00021631+0.00025988i,7.996e-05+0.00065828i,-3.9393e-05+0.00072189i,0.00041084+0.00040677i
0.0003715-0.00022841i,-0.00084589-0.00050207i,-0.0011232-0.0009316i,0.00022628-0.001619i,0.000887-0.0013235i,0.0012165-0.00097643i,0.0012334-0.00052973i,0.00042578-0.00011783i,0.0002066-0.00024808i,0.0002004-0.00039841i,0.00043179-0.00041529i,0.00023002-0.00021742i,0.00044107+0.00011094i,0.00076663+0.00013868i,0.0011369-7.73e-05i,0.00043673+0.00023469i,0.00011435+0.00067206i,0.00030632+0.00058904i,4.1293e-05-0.00013277i,2.8385e-05-0.00067863i,0.00020011-0.00023563i,0.00054571+7.2187e-05i,0.00037926-0.0004974i
-0.00061321-0.001183i,0.00013662-0.00075318i,-0.00030885-0.00021061i,-8.2145e-05-0.00011179i,0.00035994+0.00049624i,-0.00013603+0.0010901i,0.00011158+0.00040861i,0.00047487-2.7511e-05i,0.00037433+6.342e-05i,7.5936e-05-0.00015836i,-8.3322e-05-0.00046796i,7.5469e-05-0.00080237i,0.0004271-0.00070479i,0.00073016-0.00047875i,0.00099635+4.3787e-05i,0.00081066+0.00032956i,0.00012223+0.00017702i,-0.00022638-0.00084068i,-6.127e-05-0.0010686i,-7.8558e-05-0.00034274i,0.00036364+0.00021936i,0.0012856+0.00019106i,0.00078526+7.9831e-05i
0.0016488+0.0012728i,0.0007916+0.0020688i,0.00041602+0.0016194i,-0.00025613+0.00020345i,-0.00096249-0.0012388i,-0.001349-0.0016646i,-0.0010829-0.001016i,-0.00046552+1.848e-06i,-6.4786e-05+0.00023882i,0.00019662+0.0002063i,-0.00026161+6.2071e-05i,-0.00084622-5.6871e-05i,-0.00080388-0.00044074i,-0.00087605-0.00050259i,-0.00068909-0.00058177i,-0.00012409-0.00037856i,-6.5149e-05+0.00051552i,-0.00076654+0.00052315i,-0.001184-0.00019097i,-0.00022332+0.00021735i,0.00070076+0.00079737i,0.0012407+0.00053543i,0.0011017+0.00042418i
-0.0012918-0.0030336i,-0.0020196-0.0027334i,-0.0023184-0.001803i,-0.0014272+1.1416e-05i,-0.0008923+0.0016192i,-0.00044523+0.00223i,0.00095895+0.0015171i,0.0013562+0.00042559i,0.00069519+0.00074501i,0.00035251+0.0010152i,-0.00012077+0.0012122i,-0.00025297+0.00088307i,0.00013832+0.00011472i,0.001069+0.00047007i,0.0012613+0.00053095i,0.00047824-0.00012492i,0.00033887-0.00046908i,0.00030312-0.00064328i,-0.00054055-0.00039085i,-0.00084848+0.00027968i,-0.00040944+0.00061196i,7.0707e-06-6.154e-05i,0.0001577-6.0355e-05i
