-0.001283+0.0012507i,-0.0015122+0.00086269i,-0.0016412+0.0012032i,-0.0013903+0.0013813i,-0.00034087+0.0008937i,0.00041818+0.0001639i,0.00099724-0.00069795i,0.0015845-0.0010598i,0.0010816-0.0015503i,0.0003901-0.0012433i,0.00010212-0.00021078i,-0.00026365-2.2967e-05i,-0.00055065-1.5087e-05i,-0.0010278-0.00041099i,-0.00094154-0.0011786i,-0.00011831-0.0012887i,-3.0375e-05-0.0007153i,-0.00040423-0.00031633i,-0.00024111+0.0001995i,0.00086571+0.00034725i,0.00082154-8.6566e-05i,-0.00041976-0.00046616i,-0.00076241-0.00049774i
-0.00084911+0.00038275i,1.6625e-05+0.00060572i,0.0015095+0.0011034i,0.0019599+0.0017617i,0.00105+0.0024419i,0.00093625+0.0020504i,0.00030963+0.0012725i,-0.00070683+0.0010848i,-0.0012584+0.00099007i,-0.0015453+0.00021976i,-0.0013821-0.00021755i,8.4048e-05-0.00051383i,0.00048376-0.00064207i,-0.00022129-0.00062931i,-3.1788e-05+0.00021903i,3.1746e-06+0.0008004i,-0.0005292+0.00011959i,-0.0010115+0.00037039i,-0.00037139+0.00044637i,0.00052376-2.02e-05i,-6.4511e-05-0.00031737i,-0.00065901-0.00037711i,-2.4998e-05+0.00039183i
-0.00017242-0.0004333i,-0.00068882-0.00062923i,-0.00095315-0.0013868i,-0.00044307-0.0013856i,0.00036465+8.18e-05i,0.0009549+0.0001315i,0.00071269-0.00061032i,5.514e-05+0.00028185i,-0.00088789+0.0011296i,-0.0019497+0.00064946i,-0.0019853+0.00069807i,-0.0010484+0.00091541i,-0.00067606+0.0003305i,-0.00059396-0.00014581i,0.00018485+4.0503e-05i,0.00091304+0.0008305i,0.00074127+0.00043801i,0.00044619-0.00054149i,0.00068386-0.00064916i,-8.8179e-05+3.8469e-05i,-0.00055147+0.00052206i,0.00041311+0.00017402i,0.00094744-0.00071699i
-0.0003365-0.0016784i,-0.00076292-0.00091724i,-0.0019435+0.00046657i,-0.001586+0.0009475i,-0.00074177+0.0011871i,-0.00055818+0.0010606i,-0.00056275+0.001121i,-0.00060975+0.0019496i,-0.00044394+0.0027617i,-0.00041748+0.0029153i,-0.00063013+0.0022036i,-0.0012328+0.0013309i,-0.0014086+0.0010824i,-0.0011487+0.00098277i,2.8535e-05+0.00066548i,0.00083337-5.3336e-05i,0.00045485-0.00038898i,0.00031617+1.819e-05i,0.00084843+0.00015009i,0.00050656+0.00024682i,0.00012454+0.00018548i,-3.7238e-05+0.0001146i,2.2468e-05+0.00054264i
-0.00063611-0.00018365i,-5.2043e-05+0.00048282i,-0.0004658+0.00086421i,-0.00094237+0.0010142i,0.0003458+0.00015594i,0.0012892+0.00046827i,0.0014039+0.00084238i,0.0018804+0.00050981i,0.0022578+0.00078692i,0.0022287+0.0012802i,0.0022967+0.0013459i,0.0017895+0.001627i,0.00078509+0.0012667i,0.00051163+0.00033581i,0.00080217-0.00081994i,0.0010487-0.0015111i,0.00061576-0.0013393i,0.00050462-0.00090273i,0.00069609-0.00073537i,0.00041272-0.00044833i,0.00044925-0.00012222i,0.000545+0.0003135i,3.4292e-05+3.7219e-05i
0.0020619+0.0016095i,0.0018751+0.0013982i,0.0019384+0.0012796i,0.0025155+0.0015364i,0.0019398+0.0014684i,0.0013558+0.00031391i,0.0011551-0.0001849i,0.00071302+0.00043714i,0.00080726+0.00017078i,0.0013739-0.00078215i,0.0021732-0.0014511i,0.0018401-0.0011661i,0.0010242-0.0002432i,0.00062397+0.00018746i,-0.00016938-0.00082777i,-0.00012324-0.001316i,0.00029251-0.00051676i,0.00024131-5.687e-06i,0.00088285+8.9536e-05i,0.001345+0.00053458i,0.00073979-0.00011599i,0.00051153-0.001208i,0.00043704-0.00061608i
0.00047904+0.00027233i,0.0004437+0.00027068i,0.0012738-0.00022461i,0.0011922-0.00033959i,0.0013551+0.00024733i,0.0014296+6.8659e-05i,0.00050434-0.00042856i,0.00039467-0.0003277i,0.0011054-0.00027051i,0.00049602-0.0011712i,-0.00012946-0.00162i,-0.00018976-0.001182i,-0.00019982-0.00087837i,-0.00039935-0.00074959i,-0.00059597-0.00039587i,-0.00054524-0.00038406i,-1.0884e-07-0.00031934i,0.00039841-0.00036327i,0.0005638-0.00052385i,0.00047519-0.00056662i,-2.2812e-05+4.1352e-05i,-0.00039978-6.6379e-05i,-0.00087695-0.00019039i
-0.0010115+0.00074603i,-0.00084401-0.0011045i,-0.00063574-0.00055525i,-0.00024443+0.0010781i,0.00047067+0.0013567i,0.0014363+0.00092886i,0.00096781+0.00095235i,-0.00053763+0.00029616i,-0.00097407-0.0010803i,-0.00072518-0.0011351i,-0.0012702-0.00024416i,-0.00013832+0.00053109i,0.0012044+0.00092626i,0.00046524+0.00037596i,-0.0004775+0.00056846i,-0.00060571+0.00072991i,-0.00024165+1.0329e-05i,0.00010544-0.00038559i,0.00016344-3.8446e-05i,6.1912e-05+0.00030797i,-0.00021927-0.00015699i,-0.00010473+3.0017e-05i,0.00024518+0.00064425i
-0.0013405+0.0020641i,-0.0020373+0.0017298i,-0.0022583+0.0028004i,-0.00067144+0.0035954i,0.0012653+0.0019522i,0.0013953-8.4916e-05i,0.00065277+0.00012648i,0.00036243+0.00070268i,-0.00082237+0.0003463i,-0.0016679+1.2791e-05i,-0.00085554+1.6134e-05i,0.00017221+1.2622e-05i,0.00018697-0.00061152i,-0.00032898-0.00013631i,0.00018968+0.00057994i,0.00062346+0.00026347i,-0.00044448-0.00012953i,-0.00090355-0.00065794i,-0.00039529-0.0010875i,0.00056999-0.00062754i,0.00083505-0.00053574i,-0.00010849-0.00072707i,-0.00054823+0.00027682i
-0.0022695+0.0012418i,-0.0017165+0.0015815i,-0.00049803+0.002166i,0.0005578+0.0023769i,0.0015264+0.0013091i,0.0011619+0.00039867i,-0.00015819+0.00015929i,-0.0006358-2.5751e-05i,-0.00023787+0.00046926i,0.00030661+0.0017571i,0.00010689+0.0019811i,-2.6756e-05+0.0011786i,0.0004673+0.00050388i,0.00053222+0.00021648i,0.00070793+0.00020013i,0.00098486-5.8628e-05i,0.00025248-0.00044617i,-6.5727e-05-0.00040793i,-0.00011654-0.0001877i,-9.2565e-05+0.00015229i,4.6861e-06+0.00083263i,0.00030417+0.00048765i,0.0006434-0.00082854i
