-0.0015099+8.274e-05i,-0.0018841+0.0014803i,-0.0022211+0.0030932i,-0.0017461+0.002808i,-0.0013107+0.0014123i,-0.001011+0.0014343i,-0.00068229+0.0019353i,-0.00045218+0.0011806i,-0.00014772+0.0007517i,0.00022232+0.00048921i,0.00046666-0.00037919i,0.0005182-0.00084546i,0.00028402-0.00074212i,-0.00021675-6.674e-05i,-0.00076786+0.00059441i,-0.0015337+0.00015595i,-0.0017255-0.00034892i,-0.0014026-0.0010093i,-0.00062271-0.0011525i,-0.00043187-0.00032992i,-0.00020381-0.00033956i,0.00079718-0.0006445i,0.00089066+3.2113e-05i
0.0010361-0.000601i,0.00090893-0.00026841i,0.00036374-0.0013877i,0.00026576-0.0016779i,-0.00016758-0.0013283i,-0.00045209-0.0014804i,0.0004021-0.0012601i,0.001081-0.0010724i,0.0010828-0.0010705i,0.00050016-0.00018591i,0.00016566+8.6868e-05i,-0.00041129-0.00022519i,-0.0017412-0.00068011i,-0.0014078-0.00071257i,-0.00051054-0.00011468i,6.3736e-05+0.00021258i,-9.5244e-05+6.9012e-05i,-0.00074464-0.00049362i,-0.00052188-0.0005758i,-9.4221e-05-9.7172e-05i,0.00071805+0.00029703i,0.00049993-5.856e-05i,-0.00025256+9.7879e-05i
0.00055745-1.6357e-06i,-0.00032716+0.0010673i,-0.0019025+0.0013316i,-0.0022638+0.00011919i,-0.0019791-0.0011153i,-0.001245-0.00087734i,-0.00063014+8.0445e-05i,-0.00075457-6.035e-05i,-0.00069864-0.00070617i,-0.00022259-0.00064441i,-3.5068e-05-0.00038271i,-5.4013e-05-0.00017795i,1.7654e-05-0.000287i,0.00053311-0.0004016i,0.0007847+2.1092e-06i,0.00041701-0.00022102i,-0.00025371-0.00055877i,-0.00028602-0.00060485i,8.1805e-05+0.00027591i,0.00012324+0.00084122i,0.00086715+0.00048019i,0.00065655+8.8623e-05i,-0.00014881-0.00056407i
-0.00043018+0.00065579i,0.00039942+0.001271i,2.5606e-05+0.0020744i,0.00020003+0.0023983i,0.00068581+0.0023367i,-0.00051792+0.0011338i,-0.0006056+0.00016948i,1.3261e-05-0.00011763i,0.00032136+0.00031525i,-8.7069e-05+4.725e-05i,0.00042329-0.0013779i,0.00090401-0.0019864i,2.5307e-05-0.0014597i,-0.00030274-0.00079743i,-0.00031761-0.00061092i,0.00056269-0.00040954i,0.0017235+0.00019507i,0.0010346+0.00050045i,7.2109e-05+0.00018099i,0.00011974-0.0002772i,0.00082279+0.00014639i,0.00082426+0.00018951i,-6.4376e-06-0.00040344i
0.001794+0.00013535i,0.0011203-0.00151i,0.00048098-0.0018393i,0.00069057-0.0026102i,0.00047899-0.0024013i,-0.0004301-0.00051824i,-0.0005027+2.9901e-05i,0.00028545-0.00054709i,0.00080109-0.0012288i,0.00021173-0.001166i,5.7022e-05-0.00061867i,0.00013313-0.00048272i,-0.00027677-0.00084888i,-0.00077947-0.00085678i,-0.00096048-0.0002918i,-0.00014242+0.00015806i,0.00043043+0.00045744i,0.00024411+0.0010547i,0.00020492+0.0011796i,0.00029514+0.00045241i,0.00071019-0.00056556i,0.0012355-0.0012526i,0.0010012-0.00061056i
-0.0017402-0.00010378i,-0.0016936+0.00085928i,-0.0022589+0.0013326i,-0.0021846+0.0028684i,-0.0010538+0.0031549i,0.00016389+0.0011623i,0.0011409-0.0007667i,0.00078603-0.00131i,-0.00099201-0.0016483i,-0.001782-0.0014879i,-0.00074952-0.0011525i,0.00047955-0.0011314i,0.0014491-0.0014356i,0.0007653-0.0013181i,-0.00032996-0.00094792i,0.00033079-0.00077564i,0.00047034-0.0014227i,0.00014449-0.0017206i,0.00028852-0.0012224i,7.9788e-05-0.00065615i,0.00036982-0.00015317i,0.00067321-0.00040773i,0.00038149-0.0011111i
-0.0010163+0.00038511i,-0.00062251+4.2943e-05i,7.0531e-05-1.0331e-05i,0.0011111-0.00061653i,0.0018597-0.00040209i,0.0011136+0.00031021i,-0.0001787-3.0951e-05i,-0.00099931-0.00043959i,-0.001156-0.00053246i,-0.00059395-0.00053296i,0.00022868-0.0005015i,-0.00027012+4.5418e-05i,-0.00076848+0.00036714i,-0.00037289+0.00023934i,0.0003132-0.00031295i,0.00096852-0.00053344i,0.00093927-0.00074973i,0.0006362-0.0006701i,0.00013684-0.00015384i,-0.00035019+6.9474e-05i,-0.00059496-0.00047697i,0.0002673-0.0011135i,-7.4197e-05-0.00081632i
-0.00042965-0.0002385i,-0.00030476-0.0016902i,-0.0015844-0.0023243i,-0.0021337-0.0014095i,-0.001613-0.0010055i,-0.001663-0.0014069i,-0.0010822-0.0011893i,8.1312e-05-0.00078163i,0.00070067-0.00053951i,0.00045114-0.00071514i,2.6547e-05-0.00058227i,-0.00018472-0.00058623i,-0.00031204-0.00020949i,-0.00015457+4.6271e-05i,-0.0002997-0.00060682i,-0.00011234-0.00024791i,-4.7513e-05-4.8259e-05i,4.7184e-05-0.00021274i,0.00053963-0.00035593i,0.00051626+8.7365e-06i,-0.00022948+0.0010896i,-0.00059636+0.00075023i,-0.00036479-2.308e-05i
-0.0014591+0.0014554i,0.001364+0.0019163i,0.0024404+0.0026493i,0.00046067+0.003263i,-0.00034931+0.0020991i,0.00085283+0.0004205i,0.00047716-6.9412e-05i,8.3278e-05-0.00022773i,-0.00060888-0.00060704i,-0.0012021-0.0007114i,-0.00053156-0.00020937i,-0.000107-7.293e-05i,-4.7516e-05-0.00058483i,0.00014896-0.00087909i,0.00011926-0.00099997i,-5.246e-06-0.0011678i,0.00058363-0.00089968i,0.00040699-0.00017454i,-7.7893e-06+0.00014383i,3.3708e-05+8.1796e-05i,-0.00017029-0.00033205i,-0.0004217-0.00044095i,-0.00036782-0.00046941i
0.00042268-0.0014082i,0.00012941-0.00084307i,-0.00029106-0.0006427i,-0.0002798-0.00095775i,-0.0004043-0.00031287i,0.00014656+0.00041285i,0.00040996+0.00011043i,-0.00015023-0.0012652i,-9.9286e-05-0.0012389i,-0.00014708-0.00016364i,-0.00043262-0.00073329i,-0.0002813-0.0012181i,0.00031905-0.00054548i,8.8642e-06-0.00063775i,-0.00032114-0.00098295i,-5.5219e-05-0.00069832i,0.00059938-0.0013351i,0.0011146-0.0014407i,0.00039214-0.00047133i,-0.00020281+5.0475e-05i,5.7792e-06+0.00058207i,0.00029502+0.00088754i,0.00018233+0.00057028i
-0.00010242+0.0017842i,-0.00016539+0.0016142i,-0.00020676+0.0010491i,0.00023719+0.00013041i,0.00098917-0.00069954i,0.00092359-0.00083508i,-3.7702e-06-0.00077363i,-0.00034424-0.00027237i,-0.00035978+0.00047262i,9.5697e-05-1.3194e-05i,0.00054817-0.00053287i,-9.5237e-05-0.00078063i,-0.00028278-0.00098251i,2.4746e-05-0.00061751i,-1.5122e-05-0.00014784i,0.00015579-0.00030069i,0.00014591-0.00014025i,0.00038122+0.00040802i,0.00043264+0.00041952i,0.00045683-0.00035837i,0.00080932-0.001068i,0.00031611-0.0010085i,1.4516e-05-0.00080622i
