-0.00044476+0.0014194i,0.001126+0.00069357i,-8.5246e-05+1.9444e-05i,-0.00061325-0.00027917i,-0.0016733-0.00020762i,-0.0032577+0.00033942i,-0.0035584+0.0011148i,-0.0023406+0.00069717i,-5.9784e-05+1.9108e-05i,0.001572-0.00021152i,0.0015035-0.00050256i,0.0010328-0.00011494i,0.00064195+0.00045855i,-0.00021216+0.00057713i,-0.00040719+0.00082018i,0.00020853+0.00052013i,0.00012067+0.00012364i,-0.00014557+0.00079985i,-4.4945e-05+0.0014814i,-0.00042291+0.00058772i,-0.0011858-0.00020648i,-0.00075912-1.3936e-05i,6.2246e-05+0.00068409i
-0.00059833-0.00064032i,-0.00073382+0.0012475i,-0.00028646+0.0021728i,0.00013494+0.0011526i,-0.00043013-3.2245e-05i,-0.00092642-0.0006305i,-0.0010778-0.00075493i,-0.0010042-0.00013977i,-0.000858-5.699e-05i,-0.00085412-0.00012056i,-0.00022193+1.1606e-05i,0.00058799-0.00039234i,0.00032422-0.00065238i,0.00024384-0.0005047i,0.00065188+0.00016275i,0.00052598-0.00035545i,0.00012976-0.001112i,-7.2922e-05-0.00020803i,0.00025094+0.0004792i,0.00046433+0.00021067i,0.00019577+0.00010506i,0.00045279-5.9247e-05i,9.1265e-05-0.00024051i
0.0018608+0.00071301i,0.00078292+0.00096818i,0.00093397+0.00031791i,0.00061867-0.000275i,2.4725e-05-0.0010109i,-0.00033179-0.0015947i,-0.00037393-0.0010768i,-0.0001131-0.00044262i,0.0002092-0.00085937i,5.8149e-05-0.0013073i,-0.0003679-0.0012484i,-0.0003624-0.00060513i,-0.00044868+0.00015643i,-0.00027942+0.00059317i,0.00038145+1.2413e-05i,0.00019631-0.0011329i,4.0559e-05-0.0011721i,0.0001355-0.00049873i,-0.00055218-0.0003929i,-0.00095048-0.00032281i,-0.00037444-0.00021657i,-0.0001504-0.00023877i,-0.00021951+0.00027679i
0.00055564+1.8374e-05i,0.00078508+0.00048486i,0.00075673+0.00011259i,0.00091483-0.00026322i,0.0010657-6.8778e-05i,-0.00020559-0.00049919i,-0.0015439-0.00019424i,-0.001335+0.00033582i,-0.00084088+5.2634e-05i,-0.00067331+0.00043147i,-0.00041157+0.00051066i,-0.00035349+0.00034373i,-0.00052375+0.00025817i,-0.00030141-7.7162e-05i,0.00026923-0.00010459i,0.0001521-0.00014315i,0.00015213-0.00046837i,0.00043153-0.00085165i,0.00044364-0.0010767i,5.6296e-05-0.00079083i,-7.0012e-05-0.00090671i,0.000391-0.0014003i,0.0007831-0.00092951i
0.00049513+0.0012027i,0.00068596+0.0010632i,0.0011663+0.00033915i,0.0011367-0.00044001i,0.00019955-0.0011499i,-0.00027118-0.0013234i,-0.00087076-0.00075196i,-0.00080345-0.0003133i,-6.5608e-05-0.00046446i,0.00021686-0.00029084i,0.00013896-0.0006426i,0.00040211-0.00057734i,0.00053028-0.00018945i,-7.4235e-05-0.00015754i,-0.00045112-6.1693e-05i,-0.00046844+9.6906e-05i,-0.00099279-0.0005378i,-0.00064959-0.00011737i,-0.00037243+0.00072884i,-0.0003343-0.00044858i,-1.6047e-05-0.00063323i,-1.8727e-05+0.00060542i,0.00040935+0.00081129i
0.0015365-0.00060465i,0.00059435+8.7914e-05i,2.947e-05+0.00020218i,-0.00010544+0.00038982i,-0.0008316+0.0002464i,-0.00048568-0.00042032i,-0.00024538+0.00018689i,-0.00034453+0.00088723i,-0.00051432+0.00090684i,-0.00084614+1.0824e-05i,-0.00081858-0.00073269i,-0.00023167-5.27e-05i,0.00056818+0.00068386i,0.0010877+0.00028958i,0.00080542+8.6221e-05i,2.4055e-05+0.00050101i,-0.00080769+0.00036638i,-0.00047552-0.00010181i,5.6974e-05-0.00038828i,9.8082e-05-0.00056323i,0.00023175-0.00061425i,0.00077823-0.00045426i,0.00084207-0.00034316i
-0.0002327-0.00012959i,-0.00021666-0.00043211i,0.001218-0.00090187i,0.0017678-0.00083721i,0.000401-0.00081834i,-0.0010814-0.00059464i,-0.00176-0.00025037i,-0.00083367-0.0003888i,-0.00018163+0.0001452i,-6.7913e-05-9.7104e-05i,-0.00024703-0.001128i,2.7098e-05-0.001168i,0.00064772-0.0010109i,0.00033647-0.00093915i,0.00039858-0.00067986i,0.00050571-0.00027497i,0.00018076-0.0004953i,-0.00068167-0.00049586i,-0.00081543+9.6216e-05i,-0.00033932-0.00052962i,4.176e-05-0.0015886i,0.00010059-0.001488i,3.5863e-05-7.6934e-05i
0.0017803-0.00024832i,0.0011989-5.0347e-05i,0.002117-0.00026799i,0.0021375-0.00065096i,0.00069998-0.00082629i,-0.00091577-0.0011301i,-0.0010666-0.00046988i,0.00022334+0.00039638i,0.00055553-6.3961e-05i,-3.0349e-05-0.00088188i,-0.00062175-0.00036321i,-0.0011023+0.00091936i,-0.00087665+0.0011475i,0.00012338+0.00051331i,0.00038698-0.00018351i,0.00028805-2.165e-05i,0.0008364+5.1219e-05i,0.0012327+0.00034168i,0.0012846+0.00047996i,0.00044493+0.00026588i,9.284e-05-0.00044215i,0.00013335-0.0010122i,-0.00030172-0.00078266i
0.00057389+0.0015387i,-0.00033073+0.0010226i,0.00029726+0.0014363i,0.0012147+0.0013539i,0.00074737-0.00032134i,-0.00035395-0.0014184i,-0.0012135-0.0006076i,-0.001189-0.00030044i,-0.0003327-0.00037286i,-0.00038398-0.00033444i,-0.00039646-0.0009174i,0.00064498-0.00029524i,0.00084372+0.00010022i,0.0001673-0.0002649i,-0.00064104-0.00083526i,-0.00073333-0.0008343i,-0.00076669+0.00031919i,-0.00094056+0.00068758i,0.00017826+0.00017837i,0.00090798-1.3243e-06i,0.00030571-0.00024991i,-0.00050879-0.0007963i,-0.00016443-0.00064326i
0.00041736+0.0010628i,0.00092303+0.00074752i,0.0017102+0.0012077i,0.00086981+0.0009089i,-0.00015053-0.00046902i,-0.00027238-0.0010453i,9.4642e-05-0.00036064i,0.0008285+0.00067475i,0.00074535+0.00026759i,0.00025939-0.00094032i,0.00011891-0.00028279i,0.00016781+0.00055865i,0.00045129+0.00055056i,0.00059823+4.6708e-05i,0.00054503-7.8844e-05i,6.5993e-05-9.9698e-05i,-8.8313e-05+0.00019807i,0.0010014+0.00071948i,0.00091824+0.0004323i,-0.00027225-0.00023763i,-0.00040883-0.00037826i,-0.00070137-3.6219e-05i,-0.00071188-0.00030895i
-0.00030682-0.001261i,0.00065978-0.000926i,0.00074626-0.00043645i,1.4752e-05+5.1965e-05i,-0.00025148-5.7547e-05i,-0.0001349-0.00020508i,-0.00013903-0.00034357i,-0.00075681-0.00031661i,-0.00182-0.00019919i,-0.0017679-0.00027843i,-0.00027242+0.00040905i,0.00047401+0.00073297i,0.00045531+0.00029523i,0.00042147-0.0002329i,0.0001941-0.00028211i,0.00018865-0.00044974i,0.0001108-0.00070293i,0.00012354-0.00053988i,0.00075612-0.00014801i,0.0012018-0.00052664i,0.00038787-0.00068664i,0.00016993-0.00082038i,0.00032746-0.00057464i
-0.00080947-0.00015696i,-0.0010445+0.00019798i,-1.0817e-06-0.00040606i,0.00023078-0.00027914i,-0.00055961-0.00032805i,-0.0011002-0.0014425i,-0.00060608-0.0016576i,-0.00041837-0.00063728i,-0.00072079+8.8358e-05i,-0.00038768+0.00022332i,0.00023708+0.00035188i,0.00067955+0.00070266i,0.00040926+0.00042395i,0.00019987+0.00064932i,0.00030651+0.00036011i,0.00053134+0.00037323i,0.00062927+0.00069571i,0.000197-0.00024428i,-0.00047981-0.00070603i,-0.00092196-5.3782e-06i,-0.00062952+0.00035993i,0.00026738-0.00048097i,0.00050435-9.5824e-05i
0.00013603+0.00012457i,0.00030889+0.00064737i,0.0017373+0.0021057i,0.0022929+0.0019467i,0.00096575+0.00046213i,-0.001005-0.00040512i,-0.001654-0.00090512i,-0.0011018-0.00053206i,-0.0013097-0.00038317i,-0.00090119-0.00023972i,-0.00013731+5.3683e-05i,-9.6823e-05-0.00049099i,-0.00032787-0.00081089i,-0.00035114-0.00060016i,9.2897e-05-8.5462e-05i,-2.0328e-05-0.00042502i,0.00010037-0.00046093i,8.826e-05+0.00019903i,7.1344e-05+8.3767e-05i,0.00049946-0.00024893i,0.0004266-1.6593e-05i,0.00036616-0.00037881i,0.00019528-0.00056812i
-0.001183+0.00106i,-0.00035894+0.00084455i,-0.00098622+0.001851i,-0.00094464+0.0021673i,-0.00039152+0.0010869i,-0.0012261+4.9288e-05i,-0.0015804+0.00041093i,-4.5894e-05+0.00058013i,0.00058908-1.989e-05i,0.00016133-0.00015935i,0.00061672-0.00015668i,0.0012929-0.00060271i,0.00146-4.5319e-05i,0.0012482+0.00059942i,0.0010574+0.00035445i,0.00088503-0.00056192i,0.0010109-0.0011739i,0.00094019-0.00092362i,0.00089123-0.00062277i,0.00027852-0.00037562i,-0.00016574-0.00028879i,0.00021199-0.00071326i,0.00046772-0.00050147i
-0.00058027+0.0003394i,-0.00037743+0.00014407i,-0.00030291+0.000814i,-2.6674e-05+0.001409i,0.0004157-1.9894e-05i,0.00023521-0.0015121i,-0.00095436-0.0010859i,-0.0014851+3.413e-05i,-0.0014302+0.00066883i,-0.00099573+9.7763e-05i,-5.9563e-05-0.00042201i,0.00026714-0.00092369i,0.00094374-0.0015175i,0.00068133-0.00026752i,0.00025913+0.00031921i,0.00056062-0.000255i,0.0002717-0.00046021i,3.7504e-05-9.593e-05i,0.00021153+0.00016675i,0.00029108+0.0001588i,0.0002525-0.0001298i,0.00046635-0.00060112i,0.00070541-0.000925i
-0.0031145-0.00067146i,-0.0025056-3.1857e-05i,-0.001735-0.00025055i,-0.00075527+0.00038702i,-0.00080339+0.0010254i,-0.0013353+0.0005927i,-0.0016061+0.00032335i,-0.0015814+0.00038152i,-0.0016316-0.0003071i,-0.0017379-0.00022776i,-0.00074353+0.00046859i,0.00058928+0.00075225i,0.0010638+0.00083476i,0.00099629+0.00058786i,0.00065657+9.9779e-06i,0.00045031-0.00066336i,4.3594e-05-0.0011454i,0.00016521-0.0010087i,0.0009161-0.00055993i,0.00064638+0.00042503i,-0.00034501+0.00090521i,-0.00060839+0.00015369i,-5.5084e-05-0.00018704i
-0.0020661+0.00057449i,-0.0020932+8.1992e-05i,-0.0017723+0.0012386i,-0.0004982+0.0019074i,0.0002578+0.0013046i,-0.00060847-0.00011625i,-0.00099405-0.00069315i,-0.00045755-0.00022154i,-0.00070316-9.4574e-05i,-0.00049971+0.00028556i,0.00017814+0.0003805i,-0.00013229+0.00050277i,-0.00032572+0.00049863i,6.0104e-05-0.00010683i,-4.6719e-05+3.0905e-05i,6.246e-05+0.00074347i,0.00049811+0.0008848i,0.00057899+0.00050495i,0.00040873+0.00042393i,0.00027785+0.00060669i,0.00046443+0.00018495i,0.0010332-0.0001884i,0.0011587-0.00048997i
0.00074034-0.0012136i,0.00075916-0.001385i,0.0010694-0.00064597i,0.000543-0.0012095i,-0.00035906-0.0020803i,-0.001146-0.00197i,-0.00093597-0.0010437i,-0.00085737-0.00060184i,-0.0010866-0.0013846i,-0.0010722-0.0017952i,-0.00079884-0.00063095i,-0.00016732+0.0009264i,0.00048039+0.00052989i,0.00057249-0.00056694i,0.00056639-0.00020536i,0.00043481+0.00025384i,0.00011265+4.3609e-05i,0.00035522+0.00011405i,0.00075437+2.1265e-05i,0.00026401-0.00028031i,-0.00021731-0.000214i,-0.00090815-0.00012324i,-0.00096537+7.4667e-05i
0.00093353-0.00063601i,0.00097452-0.00098907i,0.00079738-0.0011915i,0.00077927-0.00038193i,3.8871e-05+0.00037343i,-0.0010174+0.0002877i,-0.0012618-0.00015741i,-0.00097368-0.00041604i,-0.00052638-0.00089428i,-0.00029911-0.00091571i,-0.00063899+0.00035321i,-0.00080103+0.00088666i,-0.00017765-0.00029488i,-0.0001912-0.00072584i,0.00025036-3.2697e-05i,0.0011394-0.0003957i,0.00077645-0.00079433i,0.00035757+7.1805e-05i,0.00010892-0.00044213i,-0.00033187-0.001554i,-0.0013699-0.0010808i,-0.001166-0.00037171i,7.1177e-05+7.3952e-05i
0.0012601+0.00060172i,0.0018038+0.0017984i,0.0015213+0.00099995i,0.00057891-8.7488e-05i,-0.00049589-0.00030592i,-0.001253-0.00038989i,-0.0011537-0.00086282i,-0.00071427-0.00089278i,-0.00044707-0.00049927i,-0.00069323-7.9844e-05i,-0.0003459-0.00035614i,0.00076373-0.00044755i,0.0011368+3.7789e-06i,0.00058916+0.00070008i,4.417e-05+0.00034692i,-2.5594e-05-0.00097352i,0.00027411-0.0012265i,0.00079581-0.0007815i,-0.00012078-0.00029317i,-0.00054096-7.4567e-05i,0.00088657-0.00016136i,0.0013586+0.00041454i,0.00034966+0.0014838i
-0.00059514+0.0012914i,-0.00078586+0.0021215i,-0.00025433+0.0029302i,0.00058961+0.002172i,0.0010493-0.0001654i,0.00036295-0.0014724i,-0.00033342-0.00058898i,-8.6534e-05-0.0002465i,0.00010345-0.00037751i,0.00023397+0.00019212i,0.00074661+6.2127e-05i,0.0013646-0.00086708i,0.00099997-0.002157i,0.00077102-0.0020437i,0.0010787-0.00092067i,0.00017484+0.00040265i,-0.00017357+0.00034362i,0.00037557-0.00054246i,0.00010776-0.00089473i,-3.7083e-05-0.00083786i,0.00018604-0.00039537i,-4.532e-05+0.00015778i,0.00035584+2.9028e-05i
-0.0010464+0.0024124i,-0.0001044+0.0012114i,0.0001985+0.0012853i,0.00087827+0.00088822i,0.0011291-0.00053676i,-6.832e-05-0.00099353i,-0.0010207-0.0001936i,-0.00094389+0.00025031i,-0.0011251-0.00024083i,-0.0011696-0.00045117i,-0.0009245-0.00040885i,-0.00018977-0.00037185i,0.00046268-0.00047908i,0.0005543-0.00078096i,0.00064326-0.00078926i,0.00023693-0.00084992i,-0.00057105-0.00085316i,-0.00093277-0.0010038i,-0.00025321-0.00066632i,0.00062686+0.00029712i,0.00026023+0.00053978i,0.00016705+0.00083872i,0.00047129+0.0010055i
0.00067888+0.00062071i,0.00089061+0.00051078i,0.0012139-0.00027449i,0.0014727-0.00052468i,0.00065603-0.00038893i,-3.0473e-05-0.0003208i,3.1279e-05-0.0001633i,-0.0006021-5.677e-05i,-0.001562-0.0002642i,-0.0013571-0.00059654i,-0.00018605-0.00014084i,0.00053552+0.00036814i,0.00077422-0.00017485i,0.00067226-0.00047253i,0.00090703-0.0002926i,0.001279-0.00041974i,0.00075726+7.3481e-05i,3.7668e-06+0.00031138i,-0.00021348+0.00012944i,-6.9243e-05+0.00012743i,0.00052827-0.00030548i,0.00088728-0.00011625i,0.00042845+0.00032796i
-8.3298e-05-8.6154e-05i,-0.00025531+0.0013518i,-0.0010607+0.001044i,-0.0014306+0.00020056i,-0.0007586+0.00024785i,-0.00043287-8.7382e-05i,7.7265e-05-0.00025791i,0.00083977+0.00011676i,2.806e-06+8.6566e-05i,-0.0010289-0.00040165i,-0.00071682-0.0001102i,-0.00025531+0.00080634i,-0.00030293+0.0009499i,-4.1206e-05+0.00054433i,-2.5973e-05+0.00011149i,-0.00076835+0.00028294i,-0.00050911-8.8023e-05i,-0.00024208-0.0004577i,-4.4198e-05-0.00068665i,8.7901e-06-0.00083773i,-0.00086631-0.00090494i,-0.00065925-0.0011512i,0.00046127-0.001029i
-0.00079519-0.00094952i,-0.0014567-0.0001786i,-0.0022599-0.00036453i,-0.0021799-0.00056749i,-0.0016382-0.00030454i,-0.0010958-0.00089813i,-0.00088846-0.00063205i,-0.0014226+1.7303e-05i,-0.0014894-0.0002672i,-0.00091329+2.2061e-05i,-0.0004111-8.6704e-05i,-0.00032993+0.00027825i,6.8656e-05+0.00091701i,0.00073583+0.00071762i,0.0010118+0.00035192i,0.00051286-8.2405e-05i,0.00042189-0.00037453i,0.0009602-0.00046135i,0.00096978-0.00021653i,-0.00030839+0.00023542i,-0.00056723+0.00035974i,6.383e-05+0.00033775i,-1.0142e-05+0.00023753i
-0.00063199+0.00020286i,-0.00034236+0.0013319i,-0.00080708+0.001342i,-0.00087352+0.00099015i,-0.00028225+0.00034723i,0.00013179-0.00034255i,-4.2208e-05-0.00035487i,-0.00037872-4.1616e-05i,-0.00047373-9.4752e-05i,-0.00039481-0.00015679i,-0.00038813+0.00031101i,3.9143e-05+0.00042575i,0.00042363+0.00034074i,0.00024492+0.00044885i,0.00014831+0.00053575i,0.00039977+0.00054102i,0.00024095+5.9677e-05i,0.00022034-0.00038108i,0.00017751-0.00036548i,0.00028885-0.00037434i,0.00061578+5.8708e-06i,0.00086167+0.00014469i,0.00084539-2.9599e-05i
0.00075105+0.00030508i,0.00077263+0.00042725i,-0.00025999+0.00029058i,-0.00021286-0.00093342i,0.00036021-0.00082352i,-3.4162e-05-0.00042761i,-0.00078114-0.00035941i,-0.00030683-4.518e-05i,-0.00068295-2.5026e-05i,-0.0011549+0.00037954i,0.00043031+4.0491e-05i,0.0019577-5.9867e-05i,0.0016229+7.0796e-05i,0.001114-0.00015439i,0.0011887-3.0932e-05i,0.0010265-0.00038451i,0.00039726-0.00052408i,-0.00027233-0.00020701i,-0.0011256+5.1475e-05i,-0.0010322-0.00050972i,-0.00032149-0.001406i,0.00065555-0.0011436i,0.001052-0.00068587i
-0.0001702+0.00082372i,-0.0011379+0.0016317i,-0.0005889+0.0020187i,-5.504e-05+0.00079649i,-0.00031684-0.00085361i,-0.00077986-0.0019747i,-0.00069712-0.0012605i,-0.00042795-0.00015898i,-0.00014395-0.00077027i,-0.00031253-0.0012339i,-0.00033412-0.00096808i,0.00026951-0.00068823i,0.00087138-0.00036166i,0.0010869-0.00087539i,0.0010546-0.0012873i,0.00053257-0.00084913i,-0.00034819-0.00065639i,-0.00056837-0.00095758i,-0.00020306-0.0009341i,0.00026604-0.00070738i,0.00017198-0.0002726i,-0.0001578-0.00063875i,0.00043721-0.00062121i
0.00095838+0.00059262i,0.00051852+0.00014594i,0.00092732+0.00037351i,0.0015594+0.00075169i,0.0012256+0.000341i,0.00015351-0.00020308i,-0.00081424+0.00014973i,-0.00066998+0.00035447i,0.00035316-0.00025405i,0.00098389-0.00079281i,0.00081478-0.00042158i,0.00040733+0.0002069i,0.00011134-0.00091635i,-0.00026007-0.0010063i,-0.00020506-0.00063956i,-2.9912e-05-0.00058029i,-0.00056837-0.00065622i,-0.00017732-0.00041229i,0.00026712-0.00012981i,-0.00013961+9.2222e-05i,-0.00012506+0.00051744i,0.00015011+0.00080106i,-0.00075441+0.00082938i
0.0012003+0.00043244i,0.001143+0.00037528i,0.0021666+0.00058118i,0.0026317+0.00076126i,0.00091782-9.8489e-05i,-0.0014094-0.0013217i,-0.0014038-0.0013216i,-0.00064225-0.00083571i,-0.00038706-0.00063979i,0.00027587-0.00071551i,0.00036326-0.00053081i,-0.00012534-0.00017833i,-6.6419e-05+0.0006541i,-0.00015445+0.0010132i,-0.00050672+0.00049924i,-0.00031114+0.00040532i,0.00015162+0.00044859i,6.9175e-05+0.00066396i,4.1403e-05+0.00050387i,0.0010812-0.00010825i,0.0011873+0.00024401i,0.00057735+0.00033539i,0.00042944-0.00018722i
-0.0002826-0.00025739i,-0.00093848-6.6527e-05i,-0.00045738+0.00087777i,0.00016135+0.0016873i,-0.00035686+0.00092983i,-0.00094798-0.00025791i,-0.0012609-0.00011506i,-0.00097475+0.00071694i,-0.00088755+0.00037396i,-0.0015305-0.00050721i,-0.00098609+0.00021008i,0.00077956+0.00071519i,0.0013306+0.00062027i,0.00017369+7.2792e-06i,-0.00019397-0.00051315i,0.00031422+0.00030016i,-0.00023796+0.00022442i,-0.00010954-0.00090087i,0.0010331-0.00095983i,0.0008746-1.4064e-05i,-0.00014762+0.0002883i,-0.00046159+0.00029633i,-0.00061943+0.0002501i
-0.0012766-0.0009801i,-0.0018678-0.00099944i,-0.0024697+0.00043129i,-0.0020452+0.0012328i,-0.00090767+0.00052211i,-0.00028339+5.799e-05i,-0.00034999-0.00026086i,-0.00041169-0.0001086i,-0.00014359+5.4775e-05i,-0.00034352-6.1269e-05i,-0.00019997+0.00031086i,0.00043282+0.00092388i,0.00051107+0.00087613i,0.00058804+0.00081829i,0.00063124+0.0011012i,0.00072117+0.00090571i,0.00029742+0.00088967i,7.492e-06-0.00015671i,0.00014917-0.0013958i,0.00024815-0.0006784i,0.00032503-0.00058414i,-0.00027843-0.00057587i,-0.0002181-0.00014436i
