-0.0016433+0.00097756i,-0.0021012+0.00095086i,-0.0011478+0.0028755i,0.00034526+0.0019673i,0.00016849+0.00080193i,-0.00035822+0.00029813i,-0.00055127+0.00045342i,-0.00035218+0.0018003i,-2.2394e-05+0.0013611i,0.00022506+0.00093368i,0.00042461+0.00035068i,6.6528e-05-0.00024221i,-0.00037132+0.00014629i,-0.00077249-0.0003779i,-0.0011854-0.00049662i,-0.00092004-0.00040165i,-0.00093957+5.1793e-05i,-0.00075188-5.1807e-05i,-0.00026313-0.00027151i,4.2738e-05-0.00023181i,0.00028966-0.00012841i,0.00031494+0.00024124i,0.00049589+0.0001562i
-0.0018317-5.3506e-05i,-0.0031282-0.00018154i,-0.0029116+0.00030612i,-0.00090892+0.00082468i,-0.00025675+0.00022992i,-3.659e-05-0.0011204i,0.00026554-0.001966i,0.00013688-0.0010422i,-0.00016268-2.3428e-05i,0.00012985+0.00055944i,0.00088622+0.00022291i,0.0010286-0.00044174i,0.00063956-0.00014888i,0.0004683+9.055e-05i,0.00084313+0.0002385i,0.0010336+0.00071641i,0.00045627+0.00072735i,-0.00014232+0.0007782i,-0.00025378+5.2707e-05i,0.00036761-0.00063927i,0.0004208-0.00072188i,-0.00019916-0.00051377i,-0.00042569-0.00012205i
0.00055465-0.0014379i,0.00012155-0.0019157i,-0.00096399-0.0013535i,-0.0018172-0.00080493i,-0.00073926+0.00028428i,0.00038092+0.00039553i,0.00095407-0.00043749i,0.0008482-0.00034042i,0.00053114+2.68e-05i,0.00020616+0.00043254i,2.3365e-05+0.00017073i,0.00034971-0.00075785i,0.0003165-0.0005102i,-0.00034099-9.7301e-05i,-0.00040456-0.00023803i,7.4963e-05-0.00010361i,0.00024575-0.00014287i,0.00026922-0.00024592i,0.00028432-0.00014593i,0.00021639+0.00073735i,7.573e-05+0.00084815i,1.2928e-05+8.7765e-05i,-0.00048056-0.00052713i
-0.00054098+0.00092006i,-0.00022673+0.0020067i,-0.00017049+0.0016038i,0.00067767+0.0005349i,0.00075176-0.00011227i,0.00030412-0.00067557i,0.0003267-0.00026912i,0.00025443+0.00085754i,0.00056797+0.0010935i,0.00084684+0.00028832i,0.0010344-0.00023982i,0.0010616-0.00023878i,0.00077898-0.00027499i,0.0011113+0.00041701i,0.00035757-0.0004029i,-0.00074742-0.00068649i,-0.00069002+0.00034732i,-0.00028483+0.00035743i,-0.00030465+1.0464e-05i,-0.00097391+6.2576e-05i,-0.0008494-7.4293e-05i,0.0005436-0.00012038i,0.0010054-0.00019232i
0.0014579+0.0002156i,0.0011577+0.001386i,0.00037899+0.00070159i,3.6293e-05-0.00011115i,-0.00054125-0.00072697i,-0.00029252-0.00026911i,0.00041449+0.0003791i,0.00034715+0.00033234i,-0.00010879+0.00018733i,-0.00051329-0.00029423i,-0.00010408-0.00080703i,0.00052585-0.00069882i,0.00030905-0.00075921i,0.00024802-0.00032372i,-0.00019005-0.00090878i,-0.00065972-0.0016015i,-0.00041336-0.00048484i,-0.00024455+0.00023089i,1.4526e-05+0.00016651i,0.00018662-7.5041e-05i,-5.5555e-05-7.7558e-05i,-0.00066789-0.00019747i,-0.00011569-0.00084468i
-0.00030565+0.0010407i,0.00043515+0.0002029i,0.00048962-6.4629e-05i,0.00033938-0.00024441i,0.0001114-0.0010501i,-0.00094365-0.0016399i,-0.001055-0.00051351i,-0.00052825+0.00034937i,-0.00013295-0.00040056i,-0.00068368-0.00072496i,-0.00071682+3.5804e-05i,-0.00019+5.9711e-05i,-6.8747e-05+0.00019237i,-0.00044405+0.0012958i,-0.00038595+0.0012049i,0.00017267-0.00029411i,0.00049392-0.00036072i,0.00059422+0.00024078i,0.00034496+0.00075899i,-0.000704+0.00050211i,-0.00021948+0.00050436i,0.00033927+0.00025006i,-7.2951e-05-0.00037974i
0.00080366-0.0011362i,0.00014509-0.0019495i,-4.5128e-05-0.0022627i,-0.0017215-0.0016833i,-0.0023517-0.0013454i,-0.00093391-0.00051808i,8.7768e-05-0.00028199i,0.00018264-0.00058435i,0.00014223-0.00064741i,0.0001211-0.00061439i,-0.00028474-0.00074205i,-0.00029775+0.00023087i,0.00038298+0.0014184i,0.00039909+0.001242i,-0.00014908+0.00042744i,-0.00012215+0.00017403i,-0.00021246-0.00054246i,-0.00025712-0.00090784i,0.00012713+1.6658e-05i,-3.2025e-05+0.00055811i,-0.0001606+0.00053702i,0.00016996+0.0001187i,-0.00013305+0.00024412i
-0.00069693+0.00071481i,0.00015603+0.0012233i,0.0011015+0.00084904i,0.0005158+0.00036596i,0.00057787-0.00057863i,0.00031142-0.00071213i,-0.00071321-3.8975e-05i,-0.00048784+0.00024222i,5.7615e-05+0.00011886i,0.00048392+0.00031681i,0.00029577-7.4876e-05i,-5.39e-05-0.00076335i,0.00053865-0.00051765i,0.00028538-0.00025646i,-0.0006732-0.00019907i,-0.0010542-0.00050477i,-0.00040956-0.00039621i,0.0003131+0.00026236i,0.0002823+0.00059344i,-6.3228e-05+0.00047213i,7.4331e-05+0.00022769i,0.00027416+0.00080971i,0.00085933+0.0013984i
-1.8176e-06-0.0016398i,-0.00030647-0.00048515i,-0.0009159-0.00013615i,-0.0003962+0.0006434i,-0.00026149+0.00059562i,-0.00056524+0.0011715i,-0.0005733+0.0015467i,-9.3088e-05+0.00075654i,0.00047137+0.00043002i,0.0005294+0.0004583i,0.00010795+0.00028346i,-0.00011664+0.0002992i,0.00041843+0.001004i,0.00051803+0.00094609i,0.0003639+0.00037782i,0.00011577+0.00037765i,0.00035653+0.00018627i,0.0003108-3.4739e-05i,0.00074684+0.0001104i,0.00097369+0.00037802i,5.0223e-05-9.1417e-05i,0.00019157-0.00024076i,0.00017079+5.5885e-05i
0.00029375-0.0012911i,-0.00038612-0.0020311i,0.00030416-0.0012849i,0.00032977-0.00041803i,-0.00029759-0.0010977i,-0.00091726-0.0012432i,-0.00031976-0.00033842i,0.00036288+0.00048631i,0.00026896+0.00095249i,-0.00012525-3.5355e-06i,-8.5999e-05-0.0011676i,0.00032749-0.0011885i,-0.00013155-0.00063738i,-0.00076096-0.000385i,-0.00033072-0.00077851i,0.0001533-0.00044646i,-0.00033311+0.0004998i,-0.0004568+0.00030523i,-0.00029739-0.00023102i,-0.00036022-0.00060725i,-0.00021104-0.00036819i,-0.00024982+0.00019115i,-0.00016381+0.00047373i
-0.0010703+0.00097514i,-0.00087342+0.0014171i,-0.0007144+0.0027941i,-0.00035318+0.0032089i,5.7188e-05+0.0021808i,0.00036869+0.00013485i,-1.1981e-05-0.00073027i,-0.00042304-0.00043951i,-0.00040334-0.00026412i,-0.0001133-4.5157e-05i,-0.00036163+0.00045199i,-0.00066144+0.00096187i,-0.00015681+0.00051741i,0.00023229-0.00019429i,0.00015045-0.00020953i,6.2123e-05-3.8105e-05i,-0.00048301+1.9787e-05i,-0.00088503-9.3975e-05i,9.0074e-05-0.00039822i,0.00095463-0.00043835i,0.00058979+0.00060706i,-0.00021547+0.00087207i,-0.00024556+0.0004085i
0.00018938+0.0015129i,0.0004795+0.0018767i,0.0012569+0.0013917i,0.0018789+0.00078325i,0.001835-0.0005093i,0.001227-0.0013365i,0.00042456-0.0013013i,0.00044963-0.00052201i,0.0008796+0.00066994i,0.00074803+0.00073921i,0.00010644+0.00012372i,-0.00037575+0.00024187i,-0.00025511+0.00010967i,-0.00062999+0.00016254i,-0.0010225-6.3773e-05i,-0.00098384+0.0002086i,-0.00062765+0.0011424i,-0.00013851+0.0008574i,-0.0001948+0.0008348i,1.8573e-05+0.00083829i,0.00011263-0.00010354i,-0.00057141-9.7033e-05i,-0.00059992+0.00054869i
-0.0030848+0.0016498i,-0.0034167+0.0018993i,-0.0022091+0.00094324i,-0.00046587+0.00052915i,0.0005801+0.00029441i,0.00052603-0.00041678i,7.7722e-05-0.00063178i,-0.00065521-0.00033995i,-0.00079567+4.317e-05i,-0.0002385+0.00095408i,0.00033341+0.00071603i,0.00056043-0.00026403i,-0.00021465-0.00056865i,-0.00016698-0.00061264i,9.7404e-05-0.00067471i,-0.00083562-0.00027668i,-0.001507+0.00056759i,-0.00044884+0.00057155i,0.00051625+0.00052084i,3.1987e-06-6.3967e-05i,-0.00051118-0.00059344i,-0.00023829+3.7089e-05i,0.00013609+0.00060142i
0.0020063-0.0011482i,0.002313-0.0013549i,0.0017302-0.0023022i,4.8854e-05-0.0018951i,-0.001551-0.00031166i,-0.0017414+0.00035937i,-0.00091397+0.0007598i,0.00030169+0.00032939i,0.00063196-0.00046115i,0.0004447+0.00022774i,0.0001536+0.00082085i,1.4959e-05+0.0005238i,0.00026905+0.00030471i,0.00089223+0.00028528i,0.00090653+3.1762e-05i,0.00063735-0.00052003i,0.00032697-0.00049022i,-0.00029648-0.0001402i,-0.00054729-0.00029328i,-0.00025882+3.0887e-05i,0.00028061+6.2544e-05i,-0.00060897-0.00015541i,-0.0013457-0.00067908i
-0.00045233+0.0014008i,-0.0013435+0.0029974i,-0.00035995+0.0034081i,0.00073364+0.0023434i,0.00098831+0.00080724i,0.0003493-0.00059803i,0.00026695-0.00053865i,0.0002864-9.2714e-05i,-0.00021875-0.00026348i,-0.00078992-0.000413i,-0.00074102-0.00036211i,-0.00049015-0.00098119i,-0.00046022-0.0014782i,0.00051056-0.00061692i,0.00066577-8.9938e-05i,-0.000464-0.00042019i,-0.001114-0.00049039i,-0.00073413-0.00041886i,-6.2043e-05-0.00023893i,0.00023449+0.00026237i,0.00064741+0.00011793i,0.00056782-0.00029054i,3.8443e-05-3.3393e-05i
0.0004685-0.00066287i,0.00033186-0.0011611i,-0.00010953-0.0014689i,-0.00077693-0.00071388i,-0.0012257+0.00035224i,-0.0014884+0.0009157i,-0.00087678+0.0010282i,0.0003925+0.00077158i,0.0006157+0.00038599i,0.00046791+0.00025092i,5.7812e-06+0.00041095i,-0.00067334+0.00058962i,-0.001192+0.00068428i,-0.00069846+0.0008949i,0.00012155+0.00096905i,3.0026e-06+0.0010556i,-0.00012381+0.0013605i,0.0014486+0.00095559i,0.0023622+0.00042506i,0.0008933+0.00025297i,-0.00037782-0.0004995i,-0.00010847-0.0010482i,0.00013062-0.0002677i
-0.0026372+0.00010591i,-0.001826+0.00058593i,-0.0013115+0.00071086i,-0.0010656+0.0010643i,-0.00031396+0.0011395i,-0.00016055-0.00026685i,-0.00060077-0.00095699i,-0.00069468-0.00029495i,-0.00067953+0.00073235i,-0.00063495+0.0011553i,-0.00037282+0.0007282i,0.00023365-0.00037505i,0.00082901-0.00087155i,2.9176e-05-0.00012313i,-0.00010085+0.00073811i,-8.4395e-05+0.00083266i,-0.0004115+0.00057113i,5.1175e-05-0.00012104i,0.00056631-0.00066928i,0.00036392-0.00068689i,-0.00040441-0.00072582i,-0.00077911-0.0009841i,-7.4594e-05-0.0015381i
0.0014603+9.292e-05i,0.0010005+0.00014689i,-0.00083202+0.00043157i,-0.0014963+7.7852e-05i,-0.00088967-0.0009095i,-0.00099141-0.00099545i,-0.0011242-0.00024292i,-0.00065062-0.00016068i,1.9867e-05+3.6433e-05i,0.00075285+0.00073384i,0.00060468+0.000834i,0.00012899+2.4647e-05i,3.6443e-05-0.00044108i,-0.00046667-0.00024904i,-0.00043213+0.0002248i,-0.00022496+0.0001376i,1.0224e-05-0.00087493i,0.00017764-0.00031537i,-0.00038788+0.00094268i,-0.0002037+0.00083159i,0.00054735+0.00050183i,0.00049734+0.00042097i,-0.00026584+0.00037121i
-2.9013e-05+0.00068363i,-0.00077409+0.00050479i,-0.00063223+3.1212e-05i,0.00022092+5.3405e-05i,0.00055193-0.00085861i,0.00094983-0.002235i,0.00059323-0.000999i,-6.2204e-05+0.00077816i,-0.00021305+0.00045104i,-0.0003694-0.00064015i,-0.00056486-0.00051085i,-0.00018922-0.00051534i,4.9762e-05-0.0010547i,-0.00033974-0.0010684i,-0.00017663-0.00070931i,0.000328-0.00062964i,9.0416e-05-0.00085331i,-0.00028149-0.00089614i,-0.00066561-0.00032706i,0.00031061-0.00016941i,0.00068253-0.00077203i,-6.4813e-05-0.00052963i,-0.00062312+6.8687e-07i
0.0012078-0.00072303i,0.00087288-0.0011177i,0.00094502-0.0014637i,0.0013648-0.0011462i,0.00067078-0.00067359i,-0.00034435-0.00077746i,5.5076e-05-0.0010022i,0.00033409-0.00074947i,-0.00012403-0.00018243i,-9.4658e-05+0.00019478i,-0.00044857+0.00071235i,-0.00083276+0.00021837i,-0.0004455+3.1293e-05i,-0.00049538+0.0010936i,-0.00041716+0.0010041i,0.00019712-8.1612e-05i,0.00042814-0.00065603i,-7.1766e-05-0.00084018i,-0.00019322-0.00017008i,8.881e-05+0.0008231i,0.00015107+0.0010167i,0.00010704+0.00087874i,7.8408e-05+0.00032881i
-0.0015738+0.00043986i,-0.0010194-0.00048272i,-0.0010879-0.00074492i,-0.0009427+0.00036806i,0.00012211+0.0015779i,0.00027068+0.0014118i,0.00027344+0.00061984i,0.00067262-0.00033371i,0.00094119-0.00044993i,0.00082092+0.00026862i,0.0011218+0.00063922i,0.00088953+0.00051045i,5.3047e-05-0.00034295i,-0.00031396-0.00051503i,-2.2242e-05+0.0004563i,-0.00011416+0.00084563i,-0.00023714+0.0004213i,-0.00076103+0.00044811i,-0.0008364+0.00018615i,0.00029371+6.2121e-05i,0.0006+0.00057784i,0.00051187+0.00041317i,0.00029597+9.0267e-05i
3.1765e-05+0.0024707i,3.0079e-05+0.0025671i,0.0010891+0.0024962i,0.000848+0.0010665i,1.9214e-05-0.00048207i,-0.00098703-0.0014757i,-0.0015664-0.0013764i,-0.00083399-0.0010732i,0.000634-0.00030602i,0.001317+0.0006306i,0.0010496+0.00032361i,-0.00014996-0.00044398i,-0.0005714-0.0009874i,0.00019149-0.00090943i,-0.00041909-0.00011235i,-0.00052127+0.00015358i,0.00042364-0.00051767i,0.0003097-0.00070996i,-0.00040428-0.00083548i,0.00055823-0.00026964i,0.00062929+0.00048071i,-0.00028709+0.0009746i,-0.00027657+0.0010643i
0.0014761-0.00026593i,0.0012173-0.00015944i,-0.00038202+0.00010712i,-0.0012881-0.00013711i,-0.00082831-0.00091378i,-0.000495-0.0013088i,-0.00069237-0.00058522i,-0.00025254-0.00040923i,-0.00036373-0.00023029i,-0.00058248-0.00017771i,-0.00021892-9.1859e-05i,0.00021241+0.00047674i,1.0246e-05+0.00099663i,-0.00030698+0.0010935i,-0.00018619+0.00055693i,0.00012803+0.00069508i,0.00026619+0.0011751i,0.00066571+0.0005431i,0.00046743+0.00040795i,-0.00014311+0.00038324i,-0.00029725-9.9775e-05i,-0.00062215+3.6939e-05i,-0.00073669+0.00033312i
0.00016618+0.0013681i,0.00024024+0.0018374i,0.0003562+0.0014035i,0.00090672+0.00071919i,0.0012462-1.0899e-05i,0.00068503-0.00057902i,0.00038198-0.00064251i,0.00028886-0.00058663i,7.672e-05-0.00045675i,0.00017357-0.00066476i,0.00038144-0.00032098i,-0.00012054+0.00038467i,-0.00040701+0.00071715i,0.00021128+0.00074369i,0.00070489+0.0007859i,0.00072097+0.00029468i,0.00056173-0.00026484i,0.00028505-0.00013294i,-5.9564e-05+0.00014551i,-0.00040613-0.00033281i,-0.00020655-0.00062668i,0.00044257-0.00014168i,0.00037379-0.00014883i
-0.00026984+0.00041523i,-0.00067447-0.00022252i,-0.0007504+0.00035495i,-0.0008913+0.0011087i,-0.00077699+0.00074419i,-0.00027207-0.00017795i,-0.000284-0.00047093i,-0.00053725-0.0001288i,-0.00034942+0.000241i,-0.0001255+0.0010647i,-0.00016189+0.0014665i,-0.00060102+0.00066076i,-0.00060708-0.00015386i,0.00013556-9.2619e-05i,0.0006138-8.589e-05i,-0.0003713-4.293e-05i,-0.0011112-0.00032505i,-0.00078528-0.00016251i,-0.00014582+0.00068241i,0.00034121+0.00081104i,0.000562+0.00026456i,0.00063507-0.00064707i,-0.00027171-0.0014848i
-0.0004175+0.0019212i,7.0855e-05+0.0016758i,0.0010402+0.0013362i,0.0021703+0.00026445i,0.0026553-0.00092692i,0.001165-0.0015725i,9.4397e-05-0.0018073i,0.00034025-0.0017917i,0.00038701-0.00079318i,-0.0002137+0.0001524i,-0.00078222+0.00026963i,-0.0012803+0.0002583i,-0.00074943-0.00037421i,-0.00021264-0.00023861i,-0.00064457+0.00044973i,-0.0014119+7.9163e-05i,-0.0015204+0.00023873i,-0.00086208+0.00061935i,-0.00040767+0.00025171i,-0.00039178+0.00068112i,-0.00060286+0.00026919i,-0.0005132-0.00026349i,0.00032919+0.00055355i
0.00040561-0.00029102i,0.0012791-0.00038505i,0.002202-0.00058731i,0.0015307-0.00080066i,5.9331e-05-0.0014242i,-0.00056511-0.0013529i,-9.6816e-05-0.00082316i,0.00023083-0.00037905i,-0.00019032-1.7265e-05i,-0.00033161-0.00041922i,-0.00012328-0.0010065i,-0.00065249-0.0009213i,-0.0017583-7.6065e-05i,-0.0013326+0.00065359i,-0.00017084+0.00069176i,-0.00045311+0.0005633i,-0.0005543+0.00013183i,-8.9868e-05+0.00038157i,-0.0001121+0.0012042i,0.0003493+0.0012668i,0.00067961+0.00044891i,-0.00017612+0.00042318i,-0.00096554+0.00033964i
-5.8462e-05+0.0013676i,-0.00044382+0.0020589i,-0.00045183+0.0019122i,0.001169+0.0016204i,0.0020622+0.00076801i,0.0011454-0.00049461i,-0.00012116+0.00038939i,0.00024518+0.00099353i,0.0012918+0.00064833i,0.00099393-2.7925e-05i,0.00072284-0.00025099i,-6.7553e-05-3.4063e-05i,-0.00091417-0.00015253i,-0.0013034-6.0487e-05i,-0.0012527-0.00064849i,-0.00068462-0.00067292i,-0.0005284+0.00016238i,-0.00030925+0.00010993i,0.00070144+4.623e-05i,0.0010105+0.0008411i,0.0010271+0.00010799i,0.00026476-0.0013386i,-0.00061452-0.0011524i
0.00049451+0.00083089i,-0.00011893+0.0013469i,-0.00070957+0.001521i,0.00023264+0.0012488i,0.00059479+0.00050488i,-0.00018314-0.00037663i,-0.00016548-0.00039245i,0.00030431+0.00019484i,0.00043549+0.00053064i,0.0010505+0.00030134i,0.0013087-0.00015236i,0.0010071-0.00052336i,0.00029192-0.00092716i,0.00029677-0.00097722i,0.0004769-0.00015512i,0.00064276-2.5851e-05i,0.0005848+8.8005e-05i,0.00024209+0.00031655i,0.00026877+0.00018838i,0.00020288-0.00038793i,0.00035559-0.0010453i,0.00055659-0.0011001i,5.0836e-05-0.0010001i
0.00096134+0.00049799i,0.0007122-6.5414e-05i,0.0001259+0.00023385i,-2.9651e-05-0.00083201i,0.0001857-0.0022232i,5.7208e-05-0.0017199i,-0.0009276-0.00069336i,0.00018952-0.00022538i,0.0011531-0.00017678i,0.00040597+7.6592e-05i,0.00020829-0.00014961i,-2.517e-06-0.00056771i,-0.00025605-0.00030031i,-0.00019412-9.7177e-05i,5.6235e-05+8.1147e-05i,0.00017036+0.00044497i,-9.0758e-05-0.00031217i,-0.0010355-0.0013145i,-0.0015684-0.0011623i,-0.0005145-0.0011506i,0.00081552-0.0014386i,0.00071562-0.00026046i,0.0006208+1.4416e-05i
-0.001591-0.00042802i,-0.0023722-0.0007025i,-0.0023467+0.00028475i,-0.0016069+0.0017603i,-0.000544+0.0014242i,-0.0001859-9.6599e-05i,-0.00065467-0.00071346i,-7.2878e-05-0.00051307i,0.00046944-0.00053922i,0.00031194-0.00039026i,0.0003331+0.0005026i,0.00066726+0.00065615i,0.00049402+0.00065595i,-0.00016843+0.0005557i,-0.00044104+0.00016264i,-8.0726e-05-0.00026991i,-1.6022e-05-0.00061551i,-0.00067882-0.0010597i,-7.0847e-05-0.00085034i,-1.4041e-05-0.00031119i,-0.0006823-0.00020744i,-0.00023349+2.2558e-05i,0.0002423+0.00027275i
-0.0002781-0.00031268i,-0.00077043+0.00019488i,-0.00021066+7.5364e-05i,9.287e-06-7.2475e-05i,-0.00013798-0.00059374i,4.102e-05-0.00025446i,0.00011233-0.00025623i,8.3787e-05+0.00010969i,-0.00031523+0.00096874i,-0.00019672+0.00039977i,0.00035425+1.1574e-05i,0.00055299-6.9119e-05i,0.00028628-0.0002067i,0.00031395+0.00028716i,0.00063989+0.00062245i,0.00034246+0.00050552i,-8.041e-05+0.00031774i,-3.6581e-05+0.00061391i,-0.00013634+0.00041134i,-0.00048514-0.00010355i,-0.00046234-0.00076408i,-0.00017917-0.00014983i,4.6044e-05+0.00066662i
