-0.0011693-0.00047738i,-0.0014123-0.0004916i,-0.0019354-1.734e-05i,-0.0020633-0.00010262i,-0.0012455-0.00016267i,-0.00034185+0.0011189i,0.00036585+0.0018158i,0.0017516+0.0016163i,0.0021385+0.00027301i,0.0013857-0.00037329i,-0.00033335-0.00040883i,-0.0012652-0.00056719i,-0.0002333-0.00018688i,0.0004959+0.00093287i,-0.00053942+0.00031625i,-0.00025663-0.00082528i,0.00048389-0.00040927i,0.00083037+0.0001042i,0.00073819+0.00045413i,0.0001791+0.001251i,-0.00018065+0.00094993i,9.7683e-05-0.00025774i,0.00051032-0.00083376i
0.0018659+0.0021249i,0.0026462+0.0016657i,0.0032279+0.0021473i,0.0021791+0.0010759i,0.0012453-0.00062748i,0.00080377-0.00096223i,-0.00024794-0.00064771i,-0.00019274-0.00020751i,0.00014717+0.00040106i,9.0018e-05+0.00023681i,-0.00018739+0.00029706i,-0.00092141+0.00043678i,-0.00067754+0.00044902i,-0.00030731+0.00029844i,8.1226e-05-0.00024626i,0.00087975-0.00077804i,0.00057127-0.00087136i,-0.00061389+5.8181e-05i,-0.0013566+0.00057002i,-0.0013996+0.00026782i,-0.0013733+0.00074021i,-0.00098221+0.0013259i,-0.00058014+0.00083421i
-0.00040866+0.0029314i,0.0012098+0.0041804i,0.00098806+0.0026164i,0.0008565+0.00027037i,0.0007513+0.00010312i,0.00037852-0.00040324i,0.00060181-0.00061455i,0.0015876-0.0005581i,0.0015486-0.00088644i,9.8477e-05+8.6798e-05i,-3.6112e-05+0.00071853i,0.00045056+0.00048655i,-0.00029016+7.6043e-05i,-0.00084385-9.3862e-05i,-0.00051795+0.00044055i,-0.00021226+0.00074671i,-0.00073096+0.00030899i,-0.00086927-0.00013188i,-0.00030242+1.7893e-05i,-0.00017611+0.0001748i,-0.00017924-7.3979e-05i,-0.00041354-4.1489e-05i,0.00017901-0.00030426i
-0.0014153+0.00055057i,-0.0021633+0.00023751i,-0.0029421-0.0007073i,-0.0016475-0.0012981i,0.00024685-0.00054113i,0.0010311+0.00036958i,0.00014135+0.00082993i,-0.00051889-0.00042355i,-0.00040238-0.0011968i,5.7367e-05-0.00034555i,0.00050854+0.00079855i,0.00060203+0.0001684i,0.00073578-0.0011603i,0.00063048-0.00079753i,0.00043749-0.00084838i,0.00011055-0.00040858i,-0.0010801+0.00054623i,-0.0017082+0.00080837i,-0.0014064-3.9884e-05i,-0.0014603-0.0010112i,-0.00063032-0.00032077i,0.00036782+0.00079642i,0.00049646+0.00076015i
-4.7916e-05-0.0012058i,0.00011324-0.0020103i,0.0002122-0.0022683i,-0.00035816-0.00041323i,-0.00082169+7.3702e-05i,-7.6277e-06+0.00031823i,0.00074811+0.00079197i,0.00094548+0.0004629i,0.00031884+3.5607e-05i,-0.00034945+0.00041127i,-0.00023433+0.0010834i,-0.00039549+0.00090913i,-0.00027532+0.0015255i,9.3228e-05+0.0016916i,5.3254e-05+0.00086874i,6.0593e-05+0.00054121i,0.00014851+0.00061394i,-0.00019194+0.00017617i,9.198e-05-0.00024609i,0.00080694+0.00038949i,0.00057563+0.0013167i,-9.2539e-05+0.0011057i,-4.916e-05+0.00050836i
-0.001512-0.00011661i,6.7119e-05+0.00034951i,-0.0005609+0.00045004i,-0.0011806+0.0018463i,-0.00017992+0.0024964i,0.00039172+0.0013481i,0.00042509+0.00074068i,0.00052464+0.00029843i,0.00038623-0.00035761i,0.00011623-0.00027676i,0.00063572+0.00015423i,0.0013734+0.0002716i,0.0011351+0.00070385i,0.00068138+0.00056488i,0.00062047+0.00027693i,0.00047965-0.00028486i,0.0004651+9.7962e-05i,0.00083122+0.0011034i,0.00066824+0.00091089i,0.00051859+0.00093606i,0.00052576+0.00083084i,-5.7331e-05+0.00048808i,-0.00071781+0.00043543i
0.001243-3.8309e-05i,0.0016139-0.00087236i,0.0020083-0.0010864i,0.001786-0.00029208i,0.0011606+0.00054562i,0.00020675+0.00019525i,-0.00013996-0.0011155i,0.00024715-0.00090069i,8.1319e-05-0.00011836i,-0.00011413-0.00069387i,-0.00019067-0.00092275i,-0.00049855-0.00013156i,-0.0013322+0.00044579i,-0.0016301+0.00038174i,-0.0012745+8.969e-05i,-0.0010703-0.00018299i,-0.00036125-0.00055704i,-4.3378e-05-0.0002044i,-3.6141e-06+0.0011833i,0.00022528+0.0014383i,0.0010571+0.0005935i,0.0011071+0.00036787i,0.00028915+3.8646e-05i
-0.0015732+0.001496i,-0.0015151+0.0026629i,-0.0010481+0.0027518i,-9.1427e-05+0.0017909i,0.00034551+0.0015685i,0.0013323+0.0018165i,0.0018664+0.0013886i,0.0014129-8.2487e-06i,0.0011016-0.0007037i,0.0012831+3.0766e-05i,0.00086517+0.00045774i,0.00077033+0.0010461i,0.00045307+0.00079428i,0.00018408-0.00031798i,0.00096937-0.00036158i,0.0012754+0.0001733i,0.00093466-9.875e-05i,0.00086136-0.00048767i,0.00083323-0.00037638i,0.00037135+0.00024418i,-0.00011248+0.00019807i,0.00013525-0.00029984i,0.00064694-0.00016765i
-0.00045741-0.00065298i,-0.001569-0.00068293i,-0.002021-0.00042581i,-0.0012442+9.5494e-05i,-9.7217e-05+0.00048875i,0.00014417-0.00015664i,0.00070029-0.00018847i,0.00086391-0.00029352i,0.00046614-0.00021579i,0.00029896+0.00080425i,0.00013922+0.0012946i,0.00053041-6.62e-05i,0.00064117-0.0010373i,-0.00024989-0.00051256i,-0.00084324-0.00049058i,-0.0012052-0.00023313i,-0.00057264+0.00018974i,-8.2784e-05-5.0107e-05i,0.00025106-0.0007456i,0.00030882-0.00012832i,0.00036105+0.0011537i,0.00034855+0.0011354i,1.4262e-05-7.1075e-05i
-0.0010216-5.5888e-05i,-0.00037953-0.00064972i,0.00014503-0.00063345i,0.00055447+0.00049912i,0.0005125+0.00070774i,0.00019875+0.00020916i,0.00030413+0.00024486i,0.00084837+0.00045703i,0.0010734+0.00018247i,0.00079886+7.7067e-05i,0.00083191-8.8554e-05i,0.00055451-0.00023009i,-0.00046927+0.00039184i,-0.00080665-0.00027956i,-0.0010581-0.0010092i,-0.0013752-0.00010668i,-0.00083439+0.00028488i,5.1129e-05-0.00016701i,0.0006579-0.00038649i,0.00033173-0.00020262i,-6.0067e-05+3.0531e-05i,0.00016259-0.00010726i,0.0011283+2.6153e-07i
0.0023553+0.0018396i,0.0036565+0.0012499i,0.0033298+0.00054154i,0.0014333+0.00020551i,0.00028953+0.00065105i,-4.7838e-05+0.00067472i,0.00013383+0.0005302i,0.00048767+0.00032948i,0.00047847+3.1553e-05i,0.00018436-0.00068038i,-3.1433e-05-0.00037485i,-0.00071827+0.00010474i,-0.0011061-0.00044224i,-0.00053033-0.00086005i,-0.00040009-0.00089942i,-0.00059005-0.00084251i,-0.00055677-0.00059492i,-0.00041558-0.00077255i,0.00018798-0.00053474i,0.00048591+7.2214e-05i,1.5512e-07+0.00014291i,-0.00026937-0.0001821i,-0.00010196-0.00015846i
-0.0011446+0.00274i,-0.00070412+0.0021208i,-0.0010726+0.0004161i,-0.00075721+0.00020198i,-0.00033208+0.00035181i,-0.00060708+0.00010888i,-0.00017462-3.1047e-05i,-0.00017633-0.00016394i,-1.0456e-05+0.00020127i,-7.9195e-05+0.00070689i,-6.3261e-05+0.00047303i,0.00015546+0.00034299i,-0.00057123+0.0010753i,-0.00068995+0.00066295i,4.797e-05-0.00073212i,0.00014259-0.00072082i,-0.00024272-5.2117e-05i,0.00043809+0.00076618i,0.00084252+0.0010873i,9.5271e-05+0.00051527i,-2.9503e-05+0.00085749i,0.00054528+0.00059122i,0.0003923-0.0003063i
-0.0030622+0.00066477i,-0.0013723+0.00033818i,0.00025909+0.00090149i,0.00056467+0.00057164i,0.00052145-9.9241e-05i,0.00075961+0.00061904i,0.00037212+0.00048204i,-0.000159-0.00079392i,9.0469e-05-0.0007135i,0.00024702+0.00045146i,1.5652e-06+0.00096596i,0.000272+0.00067465i,-0.00044232-0.00034334i,-0.0010559-0.00075367i,4.5839e-05-0.00021076i,0.00031702-9.3748e-05i,8.7492e-06-0.00033734i,0.00037352-6.7664e-06i,0.0005154+0.00053367i,0.00028793+0.00047766i,-3.9183e-05-0.0003967i,3.3096e-05-0.00087313i,0.00017995-0.000571i
0.0032257-0.0010309i,0.0025184-0.00097467i,0.00024204-6.2796e-05i,0.00041297+0.00043235i,0.00088755+0.00083471i,-0.00039832+0.0012506i,-0.00039332+0.00059689i,-0.00019875-0.00024925i,-0.00026531-0.00050031i,-0.00052653+0.00010308i,-0.00059536+3.9962e-05i,0.0002384-0.00084974i,0.00049447-0.00073757i,0.00018421-0.00017511i,-0.00040034+3.1036e-06i,-0.00074055-0.00016904i,-0.00015348+1.4138e-06i,4.6909e-06+0.00023255i,-0.00013789-0.00015118i,-0.00020293-0.00018774i,-0.00078951+0.00034774i,-0.00082401+0.00011444i,-0.00014502-0.00040827i
-0.00026488-0.00025714i,-0.001192-7.9511e-05i,-0.0012694+0.00030375i,-0.0013511-0.00023558i,-0.0013117+8.8155e-06i,-6.3355e-05+0.00080194i,0.00066238+0.00051528i,0.00073489-0.0001442i,9.4311e-05-7.0497e-05i,-0.00074508+3.0278e-05i,0.00013563-0.00087304i,0.00080419-0.00087824i,0.00046464-0.000135i,0.00059536-0.00023393i,0.00058394+9.254e-05i,0.00029606+0.00029264i,0.00080182-6.1361e-05i,0.00086139+4.2636e-05i,-0.00020874+0.00045065i,-0.00082287+0.00094177i,-0.00021966+0.0002306i,0.00064387-0.00032187i,0.00065717+0.00019494i
0.00078928+0.0021074i,0.0011418+0.00095612i,0.0012889+0.00053813i,0.0016574+0.00023531i,0.0012987-0.000133i,0.00026581-9.9096e-05i,0.00062605-0.00014689i,0.0015718+8.252e-06i,0.0012274+0.00018884i,0.00066578-0.00045969i,0.0002723-0.00084306i,-0.00029258-0.0004137i,-0.0012694-0.00063353i,-0.00194-0.00088807i,-0.0011259-0.00055336i,-0.00073249-0.00018794i,-0.001228-0.00042617i,-0.0010987-0.00053789i,-0.00062406+0.00044901i,-0.00017125+0.001364i,0.00053735+0.0016475i,0.00076842+0.0011172i,0.000954+0.00033683i
0.00077002-0.00080217i,0.00080272-0.0010553i,-0.00030255-0.00043928i,-0.0010165+0.00027355i,-0.00058065+0.00066691i,0.00043276+0.00086117i,0.00065871+0.00065865i,0.0010726-8.6997e-05i,0.0011467-0.00023214i,8.5403e-05-0.0001269i,-0.0007309-0.00050497i,-0.00067341-0.00040256i,-0.00040583-0.00094056i,0.00010266-0.001272i,0.000584-0.00048111i,0.00033811+0.00057862i,0.00016151+0.00075321i,0.00066881+0.00031969i,0.00040964-7.7622e-05i,-0.00019111+2.7415e-05i,-0.00034774+3.549e-06i,-0.00010668+4.6008e-05i,0.00039883+0.00068503i
-0.00031638-0.00086976i,-0.0015579-0.00074302i,-0.0013345-1.996e-05i,-0.0010357+0.00030582i,-0.00079371+0.00016421i,0.0003699+0.00032475i,0.00074654-3.0251e-05i,0.0010876-0.0001554i,0.00092918-2.6798e-05i,0.00013931+0.00022913i,9.8799e-05+6.9104e-05i,-2.9791e-05-0.00022911i,2.533e-05+5.9465e-05i,-0.00027978+0.00051098i,-0.00024009+0.0002344i,-4.4547e-05-3.6272e-05i,-0.00044024-0.00025379i,-0.0012251-0.00083674i,-0.00091692-0.0014367i,5.6679e-05-0.00092254i,-0.00016571-0.0004455i,0.00024045-0.00030986i,0.00066769-4.2623e-05i
-0.0026823-0.00020945i,-0.0019392+0.0012335i,-0.0021295+0.0026948i,-0.0016443+0.0021824i,-0.00023595+0.0018198i,0.00050548+0.0013648i,0.0011776+0.00067763i,0.00062986-0.00012367i,-0.00053924-0.00069434i,-0.00039285+1.2203e-05i,4.4298e-05-0.00027915i,-0.00047999-0.00073325i,-0.00039034-0.00076342i,6.8843e-05-0.0010354i,0.0010998-0.00070482i,0.0012563-0.0003182i,0.00065111-0.00024031i,0.00031223-2.0655e-05i,0.00027079+0.00030629i,0.0003307-0.00024809i,0.00019683-9.8751e-05i,0.00013889+0.00029127i,0.00027054-0.00027701i
-0.0018104-0.00018645i,-0.00074148-0.00016589i,0.00030376-0.00026967i,0.00043266+0.00010976i,0.00029659+0.00017185i,0.00064184+0.00029162i,0.00059682+0.00022604i,0.00082775+0.00013158i,0.0011013+0.00029674i,0.0010571+0.00052677i,0.00051692+0.00076752i,-0.00034841+0.00064502i,-0.0011099+0.00039361i,-0.00084536+0.0004875i,-0.00050961+0.0001735i,-0.00053587+0.00010172i,-0.00048189+8.9417e-05i,-0.00025549-4.4116e-05i,-0.0003507+0.00047337i,-0.0005169+0.00012358i,0.00031799-0.00060288i,0.00067839-0.00016683i,-1.8168e-05+0.00025875i
0.00012874-0.00097095i,-0.00046595-0.00093762i,-0.0014658-0.0003732i,-0.00099905+0.00035465i,-0.00071043+0.00052348i,-0.00067006+0.00073555i,-0.00045467+0.00079956i,-7.3962e-05+5.9722e-05i,0.00032889-0.00047666i,0.00047126-0.00056666i,-0.00031227-0.00011153i,-0.00072593+0.00034741i,0.00024429+0.00039649i,-3.6162e-05-0.00077683i,-0.00041854-0.0010347i,0.00011455-4.5429e-05i,-0.0003106-0.00080578i,-0.00046935-0.0015786i,-0.00062109-0.00081879i,-0.00070049-0.00052716i,-0.00050899-0.00058236i,-0.00080646-0.00036839i,-0.00042368-0.00020156i
-0.00050983+0.0015042i,-6.5042e-05+0.0021093i,0.00070868+0.0027245i,0.0015472+0.0032129i,0.0018342+0.001773i,0.0014397+0.00056689i,0.00091496+0.00069347i,0.00062022+0.0004392i,0.00024294+0.00022484i,0.00031541+0.0001798i,4.8625e-05-0.00017606i,-0.00073473-0.00018448i,-0.00041713+0.00031053i,0.0007251+0.00061441i,0.0012676+4.3151e-05i,0.00072647-0.00023404i,0.00022177-0.00020508i,0.0003319-0.00058546i,0.00015384-0.001014i,-0.00031107-0.0011038i,-0.00011691-0.000482i,0.00054178-8.7538e-05i,0.00019914-0.00014629i
-0.0021576+0.0044344i,-0.0013094+0.0040421i,0.0005521+0.0022738i,0.0014754+0.00045048i,0.001027-0.00073358i,0.001177-0.0019245i,0.0015668-0.0024211i,0.001453-0.0014614i,0.0012349-0.0003412i,0.00056882+0.00029435i,-0.00028369+0.00011235i,-0.00016589-0.00040945i,-5.642e-07-0.00079275i,-0.00057017-0.0017167i,-0.00095424-0.0016105i,-0.00036457-0.0010608i,0.00028035-0.00059764i,0.00039014+0.00031077i,0.00039266+0.0007517i,5.2549e-05+0.00059208i,4.7945e-05+0.0004429i,0.00011193+0.00040499i,0.00019156+0.00026257i
-0.0029777-0.00051677i,-0.0025366-0.00083034i,-0.0022367+0.00026786i,-0.0010174+0.00082254i,0.0004618+0.00059959i,0.00089519+0.00072i,0.00026454+0.00046233i,0.00032732-0.0012085i,8.4957e-05-0.0013268i,-5.4816e-05+1.1336e-05i,0.00034597+0.0006294i,0.00022864+0.00011136i,-0.00037806-0.00047513i,-0.00039473-0.0008965i,0.00044169-0.0013246i,0.00050984-0.0012874i,0.00045995-0.0013029i,8.9299e-05-0.00082435i,-0.0003885-0.00029712i,-0.00061902-0.00025957i,2.0563e-05-0.000147i,0.00030084-0.00021392i,0.00031905+0.0001884i
0.0018225-0.00027581i,0.0017786-0.0018418i,0.0022191-0.0017822i,0.0015166-0.0013932i,0.0016845-0.0014216i,0.0013939-0.00055001i,0.00092639+0.00032372i,0.00076971+0.00045956i,0.00017679+0.00012229i,-0.00094309-0.00010936i,-0.0012725-0.00035362i,-0.0002868-3.306e-05i,2.007e-05+3.8393e-05i,-0.00051982+0.00016737i,-0.00042226+0.00036278i,-0.00065135+9.9459e-05i,-0.000746-0.00046965i,-0.00037637-0.00056635i,-0.00035329+0.00040176i,-0.0005304+0.0012957i,-0.00082595+0.0012828i,-0.00038629+0.00013802i,0.0004338-0.00045238i
0.0010288-0.00053229i,0.00055809+0.0010018i,-0.0012542+0.0019975i,-0.0012827+0.0020117i,-0.00018101+0.0019102i,0.00054224+0.0012218i,0.00059648+0.0009094i,0.0011299+0.0004137i,-0.00014153-8.8183e-05i,-0.0015341-0.00021346i,-0.00044906-0.0003456i,0.00030466-6.8905e-05i,-0.00013085+0.00031424i,-0.00012295+0.00082857i,0.00025035+0.0008024i,0.00050789+0.00022556i,0.00021723+0.0004588i,6.9397e-05+0.00037439i,0.00018549-0.00019282i,0.00067967-0.00010812i,0.00054991-2.772e-05i,-0.00037877-0.00034915i,-0.00071346-0.00026117i
0.00064648+0.0013273i,-0.00017818+0.0010696i,-4.7071e-05-0.00057394i,4.0762e-06-0.0013374i,-0.00022645-0.0012982i,-0.00021897-0.00017644i,2.055e-05+0.00088408i,0.00068+1.6293e-05i,0.00077163-0.00099066i,0.0001425-0.00090291i,6.8988e-05-0.00079824i,0.00012502-0.00084982i,0.00053381-7.3503e-05i,0.00025559+0.0008912i,-1.8401e-05+0.000773i,-5.8885e-06+0.00025224i,0.00022242-0.00017848i,0.00079838-0.00019364i,0.00066756-0.00035936i,0.00065969+0.00036819i,0.00040972+0.00060774i,-7.6109e-05-0.00029524i,-0.00045618-0.00041296i
-0.00043403+0.0010909i,-0.00015259+0.00083659i,-0.00071233+0.00062537i,-0.00037948+4.0208e-05i,0.00033205-0.00083464i,0.00079192-0.00096905i,0.00063175+1.6999e-05i,5.5487e-06-0.00011861i,-7.9332e-05-0.00082352i,0.00037106-0.00037862i,0.00035883+0.00079334i,-0.00016016+0.00027552i,-0.00023405-0.0010948i,-0.00065871-0.0012928i,-0.00064946-0.0010497i,-0.00020278-0.0010096i,-0.00015361-0.00046266i,-0.00016247+7.5785e-05i,-7.7208e-05+0.00040246i,-9.4263e-05+0.00013475i,0.0002762-0.00011377i,0.00039888-0.00058832i,0.00018051-0.00047333i
0.0019026+0.00079413i,0.00079665+0.00071057i,0.00077361+0.00030781i,0.00066306-6.4599e-05i,0.00084072+0.00039283i,0.00090669+0.00097456i,0.00052539+0.0010883i,0.00062893+0.00013398i,0.0002415-0.00063097i,-0.00046563-0.00099568i,-0.00084859-0.00067208i,-0.00094755-0.0001341i,-0.00084967-0.00052869i,-0.0013198-0.00063973i,-0.0013226-0.00025124i,-0.00059851-0.00053404i,-0.00027244-0.00025029i,-7.8474e-05+0.0002067i,-0.00036556+0.00082407i,-0.00026055+0.00074539i,0.00022338+0.00068978i,-0.00016655+0.000518i,-0.00068657+3.1913e-06i
0.0027535+0.0012442i,0.0030234-0.0004828i,0.0031688-0.0020759i,0.0022266-0.0025189i,0.00047734-0.0024791i,-0.00046518-0.0014778i,-0.00012328+0.0005528i,0.00082885+0.00050942i,0.00067944-0.00049939i,-4.9153e-05-0.0010408i,-0.0010426-0.00091203i,-0.0012994+0.00036095i,-0.0013951+0.00091312i,-0.0014689+0.00046493i,-0.00086906+0.00053299i,-0.00069367+0.00086522i,-0.0010084+0.00071986i,-0.001179-0.00018896i,-0.00040527-0.00047224i,0.00039922+0.00020119i,0.00079411+0.00057198i,0.00052228+0.00038695i,0.00029553-6.5458e-05i
-0.0013352+0.00034578i,-0.0016178+0.00048476i,-0.0010002+0.00032007i,-0.00051764+0.0002011i,-0.0002139+0.00099672i,0.00044776+0.0012883i,0.00086071+0.00096074i,0.0012408-0.00018945i,0.0011873-0.00071504i,0.00025521+0.00017594i,-0.00029385-0.00049381i,-0.0004329-0.0013775i,-0.00033177+0.00017366i,-0.00044368+0.00090393i,-0.00055789+0.00012025i,-0.00027526-0.00091902i,-0.00035974-0.0012468i,-0.00052536-0.00051859i,-0.00013995-0.00027755i,-0.00029439+0.00032804i,-0.00020012+0.00016446i,0.00046203-0.00016411i,-0.00027921+0.0006498i
0.00035013+0.00042943i,0.00075649-0.0011045i,0.0011857-0.00042576i,0.0011505-0.0004077i,0.00031712-0.0012956i,-0.00031848-0.00061495i,-0.00032922+0.00036256i,-0.00031302+0.00018166i,0.00048388+0.00015035i,0.00094236+5.4835e-05i,0.00047947-0.00017115i,0.00032704-0.00077738i,4.8632e-05-0.0010604i,-0.00059394-0.00017036i,-0.00033135-0.00040354i,-0.00032421-0.00012155i,-5.1468e-05+0.0011783i,0.00029719+0.00067107i,-4.6031e-05-0.00024561i,-0.00046209-0.00031011i,-0.00063569-6.143e-05i,-0.00048961-0.00034849i,6.5414e-05-0.00056603i
-0.0011423-0.0012003i,-4.4289e-05+0.00028883i,-0.00054511+0.0012094i,-0.00081163+0.0010023i,0.00055625+5.205e-05i,0.00086045-0.0015668i,0.00012981-0.0023828i,-0.0001248-0.0011801i,-0.00010056+3.5158e-05i,-0.00027589+0.00084886i,-0.00015571+0.00092758i,0.00033053+9.3152e-05i,0.0010083-0.00045154i,0.00072892-0.00013677i,-5.9092e-05+0.0004181i,0.00031432+0.00023624i,0.00066855+0.00014684i,0.00061952-0.00026256i,0.00041903-0.00099433i,1.3499e-05-0.00040393i,-0.00042158-0.00050373i,-0.0001527-0.00089051i,1.7182e-05+7.9971e-05i
