-0.00087211+0.00060633i,-0.0011246-0.00034264i,-0.0015711-0.0012092i,-0.0011533-0.0010179i,-0.00094835+0.00073338i,-0.00086786+0.0019359i,-0.00013005+0.0018111i,0.00045189+0.00062278i,0.00092986-0.00032821i,0.0011838-0.00020911i,0.0004436-1.2101e-05i,-0.00014979-0.00043569i,-0.00076313-0.00033465i,-0.0008455+0.00055351i,-0.00064212+0.00048997i,-0.00087505-4.3948e-05i,-0.00064687-0.00012695i,-0.0002193-0.00053123i,0.00015111-0.00087601i,-1.5718e-05-0.00053469i,-8.7257e-05+0.00032298i,8.4731e-05+0.00045962i,-3.5105e-05+0.00041557i
-0.0010134+0.001227i,-0.00065004+0.00073575i,0.00038168+0.0014508i,0.0011395+0.0017079i,0.00086727+0.0014233i,0.00065881+0.00042816i,0.00038632-0.0010832i,-9.7175e-05-0.0017613i,-0.00016427-0.0011113i,0.00012301+3.7011e-06i,0.00064039+0.0012507i,0.00083188+0.0013959i,4.1625e-05+0.00019313i,-0.00058164-0.00053225i,-0.00057991+0.0004076i,-0.00029333+0.0003954i,-0.000127-9.5192e-06i,-5.2871e-05-0.00020402i,-2.5132e-06+0.0002258i,6.3944e-05+0.00042449i,0.00029313-0.00038083i,0.00018823-0.00073984i,0.00030459-0.00039321i
-3.4285e-05+0.00058079i,3.3135e-05+0.00066637i,0.00083052-0.00073701i,0.0012015-0.0013599i,0.0011376-0.00041991i,0.0011864+0.0013099i,0.0012307+0.0011381i,0.00060507-0.00011205i,0.00016068-0.0014435i,0.0002174-0.0015793i,-4.624e-05-0.00073697i,0.00038095-0.00037412i,0.00057797-0.00036318i,0.00012561-0.00035786i,7.3335e-05-0.00023562i,0.00026971-4.7445e-05i,6.6619e-05+0.00023933i,-0.0011791+0.00065649i,-0.001372+0.00081973i,-0.00029419+0.00025955i,-0.0002487-2.2901e-05i,-0.000156-0.00045163i,0.00073439-0.0008705i
0.00084183-0.0015075i,0.00027526-0.002101i,-0.00014324-0.0019709i,-0.00052336-0.00027325i,-0.00024085+0.00064361i,0.00017628+0.0011824i,0.00040815+0.00089387i,0.00090268-0.00054934i,0.00099237-0.0014419i,0.00048494-0.0011354i,0.00046685-0.00028837i,0.00044756+0.0006883i,-4.8318e-05+0.00076114i,0.00011293+0.00098801i,-0.00014142+0.00099416i,-0.00054119+0.00039386i,-0.00046958+0.00025154i,-0.00067422-0.00013364i,-6.47e-05-0.0004985i,0.00015227-0.0003416i,1.3379e-05+0.00067065i,0.00014893+0.0009871i,0.00029088+0.00035259i
-0.00064108+0.00057603i,-0.0012587+0.00091586i,-0.0010674+0.0010534i,-0.0012353+0.0010669i,0.00014056+0.00093744i,0.0013549+0.0016184i,0.00094519+0.0014369i,0.00015649+0.00030127i,2.5001e-05-0.00038348i,-6.8725e-05-0.0004502i,-0.00036534-0.00081214i,3.7166e-05-0.00050554i,0.00016491+0.00023867i,-0.00012804+0.0006282i,-0.00015315+0.00083339i,-2.9276e-05+0.00055798i,-0.00050036+0.00031248i,-0.001353+0.00042834i,-0.0010397+0.00082177i,0.0001282+0.0010126i,5.3429e-05+0.0010454i,-0.00054347+0.0010226i,-0.00044918+0.00073355i
0.001092+0.001407i,0.00041134+0.000173i,0.00010143+0.001006i,-3.8165e-05+0.0018352i,0.00052261+0.0012058i,0.0014774+0.00080767i,0.0015869+0.00053379i,0.001219+0.00044652i,0.00043504+8.8315e-05i,-5.9876e-05-0.00031199i,-4.9077e-05-0.00051561i,0.00026063-0.00069512i,-0.00013632-3.9697e-05i,-0.00076875+0.0006232i,-0.00074363+0.00043153i,-0.00046983+3.8322e-05i,-0.00048632+0.0001364i,-0.00078926+5.0156e-05i,-0.00066381-0.00063808i,-0.00061828-0.00075823i,-0.00037864+0.00019273i,0.00051592+0.00028658i,0.00077027-0.0004596i
9.3147e-05-0.00011061i,-0.00021741+3.249e-05i,-0.00031237+0.00046274i,0.00026731-0.00032854i,0.00039299-0.00037314i,0.00022357+9.6883e-05i,0.00037312+3.3044e-05i,0.00029972-0.00067128i,-0.00021781-0.00070338i,2.1797e-05+0.00018275i,0.00041954+0.00022476i,-0.00041135+0.0001648i,-0.0011242-3.5424e-05i,-0.00086227-0.00066019i,-0.00051884-0.00035581i,-0.00059709+0.00083747i,-0.00071978+0.0014319i,-0.00038763+0.00075522i,-2.2061e-05+0.00052422i,-0.00042006+0.00029339i,-0.00029497-0.00022575i,0.00012015-0.00045196i,0.00068955-0.00089096i
-0.00062289+0.00068039i,0.00045615+0.00052245i,0.0016226+0.0012329i,0.0013152+0.0011848i,0.00085333+0.00028382i,0.00017595-5.3434e-05i,0.00058028-0.00086653i,0.001181-0.0019752i,0.0012082-0.002186i,0.00062598-0.0014346i,-0.00025778-0.00092321i,-0.00026334-0.00083082i,4.0902e-05-0.00064476i,-0.00011124-0.00082216i,-0.00041699-0.00075183i,-0.00036556-0.00034649i,0.0001525-0.00036183i,-0.00081533+0.00017877i,-0.0010958+0.00016482i,2.815e-05+8.8832e-05i,0.00033755+0.0003271i,0.00028754+0.00036663i,0.00035839+0.00092494i
0.0014033-9.914e-05i,0.0012867-0.00034186i,0.0015912-0.00036994i,0.0014028-0.00079652i,0.00051432-0.00030016i,0.00024592+0.00041513i,0.00041118+0.00031207i,0.00021876+7.3206e-05i,0.00030843+0.00031666i,0.00036013+0.00025179i,0.00025804-4.2142e-05i,0.00026217+0.00057408i,-0.00041747+0.00035311i,-0.00084912-0.00016097i,-0.00064298-0.00023173i,-0.00053411-8.7979e-05i,-0.00093555+2.7643e-05i,-0.0008796-0.00020249i,0.00053888-2.3575e-05i,0.00092201+6.7039e-05i,0.00042658-3.7294e-05i,-0.00041522-1.1489e-06i,-0.00052185-0.00053234i
0.0010707-0.0017231i,-4.8926e-05-0.0025011i,-0.00094038-0.0023435i,-0.0013905-0.0010296i,-0.0011839+0.00046043i,-0.00065779+0.0008542i,-0.00038263+0.00057302i,-0.00040996+0.00065763i,0.00013982+3.9541e-05i,9.884e-05-0.00058327i,-0.00067535-9.6826e-06i,-0.0011189+0.00053108i,-0.0011425+0.0011466i,-0.00092791+0.00096387i,-0.00077847+9.9371e-05i,-0.00080714-5.4981e-05i,-0.00041864+0.00067897i,-0.00041985+0.0011179i,-0.00063137+0.00097163i,-0.00066974+0.0010896i,-0.0006271+0.0010488i,6.5693e-05+0.00063343i,0.00029373+0.00064381i
-0.0018579+0.0010356i,-0.0010649+0.0009286i,0.00012871+0.0012135i,0.00085344+0.00060031i,0.00078132+0.00068112i,0.00083137+0.00082888i,0.00051528+7.9974e-05i,0.00020355-0.0016089i,0.0006077-0.0011657i,0.00056141+0.00030917i,-2.1793e-05+0.00039403i,-0.00014927-0.00018431i,0.00041236-0.00026715i,-3.4009e-05+6.6332e-05i,-0.00094786-3.7353e-05i,-0.00073651+1.4443e-05i,-0.00013887+0.0006932i,0.00043838+0.0011737i,-0.00011666+0.0014653i,-0.00020047+0.0015553i,0.00012261+0.00074257i,-0.00097373+0.0001566i,-0.0011271+6.3021e-05i
