-0.00087211+0.00060633i,-0.0011246-0.00034264i,-0.0015711-0.0012092i,-0.0011533-0.0010179i,-0.00094835+0.00073338i,-0.00086786+0.0019359i,-0.00013005+0.0018111i,0.00045189+0.00062278i,0.00092986-0.00032821i,0.0011838-0.00020911i,0.0004436-1.2101e-05i,-0.00014979-0.00043569i,-0.00076313-0.00033465i,-0.0008455+0.00055351i,-0.00064212+0.00048997i,-0.00087505-4.3948e-05i,-0.00064687-0.00012695i,-0.0002193-0.00053123i,0.00015111-0.00087601i,-1.5718e-05-0.00053469i,-8.7257e-05+0.00032298i,8.4731e-05+0.00045962i,-3.5105e-05+0.00041557i
-0.0014214+0.0017457i,-0.00075943+0.0015663i,-0.0010378+0.0019025i,-0.00098462+0.0025161i,-0.00040728+0.0024346i,-0.00016598+0.0016053i,0.0011127+0.00088316i,0.002177+0.00045672i,0.0015334+3.4456e-05i,0.00051404-0.00018222i,0.00054613-0.00065528i,0.00072666-0.001111i,0.00026989-0.0018222i,-0.00037671-0.0015994i,-0.00094616-0.00053369i,-0.00096785-0.00069686i,-0.00023112-0.0011678i,-0.00048716-0.00065034i,-0.00077668+0.00011049i,-0.00019561+0.0007311i,-0.00013102+0.00058803i,-0.00025196+0.000304i,0.00027341+0.00021131i
0.0022028-0.00021338i,0.0026892-0.00047959i,0.0019591-0.0019896i,0.00021696-0.0014434i,-0.0012618+0.00011329i,-0.0013509+0.0009118i,0.00053863+0.00031285i,0.0023813-0.001082i,0.0018273-0.0015049i,0.00061437-0.0014703i,-9.6254e-05-0.0017185i,-0.001107-0.00050485i,-0.0016636+0.00028409i,-0.0010766+0.00021412i,-0.00086111+0.00090227i,-0.00086662+0.00056769i,-0.00075064+0.00035139i,-0.00096245-2.9114e-05i,-0.000666-0.00039635i,-0.00042658+5.2544e-06i,-0.00070707+0.00047503i,-0.0009241+0.00092372i,-0.00055686+0.00077842i
0.0032538-0.0015541i,0.0030903-0.0023051i,0.0020753-0.0038885i,-0.0004073-0.0031459i,-0.0021824-0.0011933i,-0.0013138+0.00049674i,0.00036838+0.00094461i,0.0015934-0.00035001i,0.0015117-0.0010147i,0.00027537-0.00094701i,-0.00021987-0.00054934i,-0.00061208+0.00052964i,-0.00016019+0.001762i,8.6644e-05+0.001606i,-0.00072399+0.00026448i,-0.0011019-0.000569i,-0.00082213-0.00093353i,-0.00054495-0.0012124i,-0.0002897-0.0013846i,-0.000311-0.00077099i,-0.00070456-0.00030438i,-0.00057293-0.00059223i,0.00024009-0.00029354i
0.0010419+0.00082011i,0.0020797+0.00012739i,0.002745+0.00030974i,0.0024818-0.00024576i,0.00062051-0.00073165i,-0.00098541+0.00022384i,-0.00018658+0.00083439i,0.0010404+0.00025298i,0.00094667+0.00031632i,0.00043185+0.00034576i,-0.00080726+0.0002086i,-0.0012702-8.5673e-05i,-0.00065599-0.00017828i,-0.00077476+0.00017307i,-0.0010605+8.4127e-05i,-0.00064381+0.00024732i,-0.00034755+0.00062568i,-0.00056076+0.00026724i,-0.0015011+0.00031619i,-0.0013338+3.6553e-05i,7.7827e-05-0.00040163i,0.00064405+1.3107e-05i,0.00043328+0.0003874i
-0.00091614+0.00083262i,-0.00051032+0.00052413i,-0.00031457+0.00081508i,-0.00044414+0.0007171i,-0.00039646+0.0012556i,-0.00021797+0.0014982i,0.00068398+0.00071971i,0.0012841+4.3323e-05i,0.0011995+8.3841e-05i,0.0012456+0.00040525i,0.00081225+0.00041779i,-0.0007816+0.00044175i,-0.0018294-0.0003625i,-0.0010529-0.0011562i,-0.00029839-0.00077068i,-0.00049068+0.00033593i,-0.00066692+0.0002638i,-0.00094502-0.00033781i,-0.0010251-9.1573e-05i,-7.0389e-05+0.00042873i,0.00078369+0.00098776i,0.00041036+0.0010435i,-0.00077903+0.00029213i
-0.0005929+0.00080717i,-5.9474e-05+0.00073305i,8.8895e-05+0.0010016i,-0.00022856+0.00091886i,-0.00062528+0.00089325i,-0.00034684+0.00057204i,0.0010518+0.00060848i,0.0024433+0.00068356i,0.0029122+0.00062332i,0.0017838+0.00063449i,0.00064655+0.00058602i,0.00034999-0.00027679i,0.0004381-0.00059435i,0.00051589-0.00038074i,0.00047483-0.00045566i,-0.00011751-0.00033829i,-0.00048554-0.00026442i,-0.00045518-0.00055085i,-0.00084136-0.00076854i,-0.00062228+9.8663e-05i,-0.00047504+0.00048045i,-0.00061075-0.00041741i,2.4088e-05-0.00014477i
0.0013575+9.8617e-05i,-4.0108e-05-0.00074198i,-0.00013152-0.00072523i,0.00020053-6.0456e-05i,7.5182e-05+0.0015378i,-0.00014609+0.002753i,0.00071955+0.0025279i,0.0020005+0.0012352i,0.0019029-0.00042398i,0.0013767-0.00079653i,0.00015916-0.00050698i,-0.00018498-0.00077106i,0.00044039-0.00036692i,0.00032276+0.00022393i,-0.00017254+0.00026227i,-0.00068632+0.00031998i,-0.00070254+0.00019715i,-0.00047782-0.0010522i,-0.00047912-0.0019159i,-0.00059378-0.00099583i,-0.00026182-2.1524e-05i,0.00039288-0.00016395i,0.0003274-0.00077421i
0.0012238+0.00052558i,0.0015375+8.7936e-06i,0.0012177-0.0018282i,-0.0002588-0.0031004i,-0.0016798-0.0015877i,-0.0015615+0.00023462i,0.0001961+0.0014271i,0.0016256+0.00093884i,0.0013407-0.00047243i,0.00033346-0.0012412i,-0.00011289-0.00083702i,-0.00074489+9.4094e-05i,-0.001382+0.00029085i,-0.0015402-0.00038835i,-0.0014045-0.00080014i,-0.00053903-0.0011578i,-0.00013248-0.0013941i,-0.00083291-0.0011509i,-0.001304-0.00039437i,-0.0016851+0.00018922i,-0.0017379+0.00028459i,-0.0010751-0.00048468i,-0.00062778-0.0005848i
0.0008801-0.0012017i,0.0011282-0.0013667i,0.0019424-0.0024575i,0.0015327-0.0024542i,-6.5793e-05-0.0009168i,-1.7893e-05+0.00061933i,0.0011634+0.00085503i,0.0016002+3.5108e-05i,0.001133-0.00023577i,-0.0001209-8.0657e-05i,-0.0016289+0.00055797i,-0.0016484+0.00074753i,-0.00098193+0.00082956i,-0.0014174+0.0011967i,-0.0016832+0.0011583i,-0.0015979+0.00061582i,-0.0012721-0.00031708i,-0.0005528-0.00074179i,-0.00044846-0.00039489i,-0.0006015-0.00015912i,-0.00045257-0.00013853i,0.00029924+0.00061706i,0.001396+0.0010081i
-0.00023223+0.00068346i,0.0010394+0.00092118i,0.0011684+0.00054608i,1.8033e-05+0.00073765i,-0.0011298+0.0013367i,-0.0013572+0.001939i,-1.4716e-05+0.00195i,0.0016491+0.0012194i,0.0015643+0.00024957i,0.00096059-0.00010473i,0.00045836-0.000419i,-0.00020787-0.0009599i,-0.00097553-0.00090158i,-0.00061029-0.0010046i,0.00025322-0.00097462i,0.00051973-0.00050786i,-0.00016271-0.00049519i,-0.00070503+0.00029129i,-0.00068139+0.00055985i,-0.00059853+0.00013883i,0.00027537-6.5393e-05i,4.0415e-05-0.00017007i,-0.00029751-0.00022314i
0.00086851+0.0021391i,0.00099375+0.0010865i,0.001967-0.00051721i,0.0024981-0.00081594i,0.001647-0.00010714i,0.00069673+0.00015694i,0.0010265-0.00035588i,0.0016514-0.00026429i,0.0020464-0.00034667i,0.001803-0.00029271i,0.0008413-0.00037497i,-0.00025743-0.00063672i,-0.0010608-0.00044622i,-0.0008035-0.00043718i,0.00017197-0.00082948i,-0.00057357-0.00067936i,-0.0012737+0.00017257i,-0.00076603+0.00048449i,-0.00056447-0.00022897i,-0.00028935-0.0010582i,-0.00037009-0.00051252i,-0.0004623+0.00033887i,-4.237e-05+0.00028048i
-0.00035247+0.00038414i,-0.00032485-4.7562e-05i,0.00018247-0.00058657i,-0.00068604-0.00056831i,-0.0018477+0.0007383i,-0.0019155+0.0024121i,-0.00073915+0.001632i,0.0005137+0.00030425i,0.00057286-0.00017985i,0.00052276+0.00034387i,0.00022252+0.00071775i,-0.00021658+0.00031175i,-0.00021604+7.8738e-05i,0.00037645-1.2589e-05i,0.00037356+0.00029086i,-0.00021741-0.00010964i,-0.00013925-0.00091921i,6.152e-05-0.00072824i,-0.00043383-0.0001783i,-0.0012428-7.5562e-05i,-0.0010423-5.6226e-05i,-0.0002536-3.4886e-05i,0.00017781+0.00022137i
0.00037552-0.0014686i,0.001432-0.0018164i,0.0012649-0.0014216i,0.00054355-0.00098758i,0.00096337+6.1334e-05i,0.0020416+0.000563i,0.002661+0.001137i,0.0025455+0.00062415i,0.0018342-0.0011901i,0.0013921-0.0015416i,0.0011996-0.00025051i,0.00011054+0.00074131i,-0.00024881+0.00054551i,0.00012821-0.00012326i,0.00043442-9.6595e-05i,-8.4154e-05+0.00026056i,-0.00092691+0.00010896i,-9.1556e-05-0.00024381i,0.00050062-0.00023095i,0.00063793+0.00031193i,0.00081059+0.00053688i,0.00057416+0.0010514i,0.00013323+0.001549i
0.00060554+0.0011539i,0.0012204+0.00065547i,0.00058849-0.0001668i,-0.00083336+0.00037894i,-0.0014972+0.0011098i,4.5607e-05+0.0014667i,0.0011618+0.0013143i,0.0015689+0.00024481i,0.0018953-0.0011325i,0.00022987-0.001786i,-0.00077855-0.0010187i,-0.00039289+0.00016743i,-0.00018383+0.00066955i,0.00013691+0.00037656i,-5.2117e-05-0.00042481i,-0.00043696-0.00095512i,-0.00049958-0.0010167i,-0.00035826-0.0014001i,-0.00017517-0.00089635i,-0.00063625+0.00021052i,-0.0007834+0.00071696i,7.1642e-05+0.00056331i,0.00087691+0.00030743i
0.0033134+0.00090169i,0.0030336-0.0007553i,0.0019979-0.0024013i,0.00086724-0.0028123i,5.9086e-05-0.00097487i,-0.0004028+0.00078613i,4.601e-06+0.0013197i,0.00018556+0.00065438i,0.00056533-0.00019499i,0.00032952-0.00014707i,-0.00030398+0.0001291i,-0.00046466+0.00037128i,-0.0010284+0.00031481i,-0.0013466-0.00059978i,-0.0012118-0.0006932i,-0.001424-0.00039369i,-0.0016113-0.00054414i,-0.0019053-0.00063785i,-0.0020424-0.0007786i,-0.0014764-0.00072201i,-0.00057065-0.00035979i,-0.00049491-0.00049844i,-0.00084956-0.00063705i
0.00038242+0.0011753i,-0.00026541+0.00089931i,-9.8661e-05+0.00038228i,-0.00056703-0.0002544i,-0.0010221-3.5468e-06i,-0.00031087+0.0014868i,0.00094418+0.0021535i,0.0023707+0.0012657i,0.0020463+0.0004731i,0.0006277+0.00031346i,0.00018373+6.653e-06i,0.00017815-0.00018691i,-0.00027658-0.00024354i,-0.00078472-0.00018403i,-0.0013203+0.00042406i,-0.0012293-0.00017103i,-0.00038972-0.001157i,-0.00031427-0.00067202i,-0.00086244-0.00058647i,-0.00073564-0.0011691i,-0.00089706-0.0015634i,-0.00072765-0.0015222i,-0.00018628-0.00086839i
0.0029975+0.0020921i,0.0028515-0.0003863i,0.0042174-0.0017019i,0.0034755-0.0017284i,0.00042414-0.0015077i,-0.0016002-0.00033664i,-0.00032619+0.00031441i,0.0010341-0.00048117i,0.00049561-0.0010666i,0.00015465-0.00051617i,0.00011306-7.6076e-05i,-0.0013518-0.00022262i,-0.0016558-0.00046385i,-0.0014352-0.00061131i,-0.0015637-0.00066062i,-0.0013364-0.00038934i,-0.0012077+0.00014744i,-0.0012396+0.00035052i,-0.00054371+9.7131e-05i,0.00018827+0.00014698i,9.8736e-05-0.00063192i,-0.00034172-0.0010067i,2.6818e-05-5.2728e-05i
0.002703+0.0013708i,0.0033111-3.5845e-05i,0.0028813-0.000418i,0.0018026-2.9389e-05i,0.0017948-9.4054e-05i,0.0020661+0.00029704i,0.0021489+0.00077562i,0.0017729-0.00022481i,0.0015144-0.00063753i,0.0013905-0.00011457i,0.00098695-9.9429e-05i,0.0006838-1.3235e-05i,-0.00017867+0.00034052i,-0.00089328+0.00089581i,-0.00039535+0.0010304i,-0.0010717+0.00096635i,-0.001622+0.0011631i,-0.0015782+0.00090461i,-0.00073588+0.00044657i,0.00068142+0.00057378i,0.00070835+0.00054821i,-0.00035151+6.0203e-05i,-0.00028196+3.69e-05i
0.0010362+0.001706i,0.0015444+0.0017281i,0.0013817+0.0012842i,0.0011245+0.0011116i,0.00074249+0.0009158i,0.00024212+0.00066633i,9.7765e-05+0.00068329i,-5.2885e-05+0.00027816i,0.00062783-0.0006513i,0.0013383-0.00025663i,0.00093138-8.5843e-06i,0.00072723-0.00054145i,0.00033736-0.00049486i,-0.00029707-0.00053542i,-0.00052204-0.00056043i,-0.00049894-4.2906e-05i,-0.00071327+0.00011055i,-0.0005227+0.00036187i,-0.00062399+0.0008838i,-0.0013226+8.0794e-05i,-0.00095515-0.00092036i,-0.00014792-0.00027406i,0.0006588+0.00084937i
-1.8974e-06+0.00042724i,-0.00021537-0.0001343i,-0.00059043-0.00017699i,-0.00058619-0.0011586i,-0.00046579-0.00080516i,-0.00024456+0.00076212i,0.0011893+0.0011032i,0.002009+0.00024621i,0.0015089+0.00013986i,0.0013445+0.00052886i,0.0010288+0.00045986i,0.00040028-9.4396e-06i,0.00068118-0.00047849i,0.00099814-0.00094712i,0.00065524-0.00089457i,-0.00060093-0.00061274i,-0.0011323-0.00071578i,-0.0010828-0.0012778i,-0.0007005-0.0014039i,-0.00095825-0.00091474i,-0.0011265-0.00062286i,-0.00033961-8.5301e-05i,-0.00057997+0.00032147i
-0.001133+0.0006245i,-0.0004207-0.00020902i,0.00010446-0.00070296i,-0.00083062-5.7413e-05i,-0.0015933+0.00083303i,-0.0012003+0.00072655i,0.00024739+0.00090251i,0.0012596+0.00065616i,0.0014908-1.1447e-05i,0.0012156-0.00084328i,0.00038652-0.0013017i,0.00017357-0.0014946i,0.00015062-0.0014999i,-0.00012001-0.0010068i,-0.00032786-0.00058118i,-0.00043789-0.00070771i,-0.0005493-8.2259e-05i,-0.00092744+0.00040068i,-0.00096563-0.00011558i,-0.00020652-0.00057787i,-6.5816e-05-0.0010643i,-0.00030222-0.00098992i,0.00056326-0.00013349i
0.0017164-0.00074247i,0.0015132-0.00091218i,0.0021251-0.0024948i,0.0018387-0.0028155i,-0.0001013-0.00093731i,-0.00095286+0.0019399i,0.00016029+0.0020082i,0.001618+1.3036e-05i,0.0013276-0.0009192i,8.7626e-05-0.0010784i,-0.00093181-0.00092575i,-0.0010492-1.9186e-05i,-0.0013545-0.00012444i,-0.0015811-0.00019905i,-0.001974+0.00034306i,-0.0017117+0.00023604i,-0.00068263+0.00032838i,-0.00025241-5.3659e-05i,-0.0008578+0.0002649i,-0.00079191+0.00061516i,-0.00043986-0.00017456i,-0.00092026-0.00085589i,-0.00065545-0.0014708i
-0.0021988-0.0020455i,-0.0015765-0.00086461i,-0.0034963+0.00043282i,-0.0034871+0.0019201i,-0.001662+0.0031794i,0.00027527+0.0028915i,0.0019408+0.00086935i,0.0023724+0.00016471i,0.0010577+0.00049863i,-0.00063988+0.00079837i,-0.00093874+0.0012051i,-0.00014101+0.00073404i,-0.00067744+0.00017878i,-0.0014798+0.00075971i,-0.001573+0.00098887i,-0.0012557+0.00022002i,-0.00071042-0.00075913i,-0.0010459-0.0014911i,-0.0011837-0.00075274i,-0.00052607+0.00067652i,-4.8216e-05+0.00096339i,0.00038233+0.00099445i,0.00061592+0.0014007i
-0.00076468+0.0013874i,-0.00073578+0.00072438i,-0.00015846-0.00071193i,0.00011986-0.00072125i,0.00050656+0.00064659i,0.00060603+0.0011254i,0.00057813+0.00096342i,0.00094957+0.00078242i,0.0017228+0.00082247i,0.0016645+0.00058449i,0.0010157-0.00011306i,0.00071245-3.3716e-05i,0.00055571+0.00054338i,4.5549e-05+0.00038164i,-0.0004981-0.00043264i,-0.0012813-0.0010124i,-0.0019191-0.0010095i,-0.0020001-0.0010574i,-0.0013245-0.0011205i,-0.00022555-0.00046246i,-9.4636e-05+0.00069328i,-0.00081885+0.0013648i,-0.00029378+0.001376i
-0.0012843+0.0024747i,-0.0014389+0.0020218i,-0.00044197+0.0023891i,-0.00020309+0.002395i,-0.0012547+0.002109i,-0.001214+0.0023351i,-0.00012945+0.0020001i,0.0015088+0.0017087i,0.0016195+0.0015203i,0.0010659+0.001357i,0.00053328+0.0003952i,0.00017074-0.00031073i,0.00035657-0.00031544i,0.00043109-0.00058777i,0.00033634-0.00036447i,0.0003625-4.1637e-05i,0.00015367-0.00028945i,-0.00037557-0.00068838i,-0.00088651-0.00080214i,-0.00041421-0.00045969i,0.00019914-0.00067228i,0.00019667-0.0012856i,-1.4694e-05-0.00061788i
0.00011474+0.0021822i,0.0013674+0.0023857i,0.0017172+0.0012461i,0.0016991+0.00019869i,0.001234-0.00048587i,0.0016358+0.00013811i,0.0025386+0.00059202i,0.0020477+0.00056807i,0.0021431+0.00097811i,0.0015893+0.00054103i,0.00033367+1.4587e-05i,0.00032038-0.0003919i,0.00010548-0.00051955i,0.00022339-0.00041644i,0.000256-0.00023628i,-0.00029478+0.00048493i,-0.000465+0.00054578i,-0.0010995-0.00018443i,-0.00062549-0.00052207i,-0.0007887-0.00097341i,-0.0013475-0.0011447i,-0.00082206-0.00058817i,0.00018875-0.00018984i
0.00010671+0.0020174i,-0.00029658+0.0018806i,-2.8126e-05+0.0008535i,0.00035017-0.00030052i,0.0015377+0.0005307i,0.0020788+0.0014224i,0.0020058+0.0013719i,0.0027394-0.00011822i,0.0029974-0.0009079i,0.0018085-0.00037359i,0.00060648-0.00055675i,0.00018234-0.00053219i,0.00020576-0.00018335i,-0.00034172-0.00048783i,-0.00025531-0.0010014i,0.00062294-0.00069435i,0.00098527-0.00012898i,-0.00010405-0.0002577i,-0.0010561-0.00058886i,0.00020575-0.00050642i,0.00075899+5.7328e-05i,0.00014277+0.00069062i,0.00047064+0.00045868i
0.00067878+0.002208i,0.001872+0.0018502i,0.0029525+0.0019494i,0.0025127+0.0009267i,0.00079684+0.00019661i,0.00079043-0.0004052i,0.0010129-0.0014195i,0.00090798-0.0012818i,0.00097469-0.00051981i,0.00044196-0.00052001i,0.00043756-0.00039424i,0.00069122-0.00046393i,-0.00013267-0.00069885i,-0.0013659-0.00035062i,-0.0016309-0.00030418i,-0.0011014-0.0005911i,-0.00045083-0.00062413i,-0.00061006-0.00054621i,-0.0014424-0.00038952i,-0.0016104-0.00019615i,-0.00072058-0.00010978i,0.00051472+0.00075374i,0.0008734+0.0012847i
0.00090082+0.0022144i,0.00086953+0.0020284i,0.00052571+0.0019642i,-6.1771e-05+0.0014623i,7.0503e-05+0.00028951i,0.00059686+0.00088961i,0.0012153+0.0018515i,0.001993+0.00087009i,0.0022951-0.00076935i,0.0016819-0.001257i,0.000734-0.00054532i,0.00066897-0.00076228i,0.0013328-0.00060642i,0.00033329+0.00023218i,-0.00060146-0.00024659i,-0.00059992+4.7736e-05i,-0.00077966+0.0003063i,-0.00076052-0.00072919i,-0.00050375-0.00147i,-0.00012378-0.0012506i,0.00036288-0.00060543i,0.00019014-0.00048251i,-9.6887e-05-0.00097086i
2.3617e-05+0.0012802i,0.00047026+0.00081936i,0.00019249+0.00016243i,0.00044813-0.00048666i,0.0013802+0.00041633i,0.0010248+0.00054864i,0.00046071+0.00063735i,0.00076724+0.00019733i,0.00033915-0.00049988i,1.6193e-05-0.00030777i,0.00022968-0.0006426i,0.0002316-0.0011228i,0.00047545-0.0014574i,0.00026727-0.0013343i,-0.00052475-0.00073267i,0.00015618-0.00088226i,-5.7512e-05-0.00064445i,-0.00097624-0.00020685i,-0.0016688-0.00048617i,-0.0019157-0.00068545i,-0.001133-0.00062278i,0.00033863-2.9654e-05i,0.0008738-0.00010592i
-0.0013263+0.0029744i,-0.00061597+0.001836i,7.4592e-05+0.00098766i,0.00050412+0.00015332i,-5.652e-05-0.0001028i,0.00012216+0.00063665i,0.00126+0.00025789i,0.0014516-0.00034447i,0.0013923-0.00046827i,0.00042278+4.0604e-06i,-0.0011716+2.6197e-05i,-0.0013364-0.00079599i,-0.00043261-0.0012018i,-0.00061447-0.00072941i,-0.0013005+1.6045e-05i,-0.0017485-8.9409e-05i,-0.0013792-0.00092566i,-0.00056073-0.0010897i,0.00021628-0.00086585i,0.0011507-0.00031946i,0.0010206-0.00043243i,-0.00012284-0.0012502i,-0.00043712-0.0011963i
0.0012377+0.00080939i,0.0014972+0.0013049i,0.0017282+0.0020582i,0.0014937+0.0012971i,0.0012809-8.093e-05i,0.00091803+0.00054118i,0.0015761+0.0019765i,0.0018232+0.0018537i,0.00063351+0.0011391i,0.00018178+0.00043733i,-0.00013081+0.0002769i,-0.0010413-8.2292e-05i,-0.0010998-0.00092002i,-0.0012707-0.0015747i,-0.0016908-0.0010094i,-0.0011449-0.00087765i,-0.00051856-0.0011915i,-0.00092311-0.00074894i,-0.0006326-0.00026567i,0.00014673-0.0002702i,0.00022831-0.00032561i,0.00027123+0.00013514i,0.0004846+0.00097598i
0.00033224+2.821e-05i,0.0001674+0.00023529i,6.3142e-05-0.00030097i,-0.00090187-0.00013206i,-3.6317e-05+0.00089904i,0.001077+0.0012341i,0.0014725+0.00068557i,0.0021746+0.00062017i,0.0021666+0.00057605i,0.0023243+0.0005254i,0.0015521+0.0012039i,-2.6372e-05+0.0016506i,-0.0012257+0.00096989i,-0.0010308+0.00073108i,-0.00039387+0.0006165i,-0.00071619+5.0658e-05i,-0.00053697-0.00058587i,-0.00031422-0.00066215i,-0.00040138+3.7142e-05i,-0.00010775+0.00045564i,-0.00016353+0.00024732i,-0.0010095+0.00033321i,-0.00075214+0.00085138i
-8.992e-05+0.0019559i,0.00052753+0.0013909i,0.0017559+0.00037673i,0.00069374-0.00051557i,-0.0010173-0.00089485i,-0.001395+0.00060349i,0.00012087+0.0017941i,0.0015549+0.00027962i,0.0016409-0.0011073i,0.0016354-0.00078257i,0.0016556-0.00085332i,0.00079433-0.00043306i,0.00044653-0.00012061i,0.000119+0.00025404i,-0.0011394+0.00052623i,-0.0015544+0.00040348i,-0.0012139+0.00058431i,-0.00043348+0.00046207i,-0.00030408+0.00023426i,-0.0012631+0.00056242i,-0.00075031+0.00065397i,-0.0002003+0.00052027i,-0.00080089+0.00061724i
0.00025051-0.001468i,-2.9427e-06-0.0011729i,-0.0016139-0.0021231i,-0.0024559-0.0023777i,-0.0012734-0.001359i,2.2712e-05+2.7439e-05i,0.00034947+0.00065687i,0.00024105-0.00013804i,-2.1954e-05-0.00054403i,-0.00025793-0.00071771i,-0.00068438-0.00077378i,0.00028733-0.00066377i,0.0014656+0.00032997i,0.00085284+0.00070911i,0.00025288+2.1527e-05i,-0.0005608-0.0004408i,-0.0014037-0.00093601i,-0.0012839-0.00045894i,-0.00079208+0.00067873i,-0.00049283+0.00023787i,-0.00013957-0.00078996i,-0.00023135-0.00072705i,-0.00081487-0.00033492i
-0.00032314-0.0035244i,0.00020804-0.0032011i,-0.00062152-0.0027983i,-0.0011123-0.00026039i,-0.0021581+0.0033988i,-0.0017601+0.0037792i,0.00077912+0.0023747i,0.0021355+0.00093952i,0.0012936-0.00060326i,0.00022337-0.00033571i,-0.00051062-0.00020138i,-0.00066861-0.00087922i,-0.00022636-0.0010987i,-0.00027228-0.0007897i,0.00019243-0.00094921i,0.00038302-0.0012405i,-0.00055025-0.0010204i,-0.0005656-0.00060648i,-0.00065724-0.00080514i,-0.00093457-0.00024194i,-0.00062495+0.00051455i,0.00029575+0.00088265i,0.0011294+0.00029535i
-0.0033008+0.00028647i,-0.0018133-3.8989e-05i,-0.0021208+0.0015322i,-0.0030607+0.0018944i,-0.0027096-0.00036457i,-0.00022181-0.00014473i,0.0020269+0.00079103i,0.0019891+1.2088e-05i,0.00063218-0.00017647i,0.00020216+0.00035081i,-0.00019261+0.00032648i,-0.00056995-0.00043302i,-0.00064612-0.0011381i,-0.00059048-0.0015856i,0.00054998-0.0015786i,0.00054818-0.001183i,-7.1615e-05-0.00096571i,0.00025021-0.00081011i,0.00020984-0.00073663i,-8.4936e-05-0.00055472i,0.00027717-0.00033754i,0.00054873-0.00038052i,0.00077367-0.00077713i
0.0012627+0.0037071i,0.0023684+0.0022625i,0.0018236+0.0014535i,0.0007971+0.0009641i,0.0015765+0.00094104i,0.00089129+0.0013669i,-9.3896e-05+0.0014004i,0.0011388+0.00090163i,0.0012493+0.00081928i,-0.00010104+0.00040383i,-0.0017448-0.00040219i,-0.0026941-0.0011018i,-0.0021683-0.00046565i,-0.0021366-1.331e-05i,-0.00205+0.00019192i,-0.0013138+0.00055262i,-0.00084888+0.00024627i,-0.00064183-0.0001506i,-0.0010216-0.00027377i,-0.0015525+0.00023461i,-0.0011259+0.00055616i,-0.00040868+0.00067925i,-0.00066712+0.0011684i
-0.001437-0.00087352i,-0.0007444-0.0027938i,-0.00025934-0.0042868i,-0.00058774-0.0033382i,-0.0019888-0.00046426i,-0.00048429+0.00030942i,0.0019493-0.00025759i,0.0030106+0.00037007i,0.0023746+0.0008462i,0.0010063+0.0013543i,8.6977e-05+0.0012167i,-0.00040307+0.00099311i,-0.00073412+0.00079547i,-0.0013462+6.1833e-05i,-0.0017024-0.00028715i,-0.0015995-0.00073609i,-0.00077777-0.00089875i,-0.00031196-0.0010222i,-0.00084857-0.00091185i,-0.00072018-0.0010088i,-0.00055777-0.0012269i,-0.0010753+7.6193e-06i,-0.00083467+0.00076883i
-0.0014847-0.0010575i,-0.0012193-0.00073226i,-0.00096826+0.0003864i,-0.00015499+0.0019367i,0.00034158+0.0011799i,0.00043115+0.0019153i,0.0018271+0.0019779i,0.0025491+0.00038984i,0.0018562+9.6021e-05i,0.0018313+0.0011784i,0.0019956+0.0024056i,0.0013381+0.0019082i,0.0008128+0.0010053i,0.00083838+0.00066346i,0.00034503+0.00057292i,8.1478e-05+0.00035135i,-0.00039785+0.00032476i,-0.00098345+0.00030233i,-0.0011449-4.4798e-05i,-0.00087202-0.00015945i,2.8875e-05+0.00075033i,0.00089258+0.00091045i,0.00075821+9.3434e-05i
0.00073455+0.0018098i,0.0017737+0.0014151i,0.0024673+0.00077801i,0.0015026-0.00049289i,0.0010624-7.0779e-05i,0.00036363+0.00010811i,-0.00016474+0.00055204i,0.0011118+0.00081403i,0.0018223-0.00027958i,0.0013574-0.00085992i,0.00065054-0.0012809i,-0.00015412-0.0020659i,-0.00038529-0.0023567i,0.00049577-0.0012184i,0.00080385-0.00015882i,-0.00015722-0.0005551i,-0.00053448-0.0010768i,-0.00083546-0.00077633i,-0.0011211-9.4369e-05i,-0.0004723+9.0822e-05i,-0.00033607+5.2048e-05i,8.2349e-05-0.00017684i,0.00020822-0.00015843i
-0.002941-0.0015443i,-0.0037916-0.0016992i,-0.0040049-0.001182i,-0.003222+8.079e-05i,-0.0028732+0.0019799i,-0.00054553+0.0029434i,0.0016918+0.0013801i,0.0020029-0.00091201i,0.0016321-0.0018463i,0.0015211-0.0011764i,0.0016946-8.6647e-05i,0.001194-7.2872e-05i,0.0001963-0.00042942i,-0.00039012-0.00057909i,-0.001008-0.00061694i,-0.001264+0.00012195i,-0.00062399+0.0012841i,-0.00022216+0.0016628i,-0.00088523+0.0016733i,-0.00097675+0.0020209i,0.00012873+0.0018934i,0.00093174+0.0013708i,0.00064483+0.0014016i
0.00080755-0.0016368i,0.0013959-0.0030346i,0.0010568-0.0032733i,-0.00036612-0.002756i,-0.00044276-0.0030374i,-0.00079428-0.0014617i,1.971e-05+0.00067297i,0.0015659+0.00017807i,0.0011249-0.00077347i,-0.00061668-0.0012529i,-0.00193-0.0010461i,-0.0018784-0.00030274i,-0.0016762+0.00018239i,-0.0023806+0.0005476i,-0.0030573-0.0001277i,-0.0022229-0.00085493i,-0.0010266-0.00010147i,-0.0011497-7.0065e-05i,-0.0010885-0.00060687i,-0.00082929-0.00040366i,-0.0016732-0.00052363i,-0.0018133-0.0011665i,-0.0012694-0.0015424i
