-0.00020833+0.00041403i,0.00034017-0.0010238i,-0.001166-0.00086402i,-0.0028607-0.00025042i,-0.0026025-0.00053057i,-0.0015124-0.00024005i,-0.0011147+0.00061073i,-0.0001699+0.00051207i,0.00060522+0.00013515i,0.00034184-0.0005426i,9.4067e-05-0.0014924i,-7.7564e-05-0.0018733i,-0.00060487-0.0015002i,-0.0012047-0.0009572i,-0.00078024-0.00077219i,-0.00082082-0.00063985i,-0.0010093-0.00080609i,-0.00059446-0.00065756i,8.3481e-05+7.4266e-05i,0.0002434+0.00023304i,0.00025128+2.9759e-05i,-9.8796e-06-0.00048304i,-0.00038555-0.0010504i
0.00027577-0.0010205i,-0.0004718-0.0020812i,-0.0013326-0.00055144i,-0.0013137+0.00053684i,-0.00050966+7.9625e-05i,-0.00010722-0.0002969i,-0.00073008-0.0010244i,-0.00028394-0.00098106i,2.6623e-05-0.00030998i,-0.00091797-0.00030171i,-0.00090003-2.387e-05i,-7.5822e-05-9.4421e-05i,8.8772e-05-0.00055694i,-9.0213e-05-0.00018585i,-0.00053332-9.0107e-05i,-0.00031906-5.7891e-05i,0.0004389+0.0001487i,7.2664e-05+0.00048388i,-0.00012025+0.00046552i,0.00046769-0.00010753i,0.0004739-0.0005461i,0.00032557+0.0002024i,0.00073664+0.00097358i
0.0020953+0.00029335i,0.0023346+0.001004i,0.001189+0.00080612i,-0.0004991-0.00055772i,-0.0012481-0.0014752i,-0.0012957-0.0015573i,-0.0012986-0.0012947i,-0.0011753-0.0010855i,-0.0011567-0.0012976i,-0.00033744-0.00054068i,-0.00016141+0.00022393i,-0.00048524+0.00024672i,0.00015312-0.00018944i,0.00055699-0.00028333i,0.00059495-0.00016541i,0.00065796+8.7146e-05i,0.00081436+0.00052874i,0.0010438+0.00046856i,0.00068205+0.00031218i,-7.2455e-05+0.00035405i,-0.00074787+0.00037478i,-0.00017554+0.00055971i,0.00058824+0.00027857i
0.0016584-0.00048156i,0.0013049-0.00051521i,0.0009317-0.00021365i,0.00019981-6.3057e-05i,-0.00064639-0.0013124i,-0.0012755-0.0023946i,-0.00082373-0.00114i,0.00024351-0.00048i,0.00033377-0.0010912i,-0.0004567-0.0009503i,-0.00065648-0.00082604i,-0.00062705-0.00059073i,-0.00074453-0.00032787i,-0.00044214-0.00056551i,-0.00052206-0.00055203i,-0.00048631-0.00030683i,0.00015751-0.00022154i,0.00014061-0.00035306i,-0.00012507+0.0006522i,0.00051433+0.0014737i,0.00071552+0.00046349i,0.00040757-0.00073911i,0.00040035-0.00094279i
0.00047703-0.00046719i,-0.00042158-0.00096998i,-0.0014488-0.00089527i,-0.0023026-0.00038249i,-0.0022258-0.00064745i,-0.0012921-0.0010528i,-0.00064395-0.0014973i,-0.00028672-0.0014946i,-0.0011102-0.00061337i,-0.0014906+0.0003984i,-0.00085868+0.00065392i,-7.4185e-05+0.00058669i,0.00035267+0.00053149i,-3.7106e-05+0.00028522i,-0.00050068-0.00015581i,-0.00037632-0.00067533i,-1.8629e-05-0.00071831i,0.00034143-0.0001639i,0.00035163+0.0002453i,0.000321+4.1682e-05i,0.00014784-0.00080387i,0.00049749-0.00074373i,5.3478e-05-0.00089083i
0.000926-0.0021566i,0.0022493-0.0028822i,0.00067998-0.0032453i,-0.0014487-0.0023268i,-0.0018106-0.0022707i,-0.0012366-0.0021907i,-0.00064794-0.0014604i,-0.00015388-0.0012846i,-0.00063402-0.001663i,-0.00078733-0.0010371i,-0.000686+0.00025093i,-0.00035541-9.3985e-05i,-0.00039038-0.00047874i,-0.00068448-7.1876e-05i,-0.0007664-0.00024802i,-0.00081444-0.00068829i,-0.00056526-0.00033279i,-0.00022765+0.00020013i,-0.00053636+0.00024016i,-0.00029562+0.00013677i,-0.00020012+7.1304e-05i,-0.00068507+0.00025961i,-0.0001865-7.2887e-05i
0.0014488+0.00028734i,0.0023597+0.00085176i,0.00058397+0.00090795i,-0.00037461+0.0008249i,0.00024548+0.0002018i,-7.2051e-06-0.00034249i,-0.00055669-0.00087127i,-0.00013861-0.0015803i,-3.5437e-05-0.0016899i,-0.00079406-0.0018172i,-0.00022301-0.001666i,0.00041632-0.00050982i,0.00032274+0.00035618i,0.00014645+0.00037884i,-0.0002158-0.0001573i,0.00068194+1.2286e-06i,0.0010582+0.00025543i,0.00015106+4.2909e-05i,-0.00063038+0.00022807i,-0.00060109+0.00064726i,-0.00025896+0.0014206i,-0.00060117+0.0011476i,-0.0008918-0.00023455i
0.0020244-0.00032064i,0.0024585-0.00059657i,0.0017418-2.0422e-05i,-0.00028368+0.00074847i,-0.0021281+0.0014376i,-0.0020082+0.00051899i,-0.00029059-0.0009127i,0.00064504-0.0011185i,-0.00019974-0.0011193i,-0.00094102-0.0005051i,-0.00062827+0.00038012i,-0.00044388+0.00057468i,-0.00052313+5.6534e-05i,-0.00050059-0.00057909i,0.00025517+0.00015729i,0.00069538+0.00045595i,-0.00029305-0.00011215i,-0.00043176-0.00014706i,-0.00044847-0.00015697i,-0.0011067-0.00093687i,-0.0008629-0.00091616i,-0.00025252-0.00041893i,-0.00067212-0.00037481i
0.00024593-0.0013046i,6.0304e-05-0.0013911i,-0.0011903-0.0012842i,-0.0023428-0.0015548i,-0.002538-0.001269i,-0.0010289-0.00063908i,0.00056467-0.00037367i,0.00041083-0.0006946i,-0.00017014-0.00094377i,7.3082e-08-0.00048261i,0.00013543+0.00028712i,0.00050446-0.00016912i,0.0010166-0.00075944i,0.0011018-0.00024136i,0.00016798-0.00018306i,-0.00062501-3.6102e-05i,-0.00059794+0.0004472i,0.00076386-3.4082e-05i,0.0010482-0.00039806i,0.00027631-0.00052056i,0.00052105+4.0099e-06i,0.00069193+0.00024347i,3.8007e-05+0.00014373i
0.0010904-0.0010812i,0.0016963-0.00089092i,0.0012722+8.3053e-07i,0.001541+0.00036074i,0.001796-0.00067814i,0.00094589-0.0017333i,0.00036258-0.0019585i,-0.00032732-0.0011687i,-0.00057235-0.00050398i,-0.00050923-0.00019033i,-0.00041609-0.00048149i,2.2096e-05-0.00010509i,-0.00075518+0.00085827i,-0.00068856+0.00059659i,0.00041953-0.00050039i,-3.8778e-05-0.00080707i,8.1744e-05-0.00071585i,0.00084177-0.00068891i,0.00062495+0.00010174i,0.00010181+0.00095154i,-0.00020644+0.0013537i,1.621e-05+0.0013558i,0.00025789+0.0010512i
0.0015289+0.00042549i,0.00060388-8.4203e-05i,0.00021476-0.00022971i,-0.001335-0.0011391i,-0.0017926-0.0019606i,-0.0011308-0.0017239i,-0.0010295-0.0018894i,-0.00039213-0.0015186i,-0.00014504-0.0011751i,-0.00065677-0.00086153i,-0.00070715-0.00020156i,-1.4127e-06+0.00019001i,-0.00023139+0.00055582i,-0.00059232+0.00027505i,-0.00013981-0.00024459i,8.7885e-05+8.5638e-05i,0.00056286-0.00069306i,0.0007464-0.00075487i,0.00049826-6.7166e-05i,3.8019e-05+0.00077552i,-0.00013798+0.0018427i,0.0010469+0.0011249i,0.0016738+0.00049912i
0.0010323+0.0013347i,0.0019687+0.00055508i,0.0021324-0.00075181i,0.00058973-0.0016062i,-0.00019609-0.002225i,0.00037636-0.0025937i,0.00028805-0.0019308i,-0.00042733-0.00099719i,-0.00096351-0.00043902i,-0.0010044+0.00050111i,-0.00047962-2.0364e-05i,6.8573e-05-0.00079357i,0.00012751-0.00065681i,-0.00025081-0.00086818i,-0.00096759-0.00096467i,-0.0010662-0.00030204i,-0.00047021-0.00054034i,-0.00035905-3.163e-05i,-4.3197e-05+0.00035525i,0.00069871+0.00022515i,0.00029547+0.00083995i,7.3602e-05+0.0011029i,0.00022715+0.00072097i
0.0033551-0.0013733i,0.0028397-0.0011646i,0.001073-0.0010833i,-2.9026e-05-6.9318e-05i,-0.00039099+0.00020102i,-0.00081258-0.0002002i,-0.00034106-0.00069251i,0.00034086-0.0014011i,-0.00012159-0.0015129i,-0.00083231-0.0016081i,-0.00092714-0.00069136i,-0.00067108+0.00042292i,0.00015518+0.00080767i,0.0014808+0.0015801i,0.0013245+0.00092868i,0.0004097-0.00014788i,-2.8275e-07-0.00076568i,9.0939e-05-0.00023071i,0.00020249+0.00090455i,0.00023524+0.00072002i,-0.00059384+0.00011685i,-0.00078945+0.00014828i,-0.0002503+9.6935e-05i
-0.00024947-0.00022284i,4.5692e-05-0.00088246i,-0.0012509-0.00052181i,-0.0030358+4.9006e-05i,-0.003013-0.00048746i,-0.0013899-0.0007928i,-0.00036599-0.00032914i,-0.00055396-0.00032248i,-0.00029378-0.00059048i,0.0004005-0.00057263i,0.0003031+0.00028325i,5.8695e-05+0.00075214i,-0.00026405+9.542e-05i,-0.00087964-0.0005531i,-0.0016927-0.00017883i,-0.0016763+0.00027445i,-0.0013576-8.7725e-05i,-0.0011261-0.00096079i,-0.00051924-0.0012376i,-0.00011351-0.00022266i,0.00037748+0.00093739i,0.0013099+0.00032224i,0.00088721+8.6318e-05i
0.0015168-0.00070995i,0.0016539-0.0010705i,0.001293-0.0014262i,0.00039257-0.00051049i,-0.00046617-0.00040214i,-0.00049054-0.0016731i,-8.6899e-05-0.0015527i,0.00025295-0.00081396i,7.0388e-05-0.00077752i,-1.258e-05-0.0009702i,0.00019237-0.0010867i,-0.00039749-0.00059785i,-0.00086969+0.00013468i,-0.00036942+0.00030197i,-3.7055e-05+0.0001439i,-0.00022292-0.00040243i,9.1391e-05-0.00072108i,0.0008398-0.00026903i,0.000622+0.00044544i,0.00039152+0.00063141i,0.00069566+0.00054102i,0.00097054+0.00054245i,0.00085501+0.00037172i
0.0014666+0.0013536i,0.0014279+0.00042164i,0.0022571-0.00079021i,0.0020467-0.0015545i,-0.00014862-0.0022711i,-0.001096-0.0021198i,-0.00059886-0.0013436i,7.6558e-06-0.00068994i,0.00040426-0.00042619i,0.00025744-0.00034757i,-0.00029638-6.8553e-05i,-0.0001703-0.0001797i,0.00085972-0.00016519i,0.0011494+0.00024633i,0.00052702+0.00026692i,-1.9272e-05+0.00015192i,-0.00017259-6.2058e-05i,6.0362e-05-0.00039117i,0.00082323-0.00037468i,0.0012686-1.2678e-05i,0.0010081+0.00046548i,0.00034367+0.00075743i,-0.00027905+0.0008647i
0.00065385+0.0014723i,0.00044284+0.00049845i,9.2879e-05-0.00027998i,7.0416e-06-0.00056152i,-0.00032655-0.00057896i,-0.0011556-0.00061655i,-0.0012446-0.0006153i,-0.00032458-6.8022e-06i,1.003e-05-0.00014421i,1.7481e-05-0.00027423i,9.7325e-05-2.5223e-05i,-0.00064399-2.1832e-05i,-0.0013719+0.00023683i,-0.00053153+0.00032648i,0.00039231+0.00060456i,0.00077121+0.00026177i,0.00044922-3.9604e-05i,7.3457e-05+0.00053055i,3.8926e-05+6.49e-05i,4.0473e-07-0.00033954i,2.2758e-05+0.00027769i,0.00068112+0.00033838i,0.00072066+0.00032792i
0.001133-0.00025793i,0.0011917+0.00018647i,0.0010415+0.00036401i,-0.000238-0.00017348i,-0.00052713-0.0011234i,0.00032544-0.0016666i,0.00091141-0.001418i,7.8173e-05-0.00063281i,-0.00026369-0.00021628i,0.00021909+0.00017054i,-9.6846e-05+0.00072183i,0.00016331+0.00063107i,0.00018957+6.0406e-05i,-0.0005937-0.0001227i,1.0527e-06+2.6732e-05i,0.000368+0.00054555i,0.00026915-8.9402e-05i,-0.0003851-0.00086113i,-0.0007541-6.1373e-05i,0.00033787+0.00021811i,0.00029032-0.0002441i,0.00012421-5.3036e-05i,0.00054382+0.00080395i
0.0010985+0.0012126i,0.0014869-0.00021025i,0.00099549+0.00056219i,0.0005018+0.0010598i,0.00021401+0.00049168i,-0.00018597-0.00088417i,-0.00046007-0.001164i,2.0915e-05-0.00085691i,-6.7143e-05-0.0012026i,-0.00038144-0.0012987i,0.00038128-0.001266i,0.00056401-0.00074504i,-0.0004718-9.7693e-05i,-9.0247e-05-0.00049372i,0.00087206-0.00067409i,0.00078651-0.00049256i,0.0010451-0.00026226i,0.0011461+0.00029848i,0.00078315+0.00022047i,0.00036635-0.00035525i,0.00019862-0.00051594i,-0.00033945-0.00040043i,-0.00088041-0.00061782i
0.0016846+0.0010021i,0.0012071-0.00024351i,0.00043683-0.0005505i,0.00035938-0.00090337i,-0.00072784-0.00071804i,-0.00095713-0.00058968i,-0.00012925-0.0016273i,0.00032064-0.0015586i,-3.9681e-05-0.00032023i,-0.00040905+0.00038055i,-2.1446e-05+0.0010339i,-9.0445e-05+0.00053368i,-0.00032304-0.00031615i,-0.00034211+5.248e-05i,-6.4693e-05+0.00019865i,4.7381e-05+0.00012198i,-0.00014936+0.00044986i,-0.00014307+0.00071115i,-0.00053026+0.00079574i,-0.00011075+0.0011499i,0.00025741+0.00068517i,2.8041e-05-8.1474e-05i,0.00014279-0.00044686i
0.0022472+0.00055535i,0.0017474+0.00097983i,0.00040667+0.00052519i,-0.00030054-0.0007845i,-0.0008598-0.0016361i,-0.0011663-0.0014892i,-0.00080852-0.0014139i,-0.00026829-0.0016494i,0.00050763-0.0016937i,0.0011643-0.001595i,0.00068975-0.00077547i,0.0003055-0.00030131i,0.0001728-0.00042165i,-0.00064212-0.0012106i,-0.00025613-0.0011425i,0.0003208-0.00057705i,0.00025984-0.00034251i,1.2913e-05+0.0005089i,-0.00047267+0.00047391i,-0.00094348+8.1887e-05i,-0.0006422-0.00017179i,0.00038102-0.00014107i,0.00039673+0.00067634i
0.0007909+0.00082635i,0.00047185+0.00022176i,0.00045066-0.00051997i,0.00089137-0.00057687i,-3.2875e-05-0.001844i,-0.00073439-0.0029043i,-0.00011285-0.0021248i,9.8812e-05-0.0010008i,-0.00081037-0.00033161i,-0.0011185-0.0003287i,-0.00062391-0.00020359i,9.088e-05-0.00021991i,-7.0437e-05-0.0004196i,-0.00045826-0.00058821i,-0.00019825-0.00050831i,-0.00017369-0.00019831i,-0.0005445-0.00026575i,-0.00068373-0.00054003i,-0.00055328+0.00020106i,-0.00032366+0.00033498i,-0.0002625+0.00013751i,-0.00016011+0.00054771i,0.00040758+0.00051219i
0.00031233+0.00090906i,0.00030861+0.00020811i,-0.00083622-0.00022496i,-0.001746+0.00018502i,-0.00171-3.3019e-05i,-0.0012218-0.0012287i,-0.00072323-0.0020088i,-0.00040169-0.0013166i,-6.6331e-05-0.00011072i,0.00012739+9.2315e-06i,-0.00015393-0.00038212i,-0.00061598-0.00055998i,-0.00053595-0.00069379i,0.00017658-0.00028279i,0.00019456-0.00040125i,-0.00054552-0.00083231i,-0.0005524-0.00032665i,0.00034042-7.7784e-05i,0.00058397+0.0001031i,2.0732e-05+0.00081849i,-2.7659e-05+0.00069642i,-0.00017224-0.0003736i,-9.4986e-05-0.00090079i
0.0038067+8.6163e-05i,0.003787-0.0001543i,0.0024232-0.00057256i,0.0010566-0.0016399i,-0.00026508-0.0020604i,-0.00042217-0.0018946i,0.00012685-0.0019408i,-0.00035338-0.0017105i,-0.0010724-0.0008667i,-0.0011267+0.00011914i,-0.00030003+0.00081957i,-0.00010753+0.00095388i,-0.00096989+0.00026229i,-0.0013791+5.4496e-06i,-0.00073136-3.3413e-05i,6.9392e-05-0.00053821i,0.00016169-0.00067826i,1.4093e-06-0.00059557i,0.0002679-2.1685e-05i,0.00016614+1.0434e-06i,0.00013915+0.00032185i,0.0001523+0.00044687i,-0.00015027-0.00034802i
0.000605-0.00015834i,-7.4999e-06+0.00024511i,-0.00044448-0.00010774i,-0.00023281-0.00041046i,-0.00061005-0.00063121i,-0.00071065-0.0012104i,-0.0002054-0.00081609i,-4.1333e-05-0.00012054i,-0.00044215-1.0436e-05i,-0.00070749+0.00066832i,-0.00055726+0.00043614i,-0.00079059-0.00019143i,-0.00077356-0.00047691i,-8.5946e-05-0.00069682i,7.2307e-05-0.00069692i,-0.00028584-0.00066489i,-0.00052241+0.00032259i,-0.00057587+0.00037226i,-0.00018695-0.00015892i,0.00038412-0.00017122i,0.00018311-0.00018608i,-0.00062606-0.00063705i,-0.00038871-0.00017341i
0.0023621+0.00059291i,0.0009543+0.00030423i,5.6711e-05+6.2026e-05i,-0.00095965+0.0010961i,-0.0014232+0.0011451i,-0.00067482-0.00024647i,-9.0806e-05-0.00059641i,0.00030678-0.00087454i,0.00026068-0.00082684i,-0.0004472+0.00014239i,-0.0011949+0.00060628i,-0.0010558+3.4327e-05i,-0.0003509-0.00051391i,7.5383e-05-0.00079218i,0.00033179-0.0011054i,-5.513e-05-0.00049785i,0.00045842-7.675e-05i,0.0015238+0.0006773i,0.00063312+0.0010174i,-0.00057968+0.00055557i,-0.00053517-2.6841e-05i,0.000227+0.00022542i,0.00075095+0.00085882i
0.00059337-4.8701e-05i,0.00074625-0.00070658i,-4.015e-05-0.0014306i,-0.00027639-0.0015053i,0.00029605-0.0011023i,0.0011042-0.0011663i,0.00057419-0.0012262i,-0.00010913-0.0010966i,0.00040658-0.0012281i,0.00078852-0.00096341i,0.00053475-0.00039801i,-0.00025295+0.00030264i,-0.0010084-0.00011562i,-0.00056986-0.00085541i,0.00019975-0.00031575i,0.00044477-0.00010456i,0.00046768+1.0375e-06i,0.00099199+0.00034479i,0.00096256+0.00044194i,0.00037669+0.00080551i,-5.6292e-06+0.00095287i,0.00062859+0.00117i,0.00094152+0.001454i
-0.00077736+0.0017632i,7.2493e-05+0.00012045i,0.00030671+0.00023443i,0.00023537+0.00042902i,-0.00057161-0.00016819i,-0.00094699-0.0012567i,-0.0011861-0.0014788i,-0.0013695-0.0004747i,-0.00098841+0.00031719i,-0.00022524+0.00091002i,-0.00020211+0.0011098i,-0.00073683+8.0215e-05i,-0.00084299-0.00074303i,-0.00076374-0.00043407i,-0.00085462+2.5859e-05i,-0.00058381+0.00016983i,-0.0007409+0.00038071i,-0.00064911+0.00013215i,0.00012642+0.00019314i,0.00037506-0.00039942i,0.00027592-0.00077267i,-0.00028021-9.1898e-05i,0.00025874+0.00034104i
0.0027331-0.00069125i,0.0022961-0.0014402i,0.0012734-0.0025801i,6.7791e-05-0.002504i,-0.000618-0.0013868i,-0.0013353-0.00092504i,-0.0017398-0.00054268i,-0.0010161-0.00068633i,-0.00076527-0.0012963i,-0.00094822-0.00151i,-0.00051288-0.0013916i,0.00056735-0.0009326i,0.00075499-0.00039216i,0.00010022-0.00092439i,-0.00055117-0.0014432i,-0.00034201-0.0014358i,2.2795e-05-0.00089754i,0.0002263-0.00032948i,0.00042016-0.00015248i,0.00030915+4.1869e-05i,0.00020048+0.00016804i,0.00032316-0.00011801i,0.000703-0.00065695i
0.0017141+0.00092874i,0.00095785+0.00048495i,0.0002414-0.00039144i,-6.4984e-05-0.00010932i,-0.00017602+0.00011391i,-0.00077184-0.00025865i,-0.0011079-0.0011763i,-0.00034418-0.0016746i,-0.00017712-0.00097089i,-0.00047664-0.00046467i,-0.00031096-0.00038577i,-0.00054064-0.00048048i,-0.00078206-0.0010264i,-0.00016113-0.0016345i,0.00024034-0.0013883i,0.00018044-0.0010466i,0.00021652-0.0010352i,0.00023819-0.00050514i,0.00013913-0.00022099i,5.3846e-05-0.00030706i,0.00014425+0.00063017i,0.00020857+0.00081049i,0.00098123+0.00017219i
0.0021646+0.0019436i,0.0013946+0.00048001i,0.00071333+0.00037606i,0.00028396-8.5854e-05i,0.00041207-0.0014422i,-9.8466e-06-0.002315i,-0.00021944-0.0015619i,0.0002957-0.0011233i,0.00025956-0.0011861i,-0.00054593-0.00053992i,-0.00086697-8.2862e-05i,-0.00057837+8.1109e-05i,-0.00018522+0.00036068i,-0.00023484+0.00086343i,-0.00062981+0.00077206i,-0.00010526-0.00015991i,0.00044691-0.00026904i,0.00010119+0.00050456i,-0.00096008+0.00051099i,-0.00052455+0.00011735i,0.00048853+4.3397e-05i,0.00093233-0.00025468i,0.0010734-0.00052257i
-6.1398e-05+0.0018712i,-0.0010069+0.001133i,-0.00054306+0.00042401i,-0.00043346-5.9557e-05i,-0.00059544-0.00090601i,-0.00096818-0.0019307i,-0.00093287-0.0015997i,-0.00069914-0.00053839i,-0.00083841-0.00033176i,-0.00031007-0.00026337i,0.00047805-0.00012642i,0.00087183-0.00061103i,0.00034247-0.0011428i,-0.00023032-0.00095861i,0.00033536-0.00058568i,0.000682-0.00030127i,0.00034024-7.9612e-05i,0.00014133+6.0534e-05i,-6.5676e-05+0.0004044i,-1.4975e-05+0.00093334i,0.00042803+0.00093578i,0.00030251+0.00052821i,0.00042388+0.00022736i
