0.0020595-0.0010935i,0.0013602-0.0013615i,0.00034072-0.0032038i,-0.00080662-0.0037606i,-0.0017493-0.0025007i,-0.0023792+0.00022086i,-0.0011607+0.0016137i,0.00048917+0.002257i,0.0012167+0.0019907i,0.0016431+0.00065014i,0.0013175-0.00035366i,-2.8403e-05-0.00040316i,-0.00042993-5.6776e-06i,-0.00018862+0.00070897i,0.00016853+0.00086948i,0.00041536+0.00054441i,0.00040991-0.00013525i,0.00030289-0.00080733i,0.00063471-0.0004309i,0.00049165+0.0001228i,-0.00017098+0.00050194i,-0.00044804+0.00047427i,-0.0010021-2.565e-05i
-0.0012314-0.001649i,-0.0011492-0.0016448i,-0.0017312-0.00011474i,-0.002224+0.001521i,-0.0017646+0.0019819i,-0.00074434+0.0015451i,-0.00044449+0.00055982i,-0.00021222-0.00023203i,0.00026128-0.00092233i,0.00024621-0.0014045i,-0.00048639-0.0011567i,-0.00035637-0.00031008i,0.0004599-0.00066797i,0.00032762-0.00069657i,-2.6342e-05+0.00024938i,-0.00032427+0.00015243i,-0.00014032-0.0001219i,-7.7325e-05-0.00013848i,-0.000334-0.00018384i,-0.00027701-4.8729e-05i,8.9675e-05-0.00019455i,5.0095e-05-0.00019493i,-0.00028678+0.00045534i
-0.00014456+0.00030768i,0.0007916-0.00010905i,0.0012944-0.0010248i,0.00071574-0.0019043i,0.00034717-0.0015987i,8.2481e-05-0.0003834i,7.7412e-05+0.00013133i,0.00065737-0.00020666i,0.00029085-0.00056948i,-0.0011646-0.00097428i,-0.0014644-0.00066845i,-0.0010732-0.00050111i,-0.00068428-0.00071836i,-0.00020695-0.00066667i,0.00022952-0.00032983i,0.00071307-0.00015022i,0.00076457-0.00021029i,0.00010749-0.00047426i,-9.5094e-05-0.00048175i,0.00028921-0.0004032i,0.00017908-3.5544e-06i,-0.00028872+0.0003074i,-0.00022533+0.00029827i
0.0014153+0.00071385i,0.00058205+0.00057258i,0.00049603+0.001355i,0.00070348+0.0011994i,-0.00049405-5.2607e-05i,-0.0013105+1.0751e-05i,-0.00036121+0.00058747i,0.00072902+0.00068547i,0.00063476+0.00061029i,0.00017551-5.1497e-05i,-0.00029004-0.00013269i,-0.00037977+4.9412e-05i,-0.00014131+0.00016972i,-0.00030644+4.2734e-05i,-0.00039984-0.00068493i,-1.0521e-05-0.00039213i,0.00083026-0.00022482i,0.0011014-0.00042699i,0.00066967-0.00028978i,-3.8629e-05-0.00073908i,-0.00054416-0.00025947i,-0.00031133+0.00019558i,-2.6572e-05-0.00010775i
0.00032222-0.00039801i,0.00020992-0.00050936i,0.001033-0.0014215i,0.0013531-0.0014911i,0.00054428-0.00071243i,-0.00014327-0.00041459i,-0.00042656+0.00019345i,-0.00034074+0.00033041i,-9.7528e-06+0.00078i,0.00061748+0.00044465i,0.00034188-0.00061252i,-0.0003231-0.00085033i,-4.1555e-06-0.00031305i,0.00014135+0.00032773i,-0.00029215+0.0010448i,-0.00046235+6.3458e-05i,-0.00013657-0.0016607i,0.00029455-0.00097107i,0.00073022-0.00010122i,0.0010354+0.00039177i,0.00010719+0.00085727i,-0.00046665+0.00068722i,-0.00021687+0.00023209i
-0.00046592+0.00087701i,0.00053036+0.0015409i,0.0015086+0.0016605i,0.0013361+0.0012323i,0.00087287+6.4098e-05i,-0.00016737-0.00030489i,-0.00012028-0.00074181i,9.6014e-05-0.00086998i,-0.00013175-9.5766e-05i,0.00038894+0.00077707i,0.0010165+0.00023738i,0.00068756-0.00079926i,-0.00043724-0.00020631i,-0.00083925+0.00030705i,-0.00046957+0.0001661i,0.00040344-6.9061e-05i,0.00031738-4.7121e-05i,4.918e-05+0.00043729i,-5.6739e-05+0.00023078i,-0.00011847-0.00021179i,-0.00018035-0.00052906i,-0.00055356+0.00023254i,-0.00047933+0.00066308i
-0.0017849+0.00044709i,-0.0024397-0.00012503i,-0.00096573+0.00021263i,-0.00012343+0.00074247i,-0.00091115+0.00051491i,-0.00083883-0.00014479i,-0.00073434-0.0003155i,-0.00016731+7.9201e-05i,0.00019965+3.0082e-05i,0.00060716-0.00098139i,0.0010802-0.0012202i,0.00091148-0.00078174i,0.00026551-0.00017128i,-0.00032959-6.7857e-05i,-0.00059248-0.00014759i,-2.219e-05-0.00012368i,0.00056781+7.5815e-05i,0.00053941-0.00039921i,-0.00018356-0.0008969i,-0.00045554-0.0007373i,-0.000202-0.00018655i,-0.00028342-0.0004855i,-0.00049513-0.0008531i
0.00030708-0.0022109i,-0.00029687-0.0022056i,-0.0021477-0.0021273i,-0.0032532-0.00047553i,-0.0027758+0.00076954i,-0.00099273+0.00035588i,0.00049621-0.00070786i,0.00012243-0.0008184i,-0.0011126-0.00039233i,-0.0018181-0.00021517i,-0.0016423-8.222e-05i,-0.00030764-0.00016051i,0.00049626-0.00033298i,0.00036007-0.00032209i,0.00014195+9.4929e-05i,-0.00012272+0.00080643i,0.00025659+0.0006145i,0.00049489+2.1467e-05i,7.0569e-05+0.00017343i,-0.00010259+0.00020546i,9.3013e-05+0.00071877i,-0.0006308+0.00099717i,-0.0004522+0.00044683i
-0.0010537-0.0012871i,-0.001659-0.00067279i,-0.0013053+0.00016708i,-0.0014963+0.00023002i,-0.00076594+0.00012376i,0.00027391+0.00050732i,-0.00017917+0.0012679i,-0.00038367+0.0008316i,-0.00052903-0.00027697i,-0.0011389-0.00092264i,-0.0007779-0.00079237i,-0.00033644-0.00054123i,-0.00033066-0.00066773i,-0.00028122-0.00016171i,-0.00021329+0.0008439i,-9.9671e-05+0.00085804i,-0.00024921+0.00023001i,-0.00019743+7.8325e-05i,0.00013741+0.00039444i,0.0003358+0.00034199i,-0.00037093+0.00029164i,-0.00083349+0.00047401i,-0.00054428+0.00030028i
0.0011038+0.0011111i,0.00096229+0.00202i,0.0012958+0.000344i,0.0014806-0.00087678i,0.00042753-0.00040285i,-0.00042821-2.6089e-05i,-0.00022816+0.00015824i,0.00012524+4.5335e-05i,-0.00017192+0.00020503i,-0.00055312+0.00039939i,4.6441e-05+0.00034728i,1.4061e-05+0.00082681i,-0.0005272+0.0011033i,-0.00044511+0.00090538i,-0.00035515+0.00097801i,-0.00019165+0.0004147i,-0.00034692+0.00054513i,-0.00065182+0.00080081i,0.00011959-0.00025845i,0.00040185-0.00068718i,0.0003266-0.00046261i,0.00054557+0.00014993i,0.00049518+0.00089142i
0.0019317+0.0010348i,0.0023956+0.00068488i,0.002756-0.0011813i,0.003495-0.0021681i,0.002794-0.001974i,0.0011431-0.0018269i,0.00088279-0.0011544i,0.0010086+0.00024581i,0.00074907+0.0012538i,0.00023877+0.0018688i,0.00016264+0.0011192i,0.00044812+0.00053361i,5.1622e-05+0.00067584i,-0.00025786+0.00021102i,-0.00049527-7.1667e-05i,-0.00034658+3.9699e-05i,0.00035826+0.0003366i,0.00083779+0.00090722i,0.00041605+0.00044831i,1.4124e-05-0.00022841i,-0.00021115-0.00040501i,-0.00010569-0.00028525i,2.6319e-05-0.00025504i
