8.0326e-05+0.0010636i,0.00070351+0.00057323i,0.0013218-0.0001381i,0.0012301-0.00021577i,0.00069242+3.9715e-05i,9.164e-05-0.00017916i,-0.00018413+2.9086e-05i,-0.00038013-0.00025315i,-0.00023344-0.00049255i,0.00070733-0.00084736i,0.00089416-0.0013328i,-7.0541e-06-0.0010636i,-0.00083597-0.0009025i,-0.0013011-0.0007887i,-0.0011636-0.0002769i,-0.00053453-0.00030086i,-0.00037353-0.001024i,-0.00051527-0.0014392i,-0.00076857-0.00087126i,-0.00081353+0.00013603i,-0.00054247+0.00036909i,-0.00049008-0.00035118i,0.00029527-3.7804e-05i
-0.0015418+0.00061965i,-0.0019016+0.00075395i,-0.0022288+0.0019608i,-0.001456+0.0013641i,2.4785e-05+0.0010102i,0.0010857+0.000265i,0.0010606-0.00082569i,0.00085269-0.0002901i,0.00020134+0.00067994i,-2.7024e-05+0.00063662i,0.00076983+0.00010637i,0.0010124-0.000337i,0.00079958-0.0006167i,0.00035667-0.00054915i,0.00014508-0.00064121i,0.00067629-0.00033244i,0.0007794-1.8846e-05i,0.00064756-0.00047019i,0.00060001-0.0010775i,0.0001821-0.00080783i,0.00030047+0.00011338i,0.00071992+0.00061879i,0.00082572+0.00038002i
-0.0001173-0.00066818i,-0.00015674+0.00097758i,-0.00090683+0.0016065i,-0.0011402+0.00095204i,-0.001293+0.00066849i,-0.00086265-0.00063228i,2.9613e-05-0.0017447i,-0.0001508-0.001612i,9.0526e-05-0.00076952i,0.00029322-4.0642e-05i,0.00024538+4.5836e-05i,0.00062634+0.00053735i,0.00040195+0.000714i,-0.00018744+0.00027879i,0.00037927-0.00019102i,0.0013289-0.000913i,0.00066867-0.0009759i,-0.00079679-0.00039742i,-0.00059879-0.0010234i,0.00020259-0.0012508i,-0.00031733-0.0004813i,-0.00041194-0.00016549i,-0.0002565+0.00016719i
-0.00054369-0.0007413i,-0.0010941+0.00022089i,-0.0011876+0.0014441i,0.00052969+0.0018748i,0.0012755+0.0015276i,0.000707+0.00081649i,0.00056022+0.00062378i,0.00066547+0.00068983i,0.00048825+0.00032757i,0.00019059+3.5783e-05i,-0.00069393+0.00024823i,-0.0010914+0.00015592i,-3.2113e-05-0.00012026i,0.00016827-0.0003952i,0.00032296-0.00087965i,0.00093486-0.00078827i,0.00068654-0.00089468i,7.731e-05-0.00087928i,-1.1992e-05-0.00013315i,-0.00014816-0.0003498i,-0.00026835-0.00056419i,-3.5471e-05-0.00026554i,-0.0001899-0.00044186i
0.00092278-0.0010785i,0.00084694-0.00065244i,0.00020144-0.0011918i,-0.00059741-0.00060288i,-0.00029111+0.00062895i,5.6104e-05+0.00062713i,0.0007539-0.0003844i,0.00068235-0.00037295i,-0.00041302+1.8261e-05i,-0.00048203+0.00022351i,1.1022e-05+0.00035491i,0.00032547+0.00080753i,0.00038894+0.0007133i,-0.00032628-0.00016347i,0.00027262-0.0007589i,0.0010729-0.00034418i,0.00038686+2.9385e-05i,0.00017442+0.0007128i,0.00011867+0.00073779i,0.00014843-0.00084814i,-0.00053112-0.0013812i,-0.0010078-0.00058182i,-0.00030387+0.00037401i
0.00025056-0.00040216i,-0.00024537-0.00067486i,-0.0013286-0.0011232i,-0.0016726-0.00051187i,-0.0013744+4.3787e-05i,-0.00057598+7.9343e-05i,0.00027246-0.00057117i,0.00031269+3.5347e-05i,-0.00014285+0.00059046i,0.00029191+0.00017186i,8.691e-05-8.9908e-05i,-0.00045226-0.00039906i,-0.00037311+9.6013e-06i,-2.4612e-05+0.00031294i,-0.00014353+0.00048304i,0.00017493+0.00021957i,0.00023996-0.00050971i,-0.00019162-0.0011132i,0.00019505-0.00082679i,2.7927e-05+0.00014548i,0.00016415+0.00050768i,0.00025571+0.00035164i,0.00030581+0.00036182i
0.0016079-0.00051798i,0.0015754-0.0011181i,0.0013613-0.0013744i,0.00040902-0.0006397i,-0.0004615+0.00069809i,-0.00015711+0.00064769i,0.00047284-0.00035826i,0.0011767-0.00046567i,0.0013408-3.6135e-05i,0.00066864-0.00049564i,0.00019252-0.0007274i,0.00023301-0.00046709i,-0.00019566-0.00045196i,-0.00058765+0.00011577i,-0.00060208+0.00032889i,0.00015622+0.00036636i,0.0006521+0.00065923i,0.00021629+0.00044797i,-0.00060429-0.00044933i,-9.4564e-05-0.00075801i,0.00040337-0.00045384i,-0.00026832-0.0001655i,-0.00080713-0.00026703i
-7.0077e-05-0.00078982i,-0.0010145+8.5406e-05i,-0.0011245-0.00019394i,-0.00081302+0.00020443i,-0.00089281+0.00051527i,-0.0013867+0.00013579i,-0.0011241+2.2779e-05i,-0.00017591+0.00016273i,0.00090935-0.00041232i,0.00050621-0.00066189i,-0.00065224+0.00037749i,0.00014739+0.00062926i,0.00021036-0.00030223i,-0.00061173-0.00040664i,-0.00032699+0.00013765i,-0.00014481-0.0001913i,-0.0006653-0.0010499i,-0.00069603-0.0013164i,5.4386e-05-0.0007814i,1.4979e-05+0.00012523i,-0.00075867+5.0137e-05i,-0.00066882+6.3664e-05i,-0.00048776+0.00048187i
-0.0012644-0.00040649i,-0.00011361+0.00032761i,0.00035605+0.00022323i,0.00028949-3.9959e-05i,0.00019942+0.00058787i,0.00035697+0.000905i,0.00046022-1.8343e-05i,0.00045588-6.9101e-05i,0.00024163+0.00053932i,0.00037356+6.0389e-05i,0.00062685-0.00024345i,0.00040816-0.00046029i,6.4218e-05-0.00057464i,0.00016956-0.00043597i,0.00031811-0.00040807i,-0.00013325-0.00051348i,-0.00022955-0.00078275i,0.00072118-0.00057537i,0.00079916-0.00024193i,0.00014988+0.00034835i,0.00015789+0.00019266i,0.00024857-0.00086336i,0.00038764-0.0015915i
-0.00025377+0.00078479i,-0.00014655+0.0017073i,-5.9211e-05+0.0018207i,0.00028388+0.0010467i,0.00044567-0.00035136i,0.00034265-0.0013959i,0.00042909-0.00063446i,-0.00010589+0.00046189i,-0.00064193+0.00014926i,-0.00011025-0.00095415i,0.0002111-0.00065628i,0.00056475-0.00039256i,0.00034761-0.00045064i,1.0974e-05-0.00032223i,0.00016222-0.00094581i,0.00067495-0.0010428i,0.00033451-0.00086472i,-0.00048756-0.00045204i,-0.00062995+0.00040725i,-0.00039359+0.00014689i,7.3318e-05+0.00017889i,0.00062416+0.00022492i,0.00068829-7.9993e-05i
