-0.0011893+0.0014734i,-0.00039054+0.00031505i,-0.0013378-0.00051103i,-0.0024851+0.00038786i,-0.0019882+0.0013144i,-0.0005238-9.4583e-05i,0.00030623-0.00073544i,0.00054067+6.3853e-05i,0.0004278+0.00089542i,0.00057541+0.00081533i,0.0006286-0.00012259i,0.00073287-0.0007702i,0.00076786-0.00054768i,0.0011126-0.0001303i,0.0013755-0.00017639i,0.00072661-0.00028423i,-0.00020348-0.00035758i,-0.00056222-0.00020745i,-0.00082352-0.00051046i,-0.00022333-0.00097977i,0.00034394-0.00034779i,0.00013675-4.2525e-05i,-0.00026607-0.00030782i
-0.00010586-0.00040684i,0.0010301-6.7941e-05i,0.00078103+0.00059694i,0.00025579+0.0011051i,0.00020543+0.0011655i,0.0010517+2.9259e-05i,0.0010856-0.00055384i,0.00022441+0.00021484i,-6.7292e-05+0.00092937i,0.00025427+0.00070759i,0.00065755+0.00019572i,0.00030727-0.0002919i,0.00081265+0.00032461i,0.00114+0.00094444i,0.0010007-0.00019168i,0.00089828-0.0012438i,0.00089331-0.00097207i,0.0009825-0.00044641i,-0.00040312-0.00088979i,-0.0010715-0.0014041i,-0.00081858-0.0007267i,-0.00085495+0.00020046i,-0.00036978+0.0007054i
-0.0032687-0.00059916i,-0.0032141-0.00015529i,-0.003058+0.00036898i,-0.0017336+0.00097302i,0.00017495+0.0012717i,0.001461+0.00043032i,0.001183-0.00038812i,0.00050869-0.00080219i,-0.0002223-0.00028994i,-0.00033508+0.000298i,-6.6023e-06+0.00043923i,-0.00011963+0.00010718i,0.00014335+0.00027604i,0.00064849+0.0011709i,0.0010163-0.0001537i,0.00085454-0.0007103i,6.1599e-06-6.9887e-05i,-0.00056729-2.5237e-05i,-0.0011983-0.00036674i,-0.0014064-0.00069903i,-0.00070018-0.00037348i,0.00024569-5.4992e-05i,0.00096306-0.00023926i
0.00038987-0.0005581i,-0.00038508-0.0011946i,-0.0008113-0.0018216i,-0.00030981-0.0014491i,0.00045395-0.00042648i,0.00089924-0.00063892i,0.00093395-0.00085917i,0.00039253+0.00014992i,0.0003205+0.00042649i,0.00079663+0.0002047i,1.0015e-06+0.00048486i,-0.00044423-0.00015552i,0.000434-0.00054234i,0.00024319-2.4222e-06i,-0.00032676+0.00049453i,2.0263e-05+0.00066284i,0.00010401-9.6676e-06i,-0.00044008-0.00099234i,-0.00018729-0.00048893i,0.00018594+0.00027853i,0.00020843-7.9502e-05i,0.00036495-0.00033398i,0.00044396+0.0001115i
-0.00053653-0.0012006i,-0.0013962-0.00048112i,-0.0019424-0.00038136i,-0.00089492+0.0011372i,0.00060266+0.0010812i,0.00084951-0.0005138i,-0.00030957-0.00095759i,-0.00030111-0.00074092i,6.8283e-05-0.00071003i,-0.00060136-0.00072279i,-0.00078272-0.00018603i,7.7494e-05-4.614e-05i,0.00028548-0.00032462i,0.00029382-0.00033952i,0.00048948+8.2202e-07i,0.00051922+0.00033074i,0.0005824+0.00025061i,0.00058024+2.82e-05i,0.00094522-0.00019401i,0.00092789-0.00089677i,0.00037889-0.0012591i,0.00021198-0.00088889i,-0.00011304-0.00021733i
-0.00041213-0.0031633i,-0.0013351-0.0036445i,-0.0029201-0.0034472i,-0.0034881-0.0016037i,-0.0019271+9.4968e-05i,0.00015641+0.00040484i,0.001558+1.9391e-05i,0.0020969-7.6655e-05i,0.00096233-0.00022564i,-0.00083241-0.000132i,-0.001275+0.00035296i,-0.001025+0.0004113i,-0.00037788+0.00010511i,0.00050914+0.00021005i,0.00066362+0.00039124i,0.00012373+0.00045125i,-0.00015215+0.00041414i,3.2833e-05+0.00014447i,0.00041033-7.109e-05i,0.00051916+8.8423e-05i,0.00023501-0.00045486i,-0.0002109-0.00027612i,-9.2583e-05+0.0004623i
-0.00099493+0.00057281i,-0.00022164+0.0010909i,-0.00018056+0.0020433i,0.00096145+0.0021792i,0.0019265+0.0014028i,0.00163-0.00030516i,0.00072322-0.0011868i,0.0003806-0.00079542i,0.00043458+9.81e-05i,4.3828e-06+0.00071064i,-0.00025248+0.00071845i,-0.00021377+0.00069075i,-0.00047477+0.00035066i,-0.0001769-0.00064805i,0.00062536-0.00076609i,0.00058413-0.00068204i,5.0818e-06-0.00047131i,-0.00023757+0.00016362i,-6.4331e-05+0.00017864i,-0.00074105-4.6904e-06i,-0.0010748+0.00086i,-0.00058607+0.0012483i,-0.00056506+0.00038138i
-0.00018715-0.00022i,-8.2253e-05-0.0010085i,0.00020287-0.00021182i,0.00019261+7.0958e-05i,0.0008145-0.0008559i,0.0014315-0.0017557i,0.00067012-0.0016229i,-0.00030209-0.0004889i,-0.0004101+0.00036464i,-0.00028045+0.00047582i,0.00033583-0.00019009i,0.00045825-0.00053365i,0.0001757-0.00023013i,-8.2093e-07-0.00013136i,0.00072243+7.7188e-07i,0.0012226+0.00047169i,0.00073842+0.00015536i,-0.00039909-0.00051724i,-0.00074408-0.00083458i,-0.00073058-0.00059616i,-0.00077431+0.00013365i,-0.0007445+0.000552i,-0.00023351+0.00048731i
-0.00030067+0.0010345i,0.00078817+0.00066934i,0.0011443+0.00023149i,0.00084561-0.00025435i,0.00098838+0.00021683i,0.0011909+0.00041681i,0.001288-0.00023314i,0.00093978+0.00024557i,8.9492e-05+0.00086019i,-0.00019347+0.00041674i,-0.00058813+0.00034212i,-0.0011801+0.00013106i,-0.0012416-0.0008197i,-0.00012582-0.0016322i,-1.449e-05-0.0015403i,-0.00032714-0.00084913i,-0.00049929+0.00019679i,-0.0001878+0.00032018i,4.1291e-05-0.00028133i,-4.3929e-05-0.00019479i,0.00034985+0.00058702i,-4.9742e-05+0.00035557i,-0.00031004-0.00087774i
0.0014288+0.0012624i,0.0023137-0.00015925i,0.0032031-0.00083581i,0.0017351+5.4387e-05i,0.00038188+0.00043731i,0.0005987+6.192e-05i,0.00082274-0.00038885i,0.00050857+0.00010326i,0.00036588+3.7432e-05i,0.00024142-0.00065176i,-0.00012657-0.00015074i,-0.00013018+0.00057548i,-0.00035195+0.0007131i,-0.00011566+0.00022931i,0.0003882+0.00020618i,0.0002578+3.4167e-05i,1.3745e-05+0.00015723i,-0.00055592+0.00029698i,0.0001006+1.2715e-05i,0.001441+0.00015273i,0.001614-9.9078e-05i,0.00098137-0.00095327i,0.00043731-0.00087557i
0.00079736+0.0015774i,0.00024255+0.0001779i,0.00016853-0.00051457i,0.00047434+1.8164e-05i,0.00029823-5.6907e-05i,-0.00022327-0.00048333i,-0.00013852-0.00029976i,-9.9768e-05-0.0004511i,-0.00059465-0.00025839i,-0.00068992-8.8571e-05i,-0.00078358-0.00017129i,-0.00081706-5.1924e-05i,-0.0002805+0.00014672i,-0.00038398+0.0003292i,-0.001249+0.0002644i,-0.0013266-0.00072416i,-0.00096817-0.0012786i,-0.0011128-0.00090729i,-0.0010262-0.00028474i,-0.00032562-0.00014936i,0.00032218-0.00074126i,0.00040158-0.00018308i,1.2903e-05+0.0004018i
-0.00059715-0.00079058i,-0.00086446-0.00031673i,-0.00040842-0.00022508i,-0.00032294-0.00077615i,9.0803e-05-0.00063148i,0.00059859-3.7736e-05i,0.00063955-0.00054109i,5.7987e-05-0.00082695i,-0.0002127+7.4464e-05i,0.00012929-0.00016334i,0.00041142-0.00046168i,0.00029584+5.1601e-05i,-0.0004451-0.00032452i,-0.0002576-0.0013431i,-0.00021537-0.0014145i,-0.00074101-0.00076498i,-0.00045218-0.0005277i,-0.00011972-0.00070585i,-0.00020515-0.00057471i,-0.00056497-0.00029177i,-0.00042636-5.7794e-05i,0.00037399+0.00059799i,0.00040854+0.0012068i
0.0019825-0.00013189i,0.0018828-0.0011504i,0.0011818-0.0013365i,0.00094689-0.00067638i,0.00090362-0.0010047i,7.8192e-05-0.0013407i,-0.00052194-0.00086762i,-0.00019332-0.00072432i,0.00045813-0.00019405i,0.00040646+0.00034417i,-0.00087003+0.00038983i,-0.0019632+0.00080854i,-0.0013102+0.0012044i,-0.00012176+0.00094321i,-0.00044221+0.00043142i,-0.0007537+0.00011776i,-0.00076995-0.0003558i,-0.0004015-0.00084107i,0.00011615-0.00017278i,-1.8097e-05+0.00026959i,1.034e-05-0.0001524i,0.00045624-0.00016828i,0.0005452-0.00037342i
0.0013979+0.00030377i,0.0020177-0.00097831i,0.0022843-0.0018453i,0.0011848-0.0015259i,0.00066015-0.00059058i,0.00057945-3.217e-05i,9.6453e-05+0.00016051i,-0.00039059+0.000362i,-0.00045974+0.00088065i,-0.0006633+0.00098333i,-0.00014629+0.00093119i,0.00017012+0.0012836i,-0.00027677+0.00098027i,-0.00047648+0.0007531i,-0.00052346+0.0010581i,-0.00012615+0.00077493i,0.00071992-0.00053783i,0.00041048-0.00038255i,-0.00029991+0.00076647i,-0.0001887+0.0002452i,0.00010024-8.3438e-05i,-0.00067687-0.00060614i,-0.00078594-0.00055759i
0.00019538+0.00053675i,5.1978e-05-0.00031257i,-6.7301e-05-0.0010622i,0.00043313-0.0015425i,0.00043462-0.0011003i,-3.5918e-05-0.0013872i,0.00018815-0.0015452i,0.00068011-0.00047475i,0.00059639+0.0004712i,0.00030589+0.00014145i,-0.00073492-0.00028413i,-0.0013656-0.0004131i,-0.00054278-0.00068235i,0.00014316-0.00018751i,0.00018252+0.00024966i,-0.00028383+0.0004802i,0.00022401+4.5099e-05i,0.00084849-0.00033022i,0.00026786-0.00059414i,-8.8617e-05-0.0007934i,-0.00062988-6.0127e-06i,-0.00037725-2.724e-05i,9.3985e-05-0.00039001i
0.00014443-0.0008254i,0.00094894-0.00022878i,0.00019209-0.00019019i,-1.7292e-05+0.00030371i,0.00063063+0.00076543i,0.0013572-1.8982e-05i,0.00078164-0.00073973i,-1.4193e-05-0.00092695i,-7.8725e-05-4.5021e-05i,-0.00014718+0.00046488i,-0.00012669+0.00051557i,0.00050728+0.00079418i,0.00052766+0.00062093i,-5.5399e-05+0.00031267i,-0.00022572+0.00062915i,1.3377e-05+0.0007898i,-0.00016069+0.00050039i,0.00043742+0.00025607i,0.0014432+0.00036388i,0.0010543-1.1669e-05i,-0.00023592-0.00072442i,-0.00032127-0.00094741i,-0.00024093-0.00037494i
0.00024472+0.0013366i,-0.00063691+0.00063528i,-0.00033112-9.6697e-05i,0.0012009-0.00069296i,0.0010819-0.00021981i,0.00016378+0.00015009i,-0.0001796-0.00038784i,-0.00022673-0.0010141i,0.00029229-0.0011027i,0.00044602-0.00057778i,-0.00033118-0.00010289i,-0.00051643-0.00038718i,-0.00037412-2.8884e-05i,-0.00081911+0.00056852i,-0.0014289+6.4071e-05i,-0.0014307+0.00014597i,-0.00096757+0.00065176i,-0.00056622+0.00042235i,-0.0001118-0.00024122i,0.000243-0.00039063i,-0.00028572+0.0005823i,-0.00071214+0.0010654i,-0.00036578+0.00074075i
0.00053521-0.0015961i,-2.8994e-05-0.0014394i,-0.0012526-0.0018039i,-0.0019481-0.0016286i,-0.0015717-0.00070115i,-0.000666+0.00016382i,0.00011383-9.9246e-05i,4.1273e-05-0.00057438i,-5.1804e-05-0.00075258i,0.0004926-0.00040668i,0.00067595-0.00024687i,0.00020019-5.8276e-05i,0.0008057+0.0010178i,0.0011249+0.0014927i,0.00096796+0.0011105i,0.0014631+0.00038713i,0.0012799+0.00031133i,0.00034922+0.00036002i,6.6057e-05+0.00019681i,0.00086342-2.9216e-05i,0.0016264+0.00023345i,0.001443+0.00079945i,0.00057934+0.00029751i
0.0003517+0.0007403i,0.00074715+0.00078359i,0.0016116+0.00059573i,0.0019091+0.00011855i,0.000875-0.00045439i,2.6674e-05-0.0010607i,-0.00014999-0.0011383i,-0.00018682-0.00048443i,-0.00042196+0.0002504i,-0.00047455+0.00033248i,-0.00060329+0.00068631i,-0.00096769+0.0003794i,-0.00082975+0.00028586i,-0.00018457+0.00025758i,0.00021543-2.6367e-07i,-7.6457e-05-0.00031442i,-0.00026241-0.0010611i,1.6886e-05-0.0010349i,-0.00031862-0.00043355i,-0.00028274-0.00011588i,7.785e-05-0.00031023i,0.00031421-0.00016556i,0.00072683-0.00022124i
0.0022511-0.000488i,0.0017798-0.0015218i,0.00027416-0.001979i,-0.00063284-0.0020804i,-0.0013322-0.0013127i,-0.0014617-0.0011234i,-0.00082688-0.001301i,7.3096e-05-0.00016814i,0.00027243+0.00041965i,-0.00017404+0.00014665i,-4.3752e-05-0.00017997i,0.00036062-0.00011595i,0.00074633+0.00011111i,4.297e-05+0.00015786i,-0.00056883+0.00044485i,-0.00012606+0.00065164i,-0.00010855+0.0005447i,3.7872e-05+0.00054666i,0.00024438+0.00042859i,0.00023572-6.9437e-05i,0.00026172-8.6699e-06i,6.3023e-05+0.00016742i,-8.8165e-05+0.00011825i
0.0010185+0.0004197i,0.0019542-7.4417e-05i,0.0026725-0.00053704i,0.001711-0.0003636i,0.001185+6.251e-07i,0.0016235-0.00024554i,0.0014202-0.00047937i,0.00068063-0.00047522i,-0.0003124-0.00033305i,-0.00027565+0.00034468i,-7.3556e-05+0.00063408i,6.8141e-05+0.00024496i,3.6114e-05+0.00038358i,-0.00035833+0.001013i,-5.2057e-05+0.0010372i,0.00012622+0.00059546i,0.00037411-2.982e-05i,0.00088832-4.9002e-05i,0.00093781-0.00038045i,0.00077339-0.00057381i,-8.6408e-05-8.9793e-05i,-0.0008428-0.00096839i,-0.00055959-0.0014803i
0.0015642+0.00032191i,0.0015821+0.00080242i,0.00044243+0.00092886i,0.00043479+0.00062545i,0.00067603+0.00086749i,4.1736e-05+0.00049041i,-0.00020193-0.00031456i,0.00018145-0.00066203i,0.00030317-0.00042142i,0.00042178-0.00040885i,0.00042427-0.00029262i,0.00016118+0.0004166i,-0.0001973+3.8198e-06i,-0.00019481-0.00016115i,9.7264e-05+0.00037409i,0.00043912+7.5819e-05i,0.00010947-0.00026316i,3.2727e-05-0.00062836i,-0.00038941-0.00026776i,-0.00090492+0.00016776i,-0.00062195+0.00036834i,-0.00035292+0.00082626i,-0.00035139+0.0011654i
-0.0010669-0.00040358i,-0.00097674-0.00026164i,-0.00068629-0.00014555i,-0.00069567-5.7527e-05i,-0.0002843+0.00038915i,0.00047395+0.00024843i,0.00065331-0.00058947i,-0.00012496-0.0006772i,-0.00054457-0.00038339i,-0.00045773+0.00012833i,-0.00034811+0.00055741i,-0.00063451+0.00013998i,-0.0004714-0.00033831i,0.00047977-0.00031961i,0.0011595+0.00012882i,0.00080692+0.00026553i,6.0418e-05-0.0002136i,-0.00051083-0.00046495i,-0.00030924+0.0001547i,-0.00013629+0.00057689i,-0.00011923-0.00013563i,-0.00050468-0.00036267i,-0.00038782+2.4567e-05i
-0.00052059-0.00026523i,-0.0012384-0.00072275i,-0.0019231-0.0012237i,-0.001722-0.00053045i,-0.00094849+0.00041954i,0.00042975+0.00020529i,0.0009653-0.00025491i,0.0002957+5.7829e-05i,-0.00072609+0.00013465i,-0.00089853+8.5745e-05i,0.00045232+0.00011712i,0.0012301+0.00040418i,0.0013228+0.00036586i,0.0014254+0.00018272i,0.0017064+0.00021326i,0.0011935-0.00023802i,-4.728e-05-0.00026553i,-0.00047557+0.00014092i,-0.0010061+4.894e-05i,-0.0007626+0.00057229i,-0.00037184+0.0010956i,-0.00043193+0.0006362i,0.00013048+0.00051641i
-0.00026151-0.0012069i,0.00032132-0.0011246i,-0.00055088-0.0015533i,-0.0011917-8.2905e-05i,-0.00064577+0.0012156i,9.7357e-05+0.00067394i,0.00044824-6.6264e-05i,0.0010476-0.00090692i,0.00091865-0.0010765i,-0.00032938+0.00031411i,-0.00069002+0.0011069i,-1.8994e-05+0.001073i,0.00082076+0.0011132i,0.0010337+0.00067057i,0.00061621+0.0010393i,0.00052199+0.0013282i,0.0014884+0.00059074i,0.00098078+0.00045731i,0.00083415+0.00042936i,0.0010873-5.1325e-06i,0.00028318-6.2829e-05i,-7.0739e-05-0.00029264i,0.00039857-0.00016478i
-0.0013565+0.00014553i,-0.00088226-0.00026835i,-0.0011211+0.00046839i,-0.0013155+0.00041358i,-0.00037165+0.00039822i,0.00048022-0.0004979i,0.00087734-0.0012509i,0.00070969-0.00081814i,0.00080891-0.00039712i,0.001101+9.249e-05i,0.00011009+0.00084101i,-0.00039577+0.00065139i,-2.0763e-05+0.00020526i,-0.00025736-0.00046452i,-0.00038381-0.00072325i,3.0856e-05-7.4454e-05i,-5.4567e-05-0.00025764i,0.00012603+0.00015072i,0.00055957+0.00029245i,0.00025244-0.00023054i,-2.5374e-05+0.00018399i,0.00052685+0.00068171i,0.00067273+0.00072616i
0.0011818+3.0953e-05i,0.0017619-0.00062309i,0.0014765-0.00069219i,0.00094627-0.00086585i,0.001054-0.0010114i,0.0011607-0.0011363i,0.0014923-0.00040578i,0.00090141+9.1254e-06i,0.00076512-0.00043375i,0.000469-0.00031364i,-0.00033442-8.5159e-05i,-0.00032667+0.00070712i,-0.0002552+0.00077241i,-0.00023364+0.00044813i,0.00028981+0.00016967i,-1.021e-05-0.00054402i,6.5417e-05-0.00038346i,0.00049395+3.7942e-05i,-0.00022317-0.00033413i,-0.00027601-0.00065312i,0.00061009-0.00076666i,0.00041457-0.00050826i,-0.00020685-0.00013055i
9.4058e-05-0.00093032i,0.00049984-0.001568i,0.00087742-0.00026784i,-0.00019428+0.00065504i,-0.00061157-0.00014971i,-0.00034696-0.00021607i,0.00012134+0.00015576i,0.00033803+0.00042242i,-0.00025508+0.0011745i,-0.00084553+0.0009252i,-0.00079183+0.00022382i,0.00022004+0.00074413i,0.0012794+0.0016885i,0.0011347+0.00085169i,-0.0001757-0.00047978i,-0.00078031-0.00022133i,-0.00067863+0.00067554i,-0.00037556+0.00053003i,-0.0008851+0.00015948i,-0.00052575+0.00087911i,-1.9366e-05+0.0009023i,2.2487e-05-0.0001298i,0.00078922-0.00015657i
-0.00013582+0.0016544i,0.00065493+0.0017676i,-3.6808e-05+0.0020369i,-0.00012585+0.001679i,0.00041003+0.00047029i,0.0014215-0.00033191i,0.0017108-0.00030191i,0.00055536-4.0875e-05i,-0.00039832+0.00011709i,-0.00042908+0.0006439i,-0.00028326+0.00086848i,-0.00010541+6.2829e-06i,0.00048778-0.00034419i,0.0011037-0.00069699i,0.0011813-0.00091698i,0.00085324-0.00073204i,-1.5546e-05-0.00062363i,-0.00044841-0.0011717i,-0.00017335-0.001316i,9.5029e-05-0.0004807i,0.00032164+6.6487e-05i,0.00040834+9.4294e-05i,-0.00065476+0.00038422i
-0.0026034+0.00036986i,-0.0022483+0.0010121i,-0.0019859+0.0012308i,-0.0017766+0.0011903i,-0.00015532+0.00041818i,0.00098244-0.00066442i,0.00087366-0.0014354i,0.00099641-0.0010898i,0.00012018-3.5458e-05i,-0.00011671+0.00049884i,0.00018106+0.00062493i,-0.00041734+0.00035227i,-4.1963e-05+8.6803e-05i,0.00077464-3.7516e-05i,0.00069223+7.8118e-05i,0.00023688+9.3992e-05i,-0.00015905+0.00016367i,-7.6239e-05+0.00036059i,-0.00023164+7.9822e-05i,-0.00030028+0.00011974i,-0.00076823+0.00013666i,-0.00074892+0.00045205i,0.00032436+0.00030649i
0.0018385-0.0011182i,0.0011302-0.00087168i,0.00071899-0.00097871i,0.0015608-0.00038717i,0.0010686+0.00073309i,4.4198e-05+0.001213i,-2.9686e-05+0.00083979i,-0.00021168+9.1718e-05i,-0.00055296-0.00011765i,-0.00095182+0.00036414i,-0.0016954+0.00046226i,-0.0013866-0.00025675i,0.00030354-0.00036406i,0.00065245+0.00029018i,0.00012327+0.00068771i,0.00028028+0.0004519i,0.00095957-0.00028285i,0.00092809-0.00017776i,0.00029996+3.5602e-05i,0.000393-9.399e-05i,0.0001183+0.00010101i,-0.0003359-0.00036415i,-1.5517e-05-0.00072652i
0.000165+0.00030444i,-0.00021044-0.00032131i,-0.00031741-0.00015797i,-0.00073708-0.00025051i,-0.0008062-0.00095052i,0.00036476-0.00053929i,0.0010457-0.00010847i,0.00070393+0.00074591i,0.00022411+0.00098787i,-3.1237e-06-0.00029901i,-0.00022349-0.0010469i,-0.00041865-0.0010892i,-0.00069906-0.0012435i,-0.00092129-0.0012042i,-0.00045107-0.00052978i,0.00030848+0.00014728i,0.00050055+0.00025542i,0.00036724+0.00037736i,-0.00029038+0.00038492i,-0.0012064+0.00017841i,-0.00042352+1.8472e-05i,0.00030296+0.00027825i,0.00026528+0.00040797i
