-0.0058058-0.00011051i,-0.0048197+0.00057535i,-0.0050969+0.0020446i,-0.0036398+0.0028497i,-0.00088141+0.0025355i,-0.0003534+0.0016737i,-0.00052393+0.00038314i,-7.1739e-05+0.0001463i,-0.00065822+0.00045492i,-0.00051152+0.0013087i,-0.00043277+0.0016709i,0.00034736+0.00093632i,0.00067901-9.7591e-05i,-0.00054211-0.0013546i,-0.00118-0.0018367i,-0.00078051-0.0014888i,-0.0012651-0.00035935i,-0.0015965+4.2472e-05i,-0.00078549-0.00062998i,8.8534e-05-0.00096159i,0.00052989-0.00068764i,0.00025906-0.00060539i,-0.00063983-0.00012659i
0.00056774-0.00060618i,0.00094911-0.0013358i,0.00025335-0.0020019i,-0.00093813-0.0015829i,-0.000279-0.00072422i,-2.8078e-05-0.00070682i,-0.00090774-0.00056149i,-0.00061943+1.9361e-05i,0.00082317+0.00043027i,0.00034939+0.0010554i,-0.0005635+0.0011609i,-0.00024302+0.00090949i,0.00019309+0.0001323i,0.00044513-5.479e-05i,0.00074775+0.0007478i,0.00094537+0.0004225i,0.0003349-0.0003522i,-0.00086537-0.00028559i,-0.00062906-0.00073053i,0.00043852-0.00056027i,0.00077419-0.00044987i,0.00026775-0.00077517i,-0.00023167-0.00083727i
-0.0006576+0.0018122i,-0.00060215+0.0021766i,-0.00019139+0.0011255i,0.00016698+0.00020267i,0.00051251-5.6547e-05i,0.00073356+8.6162e-05i,7.5067e-05+0.00044588i,-6.4773e-05+0.00077371i,0.00074342+0.00094305i,0.00091094+0.00081571i,0.00043339+0.00044507i,-0.00018461+0.00032216i,-0.00022593+0.00011194i,0.00094865-0.00051866i,0.00099786-0.0002323i,-0.0003083+0.00038377i,-0.00034404+0.00034627i,0.00017052+0.00016953i,-0.00019746+0.00033584i,-0.00050962+0.000191i,-0.00029021-0.00013433i,-0.00050648+0.00018652i,-0.00063536-8.6221e-05i
0.00014072+0.00099045i,0.00042431+0.0006212i,0.001557+0.00073468i,0.0026059+6.6409e-05i,0.0019993-0.00093878i,0.00010919-0.0010624i,-8.5161e-05-0.00049173i,0.00023122+0.00047545i,0.00042295+0.00068636i,0.00011694+0.00037944i,-0.00029734+0.00092719i,0.00025401+0.00076784i,0.0001885+0.00065569i,-0.0010294+0.001491i,-0.00093408+0.00048327i,-0.0005085-0.00074265i,-0.00061011-0.00016069i,-0.00070465-0.00012289i,-0.00043494-0.0004282i,-0.0001459-0.00064387i,5.3926e-05-0.00046335i,0.00010091+0.00053048i,-0.0003205+0.00014206i
0.00064932-0.00022058i,0.00061829-7.4071e-05i,0.00077901+0.00096512i,0.0011027+0.00057866i,0.00084581-0.00026995i,2.9124e-05-6.5306e-06i,-0.00074247+0.00033575i,-0.00080823+0.00010486i,-0.00066619+0.00030681i,-0.00064998+0.00048638i,-0.00077134+0.00047921i,-0.00054416+0.00021109i,-0.00080374+0.00011567i,-0.0010997-7.144e-05i,-0.00037566-0.00066085i,0.00038101-0.0002463i,0.00098876+0.00065422i,0.00098623+0.00091345i,0.00013597+0.00027703i,-0.00015778-0.00024045i,0.00054372-0.0010535i,0.00067023-0.0013772i,0.00012477-0.00014327i
-0.0007036+0.00091221i,-0.0010024+0.00054486i,-0.0027214-0.00075962i,-0.0032955-0.0016234i,-0.0013607-0.0016268i,-0.00046437-0.000485i,-0.00070571+0.0012159i,-0.00052712+0.0010847i,-0.00049458+0.00048553i,4.21e-06+0.0010436i,0.00092407+0.00094167i,0.00088902+0.00027758i,0.00041202-0.00010016i,0.00011216+3.3763e-05i,0.00036738+0.00036177i,0.00023529-0.00042291i,0.00010697-0.00049652i,6.1887e-05+0.00027394i,-0.00011226+0.00036746i,-0.00011249+9.1286e-05i,-1.8728e-05-0.00014445i,0.00017545-0.00021017i,0.00041317-0.00066992i
0.00011336+0.0018224i,0.0007251+0.00062083i,0.00073921+0.00025986i,0.0002787-0.00022123i,0.00047431-0.00075719i,0.00036183-0.00027097i,0.00032597+0.00044336i,0.0003352+0.00068311i,0.00012504+0.00084708i,-0.0006514+0.0011626i,-0.00086782+0.00036992i,-0.00017582-1.397e-05i,0.00021687+0.00034306i,-0.00025453+0.00052653i,-0.00022206+0.00056307i,-0.00044395+0.00015097i,-0.00063232-0.00074682i,0.00019565-0.0010883i,0.00057795-0.00020979i,2.8427e-06+0.00018582i,-0.00056133+9.7939e-05i,0.00011798+0.00068026i,0.00053032+0.00070774i
-0.0011761-0.0013035i,-0.0017364-0.0011989i,-0.0021773-0.00085721i,-0.001504-0.00042187i,-0.00053111-0.00034835i,-0.00015884+0.00065059i,0.00034573+0.0009987i,0.00051678+0.00039142i,0.00044379-0.0001314i,0.00077005-7.5336e-05i,0.00060537+0.00098746i,0.00034957+0.0012083i,0.00035716+0.00041905i,0.00068307+0.00032655i,0.00037403+0.00062855i,0.00090377-0.00065607i,0.0018761-0.0013641i,0.0021128-0.0012984i,0.0008488-0.0016133i,-7.6985e-05-0.00061701i,-0.00039461+0.00045596i,-0.00077721+0.00051747i,-0.00063501+0.00046397i
0.0018474+0.00014974i,0.0016744-0.00092855i,0.0016912-0.00086582i,0.0025437-0.0017597i,0.0012038-0.002585i,-0.00091985-0.0020798i,-0.00081782-0.00073685i,-0.00042516+0.00060062i,-0.00045537+0.0011233i,-0.00045949+0.0011538i,-0.0007981+0.00079041i,-0.0011068-3.6589e-05i,-0.0010278-0.00016998i,-0.00033181+0.00062732i,0.00023387+0.0011878i,0.00011213+0.00045323i,-3.9669e-05+0.00030862i,5.1177e-05+0.00038671i,-0.00026597-0.00024693i,-0.001042-0.00037117i,-0.0011281-0.00031058i,-0.00060807-0.0001921i,-0.000262-0.00011067i
0.0016037+6.3216e-05i,0.0021966+0.00064105i,0.0013736+0.00024195i,0.00048632-0.0011557i,1.8612e-05-0.0018816i,2.3758e-05-0.00075813i,0.0001678-7.8156e-05i,0.00021242-0.00036013i,0.00029301-0.00035362i,-4.3245e-05-0.00063421i,4.1523e-05-4.6474e-06i,-0.00014977+0.00053204i,-0.00026484+0.00047782i,-5.1655e-05+0.00057439i,0.00067232+0.00072998i,0.0006648+0.00070264i,0.00030942-0.00043854i,0.00060336-0.0017087i,6.6131e-05-0.0007725i,-0.00039778+0.00013882i,-0.00092208-7.6606e-05i,-0.0014191+0.00014751i,-0.000991+0.00037644i
0.00077623-0.00073469i,0.00060326-0.00065034i,-0.00033542-0.00056067i,-0.001787-0.0005682i,-0.0023167-0.0014518i,-0.0013541-0.0013495i,-0.00046731-0.00017998i,-0.0002784+0.00076635i,-0.00051589+0.0013617i,-0.0011422+0.0011047i,-0.00091794+0.00091953i,-0.00044196+0.00059467i,-0.00049024+0.0002661i,-0.00070166+0.00062598i,-0.00088614+0.00061448i,-0.00017729-0.00020518i,0.00089162-0.00065326i,0.00098184+0.00017691i,3.3478e-05+0.00040613i,-0.00041534-0.00034439i,-0.0005602-0.00078149i,-0.00066766-0.00072679i,0.00010192-0.0006264i
