-0.0058058-0.00011051i,-0.0048197+0.00057535i,-0.0050969+0.0020446i,-0.0036398+0.0028497i,-0.00088141+0.0025355i,-0.0003534+0.0016737i,-0.00052393+0.00038314i,-7.1739e-05+0.0001463i,-0.00065822+0.00045492i,-0.00051152+0.0013087i,-0.00043277+0.0016709i,0.00034736+0.00093632i,0.00067901-9.7591e-05i,-0.00054211-0.0013546i,-0.00118-0.0018367i,-0.00078051-0.0014888i,-0.0012651-0.00035935i,-0.0015965+4.2472e-05i,-0.00078549-0.00062998i,8.8534e-05-0.00096159i,0.00052989-0.00068764i,0.00025906-0.00060539i,-0.00063983-0.00012659i
-0.0011631-0.0013883i,-0.00063617-0.0014139i,-0.00066319-0.0017903i,-0.00016355-0.0017873i,0.00095857-0.00077327i,0.0012588+0.00054229i,0.00088248+0.00098325i,0.0004149+0.00029334i,-0.00029271+0.00016508i,-0.00068962+0.00079536i,-2.8323e-05+0.00081301i,-5.1089e-05+0.00083284i,-0.00044347+0.00038825i,4.3918e-05+0.00033076i,-1.4052e-05+0.00042761i,-0.00022057+0.00010544i,-0.00033482+0.00059854i,-0.00051891+0.0008048i,-0.00027519-5.8947e-05i,0.00013691+4.9855e-05i,0.00063024-0.00019983i,0.00044207-0.00097824i,-0.00049416-0.00085656i
-0.0018114-0.00039703i,-0.001911+0.0016944i,-0.002019+0.0028184i,-0.0011069+0.0018282i,-9.2316e-05+0.00061238i,0.00023121-5.4222e-05i,4.5315e-05-0.00051487i,0.00058908-8.732e-05i,0.0002526+0.0002629i,-0.00074653-8.7573e-05i,-0.00095967+0.0001498i,-0.00070883+0.00032266i,-0.00057162+0.00013808i,-0.00076515+9.1236e-06i,-0.00066616+0.00047459i,-7.8455e-05+0.00032903i,0.00029084-3.9582e-05i,-0.00022229-0.00050289i,-0.00061819-0.00023773i,-0.00037573+3.5815e-06i,-0.00032269-0.00037931i,2.7182e-05-0.00018143i,0.0007279-0.00033739i
-0.0016751-0.00074647i,-0.0032794-0.00030687i,-0.0032917-0.00056825i,-0.0014112-0.00051899i,-0.00040236-0.00036371i,-0.00018799-0.00036552i,-7.3254e-06+0.00020381i,-0.0003463+0.00046695i,-0.00056857+0.00045324i,-0.00048182+0.00073285i,-0.00023302+0.00036517i,0.00020474-0.00028053i,0.00089197+3.9587e-05i,0.0012886+7.3999e-05i,0.00066579-0.00033794i,9.5486e-05+7.0037e-05i,0.00033388-0.00021944i,0.00044451-0.0011184i,0.00039898-0.00084154i,-0.00025746-0.00025501i,-0.00033419-0.00017458i,7.6063e-05-0.00017344i,0.00018765+0.00012899i
-0.0025278-0.00069735i,-0.0013148+1.4595e-05i,-0.00046379+0.00096468i,0.00014193+0.00072847i,0.00036705+0.00056102i,0.00059375-0.00016988i,-0.00015809-0.00094497i,-0.0010308-0.00050407i,-0.001359+0.00012743i,-0.001252+0.0010217i,-0.00078857+0.00101i,-0.00025581-7.4244e-05i,-0.00020418-0.00037095i,6.2564e-05+0.0003709i,-0.00024117+0.00023892i,-0.0015975-0.00058899i,-0.00109-0.00096347i,-2.6121e-05-0.00032844i,0.00048277+0.00088359i,0.00070784+0.00083953i,-6.6412e-05-0.0004542i,0.00025498-0.0010312i,0.0012394-0.00098006i
0.0013252-0.00050228i,0.0020169+0.0009276i,0.0030363+0.00060403i,0.0026359-0.0012922i,0.00054592-0.0023598i,-0.00026742-0.0019539i,-0.00046731-0.0011423i,-0.00013398+0.00012425i,-3.8204e-05+0.00093869i,-0.0010457+0.0010622i,-0.00088157+0.0011481i,0.00014776+0.00062324i,0.00078974+7.9307e-05i,0.00064132-8.1078e-05i,0.0001447-9.738e-05i,0.00026491+0.00028916i,-0.0003144+0.0012265i,-0.00075753+0.0010666i,8.2088e-05-0.00028761i,0.00048557-0.00050332i,0.00015218+0.00035391i,-0.00041472+0.00082563i,-0.00075454+0.0005038i
-0.00046359+0.00046372i,-7.5152e-05+0.00046676i,0.00015206+0.00078579i,2.8973e-05+0.0010054i,-0.00015648+0.00022669i,-0.00059788-0.00094087i,-0.0005684-0.00059476i,-0.0004564+6.7014e-05i,-0.00062921-0.00031406i,-0.0011401-0.00011788i,-0.0012125+0.00033643i,-0.00094872+0.00032858i,-0.00064856+0.00024807i,-0.00038443-4.6907e-05i,0.00020498-1.1589e-05i,0.00056302-0.0001127i,0.00058177+0.00025831i,6.2037e-05+0.00064234i,-0.00061842+0.00017916i,-0.00088779+1.3914e-05i,-0.00035417+0.00025634i,0.00012384+0.0001292i,0.00027586-0.00079095i
-1.4578e-05-0.0024678i,0.00060998-0.0033093i,-0.00050122-0.0037299i,-0.0011582-0.002899i,-0.0013336-0.0017452i,-0.00074323-0.00061612i,-3.3102e-05-0.00043242i,-0.00074543-0.00054478i,-0.0014914-0.00026241i,-0.0011288-0.00067502i,-0.00041823-0.00065747i,0.00042328-0.00032402i,0.00091085-0.00085515i,0.00045275-0.001057i,0.00021638-0.00067316i,0.00046784-0.00047998i,0.00013899-9.1084e-06i,4.5542e-05+0.00037484i,0.00049183+0.00025599i,0.0014699-0.00014007i,0.0014621-0.00047298i,0.00062165-0.00039779i,1.6337e-05-0.00030552i
0.00020978-0.00048545i,0.00034375+0.0014676i,0.00031998+0.0014878i,0.00036732+0.00099857i,-0.00032265+0.00062462i,-0.00051304+0.00026853i,-0.00040429+0.00035871i,-0.0006083-3.5513e-05i,-0.00050277-0.00018395i,-0.00057016-8.2267e-06i,-0.00048049+0.00034273i,-0.00057787+0.00035923i,-0.000862+0.00050273i,-0.0012978+0.00051096i,-0.0011924+0.00064703i,-0.00057639+0.0011158i,-0.00044527+0.00071132i,0.00035917+0.00035733i,0.00070033+0.00051553i,0.00062743-7.5813e-07i,0.00069093-0.00075732i,0.0011678-0.0012655i,0.001039-0.00095493i
-0.0010407-0.0016995i,-0.0027043-0.0025845i,-0.0038467-0.0028845i,-0.0032577-0.0022306i,-0.0025159-0.0018332i,-0.0016767-0.00068021i,-0.00027513+0.00024704i,0.0003682-0.00018867i,-0.0001872-0.0010333i,-0.00067933-0.00052081i,-0.00056231+0.00011162i,-0.00021914+0.000461i,-0.00017346+9.4239e-05i,6.1058e-05-0.000378i,0.00011101-0.0011914i,0.00010868-0.0013551i,-0.00049244-0.00077096i,-0.00039281-0.0011525i,0.00055979-0.00091586i,0.0012772-0.0006822i,0.0014472-0.00096577i,0.00029946-0.0010116i,-0.00022394-0.00050537i
-0.00044081-0.0012746i,-0.0010386-0.0010499i,-0.00098499-0.00057071i,0.00011017+8.0356e-05i,0.00015944+0.00037809i,-0.00035597+0.00098002i,-0.0004177+0.0013787i,-8.1917e-05+0.00077751i,0.00013422+0.0010891i,7.5756e-05+0.0012614i,0.00037828+0.00028165i,0.00030906-0.00094699i,-0.00017457-0.00079044i,-0.00014766-0.00017884i,0.00036774-4.963e-05i,0.00078157+6.5871e-05i,0.00079084-1.0901e-05i,0.00037445-4.6629e-05i,-0.00013694-3.9776e-05i,-0.00063158+0.00018586i,-0.00086575+9.5931e-05i,-0.0010687-0.00010141i,-0.00080626-0.00014701i
0.0001466+0.0019573i,-0.00048723+0.0015357i,-0.00045554+0.00068885i,0.00057993-0.00072886i,0.0015989-0.0020722i,0.0010163-0.0021967i,-0.00065959-0.0011015i,-0.00084515-0.00044743i,0.00048414+0.00014131i,0.00099942+0.0012827i,0.00029549+0.001466i,9.8949e-05+0.00078589i,-0.00032223+0.00072172i,-0.00068657+0.0012113i,5.9494e-05+0.00072625i,0.00052884+4.9336e-05i,-3.8301e-05-0.00036845i,0.00014674-0.00043212i,0.00094739-0.00071719i,0.00087266-0.0010591i,0.00050387-0.00079236i,0.00092266-0.00074712i,0.001024-0.00093493i
0.00017202+0.0012929i,0.0015249+0.0016327i,0.0023975+0.0015631i,0.0013423+0.0013273i,0.00012079-3.826e-05i,-0.00037472-0.0014147i,-0.00063619-0.00054988i,-2.3134e-05+0.00099446i,0.00072777+0.0011442i,-0.00038776+0.00041585i,-0.0012952+8.0554e-05i,-0.0012479+7.579e-05i,-0.00071797-0.00045178i,0.00048628-0.00093222i,0.0010268-0.00093553i,0.00057996-0.00046759i,-0.0001585-6.801e-05i,-0.0002901+0.00019211i,-0.00041864-0.00032108i,-0.00079486-0.00087074i,-0.0003397-0.00051398i,0.00031344-8.0585e-05i,0.00049257-0.00040646i
0.00029611-0.00034638i,0.00010907-0.00046984i,0.00072437-0.0007162i,0.00087646-0.0015511i,-0.00011426-0.0021159i,-0.00078685-0.001574i,-0.00074479-0.00053598i,-0.00057014+0.00055013i,-0.00092054+0.00085952i,-0.0008165+0.00073109i,-0.00053072+0.00078304i,-0.00057929+0.00050516i,-0.00028918+0.00015317i,-0.00024217+0.00049506i,2.2418e-05+0.00057731i,0.00018669+4.5016e-05i,-0.00088737-0.00027928i,-0.0011108-2.5464e-05i,-0.00012519-0.00017632i,0.00040494-0.0004123i,-0.00025406-0.00065644i,-0.00031031-9.3984e-05i,0.00010495+0.0010167i
-0.0019326+0.0009952i,-0.00057002+0.001983i,-0.00047364+0.0018779i,-6.3621e-05+9.1052e-06i,0.00077121-0.0013539i,0.0011922-0.0013867i,0.00030264-0.00037795i,-0.00055662-0.00015141i,-0.00065355+0.00037419i,-0.0011056+0.00062317i,-0.00066633+0.00062759i,0.00029874+0.00096256i,-0.0005492+0.00013048i,-0.0014957-0.00021368i,-0.00052854-0.00043252i,0.00039404-0.00053419i,0.00044549-0.00043338i,0.000194-0.00038808i,-8.5186e-05-0.0004141i,0.00022037-0.00014099i,-0.00032178+0.00018081i,-0.00080033-0.00010016i,-8.9434e-05-0.0003497i
7.1781e-05+0.0012992i,0.00076243+0.00061326i,0.0017592+0.00030493i,0.001503-0.00021131i,0.00087226-0.0011339i,0.00039906-0.001706i,-6.0975e-05-0.0015551i,-1.5513e-05-0.00011864i,-9.0958e-05+0.0011531i,-0.00047341+0.0011933i,-0.00054045+0.00093918i,-0.0005707+0.00097448i,-0.00044459+0.00034205i,-0.0004339-0.00060212i,-0.00048113-0.00073692i,-0.00033621-9.1561e-05i,-0.0005685+0.00024063i,-0.00079324+0.00027534i,-0.0001294+2.2352e-05i,0.0001828-0.00063945i,-0.00021132-0.00091307i,-0.00060662-0.00093228i,-0.00061145-0.00082433i
-0.0025319+0.0024387i,-0.00091968+0.0038339i,0.00051323+0.0051528i,0.00072805+0.0044116i,0.0010942+0.0018246i,0.0020924-0.00079168i,0.0011755-0.00092426i,-0.0006031-8.725e-05i,-0.0010321+0.00063804i,-0.00053171+0.00082861i,0.00015006+0.00027075i,-0.0001284-0.00039859i,-0.00050261-0.001161i,-0.0010461-0.00055321i,-0.00097795+0.00028711i,-0.00022094+0.00050172i,3.4015e-05+0.00023154i,-0.00026946-0.00073038i,-0.00017008-0.00096795i,0.00095235-0.00036821i,0.0010126+0.00020055i,0.00083124-0.00017379i,0.0008924-0.00062089i
0.00086921-0.0010789i,0.0013112-0.0026798i,0.00063017-0.0029726i,-0.0011245-0.00241i,-0.0013767-0.0017502i,-0.00075842-0.0010601i,6.908e-05-0.00097282i,0.00062286-0.00021513i,0.00027414+0.00023084i,-0.00033524+4.2671e-05i,-0.00040334-0.00041809i,-0.0005426-4.1641e-06i,-0.00054102-0.00026254i,-0.00012533-0.00093854i,0.00056882-0.00049136i,0.0010259+5.2561e-05i,0.00069023+0.00091426i,0.0004196+0.00052677i,8.7902e-05-0.0007092i,0.00017395-0.00090406i,0.00048421-0.00079842i,0.00019968-0.0003487i,-0.00017848+0.00036044i
-0.00052738+0.0018256i,-0.00017584+0.0015195i,0.0016404+0.001129i,0.0024439+0.00057597i,0.0017583-0.00087051i,0.0008067-0.00074358i,4.4979e-05+0.0005111i,-0.00030955+0.00052357i,-0.00030999+0.00086316i,-0.0012829+0.0014092i,-0.0010352+0.00044315i,0.00020186-0.00021399i,0.00060069+0.00018181i,0.0003738+0.00048835i,0.00040049+0.00041586i,0.00027849+0.00030569i,-0.00036561+3.7732e-05i,-0.00054531-3.3107e-05i,-0.00054301-0.0004002i,-0.00036959-0.00064882i,1.53e-06+3.6935e-05i,-0.0007268+0.00035283i,-0.0009081-1.6905e-05i
-0.001066-0.00075481i,-0.00059004-0.0010817i,-0.00085067-0.00095666i,-0.00080904-0.0004537i,-0.00060051-0.00047i,-4.5884e-05-0.0010957i,0.00050355-0.0012918i,0.00061543-0.00096066i,0.00045315-0.0003326i,-0.00047443+0.00039593i,-0.0015227+0.00067349i,-0.0013442+0.0004989i,-0.00028383-0.00013838i,0.00079103-0.00056008i,0.0012664-0.00046664i,0.0014489-0.0010023i,0.00091593-0.001086i,0.00046861-0.00081335i,0.00080137-0.00072643i,0.001269-0.00056899i,0.00067187-0.00068728i,9.0465e-05-0.0004177i,-0.00017104-0.00038712i
-0.0021006-0.00017897i,-0.0023038+0.00060433i,-0.0022637+0.0011149i,-0.0013918+0.0015722i,-0.00090155+0.0012969i,-0.00097656+0.00055783i,-0.00051714-2.8138e-06i,-0.00038823+0.00018246i,-0.000706+0.00055669i,-0.0015216+0.00067893i,-0.0018231+0.0012114i,-0.00089153+0.001448i,-0.00074361+0.00098249i,-0.00028025+0.00034602i,0.00017998+2.9449e-05i,0.0004973-0.0003005i,0.00034188-0.00061328i,0.00029569-0.00086175i,0.00027223-0.0015113i,-0.00072255-0.0021205i,-0.00032672-0.0012259i,0.0012033-0.00053192i,0.001516-0.00083511i
-0.00033309-0.0015773i,-3.4639e-05-0.00091925i,-0.0010131-5.9315e-05i,-0.0015808+0.00066642i,-0.00025836+0.00064232i,0.00021361+0.00038721i,-0.0009588+0.00015251i,-0.0013122-0.00018978i,-0.0011147-9.1093e-05i,-0.0012256+0.000631i,-0.0014899+0.00033908i,-0.0012351-0.00048237i,-0.00081934-0.001152i,-0.00066414-0.0014569i,-0.00072268-0.001247i,-0.00025556-0.0010704i,0.00056136-0.0013407i,0.00050452-0.0011889i,0.00060024-0.00053626i,0.0010859+0.00013332i,0.00054837+0.00049855i,0.00010783+0.00021832i,-0.00097966-0.0002602i
-0.00079011-0.00062431i,-0.00080828+5.4188e-05i,-0.0010636-0.0005788i,0.00045229-0.001134i,0.00018159-0.00058188i,-0.0005231-0.00016277i,-0.00045895+0.00078449i,-0.00085221+0.00091396i,-0.00084877+0.00052053i,-0.00053213+0.00061822i,6.3145e-05+0.0004118i,0.00088337+0.0004519i,0.00034204+0.00026361i,-0.00020092-0.00021144i,-0.00047635-0.00017974i,-0.001484-0.0005104i,-0.001023-3.2029e-05i,3.0641e-06+0.00070843i,-0.00040414+0.00028567i,-0.00042805-0.00043862i,0.00081784-0.00057424i,0.00088045-0.00050254i,-0.00012003-0.00080186i
0.00039907-0.0019145i,-0.00078247-0.0031151i,-0.0010479-0.0032692i,-0.00107-0.0012783i,-0.0016214+0.00028556i,-0.0018299+0.00040602i,-0.00098416+0.00041011i,-0.00051802+0.001088i,-0.00072155+0.00037544i,-0.0011447+0.00051023i,-0.0012473+0.001251i,-0.00029186+0.0004321i,0.00011893+0.00046921i,0.00021294+0.00095996i,0.00043603+0.00024446i,0.00019428-0.00033433i,0.00028771+0.00049194i,-8.9598e-06-2.7978e-05i,2.8619e-05-0.0008657i,-4.8643e-05-0.00082563i,-0.00025627-0.00097254i,-8.3741e-05-0.00081516i,0.0010056-0.0004082i
-0.0016035+7.1999e-05i,-0.00095151+0.0012653i,-0.00010289+0.0013933i,7.9798e-05+0.00063817i,0.00020218+0.00017472i,-5.8105e-06+0.00018727i,-0.00061168+0.0002718i,0.00015553+0.00041539i,0.00016114+0.0010789i,-0.00038835+0.00093043i,-0.00020118+0.00084937i,0.00026561+0.001107i,-3.1035e-05+0.0017035i,-0.00013418+0.0015634i,0.00033743+0.00050281i,0.00012881+2.6324e-05i,-0.00044556-0.00026535i,-0.0011538+0.00034603i,-0.00077015+0.00074995i,-3.361e-05-8.5577e-05i,0.00018669-0.00063175i,-0.00019298-8.7302e-05i,-0.00030292-0.00016115i
0.0020474+0.00025098i,0.0020621-0.00015773i,0.0020468-0.0010179i,0.0022363-0.0025815i,0.0017848-0.0035201i,0.00043619-0.0033151i,0.00047426-0.0014485i,0.00046708+0.00030751i,0.00067899+0.0003037i,0.00052815-0.00017267i,-0.00055503-0.0003636i,-0.00090306-0.00034382i,-0.0005082-6.8919e-06i,-0.00082394+0.00060113i,-0.0010074+0.00075477i,-0.00059321+0.00062212i,-0.00048304+0.00015576i,-0.00027803+8.8497e-05i,-0.0002176+0.00084627i,-0.00052526+0.00086807i,-0.00056117+7.7007e-05i,-0.00022584+6.1968e-05i,9.521e-07+0.00025529i
-0.00086736+0.0014676i,-0.00015841+0.0022476i,0.00011209+0.0018083i,0.0012725+0.0011509i,0.0021485+0.00029221i,0.0024971-0.00054585i,0.0012557-0.00044346i,-0.00015886+0.0004057i,-0.00014948+0.00090671i,-0.00061958+0.00073995i,-0.0017877+5.9994e-05i,-0.0013995-0.0010699i,-7.0301e-05-0.0011164i,0.00058028-0.00014205i,0.0010514+0.00057678i,0.00047003+0.00014706i,0.00027152-0.00055476i,0.00087499-0.00022815i,0.00072584+4.7651e-05i,0.00050291-2.9573e-05i,0.00061666-0.00064471i,0.00071061-0.0010995i,0.00052668-0.00070747i
-0.00017395-0.0018934i,-0.00061784-0.0018928i,-0.0015888-0.0027154i,-0.0019217-0.0035761i,-0.0015214-0.0027952i,-0.001272-0.00032925i,-0.001282+0.00079094i,-0.00058581+0.00063337i,0.00045387+0.00055014i,-8.9829e-05+0.00028693i,-0.0010762+0.00021991i,-0.0009911+0.00049358i,0.00037743+0.00083801i,0.0010418+0.00062145i,0.00075682+3.7738e-05i,-0.00012622-0.00056884i,-0.00012907-0.00098891i,-3.0837e-05-0.00084861i,0.00011101-3.9956e-05i,0.0010709+0.00033404i,0.0017428+0.00010715i,0.0018527-0.00057708i,0.001302-0.00043275i
0.0010795-0.0018085i,7.9088e-05-0.001683i,0.00042168-0.0013535i,0.00058975-0.00085985i,-0.00098463-0.00073574i,-0.0016542-0.00042861i,-0.00078018+0.0001463i,0.00022335-6.7394e-05i,0.00069977-0.0006242i,0.00022803-0.00054803i,-0.00050401+0.00025215i,-0.00077123+0.00056409i,-0.00054642+0.0004893i,0.00036303+0.00038838i,0.00060073-0.00017913i,0.00038958-0.00041284i,1.1681e-06-0.00010491i,-0.00056064-0.00024837i,0.00021913-0.00027889i,0.00054731+0.00016695i,0.00039325-5.9873e-05i,0.00040245-0.00048075i,-9.6041e-05+0.00050049i
-0.00094508-0.00019255i,0.00042263+0.00050166i,0.0014651+0.00083804i,0.0020783-0.00012898i,0.0022178-0.0010245i,0.001567-0.00098688i,0.00061931-0.00034557i,-7.0125e-05+5.3742e-05i,-0.00044938+0.00049085i,-0.00034668+0.00089658i,-0.0011005+0.0010911i,-0.001941+0.00077365i,-0.0018071+0.00065403i,-0.00083902+0.00055945i,-0.00069242-5.2757e-05i,-0.00041587-0.00012044i,-0.00017078-0.00011657i,-0.00020584-0.00033246i,0.00016483-0.00026543i,-4.4839e-06-0.00053606i,7.5263e-05-0.00096908i,0.00020374-0.0003537i,-5.9836e-05+0.00062965i
-0.00037047+0.0007489i,0.00068759+0.0016172i,0.0012687+0.0011018i,0.00095023+0.000393i,0.00054759+4.8805e-05i,0.00057583-0.00050504i,0.00031789-0.00016722i,-0.00075811+0.00095118i,-0.0016995+0.0011486i,-0.0012458+0.00093051i,-7.3569e-05+0.00067197i,0.0004331+0.00061654i,0.00045272+7.2459e-06i,0.00061335-0.00061678i,0.00043697-5.821e-05i,6.477e-05+0.00025523i,-0.0002947+0.00030515i,-0.00068488+0.00035516i,-0.00067342+0.00024607i,-0.00016559+0.00034581i,-9.908e-05+0.00017821i,-0.00020184-0.00028026i,-0.0011024-0.00070952i
-0.00038263+0.001206i,4.9253e-05-0.0004578i,-0.00017398-0.0012252i,0.00024331-0.0023968i,0.0015863-0.0036605i,0.00055701-0.0036092i,-0.0012654-0.0019664i,-0.0015897-0.00043647i,-0.0012716+0.0003848i,-0.0012879+0.00077885i,-0.0014838-0.0003136i,-0.00038743-0.0014741i,0.00014811-0.00078456i,-0.00039982+0.00083862i,5.1251e-06+0.0015765i,0.00080271+0.00082422i,0.0013525+0.00034404i,0.0011737+0.00070055i,0.0003355-1.5578e-05i,-0.00014502-0.00089112i,-0.0010014-0.00094214i,-0.001006-0.00047089i,-8.809e-05-0.00024231i
0.00036821+7.6384e-05i,0.0011824-0.00085932i,0.0021461-0.0017453i,0.002153-0.0019302i,0.0015022-0.0018386i,0.0006866-0.001376i,-0.00018961-0.0013907i,5.3968e-05-0.0016808i,0.00029216-0.0012389i,0.00023326-0.00073178i,-0.00041883-8.5505e-06i,-0.00065583+0.00046282i,-0.00031486+0.00048088i,2.823e-05+0.00013757i,0.00027818+2.8935e-05i,0.00036529-0.00014784i,0.00021124+0.00019434i,0.00086513+0.00071021i,0.0012092+0.00064218i,0.000357-8.696e-05i,0.00039465-0.00068507i,0.0010156-0.0010183i,0.00090928-0.0011041i
0.0013766+0.0010357i,0.0012923+0.0011487i,0.0013866+0.00026291i,0.0013273-0.0010699i,0.00081839-0.0015315i,-0.00016509-0.0016751i,-0.00058606-0.0010506i,-0.00032564+0.00020364i,-0.00063803+0.00061973i,-0.00076425+0.00088243i,-0.00088043+0.00097122i,-0.0012791+0.0007018i,-0.0011348+0.00041757i,-0.00051007+0.00025555i,0.00061622-0.00014214i,0.00060425+0.00013677i,0.00054184+0.00089982i,0.00098826+0.00032244i,0.0007603+0.00026347i,0.00058298+0.00027775i,-0.00022178+5.4766e-05i,-0.00085175-2.01e-05i,-8.5899e-05-0.00049617i
-0.00055473+0.00067472i,-0.0010003+0.00059792i,-0.0007006+0.00034428i,0.00046405-0.00017003i,0.00067795-0.00088357i,0.00042009-0.0011775i,0.00054279-0.00060262i,3.9119e-05-0.0001139i,-0.0004784+0.00056519i,-0.00096342+0.0006173i,-0.001127+0.00019709i,-0.0015781-0.00026756i,-0.00156-0.00080586i,-0.0012052-0.00046068i,-0.0002361+2.4828e-05i,0.00084173-7.393e-05i,-7.2294e-05-0.00028629i,-0.0015847-0.00060863i,-0.00087207-0.00030019i,0.00032278+0.00011256i,0.00018755-4.1806e-05i,2.1084e-05-0.00073619i,0.00028996-0.00058319i
4.0894e-05-0.001451i,-0.00068439-0.0030934i,-0.00044871-0.004123i,-0.00016972-0.003667i,-0.00058226-0.0024315i,-0.00089448-0.001455i,-0.00019276-0.0002975i,0.0008596+0.00081456i,0.00083713+0.00028918i,-0.00038614-0.00082135i,-0.0010416-0.00060622i,0.00021224+0.0001402i,0.00064717-0.00027766i,-0.00014392-0.00024079i,-0.00021389-0.00019766i,0.00030504-0.00089327i,0.0002177-0.0012982i,-4.1783e-06-0.00089906i,0.00010331-0.00055053i,0.00071842-0.00041775i,0.0013688-0.00034654i,0.0012166-0.00071208i,0.0012448-0.00082777i
0.000592-0.00035909i,0.0024932-0.00087386i,0.0030956-0.0016735i,0.0027824-0.0016906i,0.0015318-0.00088984i,0.00043928-0.00010103i,0.00039721+0.00066667i,-0.00030098+0.0015031i,-0.00097858+0.0017343i,-0.00080118+0.0010932i,-0.0007103+0.00069287i,-0.00015276+0.0010177i,0.00084925+0.0014728i,0.00085841+0.0011317i,0.00031817+0.00025892i,-0.00054972-0.00050696i,-0.0010523-0.001012i,-0.00071151-0.00064222i,6.0153e-05-0.00014606i,0.00056863-5.9432e-05i,0.00065489-5.4976e-05i,0.00031024-0.0003789i,-0.00068471-0.00024005i
-0.00056579+0.0019148i,3.7666e-05+0.00050683i,0.00074719-0.00041582i,0.0005574-0.0005169i,-3.0387e-05-0.0019231i,-0.00017388-0.0019328i,-0.00057566-0.00096645i,-0.00073756-0.00041775i,-0.00071395-0.00020598i,-0.00034085-0.00015417i,-0.00085905+0.00075948i,-0.001258+0.00059924i,-0.00075179-0.00052239i,-7.4021e-05-0.00040619i,-3.8194e-05+0.00018263i,-0.00021571+0.00019933i,0.00081064+9.2816e-06i,0.001297+0.00011828i,0.00055896+0.00018474i,0.00064027-0.00051752i,0.0013196-0.0011191i,0.0010621-0.0014299i,0.00015679-0.00080226i
-3.2562e-05-0.0020772i,-0.0002918-0.0024382i,4.1207e-05-0.0015509i,-0.0011694-9.9023e-05i,-0.0024067+0.00025718i,-0.0018249+0.00051587i,-0.00050394+0.00074093i,0.00079608+0.0003767i,0.0010768+0.0002111i,0.00037757+0.00026643i,-0.00072116+0.00029729i,-0.00047146-0.00034539i,-0.0001361-0.0011633i,-0.00016353-0.00018413i,-0.00010821+0.00099323i,-0.00012684+0.0011934i,-0.00083982+0.00068225i,-0.00043269+0.00017096i,0.00012906-0.0003092i,-7.141e-05-0.0012193i,0.0005571-0.0015397i,0.00062911-0.0011392i,0.00017625-0.0003578i
0.0020818+5.4462e-05i,0.0016076+0.000133i,0.0006612-0.00084013i,0.00044933-0.0026874i,0.00032663-0.0033782i,-0.00014077-0.0021915i,-0.00071892-0.00040132i,-0.0013606+0.00079273i,-0.00062767+0.0011967i,-0.00073196+0.00071129i,-0.0014909-3.0826e-05i,-0.00052071+0.00013886i,-0.00032213+0.00096438i,-0.0012+0.001078i,-0.0012612+0.00082723i,-0.00077108+0.0010676i,-0.00011137+0.0012509i,0.00028817+0.00070822i,1.6671e-05-0.00036328i,-0.00013696-0.00015941i,-0.00048871+0.00018188i,-0.0010638-7.8912e-05i,-0.00032447+0.00022i
-0.00089029+0.0001578i,-0.0011739+0.00084358i,-0.0002131-0.00035234i,0.0014591-0.00071991i,0.001551-0.00053949i,0.0011644-0.00027856i,0.0012147-0.00016134i,0.0012397+0.00095838i,0.00064301+0.0023104i,-0.00041983+0.0018457i,-0.00081673+0.001024i,-0.0002263+0.00059338i,0.00060304-0.00032477i,0.00044359-0.00068365i,-0.00058883-0.00039489i,-0.00012214-0.00031019i,0.00011448-0.0007435i,-0.00016922-0.0013252i,-0.00049765-0.0011516i,-0.00084933-0.00068847i,-0.00040918-0.00045613i,-0.00024154+1.9172e-05i,-0.00022699+0.00013535i
-0.00089259-0.00030425i,-0.0015864-0.00031145i,-0.001074-0.0013822i,-0.0012799-0.0016572i,-0.00187-0.001064i,-0.00099794-0.00025044i,-0.00060915+0.00042013i,-0.00048913+0.0012524i,-0.00039696+0.0014365i,-0.00072295+0.00034645i,-0.0002181-0.00053649i,-0.00056378+0.00039961i,-0.00049251+0.00070082i,0.001032+0.00013829i,0.0011657+8.5533e-05i,0.0002504-0.00036276i,-0.0004231-0.00062686i,-0.0006834-0.00051486i,-0.0005068-0.00087663i,0.00041269-0.00082233i,0.00079989-0.00036873i,-0.00032045+0.00029026i,-0.00089034+0.00048062i
0.0010126+4.621e-05i,0.00095319+0.00056125i,0.00084379+0.0012i,0.00088461+0.00078838i,0.0010502-0.00043243i,0.00092913-0.0013436i,0.00079707-0.001076i,-3.6512e-05-2.4967e-05i,-0.00083918+0.0014532i,-0.0010253+0.0021614i,-0.0010889+0.0016417i,-0.0010856+0.00080567i,-0.00077521-0.00045609i,-0.000238-0.00090365i,0.0006541-0.00059387i,0.0012494-0.00035657i,0.0010019+0.00061293i,0.00035716+0.00077744i,-0.00027716-0.00033632i,0.00053518-0.00031669i,0.0011634-0.00028767i,0.00066565-0.00082667i,0.00062275-0.0010193i
