-0.0010185+1.7023e-05i,-0.00076303+0.00014016i,-0.0026476+0.0004333i,-0.0022985+0.00020033i,-0.001795+0.0002333i,-0.0018206+0.0010855i,-0.0015653+0.0011496i,-0.00088186+0.00046004i,0.00040366+0.0003694i,0.0013361+0.00051109i,0.0016393+0.00062138i,0.0015833+0.00041009i,0.00094749+0.00041021i,0.00080935-0.00017852i,0.00067578-0.00012476i,-0.00049544+0.00051319i,-0.00088034+0.00054063i,-0.00022892+0.0003402i,1.4654e-05+0.00033467i,0.0001999-4.1103e-05i,0.0002261-0.00032391i,-0.00058041+0.00021108i,-0.00051525+0.0002743i
0.00073618-0.001364i,0.001403-0.0011522i,0.0012647-0.0011343i,0.00035477-0.0018532i,-0.00051176-0.0021748i,-0.00056794-0.0016352i,0.00030862-0.00088963i,0.00034962-0.00023351i,-4.613e-05-0.0007891i,0.00060989-0.00028968i,0.00090033-0.00019388i,0.0002819-0.00022063i,-0.00055096+0.00037685i,-0.0010707-0.0003086i,-0.00080355-0.00083966i,-0.00028987-0.00054457i,2.2813e-05+0.00011692i,-0.00017319+0.0003865i,-0.00071521+0.00044421i,-0.00067769+0.00017861i,-0.00019086+0.0001492i,0.00010813+0.00018636i,0.00080848-2.1939e-05i
0.002319-0.0012021i,0.00044895-0.00041569i,-0.00022965-0.0019469i,0.00019913-0.0020098i,0.00022442-0.0005205i,-0.00046743-0.00079033i,-0.00021244-0.0009376i,0.00019127-0.00027614i,0.00020004-0.00042666i,-0.00027783-0.00028265i,-0.00072436+4.1283e-05i,-0.00030302-5.3699e-05i,0.00053372+0.00013279i,9.2039e-06+0.00018509i,-0.00067842+0.00079358i,-0.00037281+0.0011909i,-0.00039393+0.0012081i,-0.00077697+0.0012957i,-0.00063634+0.00057741i,-0.00084141+0.00010302i,-0.00094669+0.00048936i,-0.00018514+0.0001611i,0.00052174-0.00044442i
0.00011635-0.0013391i,-0.00017345-0.00074354i,-0.0011017+1.0635e-05i,-0.0009735+0.00050824i,-0.00026364+0.00042241i,-0.0004472-5.4661e-05i,-0.00059046+0.00012124i,-0.00062491-0.00036707i,-0.00024042-0.0010383i,6.4706e-06+4.7911e-05i,0.00011787+0.00099604i,0.0002313+0.000627i,0.00016612+0.00012663i,0.00055582-0.0003699i,0.00042958-0.00045111i,-3.0148e-05-0.00023606i,-0.00051208+8.8075e-05i,-0.00047858+0.00052308i,-0.00050566+0.00027458i,-0.00063071+0.00027641i,-4.4075e-05+0.00035491i,0.00043359+0.00050762i,0.00039083+0.00010417i
-0.00041953-0.00053154i,-0.0012219-0.00036461i,-0.0009687-0.0001878i,-0.00012701-0.00023014i,-0.00060798-0.00044776i,-0.0010312-0.00051961i,-0.00027519-0.00063554i,0.00043699-0.00060379i,0.00069509-0.00091976i,0.0006487-0.0013266i,0.00090147-0.00082951i,0.0010883-8.686e-05i,0.00082991+0.00035401i,0.00051252+0.00040886i,0.00025347+0.00085561i,-4.8832e-07+0.00067379i,-0.00048455+0.0003105i,-0.00035646+0.00065434i,0.00031925+0.00022262i,0.00042077-0.00040075i,0.00010657-0.0004016i,-0.00012476+0.0001254i,-0.00054256+8.2368e-05i
-6.4355e-05-0.00083156i,0.00038032-0.00052877i,-0.00027389-0.00083184i,-0.00060853-0.00099966i,-0.00074487-0.00091689i,-0.0014894-0.00055152i,-0.00089671-0.00060765i,-0.00016891-0.00069284i,-0.0003578-0.00066922i,-0.00069838-3.3205e-05i,-0.00064974+0.00038429i,0.00023954+0.00073005i,4.9966e-05+0.00019068i,-0.00021976-0.00060803i,-6.2673e-05-0.00021338i,-0.00016879-0.0001885i,0.00012209-0.00086708i,0.00022854-0.0001883i,-0.00038432+0.00025001i,2.3085e-05+7.2741e-06i,0.00076256-0.00070551i,0.00049614-0.001052i,0.00033741-0.00033864i
0.0013713-0.00090335i,0.0010607+0.00022228i,1.8783e-06+0.0015904i,-0.00085932+0.00052811i,-0.00031476-0.00059348i,0.00086536-0.001397i,0.0004141-0.00043159i,-0.00039371+0.00036043i,0.00035137-0.00047003i,0.00084628-0.00056032i,0.00041159+0.00047893i,-0.00020686+0.00036862i,-0.00077381-0.00051029i,-0.00096227-0.00015572i,-0.00073407+0.00031419i,-0.00054428+0.00032937i,-0.00046422+5.7815e-05i,0.00027342+0.00048032i,0.0004006+0.00061765i,-1.8595e-05+0.00074233i,0.00052778+0.00093904i,0.00067569+0.0006301i,0.00015693-0.00044079i
0.00082354+0.0010115i,0.001396+0.0015075i,0.0012941+0.0020608i,0.0017637+0.0016303i,0.0019206-4.534e-06i,0.00082237-0.0013648i,-9.8856e-05-0.0011932i,0.00054103-0.00043675i,0.0011815-3.6614e-05i,0.00077944-0.00015229i,0.00022898-0.00063849i,0.0002717-0.0013445i,0.0011338-0.0012549i,0.00088148-0.00093215i,0.00018322-0.00075015i,-0.00018493-0.00020744i,-0.00099957+0.00071736i,-0.0015256+0.00083225i,-0.0010701-6.0114e-05i,-0.00051816-0.00050541i,-0.00034404-0.00032198i,3.7236e-06-0.00014229i,4.2739e-05+1.8165e-05i
0.0022885-0.00015138i,0.002428-0.0005185i,0.0022469-0.00048786i,0.0012311-0.0012606i,6.3229e-05-0.0028898i,-0.00046623-0.002184i,-0.00016007-0.00020934i,9.5291e-05-0.00018055i,-0.00061214-0.00048394i,-0.0011804-0.00026944i,-0.000258-0.0001931i,0.00022654-0.00040267i,-0.00010005-0.00058328i,-0.00035509-0.00064297i,-0.00049564-0.00017873i,-0.00032427+0.00039422i,-0.00021579+0.00032856i,-8.1038e-05+0.00026291i,-0.00039296+0.00041315i,-0.00057321+0.00011383i,-0.00061009-0.00032063i,-0.00073202-0.00070345i,-6.713e-05-0.0010864i
-4.0154e-05-0.00022903i,0.0001926+0.0004936i,0.00087287+0.00023045i,0.00049552-0.001586i,7.6978e-05-0.0027911i,-0.00054116-0.0016455i,-0.0009008-0.00091958i,-0.00077201-0.00051321i,-0.0011669-1.7025e-05i,-0.0011193-0.00016044i,-0.00025293+0.00020656i,0.00012976+0.00086179i,-0.00051087+7.6298e-05i,-0.00059686-0.00062013i,-0.00014627-0.00026499i,0.00055322-9.8234e-05i,0.0010876+0.00039238i,0.00050643+0.0010891i,-0.00026652+0.00079036i,-0.00083069+9.9066e-05i,-0.00068581+0.00029205i,-0.00032491+0.00098966i,-3.6308e-05+0.00070256i
-0.00094513+0.00071479i,-0.0010636+0.0013577i,-0.00098236+0.0022291i,-0.00017971+0.002592i,0.00063435+0.0018873i,0.00065668+2.6821e-05i,0.00039436-0.0016788i,3.5128e-05-0.0014606i,0.00046847-0.00049705i,0.0010411-0.00035336i,0.0011693-0.00028683i,0.00092152-7.1865e-05i,0.00076055+6.067e-05i,0.00066164-5.8398e-05i,2.0517e-05-0.00047919i,-5.9586e-05-0.00022373i,-0.00011851+6.5161e-06i,-0.0004277-0.00048335i,-0.00077095+2.5185e-05i,-0.00061161+0.00051926i,0.00023494+0.00054159i,0.00065275+0.00059334i,0.00044458+0.00028314i
-0.0013267+0.0027656i,-0.00083188+0.0020037i,-5.4128e-05+0.0012386i,0.0011554+0.00082301i,0.0015681+0.00032128i,0.00084775-0.00081016i,-0.00024354-0.00044247i,-0.00042759-0.00070804i,0.00028083-0.00075757i,0.00065746-0.00038445i,0.0013069-0.00052469i,0.00091841+0.00020426i,0.00062679+0.00018826i,-0.00011666+0.00013219i,-0.0010645-7.652e-05i,-0.00077339-0.0012374i,-3.9026e-05-0.00090485i,7.5409e-05+0.00013137i,0.00011218+0.00086248i,0.00041863+0.0011435i,-2.1026e-05+0.00077365i,-0.00053882+0.00080178i,-0.00032094+0.00099478i
-3.0452e-06+0.00031161i,-8.1802e-05-0.00037623i,-9.6939e-06-0.00022346i,-0.00070853+0.00083463i,-0.0010341+0.0010156i,-0.0012353+0.00050492i,-0.0013231-0.00041123i,-0.00074807-0.00065401i,-0.00042385-0.00029157i,-0.00051908+0.00028579i,-0.00019822+0.0005728i,8.0826e-05+0.00054626i,-0.0001622+0.00077677i,3.3445e-05+0.0007039i,6.3784e-05+0.00016699i,0.00030115+8.2255e-05i,0.00050439+0.00069268i,-0.00025999+0.0012068i,-0.00052035+0.0010117i,0.00047096+0.00070193i,0.00085344+0.0003699i,-2.2934e-05-0.0005722i,-0.00061084-0.00046514i
-0.001196-0.00066146i,-0.00069707-0.00044951i,-0.00067134-0.00049778i,-0.00028669-0.00059377i,0.00093317-0.00053684i,0.0012139+0.00047195i,0.00050766+0.00069155i,0.00060138-0.0004014i,0.00083817-0.00038057i,0.00065952-3.7947e-05i,0.0004332-5.1489e-05i,0.00020023+0.00036418i,0.00046998+0.00078127i,0.00020544+0.00077922i,-0.00070605-0.00031582i,-0.001084-0.0011016i,-0.0010554-0.0011261i,-0.0010355-0.00071767i,-0.00092716+0.00030324i,-0.0006934+0.00070429i,-0.00051642+3.3028e-05i,-0.00039159-0.0006368i,5.1429e-05-0.00061405i
0.00027812-0.0012792i,-0.00070537-0.0013905i,-0.0016198-0.0014915i,-0.0021199-0.0010098i,-0.0025313-0.0011291i,-0.0022188-0.0017203i,-0.00050502-0.0018961i,0.00091951-0.001922i,0.0012918-0.0019137i,0.00031513-0.0010769i,-0.00034354-0.00018927i,-0.00014886+0.00048439i,0.00016183+0.0001404i,0.00086845-0.00080518i,0.0010047-0.00030393i,0.00043443+0.00060788i,1.8283e-05-0.0002836i,-0.00046075-0.00023845i,-0.00066509+0.0011058i,5.5e-05+0.00086376i,0.00021113-0.00057132i,-0.00022508-0.00088184i,-0.00056617-0.00062209i
-0.00081588-4.2862e-05i,-0.00059456-0.0015708i,0.000549-0.00080823i,0.00090598+0.00031934i,0.0009061-0.00048824i,0.00088542-0.0007081i,0.00013442+0.00010305i,-0.00052181-1.9177e-05i,9.6338e-05-0.00036674i,0.00074352-6.4586e-05i,0.00089211+0.00038373i,0.00041491+0.00036756i,0.00010042+0.00036722i,-0.00053424+0.0002217i,-0.00040085-0.00030967i,2.4861e-05-0.0011703i,3.4057e-05-0.0010304i,-0.00042252-0.00018843i,-0.00080177+6.3683e-05i,-0.00053499-0.00024926i,-0.00016347-0.00020222i,0.00040067-0.00011047i,0.00093403-0.00027719i
0.0010283-0.0016079i,-0.00042783-0.001879i,-0.00094965-0.0020224i,-0.001169-0.0013357i,-0.0016749-0.00032465i,-0.00060904+3.9919e-05i,0.0005033+0.0003263i,-1.6918e-05+1.6968e-06i,-0.00083463-0.00062315i,-0.00080006-4.5734e-05i,-0.00033916+0.00087841i,0.00019877+0.00022703i,0.0015778-0.00047355i,0.0016043-7.1287e-05i,0.00036058+0.00038191i,-0.00043002-0.00010562i,-0.00052706-0.00056429i,-5.7139e-05+0.00069816i,4.6529e-05+0.0011036i,1.3308e-05+0.00043236i,-0.00020473+0.0002186i,-0.0002086+1.4019e-05i,-0.00038492-0.00016506i
-0.00077055+0.00042397i,-0.00021444+0.00036634i,0.00019134+0.00084893i,0.00017293+0.00077592i,0.0015581-4.5958e-05i,0.0029319-0.0010283i,0.0018438-0.0012033i,-3.6477e-06-0.00090101i,-0.00042619-0.0009116i,-0.00039326-0.00014639i,-0.00011786+0.00085841i,0.00033326+0.00026999i,0.00028115-3.1633e-05i,-2.946e-05-6.0796e-05i,-4.3245e-05+0.00020309i,-0.00040127+0.00054754i,-0.00023305-0.00020654i,5.4221e-05-0.00023852i,9.9723e-05+8.827e-05i,0.00079653-0.00014595i,0.00099731-9.8915e-05i,0.00029712+0.00053791i,0.0001538+0.00075202i
-0.00057113+0.0016213i,-0.00090575+0.002124i,-1.9017e-05+0.003139i,0.0013149+0.0030085i,0.0013532+0.0013604i,8.6427e-05-0.00015709i,-0.00073908-0.00041665i,-0.00099058-0.00031748i,-0.00084114+8.7089e-05i,-0.00072052+0.00060964i,-0.00013123+0.00013475i,0.00015477-0.00019107i,-0.00027104+5.8099e-05i,-0.00026779-0.00053152i,-0.00044145-0.00066304i,-0.00041839+1.2963e-05i,-0.00022213+0.00047427i,-0.0002562+0.0002749i,-0.00010103+0.00026044i,0.00037323+0.00090969i,0.00040488+0.00070974i,-6.0002e-05-1.6615e-05i,-0.00043318+0.00012171i
0.00018982-0.00018324i,-0.00070853-0.00081067i,-0.00082562+6.1433e-05i,-0.0012098+3.4763e-05i,-0.00041208+0.00014638i,-5.5014e-05-0.00024149i,-0.0002816-0.0010412i,-0.00025639-0.0014577i,7.0488e-05-0.001593i,0.00069347-0.00033973i,0.0012065+0.00080606i,0.0011589-0.00024997i,0.0009499-0.00087344i,-4.1033e-05-7.0444e-05i,-0.00011733-0.00036793i,0.00015922-0.00098753i,-0.000145-0.00075581i,-4.6968e-05-0.00032189i,-0.00034597+2.1885e-05i,-0.00053583+0.0002904i,-0.00089507+0.00062538i,-0.00084742+0.00051818i,-0.00046402+0.00021547i
-0.00018778-0.00086428i,-0.00012112-0.0017802i,-0.00077155-0.0018806i,-0.0011539-0.00090126i,-0.00036416-0.00036991i,0.00060479-0.00071148i,0.00057155-0.0013399i,3.9597e-05-0.0016273i,-6.5384e-06-0.00053634i,-0.00068437+0.00014309i,-0.0010193+0.00043379i,-0.00034753+0.00072878i,-0.00029979+0.00030388i,-0.00057717+0.00021792i,-0.00058579+0.00018403i,-0.00064194-0.00015553i,-0.00065377-0.00042756i,0.00018499-6.203e-05i,0.00045922+0.00050059i,-0.00061885-3.3034e-05i,-0.0011392-0.00030372i,-0.0014595-0.00053581i,-0.00076069-0.00075866i
-0.0019779+0.0031447i,-0.0009154+0.0016978i,0.00037108+0.00076937i,0.0017248+6.1255e-05i,0.0020229-0.00090351i,0.0010048-0.0019534i,-3.212e-05-0.0014836i,-0.00017869-0.00051642i,0.0005338-0.00017048i,0.00094861+3.4035e-05i,0.0015078+0.00028124i,0.0011679+9.6465e-05i,2.8585e-05-0.00080836i,-0.00035514-0.0012135i,-0.000539-0.00057136i,-8.3338e-05-0.00039771i,0.00013369+0.00013613i,-0.00035305+0.0005321i,0.00010938-0.00023227i,0.00095406-0.00066168i,0.00061671-0.00081326i,0.0002435-0.00046286i,0.00071374+0.0004036i
-4.676e-06-0.0016323i,0.0014052-0.00049077i,0.00011432+0.00024528i,0.00011383+0.00069328i,0.0010178+0.00084891i,0.00032743+0.00061837i,-2.5125e-07+0.00064129i,0.00061134+5.1995e-06i,0.00037108-0.00081074i,-3.5142e-05-0.00021343i,0.00013877+0.00045356i,0.00087015+0.00072259i,0.001245+0.00052368i,0.0013567-0.00034222i,0.00069876-0.00027857i,-5.3816e-05+8.7503e-05i,-0.00075396-0.0002996i,-0.00095006-0.00020853i,-0.00022007+8.6013e-05i,-6.1324e-05-0.00020082i,-0.00028678-0.00097163i,-0.00064619-0.0011798i,-0.00037769-0.00051455i
0.0012981+0.0005586i,-0.00010241+0.00046579i,4.5533e-05+0.00062007i,0.00056151+0.00050804i,1.7557e-05-0.00070612i,-0.00040961-0.0013428i,-0.000569-0.00022464i,1.4211e-05-0.00051354i,0.00043349-0.00090936i,0.00044569-0.00027434i,0.00065972+9.6709e-06i,0.00024521+0.00033455i,-0.00048479+0.0015726i,-0.00025015+0.0011702i,-0.0004871+3.4981e-05i,-0.0010304+0.00011376i,-0.001536+0.00073987i,-0.00081185+0.00062466i,-2.8714e-05+0.00055869i,-8.8702e-05+0.00013899i,2.1231e-05+3.1519e-05i,0.00027684+0.00027433i,-0.00043339-0.00038546i
-0.00027182-0.00074517i,-0.00075057-0.00048824i,-0.0010005-0.00057627i,-0.0005749-0.0012011i,-0.0011406-0.0012308i,-0.001719-0.0012482i,-0.0011642-0.0013427i,-0.00012659-0.00086754i,0.00028031+0.00033001i,9.2592e-05+0.00065378i,0.00019408-4.7639e-05i,0.00031418-0.00037633i,0.00043288-0.0010613i,0.00057743-0.0013709i,-4.9286e-06-0.00021473i,0.00026623+0.00049429i,0.00010163+0.00091799i,-0.00047716+0.0011692i,-0.00015892+0.0005074i,0.00015696-0.00020036i,0.00019431-0.00018886i,9.0549e-05-0.00028503i,0.00043608-0.00073354i
0.00043273+0.00057487i,0.0012196+0.0003153i,0.0014806-0.00040001i,0.00064002-0.0011131i,-0.00019162-0.0011815i,-0.000438-0.00060958i,-0.00026686-4.025e-05i,-8.1648e-05-0.00037081i,3.5375e-05-0.00069856i,0.00065324-6.5049e-06i,0.00088989+0.00023366i,0.00048764-0.00028955i,-0.00015033-0.00016338i,-0.00092013-2.7159e-05i,-0.0010953-0.00019928i,-0.00097588+0.00032736i,-0.00077043+0.00064296i,-0.00044873+0.00023499i,5.1565e-05-0.00012483i,0.00031575-7.5969e-05i,0.00057693-6.0239e-05i,0.00080653-8.6471e-05i,0.00042256-0.00012224i
0.00037564-0.0013994i,0.00086557-0.00092602i,0.00062216-0.0014479i,0.00034133-0.0016779i,0.00029935-0.0018022i,0.00055878-0.0018803i,0.00066146-0.0017437i,0.00037611-0.0013204i,0.00019092-0.00058324i,0.00057084+0.00040546i,0.00095987+0.00090526i,0.0011342+0.00094871i,0.00036565+0.00052046i,-0.00018587-0.00013361i,0.0002885+0.0001579i,0.00072672+0.00027873i,-6.5428e-05-6.3115e-05i,-0.0003355-0.00012057i,0.00011458+0.00032853i,-0.00070028+0.00021781i,-0.001171+0.00034968i,-0.0010607+0.00047797i,-0.00084415-0.00012256i
-0.00078466-0.00076838i,-0.00094287-0.00064443i,-0.0022383+0.00088528i,-0.002105+0.0019782i,-0.0010892+0.0015394i,-8.7806e-05+0.00064317i,0.00038587+0.00029743i,0.00041783-2.9179e-05i,0.00021239+0.00025583i,-0.00031855+0.00097704i,-0.00054545+0.00067455i,0.00024369-5.5312e-05i,0.00093889-0.00055174i,0.00062221-0.00071962i,0.00081647-0.00015891i,0.0010292+0.00019453i,0.00022589+0.0010163i,-0.0011708+0.00092894i,-0.00090916+0.00035805i,7.8047e-05+0.00060992i,0.00061332+0.00067849i,0.00027803+0.00094635i,5.9746e-07+0.00030499i
-0.0019033+0.00082999i,-0.0013508+0.0017409i,-0.0019657+0.0024229i,-0.0010352+0.0017167i,0.00055778+9.2026e-05i,0.00012082-0.00054619i,-0.00086868-0.00022563i,-0.000571+0.00019969i,-0.00048869-0.00024567i,-0.000357-0.00039347i,0.00071101-0.00034432i,0.0016988-0.00050203i,0.0013692-0.00043578i,0.00055097-0.00087925i,0.00017418-0.00020534i,-3.5408e-05+0.00034584i,-0.00010839+0.00020399i,-0.0006676+0.00056144i,-0.00042731+0.00068812i,0.0003902+8.8441e-05i,0.00066326-0.00036672i,-0.00015292-0.00047808i,-0.00058581-0.00072113i
-0.00032228-0.0012092i,5.2972e-05-0.00083919i,-0.00044161-0.0014562i,-0.0014958-0.00081191i,-0.0016627+0.00053631i,-0.00080775+0.0010276i,0.00018007+0.00070041i,0.00036924-0.00014031i,0.00076163-0.0010132i,0.00093862-0.0012389i,0.00061958-0.00080231i,0.00026432-0.00049916i,-6.4247e-05-0.00058089i,-0.00012413-0.00067292i,-0.0003872-0.00068997i,-0.00073398-0.0004459i,-4.2682e-05-0.00016854i,0.00052084+2.4949e-05i,0.00054936+0.00053714i,8.1875e-05+7.8823e-05i,8.8793e-05-0.00081088i,-0.0001187-0.00062126i,-0.00065401+0.00017385i
-0.0014828+0.0014856i,-0.0013432+0.0012733i,-0.00060735+0.0012875i,0.00089723+0.0013269i,0.0018059+0.00067851i,0.0011207-0.00012889i,-0.00024235-0.00063905i,-0.00030487-0.0013859i,0.00059064-0.00078079i,0.00075297+0.00057406i,0.0006463+0.0010191i,-6.4621e-05+0.00022234i,-0.00092006-0.00035907i,-0.00090354-0.00024795i,-0.0007142-0.00016115i,-0.00061104+0.00051036i,-0.00024943+0.00099142i,-0.00027575+0.00084256i,-0.00038675+0.00045384i,-0.00054074-0.00013939i,-0.00033995-0.00065432i,0.00025651-0.00031865i,0.00046782+0.00018161i
-0.00058314-0.0019961i,-0.00036721-0.0011211i,-0.0012778-0.0013505i,-0.00093209-0.00074574i,-0.00081258+0.00021013i,-0.0015021-0.00025561i,-0.00114-0.00090692i,-1.2012e-05-0.0010915i,9.0346e-05-0.001046i,-0.00069839-0.00026628i,-0.00041699+0.00049275i,0.00084753+5.2845e-05i,0.0018055-0.00013727i,0.0012496+0.00013825i,9.5494e-05+0.00059025i,-6.0886e-05+6.6399e-05i,0.0005513+0.00013452i,0.00089609+0.00057298i,0.00034492+0.00018558i,-0.00035462-0.00021809i,-4.6182e-06-2.3468e-05i,0.0006814+0.00079179i,0.00044438+0.0005448i
