0.0002872+0.00099787i,0.00053174+0.0016065i,0.00042049-8.6418e-05i,-0.00061946-0.00067965i,-0.0014772+0.00039099i,-0.0016128+0.0010326i,-0.00035339+0.0015077i,0.00095312+0.0010828i,0.0010601+8.215e-05i,0.00097195-0.00019599i,0.00075711-0.00014759i,0.0001941-0.00030222i,-1.5159e-05-0.00047525i,0.00011428-0.00052502i,9.9757e-05-0.00036478i,2.3297e-05-0.00072202i,-0.0002162-0.0010166i,-0.00084754-0.00071717i,-0.000844-0.00024625i,-0.00024039+1.1303e-06i,-9.1859e-05+0.00043846i,-0.00068236+7.0875e-06i,-0.00048545-0.0004278i
-0.0034403+0.0014935i,-0.0024865+0.0016359i,-0.001321+0.0010266i,-0.00033016+0.00038791i,0.00099741+0.00021945i,0.0016098+0.00019793i,0.0012902-0.0005247i,0.0010753-0.00072757i,0.00027485-0.00028345i,-0.00048694+0.00061458i,-0.00036789+0.0010068i,-0.00012467+0.00032771i,2.6399e-05-0.00024212i,0.00026193-0.00064479i,0.00044137-0.00064032i,0.00047718-0.00013013i,0.00027728+0.00042588i,0.00040602+0.0006481i,0.0006226+0.00066289i,0.00074962+0.00077044i,0.00080522+0.00030142i,0.0007835-0.00052376i,0.00026964+0.00010611i
-0.0021489+0.00093974i,-0.0019671+0.0005758i,-0.0004673+0.00067427i,0.00072711-0.00012207i,0.00075902-0.001255i,0.00032852-0.0014737i,0.00028935-0.00089738i,0.00011719-0.00032226i,-6.2466e-05-0.00049561i,3.301e-05-0.00075962i,-0.00069639-0.00042682i,-0.0013767-3.4351e-05i,-0.00096366-0.00030819i,-0.00042984-0.00056792i,0.00028648-0.00036953i,0.00076446+0.00068478i,0.00087944+0.00053191i,0.0014328+0.00024197i,0.0013244+0.0011841i,0.00031925+0.00091692i,-0.0002599-0.00016761i,-3.5917e-05-0.00026439i,-0.00047329-0.00090548i
0.00073368-0.0017584i,0.00033222-0.00081554i,0.00054626-0.00046097i,0.0006798-0.001026i,0.00073273-0.00074975i,0.0013621+6.0035e-05i,0.001858-0.00060089i,0.0017945-0.0013541i,0.00069778-0.00075969i,-0.00040662+0.00014447i,-0.00058349+0.00061138i,0.00021216+0.00032112i,0.00076659+8.1685e-05i,0.00049624-0.00053066i,0.00071562-0.0011107i,0.00060461-0.00064921i,0.00023721+0.0002607i,0.00031868+0.00050489i,0.00048574-3.1788e-05i,0.00044759-6.0011e-05i,1.7099e-06+0.00034779i,-0.00060008+0.00036913i,-0.00045311+0.0002751i
-0.0012168+0.0011165i,3.8896e-05+0.00053385i,0.00041102-0.00013658i,0.00092943-0.00046115i,0.0016783+0.0002507i,0.0017979+0.00096706i,0.0012832+0.00095731i,0.00066466+0.0007027i,0.00015754-0.00024672i,-0.00014628-0.00081072i,-0.00065376-0.0003141i,-0.00040525+1.7454e-06i,-0.00010693-0.00026876i,-2.2813e-05-0.00060489i,0.0003867-0.0006163i,6.4795e-05-0.00022153i,-0.00047248-0.00022223i,-0.00034122+7.4146e-05i,0.00095598+0.00023559i,0.0015586+0.00016671i,0.00063696+0.00035011i,-0.00020973+0.00070736i,-0.00062561+0.0008602i
-0.0013328+0.0012227i,-0.00098367+0.00099702i,0.00031598+0.00017999i,0.00058101-0.00068089i,0.0003537-0.00013214i,0.00047892+2.6671e-05i,0.00064982-0.00086777i,0.00048164-0.0010042i,-0.00064626-0.0009272i,-0.00081225-0.00052551i,-6.9126e-05+3.0816e-05i,-0.00018724-0.00026994i,2.1171e-05-0.00059474i,0.00039917-0.00034662i,4.2557e-05+0.00035926i,-0.00060417+0.00054979i,-0.00047614-0.00011149i,-0.00038286-0.00020345i,-0.000228+6.232e-05i,6.2684e-05+5.5288e-05i,0.00021196-0.00031012i,0.00062341-0.00010723i,0.00050506+0.00089382i
-0.00085551+0.0022544i,0.00022544+0.0012853i,0.0017681-7.5168e-05i,0.0020101-0.0012137i,0.00015227-0.0017574i,-0.00128-0.00036975i,-0.0013277+0.0003429i,-0.00097703-0.0013279i,-0.00064796-0.0017836i,-0.00025853-0.00064342i,-0.00053118-0.0002945i,-0.0008828+4.7852e-05i,-0.00052297+0.00074102i,8.4043e-05+0.00094039i,8.2113e-05+0.00094493i,-9.768e-06+0.00024587i,0.00051295-0.00020842i,0.00056772+0.00032302i,-0.00019895+0.00044242i,-0.0001479+0.00016554i,3.2097e-05+7.1007e-06i,0.00039286+0.00015201i,0.00052181-5.7832e-05i
-0.0012413-0.0012403i,-0.0022336-0.00078485i,-0.0014853-1.2619e-05i,-0.00078977+0.00067083i,-0.00090983+0.00093601i,-0.00043613+0.00033564i,0.00058924-0.00078169i,0.00092753-0.0011465i,0.00048398-0.00053676i,-9.2424e-05-9.8766e-06i,-0.00090002+0.00036269i,-0.00054776+4.2358e-05i,0.00089356-0.0002806i,0.0009051-0.00030887i,-0.00027476-0.00081161i,-0.00056294-0.00086354i,-0.00033797-0.00015284i,-0.00083378+0.00012417i,-0.00054659+0.00051706i,-0.0002527+0.00028034i,-0.00077899+7.9326e-06i,-0.00077751+0.00065729i,-0.00038584+0.0017385i
0.0012002+0.0021218i,0.0006739+0.0017527i,0.0011386+0.00074595i,0.0016314+4.3391e-05i,0.00056545-8.8283e-05i,0.0001538+0.00041357i,0.0002564+0.00098271i,-4.8852e-05+0.00064519i,-0.0001572-0.00018687i,-0.00035001-0.00060744i,-0.00016875-0.00021204i,6.0174e-05-0.00031856i,-0.00064899-0.00089047i,-0.00027432-0.00084462i,5.1718e-06+5.8289e-07i,-0.00030502+0.00027938i,-0.00030381+0.00021331i,-0.00072892+0.00028552i,-0.0011009-0.00030216i,-0.00086224-0.00025233i,-0.00057065+0.00069298i,-0.00053204+0.0014159i,-0.00044809+0.0013071i
-5.9127e-06+0.00075662i,0.00028424+0.00090475i,0.0010315+0.00089598i,0.0014359-0.00019888i,0.00045055-0.00076515i,9.8739e-05-0.00094568i,0.00091118-0.00089122i,0.0012516-0.00083881i,0.00053787-0.00095751i,-7.035e-06-0.00086359i,-2.9116e-05-0.00026621i,0.00021564+0.00067374i,7.0743e-05+0.00042408i,-0.00047843+0.00026114i,0.00031007+0.00032156i,0.00086524-0.00055578i,0.00086018-0.00063514i,0.0010068+0.00010163i,0.00077072-0.00013268i,0.0010801-0.00051435i,0.001032+0.00042i,3.9161e-05+0.00087531i,-0.00083443+0.00047306i
-0.00102-0.00023752i,-0.00091406-0.00012736i,-0.00044002-0.00068992i,5.1278e-05-0.0013411i,-0.00089104-0.00054737i,-0.0014014+0.00045902i,-0.00037748+0.00041283i,0.00054337+0.00025635i,0.00021109-7.5092e-05i,-0.00063652-0.00060228i,-0.0011688-0.00044975i,-0.00066073+0.00015829i,0.00010499+0.0002986i,0.00032185-0.00018408i,0.00029811-0.0001206i,0.00026953+5.5668e-05i,-0.00017353+0.00040183i,-0.00056071+0.0010937i,0.00012863+0.0013786i,0.00088189+0.00084078i,0.00090531+7.0014e-05i,0.00060816+0.00082636i,0.00013981+0.001187i
