-0.00064857+0.0008573i,0.0005036+1.197e-05i,-0.0010483-5.0216e-05i,-0.0012025+0.00087593i,-0.00069578+0.0025057i,-0.00044298+0.0021713i,2.2723e-05+0.00075275i,0.00089304+0.00047889i,0.00163+0.00081988i,0.0013893+0.00042854i,0.001351+1.6263e-05i,0.0014188-0.00024306i,0.00037519-0.00063313i,-0.00030661-0.00037919i,-0.00054211+0.0001022i,-0.00044792+0.00097948i,0.00034599+0.0013319i,0.00040318+0.00052118i,0.00040927+0.00011985i,0.00033111+7.9652e-05i,2.9148e-05+0.00017579i,-4.7525e-05+8.7338e-05i,-0.00032705-0.00071277i
0.0016203+0.00011465i,0.0026941-0.001837i,0.0037766-0.0029308i,0.0021462-0.0026983i,0.0014641-0.002696i,0.0018681-0.002154i,0.001342-0.00020682i,0.0018175+0.0019396i,0.0014043+0.0035619i,-2.2331e-05+0.0047061i,-0.00047854+0.0043739i,-0.00032335+0.0025368i,-0.00099772+0.00032087i,-0.0013774-0.00056867i,-0.00063355+0.00030593i,-0.00060409+0.00072471i,-0.00071388+2.1995e-06i,-0.00045192-0.00065194i,-0.00093006-0.00034576i,-0.0013363+0.00017007i,-0.00070051-0.0002039i,-0.00077475-0.0010993i,-0.002008-0.0011776i
0.0010488+0.00148i,0.0016799+0.0025334i,0.0030417+0.0028657i,0.003271+0.0026629i,0.0026416+0.0016052i,0.0018166+0.00010189i,0.0021962-0.0011175i,0.0030657-0.00089634i,0.0035037+0.0010367i,0.0048475+0.0030419i,0.004975+0.0033344i,0.0036775+0.0016282i,0.0019648+0.00086215i,0.00079409+0.001554i,0.00081605+0.0015209i,0.0014763+0.00072466i,0.0016798+9.864e-05i,0.0011418+0.00073817i,0.00056089+0.0010415i,0.00062376+0.00033286i,0.00066386+0.00057401i,0.00038969+0.00069492i,-0.00034007+0.00047912i
-0.00090168-0.00073905i,-0.0015705+1.0703e-05i,-0.002143+0.0011262i,-0.0016632+0.00043707i,-0.00084755-0.00071271i,-0.00070664-0.001675i,-0.00048919-0.0030082i,-0.00064727-0.0043173i,0.00067142-0.0040174i,0.0029876-0.002372i,0.0035351-0.00093703i,0.00308-0.00032285i,0.0026104-0.00064751i,0.002002-0.00079552i,0.0017028-0.00053177i,0.0012154-0.00046106i,0.00039389-0.00036812i,0.00017422-6.4784e-06i,0.00033573+0.00046008i,0.00023898+0.00057448i,0.00046442+0.0006321i,0.00093382+0.00081549i,0.0011857+0.00050546i
0.0019942-0.0010871i,0.0019707-0.0021334i,0.0021127-0.0026145i,0.002498-0.0012843i,0.0024278-0.00035342i,0.0020274-0.00020729i,0.00016405-0.00020844i,-0.0026107-0.00034998i,-0.004032-0.0015218i,-0.0028575-0.0029297i,-0.0019854-0.0034574i,-0.0020018-0.002764i,-0.0016119-0.0023957i,-0.00082305-0.0021358i,-0.000539-0.0014347i,-0.00012016-0.00097148i,0.00065878-0.00085153i,-0.00013353-0.00078437i,-0.0006568-0.00031931i,-0.0001281+0.00026236i,6.1855e-06+0.00070643i,-0.00020495+0.00051646i,-0.00022487-0.00082887i
0.0025413+0.00069708i,0.003772+0.0013802i,0.0030775+0.00025835i,0.00096091+2.7752e-05i,0.000589+8.0933e-05i,0.0004884-0.00011425i,-0.0010504+0.00041491i,-0.0025397+0.001234i,-0.0038204+0.0010697i,-0.0047656+3.8627e-05i,-0.004641-0.00040758i,-0.0036868-0.00050341i,-0.0030502-0.00087616i,-0.0025968-0.00072802i,-0.0020671-0.0013348i,-0.001157-0.0016177i,-0.00047998-0.001017i,-0.00027378-0.00056596i,-0.00051556-0.00023879i,-0.00075991-0.00025446i,-0.0005367-0.00050418i,-0.00062018-0.00090261i,-0.00052918-0.00093928i
-0.0013518+0.00019381i,-0.0010417+0.0011565i,-0.00075862+0.00074137i,-2.5927e-05+0.0007479i,0.00042199+0.0011144i,0.0010374+0.001324i,0.0019564+0.0016686i,0.0023268+0.0031501i,0.0012476+0.0054062i,-0.00028097+0.0063683i,-0.00089959+0.004876i,-0.0012264+0.0028675i,-0.00076301+0.0016882i,-0.00028478+0.00082973i,-0.00032637+0.00020823i,-0.00054261+0.00036252i,-0.0009624+0.0010393i,-0.00059439+0.0012336i,8.4556e-05+0.00050366i,-0.00039997-0.00051782i,-0.0005253-0.0011401i,0.00014866-0.00081174i,0.00028556+8.1899e-05i
-0.0006361-0.0018743i,-0.0019779-0.0020153i,-0.0026187-0.00073885i,-0.0014352+0.0010083i,5.2661e-05+0.0005642i,0.0010662+0.00031052i,0.0020292+0.00098436i,0.0030448+0.00091407i,0.0037244+0.0014291i,0.0042125+0.0028848i,0.0041526+0.0031597i,0.00392+0.0024289i,0.0034949+0.0013941i,0.0021313+0.0010364i,0.00088877+0.00089016i,0.00050857+0.00051528i,0.00028436+0.00025054i,-4.6932e-05+0.00034905i,-0.00012688+0.00070438i,-7.7192e-05+0.00069835i,0.00014821+0.00075632i,0.0004197+0.001065i,0.00040071+0.00081702i
0.0033375-1.9134e-05i,0.0040363-0.001047i,0.0035617-0.0029127i,0.0030498-0.0023566i,0.0024519-0.00095089i,0.0015285-0.00087557i,0.00053654-0.0016586i,0.0003332-0.0025353i,0.0019635-0.0032755i,0.0039437-0.0033597i,0.0043472-0.002236i,0.0030832-0.00096154i,0.0014115+0.00047204i,0.00047492+0.0014979i,0.0007427+0.0011619i,0.0018549+0.00052251i,0.0019796+0.00017277i,0.0013119+0.00011987i,6.6371e-05+0.00067246i,-0.0001286+0.00074359i,0.0005451+0.00039211i,0.00090059+4.5062e-05i,0.00081452-0.00021997i
-0.0014742+0.0018034i,0.0010821+0.0021126i,0.0029402+0.0027063i,0.0033058+0.0023949i,0.0028613+0.0018626i,0.0025981+0.00065931i,0.0015844-0.0018405i,-0.00040025-0.0035961i,-0.0018763-0.0044662i,-0.002618-0.00486i,-0.002174-0.0040522i,-0.0014304-0.0029536i,-0.0011736-0.002721i,-0.00084754-0.0018686i,-0.00075603-0.0011494i,-0.0006386-0.001021i,-0.00051666-0.0010772i,-0.00038395-0.00066696i,-0.00042501-0.00037836i,-0.00053502-0.00045459i,-0.0011013+0.00014626i,-0.00069701+0.0001325i,0.00020756-0.00070979i
4.4861e-05+0.0022785i,-0.00053283+0.0032179i,-0.00073766+0.0035145i,0.00016069+0.0020606i,0.0014342-2.6793e-05i,0.0014976-0.0011852i,-0.00015919-0.0015011i,-0.0028172-0.0012081i,-0.0050776-0.00052622i,-0.0055096-0.00028902i,-0.0046306-0.00045924i,-0.0032523-0.0009589i,-0.0030548-0.001759i,-0.0023123-0.0021232i,-0.00076291-0.00047336i,-0.00011437+0.00092558i,-0.00015162+0.00085867i,-0.00040644+0.00020448i,-0.0011061-0.00016284i,-0.0010562-0.00045815i,-0.0008539-0.0008848i,-0.0016637-0.0012125i,-0.0017241-0.001681i
0.0019627+0.00088137i,0.003459-0.0012646i,0.0044726-0.0022509i,0.0033438-0.0023061i,0.0013256-0.002086i,8.8209e-05-0.0012997i,-0.00050526+0.00074965i,-0.00054501+0.0024795i,-0.0011273+0.0045778i,-0.0022357+0.0052195i,-0.0018411+0.0030659i,-0.00080671+0.00070359i,-0.00031521+8.993e-05i,-0.00022996+0.00076333i,-0.00060198+0.0010449i,-0.00050282+0.00067589i,0.00021592+0.0011641i,0.00034457+0.0015961i,-0.00018055+0.00069532i,-0.00076994+0.00012377i,-0.00052028+0.0003202i,-0.00011835+0.00034574i,-0.00046077-0.00026179i
-0.00014316+0.00027865i,0.0011285-3.5002e-05i,0.0022501+0.0015751i,0.0019896+0.0029933i,0.0017897+0.0031812i,0.0011957+0.0019194i,0.00051665+0.0005083i,0.0010844+0.0011642i,0.0025389+0.0035718i,0.0034343+0.004519i,0.0036314+0.0042844i,0.003396+0.0031148i,0.002297+0.0013929i,0.0017399+0.00072286i,0.0017769+0.00031859i,0.0017509+0.00024833i,0.0013396+0.00048573i,0.00051814+0.00062813i,0.0002453+0.00059132i,0.00029211+0.0007611i,0.0011157+0.0010456i,0.0011973+0.0015975i,0.00048842+0.0011312i
0.00066476+0.0018191i,0.0024506+0.0026701i,0.0039169+0.0032793i,0.0037327+0.0023888i,0.0029783+0.0012047i,0.002681+0.00040416i,0.0029842-0.00041743i,0.0033389-0.001116i,0.0042265-0.0021186i,0.0055365-0.0033723i,0.0054772-0.0027001i,0.0036378-0.00097523i,0.0015606-0.00063244i,0.0011758+0.00013861i,0.0013315+0.00060757i,0.0009138+0.00059035i,0.00063905+0.0004602i,0.00075343-0.00011311i,1.6586e-05+0.00019367i,-0.00063124+0.0010377i,-0.00045894+0.00082696i,-0.00014458+0.00019705i,0.00041846+8.1646e-05i
0.00085758+0.0012072i,0.00070835+0.00075002i,0.001673-0.00035077i,0.0017448-0.0014091i,0.0010677-0.0015274i,0.0010394-0.0007676i,0.00096584-0.00043306i,0.00040368-0.002335i,-0.00047776-0.0050515i,-0.0017611-0.0053895i,-0.0026158-0.0038275i,-0.0018918-0.0018987i,-0.0011599-0.00082646i,-0.0018469-0.0003577i,-0.0024244+6.7664e-05i,-0.0010914+0.00047348i,0.0007502+0.00016998i,0.00062687-0.00029118i,-0.00030397+0.00068386i,0.0002757+0.001696i,0.00082231+0.0013778i,0.00059677+0.00021238i,6.7628e-05-0.0011894i
-0.00036134+0.00026287i,5.1516e-05+0.00036263i,0.00010145+0.00062413i,-0.00036131+0.00090919i,0.0002005-1.2095e-05i,0.0015187-0.0015015i,0.001191-0.0018026i,-0.0010246-0.00085592i,-0.0034455-0.00047939i,-0.0051509+0.00042541i,-0.0050775+0.0013201i,-0.0027245+0.0012396i,-0.0016916+0.00055712i,-0.0019614-0.00041382i,-0.0016914-0.00028473i,-0.00081031+3.4894e-05i,0.0002797-0.00027073i,0.00057167-0.00037426i,-7.1996e-05-0.00034902i,-0.00060248-0.00070561i,-0.00035412-0.0010599i,-0.00032869-0.0010414i,-0.0010307-0.00081207i
