-0.0012317+0.0020751i,-0.00032044+0.0017222i,-0.0011332+0.00082264i,-0.00096915+0.00061071i,-0.0011767+0.0015206i,-0.0013465+0.001739i,-0.00093305+0.0019905i,0.00040465+0.0015282i,0.0013272+0.0010307i,0.00087816+0.00090033i,0.00021366+0.0006928i,0.0002158+0.00038527i,0.00043316-0.00018003i,0.00094758-0.00048336i,0.00085198-0.0005103i,0.00039101-0.00029491i,0.00015106+0.00038811i,0.00022429+0.00047557i,0.00060922+0.00041554i,0.00048972+0.0005707i,0.00050513+0.00032656i,3.3251e-07-0.00055498i,-0.00080161-0.00055327i
0.00050949-0.0025521i,0.0003391-0.0023015i,-0.00093445-0.001101i,-0.001033+1.0773e-05i,-4.7524e-05+0.00022373i,0.00021662+0.0011986i,-0.00068923+0.0018219i,-0.00060095+0.00062238i,-5.3313e-05-0.00031086i,-0.0001505-0.00054237i,-5.5524e-05-0.00044589i,0.00014073+3.0009e-05i,0.00053283+4.9622e-05i,-5.1028e-05+0.00017103i,8.3092e-05+0.0006153i,0.00053618+0.0010526i,0.00023867+0.00099911i,7.3554e-05+0.00026174i,0.00031332-0.00016584i,-6.6259e-05+0.00081459i,-0.00093467+0.00063977i,-0.00058775-0.00025218i,0.00047483+0.00024695i
-0.0015887-0.0002532i,-0.0016231+0.00019439i,-0.0023958+0.00033449i,-0.0024202+3.2724e-05i,-0.0022299+0.00032077i,-0.0016561+5.3514e-05i,-0.00077211+0.00012038i,7.5073e-05-0.00019938i,2.5169e-05-0.00064513i,0.00011775+0.00010007i,0.00056446+0.00025203i,0.00063632-0.00013483i,0.0012317-0.00018893i,0.00058981+4.4681e-05i,-0.00059478+0.00071131i,-8.6469e-05+0.0002992i,0.001211-5.5841e-05i,0.0013476+0.00035094i,0.00077149-1.5645e-05i,0.00065289-0.00015032i,0.00072916+8.4456e-05i,2.9847e-05+0.00013912i,-0.00061323-0.00050622i
-0.00071396-0.00067475i,-0.00064227-0.0002171i,-0.0011289+0.00061576i,-0.00095707+0.0015729i,0.00013472+0.0012285i,0.00092148+0.00040375i,0.00052284+0.00046121i,3.4082e-05+0.00027538i,0.00016277-0.00010894i,-0.0003471-7.9842e-05i,-0.00050414+0.00043571i,-0.00016992+0.0004339i,-0.0008848-1.6378e-05i,-0.00064646-0.00030807i,0.00086098-0.00040397i,0.0012301+5.2373e-05i,0.001037-3.9512e-05i,0.00046525+0.00013238i,1.3219e-05+0.00081346i,0.000415+0.0013679i,0.0002302+0.0019603i,0.0001155+0.0010265i,0.00038395+0.00040713i
-0.0015137+0.0010608i,-0.0010092+0.0002607i,-0.00062168+1.8766e-06i,-0.0010558+0.00051293i,-0.001582+0.00066409i,-0.00073451+0.00034255i,-0.00010638+0.00070524i,-0.00050866+0.0011352i,-0.0006661+0.0012858i,-0.00025596+0.00098773i,0.00048808+7.7176e-05i,0.00073514-0.00015687i,0.00066346+4.536e-05i,0.00041568+0.00036468i,0.00012505+0.00050118i,0.00012634+0.00042896i,0.00033262-1.3031e-05i,0.00022424-0.00067326i,-0.00020069-0.00057065i,-0.00031336-0.00068304i,0.00015232-0.00021753i,0.00057344-3.5474e-05i,0.00088918+3.3299e-05i
-0.00048781+0.00016288i,-0.00037585-3.9211e-05i,-8.4458e-05+0.00079523i,0.00045255+0.001127i,0.00099469+0.0011236i,0.0007483+0.00082679i,0.00062335-2.1469e-05i,0.00054114-0.00032494i,0.00011227-0.00025991i,7.1298e-05-0.00080832i,-0.00028282-0.00054364i,-0.00068306+8.7323e-05i,-0.00017154-0.00016526i,3.362e-05-0.00024022i,-0.00038964+0.00021534i,0.00021064+0.00046336i,0.00063256-4.7217e-05i,-4.8346e-05-0.00059174i,8.0803e-05-0.00017518i,0.00023757+0.00059443i,-2.8134e-05+0.0011515i,0.00038507+0.00066447i,5.538e-05-0.00015908i
0.00030414-0.0011255i,-0.00021316-0.0013279i,-0.00063469-0.0016799i,-0.0011493-0.00069906i,-0.0016567+0.00034985i,-0.0015675+9.1199e-05i,-0.00096732+0.00018937i,-0.00035124+0.00059822i,0.00015+0.00014419i,0.00038436-0.00055417i,0.001087-0.00021674i,0.0013301+0.00010449i,0.00045126-0.000402i,0.00028768-0.00013376i,0.00081681+0.00011083i,0.00085648+0.00011959i,2.8329e-05+0.00064573i,-0.00041684+0.00043569i,-0.00014441+0.00022516i,-6.092e-06-4.9793e-05i,-0.00010682-4.0878e-05i,-7.4001e-05+0.00068503i,0.00036201+0.00076923i
0.00015058+0.00012793i,0.00021211-0.00033405i,-0.0008549-0.00010602i,-0.00030472+1.1389e-05i,-1.0315e-05+0.00038738i,-0.00058916+0.00055108i,-0.0010209+0.0003197i,-0.00060476+0.00033838i,0.00023746+0.00017721i,0.00091195+0.00011843i,0.0012346+0.0007398i,0.00049551+0.00054533i,-5.3811e-05-2.0688e-05i,0.00043622+0.00012404i,0.00069015-0.00012539i,0.0010925-0.00023241i,0.0010143+0.00069865i,0.00060516+0.0011093i,0.00018685+0.00031425i,0.00010194+0.00069004i,-0.00033277+0.00041578i,-0.00035998+5.6821e-05i,0.00012442+0.00039612i
-0.00030497+0.00042585i,-0.001239+0.00036928i,-0.0017484-0.00038432i,-0.0016868-1.4493e-05i,-0.0013097+0.00068777i,-0.0010436+0.0014501i,-0.0008924+0.00081072i,0.00019638+0.0004467i,0.0010358+0.00045669i,0.00066414-0.00017097i,-6.8057e-06-0.00022175i,0.0005191+0.00023808i,0.0014939-0.00052503i,0.0020009-0.00064563i,0.001598+8.6884e-05i,0.00056282-0.00011242i,-8.8812e-05-0.00081559i,-0.00015483-0.00095403i,-8.2427e-05-0.00054931i,0.00025225+1.332e-05i,0.00012793+0.00011035i,-0.00057219-0.00013833i,-0.00098462-0.00030572i
-0.0010258-0.00021558i,-0.0012451+8.0797e-05i,-0.0014983+0.0003008i,-0.00074552+0.0004036i,-0.00025764+0.0007345i,-0.0002579-0.00020182i,-0.00031732-0.0013452i,3.1345e-05-0.00095206i,0.00038159-0.00013734i,-0.00029921-0.00038533i,-0.00035197-0.00064448i,-0.00023193-0.00045528i,-0.00099665-8.7793e-05i,-0.0010559+5.5018e-06i,-0.00018959+0.00018116i,0.00062452+2.8401e-05i,0.00061066+0.00058106i,-4.7972e-05+0.00126i,-0.00068075+0.00072439i,-0.00035787-3.2759e-05i,-0.0001003-0.00035105i,-0.00043573+5.254e-05i,-0.00058001-0.00014308i
-0.0005343-0.0023307i,-0.0012803-0.0015786i,-0.0022043-0.00079005i,-0.0020214+0.00049475i,-0.0014016+0.0015818i,-0.00071386+0.0018002i,-0.00033091+0.00057969i,7.4712e-05-0.00041191i,0.00046174-0.00049359i,-0.00027522-0.00015083i,-0.00075608-7.8623e-05i,0.00011261-0.00028396i,0.00075122-0.00035878i,0.00041491-0.0011461i,-0.00023696-0.00092504i,-0.00013075-0.00039752i,0.00076587-0.00019073i,0.00012438+0.00037313i,-0.00010256+0.00055976i,0.00044077+0.00011857i,-0.00029679-0.00031906i,-0.00056102-9.3826e-05i,-0.00025225+0.00056833i
