-0.00098959+0.00013789i,-0.0010465+3.1076e-05i,-0.0017747-0.000761i,-0.00095525-0.001323i,-0.00075886-0.00066522i,-0.0018694+0.00029908i,-0.0017515+0.00056928i,-0.0011116+0.00091771i,-0.00055337+0.0008227i,-2.9574e-05+0.00032366i,0.00020377+0.00020062i,0.00061509-3.0457e-06i,0.0002795-0.00023599i,-0.0006264-0.00031015i,-0.00060846-0.00082605i,0.00023401-0.00037867i,0.00062546+9.8276e-06i,0.00031272-0.00070708i,-9.275e-05-0.00052391i,-0.00042088-0.00052688i,3.9147e-05-0.0010895i,0.00014462-0.00086262i,-0.00044315-0.00044211i
0.0001805+0.00053371i,0.0012055+0.00066442i,0.0016987+0.00068983i,0.0011261-0.00083613i,0.00052526-0.0027391i,-0.00033513-0.0032763i,-0.00066389-0.0019939i,-0.00032387-0.0010027i,3.8306e-05-0.00023626i,-0.00038008+0.00024986i,-5.5208e-05+0.00029615i,0.00021254+0.00040929i,8.7965e-06+0.00037285i,5.3141e-05-1.3324e-05i,0.00018183-0.00045356i,0.00024843-0.0002628i,0.00054813+5.6418e-05i,0.00089969-0.00035478i,-3.2983e-05-0.00042012i,8.4872e-05-0.00010158i,0.00042534-0.00025856i,-1.2872e-05-0.0006543i,-1.889e-05-0.00070472i
-0.001444+0.00094096i,-0.0010003+0.00069598i,-0.0015896+0.000103i,-0.0012787-0.00022173i,0.00094815-0.00077492i,0.0027038-0.00065503i,0.0021754-0.00025577i,0.00014621-0.00062804i,-0.001175-0.00069816i,-0.00047543-0.0003593i,0.00038021+0.00052747i,-1.628e-05+0.0007139i,-0.00029389-0.00021849i,-8.4793e-05-0.0011823i,0.00017825-0.0014073i,-1.6825e-05-0.00079731i,-0.00014349-0.00010914i,-0.00010621-0.00026824i,0.00043867-0.00061731i,0.00072633+5.872e-05i,0.00047042+0.00040651i,0.00085095+0.00033963i,0.00070235-0.00011038i
0.00087713+5.1224e-05i,0.00078344-0.00062593i,0.0030638-0.0014708i,0.0027551-0.0015693i,0.0010542-0.0020055i,-0.00010006-0.0018208i,-0.00024949-0.00066039i,-1.4801e-05-0.00040043i,-0.00025754+3.468e-06i,3.1854e-05+0.0012698i,6.8789e-05+0.0012805i,-0.00013403+0.00031679i,4.0862e-05+0.00064894i,0.00046323+0.0014539i,1.8e-05+0.0012009i,-0.00062611+0.00022679i,6.3971e-05-0.00024182i,0.00066277-0.00067995i,-0.00015338-0.00096442i,-0.00037946-0.00083904i,-1.5655e-05-0.00054673i,-0.00070665-0.00076664i,-0.0010584-0.0011859i
0.0015688-2.0804e-05i,0.00031488-0.00039606i,-0.00061974-0.0021895i,-0.00026048-0.0030813i,-0.00074738-0.0031707i,-0.00018549-0.0030068i,0.00019087-0.0013358i,-0.0003839-0.00047817i,-0.00098385-0.00014732i,-0.0011863+0.00063491i,-0.0008598+0.00070639i,-0.00072961-3.9275e-05i,0.00011914+0.00063753i,0.00010495+0.00058187i,0.00011582-0.00050896i,0.0010824-0.0001961i,0.00099689+0.00036746i,0.00037905-4.5905e-05i,0.00016004-5.3754e-05i,-0.00037052+0.0005436i,1.5718e-05-5.8958e-05i,0.000961-0.00082637i,0.00080382-0.0004747i
-0.0008852-0.0020354i,0.00022338-0.0013459i,0.00051455-0.00066424i,-0.00019395-0.00011622i,4.1954e-05-0.00048579i,0.00054538-0.00061825i,0.00071172-0.00066457i,0.00017793-0.00014527i,-0.00053731+0.00072543i,-0.00053501+0.00058134i,-6.3295e-05+0.00046182i,-0.0001984+0.00025917i,-0.00041387+0.00011722i,5.1414e-05-0.00021105i,0.00041437-0.00081217i,0.00051183-0.00084884i,0.00048063-0.00018528i,9.7108e-05-0.00021727i,-0.00048954-0.00065751i,-0.00041034-0.00020122i,0.00018125+0.00038651i,-0.00042457+0.00031613i,-0.00085328-3.3793e-05i
-0.0016236+0.00074324i,-0.0021921+0.00032014i,-0.0018067+0.00054659i,-0.00057602-8.9774e-05i,0.0012212-0.00073715i,0.0015758-0.00084099i,0.0010234-0.00063647i,0.00074446-0.00024227i,0.00024524+0.00030975i,-0.00057895+0.00084034i,-0.00059597+0.00072212i,-7.2126e-08+0.00020971i,-0.00017595-0.00015349i,-0.00044278-0.00021277i,0.00073015-0.00014229i,0.0012513+9.0341e-05i,0.00081683-4.6518e-05i,0.00036958-0.00075819i,-0.00015055-0.00083471i,0.00036016-0.00033479i,0.00056631-0.00027944i,0.00019312-0.00039892i,-0.00041467-0.00080428i
0.00081193-0.00022122i,0.0011243-6.4872e-05i,0.001491-0.00012916i,0.0014584-0.0004422i,0.0010887-0.00080705i,0.00059942-0.00093082i,-0.00010529-0.00084081i,-0.00055702-0.00039718i,-0.00061235+0.00050204i,-0.00019255+0.00043085i,0.0003576+0.00016232i,0.00081105+0.00073141i,0.0011795+0.001131i,0.0011272+0.0003069i,0.00094295-0.00026978i,0.00040827+0.00072845i,-6.4642e-05+0.0012864i,7.5832e-05+0.00028267i,0.00015893-0.00012508i,0.00017217+0.00040133i,-0.00031295+0.00051465i,-0.00077422-0.00020042i,-0.00098956-0.00064792i
-0.0013293-0.0013523i,-0.0022588-0.0011623i,-0.002411-0.00063864i,-0.0018762-0.0004662i,-0.0010895-0.0012518i,-9.2438e-05-0.00093495i,0.00086574-0.00020482i,0.0011065-8.5053e-05i,0.0003386+0.00034671i,-0.00091418+0.00088742i,-0.0013238+0.00060586i,-0.00076899+0.00038568i,-0.00027596-0.00019351i,0.00044704-0.0011657i,0.00078577-0.0011351i,9.4819e-06-0.00071036i,-0.00025268-0.00026481i,-0.00018457-0.00010546i,0.00018792-0.00073365i,0.00068663-0.00087208i,0.0005677+0.00010481i,-3.9997e-05-7.223e-05i,-0.00035679-0.00036096i
0.0018206+3.6886e-05i,0.0018395-0.00055832i,0.0015259-0.0010788i,0.0013762-0.001209i,0.0014995-0.0015039i,0.0015042-0.0009791i,0.0012805-0.00031313i,0.00059312-0.00046795i,0.00016276-0.00024405i,0.00056295+0.00038174i,0.0007804+0.00039175i,3.5022e-05+0.00029244i,-0.00021189+0.00065229i,0.00038962+0.00057975i,0.00053956+9.2148e-06i,0.00031832-5.8564e-05i,0.00011972+7.2309e-05i,0.00022129+2.5521e-06i,0.00029097-6.929e-05i,-0.00023801+0.00067007i,-0.00054685+0.00034582i,1.2926e-05-0.00074258i,-7.2519e-05-0.00083521i
0.00034021-0.0011788i,-0.00052048-0.0020243i,-0.00090534-0.0023023i,-5.8926e-05-0.0017566i,0.00075026-0.0019129i,0.00046666-0.0015074i,3.0477e-06-0.00052719i,-0.00026371-0.00011199i,-0.0010235-0.00027554i,-0.001056+0.00019024i,-0.00090266+0.0013162i,-0.00058599+0.0013586i,-0.00024494+0.00080939i,0.00023989+0.00015866i,0.00038667+0.00029444i,-0.00025006+0.0004193i,-0.00066699+0.00045658i,-2.1795e-05+0.00034364i,-0.00037761-4.3604e-05i,-0.0016183-0.00056043i,-0.0012965-0.00056633i,-0.00052855-0.00057853i,-0.00017585-0.0015048i
0.00088355+0.00076218i,0.0011168+0.00037831i,7.6768e-05+7.8859e-05i,-0.0005486+0.00021425i,0.00044258+0.00011444i,0.0016981+2.1923e-05i,0.0016018+0.00017116i,8.0798e-05+6.3767e-05i,-0.00070347+0.00068118i,-0.0006512+0.0010945i,-0.00056152+0.00067856i,-0.00056882+0.00034723i,-0.00017843-0.00039446i,0.00045393-0.00072007i,0.00066535-0.00024705i,0.00015859-0.00054229i,-0.00019387-0.00078755i,6.8381e-05+0.00039498i,-0.00040703+0.00056418i,-0.00082246+0.00063445i,-0.00033781+0.0010253i,0.00048825+0.00041198i,0.00019716-0.00044303i
0.00060278-0.0011586i,-0.00027246-0.00029679i,5.243e-05-0.00068479i,0.0016263-0.0014032i,0.00104-0.0015368i,0.0004209-0.000512i,0.00081474+0.00019022i,0.0010795+0.00029597i,0.0010003+0.00041152i,0.00038237+7.0104e-05i,-0.00051063-2.8259e-05i,0.00016496+0.00037777i,0.0011408+0.00062442i,0.0010939+0.00080609i,0.00024591+0.00011174i,-0.00022816-0.00049651i,-5.0958e-05-0.00055191i,-0.00033535-0.00081832i,-0.00038078-0.00015428i,-0.00022671-0.00030199i,-1.4905e-05-0.00069053i,0.00010439-8.9282e-05i,-0.00038325+0.00044099i
-0.00065571-0.00096689i,-0.0010803-0.0010122i,-0.0021707-0.0011514i,-0.0020283-0.00057856i,-0.00049462-0.00031282i,0.00043807-5.9781e-05i,0.00018663-0.00022764i,-2.0359e-05-0.00058723i,-0.00019838-0.0012991i,-0.00056876-0.0014534i,-0.00035066-0.0007473i,0.00016249-0.00074438i,0.00049646-0.00041684i,0.00072318-0.0006452i,0.000563-0.00088526i,3.9974e-05-0.0006934i,-0.00033083-0.00083996i,-2.1162e-05-7.5196e-05i,-0.00012447+0.00041048i,4.2038e-05+0.00040685i,0.00037892+0.00020316i,0.00035721-0.0002494i,0.00050878+0.00043302i
-0.00025402-8.1681e-06i,-0.00031321-0.0012171i,0.00015208-0.0010242i,0.00085858-0.00049989i,0.0018911-0.0015574i,0.002035-0.0017874i,0.0012398-0.0011986i,0.00071772-0.00091908i,0.00022691-0.00085528i,-0.00024297-0.00054529i,-0.00024389-0.00010286i,-0.00040756-2.3644e-05i,-0.00072586-0.00055961i,-0.0011186-0.00025715i,-0.00086471-2.0539e-07i,0.00018762-0.00048086i,0.00017778-0.00080548i,-7.4699e-05-0.00019044i,-0.00010244-0.00012641i,-3.8761e-05-0.00020409i,0.00014367+0.00031558i,0.00061447+0.00042271i,0.00036635+0.00017893i
0.0003685+0.0010832i,0.00071688+0.00060395i,0.0012568-0.00033954i,0.00089542-0.0011727i,0.00040926-0.0010485i,0.00044171-0.00047053i,0.00048823+0.00014073i,0.00012813+0.00093898i,-0.00055732+0.00092909i,-0.0013179+0.00057315i,-0.00063893-0.00016245i,-8.7127e-05-0.00027269i,-9.6473e-05+0.0006925i,0.00010786+0.0015828i,0.00038395+0.0015236i,0.00029602+0.00069154i,-0.00051714-0.00010663i,-0.00095652-0.00025594i,-0.00070036-0.00088828i,1.3053e-05-0.00078065i,8.1475e-05+0.00018402i,-1.8456e-05+0.0002271i,0.00043721-0.00014921i
0.0015716+0.0015744i,0.0003166+0.00031107i,0.0011845-0.00083094i,0.0017906-0.0026498i,0.0007732-0.0032112i,0.00044105-0.002116i,0.00081485-0.00076416i,0.0009874-0.0001546i,0.00103-6.8199e-05i,0.00061064-0.00025301i,0.00065511-0.00048682i,0.0007103-0.00012905i,0.00094721-0.00043444i,0.00082333-0.0011982i,0.00024116-0.0011952i,0.0004417-0.00088057i,0.00069912-0.00056738i,-9.4709e-05-0.00054144i,-0.00069195-0.0011949i,-0.00086897-0.00081573i,-0.00021003+0.000725i,0.00055992+0.0006917i,0.00047804-5.9887e-05i
0.00052313-0.00026864i,-0.00048945-0.00045702i,-0.0011391-0.0011376i,-0.0012782-0.0013224i,-0.00029774-0.0018832i,0.0010179-0.001687i,0.00089698-0.00068002i,9.9929e-05-0.00044673i,-0.00025548-0.00017045i,-9.4808e-05+0.00014412i,0.00036131-0.00034307i,-7.3639e-05-0.00021141i,-0.0002078-0.0001855i,0.00035252+0.0001365i,-0.0001653+0.00013883i,-0.00018624-0.00032508i,-0.00017391-0.00011009i,-0.00020316+6.7983e-05i,0.00031988-9.1762e-06i,0.00048567-0.00037792i,2.4932e-05-0.00012068i,-2.9116e-05+0.00027993i,0.00034783+2.2509e-05i
0.0021136+0.00047603i,0.0023945-0.00015876i,0.0017087-0.00093703i,9.0752e-05-0.0024299i,0.00032477-0.0028656i,0.00076205-0.0016185i,0.0010947-0.0003368i,0.00037273-0.00022018i,-0.00074269-0.00053502i,-0.00053197-0.00012038i,-0.00010099+0.00042871i,0.00022522+0.00048734i,0.00030287+0.00071578i,0.00046307+0.00069961i,0.0006058-0.00014871i,-0.00014803-3.199e-06i,-0.00024197-0.00013234i,0.00047616-0.00052902i,0.00038373-0.00056324i,-0.00045623-8.0429e-05i,-0.0008449+0.00046705i,-0.00049213+0.00068321i,-0.00048766+6.7844e-06i
-0.00023308-0.00069466i,-0.0015389-0.00096493i,-0.0020267-0.0023351i,-0.0012604-0.0020358i,0.00033305-0.0010622i,0.0011043-0.00041524i,0.0011101-0.00010394i,0.0010263+0.00013596i,0.00038045+0.00075122i,5.0864e-05+0.00056144i,0.00035961-0.00034258i,0.00051282+0.00017305i,0.00056142+0.00069339i,0.00073302-3.4375e-05i,0.00046877-0.00060465i,0.00045797-0.00056911i,0.00037132-0.00077965i,-0.00034028-0.00074952i,-0.00055396+5.9701e-05i,-3.0873e-05+0.00097842i,4.0791e-05+0.0011327i,3.7371e-05+0.0002522i,0.00019002-0.00067645i
0.0012642-0.00050393i,0.0010936-0.00096734i,0.00046064-0.00065332i,5.7477e-05-0.00077889i,0.00084494-0.0011134i,0.00062141-0.0010353i,-0.00027962-0.00078132i,-0.00025987-0.00059937i,3.6104e-05-0.00058961i,-0.00021039-0.00034373i,-0.0011728-0.0001533i,-0.0018752-8.5674e-05i,-0.0011339-0.00010089i,-0.00062909-0.00028282i,-0.0012552-0.00011365i,-0.0011641+0.00035049i,-0.00023264-0.00040733i,0.0003369-0.0008249i,0.00046058-0.00042618i,0.00036588-0.0004438i,0.00059242-0.00038813i,0.000485-0.00037267i,-0.00024282-0.00031179i
-0.0021044-0.0015855i,-0.0016195-0.0010103i,-0.0019918+0.00012883i,-0.0025306+4.2309e-05i,-0.0017565-3.2055e-05i,-0.00017876+0.00034291i,9.2954e-05-0.00046141i,-0.00044931-0.00080007i,-0.00054105-0.00019481i,-0.0010985+0.00061134i,-0.0010775+0.00082548i,0.00029646+0.00035559i,0.0014828-0.00029181i,0.0010088-0.00020865i,0.00051003+0.00014436i,0.00070897+0.00081783i,0.00084223+0.00080586i,0.00060455+0.00014105i,0.00043104-0.00049249i,-5.4918e-05-0.00041716i,-0.00031035+7.8461e-05i,-1.0612e-05+0.00021871i,0.00021792+0.00042505i
0.0011572-1.231e-05i,0.00031872-0.0010146i,-4.7371e-06-0.001539i,0.00078331-0.0010195i,0.00077664-0.00072004i,0.00026928-0.00066863i,0.00072223-0.00046483i,0.00035118-0.00039267i,-4.4709e-06+0.00016382i,9.5016e-05+0.00056614i,0.00052317+0.00052217i,0.0008412+0.00013738i,0.00072224-0.00058545i,7.7558e-05-0.00028218i,-4.1478e-05+0.00016289i,6.8833e-05-0.00015074i,-0.00029963-1.6064e-06i,-5.839e-05-0.00013575i,-6.9968e-05-0.00025802i,0.00013036-0.00016604i,-0.00039289-3.364e-06i,-0.00082274-8.5404e-05i,0.00042045-0.00014189i
-0.0009495+9.0722e-05i,0.00017109+0.0010371i,0.00037807+0.00096591i,0.00032459+0.00030562i,0.0012095-0.00093621i,0.0018207-0.0013915i,0.00070027-0.00064013i,-0.00045639-0.00029208i,-0.00080367-5.1709e-05i,-0.00073782-0.00044819i,-0.00026561+7.6501e-05i,0.0001933+0.00016946i,0.00077642+1.8533e-05i,0.0008188+0.00030548i,3.5129e-05+0.0004028i,-0.0002078+0.00033021i,0.00011631+0.00032227i,0.0001756-4.9349e-05i,0.00050733-0.00055566i,0.0006913-0.0004649i,0.00060206-0.0002387i,0.00076611-0.00067902i,0.0006851-0.0001611i
2.3705e-05+0.0026416i,0.00038763+0.0028837i,0.00059279+0.002322i,0.0011601+0.00089841i,0.0014297-0.0010377i,0.00066546-0.0017984i,2.5716e-05-0.000685i,-8.2333e-05+0.00028759i,-0.00036496+0.0012164i,-4.5313e-05+0.0013937i,0.00062492+0.0007594i,0.00095728+0.00057766i,0.0010663+0.00058532i,0.00096703+9.4324e-05i,0.00075529-0.00033921i,0.00014708-7.1053e-05i,0.00023168-0.00038413i,0.00020997-0.00037648i,-4.1317e-05+0.0010602i,-0.0008202+0.0015842i,-0.0012721+0.00098911i,-0.00064497+0.00058957i,-0.00020821+0.00035902i
-0.00032888+0.00071383i,0.0002907-9.2641e-05i,0.00087205-0.00089249i,0.001851-0.0011606i,0.0014698-0.00079123i,0.00075113-0.0012799i,0.00058946-0.00082751i,-7.524e-05-0.00011462i,-0.00068746+5.4005e-05i,-0.00096239+0.00044454i,-0.00068222+0.00067073i,-9.8939e-06+0.00068348i,-0.00026695+0.00012514i,-0.0014256-9.6382e-05i,-0.0021408-9.438e-05i,-0.0015056-0.00036362i,-0.00035865-0.00046615i,7.7116e-05-0.00049196i,-0.00029712-0.0010195i,-0.00023195-0.000981i,0.00014247-0.00011929i,0.00064763+0.00025346i,0.00042545-0.00015833i
-0.0019996-0.0021252i,-0.001493-0.00090988i,-0.0017305-0.00017047i,-0.0023075+0.00073507i,-0.00058751+0.0014204i,0.0016664+0.0013096i,0.0022006+0.00014516i,0.00085613-0.00025835i,-0.00096522+0.00023402i,-0.0010106+0.00066552i,-0.00019394+0.00079898i,0.00040931+0.00032512i,0.00091316-0.00029466i,0.0014111-0.00047042i,0.00094838-0.00034783i,0.0002159+0.00013213i,0.00024113+0.0005905i,0.00021903-0.00030748i,7.4386e-05-0.00046566i,0.00058419+0.00048375i,0.0012336+0.00078233i,0.00080706+7.7055e-05i,0.0003329-0.00031649i
-0.00012911-0.0013489i,-0.0002555-0.0004927i,-0.00081861+0.00067231i,0.000375+0.00118i,0.0015503+0.00057255i,0.00098738-0.00078471i,-2.8863e-05-0.00057335i,-0.00035632+0.00055049i,-0.0005898+1.6175e-05i,-0.00079538-9.9017e-05i,-0.0010214+0.00082567i,-0.0011643+0.00036935i,-0.00049696-0.00042419i,0.0003728-0.00041108i,0.00063897-0.00024128i,0.00037748+5.4452e-06i,0.00063735+0.00030919i,0.00068307+0.00066813i,5.744e-05+0.0010824i,-0.00036909+0.00053264i,-0.00032195+0.00026117i,0.00025461+0.00036072i,7.6577e-05+6.9864e-05i
-0.000845-0.00014649i,-0.00085398-0.00082708i,-0.0002534-0.0017601i,0.00026937-0.0017588i,0.00036101-0.0015647i,0.00080924-0.0016705i,0.0010724-0.00095983i,0.00080159+1.163e-05i,5.6724e-05-3.1917e-05i,0.00023457+0.00042941i,0.00014348+0.001314i,-0.00024502+0.0010547i,-7.2918e-05+0.00040673i,-0.00014806+0.00040691i,-0.00023979+5.8953e-05i,0.00042525-0.00017569i,0.00086272-7.6175e-05i,0.00011569-0.00042701i,-1.5298e-05-0.00023862i,0.00082828-0.00014423i,0.00078689-0.00083876i,-0.0004215-0.00064852i,-0.00063309-0.00036483i
0.00068462-0.0015855i,0.00010742-0.0022029i,-0.00016418-0.0020965i,-0.0006809-0.0018927i,-0.00076005-0.0016962i,-0.00027994-0.00077173i,0.00047107-0.00048547i,0.00025465-0.00072052i,-0.00060872-0.00048476i,-0.00020484+4.5771e-05i,0.00046585+4.5073e-05i,0.00055875-0.00020833i,0.00099714-0.00063943i,0.00094437-0.00064271i,0.00088675-0.000327i,0.0015738-0.00060952i,0.00092555-0.00064076i,4.5941e-05-0.00036045i,-3.458e-05+0.00031687i,-0.00019408-0.00040089i,0.00027531-0.0016693i,0.00039928-0.00099286i,-8.2037e-05+0.00045163i
-0.00017011+0.00053708i,0.00026096+0.00071562i,0.0001696+5.5756e-05i,5.7056e-05-0.0010657i,0.00032968-0.00098905i,0.0012988-0.0009889i,0.0012392-0.0006234i,0.00016213-0.00027959i,-0.00042807-0.00041135i,-0.0007554+0.00032088i,-0.00083551+0.00045312i,-0.00021548-0.00013404i,0.00014369+6.2268e-05i,8.3945e-05+0.00011148i,-0.00010232-0.0005341i,-0.00050176-0.00030364i,-0.00021134+0.00028545i,0.00059412+0.00014833i,0.00070437+0.00069884i,0.00052257+0.00062856i,-0.00011024-0.00012562i,-0.00011264+0.00032616i,0.00069877+0.00038933i
-0.00026981-0.0010756i,0.00036981-0.0009831i,0.00024046-0.0014753i,0.00015331-0.0013205i,0.0012978-0.0014546i,0.001639-0.0016019i,0.0010511-0.00092001i,0.00023458-0.00050771i,-0.00054652-0.00039112i,-0.00049572+9.5448e-05i,-0.00014775-0.00046396i,0.00033432-0.00086789i,0.00083528+0.00049832i,0.00067936+0.00062966i,0.00026525-0.00032054i,0.00052295-0.00062689i,0.00083465-0.00052636i,0.0011029-0.00088201i,0.00093291-0.001072i,0.0001001-0.0011819i,0.0002429-0.00094369i,0.00043048-0.00010683i,-0.00062105+0.00033923i
