-0.00044028+0.0006089i,-6.9932e-05+0.00048374i,-0.0012776+0.00090097i,-0.0016298+0.0010513i,-0.00076779+0.00039485i,-0.0010756+0.00021797i,-0.0010129+0.00074707i,0.00068992+0.0010082i,0.0016503+0.00011683i,0.0017694-0.00045996i,0.00145+7.787e-05i,0.00038799+0.00053692i,-0.0012124-4.682e-05i,-0.0013261-0.00066358i,-0.00079379-0.00080866i,-0.0010643-0.00050929i,-0.00079955-0.00037024i,-0.00096565-0.00069012i,-0.0006008-0.0004931i,-0.00036192-9.2284e-05i,-0.00057385+5.0903e-05i,-0.00079657+0.00031434i,-0.00089581+6.928e-05i
-0.0018109+0.00084433i,-0.0015148+0.00012624i,-0.0016923+0.00041568i,-0.0014299+0.00021082i,-4.299e-05+0.00029342i,0.00067347+0.0002687i,-0.00021708-0.00061268i,-0.00093825-0.0011169i,-0.00040298-0.00093933i,0.00039642-9.1905e-05i,0.00080067+0.00030351i,9.0242e-05-0.00018771i,-0.0004134-0.0008325i,-0.00085046-0.00083164i,-0.0011707-2.9802e-05i,-0.00025165+0.00074143i,0.00038368+0.0006991i,0.00044407+0.00060281i,0.00017026+0.00085371i,0.00011209+0.00045878i,0.00072416-0.0004377i,0.00075022+7.0646e-05i,0.00043217+0.00027787i
0.0014245+0.0003657i,0.001695+2.3551e-05i,0.0020693-0.00067166i,0.0013114-0.0010728i,0.00058091-0.0010379i,0.00020012-0.00091973i,0.00027652-0.0009347i,5.6913e-05-0.00083843i,-0.00070543-0.00060355i,-0.00080549-7.9935e-06i,-0.0005192+0.00061189i,-0.00049466+0.00022008i,-0.0008818-0.00027489i,-0.0012725+8.4601e-05i,-0.0012681+0.00010105i,-0.00047775+0.00016131i,-0.00025285+0.00073549i,-0.0006749+0.0010586i,-0.00065086+0.00061933i,-0.00030311-4.7513e-06i,-0.00029076-0.00028648i,-0.00024121-0.00047107i,-0.00029634-0.00033301i
-0.0009811-0.00050212i,-0.001676+0.0010145i,-0.0021475+0.0023664i,-0.0010017+0.0016477i,0.00037251+0.00064481i,0.00027266+0.00025527i,-0.00017907-0.00085353i,-0.0008313-0.0020398i,-0.0006131-0.0018062i,0.00031051-0.00056209i,0.00038853+0.00046564i,0.00043069-0.00010477i,6.7703e-05-0.00041542i,-0.001002+7.5056e-05i,-0.0011977+0.00073688i,-0.00025967+0.0013955i,0.00042134+0.0014163i,0.00072394+0.00037974i,0.00075182-0.00031648i,0.00038576+7.6354e-05i,0.0001317+0.00037031i,0.00058222+0.0004974i,0.00030404+0.00093701i
-0.0015491-0.0012273i,-0.0013562-0.0019242i,-0.0014881-0.0015305i,-0.0013671-0.00051731i,-0.00069795-0.00055057i,0.00027143-0.0004634i,0.00034287-5.7959e-05i,-0.00057534-0.00030735i,-0.00089175-0.00054708i,-0.00020162+0.00012111i,0.00022875+0.00031981i,0.00028612-0.00017688i,0.00016576-0.00096573i,1.6191e-05-0.001224i,-0.00022765-0.00044712i,-0.0011663+0.00069019i,-0.0012176+0.00085016i,-0.00065921+0.00077222i,-0.00048498+0.00023854i,-0.00029062-0.00082732i,-0.00067276-0.00067471i,-0.0010267-0.00038067i,-0.00048493-0.00074737i
0.00035051-0.00039426i,0.00051474-3.9017e-06i,0.00076306+5.0277e-05i,0.0013755-0.00028985i,0.0020091-0.0010318i,0.0021242-0.00113i,0.0018457-0.0010497i,0.00083416-0.00065157i,-0.00057519-0.00069723i,-0.00075579-0.0015295i,-0.00056863-0.0012904i,-0.00020367-0.00044877i,-1.1325e-05-0.00033518i,0.00034361+0.000102i,0.00021924+0.00059123i,-0.00030627+0.00056174i,-0.00049866+0.0005631i,-0.00068679+0.00030356i,-0.00013594-0.00045504i,0.00047042-0.00029331i,0.0001827+6.8408e-07i,-0.00033424-0.00070027i,-0.00030295-0.00080917i
0.002283+0.00047706i,0.0026231+0.00051068i,0.0021761-0.0014418i,0.0015835-0.0027922i,0.00037163-0.0029245i,0.00071633-0.0019183i,0.0010025-0.00095029i,0.00056772-0.0015439i,0.0004706-0.0020017i,-0.00033255-0.00092099i,-0.0008012+3.2436e-05i,-0.00024273+0.00011196i,-2.1549e-05-0.0004042i,-0.00030962-0.00081212i,0.00023736-0.00024631i,0.00020616-0.00013881i,-0.00013984-0.00036865i,-0.00024525+0.00014758i,-8.4805e-05+0.00083531i,0.00037883+0.00045429i,0.00073591-0.00031513i,0.00024855+0.00013557i,-0.00090746+0.000565i
-0.00068196+0.00094594i,-0.0010914+0.0019831i,-0.00063948+0.002773i,0.00044937+0.0024228i,0.00047764+0.0011152i,0.00020293+0.00014166i,0.00013857-0.0002589i,-4.2984e-05-0.00035559i,-0.00051199-0.00049285i,-0.0010836-0.0011186i,-0.0008317-0.0015848i,-0.00034806-0.00084235i,-0.0001337+0.00033227i,0.0001499+0.00055037i,0.0002005+0.00059922i,-0.00052337+0.0003952i,-0.00095793+6.1484e-05i,-0.00073434+6.6495e-05i,0.00022933-1.5054e-05i,0.00076976+0.00013607i,0.00043777-2.6489e-05i,0.00049886-0.00036973i,0.0006021-0.00035257i
-0.0014492-1.7627e-05i,-0.0011021+0.00042421i,-0.0014609+0.0013748i,-0.00098543+0.0018752i,0.00022076+0.0014159i,0.001149+0.00049913i,0.00086698-0.00036418i,0.00011218-0.0011185i,-0.00031058-0.0016564i,-0.0006768-0.00089279i,-0.00094074-0.00014616i,-0.00057323+8.1113e-05i,0.00028512+4.9358e-05i,0.00026825-0.00018897i,-0.00060166+6.179e-05i,-0.00075521+0.00043445i,-0.00055402+0.00061442i,-0.000875+0.00021242i,-0.0010984-0.00030988i,-0.00018583+4.0263e-05i,0.00061322+0.0003854i,0.00097832+0.00032818i,0.00092683-0.00015572i
-0.00030438+0.00044291i,-0.00057572+0.00051039i,-0.00059214+0.0013943i,-4.0819e-05+0.0014037i,0.000568+0.00052257i,0.00054684-1.4683e-05i,0.00026927-0.00036115i,-8.5483e-05-0.00014183i,-0.00042817-0.00014709i,-0.00058679-0.00015628i,0.00042949+7.0502e-05i,0.0009377-0.0003563i,8.7557e-05-0.00049536i,-0.00090566+3.397e-05i,-0.0016281+3.8471e-05i,-0.0014138+0.00026386i,-0.00055711+0.00022737i,-0.00035737-8.6905e-05i,-0.00010801+0.0002442i,0.00072251+0.00072018i,0.00027043+0.0009456i,-0.00024986+0.00026698i,6.5938e-05-0.00068155i
-0.0013191-3.7064e-05i,-0.0012178+0.00081977i,-0.0018071+0.00056803i,-0.0013525+0.00037194i,-0.0002203+0.00018906i,-0.00020011-0.00057003i,-0.0006288-0.00087575i,-0.00046192-0.0015946i,-0.00033263-0.0024219i,-0.00041768-0.0014184i,-0.00033439-0.00037172i,0.00032654-6.8086e-05i,0.00049302-0.00036029i,1.5417e-05-0.00081509i,-0.00059517-0.0007965i,-0.0008399-0.00057553i,-0.0003063-0.00050128i,-0.00013129+0.00028762i,-0.00078308+0.00053877i,-0.00028773-0.00010467i,-0.00046636-8.4063e-05i,-0.0010943-3.9049e-05i,-0.00094824-0.00018499i
-0.00045489-0.00062607i,-0.00061929-0.00070921i,-0.00069759-0.00070367i,-0.00060259-6.7475e-06i,0.00016466-0.00028657i,0.00074433-0.00046405i,0.00065632-0.00099712i,0.00025817-0.0013875i,-0.00057951-0.0010844i,-0.0009832-0.00057914i,-0.00027388-0.00039297i,0.00053051-0.00029615i,0.00034071-0.00029146i,-0.00043006-6.8899e-05i,-0.0011412+0.000216i,-0.0015293+0.00019647i,-0.0010341+0.00067076i,-0.00054484+0.00094114i,-0.00086407+0.00083146i,-0.00086257+0.00080642i,-5.6604e-05+0.00069762i,0.00040407+0.0012093i,0.00063681+0.00089081i
-0.0014103-0.0014363i,-0.0013849-0.0015208i,-0.0016171-0.0027013i,-0.0015126-0.0019931i,-0.0010869-0.00027977i,-0.00058241+0.00011821i,-0.0003646-0.0008663i,7.771e-05-0.0015677i,-0.00054287-0.0015359i,-0.0011707-0.0010521i,-0.00061627-0.00078618i,-0.000117-0.00095887i,-0.00018349-0.00085729i,-0.0005161-0.0006398i,-0.0013962-0.00043029i,-0.0014142+0.00039143i,-0.00062451+0.00020449i,7.4684e-06-5.9921e-05i,-0.00041064+0.00027915i,-0.00091352+0.00032757i,-0.00071431-0.0002695i,-2.6616e-05-0.00072312i,-3.8492e-05-6.8284e-05i
-0.0015182-0.00015777i,-0.00049936+0.00029338i,-0.00021493+0.0017806i,-0.00018948+0.0029133i,0.00024931+0.002405i,-0.00039806+0.00094717i,-0.00078931+0.0005379i,1.2754e-05+0.00097162i,0.00032204+0.00065683i,-0.00066446-0.00015646i,-0.00067606-0.00077038i,-0.00044517-0.0013481i,-0.00068498-0.0015458i,-0.00057702-0.001187i,-0.0012669-0.00075502i,-0.0010923-2.6859e-05i,-0.00014647+0.0004461i,-0.00017638+0.00058565i,-4.6673e-05+0.0010412i,0.00037945+0.00056066i,0.0003722-5.1617e-05i,-0.00022789+0.00061696i,-0.00071426+0.001013i
0.0013893+0.00051442i,0.0013147+0.0012505i,0.0019773+0.001375i,0.0020123+5.3151e-05i,0.001505-0.00042099i,0.00088029-0.00035394i,-0.00019123-0.0011193i,-0.00062429-0.0013027i,-0.00011255-0.00071206i,0.00074629-0.00057409i,0.00073686-0.00036806i,-0.00012385-0.00029796i,-0.00086292-0.00068821i,-0.0009979-0.000642i,-0.00086514-0.00037852i,-0.00067296-0.00030365i,-0.00061258-0.00023431i,-0.00040198+0.00039034i,-0.00064643+0.00064318i,-0.00097717+7.534e-05i,-0.00045142+6.8572e-05i,0.00059168+0.00018354i,0.00092923-0.00041392i
-0.0014863+0.00078299i,-0.0017707+0.0010144i,-0.0010107+0.00050819i,0.0001963-0.00021489i,0.0010913-0.00013564i,0.0007174-0.00021931i,-0.00017912-0.00012941i,-0.00039649-0.00034748i,-0.00052941-0.0014785i,-0.00023979-0.0017256i,-3.8717e-05-0.00028749i,-0.00025258+4.537e-05i,-0.00017921-0.00062527i,-8.9666e-05-0.00046357i,-1.9962e-05+0.00057973i,-0.00065791+0.0011428i,-0.001219+9.3848e-05i,-0.0011156-0.00062512i,-0.00077094-0.00013731i,-0.00082692-0.00042678i,-0.00075181-0.0011981i,-0.00012142-0.00052193i,0.00080352+0.00029233i
-0.0014693+0.0010241i,-0.0012386+0.00043648i,-0.0010778+0.00016183i,0.00038573+0.00044892i,0.0019146+0.00052504i,0.0016396-0.00077161i,0.00095613-0.0013345i,0.00058713-0.00095154i,0.00012426-0.00072066i,-0.0003995-0.00041195i,1.984e-05+0.00015438i,0.0002003+3.0246e-05i,-0.00063775-0.00036474i,-0.00096018-0.00045783i,-0.00059802-0.00033193i,-0.00065314+0.00015515i,-0.00046959+0.00050471i,-0.00040299+0.00057784i,-0.0004284+0.00057806i,0.00010503+0.00017829i,0.00055551-0.00072993i,0.00021142-0.00092262i,-9.2664e-05-0.00013361i
-0.00037544+0.0016322i,-0.0012857+0.0012664i,-0.00051299+0.00050393i,0.0012965+5.9713e-05i,0.0024556-4.5587e-06i,0.0012399-0.00082495i,-0.00072733-0.0011361i,-0.0011683-0.0011637i,-0.0005057-0.00086791i,0.00034687-9.341e-05i,0.0012759-0.00052861i,0.00045908-0.00071034i,-0.00064203-0.00023161i,-0.00049042-0.00059752i,-0.00062557-0.00015205i,-0.0015212+0.00031335i,-0.0018484+5.734e-06i,-0.0012505-0.00014661i,-0.00084226-2.7372e-05i,-7.3966e-06+0.00049081i,0.00064635+0.00013021i,0.0010765+0.00013871i,0.00044765+0.00018358i
0.0013773+0.0011191i,0.0019271+0.0013537i,0.0024644+0.0019554i,0.0020583+0.0015529i,0.0013087+0.00058047i,0.00031157-0.00081335i,-0.00020603-0.00083876i,-4.2894e-05-0.00012905i,0.0006102-0.00079643i,0.001042-0.0016889i,0.0011791-0.0009811i,0.00057313-0.000287i,-0.00021042-0.00098716i,-0.00050209-0.00084673i,-0.00077763+0.0005435i,-0.00034309+0.00057164i,0.00058694-1.3654e-05i,-0.00057747+0.00023361i,-0.0014597+0.00028381i,-0.000832+0.00025677i,-0.00041987+0.00014326i,-0.00035867+0.00013564i,0.00030973+0.0001498i
0.0036496-0.0012233i,0.0033849-0.0010362i,0.0025141-0.002515i,0.0017087-0.0030283i,0.0014359-0.0028221i,0.0012739-0.0021142i,0.00035094-0.00081492i,-0.00042196-0.00091868i,-0.00045807-0.0016441i,-0.00029414-0.0007342i,-0.00031948-0.00049324i,-0.00059741-0.00056316i,-0.00097596+0.00037859i,-0.0015817+0.00080855i,-0.00068341+0.0011495i,0.00061719+0.00081542i,0.00098218+0.00066562i,0.0003847+0.00060091i,1.4505e-05+0.00042207i,3.9587e-05+3.1527e-05i,2.7892e-05-0.00027078i,-0.00057626-0.00016321i,-0.001081-4.7438e-05i
0.0025959-0.00025587i,0.0016483+0.00013148i,0.0023346-0.0013832i,0.0016269-0.0021398i,8.4701e-07-0.0019908i,-0.0006399-0.0017793i,-0.00066526-0.00066111i,-0.00063667+0.00067603i,-0.00033164+3.5928e-06i,-0.00023992-0.00093165i,-0.00048042-0.0011613i,-0.0006929-0.00093318i,-0.0012015-0.00059392i,-0.0018344-0.00035288i,-0.0022427-0.00014893i,-0.0018228+0.00081942i,-0.0011456+0.0011784i,-0.0016006-7.1987e-05i,-0.00082652-0.00099761i,0.00016988-0.00025635i,0.00036938+0.00061234i,0.00046206-2.7499e-05i,0.00091974-0.00038739i
0.00021821-0.0012523i,0.00042779-0.0017736i,-3.5126e-06-0.0016298i,-0.00034247-0.0015482i,-0.0003325-0.001548i,0.00019805-0.0011455i,0.00040561-0.00055486i,-7.02e-05+7.521e-05i,-0.00020523-0.00054572i,-0.0002637-0.0015422i,0.00031499-0.0013876i,0.00070704-0.00043924i,6.1664e-05+2.4779e-05i,-0.00030096-0.00065064i,-0.00039371-0.00062932i,-0.00067237+0.00060061i,-0.0012906+0.00095341i,-0.0011911+0.0004586i,-0.00050112+0.00011185i,-0.0004087-0.00012158i,-0.00091259-0.00025398i,-0.001409-0.00011014i,-0.0007023+0.00033844i
0.0019048+0.00025022i,0.0020328+0.00063999i,0.0010209+0.00053248i,0.00062035+0.00036844i,0.00076997-2.2849e-05i,0.00029513-0.00061188i,0.00026601-0.00020079i,0.00012314-0.00011251i,-0.00015542-0.00055302i,-8.8542e-05-0.00058268i,-1.9107e-05-0.00065949i,0.00010436-0.001295i,-0.00012868-0.0012447i,-0.00084626-0.00084075i,-0.00098715-0.001032i,-0.0012626-0.00070374i,-0.00084276+0.00077032i,-3.4598e-05+0.00057652i,0.00010387-0.0004321i,0.00047279-9.3612e-06i,0.0007267+0.00082174i,-0.00016863+0.00043059i,-0.00072095-0.00029341i
0.00074155+0.0015479i,0.0002239+0.0023604i,0.00075709+0.0015466i,0.0021329+0.00063207i,0.0017294+0.00038412i,-0.00025666+0.00034781i,-0.00053109-0.00045026i,-0.00022105-0.00069344i,-9.1916e-05-0.0012087i,0.00023109-0.0018975i,-5.3563e-06-0.0010493i,-0.00040294-0.0002648i,-0.00033598-0.0010169i,-0.00025544-0.0011521i,-0.00064484-2.9768e-05i,-0.00095456+0.00048087i,-0.0011848+0.00018277i,-0.00063195+0.00019189i,-6.9971e-05+9.9397e-05i,-6.5814e-05-0.00033855i,0.00015667-0.00073767i,0.00084695-0.00076937i,0.0006834+0.00011861i
-0.00084291+0.00030565i,-0.0010324+0.00028139i,-0.00063597+0.00069087i,0.00069359+0.000417i,0.00086287-0.00077057i,0.00056345-0.002086i,0.00072975-0.0023768i,7.4482e-05-0.0017245i,-0.00028608-0.0012896i,-0.00070563-0.00082499i,-0.00072358-0.00062642i,-0.00013911-0.0010352i,-0.00025489-0.0014776i,-0.0011251-0.0014255i,-0.0015637-0.00035917i,-0.00096562+0.0011045i,-0.00047413+0.00096934i,0.00020274+0.00073474i,0.00059317+0.00061735i,0.00045444-0.00010605i,0.00053461-0.00040367i,0.00041879+0.00014391i,0.00052255+7.3788e-05i
