-0.0005322-0.00050621i,-0.0004167-0.0010116i,-0.0014835-0.0010857i,-0.0015501-0.00064749i,-0.00078505-1.2524e-05i,0.00015062+0.0012428i,0.00060562+0.0015481i,0.00083687+0.0015908i,0.00084315+0.00098385i,0.0003325-0.00030314i,0.00035452-0.0011332i,0.00054239-0.0011902i,0.00020038-0.00023068i,0.00056267+0.00022461i,0.00093162+3.0451e-05i,-0.00012008+0.00023933i,-0.00054175-0.00012797i,0.00017809-0.00050016i,0.00068706-0.00060423i,0.00088238-0.00098713i,0.0012302-0.0012704i,0.00077279-0.0017192i,6.9093e-05-0.001361i
0.002304+0.001342i,0.0025638-0.00095316i,0.0022879-0.0027281i,0.00075935-0.0030664i,0.00010303-0.0018056i,0.00034165-8.2125e-05i,0.00045323+0.00082536i,0.00061093+0.0008942i,0.00074631+0.0008724i,0.00038977+0.00088591i,-4.417e-05+0.00088226i,-0.00024704+0.00031077i,0.00028185-2.3838e-06i,0.0010259+0.00068748i,0.00079803+0.00088973i,0.00064194+0.00048495i,0.00060281-0.00036401i,0.00049891-0.0010838i,0.00055345-0.0010603i,0.00046048-0.001006i,0.00020279-0.0010307i,0.0003419-0.00020733i,-2.1451e-05+0.00060557i
0.00049279-0.00015469i,0.0010718-0.00052513i,0.0012537+0.00014015i,0.00063186+6.0707e-05i,0.00089054+6.1704e-05i,0.0014382+0.00048591i,0.00091411+0.0009225i,0.00038606+0.00057513i,0.00016768+0.00034965i,0.00020101+0.00017364i,-0.00059166+5.3674e-05i,-0.00072897+0.000455i,0.00029026+0.0008975i,0.00059631+0.00081228i,0.00064106+0.0003456i,0.00058687-0.00021681i,0.0004544+0.00043996i,-0.00019714+0.0011265i,-0.00086943+0.00088509i,-0.00080282+0.00042481i,-0.000546-4.3718e-05i,-0.000189-0.00021414i,-0.0001155-0.00088079i
-0.00059197+0.0019001i,0.00021808+0.0013635i,0.001265+0.002119i,0.0019532+0.0025307i,0.0018625+0.0016989i,0.0010932+0.0012153i,-0.0001462+0.0014934i,8.2957e-05+0.0013278i,0.00080652+0.0008619i,-0.00020904+0.00052508i,-0.0013128+0.00062756i,-0.0007811+0.00080584i,0.00025593+0.0011762i,-0.0001304+0.00095643i,-0.0012209+0.0010512i,-0.00060992+0.00083524i,0.00011616+0.00024936i,-0.00062094-0.00044925i,-0.00099128-0.00079631i,-0.0006819-0.00030881i,-0.00065774-0.00085505i,-0.0006569-0.0015536i,9.8689e-05-0.00099522i
0.00029633+0.00010788i,0.00098372+9.0659e-05i,0.0007267+0.00013351i,-0.00080693+0.00027995i,-0.00096027+0.00082808i,0.00074951+0.0014664i,0.0017541+0.0015523i,0.0013458+0.00066378i,0.00058267-0.00081284i,-0.00045357-0.00052896i,-0.0007938+0.00079317i,-0.00040049+0.00012146i,-0.00040563-0.00027311i,-0.0013923-0.00061876i,-0.0020731-0.0012651i,-0.0019965-0.00044849i,-0.0017283+0.00058888i,-0.0017696+0.00050077i,-0.0012616+0.00018481i,-0.00011783+0.00060898i,0.0003072+0.0001665i,0.00060767-0.00072209i,0.00032711-0.0012464i
0.00086526+0.0010625i,0.00089977-0.0010106i,0.0012081-0.002023i,0.0016832-0.0021516i,0.0016958-0.0018412i,0.0012016-0.00065776i,0.00039941+0.0010387i,0.00035599+0.00074068i,0.00017924-0.00072149i,-0.00023936-0.00060436i,6.2854e-05+0.00074146i,-6.4453e-05+0.0015604i,-0.00088181+0.001218i,-0.00099103-0.00030214i,-0.00038381-0.0011907i,-0.00046588-0.00085531i,-4.7754e-05-0.00017793i,0.00031559+4.5527e-05i,-6.8697e-05-4.0587e-05i,-0.0011642+0.00012065i,-0.0017181-0.00016376i,-0.00082134-0.0006191i,-0.00074194-0.00039839i
0.00016138+3.1588e-05i,0.00040558-0.00019616i,-0.00010147+0.0004411i,9.4947e-05+0.00096068i,0.0010297+0.0013743i,0.00090655+0.0012075i,0.00067252+0.00098379i,0.00033682+0.0011968i,-8.801e-05+0.00092749i,3.3024e-05+0.00015325i,-4.6599e-05-0.00020807i,-0.0001913-0.00053572i,0.0003679+0.0001612i,0.00030646-7.8133e-05i,-0.00014035-0.0014393i,0.0001536-0.0017773i,0.00061974-0.0012846i,0.000777-0.00060764i,0.0006641-0.00023223i,8.488e-05+0.00018747i,-0.00022137+0.00065372i,-0.0006356+0.00028582i,-0.00072372-0.00041138i
-0.00066955-0.00057942i,0.00024005-0.00056834i,0.00036386-2.1768e-05i,-0.00011608+0.00075813i,-0.00044229+0.0021083i,-0.00053863+0.0022809i,0.00021527+0.0015336i,0.00048513+0.0015557i,0.00016026+0.0011268i,-0.00053978+0.00046122i,-0.00011773+0.00029191i,0.00022169-1.1531e-05i,-0.00031678-0.00046098i,0.00030534-0.00020807i,0.0010967+8.6862e-05i,0.00053361+0.00032084i,-0.00051366+0.0003109i,-8.9036e-05+3.3894e-05i,0.0012749-0.0005604i,0.00057569-0.0007345i,-0.0010028-8.1567e-05i,-0.001412+0.00020789i,-0.00090173+0.00026741i
0.00052308-0.0017169i,0.00038734-0.00036916i,0.00043355+0.00019702i,0.00015193-0.00025385i,1.0376e-05-0.00048787i,0.00010077+0.00047626i,0.00043226+0.0010916i,0.00040064+0.00019756i,-0.00033579-0.00032652i,-0.00088777-0.00027179i,-0.0011261+0.00023847i,-0.0012418+0.00035192i,-0.00091539+0.00053954i,0.0003902+0.00091482i,0.001689+0.00080906i,0.0014419+0.00055918i,0.0005901+0.00074105i,0.00015353+0.0013356i,0.00046214+0.0011694i,0.00055724+0.00061168i,0.00029572-0.0002835i,-1.6882e-06-0.00084651i,9.1798e-05-0.00075885i
0.0011102-0.00089727i,0.00097291-0.00097517i,0.0010792-0.0010223i,0.00047258-0.0010934i,-4.211e-05-3.3222e-05i,0.00052995+0.0014629i,0.0013423+0.0015728i,0.0013458+0.00071961i,0.00031919-8.9438e-05i,-0.00025761-0.00055096i,-0.0004194-0.00085463i,0.00017023-0.0003211i,0.00047337+0.00049682i,0.00056847+0.00074921i,0.00047129+0.001631i,7.9625e-05+0.0016794i,0.00071752+0.00093749i,0.00067053+0.00087949i,-0.0003037+0.00056226i,-7.3034e-06+0.00051704i,0.00055765+0.00038505i,-0.00023017+0.0010637i,-0.00050698+0.0016277i
0.00095163+0.0029529i,0.0012801+0.0019005i,0.0014226+0.00067966i,0.00019414-0.00041637i,-0.00053444-0.00045284i,-0.00062724+0.00048142i,-0.00078474+0.00047188i,-0.00062813+9.2641e-05i,-0.0002425-0.00025593i,-0.00041556-6.7245e-06i,-0.00053722+0.00074906i,-0.00040896+0.00082258i,-0.00062836+0.00032126i,-0.0013655+2.3031e-05i,-0.0014022+0.0002728i,-0.00047645+0.00034139i,-0.00016758+5.1374e-05i,3.1075e-05+0.00043192i,-0.00046611+0.00015947i,-0.00081558-8.5449e-05i,-0.00025907-7.8085e-05i,0.00021256+3.3419e-06i,0.00041555+0.00056712i
0.0009437+0.0019664i,0.0009119+0.0010493i,0.0017175-0.0005855i,0.0012165-0.0010238i,-0.00042922+7.9821e-06i,-0.00043345+0.00047498i,0.00053947+0.00068593i,0.00010126+0.00053427i,-0.00011236-0.00025253i,0.00014384-0.0005929i,-0.00081369+0.00018737i,-0.0013866+0.00018658i,-0.00070782+4.182e-05i,-0.00085863+0.00046154i,-0.0022519-0.00052336i,-0.0022026-0.00070727i,-0.0011721-6.1085e-05i,-0.00061669-0.00017537i,-0.00074822+0.00034245i,-0.00067631+0.0007806i,-0.00041974+0.00038334i,-0.00045107-0.00019816i,-0.00069624-0.00055886i
0.00046573-0.00045927i,-8.9215e-05-0.00092176i,0.0005937-0.00046788i,0.0011677-0.00016039i,0.0014757+3.1866e-05i,0.0014341-1.6687e-05i,0.0013841+0.0003622i,0.0011949+0.00083858i,0.00050049-0.00020566i,-0.00010963-0.00027781i,-0.0010612+0.00057447i,-0.0017083+0.00074142i,-0.0013141+0.0003967i,-0.0009412-0.000638i,-0.00061953-0.0015352i,-3.615e-05-0.0020142i,0.00021039-0.001277i,-0.0001577-4.3807e-05i,-0.00046403+0.00064589i,-0.00023934+0.00051191i,5.9061e-05+0.0004997i,0.00013604+0.00063411i,-0.00017565-6.6907e-08i
0.0019196-0.0009716i,0.0013481-0.0007383i,-7.3689e-05-0.00060825i,-0.00038654-0.00034887i,-0.00091958-0.00050858i,-0.0010664+0.0007597i,3.0457e-05+0.002193i,0.0003797+0.0013794i,-0.00033474+0.00078934i,-0.0007683+0.00055891i,-0.00089463-0.00018769i,-0.0004912-0.00056246i,-0.00016079-0.00083413i,0.00050835-0.00071083i,0.00061889-0.0012123i,0.000534-0.001688i,0.00041071-0.0010181i,-0.00023512-7.0805e-05i,-0.00079813-0.00030299i,-0.00037259-0.00058576i,-8.6731e-06-0.0003251i,-7.4852e-05-0.00041792i,0.00074544-0.00047063i
0.00015915+0.00088617i,0.00094835+0.00049777i,0.0013478+0.00035515i,0.0010928+0.00062096i,0.00088325+0.0013535i,0.00070775+0.0012621i,0.001009+0.0011043i,0.0012822+0.0012302i,0.00087305+0.00082909i,0.00016698+0.00083769i,-0.00072476+0.00097323i,-0.001114+0.00089656i,0.0001076+3.1753e-05i,0.0016593-0.00065976i,0.0023774-0.00087921i,0.0020779-0.00073728i,0.00046222+0.00046093i,0.00021164+0.0011512i,0.00042777+0.00053465i,0.00057057-0.00012602i,0.00082539+9.9067e-06i,0.00077895+0.00036748i,0.00064438+0.00027278i
0.00046817+0.00035937i,0.0006132+8.5299e-05i,0.00036276+0.00027556i,-0.0011786+0.00080943i,-0.0015177+0.0010667i,0.00039029+0.00098611i,0.0014762+0.0016418i,0.00086465+0.0010803i,0.0001221+1.1439e-06i,-0.00051304-0.00033178i,-0.00054568-0.00043908i,-0.00033529-0.00028657i,0.00015987+4.3263e-05i,0.0011618+0.00019352i,0.0018491+0.00059194i,0.0015102+0.00068755i,0.00010387-0.00026382i,0.00020664-0.00055664i,0.00086395-7.5762e-05i,0.00079672+0.00048117i,7.5578e-05+0.00017951i,-0.00040916-0.00057624i,-0.00028202-0.00064001i
0.00050342+0.00035472i,0.0017858+0.0006196i,0.0020333+0.0010651i,0.0013817+0.00083631i,0.00038833+0.00024574i,-0.00022+7.2866e-05i,-0.00020172+0.00036748i,-7.6491e-05+9.7641e-05i,8.2862e-05+1.3671e-05i,-0.00028729-0.00034201i,-0.0011521-0.00035876i,-0.00023229+0.00021462i,0.00058189+0.00031451i,0.00011561+0.00088201i,0.00019137+0.0012733i,0.00064483+0.00043474i,0.00014367+0.00062925i,-0.00069072+0.0013401i,-0.00047356+0.0010676i,-0.00011055+0.00033712i,1.8174e-05-0.00010361i,-0.00011865-9.1247e-06i,-0.00017982-0.00033353i
0.0020888+0.00011932i,0.00051828-0.00040819i,-0.0010996-0.00046043i,-0.0018481+0.00066452i,-0.00063797+0.00097994i,0.00041491+0.00090304i,0.00037515+0.0012143i,0.0003175+0.00094588i,0.00080695-4.0457e-05i,0.0001544-0.00060932i,-0.00071914-0.00013365i,-0.0008615+0.00094996i,-0.0016693+0.0017646i,-0.0024785+0.0019126i,-0.0019947+0.001208i,-0.0012951+0.00085073i,-0.0013772+0.00093182i,-0.0010338+0.00024015i,-0.00042636+0.00032659i,-0.00030687+0.0011503i,-0.0001929+0.0014121i,-0.00031433+0.0006038i,-0.00062936+0.00019268i
-0.00047356+8.0823e-05i,3.72e-05-0.00039272i,2.8555e-05-0.0011059i,0.00062336-0.0015356i,0.00086934-0.00089563i,8.8354e-05-0.00064429i,-0.00024363-0.00012698i,0.00015662+0.0013997i,-0.00032873+0.0016284i,-0.00027046+0.0011397i,0.0003344+0.0011425i,7.2395e-05+0.0010375i,-0.00085573+0.00027605i,-0.0016904-0.00012133i,-0.0022164+0.00013771i,-0.0020896+1.0911e-05i,-0.0015628-0.00036484i,-0.00095134-0.00051323i,-0.00036177-0.000461i,-0.00027832-0.00011692i,-0.00066691+0.00034197i,-0.00097506+0.00022059i,-0.00080547-0.00058555i
4.3795e-05-0.001504i,0.00080402-0.00091824i,0.00021721-0.0013624i,-0.00037186-0.0010007i,-0.00037606+2.9629e-05i,-0.00026761+0.0013752i,-0.00019551+0.0018582i,-3.4799e-05+0.0012758i,-0.00034231+0.00045596i,-0.00028159+0.00024989i,-0.00014975+0.001029i,-0.00069337+0.0012661i,-0.00095429-0.00057581i,-0.0012151-0.0023211i,-0.0011764-0.0023512i,-0.00066111-0.0016722i,-0.00014308-0.00059077i,-0.00041137+0.00053376i,-0.0013263+0.0011106i,-0.0012317+0.00069293i,-0.00030183+8.8816e-06i,0.00010392+3.5528e-05i,-0.00029502+0.00060046i
-0.0002097-0.0010866i,-0.00064156-0.0011351i,-0.001469+0.0001181i,-0.0016414+0.0011046i,-0.0013452+0.0011407i,-0.00029143+0.0014297i,0.00072938+0.0012707i,0.00095393+0.0003064i,0.000842+8.8222e-05i,0.00027833+0.00043758i,-1.2972e-05-6.8195e-06i,-0.00047085-0.00099886i,-0.00082782-0.001155i,-0.00018292-0.0014827i,0.00057871-0.002464i,0.00097999-0.001808i,0.00049153-0.00044593i,0.00027265+9.0976e-05i,-0.00031253-0.00042385i,-0.00052377-0.00084818i,4.8016e-05+4.0598e-05i,0.00034304+0.00022503i,0.00097403+0.00017868i
-0.0033244+0.0011327i,-0.002+0.00017331i,-0.0010664+4.9408e-05i,-0.00017101+0.001042i,0.00061095+0.0010556i,0.001076+0.00078094i,0.0013027+0.00049178i,0.0012083+0.00041082i,0.00047515+0.00046343i,-0.0005302+5.8759e-05i,-0.0001473+2.7954e-05i,0.00036691-5.0617e-05i,0.00075762-0.00026853i,0.0015877-0.00083231i,0.0022045-0.00053925i,0.001496-0.00036761i,0.00011756-0.00043632i,-0.00019133+7.6375e-05i,1.2919e-05+0.00013294i,-0.00030621-0.00055294i,-7.798e-05-0.00038584i,-0.00021255+4.2204e-05i,-0.00045416+0.00026073i
0.0013517-0.001305i,0.0016245-0.0022641i,0.001146-0.0022709i,0.00017842-0.0013378i,0.00024843-0.0001561i,0.0010751+0.00087066i,0.0015332+0.0010328i,0.0013239+0.0010709i,0.00025284+0.00064364i,-0.00063666-0.00013132i,-0.0011144+0.00023527i,-0.0013605+0.00061618i,-0.00070278+0.0014955i,0.00040451+0.0020624i,0.00045954+0.0015917i,4.0415e-05+0.00065061i,0.00041094+0.00028867i,0.00080116+0.00059961i,0.0013959+0.00086566i,0.0014316+0.00078422i,1.8272e-05+0.00014695i,-0.00050549-0.00016521i,0.00013133+5.7854e-05i
0.00091402-0.00022403i,0.00042872-7.0626e-05i,0.00022371-4.6662e-05i,-8.5798e-05+0.00068729i,0.00072341+0.00094629i,0.0015155+0.00010043i,0.0015252+0.00017475i,0.0014163+0.00057704i,0.0013261+0.0006872i,0.00077279+0.0010316i,-0.00026814+0.00099743i,-0.00053281+0.00072368i,0.00023469+0.0013651i,9.1052e-05+0.002234i,-0.00027744+0.0019987i,0.00054966+0.0012707i,0.0013963+0.0006841i,0.0013106+0.00049012i,0.00066789+0.00040493i,4.4605e-05+0.00043453i,-0.00053878+0.0002272i,-0.00062774+0.00049757i,-9.2513e-05+0.00078486i
-0.001641-1.4125e-05i,-0.00090903+0.00083284i,-0.00020042+0.0013337i,0.0002775+0.0018079i,-0.00034944+0.0023776i,0.00023258+0.0022201i,0.0010305+0.0014742i,0.00093199+0.00042067i,0.00091257+0.00018447i,0.00057682+0.00033128i,-6.0755e-05+0.00047684i,-0.00069158+0.00060225i,-0.0009999+0.001045i,-0.0015055+0.0010443i,-0.0011935+0.0008946i,-0.00019338+0.0011302i,-0.00026705+0.00065873i,-0.00031539-0.00013174i,0.00021703+0.0002495i,-0.00011899+0.0010209i,-0.00046526+0.00075672i,0.0001743-0.00022848i,0.00076569-0.00030066i
0.00057426-0.0013685i,1.3791e-05-0.0007078i,-0.0018577-0.0011866i,-0.0039953-0.00025711i,-0.0039026+0.0017617i,-0.0013069+0.0022816i,0.00091565+0.0012965i,0.0010569+0.00033075i,-6.8913e-05-0.00021047i,-0.0019885-0.00045111i,-0.0032238-0.00034879i,-0.0026272+0.00013363i,-0.0024114+5.8859e-05i,-0.0024078-4.7215e-05i,-0.0017668-0.0002123i,-0.0013309+0.00027202i,-0.00078934+0.00070965i,-0.00065009+0.00052822i,-0.00049351+0.00045418i,0.00018657+0.00078682i,0.00078199+0.0012405i,6.7566e-05+0.00081611i,-0.00063115-0.00010603i
-0.00071309-0.00017447i,0.00070384-3.5146e-05i,0.00043657-0.0003177i,0.0001167-4.1231e-05i,0.00013973+0.0002815i,0.00011434+0.00022592i,7.7884e-05+0.00058527i,-0.00054137+0.00044502i,-0.0012312-0.00064958i,-0.0016199-0.0011925i,-0.0011372-0.00087049i,-0.00092676+0.00010115i,-0.0014466-0.00016818i,-0.0018189-0.001536i,-0.0015587-0.0022567i,-0.0011834-0.0013039i,-0.0010663-0.000486i,-0.00034553-0.00021433i,7.676e-05+0.00026852i,-0.00027728+0.00022262i,-0.00072062-0.00034794i,-0.001048-0.00065592i,-0.00086894-0.00087006i
-1.2089e-05-0.00071712i,-0.00044022-0.00023674i,-0.00033667+0.00056374i,-8.6884e-05+0.00080157i,0.00047121+0.0019386i,0.0014505+0.002116i,0.0014431+0.0019541i,0.00098954+0.0015516i,0.00081531+0.00058402i,0.00067229+0.00093819i,2.1537e-05+0.00097732i,-0.00017081+0.00052656i,0.0013239+0.00014306i,0.0023352-0.00047084i,0.0015447-0.0011413i,0.00024512-0.0012104i,-6.4185e-05-0.00081489i,0.00040316-0.00034513i,0.00013759-4.5064e-06i,-0.00011702-0.00029336i,-6.9278e-05-0.00088347i,0.0002294-0.0008533i,-0.00026403-0.00096038i
0.00056973-0.00055051i,0.00097329+6.7393e-05i,-0.00013324+0.00026057i,-0.0020886-0.00026296i,-0.0021116-0.0006507i,-0.00085357+0.0002285i,-0.00017789+0.0010229i,0.00025544+0.00067738i,0.00097102+0.00012057i,0.00062885+0.00038688i,-0.0006654+0.0007274i,-0.0005241+0.00031455i,0.0011109+0.00011555i,0.0023115-5.4101e-05i,0.0018656-0.0001681i,0.0011259-0.00079106i,0.00041805-0.00067818i,-0.00040332+0.00040413i,-0.00020986+0.00055488i,-3.9221e-05-0.0001588i,0.0001869-0.00011945i,5.1689e-05+7.5946e-05i,0.0002609-0.00034908i
-0.00041931-0.00037196i,-0.00038248-0.0011604i,0.00027261-0.0017059i,0.00067269-0.0013202i,-0.00022477-0.00094074i,-0.00063279+0.00010301i,-0.00057399+0.0014864i,-0.00069925+0.000973i,-0.00037553+0.00025066i,-0.00085973+0.00011603i,-0.0014795-0.00025329i,-0.00050683+0.00041084i,0.00043152+0.0008752i,0.0012096+0.000681i,0.0018488+0.0015974i,0.001382+0.0017637i,0.00020636+0.0012932i,0.000106+0.00095278i,0.0002008+0.00030111i,0.00036617+0.00038972i,0.00094794+0.00068928i,0.0011924+0.00020795i,0.0015775+0.0002552i
0.00072905+0.001414i,0.001539+0.0011286i,0.0022929+0.00025643i,0.0026156+0.00013428i,0.0026222+0.00086076i,0.0022075+0.0014077i,0.0017002+0.0018897i,0.0017116+0.0022971i,0.0013462+0.0020424i,-6.9463e-05+0.00072699i,-0.0010096-0.00027858i,-0.0010874+0.00016947i,-0.00078134+0.00079517i,5.7868e-05+0.0015847i,0.00050132+0.0026115i,-5.956e-05+0.002503i,-0.00048046+0.0014552i,-0.00046777+0.00052847i,-0.00019455+4.7342e-05i,0.00046488+0.00058486i,0.00069371+0.0010678i,0.00071529+0.00049293i,0.0011709-6.2514e-05i
-0.0034117-0.00061046i,-0.0024974+0.00033146i,-0.0013567+0.0022375i,-0.0012505+0.0027952i,-0.00016916+0.0016498i,0.0003972+0.00089044i,0.000264+0.00081064i,0.00053314+0.00052755i,0.00057862+0.00091201i,-0.00037145+0.0016864i,-0.0014167+0.0020852i,-0.0012819+0.001428i,-0.0012966+0.00065949i,-0.0020775+0.0010973i,-0.0023546+0.0018808i,-0.0011762+0.0014949i,-0.00025343+2.048e-05i,5.2855e-05-7.1227e-05i,-1.9483e-05-0.00021207i,-0.00013336-0.00081441i,0.00031731-0.00057729i,0.0007556-0.00029328i,-7.1839e-05+8.0291e-06i
-0.00068828-0.002669i,-5.4364e-05-0.0016579i,-0.0015399-0.0001049i,-0.0023987+0.0014063i,-0.0018171+0.0027351i,-0.00041999+0.0031208i,0.00080952+0.0019345i,0.00082322+0.00056218i,-0.00050221+0.00013273i,-0.0006772+0.0012325i,-0.00030533+0.0012448i,-0.0011636+0.00060561i,-0.0020537+3.3718e-05i,-0.0026775-0.00077216i,-0.0031946-0.0006897i,-0.0024546+0.00055317i,-0.00088434+0.00068357i,-0.00023727-0.00048865i,-0.00057762-0.00098882i,-0.00065774-0.00061695i,-0.00041533+5.0246e-05i,-0.00063026-0.00034806i,-0.00028039-0.00048514i
0.0016428+0.00053708i,0.0007922+0.00085968i,-0.00015765+0.0008495i,-0.00079014+0.0011894i,-0.0004458+0.0018699i,0.00052431+0.0015779i,0.0014197+0.00071714i,0.0015488+0.00014772i,0.00033159-0.00063376i,-0.001074-0.00078201i,-0.0015636-0.00014995i,-0.00098401+0.00033349i,-0.00042744-0.00018457i,-0.00091857-0.0020549i,-0.0014305-0.003138i,-0.00088378-0.0021768i,-0.00049176-0.00032035i,-0.00064638-0.00021969i,-6.451e-06-0.00045164i,0.00046409+0.00040807i,0.00055901+0.00098637i,0.0012241+0.00040508i,0.00071955-0.00022576i
0.00038381-0.0011873i,-9.0194e-05-0.0014181i,-0.0010289-0.0017303i,-0.0017775-0.00053612i,-0.0011371+0.001235i,0.00015365+0.0018107i,0.0015011+0.0020707i,0.0017292+0.0025282i,0.00038216+0.0011743i,-0.0004423-0.00050368i,-0.00042669-0.00031736i,-0.00021692-5.1329e-05i,0.0001692-0.00092727i,0.0014873-0.0022188i,0.0020944-0.0017159i,0.0013362-0.00046421i,0.00056448+0.00015347i,-0.00029903+0.00031733i,-0.0010157+0.00014792i,-0.00065107-0.00065078i,0.00033424-0.0011242i,0.0011266-0.00078618i,0.00043451-0.00064426i
0.00050253+0.00014206i,0.00035804+0.00072854i,0.00093076+0.00018485i,0.0020226+0.00017188i,0.0018127+0.00056016i,0.0018634+0.0012713i,0.0020264+0.0014577i,0.0016551+0.00093284i,0.0017713-1.3574e-05i,0.00084588-0.0001535i,-5.5896e-05+0.00021782i,0.00078137+0.00023599i,0.0017209+0.0002013i,0.0025256-0.00049762i,0.0025502-0.00071092i,0.0015591-0.00039542i,0.0011152+0.00024189i,0.00089004+0.0013046i,0.00046596+0.001052i,7.8413e-05-0.00030993i,-0.00016043-0.0010846i,0.00025996-0.00096237i,0.00037089-0.00032356i
7.4297e-05-0.0016164i,8.2463e-05-0.0013483i,-0.00059041-0.0015673i,-0.00086414-0.00096942i,-0.0012375+0.00045393i,-0.0011362+0.0011454i,-0.00018713+0.00079435i,0.0010729+0.00076753i,0.001033+0.00047404i,0.00011958-0.00039133i,-0.00036455-7.6426e-06i,-0.00087195+0.001211i,-0.00086986+0.0017892i,-1.5758e-05+0.0017056i,0.0010832+0.0013208i,0.00088175+0.00050235i,-0.00024514+6.7301e-05i,-0.000319+0.00061422i,0.0008221+0.00087966i,0.0017154+0.00041085i,0.0013034-0.00033818i,0.00034685-0.00039899i,0.00019078-5.036e-05i
-0.00015059+0.0020507i,-2.7102e-05+0.00087602i,0.00037936+0.00030587i,0.00075164+0.0010421i,0.0013397+0.0017311i,0.0018037+0.0022193i,0.0015536+0.0020538i,0.00081694+0.0014323i,0.0006346+0.00082184i,0.00015059+0.00026043i,-0.00017435+0.00019529i,-0.00026691+0.00052303i,-0.0005317+0.0022261i,-0.00054785+0.00423i,-0.00023584+0.0040724i,0.00022587+0.0018406i,-6.3552e-06-0.00015759i,-0.00020244-0.0007638i,0.00085393-0.00015411i,0.0016086+0.00029088i,0.0015748+2.4516e-05i,0.0004597-0.00016502i,-0.00060663-0.00053844i
-0.0017556-0.00085263i,-0.00023366+9.4356e-06i,0.00063741+0.0011988i,0.0010764+0.0012439i,0.0022051+0.0013473i,0.0030168+0.00069932i,0.0028497+0.00078675i,0.0011474+0.0011158i,-0.00039643+0.00064592i,-0.0010254+0.00053764i,-0.0011312+0.00034934i,-0.00060019-0.0002917i,-0.00067446-5.512e-05i,-0.0016899+0.00069462i,-0.0023353+0.0015207i,-0.0013668+0.0022566i,-0.00094985+0.0020031i,-0.00077401+0.001044i,-0.00024001+0.0010145i,-0.00012121+0.00052852i,-3.3783e-06-0.00013538i,-0.00077577+5.5932e-05i,-0.00088854-0.00069194i
0.0009081+0.0011571i,0.0014732+0.00097918i,0.00063019+0.00085151i,0.00019981+0.00019416i,-0.0003813+0.00044392i,-0.0014659+0.0007031i,-0.00041376+0.0014318i,0.0013269+0.0018705i,0.0011432+0.0014216i,-7.5484e-05+0.0014555i,-0.0002473+0.001529i,-0.0007007-0.00023055i,-0.0019298-0.0020608i,-0.0026672-0.0020578i,-0.0027103-0.0011783i,-0.0025514-0.00041474i,-0.0015195+0.00050975i,-0.0005281+0.00085131i,-0.00051607+0.00059524i,-0.00033532+0.00024253i,-0.00044355+0.00019485i,-0.0010277+0.00027138i,-0.0010678-0.00028697i
0.0008728-0.00031662i,0.00072456-0.00049204i,5.9328e-05-0.00079705i,-0.00034138+0.00086414i,0.00033269+0.002675i,0.0013799+0.0027263i,0.0011822+0.0020315i,0.00090041+0.0014511i,0.0013736+0.00020994i,0.0011482+0.00022529i,0.00038813+0.0009069i,-0.0004488+0.00034127i,-0.0011911-0.00082882i,-0.0012364-0.0023601i,-0.0011402-0.0022753i,-0.0013451-0.00066395i,-0.00028053+0.0006712i,0.00015742+0.00090362i,3.1788e-05+0.00026683i,0.00015529+0.0005778i,0.00038048+0.00073855i,0.00045242+0.00053747i,-0.00046471-0.00012929i
-0.00038699+0.001193i,0.00013542+0.00098588i,0.00012923+0.0003644i,-0.00027114+0.00024106i,0.0002729+0.00043916i,0.0017317+0.00011351i,0.0023228+0.00041697i,0.0016874+0.00097191i,0.00042134-0.00014714i,-0.00039591-0.0011728i,-0.0013236-0.00094197i,-0.0011385-0.00023177i,0.00087176+2.7121e-05i,0.00237-0.0015652i,0.0018987-0.0026943i,0.0012041-0.0016095i,0.0010764-0.00041126i,0.00054989-0.00075937i,-0.00027478-0.0010225i,-0.00098515-0.00045475i,-0.0012848+6.5444e-05i,-0.00017055+0.0003727i,0.00071268-0.00027589i
-0.0012818-0.0014092i,-0.0018432-0.0010921i,-0.0019787-0.00061673i,-0.0016028+0.00051112i,-0.0011145+0.001204i,-0.000146+0.0014976i,-8.8025e-05+0.0019007i,0.00011372+0.0016946i,-0.00071918+0.00087991i,-0.0024143+4.6434e-05i,-0.0024478+0.0003622i,-0.00087154+0.0010394i,0.001705+0.0012404i,0.0039089+0.00066651i,0.0043129+0.00022916i,0.0028332-1.1624e-05i,0.0019302+0.00027653i,0.0017572+0.0009169i,0.0011547+5.9515e-06i,0.00050355-0.0013618i,0.0001149-0.0013343i,0.00030149-0.0012193i,0.00056549-0.0013203i
4.888e-05-0.0012624i,0.00050111-0.0018615i,0.00057911-0.0023024i,-6.7389e-05-0.0018052i,-0.00046965-0.00039246i,3.9605e-05+0.00035497i,0.00061525+0.00035646i,5.2377e-07+0.00081597i,-0.0010246+0.0010367i,-0.0013005+0.0010099i,-0.00018919+0.0011527i,0.00026962+0.0010273i,0.0002402+0.0016366i,0.00091636+0.0029829i,0.0017578+0.0026387i,0.0022159+0.0015099i,0.001277+0.00051784i,0.00032161+0.00040202i,0.00062393+4.0529e-05i,0.00039112-0.00024467i,0.0002861-0.00060252i,0.00018725-0.0010069i,-0.00045346-0.0004483i
