-0.0005322-0.00050621i,-0.0004167-0.0010116i,-0.0014835-0.0010857i,-0.0015501-0.00064749i,-0.00078505-1.2524e-05i,0.00015062+0.0012428i,0.00060562+0.0015481i,0.00083687+0.0015908i,0.00084315+0.00098385i,0.0003325-0.00030314i,0.00035452-0.0011332i,0.00054239-0.0011902i,0.00020038-0.00023068i,0.00056267+0.00022461i,0.00093162+3.0451e-05i,-0.00012008+0.00023933i,-0.00054175-0.00012797i,0.00017809-0.00050016i,0.00068706-0.00060423i,0.00088238-0.00098713i,0.0012302-0.0012704i,0.00077279-0.0017192i,6.9093e-05-0.001361i
0.0010258-0.0017478i,0.00032729-0.00073253i,-0.0018058-0.0004413i,-0.002604+0.00050464i,-0.0013914+0.0010717i,0.00054065+0.0001757i,0.0020338-3.2773e-05i,0.002143+0.00028112i,0.00086648-0.00015061i,-0.0007919+0.00062177i,-0.00071538+0.0016647i,2.9511e-05+0.0010449i,0.00049148+0.00035128i,0.00041967+0.00087455i,0.00077885+0.0014093i,0.00079757+0.00087993i,0.0006813-0.0001805i,0.00058336-0.00063868i,-0.00014729-0.00034448i,-0.00016475-0.00019461i,0.00010534-0.00040776i,9.318e-05-0.00037817i,0.00050538-0.00032673i
0.0011686+0.00070584i,0.00088365-4.9303e-05i,0.00098728-0.0017647i,0.00075791-0.0022894i,4.8332e-05-0.0017705i,0.00051517-0.0012046i,0.0015582-0.00097007i,0.0011596-0.0010802i,0.0012223-0.00012062i,0.0013606+0.00092532i,0.00075163+0.00053474i,0.0004977+6.09e-05i,1.0995e-05+0.00034632i,-0.00056511+0.00030249i,-0.00020581-0.0001232i,0.00040899-0.00035513i,0.00068895+0.00017795i,0.00071309+1.8574e-05i,0.00046365-0.00056512i,0.00044021-0.00049014i,0.0007599+0.00031985i,-2.3799e-05+0.0013815i,-0.00080154+0.00092029i
-0.00021938-0.000346i,-0.0019049-6.797e-06i,-0.0017788+0.00065654i,-0.00051054+0.00081377i,-0.0001809+0.0004222i,-0.00047903+0.00026964i,-0.00060647+0.00034606i,-2.2124e-05-0.00014468i,-0.00049962-0.00039577i,-0.001482+0.00047102i,-0.0011772+0.0011603i,-0.00013521+0.00083078i,0.00041267+0.00014718i,0.00014741-0.00060113i,-0.00042382-0.000622i,-0.00068225+0.00040752i,-0.00062913+0.0010129i,-5.8296e-05+0.00079659i,0.00045977+0.00022978i,-9.1162e-05-0.00046577i,-0.00083632+4.0317e-05i,-0.00076248+0.00020188i,-0.00069034-0.00010416i
0.0021662-0.0029999i,0.0011341-0.0038937i,-0.0013083-0.0030914i,-0.0024665-0.00034275i,-0.0019393+0.0020787i,-0.00067529+0.0016592i,0.00046994+5.0964e-05i,0.00081028-0.00089187i,0.00076428-0.0012181i,-0.0001323-0.00015665i,-0.00095934+0.0011002i,-0.00025858+0.0014047i,-0.0001091+0.0010644i,-0.00076728+0.00076004i,-0.00074863+0.00096592i,-0.00020701+0.00098597i,-2.9963e-05+0.00040226i,-0.00044678-0.00039213i,-1.5032e-05-0.0002191i,1.8726e-05+0.000396i,-0.00024886+0.00042588i,0.00034516+0.00022602i,0.00017726+0.00044831i
-0.00038369-0.0012568i,0.0011161-0.00031633i,0.0014353+0.00029927i,0.0008767-0.00027576i,0.00031938-0.00086673i,0.0006546-0.0006006i,0.0014686-0.00080755i,0.0013977-0.00089387i,0.00071859-0.00061731i,0.00031728+2.6096e-05i,0.00039747+0.00099451i,0.00083949+0.0009387i,0.00059947+0.00012708i,0.00035233-0.00019322i,0.00040321-0.00034522i,0.00069388-0.00055312i,0.00091864+0.00012243i,0.0010531+0.00037598i,0.00069294+8.6494e-05i,2.1379e-05+0.00070079i,-0.00082762+0.0008774i,-0.00081081+0.00060224i,0.0002638-5.6961e-05i
0.001515-0.0014622i,-0.00075911-0.0020906i,-0.0030817-0.0017793i,-0.0028318+0.00019115i,-0.00076104+0.00051065i,0.00050436+1.0992e-06i,0.00077764-0.00020388i,0.0010953+8.5411e-06i,0.00072278-0.0003728i,-0.00037054-0.00017236i,-0.00090899+0.0003244i,-0.00029221+0.00086428i,-0.00019856+0.0013134i,-0.0010562+0.0011126i,-0.00060863+0.0011515i,9.0904e-05+0.0013663i,0.00017826+0.00090854i,0.00032091-0.00015582i,0.00033877+0.00028472i,0.0005425+0.00077199i,0.00023305+0.00033123i,0.00039787+0.00073551i,0.00029026+0.00087269i
-0.00047384-0.0016213i,-0.00066715-0.0013432i,-0.00047692-0.00082249i,-0.00043421-0.0010625i,-0.00013877-0.00059985i,-0.00014212+0.00031547i,0.0003508+0.000331i,-3.426e-06-5.0025e-05i,-0.00062355-0.00045289i,-0.00064905-0.00043131i,-0.00049073+0.00020693i,-0.00076129+0.00035435i,-0.0011683+0.00067125i,-0.00040547+0.0010995i,0.00022098+0.00096997i,0.00029308+0.00025527i,-0.00012633-0.00058172i,-0.0001435-5.2802e-05i,0.0001407+0.00077885i,0.00011127+0.00090029i,-0.00044305+0.0011829i,-0.0007746+0.00052366i,6.7608e-05-0.00015896i
-0.00027166-0.0019464i,-0.00014781-0.0019854i,-0.0002802-0.0015394i,-0.00058271+0.00011462i,-4.4089e-05+0.00099114i,0.0011314+0.00067818i,0.0015808-0.00017158i,0.0016315-0.00063713i,0.0012785-0.00046602i,0.00058654-0.00041132i,0.0001572-0.00013826i,-5.8695e-05+0.0001209i,0.00010478-9.3932e-05i,0.00021729+5.3059e-06i,-0.00032886+0.00055619i,-0.00028001+0.00074734i,0.00034427-0.00027041i,0.00025608-0.0010411i,0.00010977-0.00070367i,4.2216e-06-0.00039561i,0.0001709-8.3136e-07i,-7.3907e-05+0.0004683i,-0.00044386-0.00043268i
0.0025989-0.0016644i,0.0027433-0.002531i,0.0012114-0.0027448i,-0.001207-0.0015931i,-0.0013261+1.3566e-06i,0.00030597+0.0007197i,0.00047045-7.526e-05i,-0.00043732-0.00095785i,-0.00097816-0.0013059i,-0.0014431-0.00076734i,-0.00083959+0.00067174i,0.00040522+0.0011087i,0.0001972+0.00047728i,-0.00041603+2.2162e-07i,-0.00028654-0.00042313i,-0.00056589-0.00054866i,-0.00088288-0.00030637i,-0.00049973+0.00022719i,-0.00024551+0.0011104i,-0.0005701+0.00070338i,-0.00061385-9.4239e-05i,0.00036109-7.389e-05i,0.00047187+0.00038147i
0.0017322+0.00076413i,0.001761+0.00076783i,0.00053653-9.71e-05i,-0.00031543+0.00068489i,0.00031895+0.00079295i,0.0012858-0.00017251i,0.0013088-7.3732e-05i,0.0011206+0.00014852i,0.00038215-0.00039894i,-0.00038459+0.00043987i,-0.00031862+0.001252i,0.00014283+0.00072689i,0.00046384+0.00058125i,-0.00026668+0.00077317i,-0.0010191+0.00098441i,-0.00058796+0.0011361i,-0.00028668+0.00088614i,-0.00025827+0.00031414i,0.00011392+4.0681e-06i,0.0005635+0.0010137i,0.00053149+0.0017472i,0.00033853+0.0010502i,0.00031894+0.00025809i
0.00072792+0.00090162i,0.00035737+0.00019934i,0.0001247-0.0015075i,0.00012789-0.0024348i,-8.5846e-05-0.0020199i,-0.00029223-0.00078813i,0.00068134-0.00019467i,0.001256-0.00019394i,0.00084263-0.00041409i,0.00062077-0.00038516i,2.1682e-05-0.0003991i,-0.00037269-0.00020637i,-3.9814e-05+0.00024596i,-0.00049771+2.258e-05i,-0.0012642-0.00030959i,-0.0014636-0.00045835i,-0.00064626-0.00033212i,4.0852e-05-0.00051263i,0.00042378-0.00061524i,0.00058042-0.00018048i,-9.1654e-05-0.00023985i,1.4111e-05-0.00027569i,5.2634e-05-0.00023744i
-0.00032255-0.00075826i,-0.00073472-0.00057489i,-0.001721-0.00058078i,-0.0023157+0.000647i,-0.0018459+0.0018391i,-0.00031192+0.0014851i,0.00020359+0.001026i,0.00016718+0.00029365i,0.00020781-0.000534i,-0.00099009-7.7052e-05i,-0.00068497+0.0010822i,0.00061251+0.0015349i,0.00092738+0.00033687i,0.0011213-0.00040833i,0.00075175-0.00094918i,0.00023563-0.0011079i,0.00023624+0.00016338i,0.00058469+0.00036791i,0.0012016+8.9627e-06i,0.00073725-7.1753e-05i,0.00035999-0.00047328i,0.00065137-1.8439e-05i,7.0044e-05+0.00090961i
0.0017134-0.00070309i,0.001274-0.0018202i,-0.00014011-0.0021651i,-0.00089482-0.0014101i,-0.00061468-0.0012026i,3.2094e-06-0.00060005i,0.00020784-6.4691e-05i,0.00043001-0.00039181i,0.00037676-0.00055224i,-0.00021271+0.00031649i,-0.00055689+0.00098929i,-0.00052708+0.0010762i,-0.00013383+0.00043119i,0.0006019+0.00024434i,0.001153+0.00042177i,0.00095094+0.00039803i,0.0007+0.00029632i,0.00041894-0.0003844i,0.00063673-0.00045977i,0.00029844+0.00071684i,-0.00056625+0.0013822i,-0.00076088+0.00075624i,-0.00079136+0.0004325i
