-0.001184-2.4415e-05i,0.0013287+0.0012838i,0.0019747+0.0020505i,0.0019556+0.0017238i,0.0015098+0.0018926i,0.0014602+0.0021842i,0.0018356+0.00096988i,0.0018605-0.0004501i,0.0014568-0.0012889i,0.0010767-0.0015164i,0.0017555-0.00079967i,0.0015604-0.0010334i,0.00053087-0.0012358i,0.00026462-0.00044131i,0.00010454-0.00010864i,-0.00037637-8.9266e-05i,-0.00050168+0.00018994i,-0.00033439+0.00025241i,-3.2366e-05-0.00011454i,4.8522e-05-0.0001136i,0.00046679-0.00025568i,-1.4507e-05-0.00042634i,-0.00057638-0.00043715i
4.3005e-06+0.001514i,0.0011676+0.0015776i,0.0012497+0.0019432i,0.00090244+0.0028532i,0.00087932+0.0019614i,0.0010614+0.00033062i,0.0013144-0.0012312i,0.0010674-0.0020533i,0.00046231-0.001617i,-0.00052197-0.00095802i,-0.0011148-0.00077006i,-0.00064722-0.0012202i,0.00042665-0.0018189i,0.00035334-0.0017343i,-2.5052e-05-0.00099225i,0.00048546-0.0003127i,0.00029564+0.00010742i,-0.00038521-1.8185e-05i,-0.00015388-0.00035487i,0.00012108-0.00035658i,7.2573e-06-0.00033482i,0.00015657-0.0003987i,0.001033-0.0003469i
0.00034283+0.00086751i,0.001392+0.00086001i,0.0024468+0.00066996i,0.0020947+0.00017896i,0.00065229-0.00014129i,-0.0010221-0.00068521i,-0.0017099-0.0014521i,-0.0014637-0.001958i,-0.0021733-0.0014754i,-0.0021176-0.00067537i,-0.00062292-0.0005584i,9.2598e-05-0.0010501i,9.2829e-05-0.0012472i,-0.00055975-0.00038062i,-0.00064383+0.00023893i,-9.98e-05+0.00022113i,0.00015807-0.00027885i,-0.00024516-0.00069303i,-0.00082853-0.00060966i,-0.00095095-0.00082987i,-0.00064577-0.0011208i,-0.00054085-0.00097297i,-0.00060249-0.00049719i
0.0021704-8.7887e-05i,0.0037946+0.0011123i,0.0040733+0.001002i,0.0026721+0.00057997i,0.00010655+0.00043347i,-0.0013931+0.00062997i,-0.001397+0.00057518i,-0.0017043-0.00053081i,-0.0025002-0.0014355i,-0.0024574-0.00097035i,-0.0015057+0.00011475i,-0.00050588+0.00054664i,0.00045722+0.00040593i,0.00092496+0.00028668i,0.0013205+0.00044517i,0.0010443+0.00033899i,0.00011389-6.5262e-05i,-0.00026841-0.00054303i,-0.00032086-0.00072734i,-0.00015448-0.0011408i,-0.00060493-0.0016545i,-0.00082494-0.001078i,-9.9952e-05-0.00029805i
0.00068944+0.001128i,0.001017+0.00078841i,0.0017272+0.0013953i,0.0018562+0.0016839i,0.0012213+0.002296i,0.0009597+0.002152i,0.0013737+0.0010734i,0.0012083+9.2545e-05i,0.00050839-0.00049903i,-0.00040494+0.00017587i,-0.00036154+0.00084798i,0.00078109+0.00071506i,0.0011933+0.0011895i,0.00076444+0.0018516i,0.00081779+0.0014105i,0.0011815+0.00088189i,0.00033006+0.00076767i,-2.3141e-05+2.7016e-05i,0.00059367-0.00061483i,5.1394e-05-0.00063356i,-0.00037656-0.00043483i,-0.00010961+0.00024237i,-0.0003733+0.00064275i
0.0012826+0.0010636i,0.0010703+0.00076775i,0.0024387+0.0011833i,0.003443+0.0023938i,0.0028172+0.0028175i,0.0021639+0.0017778i,0.0024902+0.00062174i,0.0014603-0.00018807i,0.00045238-0.00061419i,0.00088347-6.7214e-05i,0.0014078+0.00051666i,0.00085396+0.00059167i,-0.00041768+0.00025052i,-0.001357-0.00033961i,-0.00074849-0.00032189i,-9.5885e-05-0.00029791i,1.6468e-05-0.00017465i,0.00062821-0.00076683i,0.00055096-0.0013907i,-0.00015627-0.00066028i,-0.00013418+9.5299e-05i,-0.00015111-0.00023689i,2.3552e-05-0.00065002i
0.00079161+0.0034877i,0.00096867+0.004679i,0.0025769+0.0048052i,0.003927+0.0037541i,0.0042082+0.0026934i,0.0038844+0.00097207i,0.0029036-0.00084428i,0.0017062-0.0016797i,0.00060527-0.0019222i,-0.00043853-0.0013823i,-0.00059044-0.0007301i,-0.00070148-0.0011145i,-0.00099883-0.0017091i,-0.00075675-0.0011775i,-0.00060615+2.0949e-05i,-0.00035476+0.00065534i,-0.00021588+4.2083e-05i,0.000221-0.0010719i,0.00026292-0.00040989i,-0.00048753+0.0007118i,-0.00035668+0.00056733i,0.00016721+0.00034713i,0.00046638+0.00016508i
0.0026494+0.00082625i,0.0030016+0.00064237i,0.0024019+0.00023135i,0.0023391+0.00080409i,0.0013495+0.00050596i,0.00063963-0.00051882i,-0.00025702-0.0014736i,-0.00090945-0.001715i,-0.00079861-0.0010142i,-0.0015495-0.00054418i,-0.0011129-0.00056575i,-0.00012686-0.00052394i,-0.00021386-0.00050833i,-0.00030109-0.00070786i,9.3623e-05-0.00021981i,-0.00022463+0.00046089i,-0.00020903+0.00044929i,-1.4441e-05+0.00038441i,-0.00058356+0.00027314i,-0.00082909+0.00025141i,-0.00061763+0.00010643i,0.00020002+0.00012067i,-7.8258e-05+2.6433e-05i
-0.00019846-0.00016065i,0.00023572+0.0011617i,0.00080455+0.0012785i,0.00036983+0.00090169i,-0.00079581+0.0017004i,-0.00068934+0.0016879i,-0.00054731+0.00023339i,-0.0015815-0.00049097i,-0.0027947-0.00038157i,-0.0028504+0.00018997i,-0.0010235+0.0009114i,0.00027178+0.00122i,0.00041398+0.00021378i,0.00018299-0.00013924i,0.00017149+0.00015106i,0.00024502+0.00010318i,-0.00021842+0.00050331i,-0.00072856-0.00031365i,-0.00051388-0.00068699i,-0.00010733-0.00079555i,-0.00044951-0.00097073i,-0.00072516-0.0006353i,-0.00086549-0.00011927i
0.0019474+0.00051868i,0.003062+0.0011014i,0.003419+0.0013794i,0.0027051+0.0011741i,0.001799+0.00095772i,0.0010493+0.00059498i,0.00064926+0.0010439i,0.00013525+0.0012756i,-0.00070994+0.00074701i,-0.0005699+0.00086229i,0.00054251+0.00048508i,0.0018358-0.00029628i,0.0018682+0.00034601i,0.00083839+0.00063015i,0.00069165+0.00012678i,0.00074828-0.00072439i,0.00070481-0.00033918i,0.00046379+0.00098085i,0.00043363+0.0010803i,0.00058931+0.00032862i,0.00021769-0.00060564i,-0.00054719-0.0015632i,-0.00051812-0.0013462i
0.0008107-0.000716i,-0.0010626+0.0011577i,-0.00053015+0.0027493i,0.0016613+0.0039824i,0.0014614+0.0040151i,0.0015136+0.0030717i,0.0018409+0.0008511i,0.0016279-0.0010798i,0.0011662-0.0015136i,0.00047285-0.0010849i,0.00055025-0.00012377i,0.00060776+0.00044127i,-7.8281e-05+0.00053624i,-0.00036188+0.00024515i,-0.00033825-6.3667e-05i,-1.0928e-05-0.00047623i,0.00052797-0.00055828i,0.00042571-8.7338e-05i,0.00039369-6.6768e-05i,0.00015547+0.00022566i,-0.00018613+0.00060903i,8.7836e-05+0.00092173i,0.00010269+0.0010123i
0.0018427+0.0026493i,0.0020399+0.0024046i,0.0022736+0.0018973i,0.0021195+0.0019085i,0.0013192+0.0012247i,0.0015839+0.00085765i,0.0024128+0.00020414i,0.0018294-0.0014841i,0.0002529-0.0028615i,-0.00044152-0.0023771i,-0.00023421-0.0013574i,-8.4553e-05-0.00062697i,-0.00043678+4.2809e-06i,-0.0006157-0.00019142i,-0.00050055-1.7254e-05i,-0.00014906+0.0002871i,-2.5265e-05-0.00011661i,-0.00017983-0.00054573i,0.00086514-0.00086497i,0.0012493-0.0011605i,6.9157e-05-0.00041695i,-0.00062904-0.00022296i,-0.0002435-0.00033437i
0.0013912+0.0021557i,0.0013954+0.0023559i,0.002285+0.002681i,0.0021362+0.0021356i,0.0013168+0.00062249i,0.00017158-0.00067593i,-0.00062284-0.001389i,-0.00067071-0.0012555i,-0.0010001-0.00017661i,-0.0010381-6.6287e-05i,-0.0015047+0.00018452i,-0.0011113+0.00012255i,-9.2915e-05-8.961e-05i,5.4069e-05-0.00017585i,-0.00018297+0.00025914i,-0.00013507+0.00098936i,-0.00022705+0.0011875i,-2.8378e-05+0.0010602i,0.00049857+0.00097332i,0.00073715+0.0012131i,3.152e-05+0.0011257i,-0.00084524+0.00062486i,-0.0010874-1.8985e-05i
0.0034592+0.00068546i,0.0032664+0.0011346i,0.0026723+0.0012332i,0.0020721+0.00068453i,0.00035646-0.00044516i,-0.00092592-0.00011624i,-0.0021506+0.00017072i,-0.0028487+0.00026175i,-0.0025463+0.0011326i,-0.0014326+0.00065014i,0.00017049+5.8319e-05i,0.00084074+0.00068618i,0.00057346+0.0011123i,-0.00028107+0.00047242i,1.5861e-05-0.00071847i,0.001475-0.00027637i,0.0016635+0.00025227i,0.0011938+8.7204e-05i,0.00080979+0.00019347i,0.00028462-0.00020449i,-0.00031039-0.00063648i,-0.00072936-0.00094386i,-0.0012058-0.0011742i
0.0028128+0.0013125i,0.0022863+0.0008569i,0.0020614-0.00020568i,0.001576-0.00068087i,0.0011856+9.0997e-05i,0.00050667+0.0014315i,-0.00021558+0.0013512i,-0.00023824+0.00054246i,-0.00012594-0.00037426i,-0.00070723+4.7333e-05i,-0.00081101+0.0013369i,-0.00012749+0.00068091i,0.0013014-0.00035531i,0.0010806-0.00039554i,-0.00019265-0.00036663i,4.1812e-05-1.4425e-05i,-0.00011556-9.412e-06i,-0.00040173-0.00042484i,0.00017693-0.0003794i,-0.00036891-0.00033129i,-0.001408+0.00041337i,-0.0016784+0.00095754i,-0.00050931+0.00042895i
-0.00065789+0.0021145i,0.0018699+0.0022238i,0.0031276+0.0028281i,0.0024304+0.0024026i,0.0025368+0.0025035i,0.0031374+0.0020298i,0.0027031+0.00067318i,0.0014088-0.00097339i,0.00042916-0.0013474i,0.00079484-0.00041106i,0.00067397+0.00063388i,0.00028754+0.00052394i,-0.00011248-0.00072883i,-0.0010768-0.0009409i,-0.0011014+0.00020533i,-0.00063194-7.0943e-05i,-0.00056465-0.0011264i,-0.00037047-0.00094549i,0.00028288-0.00075167i,0.00085702-0.00071922i,0.00039792-0.0007727i,-0.00058133-0.00082489i,-0.00039836-0.0005505i
0.0002441-0.00078177i,-0.00039645+0.00045213i,0.00094878+0.0014634i,0.0021732+0.0020971i,0.0020186+0.0018984i,0.002433+0.0012903i,0.0031275-4.4303e-05i,0.0026799-0.0016714i,0.00083843-0.0025132i,-0.00070982-0.002507i,-0.0010355-0.0012485i,-0.0003951-0.00086375i,0.00011121-0.00073903i,-0.00081647-5.8799e-05i,-0.0012357+9.255e-05i,-0.0003564+0.00020632i,-6.9692e-05+0.00028123i,-0.00043278-4.7755e-05i,3.8447e-05-0.00033873i,0.00039618-0.00027678i,8.6336e-05-0.00092391i,-0.00043779-0.00097772i,-0.00042529-0.00047357i
0.0026316+0.00242i,0.0023954+0.002912i,0.0028734+0.0031381i,0.0028144+0.0030962i,0.0023807+0.00022411i,0.0020245-0.0016134i,0.00071593-0.0011495i,-0.00021681-0.0006369i,-0.0010588-0.00050021i,-0.0017359-0.00061717i,-0.00088815-0.0002109i,0.00019033+0.00025057i,-2.5115e-05+0.00083279i,-0.00044885+0.0010199i,-0.00031611+0.00074376i,-1.1781e-05+0.00055404i,0.00039155+0.00044869i,0.00048408-6.5371e-05i,0.00019024-0.00010803i,-0.00040586-6.6673e-05i,-0.0006625-0.00029362i,-0.00038459+0.00014672i,-0.00076825-0.00014527i
0.0004298-9.3271e-06i,-0.00026575+0.00095214i,-4.9927e-05+0.0011185i,5.7935e-05+0.00046472i,-0.0003241+0.00017899i,-0.00074356+0.00033269i,-0.0010904+0.00045432i,-0.0012729+0.00060239i,-0.0018974+0.00072579i,-0.002144+0.00096115i,-0.0010996+0.00093718i,0.00034916+0.00026121i,0.00061546+0.00032199i,0.00039007+8.0366e-05i,0.00010867+8.9892e-05i,0.00046968+0.00024358i,0.00057753+8.1928e-05i,0.00031689+0.00039596i,0.00028623+9.8355e-05i,0.00060197-0.00033478i,0.00059796-0.00028573i,-6.9727e-05-6.8649e-05i,-0.00030248-0.00055096i
-0.0017575-0.0036289i,-0.00088272-0.00078418i,-0.00036057+0.001169i,-0.00070217+0.00055725i,-0.001266+0.0017406i,-0.00078096+0.002703i,-0.00033369+0.0018646i,-0.00042934+0.0010978i,-8.3651e-05+0.00034555i,0.00028582+0.00022439i,0.00046643+0.00043889i,0.0014592+0.00068228i,0.0015661+0.00021726i,0.00049892-0.00032352i,0.00015311-0.00021288i,-9.6696e-05+4.8618e-05i,0.00010408-0.00033392i,0.00063769-0.0008657i,0.00018156-0.00058082i,-0.0013028-0.00014684i,-0.0018967+0.00022202i,-0.0011437+0.00032527i,-0.0011371-0.00014009i
0.0013875+0.002826i,0.0024023+0.0012808i,0.0027598+0.0015374i,0.0019302+0.0011444i,0.0019912+0.00084366i,0.0019222+0.0005676i,0.00081005-6.0034e-05i,-0.00036028-0.00040171i,-0.00063134-0.00010352i,-0.00038225-0.00038913i,-0.00013423-0.00071853i,0.00021262-0.00024168i,0.00075978+0.00019055i,6.7585e-05+0.00047165i,-0.0008707+0.00072551i,-0.00035706+0.000574i,3.0323e-05-4.4913e-05i,-0.00047708-0.00096414i,-0.00029523-0.0011382i,0.00013133-2.0992e-06i,5.7994e-05+0.00046991i,-0.00014195+0.00019909i,-0.00011539+6.3832e-05i
0.0023632+0.002037i,0.0022401+0.0023221i,0.0031034+0.0018448i,0.0023757+0.0015643i,0.0015126+0.0015894i,0.0012264+0.0011369i,0.0012242-8.9452e-05i,0.00081063-0.0012395i,-0.00052077-0.0014827i,-0.0013328-0.0010239i,-0.0013093-3.9114e-05i,-0.0010885+0.00045949i,-0.00013815+0.00046261i,0.0004593+0.00048831i,-0.00018795+0.00027646i,-0.00030658+0.00036523i,0.00037749+0.0003538i,0.0010271-0.00012342i,0.00062089-2.6505e-05i,-0.00037356+2.7358e-05i,-0.00051806-0.00072163i,-6.1106e-05-0.00032088i,-1.8749e-06+0.0010636i
0.0011596+7.5904e-05i,0.0011827+0.0013574i,0.001988+0.002911i,0.0021269+0.0037221i,0.0010689+0.0027053i,0.00081722+0.00038291i,0.0011719-0.0011392i,6.4853e-05-0.0013018i,-0.0012406-0.00072847i,-0.0017153+0.00021771i,-0.0009157+0.00040384i,0.00027509+0.00023775i,5.7308e-05-1.4393e-06i,-0.00044706-0.00017069i,0.00023466+0.00013918i,0.00070007+0.00042582i,0.00022695+0.00044585i,-0.00012849+0.00057776i,6.0478e-05+0.00029093i,0.00026452-9.1079e-05i,0.00052521+0.00051852i,-0.00010592+0.0009449i,-0.00096736+0.00048569i
0.00074802+0.0002034i,0.0022603+0.0024001i,0.0017668+0.002696i,0.00089894+0.0023873i,0.00038758+0.0015358i,-6.4352e-05+0.00045899i,-0.00084105-0.00014996i,-0.0017106-0.0002331i,-0.0014866+9.932e-05i,-0.00043977-5.3656e-05i,0.00048713+0.00042596i,0.001088+0.00076433i,0.00092816+8.5168e-05i,0.00046763-0.00065048i,0.00038392-0.00092614i,0.00029085-0.00014822i,0.00051088+0.00031194i,0.00046452-0.00041536i,8.1346e-05-0.00086658i,-0.00019756-0.00050365i,2.1076e-05-6.5137e-05i,0.00027703+0.00012627i,0.00040993+0.00043129i
-0.0019843+5.2966e-05i,0.00012063+0.0020124i,0.0004082+0.0026189i,-0.00054277+0.0018318i,-0.00055083+0.0014486i,8.4292e-05+0.00084411i,0.00038815+0.00071508i,-0.00016133+0.00041294i,-0.00097606-0.0004182i,-0.00073234-0.00081412i,-0.00024522-0.00071489i,0.00086881-0.00035141i,0.00049848-0.00040154i,-0.00078465-0.00061832i,-0.00022031-0.00032548i,0.00025009+0.00033426i,-0.00037932+0.00031696i,-0.00060292+6.9151e-05i,0.00025181+0.00038911i,0.00058743+0.0004727i,-1.6317e-05+0.00031295i,-0.00023042+0.00057368i,0.00013881+0.00043376i
-0.00021846-0.00032123i,0.00098719-0.0015984i,0.0016104-0.0005997i,0.00040086+0.0010222i,-0.00010395+0.0021917i,0.00081487+0.0028676i,0.00090604+0.0012921i,0.0010381-0.00054947i,0.00052822-0.0014028i,-0.00016745-0.0016739i,-4.587e-05-0.0014191i,0.00047305-0.00074364i,0.0007121-0.00035783i,0.00039405+0.00013455i,0.00039966+0.00085973i,0.00032938+0.00044726i,-0.00030067-0.00016513i,-0.0010369-0.00030627i,-0.00089108-0.00030597i,-0.00029645-1.5141e-05i,-9.3797e-05+2.7073e-06i,-4.9379e-05-0.00062891i,-3.8135e-05-0.00074874i
0.0011236+0.001143i,0.00052197+0.00076097i,0.00028364+0.00072318i,0.00045617+0.0015076i,0.0011524+0.0018581i,0.0020859+0.0017202i,0.001983+0.00039872i,0.0016463-0.0013552i,0.00058352-0.0021714i,-0.0010134-0.0018886i,-0.00095513-0.00090861i,1.0255e-05+0.00016896i,0.00026632+0.00065442i,-0.00053321+0.00061186i,7.6898e-05+0.0006008i,0.00015603+0.0011039i,-0.00019243+0.00080131i,0.00047482+0.00011482i,0.00010066+0.00019378i,-1.1499e-05+0.00035222i,0.00037917+0.0007896i,0.00024564+0.00086102i,-0.00037913+0.00067256i
0.00076987+0.0027124i,0.00042245+0.0040969i,0.0010759+0.0045224i,0.0020586+0.0044582i,0.0017587+0.0029351i,0.0010459+0.001046i,0.00037432-0.00012893i,-0.00087671-0.0012808i,-0.0021921-0.0014408i,-0.0017464+0.00010073i,-0.00032772+0.0013946i,0.00019403+0.0010595i,0.00027462+0.00040101i,-9.6243e-05+0.00080533i,-0.00030755+0.00099379i,9.3598e-05+0.00070833i,0.00020061+0.00015644i,0.00041196-0.00064975i,0.0014518-0.00048883i,0.0016022+0.00014749i,0.00060069+0.00091159i,2.9049e-05+0.00056394i,-6.6948e-05+0.0003406i
0.0021586-0.0012552i,0.002687+0.0010063i,0.0019984+0.0019066i,0.00087077+0.0013643i,0.00039437+0.0016985i,-0.00026076+0.0013359i,-0.0010553+0.00033452i,-0.0010678+0.00071851i,-0.0011644+0.0018472i,-0.0014146+0.0016979i,-0.0011252+0.000475i,-0.00053288-9.3103e-05i,0.00012099-0.00046339i,-0.00028233-0.00082499i,-0.00011061-0.00063465i,0.00076193-0.00052232i,0.00084575-0.0004963i,0.00042771-7.169e-05i,7.5353e-05+0.00020133i,0.00017174-6.7969e-05i,0.00025949-0.0001194i,-0.00020988-0.00063686i,-0.000135-0.00081624i
-0.0011544-0.0010692i,0.00052573+0.00099583i,0.0010632+0.0019688i,0.001272+0.0010443i,0.00033943+0.0015954i,-0.00046738+0.0017745i,-0.0014549+0.00098573i,-0.0014973+1.2697e-05i,-0.00039378+8.6394e-05i,0.00049847-3.2772e-06i,0.00041837-4.0027e-05i,0.0001426+0.00025482i,0.00065479-0.00013092i,0.00013029-0.00068466i,-0.00058303-3.3116e-05i,-0.00030939+0.00085109i,-1.6094e-06+0.00048175i,0.00012513-0.00049738i,-0.00039828-0.0007097i,-0.00081083-0.00070111i,0.0002513-0.00067381i,6.5836e-05-0.00024824i,-0.00074555-0.00021399i
-0.0014789+0.0041839i,0.00082746+0.0028103i,0.0022639+0.0024211i,0.001895+0.001836i,0.0014708+0.0018699i,0.0011244+0.001647i,0.00077569+0.00032436i,0.0009967-0.0013056i,0.00093042-0.0018718i,-0.00020968-0.00067204i,-0.00075372+0.00012144i,-2.6485e-05-0.00024725i,0.0003918-0.00076628i,0.00057253-0.00042802i,0.0011192-0.00014366i,0.00075255-0.00042904i,0.00030928-0.00092665i,0.00054269-0.00049721i,0.00084466-2.5119e-05i,0.00041181-0.00028441i,-0.00026815-0.00031981i,-0.00081518-0.00050412i,-0.0014888-0.0004736i
0.0012775+0.0026354i,0.0013011+0.0018648i,0.001878+0.0023117i,0.00084989+0.0026153i,0.00028687+0.0018733i,0.00089966+0.00095103i,0.0010272-0.00057649i,7.1527e-05-0.0018301i,-0.00060162-0.002623i,-0.00067347-0.0022142i,-0.00097344-0.00059515i,-0.00078587+0.00070446i,-0.00043502+0.0010365i,0.00010563+0.00057454i,0.00027321+0.00050267i,-0.00031476-6.1057e-05i,-0.00058311-0.00081894i,-0.0012022-0.00048309i,-0.00068427+0.00059818i,0.00025999+0.0015697i,0.00017228+0.0010715i,0.00060998+0.00079378i,-0.00012764+0.0012616i
0.0019707+0.0010698i,0.0010783+0.0030097i,0.0024075+0.003617i,0.003708+0.0027958i,0.0038125+0.0025683i,0.0027369+0.0011702i,0.00052615-0.0008079i,-0.0010758-0.00078557i,-0.0019397-0.00023002i,-0.0020989+0.000608i,-0.00084065+0.0016066i,0.00011369+0.0013295i,0.00026314+0.00024279i,0.00047568-0.00022349i,0.0001777-0.00071582i,-0.00044535-0.00047031i,-0.00013628+0.00013582i,0.00016144-7.7375e-05i,0.00037842-0.00056071i,0.00096025-0.00048169i,0.00078473-0.00011807i,0.00049806-0.00056992i,0.00058832-0.0012167i
