-0.0042225-8.0237e-05i,-0.0023852+0.00043451i,-0.0011405+0.0023453i,-0.00037799+0.0029515i,0.00013205+0.0027681i,-2.9683e-05+0.002554i,-0.00068371+0.0022361i,-0.00037698+0.0023018i,0.00048199+0.0027503i,0.00070062+0.0022834i,0.00078684+0.0011621i,0.00071012-4.811e-05i,6.7296e-05-0.0011666i,-0.0007446-0.00082521i,-0.00045671-0.00058518i,-0.00029524-0.00095315i,-0.00029918-0.00089203i,-0.00021497-0.00069918i,0.00040625-0.00032741i,0.00064548-0.00011759i,-0.00034209-1.7366e-05i,-0.00091683+3.7605e-05i,-0.00071709+0.00040362i
0.00066209+0.0001975i,0.00091591+0.00080542i,0.00055195+0.00058518i,0.0010357+0.00023858i,0.002361+7.2336e-05i,0.0018676-6.1768e-05i,0.00069025+7.2193e-05i,0.0001446+0.001031i,8.9213e-05+0.0020284i,0.0010264+0.0020742i,0.0010953+0.0017858i,0.00021709+0.0018033i,-0.00045967+0.00091915i,-5.9515e-05-0.00052475i,-0.00020644-9.0862e-06i,-0.00040487+0.00041659i,-0.0003759-5.287e-06i,-0.00063234-0.00085629i,-0.00068974-0.0015179i,-0.00015714-0.0013436i,7.2354e-05-0.0009143i,-8.4576e-05-0.00054224i,-0.00064678-0.00040123i
0.00046199-0.0018604i,-0.0010489-0.0015108i,-0.00096651-0.0014069i,-0.00088873-0.00081345i,-0.00058042+0.00053222i,-0.00010441+0.0014601i,-0.00019701+0.00041374i,-0.0003344-0.00054058i,-0.00010726+0.00047338i,-0.0007996+0.0010303i,-0.0010382+0.00094928i,-0.00040126+0.0010416i,0.00042965+0.00091189i,0.00075602+0.00078881i,0.0011369+0.00033681i,0.00087298-0.00035631i,3.9384e-05-0.00034388i,-0.00025082-0.00032743i,-7.121e-06-0.00081934i,9.4475e-05-0.00069571i,-0.00043125+0.00018394i,-0.00020384+0.0003186i,0.00039024+0.00032262i
0.0012923+0.0009993i,0.0027722+0.00044028i,0.003845-0.00027391i,0.0033795-0.00054305i,0.002263+0.00034787i,0.000966+0.0003582i,-0.00056139+2.9443e-05i,-0.0012586+0.0007391i,-0.0007743+0.0015842i,0.00029096+0.0016832i,0.0006346+0.001157i,-0.00023394+0.0010945i,-0.00073088+0.0010252i,-1.6559e-05+0.0004454i,0.00054751+0.00041602i,9.4345e-05+0.00063779i,0.00015248+7.9274e-05i,-0.00029722-3.6139e-06i,-0.00080346-0.00036935i,-0.00076016-0.0010063i,-0.0008929-0.0007509i,-0.00056999+0.00019881i,-5.0252e-05+0.00040558i
0.00025947+0.0010128i,0.00020628+0.0015163i,0.00021834+0.0023368i,0.00098604+0.0024977i,0.0017402+0.00086797i,0.0012964-0.00025084i,0.00062202+6.4227e-05i,-0.00042529+0.0011732i,2.2186e-05+0.0022376i,0.0014331+0.0019896i,0.00088666+0.0010267i,-0.00014626+0.00036382i,-0.0007568+0.00036126i,-0.00059328+0.00050395i,-0.00036828-4.5181e-05i,-0.00052799-1.9224e-05i,0.00055022+0.00036871i,0.00035952-0.00027913i,-0.00018092-0.0010952i,-0.00039128-0.0011942i,-0.00076974-0.00068576i,-0.00032478+5.7967e-05i,-0.00028177+0.00046231i
-0.00055349+0.00086167i,2.5601e-05-0.0004917i,0.0010132-0.00057766i,0.0013201+6.7228e-06i,0.0016787+0.00010616i,0.0020557-0.00012671i,0.0011466-0.00020597i,0.00034386+0.00017525i,0.00023341+0.001566i,0.0010586+0.0017785i,0.00066182+0.00075777i,-0.00054311+0.00078866i,-0.0001623+0.00089556i,0.00041471+0.00072288i,0.00026175+0.0013074i,-1.4202e-05+0.0014283i,9.4155e-05+0.00060144i,7.4614e-05+8.3353e-05i,-1.2619e-05-0.00038533i,-0.00012511-0.00041371i,-0.0003699-0.00017932i,-0.000175+0.00036283i,-0.00011435+0.0006569i
9.1696e-05+0.00189i,0.00176+0.00097464i,0.0027133+0.0014768i,0.0025222+0.0016926i,0.0017705+0.00083272i,0.00084157-0.00030401i,-0.00077828+0.00023519i,-0.0016938+0.001094i,-0.0013407+0.00080864i,-0.00082711+0.00082962i,-0.00030291+0.00095168i,-0.00034416+0.00040337i,-0.00053801+0.00030004i,-0.00010991+0.000413i,0.0002091+0.00017091i,-0.00022255-0.00045187i,0.0001026-0.00074967i,0.00012402-0.00085541i,-3.617e-05-0.00079541i,0.00014656-0.00019071i,0.00010468-0.00011471i,0.00063482+4.8259e-05i,0.0011055+0.00025552i
0.00076171+0.0017055i,9.7543e-05+0.0016643i,0.0014922+0.0012204i,0.0024085+0.0008447i,0.0014901+0.00037606i,0.0004129+7.8135e-05i,-0.00017122+0.00028594i,-0.00074859+0.00074884i,-0.00031329+0.0010724i,0.00078684+0.0013442i,0.00049671+0.00097715i,7.4118e-05+0.00070316i,0.00022271+0.00081226i,0.00036069+0.0011933i,0.00025298+0.0012327i,-9.1023e-05+0.00064171i,2.4357e-05-0.00021493i,-0.00042429-0.00087447i,-0.00056301-0.00026962i,-0.0005708+0.0011104i,-0.000842+0.0013891i,-0.00061192+0.00035018i,5.0468e-05-0.00098478i
-0.0017653-4.7111e-05i,-0.0010047-7.9469e-05i,-0.0021429-0.00011011i,-0.0025357+0.00082906i,-0.00048257+0.00089669i,0.00067729+0.00075983i,5.6239e-06+9.5467e-05i,-0.00022024-0.0002042i,-9.8471e-05+0.00086994i,-0.00055695+0.0010584i,-0.00023859+0.00084674i,6.0965e-05+0.00086287i,-0.00019521+0.0010503i,0.00047132+0.00091673i,0.0010027+0.00039587i,0.00063067-0.0003292i,0.00027335-0.00035527i,0.00011646-0.00031324i,-4.9369e-05-0.0011588i,-0.00011043-0.0011784i,-0.0003543-0.00052299i,-0.00055765-5.2661e-05i,-0.00032715+0.00056893i
0.00049651-0.002316i,-0.00013122-0.0022038i,-0.00064232-0.00091728i,-0.00071109+0.0002926i,-0.00098702+0.00062434i,-0.00045188+0.00085237i,-0.00013478+0.00080313i,-0.00053587+0.0013189i,-0.00026639+0.0013182i,4.4893e-05+0.00060144i,0.00040229+0.0006259i,0.00021953+0.0009578i,-6.8204e-05+0.00069378i,0.00074878+0.00037687i,0.00064265-7.2683e-05i,-0.00046657-0.00052324i,-0.0012375-0.00075587i,-0.0012467-0.00055855i,-0.00080424-0.00040949i,3.0912e-05-0.0010591i,0.00066265-0.0010195i,0.00041139-0.00030094i,0.00015592+0.0002382i
-0.0020598-0.00051004i,-0.0020167-0.00026262i,-0.0013687+0.0012638i,-0.00089846+0.0025962i,-0.00035251+0.0026717i,0.00041617+0.0012915i,-0.00020828+0.00011831i,-0.00072069+0.0003602i,-9.5513e-05+0.0010998i,0.00018633+0.0017464i,-6.6751e-05+0.001423i,0.00017542+0.00060405i,0.00032536+0.00011221i,0.00043071+0.00018051i,0.00020663-6.3626e-05i,-0.00043698-0.00021506i,0.00018447-0.00033101i,0.00025442-0.0011165i,0.00013485-0.0011886i,0.00029273-0.00096368i,0.00024791-0.00075577i,0.00036745-0.00022941i,-0.00023768+0.00014926i
0.00030889+0.00081126i,0.00053717+0.0014796i,0.00061049+0.0017623i,0.0015769+0.0012355i,0.0015149+0.00036089i,-0.00020119+7.3422e-05i,-0.0012446+4.6526e-05i,-0.0013124+0.00079618i,-0.00043967+0.0012539i,0.00030363+0.00072456i,0.00024632+0.0006817i,0.00010505+0.00097536i,0.00054913+0.00071548i,0.00078588+0.00010092i,0.00075301-0.00023447i,0.00082337-0.00030803i,0.00033299-0.00043657i,-0.00031799-0.00010866i,-0.00063085+0.00012678i,-0.00078309-0.00040944i,-0.00069588-0.00047672i,-0.00042557-0.00072038i,-0.0007079-0.0009386i
0.0013783-0.00016191i,0.0019511-0.00074276i,0.0028283-0.0017495i,0.0027973-0.0010889i,0.0012949-0.0002596i,-2.3894e-05+0.00045776i,-0.00026219+0.0010043i,0.00026066+0.00090611i,0.0006346+0.0007244i,0.0001034+0.00016828i,-8.2198e-05+5.5775e-06i,-6.4236e-05+0.00022993i,0.00048186+5.9353e-06i,0.00053136+0.0001307i,0.00040926-0.00022766i,0.0005175-0.00047586i,0.00046996-0.00039877i,2.1842e-05-0.00033239i,-0.0002955+0.00012715i,-6.1192e-05+0.00047799i,-0.00039531-0.00034778i,-0.00048387-0.00056872i,-0.00018819+0.00056918i
-0.0011567+0.0026786i,-0.001291+0.0026308i,-0.00037285+0.0016417i,0.00020533+0.0012311i,0.0011423+0.00074856i,0.00090811-0.00032748i,7.2134e-05-0.00031754i,-0.00013829+0.00041066i,0.00030796+0.0012239i,0.00098568+0.0011514i,0.0007462+0.00050606i,0.00014897-0.00026174i,-0.00029357+2.5017e-05i,-0.00018094+0.00091165i,1.1996e-05+0.00072354i,2.3167e-06-0.0003752i,0.00023641-0.00064699i,0.00049606-0.00080334i,0.00028293-0.00074958i,-0.00035381-0.00027216i,-0.0012605+2.824e-05i,-0.0004132+0.00010786i,0.00085505-0.00016632i
-0.00035318+0.00075902i,-0.0011702+0.0013174i,-0.0021176+0.0024156i,-0.0005855+0.0029236i,0.0017411+0.0022835i,0.0020489+0.00087227i,0.00076304-0.00037446i,0.00039763+3.5279e-05i,0.00026908+0.00148i,-0.00041404+0.0022001i,-9.3558e-05+0.001043i,0.0003931+0.00041325i,-3.6884e-05+0.0012382i,-0.0005034+0.0015341i,-0.00083537+0.0010923i,-0.0011215+0.00067927i,-0.00080266-6.8713e-05i,-0.00012071-0.00020875i,-1.543e-05-0.00038209i,-0.00039949-0.00028885i,-0.00044865-9.6054e-05i,-5.6691e-05-4.727e-05i,-0.00044199+0.00024491i
-0.00088229-0.000381i,-0.00066303+0.00039396i,0.00013803+0.00028774i,0.00043674+0.00041777i,-0.00014217+0.00025585i,-0.00036908-0.0007931i,-6.144e-05-0.00040465i,-0.00018504+0.00053505i,9.2084e-05+0.00054282i,0.00035148+0.00055872i,-0.00019402-2.7936e-05i,-0.00058747+0.00021686i,-0.00022585+0.00070823i,0.00037309+0.00044516i,0.00019943-4.131e-05i,-0.00027899-0.00043505i,-0.00014872-0.0001625i,-0.00017086-8.7539e-05i,-0.00033635-0.00096462i,-0.00030814-0.0011789i,-0.00040977+2.3831e-05i,-0.00023568+0.00041464i,5.9348e-06-0.00018888i
0.0011181+0.00037751i,0.0012792+0.00022429i,0.0018965-0.00020779i,0.0018157-0.00055408i,0.0011629-0.00057531i,0.0011066-0.0010123i,0.0010003-0.00085692i,0.00074701+0.00092172i,0.0014854+0.0017283i,0.0019209+0.0015831i,0.00075756+0.0010322i,-0.0003366+0.00073194i,-0.00055025+0.00081044i,-0.00067313+0.00066543i,-0.00060574+0.00070814i,-0.00018021+0.00021797i,4.1488e-06-0.00061056i,-0.00028787-0.00029664i,-0.00053974+0.00031169i,0.00012421+5.862e-05i,0.00026775-2.1619e-05i,-0.00068417+0.00017261i,-0.0010293+0.00052057i
-0.0018902+0.00072105i,-0.0019679+0.00069467i,-0.0020058+0.0014526i,-0.0009985+0.002401i,-0.00019416+0.0016957i,0.00021825+0.00020979i,0.00071208-0.0005898i,0.00015026-0.00043552i,-0.00053202+0.0005995i,-0.00044409+0.001457i,-1.4063e-05+0.0013393i,-0.00013826+0.0014888i,-0.000925+0.0011323i,-0.00080531+0.000177i,-0.00040702-0.00027646i,-0.00032608-0.00088431i,-1.3028e-05-0.0011578i,0.00026705-0.00071028i,0.00033711-0.0007717i,0.00040114-0.00080057i,-0.00011017-0.00057701i,-0.00069823-0.00025917i,-0.00066772-0.00015208i
-0.00032767-0.0010328i,0.00022422+0.00041103i,8.733e-05+0.00071695i,0.00024105+0.00059411i,0.00039326+0.0010624i,0.00034364+0.00063495i,0.0001105+0.00018836i,1.869e-05+0.00040413i,-0.00014911+0.00097047i,-0.00014242+0.00104i,0.00010151+0.001239i,-0.00018669+0.00053973i,-0.00031286-0.0002423i,-0.00023237+0.00021715i,-0.0001476+0.00043366i,-0.00051266-0.0003893i,-0.00054408-0.00098032i,6.4425e-05-0.00057988i,0.0001265-0.00028453i,-0.00021384-0.00054117i,-9.7531e-05-0.00060443i,-5.969e-05-0.00027475i,-0.00019294-9.1351e-06i
-0.0010903+0.00026063i,-0.0016428+0.0011568i,-0.0016191+0.0019288i,-0.00059571+0.0020245i,-4.1159e-07+0.0018022i,0.00020607+0.0012032i,0.00053596+4.2206e-05i,0.00038443-0.00015132i,0.00043954+0.00071767i,0.00047812+0.0018332i,-0.00032719+0.0018938i,-0.0005976+0.0011409i,0.00017789+0.00026249i,0.00064844+3.145e-05i,0.00064799+0.0003485i,0.0006845+0.00014603i,0.00063494-0.00089175i,6.0912e-05-0.0012589i,-0.00081558-0.00079236i,-0.00057071-0.00098256i,-0.00019935-0.00062025i,4.3851e-05-0.00016325i,0.00033724-9.073e-05i
0.00029305-0.00061441i,0.0006521+0.00046739i,1.1331e-05+0.0015953i,-0.00094007+0.0018194i,-0.00088494+0.00081748i,7.5939e-05+0.00058624i,0.00053224+0.00053249i,0.00026531+8.3918e-05i,0.00061567+0.00043718i,0.0011868+0.001153i,0.0010796+0.0014773i,0.00077172+0.0013343i,0.00031016+0.00095088i,0.00048664+0.0004037i,0.0012299-0.00016816i,0.00031825+0.00016994i,-0.00054425+0.00034314i,-0.00084661-7.4067e-05i,-0.0012715-0.00078195i,-0.00050562-0.00077637i,-0.00015742-0.00017381i,-0.00028348-1.1379e-05i,-0.00021871+5.5641e-05i
-0.0016383-0.001737i,-0.00087069-0.0017569i,-0.00062009-0.0017305i,-0.00022349+0.00069705i,0.00013222+0.0029124i,0.00067606+0.0026225i,0.00049595+0.0011506i,-0.00056367+0.00078067i,-0.0014504+0.0010337i,-0.0014282+0.0015235i,-0.0011362+0.0018715i,-0.00071028+0.0016473i,-0.00024769+0.0010564i,0.00032012+0.00037833i,0.00011073-0.00043538i,-0.0011159-0.001421i,-0.00097728-0.0016719i,-0.00047327-0.00063599i,2.1593e-05-0.00035379i,0.0004405-0.00088173i,0.00049933-0.00048758i,0.00056629+0.00015227i,0.00086964+0.00013548i
0.0023925-0.00075735i,0.0012952-0.00061009i,0.00012037-0.00027138i,0.00055869+5.9312e-05i,0.0013796-0.0002193i,0.0007384-0.00047588i,-0.00048582-0.00056715i,-0.00050685+0.00027503i,-0.00029638+0.0013344i,0.00017806+0.0014753i,0.00016784+0.0017815i,-0.00035669+0.0014541i,8.9069e-05+9.3948e-05i,0.00076803+0.00025665i,0.00085188+0.00034752i,0.00068769-0.00048173i,0.00023475-0.0010025i,5.0387e-05-0.00038915i,0.00019172-8.0874e-05i,0.00049783+8.4929e-05i,-0.00037571+0.0011253i,-0.00076754+0.00088155i,-0.00050974-0.00022382i
0.0018811-0.00043047i,-1.3847e-05-0.00050225i,-0.00030404-0.0012295i,0.00084728-0.0012001i,0.001376-0.000749i,0.00025725-0.00024979i,-0.0010782+0.00046076i,-0.00089156+0.00048904i,0.00035777+0.00086423i,0.0007596+0.001056i,0.00024594+0.00026011i,-0.00035969+0.00040079i,-0.00010731+0.0011896i,0.00060921+0.0012919i,0.00085961+0.00063865i,0.00064624+5.2417e-05i,-0.0002839-0.0001483i,-0.00063572-0.00015401i,2.9739e-05-0.0005437i,7.7317e-05-0.00098473i,-0.00010157-0.00041931i,-0.00011826+0.00022818i,0.00038603-0.00027925i
0.00041329-0.00034497i,0.00082228+0.00035589i,-5.3854e-05+0.00076565i,-0.00077558+0.00097393i,0.00045933+0.001582i,0.0012278+0.0013218i,0.00065921+0.00033711i,0.0001077+0.00090199i,-0.00030546+0.0013531i,-0.00025239+0.0010987i,0.00017887+0.00092306i,0.00067996+0.00069666i,0.00027185+0.0004297i,0.00042543+0.00044704i,0.00053535-0.00011796i,-1.0284e-07-0.00093588i,0.00038304-0.000134i,0.00023875-4.5681e-05i,-0.00044761-0.00080826i,-0.00043261-0.00067011i,-0.00084999-0.00051655i,-0.00057309-0.0010329i,0.00017095-0.0009083i
9.7066e-05-0.00054594i,-1.9436e-05+0.00028492i,-0.00030617+0.0015706i,0.00024483+0.0022751i,0.0011009+0.0018823i,0.0014617+0.0011896i,0.00075799-0.00012415i,-0.00028363-0.00017077i,-0.00059124+0.00071377i,-5.0768e-05+0.0015026i,0.00051235+0.0021762i,0.00069384+0.0014328i,0.00032525+0.00019181i,-6.5714e-05-0.00029917i,-2.6222e-05-0.00017555i,0.00018045-0.00028909i,0.00026407-0.0010598i,0.00025195-0.0013935i,0.0003327-0.0011215i,0.00029818-0.0013208i,-1.3363e-05-0.001003i,-0.00025351+7.075e-05i,-0.00019805+0.00020841i
0.00011076+0.00090735i,0.00018383+0.0018768i,-0.00068689+0.0021056i,-0.00078237+0.0020748i,0.0002204+0.0022232i,0.00099468+0.0016773i,0.00092963+0.00037929i,6.4564e-06-0.0001426i,-0.00027253+0.00063163i,0.00016905+0.0016189i,-9.4289e-05+0.0022546i,0.00013526+0.0012835i,0.00025586-0.00061687i,0.00025055-0.00089317i,0.0002963+4.5002e-05i,0.00037729+0.00017404i,0.00066239-0.00022093i,0.00046151-8.8857e-06i,0.00029782+0.00025581i,0.00022125-5.9463e-05i,-0.0002658-0.00048939i,-0.00054856-0.00014759i,-0.0005005-0.00043855i
-0.0023712+0.0017906i,-0.00071689+0.0013948i,0.0010151+0.0020007i,0.0018991+0.0018573i,0.0017664+0.0012729i,0.00074353+2.324e-05i,-0.00058459-0.00089169i,-0.0011264+0.00069356i,-0.00090599+0.0018042i,0.00010466+0.0014112i,0.00073599+0.0013325i,7.4142e-06+0.0011899i,-0.00054711+0.0010162i,-0.00068654+0.00073228i,-0.00059288+0.00071578i,-0.00031638+0.00063991i,9.3867e-05+0.00063541i,-7.5672e-07+0.00086133i,-0.00026032+0.0007417i,-0.00046491-0.00018538i,-0.00014701-0.00059757i,-0.00037974-0.00015507i,-0.00020736+0.0006155i
-0.0013114+0.0001183i,-0.0020774-0.00019356i,-0.0010943+0.00037175i,0.0007669+0.00092307i,0.001245+0.00057635i,0.00015845-0.00025527i,-0.00057724-0.00043688i,-0.00046626-0.00041919i,0.00056849-0.00037738i,0.00093552+0.00016933i,7.6291e-05+0.00081589i,-0.00050671+0.0012146i,-0.00027943+0.00074198i,0.00035434+0.00065518i,0.0010276+0.00083046i,0.00068351+0.00025507i,0.00031901-0.00017655i,0.00028772-0.00057482i,0.00034719-0.00058651i,-9.6702e-06-6.8088e-05i,-0.00030549+0.00022108i,-0.00042762+3.7609e-05i,-0.00014796+0.00022784i
-0.00035786+0.00083647i,0.00076614+0.00068191i,0.0022036+0.0005256i,0.002512+0.00052899i,0.0022454+3.8139e-05i,0.0019963-0.00064423i,0.0014116-0.00014872i,0.00037114+0.00093301i,0.00039519+0.0014776i,0.00090164+0.0018108i,0.00083335+0.0017238i,-8.2663e-05+0.00088762i,-0.0013297+0.00029927i,-0.0013466+0.00054907i,0.00038195+0.00099623i,0.0008373+0.00084082i,-0.00010828+0.00015548i,-0.00012341+0.00027354i,0.00035526-0.00011174i,0.00023558-0.0007086i,-6.0397e-05-0.00028284i,-0.00042359+0.00025252i,-0.00018381+3.9225e-05i
-0.0021038+0.000378i,-0.0028377+0.00088503i,-0.0030717+0.0018496i,-0.0017408+0.0015578i,-0.00046711+0.0015998i,0.00025284+0.0007915i,0.00092834+1.8475e-05i,0.0011793+0.00066337i,0.0010212+0.0013402i,0.00062761+0.0014839i,-0.00046199+0.001355i,-0.0011039+0.00089967i,-0.00056602+0.00045054i,0.00011108+1.9163e-05i,0.00077665-0.00036806i,0.00090705-0.00033454i,0.001095-4.2724e-05i,0.00042891-0.00033701i,9.2645e-05-0.0013239i,3.0259e-05-0.0013225i,-0.000132-0.00069854i,-0.00015936-0.00054937i,7.7496e-06-0.00027789i
