-0.00157-0.00065033i,-0.00028614-0.00022783i,0.00020006+0.0010778i,0.0010962+0.001854i,0.0016382+0.0017552i,0.00092843+0.0016744i,0.00043355+0.0015051i,0.0002714+0.001053i,0.00045896+0.0011059i,-5.517e-05+0.00099591i,-0.00023197-0.0001749i,-0.00046246-0.00084939i,-0.0011559-2.6648e-05i,-0.00096299+0.00023737i,-0.00042237-0.00023946i,0.00026824-5.5821e-07i,0.00049536+0.00021138i,-0.00013631+0.00019489i,-0.00047461+0.00027729i,-0.0001981+0.00070329i,-0.0005209+0.00055009i,-0.0004528-0.00025193i,-0.00020929-0.00054327i
0.00095511+0.00049028i,0.0010531+0.0015021i,0.0013552+0.0019181i,0.001503+0.001614i,0.0013462+0.00099193i,0.0011523+0.00029754i,0.0005253+0.00034766i,-0.00047315+0.000753i,-0.00044905+0.00061706i,4.8294e-06+0.00063674i,-0.00025741+0.00037108i,-0.00069323+9.6505e-05i,-0.00060485-0.00031011i,-0.00051842-0.00032461i,-0.00061154+0.0002345i,-0.00061693+0.00055514i,-0.00070656+0.00028577i,7.7014e-05+0.0002226i,0.00077677+0.00031168i,0.00034092+0.00025034i,5.114e-05-0.00037015i,0.00053929-0.00018795i,0.00026657+0.00020956i
-0.00014678-0.0024355i,-0.0005971-0.00066934i,-2.1776e-05+0.0013087i,0.00060208+0.0021619i,0.00068551+0.0015827i,0.00018721+0.00094729i,0.00028175+0.00042939i,0.00013032-6.0027e-05i,-0.0006097+6.8599e-05i,-0.00060556+0.00070572i,-0.0001013+0.00087144i,-0.00021034+0.00027619i,0.00013078+2.6612e-05i,0.00044086-0.00017271i,0.00058425-0.00060544i,0.00083864-0.00045371i,0.00059752-0.00059806i,0.00010426-0.00081683i,-0.00019313-0.00065772i,-0.00024225-0.00053396i,-0.00029851+0.00013114i,-0.00018154-2.7018e-05i,-0.00044211-0.00081354i
-0.0010689+0.0003102i,0.00048259+0.00074056i,0.0012188+0.0011842i,0.0006752+0.001713i,0.00056396+0.0013128i,0.0010796+0.00022467i,0.00091878-0.00051659i,-0.00033696-0.00023348i,-0.0008909+0.00096659i,-0.00076897+0.0013714i,-0.00014113+0.0013533i,0.00033121+0.00069388i,0.00031188-0.00051954i,0.00021061-0.00043268i,0.00041945-4.193e-05i,9.5028e-05+5.7854e-05i,-0.00014538+0.00072771i,0.00022002+0.0009374i,-0.00028965+0.00033056i,-0.0010005-0.00042117i,-0.00066914-0.00069346i,0.00062365-0.00027008i,0.0015668+0.00047096i
-0.00090596-0.0022235i,-0.00089029-0.0027134i,0.00018943-0.0015228i,0.00135+0.00025324i,0.0016798+0.00079262i,0.0013456+0.00023695i,0.0011448-0.00024263i,0.00053243-0.000387i,-0.00038568+0.00026323i,-8.7062e-05+0.00014845i,0.00084794-0.00074203i,0.00054085-0.0011477i,-5.8626e-05-0.00062i,0.00056067+0.00029474i,0.0010577+0.00034817i,0.00078102+0.00018315i,0.00068385+0.00022713i,0.00052641-0.00027745i,0.00013747-0.00044514i,0.00035027-0.00050799i,0.0011523-0.00061216i,0.00068731+4.3517e-05i,-0.00027966-6.0648e-05i
1.2151e-06+0.0041043i,0.0016684+0.003279i,0.0032098+0.0039622i,0.0041026+0.0036429i,0.0043689+0.0012275i,0.0030067-0.00049505i,0.0012605-0.00044627i,0.00056762-0.0001074i,0.00097313+0.00012448i,0.001482+0.0002777i,0.0012105+7.517e-05i,0.00058296+0.000502i,0.00050557+0.0011072i,0.00018496+0.0011704i,-0.00051826+0.00073859i,-0.00048323-7.6617e-05i,-2.4047e-05+0.00016271i,0.00027777+0.00037805i,9.292e-06+6.2791e-05i,4.8286e-05-6.7227e-05i,0.00032737-0.00011256i,-7.4456e-05+0.00019194i,-0.00018195+4.529e-05i
-0.00060194-0.0007303i,-0.0010595+0.00021543i,0.00088169+0.0010269i,0.0015125+0.0013357i,0.00040761+0.00073408i,-0.000287+0.0006143i,-0.0010159+0.00067293i,-0.0012448+0.0005393i,-0.0004951+0.00053579i,0.00020595+5.5051e-05i,0.00091744+0.00057068i,0.0012342+0.0013259i,0.0014368-7.667e-07i,0.0012636-0.00038065i,0.00014597+0.00051848i,-0.00065059+0.00056658i,-0.00097472+0.00021785i,-0.00046069-0.00043504i,-0.00024456-0.0016145i,-0.00010022-0.0013223i,-4.3803e-05+0.00019243i,0.00018662+0.00097332i,0.00073836+0.000434i
0.00036084-0.00028435i,0.0007801-0.00057975i,0.00090704+0.00011652i,0.0009867+0.00046442i,0.00095981+0.00092683i,0.00054621+0.0014659i,0.00021859+0.00026214i,0.00022426-0.00055418i,-5.7916e-06+0.00017414i,0.00040661+0.00042432i,0.00046526+0.00018286i,-0.00039069+0.00025643i,-0.0010332+0.00052698i,-0.00058489+0.00055172i,0.00014025+0.00027821i,-0.00019664+0.00051866i,-0.00091426+0.0010027i,-0.00069454+0.0013088i,0.00045747+0.0010021i,0.0010414+0.00064126i,0.00038988+0.00037971i,-0.00014992+0.00049989i,0.00020256+0.00040885i
0.00045572-0.00095869i,-0.0013705-0.00037318i,-0.00018556+0.0008419i,0.0014241+0.00095556i,0.0014746+0.00070047i,0.00054425+0.00010047i,0.00010763-0.00048033i,-9.924e-05-0.00030312i,-9.4037e-05+0.00024662i,0.00090898+0.00054874i,0.0016532+0.0010104i,0.001423+0.0012128i,0.00094376+0.00045962i,0.00058356-0.00035537i,0.00061725-0.0003857i,0.00084993+0.00039716i,0.00099216-1.7373e-05i,0.0011303-0.00095858i,0.00033021-0.00043668i,-0.00016267+0.000254i,0.00085191+0.00019513i,0.0013698+6.118e-05i,0.0010361+0.00014131i
0.00065045+0.00070539i,0.00077613+0.0010394i,0.00036648+0.0021134i,0.00075226+0.0017077i,0.0014438+0.00057921i,0.00099413+0.00044086i,0.00069054+0.00044014i,0.0010995-2.5792e-05i,0.00029932+0.0003769i,-0.00021192+0.00065765i,-0.00041223+0.0001167i,-0.00094558-1.4456e-05i,-0.00092679+0.00016169i,-0.00041008+0.000264i,-1.8505e-05+0.00028232i,-0.0001178+0.00043056i,-0.00070331-8.1612e-05i,-0.00072228-0.0006876i,6.0487e-05-0.00020522i,0.00067268+0.00089252i,0.001365+0.00075786i,0.0019216+2.1149e-05i,0.0010291+0.00045916i
-0.00056901-0.0001373i,-0.0013791-0.0010869i,0.00069158-0.0010581i,0.0016637+9.2322e-05i,0.0011434-3.2805e-05i,0.00093757-9.1077e-05i,0.00071184-0.00045049i,0.00022312-0.0006228i,6.8267e-05-0.00022938i,0.00036823-0.00034408i,0.00061057-0.00089243i,0.00047851-0.0015774i,-0.00023446-0.0011455i,-0.00090453-0.00022815i,-0.00051795-0.00026206i,0.00094893-0.00045102i,0.0012474-0.00023689i,0.0011036-0.00028682i,0.0014185-0.00029595i,0.00096373+0.00022643i,0.00085564+9.6333e-05i,0.00099431+0.00012674i,0.0006885+0.00066966i
0.0019453-0.001589i,0.0019105-0.00087276i,0.0023811-0.00048087i,0.0024797+0.00050261i,0.0015825+0.00068699i,0.00034949+0.00066139i,-2.1761e-05+0.00058284i,1.1536e-05-0.00015084i,-2.1059e-06-9.1587e-05i,0.0005583+0.00039509i,0.0011149+0.00026701i,0.00081659+0.0006908i,0.00048294+0.00031074i,0.00066998-0.00072901i,0.0011446-0.00021784i,0.0013694+0.00049039i,0.00073715+0.00047695i,-3.4251e-05-0.00019442i,-0.00050543-0.00061646i,-0.00015832-0.00038375i,0.00054226-0.00058336i,0.0012395-0.00066881i,0.0014472-0.00065048i
0.00052345-0.0018684i,0.00014128-0.0010979i,-2.7359e-05+0.00080263i,0.00014699+0.0015814i,0.00064358+0.00050133i,0.00051691+0.00023979i,-8.754e-05+0.0002491i,2.0522e-05+8.8055e-05i,4.7549e-05+0.00068639i,-0.0004514+0.00075321i,-0.00045679+0.00024372i,2.8374e-05+0.00013884i,0.00075443+9.6616e-05i,0.0010436-1.8981e-05i,0.00014323+0.00059291i,-0.00062957+0.0010092i,-0.00033774+0.00091502i,0.00049898+0.00066618i,0.00060285+0.0002919i,0.0010205+0.00055894i,0.0013624+0.00065099i,0.0004266+4.9134e-05i,-6.3879e-05+3.4849e-05i
5.9093e-05-0.0010642i,2.8228e-05-4.1757e-05i,0.00057596+9.9203e-05i,0.0010308-0.00043501i,0.0010448+0.00033789i,0.00015055+0.00053188i,-0.00031233-0.00054694i,-0.00015377-0.00085024i,0.00056429-0.00021741i,0.00084066+0.00066031i,0.00071144+0.00071344i,0.0007585-0.00017769i,0.0007705-0.00044677i,0.00039296-0.00056361i,-9.2363e-05-0.00032909i,-0.00072591+0.0010008i,-0.00073099+0.0011052i,-0.00044844+0.00014666i,0.0001692-0.00040775i,0.00094175-0.00045044i,0.00083661-0.00022488i,0.00051981+0.00024568i,-0.00020854+0.00023345i
-1.6199e-06-0.0017614i,-0.00084528-0.0014782i,-0.00012746-0.00070821i,0.001291-0.00019699i,0.0018568+0.00026773i,0.0011474+0.00045876i,0.00044572+0.00028635i,0.00044388-0.00081892i,0.00023932-0.00069618i,0.0002006+0.00028205i,0.00093666+0.00054822i,0.0016265+0.00040979i,0.0012916+0.00052617i,0.0002529+0.00060169i,-0.00012879+0.00086663i,0.00059864+0.0010208i,0.00065727+0.0006771i,0.00023256+0.00016884i,0.00070402+0.00076424i,0.00029879+0.0010329i,-4.4403e-05+0.0007304i,0.00053001+0.00023768i,0.00062404+4.9489e-05i
0.00043722-0.0031284i,0.0002965-0.0017839i,-0.00033342-0.0013583i,-0.00021916-0.00074791i,0.00029579+0.00033352i,0.0010021+0.0014228i,0.0012086+0.0010789i,0.00087875+0.0004312i,0.00042648+0.00034301i,-8.4658e-05+0.00063654i,5.8388e-05+0.00076157i,0.00032285+0.00061603i,2.6382e-05+0.00077409i,-9.0633e-05+0.00020131i,0.00021293+0.00012829i,-0.00012134+0.00074202i,-0.00069468+0.00032889i,-0.00078817-0.00013679i,-0.00041926-5.9453e-05i,7.0859e-05+0.00012165i,0.00037965+1.9541e-07i,0.00017142-8.6947e-05i,-0.00058057-0.00015188i
0.00065222-0.00078629i,-0.00027085-7.0069e-06i,-0.00097161+0.00016425i,-0.00053654-0.00057678i,0.0009433-0.00072671i,0.0017527-0.00029784i,0.0012514-0.0001384i,0.0008729+0.00025294i,0.00047717+0.00092319i,-4.9358e-05+0.0012076i,9.3717e-05+0.0009392i,0.00016991+0.00090336i,-9.8286e-05+0.00046358i,0.00054407-0.0004115i,0.0010149-0.00053558i,8.3571e-05+2.4827e-06i,-0.00056699+0.00071232i,0.00016735+0.0009895i,0.00067578+0.00014548i,0.00020712+0.00016403i,0.0002262+0.00051729i,0.00069888-0.00019859i,0.00044302+6.9409e-05i
0.00098362+0.00018918i,0.00010149+0.00053656i,0.00073349+0.00069034i,0.0013137+0.00076332i,0.0014238+9.9727e-06i,0.0011212-0.00068313i,0.00041986-0.0006818i,0.00085718-0.00047215i,0.00048947+0.00036316i,2.649e-05+0.00056311i,0.00061356-0.00013999i,0.00089915-0.00032763i,0.00078048-0.00030832i,0.0013136-1.5549e-05i,0.0013157+8.1647e-05i,0.00067586-0.00010853i,0.00068466+0.00012594i,0.00065556+8.0103e-05i,0.00062003-0.00011299i,0.00063184+0.00012642i,0.00058535-0.00017568i,0.00033964-0.00080853i,0.00024663-0.00050542i
-0.0038877-0.0002679i,-0.0030907+0.0010046i,-0.0011979+0.001781i,0.00056068+0.0028506i,0.0011241+0.0026391i,0.001846+0.0010842i,0.0017126-0.00050188i,0.00096657-0.0012908i,0.00027176-0.0012032i,0.00022788-0.00065703i,0.00014196-0.00020299i,0.00020764-0.00017303i,-0.00041767+0.00029577i,-0.00068677+0.00058115i,3.5899e-06+0.00044264i,0.00029083-1.5646e-05i,0.00063151-0.0010409i,0.00071697-0.0010795i,0.00088132-0.0005874i,0.00078246-0.00039347i,0.00038819+0.00035065i,-0.00028548+0.00079226i,-0.00078614+0.0005031i
-0.00031233-0.0030912i,0.00016038-0.0022898i,0.00031734-0.00025714i,0.00029727+0.0014387i,0.00033077+0.0014149i,-7.3111e-05+0.0010693i,0.0003245+0.00074104i,-0.0003043+0.0004606i,-0.00099642+0.0011376i,0.0002653+0.001231i,0.00099761+0.00034255i,0.00053672-0.00014221i,0.00014213-5.4033e-05i,-0.00052728-0.00062491i,-0.00075303-0.00043083i,0.00014612-0.00017576i,0.0002062-0.0010055i,-0.0004215-0.0009023i,-0.00029028+0.00018206i,0.0003154+0.00020531i,0.00013251-0.00043165i,0.00022183-0.00055805i,0.00019016-0.00014694i
0.0012444-0.00029802i,0.0018415+0.0011198i,0.0020226+0.0020238i,0.0013215+0.0017396i,4.9172e-05+0.0011309i,-0.00081136+0.00050856i,-0.0002124-2.4683e-05i,0.00098727+9.675e-05i,0.0022162+0.00014776i,0.0019509-0.00022583i,0.00087418+0.0002563i,0.00044827+0.00084852i,0.00016588+0.0008963i,0.00011954+0.0003929i,0.00036051+0.00026873i,9.6015e-05+0.00069651i,-0.00031568+0.00054178i,-0.00010977-0.00053347i,-0.00017724-0.0012496i,-0.00037295-2.2596e-06i,0.00036696+0.00078339i,0.00086484+0.0011492i,-7.5083e-05+0.0010821i
-0.00060878-0.00033744i,-0.00021888+0.0010999i,0.00022288+0.0010411i,0.00013898+0.0013552i,-0.000143+0.0012367i,-0.00048105+0.00082244i,0.00049459+0.00083875i,0.0015954+0.00032211i,0.0013503+0.00044765i,0.00057959+0.00063419i,0.00031079+0.00040443i,0.00038856+0.00031444i,0.00057099+9.4591e-05i,0.00049029-7.1669e-05i,0.00029929+0.00029635i,0.00027128+0.00069129i,4.1624e-05+0.00075068i,0.00017606+0.00018829i,0.00040073+8.4818e-05i,0.0005046+0.0005186i,-6.5668e-05+0.00093928i,-0.00066119+0.0010791i,-0.0003423+0.00059793i
-0.0020299-0.00067809i,-0.0022053+0.0010867i,-0.00027277+0.0010613i,0.0013024+0.00024981i,0.0012259+0.00030033i,0.0010112+0.00044287i,0.00086422-0.00051343i,-5.9348e-05-0.001242i,-0.00029875-0.00063904i,0.00039129-0.00032284i,0.00078329-8.4264e-05i,0.00039979+6.9936e-05i,-2.2699e-05+0.00025794i,-0.00019126+0.00084448i,-0.00055756+0.00081943i,-0.00024088+0.00083464i,-0.0004538+0.00045151i,-0.001315-0.00047981i,-0.0013735-0.0006715i,-0.0012605-5.3336e-05i,-0.00053709+0.00032851i,-0.00034038+2.0881e-05i,-0.00070379+0.00018122i
0.0035717-0.001431i,0.0032383-0.0012315i,0.0018398-0.0001354i,0.00077061+0.0012072i,0.00074123+0.0010572i,0.00072429+6.6027e-05i,-0.00026155-0.00024113i,-0.0012444+0.00010382i,-0.0012008+0.00029697i,6.9833e-05+0.00012875i,0.00088581-0.00021613i,0.00072217-4.6917e-05i,0.00024455+0.00071412i,-0.00021276+0.0011408i,0.00025833+3.5252e-05i,0.00040951-0.00043484i,0.00040669+0.00045364i,0.00069631+0.00028966i,1.0928e-05+0.00015882i,-0.00040135+0.00071927i,0.00020371+0.00079787i,0.00063187+0.00042627i,0.00071927+6.6137e-05i
-0.0021716-0.00015618i,-0.0015056+0.0011598i,-0.0010262+0.001218i,-0.00014752+0.00093884i,0.00075076+0.00060099i,0.00085458-4.4905e-05i,0.00029172-0.00042379i,-0.00033556-0.00026639i,0.00025246+0.00075507i,0.00039982+0.00094927i,-0.00016503+0.00037819i,-0.00051463+9.4165e-05i,-0.00018177-0.00035279i,0.00063516-0.00055573i,0.00082304-0.00051415i,0.00024611+0.00010847i,-2.1135e-05+0.00062013i,0.00074838+0.00057971i,0.00071292-0.00049787i,0.00023683-0.0010743i,0.00092802-0.00032938i,0.0010962+2.5115e-05i,-0.00012377-0.00056803i
0.00037139-0.00099252i,9.4558e-05-0.00091338i,0.00032604+0.00028376i,0.00026775+0.0013865i,-0.00022979+0.00079354i,9.4326e-05+0.00036667i,0.00018945-8.8022e-05i,0.0002779-0.00076926i,0.00081538-0.00061244i,0.00087766-0.00068466i,0.00060717-0.00019329i,0.00053756+0.00031368i,0.00062269-0.00031217i,0.0005441-0.0006099i,0.00055235-0.00028396i,0.00023455-0.00038064i,-0.00064119-0.00065121i,-0.00055845-0.00062044i,-5.2665e-05-0.0006624i,-0.00026312-0.00051303i,-0.000322+7.6016e-05i,-2.3811e-05+0.00092131i,-0.0004249+0.000912i
0.00049482+0.001725i,0.0012391+0.0011393i,0.0019097+0.0011398i,0.0025001+0.0011553i,0.0024468+0.00058206i,0.0015641-0.00088766i,0.00099216-0.0010169i,0.0002464-0.00022934i,-0.00034677+5.4087e-05i,7.9444e-05+0.00057752i,0.00037808+0.00092868i,6.2637e-05+0.00091727i,-0.00027334+0.00039974i,-0.00060898-0.0002641i,-0.00074072-0.00038058i,-0.00048783+0.00028155i,0.0002133+0.00041806i,0.00065826+0.00024727i,0.00038839-0.00031081i,0.00051332-0.00072867i,0.00063128-0.00013294i,1.714e-06+0.00056253i,0.00036149-0.00022758i
-7.7883e-05-0.0011097i,0.0002109-0.00032655i,0.00052559+0.00076993i,0.00087495+0.0020919i,0.00053347+0.0017394i,0.00068223+0.00066786i,0.0007323+0.00039418i,0.00071576-0.00013991i,0.00047881+0.00021107i,0.00024268+0.0003946i,7.945e-05-3.0162e-05i,-0.00032228-0.00023394i,4.9341e-05-1.5872e-05i,-0.000197+8.4203e-06i,-0.00091211-0.00028658i,-0.00033572-0.00037028i,0.00038569+0.00041919i,0.00088571+0.0012898i,0.00039659+0.00096946i,-0.00067058+0.0004357i,-0.0007474+0.00025708i,3.9503e-05+0.00054i,6.0119e-05+0.00047146i
-0.0016194+0.00049683i,-0.0023157+0.00037683i,-0.00089236+0.00092126i,-5.6336e-05+0.001845i,-6.6788e-07+0.0011043i,0.00053617+5.9097e-05i,0.0012155-6.1694e-05i,0.00087842+0.00014996i,-0.00033513+0.00041934i,-0.00040962+0.00099091i,0.00047181+0.0006668i,0.00045627+0.00011654i,-3.9723e-05-0.00032103i,-4.9162e-06-0.0010195i,-0.00013388-0.0014434i,-0.00019567-0.00085392i,0.00013208+0.00018473i,0.00015341+0.00054283i,-0.00010675+0.00076833i,-0.00030945+0.00069599i,-0.00047875+0.00058354i,-0.00043568+0.00069071i,0.00072449+0.00039587i
0.00016453-0.0046797i,-0.0003313-0.00384i,-0.00032233-0.0021308i,-0.00015709-0.00014286i,0.0003463+0.00095159i,0.00035221+0.0012855i,0.00037926+0.0012772i,3.8055e-05+6.238e-05i,-0.00040399-0.00040327i,-0.00011976+1.2384e-06i,-5.7102e-05+0.00045321i,-2.3934e-05+0.00061398i,0.00042696+0.00022796i,0.00035632-0.0005066i,0.00013139-0.00091369i,1.0711e-05-3.565e-06i,-0.00054859+0.00073678i,-0.00076144+0.0004101i,-0.00011072-0.0006706i,0.0006605-0.0014734i,0.00048111-0.00072106i,-0.00043829+0.0005776i,-0.00065563+0.0007311i
0.00075027-6.8312e-05i,0.00053332+0.00076282i,0.00074562+0.0014118i,0.0013549+0.00040566i,0.00141-0.00023673i,0.001466+4.2392e-05i,0.00087546+0.00029806i,-0.00066946+0.00061591i,-0.0011979+0.00023186i,-0.00063196-0.00035942i,-0.00060746-0.00042495i,-0.00051124-6.444e-05i,-0.00058215+0.0010756i,-0.00059856+0.0014195i,-0.00060774+0.0008726i,-0.00091734+0.00025187i,-0.00057105+0.00026496i,-2.6611e-05+0.00047252i,-2.8599e-05+0.00026543i,-0.00013592+5.2738e-05i,-0.00013192+0.00040678i,0.00041648+0.0001888i,0.00063633-0.00032122i
-0.0023298-0.00011644i,-0.0019884+0.0014165i,-0.001356+0.0014508i,-8.3102e-05+0.00098766i,0.00099043+0.0012887i,0.00086876+0.0017495i,0.00035351+0.00085067i,0.00071766-0.00017307i,0.00078911+0.00080665i,-0.00016522+0.0017306i,-0.00025316+0.0010063i,0.00051588-4.9097e-05i,0.0014199-0.00072975i,0.00085299-0.00062097i,-0.00024077-7.04e-05i,-0.00041565+7.6499e-05i,-0.0001586+0.00050232i,5.3363e-05+0.00084484i,-0.00023011+0.00070672i,-0.0012848+0.00026383i,-0.0018373-4.2428e-05i,-0.0011235-0.00020743i,-0.00042859-0.0005955i
-0.0020264-0.00031556i,-0.0012058+0.00048126i,-0.00038671+0.0016995i,-3.7969e-06+0.0028506i,0.00094641+0.0021157i,0.0010363+0.0010444i,0.00056211+0.00034359i,0.00036918+0.00027971i,0.00010818+0.00068102i,0.00073622+0.00069417i,0.0011994-0.00032933i,0.001514-0.00084542i,0.001076-0.00062854i,0.00017825-0.00073515i,0.00040467-0.00045874i,0.00043774-0.00065357i,-0.00021601-0.00080405i,-0.00052139-0.00045797i,-0.00052605+7.1102e-05i,6.7146e-05+0.00057455i,0.00041947+0.00021622i,0.0003815-0.00024462i,0.00025974-6.9697e-05i
