-0.00066193-0.00054885i,-9.822e-05-0.00069527i,-0.00099989-0.00090596i,-0.00065374-0.0010924i,-0.00022306-0.0012015i,-0.00013844-0.00083606i,0.00039076-0.00062867i,0.0009232-0.00052147i,0.0011559-0.00047814i,0.00071452-0.00061591i,0.0004833-0.00056575i,0.0008333-0.00019636i,0.000519-0.00013099i,-1.3321e-07+0.00014888i,-0.00035638+0.00044786i,-0.00038702+0.00061709i,-0.00027121+0.00019709i,-0.00022643-0.00041546i,0.00010403-0.00024691i,-0.00014268-0.00021548i,-0.00054156-0.00065196i,-0.00087091-0.00030087i,-0.00071008+0.00011408i
0.0013929-0.0010283i,0.0013377-0.002041i,0.0009506-0.0021784i,0.00023605-0.0020734i,-0.00010206-0.0025002i,-0.00034147-0.0023639i,-0.00081593-0.0021852i,-0.00072111-0.0013556i,-0.00069803-0.00078574i,-0.00096324-0.00023254i,-0.0010259+0.00032474i,-0.00043831-0.00015249i,4.2694e-05-9.879e-05i,0.00016238+0.00090319i,0.00067794+0.0013838i,0.0011164+0.00097162i,0.00058489+0.00046964i,-0.000343+0.00033968i,-0.00086316+0.00015249i,-0.00045344-0.00050535i,-0.00044807-0.00067461i,-0.00041509+0.00021341i,0.00013386+0.0008451i
0.00080446-0.0019937i,0.00026236-0.0028142i,-5.1823e-06-0.0016398i,3.4929e-05-0.00059344i,-6.4414e-05+1.8995e-05i,-0.00043495-3.0281e-05i,-0.00016243-0.00049728i,0.00045866-0.00090401i,-0.00034253-0.00064776i,-0.0012738-0.00019911i,-0.0011003-0.00025097i,-0.00116+0.00014868i,-0.00075895-4.1893e-05i,-0.00015502-0.00080894i,0.00018956-3.0736e-05i,-8.6889e-05+0.00036644i,-4.4576e-05+4.7158e-05i,-1.332e-05+0.00065761i,0.00040597+0.0008947i,0.00087384+0.00051836i,0.0004481-3.5166e-06i,0.00020373-0.00053385i,0.00026576-0.00063662i
0.00069705-0.00010793i,0.00054134-0.00031478i,-0.0004191-0.00046052i,-0.00070858-0.00028925i,0.0001842-0.000329i,0.00041988-0.0007543i,0.00019691-0.0012101i,0.00024821-0.0019788i,-9.7445e-05-0.0021781i,-0.00023057-0.0012026i,-0.00011152+8.9088e-05i,0.00028644+0.00031108i,0.00034168+0.00015703i,-0.00019274+9.3959e-05i,-0.00018428+0.00020297i,-4.1549e-05+0.00090514i,-0.00053016+0.0012481i,-0.0010026+0.0014449i,-0.00024053+0.0011861i,0.00035943+0.00090741i,-2.5444e-05+0.00085666i,-0.00045417+0.00041548i,0.00018287-0.00014285i
0.0011571-0.00082571i,0.0010754-0.0011441i,0.00071238-0.0019412i,0.00014421-0.0019903i,-2.3472e-05-0.0020054i,-8.8143e-05-0.0017292i,-0.00061476-0.0014137i,-0.00059813-0.001558i,-0.00041032-0.0014306i,-0.00056212-0.00092444i,-0.00077144+0.00010213i,-0.00017073+0.00084276i,2.1173e-05+0.00041292i,4.2667e-06+6.1028e-06i,0.00026515+0.00017641i,0.00050454+0.00014672i,0.00052752-8.5233e-05i,-5.0423e-05+0.00040484i,-0.00042555+0.0010419i,3.1949e-06+0.00065511i,0.0010351+0.00052932i,0.001067+0.00067868i,0.00024018+0.00041124i
0.001455-0.002367i,0.0019435-0.0014796i,0.0010605-0.0017911i,-0.00029394-0.0020563i,-0.0012793-0.0010109i,-0.0012704+0.00011623i,-0.00013925-9.4571e-05i,0.00044707-0.00088832i,-0.00016482-0.0012233i,-0.00019707-0.00037731i,0.00011823+0.00065999i,-0.00073926+0.00063857i,-0.0010298-0.00015053i,6.906e-06-0.00068784i,0.0010651-0.00028092i,0.00019745+0.00095514i,-0.00074584+0.0011612i,-0.00038476+0.00019515i,-8.4338e-05-0.00053938i,0.00045672-0.00085176i,0.00085317-0.0010052i,0.0006061-0.00093443i,8.6346e-05-3.159e-05i
0.0020337-0.001081i,0.00078111-0.001332i,-0.00025732-0.0015175i,-0.00060088-0.00019422i,-0.00068047+0.0002342i,-0.00019765-0.00054983i,0.00027635-0.001008i,1.1584e-05-0.0011833i,-0.0010431-0.0015785i,-0.0010658-0.0016079i,-6.2526e-05-0.00086191i,0.00041251+8.2122e-05i,0.00082695+0.00013272i,0.00096218-0.00052653i,0.00057243-0.00070861i,-0.0002857-0.00054288i,-0.00085235-0.00012736i,-0.00055202+0.00053071i,0.00042283+0.0010283i,0.001468+0.00048411i,0.0015842-0.00054131i,0.00063591-0.00042288i,-2.9568e-05-7.6502e-06i
0.0011609-0.0001421i,0.0021105-0.00080396i,0.0021329-0.0015221i,0.0019296-0.0012043i,0.0015474-0.00093944i,0.00070054-0.0015393i,0.00046766-0.00094296i,0.00076773-0.0011799i,0.0007022-0.0023304i,7.7794e-05-0.00183i,0.00040548-0.0006025i,0.0005672+0.00076267i,-0.00050516+0.00099921i,-0.00089244+0.00047649i,-2.2454e-05+0.00018992i,0.00024321+0.00021576i,-0.00049599+0.0003003i,-0.00041751+0.00018932i,-0.00036798-0.00045872i,-0.00080258-0.00041499i,-0.00041094+0.0002677i,0.00013483+0.00053458i,9.1533e-05+0.00050635i
0.0014406-0.0010039i,0.001372-0.0016505i,9.8224e-05-0.0013334i,-0.0010262-0.00094928i,-0.001114-0.00088517i,-0.00059166-0.00071023i,-0.0011563-6.5105e-05i,-0.0013211-0.00032224i,-0.00095451-0.00054769i,-0.00070209+1.9793e-05i,-0.0010542+0.00075095i,-0.0010646+0.00061112i,-7.7129e-05+0.00013353i,-4.5922e-05+0.0002912i,-0.00062781+0.00032891i,-0.00047626-0.00020509i,-0.00018809-6.7661e-05i,-0.00084047+9.2754e-05i,-0.0011115+2.1694e-05i,-0.00038953+0.00016458i,0.00020288+0.00017149i,0.00059795+0.00016142i,0.00041373+0.0005087i
0.0010933-0.0009529i,0.0017112-0.00061196i,0.0009458+0.00044596i,-4.0847e-05+0.00079251i,0.00024184+0.001008i,0.0010715+0.00068466i,0.0010246-0.0002508i,-0.00023082-0.00097104i,-0.001014-0.0012531i,-0.00072562-0.001202i,-0.00044837-0.0011667i,-0.00037097-0.00045087i,-0.00039312-3.6287e-05i,-0.00055373+0.00022192i,-0.0005702+0.00050568i,-0.0002612+0.00042268i,-0.00011002-0.00010924i,-0.00051148+5.6758e-05i,-0.00057523+0.0007471i,9.7458e-05+0.00070089i,0.00037285+0.00022766i,-8.6305e-05+0.00042638i,-1.0867e-05+0.00052406i
-0.00019539+0.00084343i,-0.00012778+0.00014734i,-0.00013043-0.00044913i,0.00057788-0.00027309i,0.0014766-4.9757e-05i,0.0013781-0.00021494i,-5.7793e-05-0.0016995i,-0.00058964-0.0014048i,-0.00010858-0.00051742i,0.00052965-0.00098431i,0.00093607-0.00094586i,0.00069519-0.00052526i,7.873e-05+0.00063407i,-0.00064589+0.00067387i,-0.00039452-0.00058916i,-0.00013758-0.0011417i,-0.00050751-0.00025677i,-0.00087328+0.00025546i,-0.000902+0.00014519i,-0.00092097+0.00042316i,-0.00067808+0.00014316i,0.00011268-0.00079291i,2.8527e-05-0.00073051i
