0.0015726+0.0013417i,0.001927+0.00061803i,0.0015551+9.8786e-05i,0.00032728-0.00059632i,0.0001269-0.0016962i,6.9215e-05-0.0022259i,-0.00011144-0.0020457i,0.00012657-0.0014337i,-2.4078e-05-0.00041244i,-0.0012463+0.00029501i,-0.0016546+0.00051554i,-0.00084822+0.00050263i,-0.00014422+0.00060902i,-0.00022869+0.0004032i,8.7546e-05-2.7823e-05i,0.0003711+0.00030984i,0.0004281+0.00074076i,0.00096172+0.00090342i,0.00062843+0.00069429i,-0.00025669+0.00013992i,-0.00060097+0.00045975i,-0.00043558+0.00038267i,0.00065041+7.7199e-05i
-9.5239e-05-0.0019364i,-0.00067771-0.001008i,-0.0016382-0.00036269i,-0.0021117-0.00048434i,-0.00075033-0.00099414i,0.00065497-0.0014786i,-2.7575e-05-0.0013505i,-0.00020082-0.00072893i,-0.00066979-0.00020414i,-0.0012737+0.00032806i,-0.00063401+0.0012109i,-8.7364e-05+0.0014122i,-0.00022633+0.00054479i,-0.00032621+0.00028501i,0.0003178+0.00080225i,0.00085339+0.00075471i,-5.7139e-05+0.00034362i,-0.00037547+2.3443e-05i,-5.2171e-06+0.0003515i,-0.00044085+0.00035563i,-0.0011657+0.00018107i,-0.0013932+1.9638e-05i,-0.00079621-0.00057566i
-0.0009677-0.00060402i,-0.00063929-0.0010173i,0.00048638-0.0010736i,0.00065029-0.00030768i,0.00013867+8.8026e-05i,8.4917e-05-0.00064388i,-0.00067349-0.00085082i,-0.00088958-0.00025771i,-0.00052306+0.00012408i,-0.00018843+0.00056327i,9.1518e-05+0.00074508i,0.00032551+0.00018582i,9.342e-05-0.00037246i,9.9347e-05-0.00064394i,0.0002373+2.8526e-05i,0.00049294+0.0010475i,0.0010505+0.0013733i,0.00041344+0.0010301i,-0.00081005+0.00064259i,-0.001414+0.00042276i,-0.00092771-0.00033505i,-0.00036776-0.00018352i,-0.00046257+4.0717e-06i
0.0012118-0.0010342i,0.00070726-0.0016365i,0.00071518-0.0018662i,0.00035791-0.0012941i,0.0002087-0.00076743i,0.00045309-0.0011179i,0.00048747-0.0011684i,0.00065346-0.0011174i,0.00041256-0.00057612i,-0.00038679-0.00015417i,-0.00023814-0.00070486i,0.00013332-0.00068256i,-0.00025172+0.0001932i,-0.00047368+0.00055458i,-0.00056362+0.00019167i,-0.00017881+9.0638e-06i,0.00018263-0.00035539i,0.000502-0.00047306i,0.00011193-0.0006832i,-8.5633e-05-0.0015219i,-0.00017729-0.0015418i,-0.00060184-0.0007541i,-0.00081424-0.00024055i
-0.00051515-0.00049436i,-0.001326-0.00042908i,-0.0022054+0.00066132i,-0.0023235+0.00029881i,-0.001674-0.00093907i,-0.0012679-0.0017926i,-0.0011803-0.0022966i,-0.00057619-0.00081422i,-0.00047213+0.00047454i,-0.0014388+0.00036678i,-0.0016449+0.00029023i,-0.0011234+4.1303e-05i,-0.00010104-0.00038543i,0.0002585+0.00045204i,-0.00034925+0.00061884i,-0.00043026-0.000296i,-0.00024825-0.00058804i,-0.00015391-0.00069377i,-0.00028923-0.00076132i,-6.2265e-05-0.0006063i,-0.00011818+0.00040062i,-0.00042388+0.0010015i,-0.00055856+0.00047599i
-0.0010391-0.001727i,-0.00031052-0.0013263i,4.7687e-06-0.00069769i,0.00019092+1.8427e-05i,0.0004828-5.1881e-06i,0.00053828-0.00072597i,0.00093049-0.0010854i,0.0013995-0.0010597i,0.00045711-0.00045218i,-0.00053665+0.00028504i,-0.00016225+0.00039158i,8.5067e-05+0.00071211i,0.00027847+0.00089953i,0.00016884+0.00093392i,0.00012466+0.00063854i,0.00049192+0.00015852i,0.00020547+0.00085292i,-0.00088651+0.0014297i,-0.001176+0.00062208i,-0.0010291-6.0536e-05i,-0.00069335+0.00039203i,-0.00010941+0.00082945i,-0.0003196+0.00055225i
-0.00098604-0.0011544i,-0.00047499-0.0014395i,-0.00025745-0.0004663i,0.0001094-0.00027215i,0.00067699-1.2668e-05i,0.0005892-0.0010265i,0.00038603-0.0021179i,-0.00027018-0.0012036i,-0.0006415+0.00041395i,1.3258e-05+0.0012616i,0.0004837+0.00090553i,0.00016098+0.00054296i,-0.00038106+8.0209e-05i,-0.00020598-0.00047681i,0.00052437-7.7525e-05i,0.000335+0.00047103i,0.00033771+0.0007437i,-4.6466e-05+0.00038116i,-0.00063908-0.00025617i,0.00016217-0.00033639i,0.00022194-0.00072206i,-4.6869e-05-0.00078601i,0.00042711-0.00026555i
-6.4002e-05+0.0023967i,0.00062888+0.0014696i,0.00095683+0.0011433i,0.0016027+0.00086995i,0.0017984-0.00020131i,0.00095563-0.00031945i,0.00052002+1.7024e-05i,-5.9681e-05+0.00039979i,-0.00042076+0.00054398i,-0.00028293+6.3311e-05i,-0.00011697-0.00041555i,-7.0564e-05-0.00058999i,-0.00025288-9.1633e-05i,-1.2082e-05-0.00041979i,9.6593e-05-0.000787i,-7.4062e-05-0.000538i,-0.00034458+0.00018812i,-0.00040932+0.00053207i,-0.00061555+0.00043392i,-0.00046964-8.4093e-06i,0.00071782-0.00034779i,0.00051678-0.00060076i,-0.00067522-0.00050302i
0.0001276+0.00096479i,0.00069284+0.0010561i,0.00077521+7.3309e-05i,0.00098848-0.0017057i,0.00083609-0.001728i,0.00047139-0.00086884i,0.00044436-0.00018795i,0.00072938+6.6566e-06i,0.00039326+4.1098e-05i,-5.8209e-05+0.00033327i,-0.00033142+0.00082729i,-0.00042417+0.00062699i,-0.0011728-0.00020067i,-0.0008749+0.00060259i,-0.00034105+0.00072483i,-0.0003077+0.00069414i,-0.00034964+0.0010008i,-0.00031116+0.00031769i,-0.00037773-5.3307e-05i,-0.00066489-0.00090598i,-5.3486e-05-0.0013737i,0.00012291-0.00078183i,0.0004397-0.00085547i
-0.0033941-0.00087401i,-0.0032323+0.00042206i,-0.0026083+0.0010279i,-0.00093764+0.00055445i,0.00040242-0.0011569i,0.00010104-0.0016207i,-0.0002505-0.0014248i,-0.00019512-0.0011341i,-0.00093085-0.00041546i,-0.0022373+9.3637e-05i,-0.001601+0.00076735i,0.00035359+0.0012063i,0.00088288+0.00074087i,0.00037933+0.00042583i,-7.4117e-05+0.00062053i,0.00028442-0.00030999i,0.00056594-0.0007913i,0.00011837-0.00042926i,-4.4742e-05-0.00037623i,0.00033791-9.9152e-05i,-5.7345e-05+0.00033623i,-0.00043905+0.0004961i,-0.00040782-3.3065e-05i
