-0.00030659+0.00019225i,-0.00012585-0.00034367i,-0.0016427+3.3927e-05i,-0.00227-0.000472i,-0.0025838-0.00043146i,-0.0022294+0.0014406i,-0.00097939+0.0029662i,0.00046302+0.0029142i,0.001853+0.0025001i,0.0026452+0.0014914i,0.0015331+4.9918e-05i,0.00053195-0.00034063i,0.00090376-0.00044408i,0.00047323-0.0004382i,7.0941e-05-0.00023204i,0.00076826-0.00024489i,0.00083573-0.000385i,0.00048155-3.3882e-05i,0.00017898+0.00015027i,0.00059704-0.00014271i,0.0013114+9.7457e-05i,0.00064318+0.0008815i,0.00010905+0.00077972i
0.0004812-0.0037744i,0.0010685-0.0048602i,-0.00016224-0.0057603i,-0.0013549-0.0051189i,-0.0010686-0.0028624i,-0.00012031-0.00058287i,0.00032635+0.00043178i,0.0002045+0.001083i,-0.00044351+0.0011773i,-0.0012697-0.00015353i,-0.0018685-0.00030849i,-0.0012059+0.00048586i,-3.763e-05+0.00060471i,0.00099564+0.00076931i,0.0012493+0.00051497i,0.00052955+0.00017426i,0.00024095+0.00049859i,-7.0725e-05+0.00063088i,-0.00012007+0.00060419i,0.00082251+0.00079205i,0.0010436+0.0014165i,0.001117+0.0011888i,0.00077432+0.00057607i
-0.00043592-0.00036165i,0.00046864-0.0008584i,0.001111-0.0020193i,0.0013258-0.0022932i,-0.00017087-0.0016052i,-0.00099737-0.00041971i,-0.0015271+0.00070723i,-0.002179+0.0012396i,-0.0021087+0.00094098i,-0.0014255-8.2025e-05i,-0.0012057-0.00041032i,-0.0016548-0.00036596i,-0.00079939+0.00039815i,0.00076819+0.0011528i,0.0015345+0.00045641i,0.0015831-0.00070549i,0.0013171-0.0012178i,0.0016209-0.00088675i,0.0013696-0.00033273i,0.0005225-7.4188e-05i,0.00058844-0.00018993i,0.00028968-0.00019716i,0.00041078-8.5864e-05i
0.00024405+0.0013017i,-3.5842e-05+0.0020636i,5.2738e-05+0.0019404i,-0.0002273+0.00014084i,-0.0003125-0.0010029i,0.00024017-0.00036008i,0.00016544-1.2691e-05i,-0.0014917+0.0012121i,-0.0022136+0.0018755i,-0.0011982+0.0012285i,-0.00079972+0.00078483i,-0.0011698+0.00048427i,-0.0016072+0.00060136i,-0.0019787+0.0011065i,-0.0018197+0.0018459i,-0.00087796+0.0024626i,-0.00042751+0.0026452i,-0.00077151+0.0019471i,-0.00021511+0.0010358i,0.00089695+0.00039404i,0.0011441-0.00042968i,0.00061544-0.0011824i,-4.4953e-06-0.00057008i
-0.0024942+0.00025675i,-0.0017556+0.00021815i,-0.0031034-0.00022643i,-0.002204-0.00061505i,-0.0014412+0.00042169i,-0.00031501+0.0012215i,0.00059109+0.00058974i,-0.000876+0.00088984i,-0.0018765+0.0016891i,-0.0012869+0.0010496i,7.274e-05+0.00095945i,0.00073232+0.0013638i,0.00011791+0.001365i,7.4226e-05+0.00117i,0.00080003-0.00012331i,0.0012597-0.0013897i,0.0010715-0.0018809i,0.0007452-0.0022718i,0.00035908-0.0016557i,0.00023605-7.8349e-06i,0.00017427+0.00079112i,7.7057e-05+0.00023989i,0.00010668-0.00032047i
-0.0014892-0.0013651i,-0.001553-0.0022928i,-0.0023457-0.0027671i,-0.0022355-0.002205i,-0.0018125-0.0016826i,-0.0015086-0.00049804i,-0.00060018+0.00023698i,-0.00059533+0.00035412i,-0.0012673+0.0010876i,-0.00060586+0.0010213i,0.00077466+0.00032656i,0.0012292+0.00077298i,0.0012673+0.0018244i,0.00079954+0.0020206i,0.00051192+0.0011996i,0.0014583+0.00050221i,0.0017493+0.0010626i,0.0013882+0.0011395i,0.0015692+0.0013457i,0.0011587+0.0010849i,0.00096671+0.00041566i,0.001079+0.00038114i,0.00060752-0.00014364i
-6.8531e-05+0.0011428i,0.0011193+0.0011563i,0.0020425+0.0013273i,0.0020237+0.00022932i,0.0010953-0.00098277i,0.00052336-0.0002025i,0.00044052+0.00098164i,-0.00028048+0.0010638i,-0.00039293+0.00068372i,3.0557e-05+9.9695e-05i,-1.6739e-05-0.00085691i,0.00017148-0.0010814i,0.0008827-0.00025432i,0.00123-0.00014136i,0.0010561-0.0013698i,0.00091297-0.0019172i,0.0007833-0.0018759i,0.00010751-0.001389i,-1.6084e-05-0.00048009i,0.00014262-0.00036783i,8.8953e-05+2.5792e-06i,9.5846e-06+8.2272e-05i,-0.00013991-0.00034022i
0.0017104+0.00032977i,0.002521+0.00073815i,0.0037484+0.00016478i,0.0024389-0.0010235i,0.00023995-0.0011845i,-0.0011493-0.00037268i,-0.0014319+0.0007879i,-0.0011738+0.0016596i,-0.0012809+0.00088116i,-0.0015917-0.00040415i,-0.0010671-0.00080932i,-0.00016533-0.0006945i,0.0011867+5.1398e-05i,0.0017927+0.00083445i,0.0012028+0.0015818i,0.00031603+0.0020815i,0.00081842+0.0022929i,0.001829+0.0016549i,0.0020353+0.00052409i,0.0015651-0.00042309i,0.0011223-0.00063934i,0.00059541-0.0007697i,-7.3275e-05-0.00057275i
0.00074634-0.0018526i,0.00040237-0.0016486i,-0.0017295-0.0022708i,-0.0028321-0.003118i,-0.0020376-0.0023034i,-0.0021745-0.00080178i,-0.0015337+5.3258e-05i,3.0402e-05+0.00027049i,-0.0001054+0.00071667i,-0.0014664+0.00060092i,-0.0014802-0.00070472i,-0.0008406-0.00073741i,-0.00085974+0.00058705i,-0.0014184+0.00089027i,-0.0018517-3.4982e-05i,-0.0010619-0.0013825i,-4.2124e-05-0.00135i,-0.00061731-0.00075855i,-0.001469-0.00047095i,-0.0010112-0.0004163i,-0.00049605-0.00057253i,-0.00021573-0.00028759i,0.00048715+0.00017847i
-0.00050895+0.00026097i,-0.00058976-0.0014473i,0.0005576-0.0026403i,0.00054835-0.0019769i,-0.00010649-0.0021847i,0.00061158-0.0013355i,0.00062683+0.00085004i,-0.0005342+0.0017232i,-0.0016966+0.0019431i,-0.0016312+0.0011508i,-0.0012588+0.00038581i,-0.0011939+0.00016898i,-0.0010036+0.00016291i,-0.00078822-0.00041224i,-0.00025784-0.00039837i,0.0012436+2.1754e-05i,0.0025645+1.1569e-06i,0.0019937-0.00056423i,0.00082247-0.001671i,0.00019628-0.0022117i,0.00073444-0.0012173i,0.00103-0.00082783i,0.00051044-0.00062057i
0.0019591-0.0023594i,0.002847-0.0039611i,0.0018267-0.0057348i,-0.00059185-0.0054418i,-0.0016739-0.0032351i,-0.0014466-0.00077306i,-0.00046999+0.00047399i,-0.00039547+0.00089737i,-0.0012497+0.00021582i,-0.002011-4.2973e-05i,-0.001599+0.00066621i,-0.00096409+0.0010722i,-0.00066277+0.0016699i,-0.00041003+0.0019322i,-0.00032542+0.0013622i,-0.00027794+0.00066751i,-0.00097603+0.00025261i,-0.00076453+0.00033085i,0.00013735+0.00046159i,0.00077434+8.4211e-05i,0.00095883-0.00029628i,0.000604-0.00035178i,0.00057491-0.00019176i
0.00023677-0.0018391i,0.00056198-0.0022536i,0.00042314-0.0017313i,0.000668-0.0010163i,-0.0001043-0.00059211i,-0.0010733+0.00025149i,-0.0010823+0.0010537i,-0.0015086+0.00088758i,-0.0015637+0.00046794i,-0.00059118+0.00079099i,0.0002896+0.0012346i,0.0002176+0.0011123i,0.00065709+0.001043i,0.0010552+0.001871i,0.0015174+0.0019481i,0.002409+0.0011346i,0.0026204+0.00070482i,0.0025771-0.00014771i,0.0020178-0.00040635i,0.0010482+0.00026008i,0.0002053+0.00031118i,-0.00021311+0.00035958i,1.0774e-05+0.00024273i
-0.001916-0.0019145i,-0.0031039-0.0023513i,-0.0046973-0.0029163i,-0.0050914-0.0023276i,-0.0048859-0.00041522i,-0.0035064+0.0018072i,-0.0016469+0.0023135i,-0.0014658+0.0016032i,-0.0018273+0.00087481i,-0.0013794+0.00026591i,0.00041515+0.00045392i,0.0011863+0.001376i,0.00071557+0.0015687i,0.00026348+0.0018339i,-0.00063054+0.001328i,-0.0019318+0.00046551i,-0.0022101+0.00087106i,-0.00082635+0.0013986i,-0.00017096+0.0019577i,0.00030025+0.0019283i,0.00049372+0.00074447i,8.1715e-05-0.00059089i,-2.0045e-05-0.00079436i
0.00028-0.00036381i,0.00088743-0.0015899i,0.00037259-0.0028055i,-0.00028682-0.0033615i,-0.00071566-0.0034298i,-0.00055987-0.0018801i,-0.00041101-0.00021112i,-0.00046144+0.00018633i,-0.0011434+0.00069208i,-0.0010443+0.00019143i,-0.00027461-0.0011705i,0.00034512-0.0018081i,0.0006297-0.0015536i,0.00049222-0.0010213i,0.00041899-0.00085853i,0.00092297-0.0018703i,0.0014418-0.0024037i,0.0010606-0.0016266i,0.0003011-0.0011914i,-4.4985e-07-0.0011148i,0.00014282-0.001227i,0.00029655-0.0011373i,0.00037334-0.0010367i
0.00086837+0.00084302i,0.0020684+0.00051212i,0.0028148-0.00046199i,0.0016288-0.0027411i,0.00064685-0.003002i,-0.00070788-0.0015295i,-0.0013374-0.00032614i,-0.0019174+0.00091506i,-0.0023117+0.00085763i,-0.0014109+0.00010627i,-0.001152-0.00097281i,-0.0015667-0.0015952i,-0.0012176-0.00079658i,-0.0001345-0.00026398i,0.0004021+0.00018085i,0.00022031+0.0012002i,0.00060884+0.0021086i,0.0015176+0.0023429i,0.0014924+0.0017778i,0.0011076+0.0012929i,0.00096441-0.00031465i,0.0007412-0.0011577i,0.00070678-0.00021089i
0.00063556-0.00054137i,0.00067068-0.001116i,0.00080334-0.0020598i,0.00085133-0.0024647i,0.00030262-0.0016981i,0.00018851-0.00029426i,0.00047188+0.00079798i,0.00020608+0.0017299i,-0.00083054+0.0018914i,-0.0018616+0.0016868i,-0.0024119+0.0010911i,-0.0024744+0.00043927i,-0.0021846+0.00072907i,-0.0012042+0.00049793i,0.0006422-0.00084973i,0.0012497-0.0012294i,0.00023615-0.00171i,0.00019128-0.0022896i,0.0010481-0.0014483i,0.00054925-0.00046185i,0.00024178-0.00043598i,0.00021877-0.00068701i,-0.0002548-0.00029366i
-0.00055146+0.0004493i,-0.00076596+0.00013917i,-0.00085037-0.00027706i,-0.0015164+0.0005097i,-0.0018941+0.0010808i,-0.00056196+0.001397i,-0.00027002+0.0012759i,-0.0011462+0.0014464i,-0.000897+0.0020726i,-0.00045126+0.0018541i,-0.00033754+0.0013015i,-0.0002034+0.0014703i,-0.0004743+0.0022817i,-0.00042171+0.0024701i,-0.00011841+0.0025047i,7.6094e-05+0.0024305i,0.00092434+0.0019679i,0.0019425+0.0015841i,0.0016227+0.00082665i,0.00055277+0.00011469i,-0.00014166-0.00014029i,3.8417e-05+0.00015785i,0.00038646+0.000473i
0.00081111+0.0026046i,0.0020241+0.0027029i,0.0016474+0.00083901i,0.00068982-0.0019687i,9.6746e-05-0.0019537i,1.0951e-05-0.00039664i,0.00088373+0.00019974i,0.00010429+0.00085426i,-0.0013856+0.0014471i,-0.0011208+0.0011041i,0.00012156+0.00035932i,0.00051711+2.798e-05i,-0.00033926-0.0004106i,-9.1155e-05-0.00043373i,-0.00021766-0.00017888i,-7.6642e-05-0.0011305i,-6.2923e-05-0.0016481i,-0.0011282-0.00070818i,-0.00135+0.00036799i,-0.0012995+0.00062348i,-0.00063412-0.00057384i,2.9042e-05-0.0012461i,0.0004859-0.00038039i
0.00138-0.0020378i,0.00060571-0.0019405i,3.8182e-05-0.0025575i,-0.0008946-0.0031895i,-0.0024429-0.0041344i,-0.0018837-0.0023548i,-0.00031498+0.00037109i,-0.00057296+0.0013652i,-0.0012251+0.0012144i,-0.00065247+0.00045473i,0.00084439+0.00060765i,0.0015377+0.00044283i,0.0013393+0.00021886i,0.0012405+0.00077455i,0.0019128+0.00065529i,0.0025321+0.00070419i,0.0023917+0.00058532i,0.0025957+3.8179e-05i,0.0025177-0.00023i,0.0017264+6.5661e-05i,0.00082488-6.7299e-08i,0.00045573-0.00043893i,0.00044644-0.0010005i
0.00025382-0.001543i,0.001255-0.0020263i,0.002352-0.0036657i,0.0015016-0.0048947i,0.00020852-0.0034501i,-0.00020804-0.00078952i,-0.00028797+0.00020176i,-0.00082016+0.00011262i,-0.0012064-0.00019237i,-0.00083362-0.00075243i,-0.00031327-0.00155i,-2.2662e-05-0.0016223i,0.00021307-0.00025105i,0.001058+0.00080143i,0.00063272+0.0006734i,-0.00037591-0.00034005i,-0.00055951-0.00011616i,-0.00043917+0.00085443i,-0.00025555+0.0011152i,-8.934e-05+0.00070923i,0.0001965-0.0001009i,0.00017748-0.00058964i,0.00022657-0.00023248i
0.0020115-0.001202i,0.0028577-0.0017568i,0.0033568-0.001943i,0.001501-0.0020441i,-0.00029013-0.0010636i,-0.00094412+0.00052126i,-0.0010474+0.0011336i,-0.0014412+0.0016479i,-0.0016945+0.0014328i,-0.001906-7.7423e-05i,-0.0024848-0.0010601i,-0.0028192-0.00069227i,-0.0020798+0.00035711i,-0.0020213+0.0011413i,-0.0014202+0.0014507i,-0.00027806+0.0014443i,0.00057521+0.0007477i,0.0022836-7.6711e-05i,0.0034954-0.00012458i,0.0026475+0.00027856i,0.0008655+0.00093561i,-9.4904e-06+0.0011053i,6.1482e-05+8.1827e-05i
0.003057+0.00058449i,0.0022519+0.00039829i,0.0012647-0.00036592i,0.00039919-0.0032836i,-0.0012315-0.0042034i,-0.0010659-0.002987i,0.00054118-0.0017113i,0.00059011+8.8615e-05i,-0.000949+0.0012323i,-0.001552+4.7346e-05i,-0.0020475-0.0012398i,-0.0025679-0.00068616i,-0.0033105+0.00074842i,-0.00315+0.001171i,-0.0014062+0.00081538i,-0.00061202+0.00070184i,-0.00077588+0.0011295i,-0.0008364+0.0020709i,-0.00067042+0.0024209i,-0.00052255+0.0014947i,-0.00016555+0.00044752i,-0.00025245+2.1635e-05i,-0.00033517-0.00042326i
-0.00061537+0.0011889i,-0.0019168+0.00054986i,-0.0018524-0.0012026i,-0.00019735-0.0029005i,0.00073746-0.002565i,0.00045871-0.0014743i,-0.00016826-0.00072513i,-0.00039091+0.00074064i,-0.0013427+0.0019366i,-0.0021067+0.0012296i,-0.0017891+0.00055229i,-0.0010821+0.00086203i,8.9295e-05+0.0011166i,0.0015971+0.00090917i,0.0023496+0.0002805i,0.0022286-0.00052555i,0.0022706-0.0013096i,0.0018687-0.0023622i,0.0010351-0.0022857i,0.00099072-0.0012054i,0.0010649-0.00048121i,0.0012952-0.00059576i,0.0012354-0.00010565i
0.00063372-0.0024332i,0.0011292-0.0032784i,0.00078275-0.004018i,-0.00021391-0.0041472i,-0.00090392-0.002575i,-0.0015176-0.00027895i,-0.0014426+0.0011278i,-0.00092589+0.0012967i,-0.00053526+0.0017157i,-9.4993e-05+0.0019955i,0.00030369+0.002247i,0.00039711+0.0024701i,2.8372e-05+0.0018013i,0.00029486+0.00061994i,0.00080524+0.0004398i,0.00082075+0.0011798i,0.001374+0.0012998i,0.001892+0.0012483i,0.0013867+0.0009304i,0.0013275+0.00019235i,0.0012838-0.00030297i,0.0012204-0.00097846i,0.0011965-0.001076i
-0.00083612+0.00016835i,0.00011869+3.8947e-05i,0.0015988+0.0007636i,0.0027621+0.0011354i,0.00088473+0.0011716i,-0.00015588+0.0017589i,6.6494e-05+0.0014407i,-0.0004467+0.00087348i,-0.00057306+0.0009075i,8.6911e-05+0.0012413i,0.00082183+0.00146i,0.0011947+0.00042455i,0.0013483-0.00039547i,0.0015916-0.0002129i,0.00098054+0.00011879i,0.00022037-2.8009e-05i,0.0010093-0.00060016i,0.0020617-0.00077715i,0.0017764-0.00051146i,0.0011735-6.5621e-05i,0.0012094-0.00011201i,0.00096002+4.6143e-05i,0.00075545+0.00012977i
0.0012706+0.0014343i,0.00046502+0.0020396i,4.0643e-05+0.0011784i,2.3042e-05-8.8318e-05i,-0.00068765-0.00091643i,-0.0017087-0.00052932i,-0.0020425+0.001332i,-0.0016435+0.0017687i,-0.00089227+0.00064781i,0.00025878-0.00075758i,0.00097927-0.0020625i,0.00062202-0.0019716i,-0.0002506-0.0015552i,-0.001148-0.0012884i,-0.00097823-0.00089099i,-0.00041982-0.00041691i,0.00010427+0.00058949i,0.00073392+0.0014501i,0.0013483+0.0019756i,0.00077254+0.0014493i,-0.00069349+0.00046714i,-0.00099558-0.00043303i,0.00010005-0.0003979i
-0.00063489+0.001832i,-0.00023658+0.00094963i,0.00033724-0.0013255i,-0.00010174-0.0028958i,-0.00034815-0.0029221i,-5.0898e-05-0.0022728i,-0.00011234-0.00048173i,-0.0007523+0.0011062i,-0.0013891+0.0013093i,-0.0012414+0.00011254i,-0.00061077-0.0018598i,-0.00092547-0.0021915i,-0.0012437-0.0014851i,-0.0013764-0.0010202i,-0.001037-0.00042949i,-0.00070931-0.0011295i,-0.001354-0.0024596i,-0.001888-0.0017219i,-0.0011457-0.00016956i,0.00047725+5.0663e-05i,0.0018608+0.00035843i,0.0011809+0.00028382i,-0.00090503-0.00026967i
0.00031562-0.00047646i,0.00075182-0.0018938i,0.0010924-0.0039271i,0.0013738-0.0041374i,0.00021665-0.0022215i,-0.00088459-0.00053758i,-0.0012231+0.00020955i,-0.0019809+0.00065064i,-0.0027968+0.00099252i,-0.0032198+0.00088998i,-0.0036506+0.00046021i,-0.0042097+0.00089747i,-0.0035257+0.0013786i,-0.0016681+0.0011642i,0.0002908+0.00088632i,0.0018018+0.0010645i,0.0029632+0.00052113i,0.0031173-0.0011716i,0.0023701-0.0013474i,0.0010428-0.00016785i,-0.00042495+0.00050045i,-0.00086217+0.00033709i,-0.0014613+0.00048721i
0.00093215-0.0010468i,0.0013721-0.0013003i,0.0015564-0.0012239i,0.0021077-0.0021199i,0.002674-0.0017702i,0.0018929-0.00034483i,0.00075266+0.0002706i,4.0974e-05+0.0003906i,-0.0007191+0.0010907i,-0.0015972+0.0019911i,-0.0023664+0.0016462i,-0.0021986+0.0012741i,-0.0014325+0.0014466i,-0.00021362+0.0019241i,0.00089875+0.001547i,0.00064138+0.0009601i,-0.00031118+0.0010915i,-0.00073978+0.0011556i,-0.00046826+0.00076077i,-0.00010391-0.00021703i,-0.00017859-0.0014255i,-0.0001484-0.0015463i,0.0002293-0.0010465i
-0.00084147+0.0014001i,-0.0017976+0.0010822i,-0.0013197+0.00021347i,-0.00032621-0.00012795i,0.0003266+0.0001851i,0.00023616+0.00073737i,-0.00015825+0.0010564i,-0.0012281+0.0014977i,-0.0018432+0.0020834i,-0.00098732+0.0024849i,0.00028508+0.0019832i,0.0013134+0.0015489i,0.0014822+0.0013982i,0.001555+0.00078089i,0.0013515+0.00051404i,0.0010281+0.00018829i,0.0019278-0.00029716i,0.0030332-0.00035437i,0.0029555-0.00021145i,0.001827-0.00046682i,0.00036286-0.00076373i,-0.000221-0.00068442i,0.00042492-0.00046484i
0.0011569-0.0010394i,0.0015736-0.0023866i,0.0014526-0.0045901i,0.00014513-0.0056898i,-0.0018642-0.0042338i,-0.0023818-0.0019597i,-0.0013988-0.0012095i,-0.0012639-0.00024941i,-0.0011351+0.0013465i,-7.5223e-05+0.0017009i,0.00087288+0.0013241i,0.0017827+0.00053723i,0.0018489-0.00016873i,0.0014356-0.00079535i,0.00142-0.0017903i,0.00094949-0.001172i,-0.00012229+0.00033146i,-0.00095478+0.0011662i,-0.0012502+0.0020443i,-9.0474e-05+0.001719i,0.00066354+0.00016096i,0.0005559-0.00086567i,0.00058602-0.00066946i
-0.0017048+0.0016754i,-0.00099927+0.0016756i,0.00043021+0.0018885i,0.0015115+0.00070409i,0.0012452+6.2562e-05i,0.00067964+0.00026554i,0.00018814+0.00064485i,-0.00095764+0.00072559i,-0.0012593+0.00072058i,0.00019076+0.00016094i,0.0024281-0.00079879i,0.0025927-0.0013213i,0.0015675-0.0017876i,0.0009994-0.0021831i,0.00093156-0.0018699i,0.00026944-0.0016619i,-0.00049003-0.0023246i,-0.00011028-0.0026372i,9.8748e-05-0.00097704i,0.00050919+0.00092669i,0.0012054+0.0013637i,0.00070981+0.0014211i,0.00025785+0.00088299i
-0.0011124-0.0019074i,-0.0015094-0.0014995i,-0.0021997-0.0025852i,-0.0015091-0.0031276i,-4.368e-06-0.0019951i,-0.00012879+0.00020987i,-0.0011278+0.0012864i,-0.001284+0.00050139i,-0.0014911-0.00022278i,-0.0021113-0.00039055i,-0.0017929-0.00079935i,-0.0017286-0.0011185i,-0.002492-0.00084294i,-0.0024872+0.00018415i,-0.00097499+0.00079397i,0.00017183+0.00027052i,0.00021696+1.7521e-05i,0.00021677+0.00076264i,0.00034064+0.0013119i,0.00066156+0.0011491i,-0.00010432+7.2155e-05i,-0.00071571-0.0001838i,-0.00081855+0.0005789i
-0.0016818-0.0033706i,-0.0024914-0.0035492i,-0.0026055-0.0044669i,-0.00076248-0.0031823i,0.00016054-0.00031282i,0.00075168+0.001401i,0.00095762+0.0013658i,-0.00051943+0.00053945i,-0.0021049+0.00031541i,-0.0033054+0.00011779i,-0.004099-9.2074e-05i,-0.0037407+0.00022224i,-0.002374+0.0011893i,-0.0005804+0.00236i,0.0007182+0.0028214i,0.00079169+0.0025847i,0.00099781+0.0015883i,0.0015583+0.00022041i,0.0013663-0.00021495i,0.00066444+0.00023049i,0.00010307+0.00049225i,-5.9602e-05+0.00063874i,0.00051177+0.00018498i
0.0016017+0.0010728i,0.002662+0.00073985i,0.0028689+0.00077672i,0.00098523-0.00096267i,-0.0017842-0.0020076i,-0.0028406+6.867e-05i,-0.0020865+0.0019977i,-0.0019001+0.0023339i,-0.0023994+0.0014329i,-0.0027105-5.2729e-05i,-0.0027262-0.00082271i,-0.0023357-0.00035673i,-0.0012719+0.00082773i,-0.00076024+0.0015044i,-0.00076376+0.0011195i,-0.00060359+0.0011851i,0.00030236+0.0015832i,0.0013968+0.001722i,0.0022793+0.0020352i,0.0019303+0.0006279i,0.00060454-0.00094243i,-0.00014267-0.0011106i,0.00040425-0.00065872i
-0.00072199-0.00039662i,-0.0010926-7.0862e-05i,-0.0015041-6.2785e-05i,-0.0011153-0.00165i,-0.00030182-0.0023533i,-0.00018671-0.00097409i,-0.00019172+0.00054129i,-0.00044178+0.0012129i,-0.0012832+0.0018252i,-0.0014842+0.0021046i,-0.00061852+0.0021051i,0.00090939+0.0024072i,0.0017947+0.0026388i,0.0018224+0.0014031i,0.0010571+0.00019291i,0.00070965-0.00037269i,0.00041916-0.0013291i,0.00017299-0.0011693i,3.1768e-05-0.00065629i,0.00074665-0.00019804i,0.0017897+0.00082388i,0.0017167+0.0013115i,0.0016825+0.0011092i
0.00020879-0.0017006i,9.63e-05-0.001861i,-0.00061501-0.0043727i,-0.00037102-0.0053523i,-0.00068602-0.003364i,-0.0006601-0.002104i,-0.00014298-0.00079194i,-0.00071705+0.00062532i,-0.00098528+0.00013979i,0.00015452+0.00044405i,0.00094137+0.001736i,0.0021338+0.0018216i,0.0029717+0.001002i,0.0026827-0.00017078i,0.0024371-0.00058281i,0.0022289-0.00091795i,0.0011806-0.0010178i,3.6555e-06-0.0011894i,0.00036506-0.0010768i,0.00058213-7.0977e-05i,-0.0006434+0.00049916i,-0.0018317+0.00051187i,-0.0016334+0.00053601i
0.0024071-0.002021i,0.0026114-0.0030489i,0.0038637-0.0042637i,0.0030096-0.0052497i,0.0014158-0.0051041i,0.00093964-0.0022414i,0.0013123-0.00022326i,0.00057743+2.5257e-05i,-0.00059776+0.00038955i,-0.00037798+0.00043888i,0.00052732-0.00016942i,9.6651e-05-0.0007924i,-0.0009279-0.00183i,0.00028458-0.0015971i,0.0021585-0.0003444i,0.002591-0.00021153i,0.0017582-0.00059067i,0.00052897-0.0008819i,0.0002384-0.00072135i,0.0004482-0.00030751i,0.0005026-0.00030836i,0.00021351-0.00018205i,-0.00089096-0.00030159i
0.001049-0.0012497i,0.0017413-0.0011926i,0.0027309-0.0013111i,0.0020116-0.0019053i,0.00079238-0.00076965i,-0.0015662+0.0016745i,-0.0018178+0.0024685i,-2.6241e-05+0.0017876i,0.00013248+0.0014196i,-0.0007926-6.7622e-05i,-0.0010248-0.0020319i,-0.0014427-0.0028634i,-0.002367-0.0022187i,-0.0033061-0.00064461i,-0.0031341+0.0006356i,-0.001589+0.0016589i,0.00061795+0.0023592i,0.0015077+0.0013791i,0.0016265-0.00054885i,0.0013027-0.00066805i,0.001058+0.0002775i,0.00084332+0.00022735i,0.00010444-0.0002284i
0.00099926+0.00072114i,0.0002742-7.5134e-06i,0.00016368-0.0023075i,-0.0010872-0.0034607i,-0.0018474-0.0027624i,-0.0012727-0.0014994i,-0.0013305-0.00050147i,-0.0017804+0.0013873i,-0.001795+0.0015518i,-0.0013681-0.00075015i,-0.0014759-0.0030026i,-0.0016241-0.0031316i,-0.0019702-0.0005053i,-0.0025866+0.0016237i,-0.0025279+0.00083576i,-0.0014895-0.00011482i,-0.00034705+0.00094162i,0.00023296+0.0024664i,0.0010787+0.0025147i,0.0018664+0.0012721i,0.0016527+0.00031575i,0.0024987-0.00092105i,0.0033124-0.0015156i
-0.0026155-0.00072111i,-0.0030139-0.0014476i,-0.0019155-0.0021561i,-0.00011915-0.0028485i,-0.00013661-0.0025268i,-0.00058734-7.0481e-06i,-0.00058562+0.00098729i,-0.0015542+0.00018182i,-0.0023208+0.00058741i,-0.0033765+0.00069437i,-0.0033399+0.00019835i,-0.0024478+0.00069351i,-0.0015985+0.0016581i,-4.5089e-05+0.0018348i,0.0011498+0.0015291i,0.001287+0.00037479i,0.0011862-0.00032891i,0.00068374+0.00031125i,1.7778e-05+0.00064383i,4.4892e-06+0.00036204i,0.00018948+0.00034336i,0.00081839+0.00073769i,0.0011301+0.0015259i
0.0020916+2.0404e-05i,0.0040281-0.0014035i,0.0043643-0.0034848i,0.002904-0.0043551i,0.0019991-0.0033629i,0.00095424-0.0018985i,-0.00059352-0.00072146i,-0.0010444+0.00039057i,-0.001611+0.0010948i,-0.0017137+0.0015445i,-0.00099117+0.0029457i,-0.0010365+0.0036857i,-4.2607e-06+0.0030322i,0.0020121+0.0016694i,0.0029594+0.00055566i,0.0031888-0.00028478i,0.00292-0.0011751i,0.0017558-0.00096906i,0.00093354-0.00081189i,0.0009208-0.0010783i,0.00088009-0.0018009i,0.00028929-0.002077i,-0.00060341-0.00080744i
0.0024887-0.00031444i,0.0032732+2.0591e-05i,0.0040609-0.00037211i,0.0032814-7.8008e-05i,0.0013969+0.0009556i,0.0010016+0.0012613i,0.0013389+0.00071321i,0.00012908+0.0011167i,-0.0010619+0.0025971i,-0.00090283+0.003836i,-0.00069178+0.0039444i,-0.00078201+0.0029057i,-5.1415e-05+0.002368i,0.00092562+0.0026904i,0.0018606+0.0034692i,0.0026335+0.0027039i,0.0027709+0.00010517i,0.0021386-0.002136i,0.00054031-0.0024432i,-0.00056292-0.0017068i,-0.00057523-0.00031146i,-0.00087907+0.0010491i,-0.00077855+0.00059763i
-0.00035612-0.0024614i,-0.0014371-0.0018441i,-0.0031788-0.0027911i,-0.0043558-0.0023412i,-0.004913-0.001256i,-0.0021487+0.00051683i,0.0007472+0.0012264i,-3.8639e-05+0.0011801i,-0.0015951+0.0018239i,-0.0016075+0.0017522i,4.2927e-05+0.00086622i,0.0012274+4.3946e-05i,0.00086315-0.00051692i,-0.0004886+7.9353e-05i,-0.0019554+0.00031832i,-0.0018244-0.00056484i,-0.00030412-0.00020287i,0.001918+0.00057934i,0.0034278+0.00070565i,0.0026074-0.00023155i,0.0013829-0.00078407i,0.00013437-0.00044059i,-6.6915e-05-0.00066954i
