-0.00030659+0.00019225i,-0.00012585-0.00034367i,-0.0016427+3.3927e-05i,-0.00227-0.000472i,-0.0025838-0.00043146i,-0.0022294+0.0014406i,-0.00097939+0.0029662i,0.00046302+0.0029142i,0.001853+0.0025001i,0.0026452+0.0014914i,0.0015331+4.9918e-05i,0.00053195-0.00034063i,0.00090376-0.00044408i,0.00047323-0.0004382i,7.0941e-05-0.00023204i,0.00076826-0.00024489i,0.00083573-0.000385i,0.00048155-3.3882e-05i,0.00017898+0.00015027i,0.00059704-0.00014271i,0.0013114+9.7457e-05i,0.00064318+0.0008815i,0.00010905+0.00077972i
0.00035751+0.00137i,0.0010392-0.00025963i,0.0021421-0.0015273i,0.0020246-0.0017622i,0.0017757-0.0018471i,0.0013154-0.00094646i,-5.6464e-05+9.9918e-05i,-0.00070354+0.00050928i,-0.00070821+0.00074799i,3.5454e-05+0.00010335i,0.0010162-0.00044329i,0.00055002-0.00027385i,-0.00033271-0.00030406i,-0.00030648-0.00027361i,0.00023433-0.00046254i,0.00098185-0.0004631i,0.00090125-0.00013812i,0.0010072-6.1734e-05i,0.00047148-0.00022716i,-0.00020288-0.00084968i,0.00032245-0.00063752i,0.00033475-0.00042214i,0.00012992-0.0006673i
-0.00097204-0.00098358i,-0.0021483-0.0001762i,-0.0024161+0.00026624i,-0.0028607+0.00040637i,-0.0028358+0.00068785i,-0.0018628+0.00070545i,-0.00025844+0.00059193i,-7.4374e-05+0.00070814i,-0.00083302+0.00041731i,-0.0012355+0.00034052i,-0.00090799+0.00069998i,-0.00037379+0.00077384i,0.00030426+0.00077879i,0.00084034+0.00095029i,0.00048249+0.00092207i,5.7907e-05+0.00018143i,-0.00039192-0.00032777i,-0.00017497-3.6059e-05i,8.4833e-05+0.00026778i,-0.00033818+0.00044805i,-0.0002094+0.00078904i,0.0010184+0.00071321i,0.0012977+0.00042157i
0.00024901-0.0021571i,-0.0020169-0.0020402i,-0.0030794-0.0027112i,-0.0026458-0.0017691i,-0.0022036+0.00010371i,-0.0018369+0.0012981i,-0.0011188+0.0022832i,0.00012117+0.0015911i,0.0009777+0.0010409i,0.00057088+0.00085398i,-0.00023532+0.00079871i,-0.00050491+0.00081021i,4.2879e-05+0.0010215i,0.00084609+0.00098476i,0.00040006+0.00053728i,0.00021836-3.3555e-05i,0.00062535-0.00049973i,0.00046244-0.00022173i,0.00030727+3.9278e-05i,0.00051842-5.1311e-06i,0.0012197+4.301e-05i,0.0015152-0.0001176i,0.0011401+7.564e-05i
0.0022214+0.00034044i,0.0030761+0.00011805i,0.0028038-0.00087149i,0.0013938-0.0013391i,0.00040279-0.0010846i,-0.00059136-0.00068301i,-0.00035561-0.0002408i,0.00019601+0.00056984i,-0.00046686+0.0010912i,-0.00015514+0.00079516i,0.00031282-6.7073e-05i,-0.00080099-0.00030086i,-0.00069025+0.00020113i,-3.2344e-05+0.00043173i,-0.00059109+7.4215e-05i,-0.00043912-2.7127e-05i,-0.00025278+0.00064416i,0.00011737+0.00091579i,0.00065437+0.00053878i,0.00044045-0.00026677i,-7.8495e-05-0.00028342i,-6.983e-05+5.0263e-05i,0.00010671+0.00025765i
0.0023004+0.0001537i,0.002488+0.00033067i,0.0021809-0.0018379i,0.0011816-0.003004i,0.00013486-0.0023475i,-0.00090253-0.0017183i,-0.00096007-0.00023237i,-0.00017166+0.00080176i,0.00086503+0.00084164i,0.00068962+6.5227e-05i,-0.00038135-0.0008133i,-0.0011941-0.00065532i,-0.001153-0.00063568i,-0.0001307-0.00051629i,0.00069784-0.00079047i,0.00067855-0.00058348i,0.00029962-0.00029882i,-0.00026232+4.6375e-05i,-0.00037463+8.5469e-05i,0.00058579-0.00016358i,0.00029566+0.00010414i,-0.00019727+0.00016412i,-3.2811e-05+9.5763e-05i
-0.0024275+0.00026567i,-0.0023092-4.3906e-05i,-0.0019634+0.00043645i,-0.0013705+0.0011971i,-7.1239e-05+0.0012449i,0.00095649+0.00081057i,0.00064053+0.00061766i,0.00063291-5.3651e-05i,0.00016745-1.2581e-05i,-0.00020412+0.00061411i,0.00058914+0.0011868i,0.00062176+0.00049309i,-7.1227e-06-0.00025409i,0.00014353-0.00018025i,0.00051878-0.00040321i,0.00055711-0.00021507i,0.00039476-0.00042545i,0.00041988-0.00077757i,0.00038407-0.0002976i,0.0008193-0.00040258i,0.00088295-0.00070209i,0.00028955-0.00044699i,-5.2217e-05-0.00028344i
4.0111e-05+0.00059554i,-0.00017544-0.00029513i,-0.00082687-7.7511e-05i,3.9844e-05-0.00035051i,0.00036147+0.0001314i,0.0001081+0.00064911i,-0.00049301+0.00045441i,-0.00087393+0.0010399i,-0.00092835+0.0014999i,-0.00058518+0.0011625i,-9.9422e-05+0.00067388i,-0.00033043+0.0004689i,-0.00078398+0.0006773i,-0.00054032+0.00044443i,-0.00025441+0.00025302i,8.5444e-05-9.692e-05i,0.00081966-0.00023497i,0.00064022-0.00014452i,0.00072363-0.00029448i,0.00099805-0.00044805i,0.00046658-0.00045027i,-6.336e-05-0.0008853i,-0.00082292-0.00069838i
0.0020985-0.0014085i,0.0028744-0.0013474i,0.0027814-0.0014101i,0.00086785-0.0015736i,-0.00094651-0.0017216i,-0.00054899-0.0005991i,-0.00077727+0.00050597i,-0.001112+0.00079027i,-0.00019897+0.0009141i,0.00013101+0.00073507i,1.1804e-05+0.00045827i,0.00027385+0.00051838i,4.664e-05+0.00077291i,-0.00018533+0.0010989i,-0.00024782+0.00082594i,-0.00043718-4.5312e-05i,1.1086e-05-0.00071326i,0.00014514-0.00062369i,0.00035342-0.00038837i,0.00074996+0.0001436i,0.00044559+0.00029579i,0.00022028+0.00014972i,0.00046424+0.00036275i
-0.00046401+0.0020239i,1.3692e-05+0.0020107i,0.00098434+0.0024877i,0.0011463+0.00058865i,0.00039314-0.00074192i,-1.9404e-05-0.0011219i,0.0008053-0.0011435i,0.001578+0.00011041i,0.0012258+0.0011437i,0.00028346+0.0010572i,-5.124e-05-1.3611e-05i,-0.00043227-0.0011363i,-0.00055258-0.00033791i,-0.00029402+0.00047755i,0.00039103-2.691e-05i,0.00056591-0.00049304i,0.00083785-0.00018605i,0.0012635+0.00019345i,0.00060408-0.00088635i,0.00013248-0.0008738i,-1.7806e-05+0.00016435i,-0.00032044+0.00045779i,-0.00048672+0.00011186i
-0.0026784-0.0013231i,-0.0035709-0.0016276i,-0.0030895-0.00091665i,-0.0017609-0.00061312i,-0.0012694-0.00019975i,-0.0013391+0.0007159i,-0.00094475+0.00055841i,-0.00037763+0.00033811i,-0.0001127+0.00083618i,0.00010453+0.0013986i,-0.00033717+0.0018296i,-0.00093392+0.0016977i,-0.00028011+0.0016914i,0.00072806+0.0012628i,0.00065968+0.00057147i,0.00011375+0.00024955i,-0.00041158-0.0003249i,-0.00021333-0.00086729i,0.00060979-0.00040063i,0.00051539+0.00019197i,2.4108e-07+0.0002476i,0.00044821+2.3257e-05i,0.0014009-0.00081204i
