0.00039275-0.00040468i,0.0015256-0.00072982i,0.0023324+6.6214e-05i,0.0023258+0.0009028i,0.0014346+0.00069071i,-8.6654e-05+0.00016398i,-0.00053866+0.00027637i,-0.00017998+0.00087207i,1.3263e-05+0.0010709i,2.4957e-05+0.00031472i,-9.0401e-05-8.0662e-06i,0.00022684-9.3459e-06i,0.00028941-0.00010897i,0.0001996-0.00040474i,0.00059121-0.00090815i,0.00021241-0.00017652i,-5.9381e-05+0.00018998i,9.2104e-05+4.0723e-06i,-8.1525e-05-6.0837e-05i,-0.0002885+0.00010317i,-4.5316e-05-3.6524e-05i,0.0004276+5.5433e-05i,0.00013971+0.00012799i
-0.00091024+0.00013847i,-0.0013441-0.00078171i,-0.0015499-0.00045699i,-0.00074397+0.00016253i,-0.00016716-8.896e-05i,-0.00061376-0.0007147i,-0.00055185-0.00036382i,-0.00039201+0.00032006i,-0.0002562+6.4907e-05i,-3.0537e-05-0.00024996i,-0.00041394+0.00021626i,-0.00081392+0.00075789i,-0.0010725+0.00032724i,-0.00052161-0.00032797i,-0.00019651+1.2349e-05i,-0.00047786+6.6351e-05i,-6.7447e-05+0.00034377i,-0.00032502+0.00014947i,-2.7011e-05-0.00058148i,0.00037806-0.00019419i,-0.00024928+0.00063111i,-0.00028034+0.0011784i,-0.00022472+0.0013816i
0.00082998-0.00036644i,0.0012381+0.00050624i,0.0010341+0.0008982i,0.00073979+0.00034079i,0.00011744-0.00022709i,-0.00037733-0.00029157i,-7.7711e-05-0.00054011i,0.00035392-0.00038444i,0.00036789+0.00013794i,-0.00013608+0.00028011i,-0.00012214+0.0003014i,0.00024347-5.0333e-05i,0.00051356-0.00015499i,-4.9783e-05+1.6929e-05i,6.4545e-05+2.2533e-05i,0.00040786-5.7232e-05i,0.00044424+0.00021894i,0.00044627+0.00068153i,-0.00043804+0.00060152i,-0.00054724+0.00025939i,-0.00028114+0.00019311i,-0.00056156-0.00017172i,-0.0008184-0.00043333i
0.0012761+0.0019218i,0.0013927+0.00085039i,0.0012736-0.0012142i,-1.6965e-05-0.0020775i,-0.00062828-0.0018571i,-0.00069064-0.00065585i,-0.0010466+0.00020183i,-0.00030112-2.1286e-05i,5.4318e-06+0.00024944i,-0.00071663+0.00063204i,-0.0011262+0.00050035i,-0.00034885+0.00051411i,8.2123e-05+0.00047768i,-0.0003788+0.00013762i,-0.00042518+7.8912e-05i,0.0001822+0.001264i,0.00046333+0.0015335i,0.00032554+0.00071009i,0.00045353+0.00043512i,0.00051094+0.00010801i,-0.000322-0.00021937i,-0.00072833+4.5597e-05i,-0.00058734+0.00016187i
-0.00045921-0.001231i,-0.0008867-0.0018904i,-0.0011585-0.00055255i,-0.0012541-0.00022454i,-0.00083213-0.00049433i,-0.00050458-0.00041936i,-0.00030803+0.00040585i,-2.3781e-05+0.0012139i,-7.5298e-05+0.00071472i,0.00015172+0.00017877i,0.00012918-3.0832e-05i,-0.00060436+0.0004739i,-0.00033774+0.0010133i,0.00014634+0.00081328i,0.00027098+0.00015493i,-0.00041934-0.00034437i,-0.000932-0.00045505i,-0.00021933-3.548e-05i,4.7377e-06+0.00011294i,8.4102e-05+0.00021393i,0.00011043+0.00018639i,-3.6924e-05-0.00046429i,-6.8063e-05-8.8121e-05i
-0.0002214-0.00016046i,0.00067911-0.0013918i,0.0010254-0.0019215i,0.00067249-0.00099202i,0.00039215-0.00079989i,-1.6171e-05-0.001092i,-0.00070411-0.00023717i,-0.0010818+0.00027692i,-0.00081446+0.00013564i,-0.00050957+0.00066767i,6.7322e-05+0.00088013i,0.00048023+0.0006212i,0.00046848-9.7065e-05i,0.00085236-0.00018611i,0.00077086-2.2337e-05i,0.0006819-0.00040274i,0.00019087-6.7159e-05i,-0.00074168-0.00019012i,-0.0010706-0.00063721i,-0.00033866-0.00060444i,0.00060469-0.00057351i,0.0010048-0.00044274i,2.4744e-05+0.00033888i
-0.0018177+0.00069008i,7.4093e-05+0.0007459i,0.00074128+0.001003i,0.00038259+0.0020387i,0.00051667+0.002038i,0.00059201+0.0011836i,0.00049167+0.00030535i,0.00040885+0.00042215i,0.00089596+0.00072195i,0.00073864+0.00050835i,0.00081676-4.747e-05i,0.0011057-0.00038296i,0.00066252-0.00049624i,0.00042985-0.00088469i,-0.00025964-0.00090156i,-0.00068853-0.00043885i,-0.00014746-0.00017794i,0.00022422-0.00019873i,-0.0002278+0.00042308i,-0.00048539+0.00055756i,-0.00028535+9.9423e-07i,-0.00012979+0.00030959i,0.00023943-0.00056154i
0.0010711+0.00043905i,0.00016957-0.00042998i,0.00031587-0.0018305i,-4.8127e-05-0.0015412i,-0.0018847-0.00084211i,-0.0028381-0.00092472i,-0.0026444-0.00024445i,-0.0016357+0.00030599i,-0.00012033+0.0001516i,-0.00010262-0.00058054i,-0.00080775-0.00050548i,-0.00064109-0.00010663i,-8.33e-05-0.00061872i,0.00028234-0.00034269i,-0.00011056+0.00054033i,-0.00078627+0.0011142i,-0.00076091+0.0014125i,-0.0001594+0.0011193i,0.00038169+0.00047162i,0.00051219-0.00030616i,0.00037476-0.0011312i,-5.9942e-05-0.0012157i,-0.00033366-0.00031493i
-0.0006347+0.00060511i,-0.0010023+0.0010933i,-0.0011637+0.00085821i,-0.00037734+0.00049469i,2.0017e-05+0.00053565i,-0.00037917+0.0011285i,-0.00041755+0.00033242i,-0.00039112-0.00053557i,-0.00051014-0.00041252i,-0.00037438+9.7243e-05i,0.00043883+0.00065792i,0.0012716+0.00079201i,0.0014117+0.00020665i,0.0008136+0.00021522i,0.00054917-0.00012678i,0.00060947-0.00035494i,0.00018529+0.0001417i,-5.7493e-05+0.00029125i,-0.00018755-0.00035423i,-0.00011277-0.00060738i,2.3028e-05-0.00053216i,7.4645e-05-0.00035508i,0.00034065-0.00014421i
0.00042963-0.000362i,-0.00019594-0.00052075i,0.00030331-0.00093916i,0.0010903-0.00085834i,0.001341-0.00094601i,0.00057329-0.001383i,-0.00039483-0.00024871i,-6.7997e-05+0.00099599i,0.00041569+0.0013409i,0.00054177+0.0011761i,0.00061615+0.0008202i,0.0003743+0.00010943i,2.5408e-05-0.00076613i,-0.00051564-0.0013278i,-0.0002252-0.00068789i,5.0756e-05+0.0002086i,-0.00044131+0.000361i,-0.00035233+0.00053445i,0.00032712+0.00013789i,0.00016889+5.3114e-05i,-0.00056255+0.00033582i,-0.0012002+9.0558e-06i,-0.00073299-0.00054294i
